Do ^vb+do+aux++=Do
was ^vbd+bedz+aux++=was
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
conjecture ^nn++++=conjecture,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
examine ^vbi++++=examine
by ^in++++=by
daylight ^nn++++=daylight
the ^ati++++=the
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
cliff ^nn++++=cliff
from ^in++++=from
which ^whp+rel+pied++=which
the ^ati++++=the
light ^nn++++=light
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
the ^ati++++=the
romantic ^jj+atrb+++=romantic
situation ^nn+nom+++=situation
and ^cc++++=and
my ^pp$+pp1+++=my
companion ^nn++++=companion's
's ^$++++=EXTRAWORD
suppressed ^vpsv++agls+xvbnx+=suppressed
excitement ^nn+nom+++=excitement
was ^vbd+bedz+vrb++=was
so ^ql++++=so
great ^jj++++=great
that ^tht+jcmp+obj++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
feel ^vb+vprv+++=feel
the ^ati++++=the
blood ^nn++++=blood
coursing ^vwbg+++xvbg+=coursing
through ^in++++=through
my ^pp$+pp1+++=my
veins ^nns++++=veins
and ^cc++++=and
count ^vb++++=count
the ^ati++++=the
pulses ^nns++++=pulses
throbbing ^vwbg+++xvbg+=throbbing
at ^rb++++=at
my ^pp$+pp1+++=my
temples ^nns++++=temples.
. ^zz++++=EXTRAWORD
" ^zz++++="Start!"
start ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Tom ^np++++=Tom;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
moved ^vbd+++xvbn+=moved
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
to ^in++++=to
the ^ati++++=the
right ^nn++++=right,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
our ^pp$+pp1+++=our
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
intently ^rb++++=intently
on ^in++++=on
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
crag ^npl++++=crag.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
moved ^vprf+++xvbnx+=moved
perhaps ^rb++++=perhaps
twenty ^cd++++=twenty
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
it ^pp3+it+++=it
burst ^vbd+++xvbn+=burst
upon ^in++++=upon
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
growing ^jj+atrb++xvbg+=growing
darkness ^nns+nom+++=darkness
there ^ex+pex+++=there
shone ^vbd+++xvbn+=shone
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
ruddy ^jj+atrb+++=ruddy,
, ^zz++++=EXTRAWORD
glowing ^jj+atrb++xvbg+=glowing
point ^nn++++=point,
, ^zz++++=EXTRAWORD
the ^ati++++=the
light ^nn++++=light
from ^in++++=from
which ^whp+rel+pied++=which
waned ^vprf+++xvbn+=waned
and ^cc++++=and
increased ^jj+++xvbn+=increased,
, ^zz++++=EXTRAWORD
flickered ^j+++xvbn+=flickered
and ^cc+phrs+++=and
oscillated ^jj+++xvbn+=oscillated,
, ^zz++++=EXTRAWORD
each ^dt++++=each
change ^nn++++=change
producing ^vwbg+++xvbg+=producing
a ^at++++=a
more ^rbr++++=more
weird ^jj+atrb+++=weird
effect ^nn++++=effect
than ^in++++=than
the ^ati++++=the
last ^ap++++=last.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
Kaffir ^np+++??+=Kaffir
superstition ^nn+nom+++=superstition
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv+tht0+xvbnx+=felt
a ^at++++=a
cold ^jj+atrb+++=cold
shudder ^nn++++=shudder
pass ^vb++++=pass
over ^rb+phrv+++=over
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
excitement ^nn+nom+++=excitement
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
a ^at++++=a
pace ^nn++++=pace
backward ^jj++++=backward,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
instantly ^rb+tm+++=instantly
the ^ati++++=the
light ^nn++++=light
went ^vbd+++xvbn+=went
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
utter ^jjb+atrb+++=utter
darkness ^nns+nom+++=darkness
in ^in++++=in
its ^pp$+it+++=its
place ^nn++++=place;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
advanced ^vbd+++xvbnx+=advanced
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
ruddy ^jj+atrb+++=ruddy
glare ^nn++++=glare
glowing ^vwbg+++xvbg+=glowing
from ^in++++=from
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
cliff ^nn++++=cliff.
. ^zz++++=EXTRAWORD
" ^zz++++="Tom,
tom ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tom ^np++++=Tom!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="Ay,
ay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ay ^uh++++=ay!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
him ^pp3o+pp3+++=him
exclaim ^vb++++=exclaim,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
over ^in++++=over
toward ^in++++=toward
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is--there,
-- ^--+clp+++=EXTRAWORD
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
up ^in+cmpx+++=up
against ^in"++++=against
the ^ati++++=the
cliff ^nn++++=cliff!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tom ^np++++=Tom
was ^vbd+bedz+vrb++=was
at ^in++++=at
my ^pp$+pp1+++=my
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
see ^vb+vprv+tht0++=see
nothing ^pn++++=nothing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stepped ^vbd+++xvbnx+=stepped
to ^in++++=to
the ^ati++++=the
right ^jj++++=right
as ^ql++++=as
I ^pp1a+pp1+++=I
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
light ^nn++++=light
instantly ^rb+tm+++=instantly
vanished ^jj+++xvbn+=vanished
from ^in++++=from
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
from ^in++++=from
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
ejaculations ^nns+nom+++=ejaculations
of ^in++++=of
delight ^nn++++=delight
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear
that ^tht+jcmp+++=that
from ^in++++=from
my ^pp$+pp1+++=my
former ^ap++++=former
position ^nn+nom+++=position
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
visible ^jj+pred+++=visible
to ^in++++=to
him ^pp3o+pp3+++=him
also ^rb++++=also.
. ^zz++++=EXTRAWORD
" ^zz++++="Jack,"
jack ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
wrung ^vbd+++xvbn+=wrung
my ^pp$+pp1+++=my
hand ^nn++++=hand--"Jack,
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
jack ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
and ^cc++++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
never ^rb++splt++=never
complain ^vb+vpub+++=complain
of ^in++++=of
our ^pp$+pp1+++=our
luck ^nn++++=luck
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
heap ^nn++++=heap
up ^rp++++=up
a ^ap++++=a
few ^ap"++++=few
stones ^nns++++=stones
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
standing ^vbg+++xvbgx+=standing.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
right ^nn++++=right.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
we ^pp1a+pp1+++=we
must ^md+nec+++=must
fix ^vb++++=fix
my ^pp$+pp1+++=my
sign ^nn++++=sign-post
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
firmly ^rb++++=firmly
in ^in++++=in
at ^in++++=at
the ^ati++++=the
top ^nn++++=top.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
take ^vb++++=take
a ^at++++=a
strong ^jj+atrb+++=strong
wind ^nn++++=wind
to ^to++++=to
blow ^vbi++++=blow
that ^dt+pdem+++=that
down ^rp++++=down;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
only ^rb+down+++=only
need ^nn++++=need
it ^pp3+it+++=it
to ^to++++=to
hold ^vbi+vprv+++=hold
out ^rp+pl+++=out
till ^in++++=till
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
O ^zz++++=O
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
to ^to++++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
only ^rb+down+++=only
yesterday ^nr+tm+++=yesterday
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
talking ^vbg+++xvbgx+=talking
of ^in++++=of
becoming ^xvbg+++xvbg+=becoming
clerks ^nns++++=clerks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
no ^at++++=no
man ^nn++++=man
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
awaiting ^vbg+++xvbgx+=awaiting
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
too ^ql++++=too!
! ^zz++++=EXTRAWORD
By ^in++++=By
Jove ^nn++++=Jove,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
make ^vb++++=make
a ^at++++=a
good ^jj+atrb+++=good
story ^nn++++=story!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
time ^nn++++=time
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
firmly ^rb++splt++=firmly
fixed ^vprf+++xvbnx+=fixed
the ^ati++++=the
perpendicular ^nn++++=perpendicular
stick ^vb++++=stick
in ^in++++=in
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
large ^jj+atrb+++=large
stones ^nns++++=stones;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tom ^np++++=Tom
bent ^vbd+++xvbn+=bent
down ^rp++++=down
and ^cc++++=and
peered ^vpsv++agls+xvbn+=peered
along ^in++++=along
the ^ati++++=the
horizontal ^jj+atrb+++=horizontal
one ^pn++++=one.
. ^zz++++=EXTRAWORD
For ^in++++=For
fully ^rb+amp+++=fully
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
alternately ^rb++splt++=alternately
raising ^vbg+++xvbgx+=raising
and ^cc+phrs+++=and
depressing ^vbg+++xvbg+=depressing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
until ^in++++=until
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sigh ^nn++++=sigh
of ^in++++=of
satisfaction ^nn+nom+++=satisfaction,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
fixed ^vbd+++xvbnx+=fixed
the ^ati++++=the
prop ^nn++++=prop
into ^in++++=into
the ^ati++++=the
angle ^nn++++=angle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
as ^ql++++=as
straight ^jj++++=straight
an ^at++++=an
eye ^nn++++=eye
to ^to++++=to
take ^vbi++++=take
a ^at++++=a
sight ^nn++++=sight
as ^in++++=as
any ^dti++++=any
man ^nn++++=man
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
of ^in+strn+++=of."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
beyond ^in++++=beyond
the ^ati++++=the
farther ^rbr++++=farther
sight ^nn++++=sight
was ^vbd+bedz+vrb++=was
the ^ati++++=the
ruddy ^jj+atrb+++=ruddy,
, ^zz++++=EXTRAWORD
scintillating ^jj+atrb+++=scintillating
speck ^nn++++=speck,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
stick ^nn++++=stick
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
so ^ql++++=so
accurately ^rb++++=accurately
had ^vb+hv+aux++=had
it ^pp3+it+++=it
been ^vprf+ben+aux+xvbn+=been
adjusted ^vpsv++agls+xvbnx+=adjusted.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tom ^np++++=Tom,
, ^zz++++=EXTRAWORD
" ^zz++++="let's
let ^vb++++0=EXTRAWORD
us ^pp1o+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
some ^dti++++=some
supper ^nn++++=supper
and ^cc++++=and
a ^at++++=a
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
more ^ql++++=more
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done
to ^to++++=to-night;
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
need ^vb++++=need
all ^abn++++=all
our ^pp$+pp1+++=our
wits ^nns++++=wits
and ^cc++++=and
strength ^nn++++=strength
to ^to++++=to-morrow.
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Get ^vb++++=Get
some ^dti++++=some
sticks ^nns++++=sticks
and ^cc++++=and
kindle ^nn+++??+=kindle
a ^at++++=a
fire ^nn++++=fire
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
keep ^vb++++=keep
an ^at++++=an
eye ^nn++++=eye
on ^in++++=on
our ^pp$+pp1+++=our
signal ^nn++++=signal-post,
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
happens ^vbz+vsua+++=happens
to ^to+vcmp+++=to
it ^pp3+it+++=it
during ^in++++=during
the ^ati++++=the
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
kindled ^vbd+++xvbn+=kindled
a ^at++++=a
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
supper ^nn++++=supper
with ^in++++=with
the ^ati++++=the
Sasassa ^np+++??+=Sasassa
demon ^nn++++=demon's
's ^$++++=EXTRAWORD
eye ^nn++++=eye
rolling ^vwbg+++xvbg+=rolling
and ^cc++++=and
glowing ^vwbg+++xvbg+=glowing
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
us ^pp1o+pp1+++=us
the ^ati++++=the
whole ^jj+atrb+++=whole
night ^nn++++=night
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
always ^rb++++=always
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
place ^nn++++=place,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though;
; ^zz++++=EXTRAWORD
for ^in++++=for
after ^in++++=after
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
glanced ^vbd+++xvbnx+=glanced
along ^in++++=along
the ^ati++++=the
sights ^nns++++=sights
to ^in++++=to
have ^vbi+vbi+aux++=have
another ^dt++++=another
look ^vb++++=look
at ^rb++++=at
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nowhere ^rb+pl+++=nowhere
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
information ^nn+nom+++=information
did ^vbd+dod+vrb++=did
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
disturb ^vbi++++=disturb
Tom ^np++++=Tom
in ^in++++=in
any ^dti++++=any
way ^nn++++=way.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
remarked ^vbd+vpub++xvbn+=remarked,
, ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
has ^vbz+hvz+aux++=has
shifted ^vprf+++xvbnx+=shifted;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
coiling ^nn+nom+++=coiling
himself ^ppl+pp3+++=himself
up ^rp++++=up,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
By ^in++++=By
early ^jj+atrb+++=early
dawn ^nn++++=dawn
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
both ^abx++++=both
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gazing ^vbg+++xvbg+=gazing
along ^in++++=along
our ^pp$+pp1+++=our
pointer ^nn++++=pointer
at ^in++++=at
the ^ati++++=the
cliff ^nn++++=cliff;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out
nothing ^pn++++=nothing
save ^in++++=save
the ^ati++++=the
one ^cd1++++=one
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
monotonous ^jj++++=monotonous,
, ^zz++++=EXTRAWORD
slaty ^nn+++??+=slaty
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
rougher ^jjr++++=rougher
perhaps ^rb++++=perhaps
at ^in++++=at
the ^ati++++=the
part ^nn++++=part
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
examining ^vbg+++xvbgx+=examining
than ^in++++=than
elsewhere ^rb+cnj+++=elsewhere,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
otherwise ^rb+cnj+++=otherwise
presenting ^vbg+++xvbg+=presenting
nothing ^pn++++=nothing
remarkable ^jj++++=remarkable.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
for ^in++++=for
your ^pp$+pp2+++=your
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tom ^np++++=Tom
Donahue ^np+++??+=Donahue,
, ^zz++++=EXTRAWORD
unwinding ^vbg+++xvbg+=unwinding
a ^at++++=a
long ^jj+atrb+++=long
thin ^jj+atrb+++=thin
cord ^nn++++=cord
from ^in++++=from
round ^in++++=round
his ^pp$+pp3+++=his
waist ^nn++++=waist.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
fasten ^vb++++=fasten
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
guide ^nn++++=guide
me ^pp1o+pp1+++=me
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
take ^vb++++=take
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
saying ^nvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
base ^nn++++=base
of ^in++++=of
the ^ati++++=the
cliff ^nn++++=cliff,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
one ^cd1++++=one
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
cord ^nn++++=cord,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
the ^ati++++=the
other ^ap++++=other
taut ^jj++++=taut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wound ^nn+++xvbn+=wound
it ^pp3+it+++=it
round ^in++++=round
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
horizontal ^jj+atrb+++=horizontal
stick ^nn++++=stick,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
it ^pp3+it+++=it
through ^in++++=through
the ^ati++++=the
sight ^nn++++=sight
at ^in++++=at
the ^ati++++=the
end ^nn++++=end.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
means ^nn++++=means
I ^pp1a+pp1+++=I
could ^md+pos+++=could
direct ^vb+vpub+++=direct
Tom ^np++++=Tom
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
or ^cc++++=or
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
our ^pp$+pp1+++=our
string ^nn++++=string
stretching ^vwbg+++xvbg+=stretching
from ^in++++=from
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
attachment ^nn+nom+++=attachment,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
sight ^nn++++=sight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
it ^pp3+it+++=it
struck ^vbd+++xvbn+=struck
about ^in++++=about
eight ^cd++++=eight
feet ^nns++++=feet
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
drew ^vbd+++xvbn+=drew
a ^at++++=a
chalk ^nn++++=chalk
circle ^nn++++=circle
of ^in++++=of
about ^in++++=about
three ^cd++++=three
feet ^nns++++=feet
diameter ^nn+nom+++=diameter
round ^in++++=round
the ^ati++++=the
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
called ^vbd+++xvbn+=called
to ^in++++=to
me ^pp1o+pp1+++=me
to ^to++++=to
come ^vbi++++=come
and ^cc++++=and
join ^nn++++=join
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="We've
we ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
managed ^vprf+++xvbnx+=managed
this ^dt+dem+++=this
business ^nns+nom+++=business
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
Jack ^np++++=Jack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
find ^vb+vprv+++=find
what ^wdt+who+whcl++=what
