Tomorrow ^nr+tm+++=TOMORROW
to ^in++++=to
Dozie ^np+++??+=Dozie,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
both ^abx++++=both
needed ^jj+++xvbn+=needed
Nonso ^np+++??+=Nonso
to ^to++++=to
get ^vbi++++=get
hurt ^vbd+++xvbn+=hurt
maybe ^rb+hdg+++=maybe
maim ^nn+++??+=maim
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
maybe ^rb+hdg+++=maybe
twist ^vb++++=twist
his ^pp$+pp3+++=his
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
mar ^vbi++++=mar
the ^ati++++=the
perfection ^nn+nom+++=perfection
of ^in++++=of
his ^pp$+pp3+++=his
lithe ^nn+++??+=lithe
body ^nn++++=body,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
less ^rbr++++=less
lovable ^jj++++=lovable,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
do ^vb++++=do
all ^abn++++=all
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Less ^rbr++++=Less
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
take ^vb++++=take
up ^rb+phrv+++=up
your ^pp$+pp2+++=your
space ^nn++++=space.
. ^zz++++=EXTRAWORD
Dozie ^np+++??+=Dozie
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing
and ^cc+cls+++=and
instead ^rb+cnj+++=instead
drew ^vbd+++xvbn+=drew
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
you ^pp2+pp2+++=you
with ^in++++=with
your ^pp$+pp2+++=your
eyes ^nns++++=eyes
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
Grandmama ^np+++??+=Grandmama
was ^vbd+bedz+vrb++=was
inside ^jjb++++=inside
cooking ^jj+++xvbg+=cooking
and ^cc++++=and
Dozie ^np+++??+=Dozie
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
silently ^rb++++=silently
close ^in+cmpx+++=close
to ^in"++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
shoulders ^nns+nom+++=shoulders
touching ^vwbg+++xvbg+=touching,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
suggested ^vbd+vpub++xvbn+=suggested
Nonso ^np+++??+=Nonso
climb ^nn++++=climb
to ^in++++=to
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
avocado ^nn+++??+=avocado
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
get ^vbi++++=get
him ^pp3o+pp3+++=him
to ^to++++=to;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
only ^rb+down+++=only
had ^md"++pmd"++=had
to ^md+nec+++=to
remind ^vb++++=remind
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
the ^ati++++=the
better ^jjr+atrb+++=better
climber ^nn++++=climber.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
really ^rb+emph+++=really
were ^vbd+bed+vrb++=were
the ^ati++++=the
better ^jjr+atrb+++=better
climber ^nn++++=climber,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
scale ^vb++++=scale
a ^at++++=a
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
any ^dti++++=any
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
in ^in++++=in
seconds ^nns++++=seconds
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
better ^jjr+pred+++=better
at ^in++++=at
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
be ^vbi+vbi+aux++=be
taught ^vprf+++xvbn+=taught,
, ^zz++++=EXTRAWORD
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+++=that
Grand ^jj+atrb+++=Grand
mama ^npt++++=mama
could ^md+pos+++=could
not ^xnot++not++=not
teach ^vb+vsua+++=teach
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
get ^vb++++=get
to ^to+vcmp+++=to
the ^ati++++=the
topmost ^nn+++??+=topmost
branch ^nn++++=branch
of ^in++++=of
the ^ati++++=the
avocado ^nn+++??+=avocado
before ^cs+sub+++=before
you ^pp2+pp2+++=you
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
branches ^nns++++=branches
were ^vbd+bed+vrb++=were
weak ^jj+pred+++=weak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nonso ^np+++??+=Nonso
was ^vbd+bedz+vrb++=was
heavier ^jjr+pred+++=heavier
than ^cs+sub+++=than
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Heavy ^jj++++=Heavy
from ^in++++=from
all ^abn++++=all
the ^ati++++=the
food ^nn++++=food
Grandmama ^np+++??+=Grandmama
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
eat ^vb++++=eat.
. ^zz++++=EXTRAWORD
Eat ^vb++++=Eat
a ^rb++++=a
little ^rb"++++=little
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
say ^vb+vpub+++=say
often ^rb++++=often.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
it ^pp3+it+++=it
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
As ^cs+sub+++=As
though ^cs+sub+++=though
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
she ^pp3a+pp3+++=she
would ^md+prd+++=would
pat ^vb++++=pat
your ^pp$+pp2+++=your
back ^jjb++++=back
and ^cc++++=and
say ^vb+vpub+++=say
in ^in++++=in
Igbo ^np+++??+=Igbo,
, ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
learning ^vbg+vprv++xvbgx+=learning,
, ^zz++++=EXTRAWORD
nne ^nn+++??+=nne,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
you ^pp2+pp2+++=you
will ^md+prd+++=will
take ^vb++++=take
care ^nn++++=care
of ^in++++=of
your ^pp$+pp2+++=your
husband ^nn++++=husband
one ^cd1++++=one
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Nonso ^np+++??+=Nonso
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Higher ^jjr++++=Higher
and ^cc+phrs+++=and
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
waited ^vbd+++xvbn+=waited
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
at ^in++++=at
the ^ati++++=the
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
his ^pp$+pp3+++=his
legs ^nns++++=legs
hesitated ^vbd+++xvbn+=hesitated
before ^in++++=before
inching ^xvbg+++xvbg+=inching
farther ^rbr++++=farther
up ^rp++++=up.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
waited ^vbd+++xvbn+=waited
for ^in++++=for
that ^dt+dem+++=that
short ^jj+atrb+++=short
moment ^nn++++=moment
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
between ^in++++=between
motions ^nns+nom+++=motions.
. ^zz++++=EXTRAWORD
An ^at++++=An
open ^jj+atrb+++=open
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
a ^at++++=a
moment ^nn++++=moment
you ^pp2+pp2+++=you
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
blueness ^nns+nom+++=blueness
of ^in++++=of
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
of ^in++++=of
life ^nn++++=life
itself ^ppl++++=itself
the ^ati++++=the
pure ^jj+atrb+++=pure
azure ^nn+++??+=azure
of ^in++++=of
one ^pn++++=one
of ^in++++=of
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
paintings ^nns++++=paintings,
, ^zz++++=EXTRAWORD
of ^in++++=of
opportunity ^nn+nom+++=opportunity,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
sky ^nn++++=sky
washed ^vwbn+++xvbn+=washed
clean ^jj++++=clean
by ^in++++=by
a ^at++++=a
morning ^nn++++=morning
shower ^nn++++=shower.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
screamed ^vbd+++xvbn+=screamed.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
snake ^nn++++=snake!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
echi ^nn+++??+=echi
eteka ^nn+++??+=eteka!
! ^zz++++=EXTRAWORD
A ^at++++=A
snake ^nn++++=snake!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
sure ^jj++++=sure
whether ^cs+who+++=whether
to ^to++++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
snake ^nn++++=snake
was ^vbd+bedz+vrb++=was
on ^in++++=on
a ^at++++=a
branch ^nn++++=branch
close ^in+cmpx+++=close
to ^in"++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
sliding ^vbg+++xvbg+=sliding
up ^rp++++=up
the ^ati++++=the
trunk ^nn++++=trunk.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
matter ^nn++++=matter
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
in ^in++++=in
those ^dt+dem+++=those
few ^ap++++=few
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
Nonso ^np+++??+=Nonso
looked ^vbd+++xvbn+=looked
down ^rp++++=down
at ^rb++++=at
you ^pp2+pp2+++=you
and ^cc++++=and
let ^vb+++xvbn+=let
go ^vb++++=go,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
foot ^nn++++=foot
slipping ^vwbg+++xvbg+=slipping,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
arms ^nns++++=arms
freeing ^nn++++=freeing
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
maybe ^rb+hdg+++=maybe
the ^ati++++=the
tree ^nn++++=tree
simply ^rb++++=simply
shrugged ^vbd+++xvbn+=shrugged
Nonso ^np+++??+=Nonso
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
now ^rn+tm+++=now
how ^wrb+who+++=how
long ^rb++++=long
you ^pp2+pp2+++=you
stayed ^vbd+++xvbn+=stayed
looking ^vbg+++xvbg+=looking
at ^rb++++=at
Nonso ^np+++??+=Nonso
before ^cs+sub+++=before
you ^pp2+pp2+++=you
went ^vbd+++xvbn+=went
in ^in++++=in
to ^to++++=to
call ^vbi++++=call
Grandmama ^np+++??+=Grandmama,
, ^zz++++=EXTRAWORD
Dozie ^np+++??+=Dozie
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time
silent ^jj++++=silent
beside ^in+pl+++=beside
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Dozie ^np++++=Dozie's
's ^$++++=EXTRAWORD
word ^nn++++=word
" ^zz++++="hate"
hate ^vb++++=EXTRAWORD
" ^zz++++=EXTRAWORD
floats ^vbz++++=floats
around ^rb++++=around
in ^in++++=in
your ^pp$+pp2+++=your
head ^jjb++++=head
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Hate ^vb++++=Hate.
. ^zz++++=EXTRAWORD
Hate ^vb++++=Hate.
. ^zz++++=EXTRAWORD
Hate ^vb++++=Hate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
makes ^vbz++++=makes
it ^pp3+it+++=it
difficult ^jj++++=difficult
to ^to+jcmp+++=to
breathe ^vbi++++=breathe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
breathe ^vbi++++=breathe
when ^wrb+who+++=when
you ^pp2+pp2+++=you
waited ^vbd+++xvbn+=waited,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
months ^nns++++=months
after ^cs+sub+++=after
Nonso ^np+++??+=Nonso
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
for ^in++++=for
your ^pp$+pp2+++=your
mother ^nn++++=mother
to ^in++++=to
notice ^vb++++=notice
that ^tht+vcmp+obj++=that
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
a ^at++++=a
voice ^nn++++=voice
pure ^jj++++=pure
like ^in++++=like
water ^nn++++=water
and ^cc++++=and
legs ^nns++++=legs
like ^in++++=like
elastic ^jj+atrb+++=elastic
bands ^nns++++=bands,
, ^zz++++=EXTRAWORD
for ^in++++=for
your ^pp$+pp2+++=your
mother ^nn++++=mother
to ^in++++=to
end ^nn++++=end
her ^pp3o+pp3+++=her
good ^jj++++=good-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
visits ^nns++++=visits
to ^in++++=to
your ^pp$+pp2+++=your
room ^nn++++=room
with ^in++++=with
that ^dt+dem+++=that
deep ^jj++++=deep
ho ^uh++++=ho-ho-ho
- ^zz++++=EXTRAWORD
ho ^uh++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ho ^uh++++=EXTRAWORD
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
she ^pp3a+pp3+++=she
held ^vbd+vprv++xvbnx+=held
you ^pp2+pp2+++=you
too ^ql++++=too
gingerly ^rb++++=gingerly
while ^cs+sub+++=while
saying ^vbg+++xvbg+=saying
good ^jj+atrb+++=good
night ^nn++++=night,
, ^zz++++=EXTRAWORD
always ^rb++++=always
speaking ^nvbg+++xvbg+=speaking
in ^in++++=in
whispers ^nns+nom+++=whispers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
started ^vbd+++xvbn+=started
to ^to++++=to
avoid ^vbi++++=avoid
her ^pp$+pp3+++=her
kisses ^nns++++=kisses
by ^in++++=by
faking ^xvbg+++xvbg+=faking
coughs ^nns++++=coughs
and ^cc++++=and
sneezes ^nns+++??+=sneezes.
. ^zz++++=EXTRAWORD
Year ^nn++++=Year
after ^cs+sub+++=after
year ^nn++++=year
as ^ql++++=as
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved
you ^pp2+pp2+++=you
from ^in++++=from
state ^nn++++=state
to ^in++++=to
state ^nn++++=state,
, ^zz++++=EXTRAWORD
lighting ^nn++++=lighting
red ^jj+atrb+++=red
candles ^nns++++=candles
in ^in++++=in
her ^pp$+pp3+++=her
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
banning ^nvbg+++xvbg+=banning
all ^abn++++=all
talk ^nn++++=talk
of ^in++++=of
Nigeria ^np++++=Nigeria
or ^cc++++=or
of ^in++++=of
Grandmama ^np+++??+=Grandmama,
, ^zz++++=EXTRAWORD
refusing ^vbg+++xvbg+=refusing
to ^to+vcmp+++=to
let ^vbi++++=let
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
your ^pp$+pp2+++=your
father ^nn++++=father,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
never ^rb++++=never
again ^rb+tm+++=again
laughed ^vbd+++xvbn+=laughed
that ^dt+dem+++=that
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
Dozie ^np+++??+=Dozie
speaks ^vbz++++=speaks
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
tells ^vbz++++=tells
you ^pp2+pp2+++=you
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
dream ^vbi++++=dream
of ^in++++=of
Nonso ^np+++??+=Nonso
a ^ap++++=a
few ^ap"++++=few
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
dreams ^nns++++=dreams
in ^in++++=in
which ^whp+rel+pied++=which
Nonso ^np+++??+=Nonso
is ^vbz+bez+vrb++=is
older ^jjr+pred+++=older
and ^cc+phrs+++=and
taller ^jjr++++=taller
than ^cs+sub+++=than
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear
fruit ^nn++++=fruit
fall ^nn++++=fall
from ^in++++=from
a ^at++++=a
tree ^nn++++=tree
nearby ^jjb++++=nearby
and ^cc++++=and
you ^pp2+pp2+++=you
ask ^vb++++=ask
him ^pp3o+pp3+++=him
without ^in++++=without
turning ^xvbg+++xvbg+=turning
around ^rp++++=around,
, ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
want ^vb++++=want,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
want ^vb++++=want?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
when ^wrb+who+whcl++=when
Dozie ^np+++??+=Dozie
moves ^nns++++=moves,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
stands ^vbz++++=stands
behind ^in+pl+++=behind
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
so ^ql++++=so
close ^vb++++=close
that ^dt+dem+++=that
you ^pp2+pp2+++=you
smell ^vb++++=smell
the ^ati++++=the
citrus ^nn++++=citrus
on ^in++++=on
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
he ^pp3a+pp3+++=he
peeled ^vbd+++xvbnx+=peeled
an ^at++++=an
orange ^nn++++=orange
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wash ^vb++++=wash
his ^pp$+pp3+++=his
hands ^nns++++=hands
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turns ^vbz++++=turns
you ^pp2+pp2+++=you
around ^rb++++=around
and ^cc++++=and
looks ^nns++++=looks
at ^rb++++=at
you ^pp2+pp2+++=you
and ^cc++++=and
you ^pp2+pp2+++=you
look ^vb++++=look
at ^rb++++=at
him ^pp3o+pp3+++=him
and ^cc++++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
fine ^jj+atrb+++=fine
lines ^nns++++=lines
on ^in++++=on
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
and ^cc++++=and
a ^at++++=a
new ^jj+atrb+++=new
harshness ^nns+nom+++=harshness
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tells ^vbz++++=tells
you ^pp2+pp2+++=you
it ^pp3+it+++=it
did ^vbd+dod+aux++=did
not ^xnot++not++=not
occur ^vb++++=occur
to ^in++++=to
him ^pp3o+pp3+++=him
to ^to++++=to
want ^vbi++++=want
because ^cs+cos+++=because
what ^wdt+who+++=what
mattered ^vbd+++xvbn+=mattered
was ^vbd+bedz+vrb++=was
what ^wdt+who+++=what
you ^pp2+pp2+++=you
wanted ^vbd+++xvbn+=wanted.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+aux++=is
a ^at++++=a
long ^rb++++=long
silence ^nn+nom+++=silence
while ^cs+sub+++=while
you ^pp2+pp2+++=you
watch ^vb++++=watch
the ^ati++++=the
column ^nn++++=column
of ^in++++=of
black ^jj+atrb+++=black
ants ^nns++++=ants
making ^vwbg+++xvbg+=making
its ^pp$+it+++=its
way ^nn++++=way
up ^rp++++=up
the ^ati++++=the
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
each ^dt++++=each
ant ^nn++++=ant
carrying ^vwbg+++xvbg+=carrying
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
white ^jj+atrb+++=white
fluff ^nn+++??+=fluff,
, ^zz++++=EXTRAWORD
creating ^vbg+++xvbg+=creating
a ^at++++=a
black ^jj++++=black-and-white
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
white ^jj+atrb+++=EXTRAWORD
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asks ^vbz++++=asks
you ^pp2+pp2+++=you
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
dreamed ^vbd+vprv++xvbn+=dreamed
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
and ^cc++++=and
you ^pp2+pp2+++=you
say ^vb+vpub+++=say
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
eyes ^nns++++=eyes
avoiding ^vwbg+++xvbg+=avoiding
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
turns ^vbz++++=turns
away ^rb+phrv+++=away
from ^in"++++=from
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
want ^vb++++=want
to ^to+vcmp+++=to
tell ^vbi++++=tell
him ^pp3o+pp3+++=him
about ^in++++=about
the ^ati++++=the
pain ^nn++++=pain
in ^in++++=in
your ^pp$+pp2+++=your
chest ^nn++++=chest
and ^cc++++=and
the ^ati++++=the
emptiness ^nns+nom+++=emptiness
in ^in++++=in
your ^pp$+pp2+++=your
ears ^nns++++=ears
and ^cc++++=and
the ^ati++++=the
roiling ^nn+nom+++=roiling
air ^nn++++=air
after ^in++++=after
his ^pp$+pp3+++=his
phone ^nn++++=phone
call ^nn++++=call,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
doors ^nns++++=doors
flung ^vbd+++xvbn+=flung
open ^jj++++=open,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
flattened ^jj+atrb++xvbn+=flattened
things ^nns++++=things
that ^tht+rel+subj++=that
popped ^vbd+++xvbn+=popped
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
walking ^vbg+++xvbgx+=walking
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
weeping ^nn++++=weeping,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
alone ^rb++++=alone
under ^in++++=under
the ^ati++++=the
avocado ^nn++++=avocado
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
