Martha ^np+++??+=Martha
at ^in++++=at
the ^ati++++=the
pulpit ^nn++++=pulpit
where ^wrb+who+++=where
the ^ati++++=the
new ^jj+atrb+++=new
preacher ^nn+nom+++=preacher
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Madison ^np+++??+=Madison.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
first ^od++++=first
impulse ^nn++++=impulse
was ^vbd+bedz+aux++=was
to ^to++++=to
rise ^vbi++++=rise
in ^in++++=in
her ^pp$+pp3+++=her
seat ^nn++++=seat
and ^cc++++=and
stop ^nn++++=stop
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
another ^dt++++=another
of ^in++++=of
his ^pp$+pp3+++=his
tricks ^nns++++=tricks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
should ^md+nec+++=should
not ^xnot++not++=not
profane ^jj++++=profane
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
look ^nn++++=look
and ^cc++++=and
voice ^nn++++=voice
silenced ^vbd+++xvbn+=silenced
her ^pp$+pp3+++=her
and ^cc++++=and
she ^pp3a+pp3+++=she
sank ^vbd+++xvbnx+=sank
back ^jjb++++=back
in ^in++++=in
amazement ^nn+nom+++=amazement.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preached ^vbd+++xvbnx+=preached
a ^at++++=a
powerful ^jj+atrb+++=powerful
sermon ^nn++++=sermon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
its ^pp$+it+++=its
close ^vb++++=close
told ^vbd+vpub++xvbn+=told
something ^pn++++=something
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life
and ^cc+cls+++=and
who ^whp+who+++=who
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Martha ^np+++??+=Martha
found ^vbd+vprv++xvbn+=found
herself ^ppl+pp3+++=herself
all ^abn++++=all
at ^rb++++=at
once ^rb"+tm+++=once
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
attention ^nn+nom+++=attention;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
face ^nn++++=face
glowed ^vbd+++xvbn+=glowed
and ^cc++++=and
her ^pp$+pp3+++=her
heart ^nn++++=heart
burned ^vbd+++xvbn+=burned
within ^in++++=within
her ^pp$+pp3+++=her
as ^in++++=as
the ^ati++++=the
people ^nns++++=people
about ^in++++=about
her ^pp$+pp3+++=her
nodded ^vbd+++xvbn+=nodded
and ^cc+phrs+++=and
smiled ^vbd+++xvbn+=smiled
at ^rb++++=at
her ^pp3o+pp3+++=her
through ^in++++=through
their ^pp$+pp3+++=their
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurled ^vbd+++xvbn+=hurled
" ^zz++++="Amen"
amen ^uh++++=EXTRAWORD
" ^zz++++=EXTRAWORD
upon ^in++++=upon
" ^zz++++="Amen."
amen ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Madison ^np+++??+=Madison
hurried ^vbd+++xvbn+=hurried
to ^in++++=to
her ^pp$+pp3+++=her
side ^nn++++=side
after ^in++++=after
the ^ati++++=the
services ^nns++++=services.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
des ^&fw++++=des
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
s ^zz++++=s'prise
'prise ^vb++++0=EXTRAWORD
you ^pp2+pp2+++=you
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
too ^ql++++=too
happy ^jj++++=happy
to ^to+jcmp+++=to
answer ^vb++++=answer
and ^cc++++=and,
, ^zz++++=EXTRAWORD
pressing ^vbg+++xvbg+=pressing
his ^pp$+pp3+++=his
arm ^vb++++=arm
very ^ql+amp+++=very
tightly ^rb+cnj+++=tightly,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
out ^rp+pl+++=out
among ^in++++=among
her ^pp$+pp3+++=her
congratulating ^vbg+++xvbg+=congratulating
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
between ^in++++=between
her ^pp$+pp3+++=her
husband ^nn++++=husband
and ^cc++++=and
the ^ati++++=the
Rev ^np++++=Rev.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
Todbury ^np++++=Todbury
Went ^vbd+++xvbn+=went
Proudly ^rb++++=proudly
Home ^nr++++=home
To ^to++++=to
Her ^pp$+pp3+++=her
Christmas ^np++++=Christmas
Dinner ^nn++++=dinner.
 ^zz++++=EXTRAWORD
