( ^zz++++=(1
seamed ^j+++xvbn+=seamed
at ^in++++=at
intervals ^nns+nom+++=intervals
with ^in++++=with
pale ^jj+atrb+++=pale
lightning ^nn++++=lightning,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
now ^rn+tm+++=now
burst ^vbd+++xvbn+=burst
a ^at++++=a
heavy ^jj+atrb+++=heavy
peal ^nn++++=peal
of ^in++++=of
thunder ^nn++++=thunder
that ^tht+rel+subj++=that
shook ^vbd+++xvbn+=shook
the ^ati++++=the
ground ^nn++++=ground
under ^in++++=under
our ^pp$+pp1+++=our
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
A ^at++++=A
sudden ^nn++++=sudden
squall ^vb+++??+=squall
struck ^vbd+++xvbn+=struck
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
ploughing ^vbg+++xvbg+=ploughing
deep ^jj+atrb+++=deep
white ^jj+atrb+++=white
furrows ^nns+++??+=furrows
into ^in++++=into
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
instant ^nn+nom+++=instant
a ^at++++=a
single ^jj++++=single
piercing ^xvbg+++xvbg+=piercing
shriek ^vb++++=shriek
rose ^vbd+++xvbn+=rose
above ^in+ppvb+++=above
the ^ati++++=the
tempest ^nn++++=tempest--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
frightened ^jj+atrb++xvbn+=frightened
cry ^nn++++=cry
of ^in++++=of
a ^at++++=a
gull ^nn++++=gull
swooping ^nn++++=swooping
over ^in++++=over
the ^ati++++=the
island ^nn++++=island.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
it ^pp3+it+++=it
startled ^vbd+++xvbn+=startled
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
any ^dti++++=any
longer ^rbr++++=longer
to ^to++++=to
keep ^vbi++++=keep
our ^pp$+pp1+++=our
footing ^nn++++=footing
on ^in++++=on
the ^ati++++=the
beach ^nn++++=beach.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
and ^cc++++=and
the ^ati++++=the
breakers ^nns+nom+++=breakers
would ^md+prd+++=would
have ^vb+hv+aux++=have
swept ^vprf+++xvbnx+=swept
us ^pp1o+pp1+++=us
into ^in++++=into
the ^ati++++=the
ocean ^nn++++=ocean
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
not ^xnot++not++=not
clung ^vbd+++xvbn+=clung
to ^to++++=to
one ^cd1++++=one
another ^dt++++=another
with ^in++++=with
the ^ati++++=the
desperation ^nn+nom+++=desperation
of ^in++++=of
drowning ^xvbg+++xvbg+=drowning
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Taking ^vbg+++xvbg+=Taking
advantage ^nn+nom+++=advantage
of ^in++++=of
a ^at++++=a
momentary ^nn++++=momentary
lull ^vb++++=lull,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
crawled ^vprf+++xvbn+=crawled
up ^rp++++=up
the ^ati++++=the
sands ^nns++++=sands
on ^in++++=on
our ^pp$+pp1+++=our
hands ^nns++++=hands
and ^cc++++=and
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
pausing ^vbg+++xvbg+=pausing
in ^in++++=in
the ^ati++++=the
lee ^nn++++=lee
of ^in++++=of
the ^ati++++=the
granite ^nn++++=granite
ledge ^nn++++=ledge
to ^to++++=to
gain ^vbi++++=gain
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
gale ^nn++++=gale
had ^vbd+hvd+aux++=had
snapped ^vprf+++xvbnx+=snapped
all ^abn++++=all
the ^ati++++=the
fastenings ^nns++++=fastenings
of ^in++++=of
the ^ati++++=the
tent ^nn++++=tent
but ^cc++++=but
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Held ^vpbn+vprv++xvbn+=Held
by ^in++++=by
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
puffed ^jj+++xvbn+=puffed-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
canvas ^nn++++=canvas
swayed ^vwbn+++xvbn+=swayed
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind
like ^in++++=like
a ^at++++=a
balloon ^nn++++=balloon.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
task ^nn++++=task
of ^in++++=of
some ^dti++++=some
difficulty ^nn++++=difficulty
to ^to++++=to
secure ^vbi++++=secure
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
did ^vbd+dod+vrb++=did
by ^in++++=by
beating ^xvbg+++xvbg+=beating
down ^rp++++=down
the ^ati++++=the
canvas ^nn++++=canvas
with ^in++++=with
the ^ati++++=the
oars ^nns+++??+=oars.
. ^zz++++=EXTRAWORD
After ^in++++=After
several ^ap++++=several
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
setting ^xvbg+++xvbg+=setting
up ^rp++++=up
the ^ati++++=the
tent ^nn++++=tent
on ^in++++=on
the ^ati++++=the
leeward ^rb++++=leeward
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
ledge ^nn++++=ledge.
. ^zz++++=EXTRAWORD
Blinded ^xvbn+++xvbn+=Blinded
by ^in++++=by
the ^ati++++=the
vivid ^jj+atrb+++=vivid
flashes ^nns++++=flashes
of ^in++++=of
lightning ^nn++++=lightning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drenched ^vpsv++by+xvbn+=drenched
by ^in++++=by
the ^ati++++=the
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
fell ^vbd+++xvbn+=fell
in ^in++++=in
torrents ^nns+++??+=torrents,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
crept ^vbd+++xvbn+=crept,
, ^zz++++=EXTRAWORD
half ^abn++++=half
dead ^jj++++=dead
with ^in++++=with
fear ^nn++++=fear
and ^cc++++=and
anguish ^nn++++=anguish,
, ^zz++++=EXTRAWORD
under ^in++++=under
our ^pp$+pp1+++=our
flimsy ^jj+atrb+++=flimsy
shelter ^nn++++=shelter.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
the ^ati++++=the
anguish ^nn++++=anguish
nor ^cc++neg++=nor
the ^ati++++=the
fear ^nn++++=fear
was ^vbd+bedz+vrb++=was
on ^in++++=on
our ^pp$+pp1+++=our
own ^ap++++=own
account ^nn++++=account,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
comparatively ^rb++++=comparatively
safe ^jj+pred+++=safe,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace,
, ^zz++++=EXTRAWORD
driven ^xvbn+++xvbn+=driven
out ^rp+pl+++=out
to ^in++++=to
sea ^nn++++=sea
in ^in++++=in
the ^ati++++=the
merciless ^jj+atrb+++=merciless
gale ^nn++++=gale.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shuddered ^vbd+++xvbn+=shuddered
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
him ^pp3o+pp3+++=him
in ^cs+sub+++=in
that ^cs"++++=that
frail ^jj+atrb+++=frail
shell ^nn++++=shell,
, ^zz++++=EXTRAWORD
drifting ^jj+++xvbg+=drifting
on ^in++++=on
and ^cc++++=and
on ^in+cmpx+++=on
to ^in"++++=to
his ^pp$+pp3+++=his
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sky ^nn++++=sky
rent ^nn++++=rent
with ^in++++=with
lightning ^nn++++=lightning
over ^in++++=over
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
green ^nn++++=green
abysses ^nns+++??+=abysses
yawning ^vwbg+++xvbg+=yawning
beneath ^in+pl+++=beneath
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
suddenly ^rb++++=suddenly
fell ^vbd+++xvbn+=fell
to ^to++++=to
crying ^vbg+++xvbg+=crying,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cried ^vbd+++xvbn+=cried
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
not ^xnot++not++=not
how ^wrb+who+++=how
long ^jj++++=long.
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
the ^ati++++=the
storm ^nn++++=storm
raged ^vbd+++xvbn+=raged
with ^in++++=with
augmented ^jj+atrb++xvbn+=augmented
fury ^nn++++=fury.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
hold ^vbi+vprv+++=hold
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
ropes ^nns++++=ropes
of ^in++++=of
the ^ati++++=the
tent ^nn++++=tent
to ^to++++=to
prevent ^vbi++++=prevent
it ^pp3+it+++=it
blowing ^vbg+++xvbg+=blowing
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spray ^nn++++=spray
from ^in++++=from
the ^ati++++=the
river ^nn++++=river
leaped ^vbd+++xvbn+=leaped
several ^ap++++=several
yards ^nns++++=yards
up ^rp++++=up
the ^ati++++=the
rocks ^nns++++=rocks
and ^cc++++=and
clutched ^vbd+++xvbn+=clutched
at ^rb++++=at
us ^pp1o+pp1+++=us
malignantly ^rb++++=malignantly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ql+amp+++=very
island ^npl++++=island
trembled ^vbd+++xvbn+=trembled
with ^in++++=with
the ^ati++++=the
concussions ^nns+++??+=concussions
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea
beating ^vwbg+++xvbg+=beating
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
times ^nns++++=times
I ^pp1a+pp1+++=I
fancied ^vbd+++xvbnx+=fancied
that ^tht+vcmp+++=that
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
loose ^jj++++=loose
from ^in++++=from
its ^pp$+it+++=its
foundation ^nn+nom+++=foundation
and ^cc++++=and
was ^vbd+bedz+aux++=was
floating ^vbg+++xvbgx+=floating
off ^rp+pl+++=off
with ^in++++=with
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
breakers ^nns+nom+++=breakers,
, ^zz++++=EXTRAWORD
streaked ^j+++xvbn+=streaked
with ^in++++=with
angry ^jj+atrb+++=angry
phosphorus ^nns+++??+=phosphorus,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
fearful ^jj+pred+++=fearful
to ^to++++=to
look ^vbi++++=look
at ^in+strn+++=at.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
rose ^vbd+++xvbn+=rose
higher ^jjr++++=higher
and ^cc+phrs+++=and
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
cutting ^nvbg+++xvbg+=cutting
long ^rb++++=long
slits ^nns++++=slits
in ^in++++=in
the ^ati++++=the
tent ^nn++++=tent,
, ^zz++++=EXTRAWORD
through ^in++++=through
which ^whp+rel+pied++=which
the ^ati++++=the
rain ^nn++++=rain
poured ^vbd+++xvbn+=poured
incessantly ^rb++++=incessantly.
. ^zz++++=EXTRAWORD
To ^to++++=To
complete ^vbi++++=complete
the ^ati++++=the
sum ^nn++++=sum
of ^in++++=of
our ^pp$+pp1+++=our
miseries ^nns+nom+++=miseries,
, ^zz++++=EXTRAWORD
the ^ati++++=the
night ^nn++++=night
was ^vbd+bedz+vrb++=was
at ^in++++=at
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
down ^in++++=down
abruptly ^rb+cnj+++=abruptly,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
curtain ^nn++++=curtain,
, ^zz++++=EXTRAWORD
shutting ^vbg+++xvbg+=shutting
in ^rb+phrv+++=in
Sandpeep ^np+++??+=Sandpeep
Island ^nn++++=Island
from ^in++++=from
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
dirty ^jj+atrb+++=dirty
night ^nn++++=night,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
sailors ^nns++++=sailors
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
The ^ati++++=The
darkness ^nns+nom+++=darkness
was ^vbd+bedz+vrb++=was
something ^pn++++=something
that ^dt+pdem+++=that
could ^md+pos+++=could
be ^vb+be+aux++=be
felt ^vpsv++agls+xvbnx+=felt
as ^cc++++=as
well ^rb++++=well
as ^cs+sub+++=as
seen ^vbd+vprv++xvbn+=seen--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
pressed ^vbd+++xvbn+=pressed
down ^rp++++=down
upon ^in++++=upon
one ^pn++++=one
with ^in++++=with
a ^at++++=a
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
clammy ^jj+atrb+++=clammy
touch ^nn++++=touch.
. ^zz++++=EXTRAWORD
Gazing ^vbg+++xvbg+=Gazing
into ^in++++=into
the ^ati++++=the
hollow ^jj+atrb+++=hollow
blackness ^nns+nom+++=blackness,
, ^zz++++=EXTRAWORD
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
imaginable ^jj+atrb+++=imaginable
shapes ^nns++++=shapes
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
start ^vbi++++=start
forth ^rp++++=forth
from ^in++++=from
vacancy ^nn++++=vacancy-brilliant
- ^zz++++=EXTRAWORD
brilliant ^jj+atrb+++=EXTRAWORD
colors ^nns++++=colors,
, ^zz++++=EXTRAWORD
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
prisms ^nns++++=prisms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dancing ^vbg+++xvbg+=dancing
lights ^nns++++=lights.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
lying ^vbg+++xvbg+=lying
awake ^jj++++=awake
at ^in++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
not ^xnot++not++=not
amused ^jj+++xvbn+=amused
or ^cc+phrs+++=or
terrified ^jj++++=terrified
himself ^ppl+pp3+++=himself
by ^in++++=by
peopling ^nn+nom+++=peopling
the ^ati++++=the
spaces ^nns++++=spaces
around ^in++++=around
his ^pp$+pp3+++=his
bed ^nn++++=bed
with ^in++++=with
these ^dt+dem+++=these
phenomena ^nns++++=phenomena
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
eyes ^nns++++=eyes?
? ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
say ^vb+vpub+++=say,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
Fred ^np++++=Fred
Langdon ^np++++=Langdon,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
clutching ^vbg+++xvbg+=clutching
my ^pp$+pp1+++=my
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
" ^zz++++="don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
things ^nns++++=things--out
-- ^--+clp+++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
there ^rn+pl+++=there--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
the ^ati++++=the
dark ^nn++++=dark?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes--Binny
-- ^--+clp+++=EXTRAWORD
binny ^nn+++??+=EXTRAWORD
Wallace ^np++++=Wallace's
's ^$++++=EXTRAWORD
face ^nn++++=face!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
added ^vbd+vpub++xvbnx+=added
to ^in++++=to
my ^pp$+pp1+++=my
own ^ap++++=own
nervousness ^nns+nom+++=nervousness
by ^in++++=by
making ^xvbg+++xvbg+=making
this ^dt+dem+++=this
avowal ^nn++++=avowal;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
for ^in++++=for
the ^ati++++=the
last ^ap++++=last
ten ^cd++++=ten
minutes ^nns++++=minutes
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
little ^ap++++=little
besides ^rb++++=besides
that ^dt+dem+++=that
star ^nn++++=star-pale
- ^zz++++=EXTRAWORD
pale ^nn++++=EXTRAWORD
face ^nn++++=face
with ^in++++=with
its ^pp$+it+++=its
angelic ^jj+atrb+++=angelic
hair ^nn++++=hair
and ^cc++++=and
brows ^nns++++=brows.
. ^zz++++=EXTRAWORD
First ^rb++++=First
a ^at++++=a
slim ^jj+atrb+++=slim
yellow ^jj+atrb+++=yellow
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
nimbus ^nns+++??+=nimbus
round ^in++++=round
the ^ati++++=the
dark ^jj+atrb+++=dark
moon ^np++++=moon,
, ^zz++++=EXTRAWORD
took ^jj+atrb++xvbn+=took
shape ^nn++++=shape
and ^cc++++=and
grew ^vbd+++xvbn+=grew
sharp ^jj++++=sharp
against ^in++++=against
the ^ati++++=the
darkness ^nns+nom+++=darkness;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
this ^dt+dem+++=this
faded ^jj+++xvbn+=faded
gradually ^rb+cnj+++=gradually,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Face ^nn++++=Face,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
the ^ati++++=the
same ^ap++++=same
sad ^jj++++=sad,
, ^zz++++=EXTRAWORD
sweet ^jj++++=sweet
look ^vb++++=look
it ^pp3+it+++=it
wore ^vbd+++xvbn+=wore
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
waved ^vbd+++xvbnx+=waved
his ^pp$+pp3+++=his
hand ^nn++++=hand
to ^in++++=to
us ^pp1o+pp1+++=us
across ^in+pl+++=across
the ^ati++++=the
awful ^jj+atrb+++=awful
water ^nn++++=water.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
optical ^jj+atrb+++=optical
illusion ^nn++++=illusion
kept ^vbd+++xvbn+=kept
repeating ^vbg+vpub++xvbg+=repeating
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
too ^rb+cnj+++=too,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Adams ^np++++=Adams."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
every ^at++++=every
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
outside ^in+pl+++=outside
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
if ^cs+cnd+++=if
it ^pp3+it+++=it
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=was
poor ^jj+atrb+++=poor
little ^jj+atrb+++=little
Wallace ^np++++=Wallace
looking ^vwbg+++xvbg+=looking
in ^in++++=in
at ^rb++++=at
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
O ^zz++++=O
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
dare ^vb++++=dare
to ^to+vcmp+++=to
go ^vbi++++=go
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
town ^nn++++=town
without ^in++++=without
him ^pp3o+pp3+++=him?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
wished ^vprf+++xvbnx+=wished
a ^at++++=a
hundred ^cd++++=hundred
times ^nns++++=times,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
sitting ^vbg+++xvbgx+=sitting
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
place ^nn++++=place,
, ^zz++++=EXTRAWORD
alive ^jj++++=alive
or ^cc+phrs+++=or
dead ^jj++++=dead!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
dreaded ^vbd+++xvbn+=dreaded
the ^ati++++=the
approach ^nn++++=approach
of ^in++++=of
morning ^nn++++=morning
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
we ^pp1a+pp1+++=we
longed ^vbd+++xvbn+=longed
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
morning ^nn++++=morning
would ^md+prd+++=would
tell ^vb++++=tell
us ^pp1o+pp1+++=us
all ^rb++++=all.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
possible ^jj++++=possible
for ^in++++=for
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
to ^in++++=to
outride ^nn+++??+=outride
such ^abl++++=such
a ^at++++=a
storm ^nn++++=storm?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
lighthouse ^nn++++=lighthouse
on ^in++++=on
Mackerel ^nn++++=Mackerel
Reef ^nn++++=Reef,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
lay ^jjb+++xvbn+=lay
directly ^rb++++=directly
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
the ^ati++++=the
boat ^nn++++=boat
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
when ^wrb+who+++=when
it ^pp3+it+++=it
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
Dolphin ^np+++??+=Dolphin
had ^vbd+hvd+aux++=had
caught ^vprf+++xvbnx+=caught
on ^in++++=on
this ^dt+dem+++=this
reef ^nn++++=reef,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
Binny ^np+++??+=Binny
Wallace ^np++++=Wallace
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
his ^pp$+pp3+++=his
cries ^nns++++=cries
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
heard ^vpsv++by+xvbnx+=heard
by ^in++++=by
the ^ati++++=the
keeper ^nn++++=keeper
of ^in++++=of
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
owned ^vbd+++xvbn+=owned
a ^at++++=a
life ^nn++++=life-boat,
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
rescued ^vprf+++xvbnx+=rescued
several ^ap++++=several
persons ^nns++++=persons.
. ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
could ^md+pos+++=could
tell ^vb++++=tell?
? ^zz++++=EXTRAWORD
Such ^abl++++=Such
were ^vbd+bed+vrb++=were
the ^ati++++=the
questions ^nns+nom+++=questions
we ^pp1a+pp1+++=we
asked ^vbd+vsua++xvbn+=asked
ourselves ^ppls+pp1+++=ourselves
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
lay ^vbd+++xvbn+=lay
huddled ^vwbn+++xvbn+=huddled
together ^nn+nom+++=together
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
daybreak ^nn+++??+=daybreak.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
an ^at++++=an
endless ^jj+atrb+++=endless
night ^nn++++=night
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
months ^nns++++=months
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
so ^ql++++=so
long ^rb++++=long.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
position ^nn+nom+++=position
was ^vbd+bedz+vrb++=was
irksome ^jj+pred+++=irksome
rather ^rb++++=rather
than ^in++++=than
perilous ^jj++++=perilous;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
day ^nn++++=day
was ^vbd+bedz+vrb++=was
certain ^jj+pred+++=certain
to ^to+jcmp+++=to
bring ^vbi++++=bring
us ^pp1o+pp1+++=us
relief ^nn++++=relief
from ^in++++=from
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
our ^pp$+pp1+++=our
prolonged ^jj+atrb++xvbn+=prolonged
absence ^nn+nom+++=absence,
, ^zz++++=EXTRAWORD
together ^nn+nom+++=together
with ^in++++=with
the ^ati++++=the
storm ^nn++++=storm,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
doubt ^nn++++=doubt
excited ^vbd+++xvbn+=excited
the ^ati++++=the
liveliest ^nn++++=liveliest
alarm ^vb++++=alarm
for ^in++++=for
our ^pp$+pp1+++=our
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
suspense ^nn++++=suspense
were ^vbd+bed+vrb++=were
hard ^jj+pred+++=hard
to ^to+jcmp+++=to
bear ^vbi+vprv+++=bear.
. ^zz++++=EXTRAWORD
