Seated ^xvbn+++xvbn+=Seated
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
back ^rb+phrv+++=back
into ^in++++=into
the ^ati++++=the
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
ground ^nn++++=ground
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
teeth ^nns++++=teeth
together ^nn+nom+++=together
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
Bill ^nn++++=Bill
Chambers ^nns+nom+++=Chambers
that ^tht+rel+obj++=that
the ^ati++++=the
next ^ap++++=next
time ^nn++++=time
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
advice ^nn++++=advice
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
remember ^nn+nom+++=remember
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
there ^rn+pl+++=there
trembling ^jj+++xvbg+=trembling
all ^abn++++=all
over ^in++++=over
with ^in++++=with
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
winder ^jjr+atrb+++=winder
agin ^nn+++??+=agin
and ^cc++++=and
dropped ^vbd+++xvbn+=dropped
the ^ati++++=the
coat ^nn++++=coat
on ^in++++=on
his ^pp$+pp3+++=his
' ^zz++++='ead
ead ^nn+++??+=EXTRAWORD
and ^cc++++=and
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
Bob ^np++++=Bob
felt ^vbd+vprv++xvbn+=felt
his ^pp$+pp3+++=his
kindness ^nns+nom+++=kindness
very ^ql+amp+++=very
much ^ap++++=much,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
' ^zz++++='oped
oped ^jj+++xvbn+=EXTRAWORD
Dicky ^np+++??+=Dicky
ud ^nn+++??+=ud
make ^vb++++=make
a ^at++++=a
good ^jj+atrb+++=good
job ^nn++++=job
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
favrite ^nn++++=favrite
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
there ^rn+pl+++=there
shaking ^jj+++xvbg+=shaking
all ^abn++++=all
over ^in++++=over
till ^cs+sub+++=till
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
shut ^vb+++xvbn+=shut
the ^ati++++=the
winder ^jjr++++=winder
down ^rp++++=down
agin ^nn+++??+=agin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
' ^zz++++='e
e ^zz++++=EXTRAWORD
turned ^vbd+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
conjurer ^jjr++++=conjurer,
, ^zz++++=EXTRAWORD
as ^in++++=as
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
come ^vb++++=come
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbd+vsua++xvbn+=asked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
wot ^wpr++++=wot
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
do ^vb++++=do
about ^in++++=about
it ^pp3+it+++=it
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
the ^ati++++=the
watch ^nn++++=watch,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^jjr++++=conjurer,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
winder ^nn++++=winder.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
went ^vbd+++xvbn+=went
into ^in++++=into
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
go ^vb++++=go.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
no ^at++++=no
more ^rbr++++=more
shot ^nn+++xvbn+=shot
than ^in++++=than
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
send ^vb++++=send
for ^in++++=for
the ^ati++++=the
doctor ^nn++++=doctor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='elp
elp ^nn+++??+=EXTRAWORD
that ^tht+rel+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
my ^pp$+pp1+++=my
watch ^nn++++=watch
or ^cc+cls+++=or
else ^rb+cnj+++=else
twenty ^cd++++=twenty
pounds ^nns++++=pounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We'll
we ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
talk ^vb++++=talk
it ^pp3+it+++=it
over ^rb++++=over
in ^in++++=in
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
conjurer ^nn++++=conjurer.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
giving ^vbg+++xvbgx+=giving
my ^pp$+pp1+++=my
celebrated ^jj+atrb++xvbn+=celebrated
entertainment ^nn+nom+++=entertainment
at ^in++++=at
Wickham ^np+++??+=Wickham
Fair ^jj++++=Fair
on ^in++++=on
Monday ^nr++++=Monday,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come
back ^rp++++=back
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
to ^in++++=to
the ^ati++++=the
Cauliflower ^np+nom++??+=Cauliflower
the ^ati++++=the
Saturday ^nr++++=Saturday
before ^cs+sub+++=before
and ^cc++++=and
give ^vb++++=give
another ^dt++++=another
entertainment ^nn+nom+++=entertainment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
see ^vb+vprv+++=see
wot ^wpr++++=wot's
's ^vbz+bez+vrb++0=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
run ^vb+++xvbn+=run
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
in ^in++++=in
any ^dti++++=any
case ^nn++++=case
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
afford ^vb++++=afford
to ^to+vcmp+++=to
miss ^vb++++=miss
the ^ati++++=the
fair ^nn++++=fair."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
gave ^vbd+++xvbn+=gave
way ^nn++++=way
at ^rb++++=at
last ^rb"++++=last
and ^cc++++=and
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
' ^zz++++='ome
ome ^nn+++??+=EXTRAWORD
to ^in++++=to
bed ^nn++++=bed
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
wife ^nn++++=wife
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listening ^vbg+++xvbg+=listening
to ^to++++=to
' ^zz++++='er
er ^&fw++++=EXTRAWORD
advice ^nn++++=advice
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
up ^rp++++=up
at ^in++++=at
six ^cd++++=six
o'clock ^rb++++=o'clock
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
and ^cc++++=and
went ^vbd+++xvbn+=went
round ^rb++++=round
to ^to++++=to
see ^vbi+vprv+++=see
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
Bob ^np++++=Bob
Pretty ^rb++++=Pretty
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty
was ^vbd+bedz+vrb++=was
up ^rp++++=up
when ^wrb+who+++=when
' ^zz++++='e
e ^zz++++=EXTRAWORD
got ^vprf+++xvbn+=got
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arter ^jjr++++=arter
calling ^jj+++xvbg+=calling
up ^rp++++=up
the ^ati++++=the
stairs ^nns++++=stairs
to ^in++++=to
Bob ^np++++=Bob
told ^vbd+vpub++xvbn+=told
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
to ^to++++=to
go ^vbi++++=go
upstairs ^jjb++++=upstairs.
. ^zz++++=EXTRAWORD
Bob ^np++++=Bob
Pretty ^rb++++=Pretty
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
up ^rp++++=up
in ^in++++=in
bed ^nn++++=bed
with ^in++++=with
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
face ^vb++++=face
covered ^vbd+++xvbn+=covered
in ^in++++=in
bandages ^nns+nom+++=bandages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
quite ^rb++++=quite
pleased ^jj+++xvbn+=pleased
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
everybody ^pn++++=everybody
that ^dt+dem+++=that
ud ^nn+++??+=ud
get ^vb++++=get
up ^rp++++=up
at ^in++++=at
six ^cd++++=six
o'clock ^rb++++=o'clock
to ^to++++=to
see ^vbi+vprv+++=see
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
a ^at++++=a
feeling ^jj+++xvbg+=feeling
' ^zz++++='art,
art ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
coughed ^vbd+++xvbn+=coughed
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
whether ^cs+who+++=whether
the ^ati++++=the
watch ^nn++++=watch
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
so ^ql++++=so,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
hidden ^vpsv++agls+xvbnx+=hidden.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
as ^rb++++=as
well ^rb++++=well
tidy ^jj++++=tidy
up ^rp++++=up
the ^ati++++=the
room ^nn++++=room
for ^in++++=for
you ^pp2+pp2+++=you
a ^at++++=a
bit ^nn++++=bit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
sitting ^xvbg+++xvbg+=sitting
idle ^jj++++=idle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thankee,
thankee ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mate ^nn++++=mate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
lay ^vbd+++xvbn+=lay
still ^jj+pred+++=still
and ^cc++++=and
watched ^vbd+++xvbn+=watched
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
eye ^nn++++=eye
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
covered ^vwbn+++xvbn+=covered
with ^in++++=with
the ^ati++++=the
bandages ^nns+nom+++=bandages.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
suppose ^vb+vprv+++=suppose
that ^tht+vcmp+++=that
room ^nn++++=room
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
ever ^rb++++=ever
been ^vprf+ben+aux+xvbn+=been
tidied ^vpsv++agls+xvbnx+=tidied
up ^rp++++=up
so ^rb++++=so
thoroughly ^rb+amp+++=thoroughly
since ^cs+sub+++=since
the ^ati++++=the
Prettys ^np+++??+=Prettys
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
lived ^vbd+++xvbn+=lived
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
anything ^pn++++=anything
of ^in++++0=o'
the ^ati++++=the
watch ^nn++++=watch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wot ^wpr++++=wot
made ^vbd+++xvbn+=made
' ^zz++++='im
im ^&fw++++=EXTRAWORD
more ^rbr++++=more
angry ^jj++++=angry
than ^in++++=than
anything ^pn++++=anything
else ^rb+cnj+++=else
was ^vbd+bedz+vrb++=was
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty
setting ^vwbg+++xvbg+=setting
down ^rp++++=down
in ^in++++=in
a ^at++++=a
chair ^nn++++=chair
with ^in++++=with
' ^zz++++='er
er ^&fw++++=EXTRAWORD
' ^zz++++='ands
ands ^vbz+++??+=EXTRAWORD
folded ^vwbn+++xvbn+=folded
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap
and ^cc++++=and
pointing ^vbg+++xvbg+=pointing
out ^rp+pl+++=out
places ^nns++++=places
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
' ^zz++++='adn't
ad ^&fw++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
done ^vbd+++xvbn+=done.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
leave ^vb++++=leave
' ^zz++++='im
im ^&fw++++=EXTRAWORD
alone ^rb+cnj+++=alone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
knows ^vbz+vprv+++=knows
wot ^wpr++++=wot
' ^zz++++='e's
e ^zz++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
arter ^jjr++++=arter.
. ^zz++++=EXTRAWORD
Wot ^np+++??+=Wot
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
with ^in++++=with
those ^dt+dem+++=those
little ^jj+atrb+++=little
bits ^nns++++=bits
of ^in++++0=o'
watch ^nn++++=watch
you ^pp2+pp2+++=you
found ^vbd+vprv++xvbn+=found
when ^wrb+who+whcl++=when
you ^pp2+pp2+++=you
was ^vbd+bedz+aux++=was
bandaging ^vbg+++xvbgx+=bandaging
me ^pp1o+pp1+++=me
up ^rp++++=up,
, ^zz++++=EXTRAWORD
missis ^vbz+++??+=missis?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
ask ^vb++++=ask
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Pretty ^np++++=Pretty.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
such ^abl++++=such
a ^at++++=a
state ^nn++++=state
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
wot ^wpr++++=wot
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing
' ^zz++++='ardly."
ardly ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
must ^md+nec+++=must
be ^vb+be+vrb++=be
about ^in++++=about
somewhere ^rb+cnj+++=somewhere,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
a ^at++++=a
look ^nn++++=look
for ^in++++=for
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
find ^vb+vprv+++=find
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
keep ^vb++++=keep
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
belong ^vb++++=belong
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
be ^vbi++vrb++=be
civil ^jj+pred+++=civil
and ^cc++++=and
thank ^vb++++=thank
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
off ^rp+pl+++=off
' ^zz++++='ome
ome ^nn+++??+=EXTRAWORD
and ^cc++++=and
talked ^vbd+++xvbn+=talked
it ^pp3+it+++=it
over ^rb++++=over
with ^in++++=with
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
wife ^nn++++=wife
agin ^nn+++??+=agin.
. ^zz++++=EXTRAWORD
People ^nns++++=People
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
up ^rp++++=up
their ^pp$+pp3+++=their
minds ^nns++++=minds
whether ^cs+who+++=whether
Bob ^np++++=Bob
Pretty ^rb++++=Pretty
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
watch ^nn++++=watch
in ^in++++=in
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
pocket ^nn++++=pocket
and ^cc++++=and
was ^vbd+bedz+aux++=was
shamming ^vbg+++xvbgx+=shamming,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
really ^rb+emph+splt++=really
shot ^vpsv++agls+xvbnx+=shot,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
all ^abn++++=all
quite ^rb++++=quite
certain ^jj++++=certain
that ^tht+jcmp+++=that,
, ^zz++++=EXTRAWORD
whichever ^nn+nom+++=whichever
way ^nn++++=way
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
Dicky ^np+++??+=Dicky
Weed ^nn++++=Weed
would ^md+prd+++=would
never ^rb++splt++=never
see ^vb+vprv+++=see
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
watch ^vb++++=watch
agin ^nn+++??+=agin.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
Saturday ^nr++++=Saturday
evening ^nn++++=evening
this ^dt+dem+++=this
' ^zz++++='ere
ere ^nn+++??+=EXTRAWORD
Cauliflower ^np+nom++??+=Cauliflower
public- ^nn+++??+=public-'ouse
'ouse ^nn+++??+=EXTRAWORD
was ^vbd+bedz+aux++=was
crowded ^vpsv++agls+xvbnx+=crowded,
, ^zz++++=EXTRAWORD
everybody ^pn++++=everybody
being ^vbg+beg++xvbg+=being
anxious ^jj++++=anxious
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
watch ^nn++++=watch
trick ^nn++++=trick
done ^vwbn+++xvbn+=done
over ^rb+phrv+++=over
agin ^nn+++??+=agin.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
' ^zz++++='eard
eard ^nn+++??+=EXTRAWORD
that ^tht+rel+obj++=that
it ^pp3+it+++=it
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
been ^vprf+ben+aux+xvbn+=been
done ^vpsv++agls+xvbnx+=done
all ^abn++++=all
right ^jj++++=right
at ^rb++++=at
Cudford ^np+++??+=Cudford
and ^cc++++=and
Monksham ^np+++??+=Monksham;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Bob ^np++++=Bob
Pretty ^rb++++=Pretty
said ^vbd+vpub++xvbn+=said
as ^in++++=as
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
when ^wrb+who+++=when
' ^zz++++='e
e ^zz++++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbn+=saw
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
afore ^in+strn+++=afore.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++0=o'
the ^ati++++=the
fust ^nn+++??+=fust
to ^to++++=to
turn ^vbi++++=turn
up ^rb+phrv+++=up
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
' ^zz++++='e
e ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
' ^zz++++='e
e ^zz++++=EXTRAWORD
wanted ^vprf+++xvbn+=wanted
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
wot ^wpr++++=wot
the ^ati++++=the
conjurer ^jjr++++=conjurer
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
pay ^vb++++=pay
him ^pp3o+pp3+++=him
for ^in++++=for
all ^abn++++=all
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
pain ^nn++++=pain
and ^cc++++=and
suffering ^nvbg+++xvbg+=suffering
and ^cc++++=and
having ^nn+hv++xvbg+=having
things ^nns++++=things
said ^vbd+vpub++xvbn+=said
about ^in++++=about
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
in ^in++++=in
leaning ^nn++++=leaning
on ^in++++=on
a ^at++++=a
stick ^nn++++=stick,
, ^zz++++=EXTRAWORD
with ^in++++=with
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
face ^nn++++=face
still ^rb+atrb+++=still
bandaged ^jj+++xvbn+=bandaged,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
right ^nn++++=right
up ^rp++++=up
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
conjurer ^jjr+atrb+++=conjurer's
's ^vbz+bez+vrb++0=EXTRAWORD
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him
as ^in++++=as
' ^zz++++='ard
ard ^nn+++??+=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
