Married ^vbd+++xvbn+=Married
goddess ^nns+nom+++=goddess.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
hung ^vbd+++xvbn+=hung
heavy ^jj++++=heavy
and ^cc+phrs+++=and
free ^jj++++=free
about ^rb++++=about
her ^pp3o+pp3+++=her
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
for ^in++++=for
those ^dt+dem+++=those
reasoning ^jj+atrb++xvbg+=reasoning
powers ^nns++++=powers
were ^vbd+bed+aux++=were
to ^to++++=to
be ^vbi+vbi+aux++=be
spurred ^vpsv++by+xvbnx+=spurred
by ^in++++=by
a ^at++++=a
plunging ^nn++++=plunging
of ^in++++=of
white ^jj+atrb+++=white
fingers ^nns+nom+++=fingers
into ^in++++=into
the ^ati++++=the
golden ^jj+atrb+++=golden
mass ^nn++++=mass.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
disheveled ^jj+atrb++xvbn+=disheveled
state ^nn++++=state
Eleanor ^np++++=Eleanor's
's ^$++++=EXTRAWORD
presence ^nn+nom+++=presence
seemed ^vbd+seem++xvbn+=seemed
too ^ql++++=too
large ^jj++++=large
for ^in++++=for
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
its ^pp$+it+++=its
delicate ^jj+atrb+++=delicate
furnishings ^nns++++=furnishings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place
fitted ^vwbn+++xvbn+=fitted
well ^jj+pred+++=well
an ^at++++=an
Eleanor ^np++++=Eleanor
in ^in++++=in
repose ^nn++++=repose
but ^cc++++=but
not ^xnot++not++=not
an ^at++++=an
Eleanor ^np++++=Eleanor
who ^whp+rel+subj++=who
swept ^vbd+++xvbn+=swept
the ^ati++++=the
narrow ^jj+atrb+++=narrow
confines ^nns++++=confines
like ^in++++=like
an ^at++++=an
incipient ^jj+atrb+++=incipient
cyclone ^nn+++??+=cyclone.
. ^zz++++=EXTRAWORD
Reason ^nn++++=Reason
did ^vbd+dod+vrb++=did
good ^jj+atrb+++=good
work ^nn++++=work
and ^cc++++=and
stood ^vbd+++xvbn+=stood
its ^pp$+it+++=its
ground ^nn++++=ground
bravely ^rb+cnj+++=bravely,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
against ^in++++=against
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
the ^ati++++=the
too ^ql++++=too
great ^np++++=great
odds ^nns++++=odds
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
backed ^xvbn+++xvbn+=backed
by ^in++++=by
the ^ati++++=the
soft ^jj+atrb+++=soft
prejudices ^nns++++=prejudices
of ^in++++=of
a ^at++++=a
far ^rb+pl+++=far-reaching
- ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=EXTRAWORD
heredity ^nn+nom+++=heredity.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
finally ^rb++++=finally
sank ^vbd+++xvbn+=sank
into ^in++++=into
a ^at++++=a
chair ^nn++++=chair
before ^cs+sub+++=before
her ^pp$+pp3+++=her
pretty ^rb++++=pretty
writing ^vbg+++xvbg+=writing
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
golden ^jj++++=golden
head ^jjb++++=head
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
the ^ati++++=the
outspread ^nn+++??+=outspread
arms ^nns++++=arms
waiting ^vb+++xvbg+=waiting
to ^to+vcmp+++=to
receive ^vbi++++=receive
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
burst ^vbd+++xvbnx+=burst
into ^in+ppvb+++=into
a ^at++++=a
storm ^nn++++=storm
of ^in++++=of
sobs ^nns++++=sobs
and ^cc++++=and
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
signal ^nn++++=signal
of ^in++++=of
surrender ^nn+nom+++=surrender.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
gratifying ^jj+atrb+++=gratifying
privilege ^nn++++=privilege
to ^to++++=to
be ^vbi+vbi+aux++=be
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
ignore ^vbi++++=ignore
the ^ati++++=the
reason ^nn++++=reason
of ^in++++=of
such ^abl++++=such
unusual ^jj+atrb+++=unusual
disturbance ^nn+nom+++=disturbance
in ^in++++=in
a ^at++++=a
woman ^nn++++=woman
of ^in++++=of
Eleanor ^np++++=Eleanor's
's ^$++++=EXTRAWORD
high ^jj+atrb+++=high
qualifications ^nns+nom+++=qualifications.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cause ^nn++++=cause
of ^in++++=of
that ^dt+dem+++=that
abandonment ^nn+nom+++=abandonment
of ^in++++=of
grief ^nn++++=grief
will ^md+prd+++=will
never ^rb++++=never
be ^vb+be+aux++=be
learned ^vpsv++agls+xvbnx+=learned
unless ^cs+cnd+++=unless
she ^pp3a+pp3+++=she
chooses ^vbz++++=chooses
to ^to++++=to
disclose ^vbi++++=disclose
it ^pp3+it+++=it
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Faraday ^np+++??+=Faraday
first ^od++++=first
folded ^vwbn+++xvbn+=folded
his ^pp$+pp3+++=his
wife ^nn++++=wife
in ^in++++=in
his ^pp$+pp3+++=his
arms ^nns++++=arms
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
but ^cc++++=but
the ^ati++++=the
Eleanor ^np++++=Eleanor
of ^in++++=of
his ^pp$+pp3+++=his
constant ^jj+atrb+++=constant
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
soon ^rb+tm+++=soon
began ^vbd+++xvbn+=began
to ^to++++=to
perceive ^vbi+vprv+++=perceive
how ^wrb+who+whcl++=how
more ^rbr++++=more
beautiful ^jj++++=beautiful
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown;
; ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
richness ^nns+nom+++=richness
of ^in++++=of
coloring ^xvbg+++xvbg+=coloring
and ^cc++++=and
fullness ^nns+nom+++=fullness
of ^in++++=of
health ^nn++++=health
that ^tht+rel+obj++=that
Plymdale ^np+++??+=Plymdale
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
bestow ^vb++++=bestow.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
object ^nn++++=object
of ^in++++=of
her ^pp$+pp3+++=her
stay ^vb++++=stay
in ^in++++=in
Paris ^np++++=Paris
was ^vbd+bedz+aux++=was
gaining ^vbg+++xvbgx+=gaining
fast ^rb++++=fast
to ^in++++=to
accomplishment ^nn+nom+++=accomplishment,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
already ^rb++splt++=already
acquired ^vprf+++xvbnx+=acquired
a ^at++++=a
knowledge ^nn++++=knowledge
of ^in++++=of
French ^jj++++=French
that ^dt+pdem+++=that
would ^md+prd+++=would
not ^xnot++not++=not
require ^vb+vsua+++=require
much ^ap++++=much
longer ^rbr++++=longer
to ^in++++=to
perfect ^jj++++=perfect.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
sat ^vbd+++xvbnx+=sat
together ^nn+nom+++=together
in ^in++++=in
her ^pp$+pp3+++=her
room ^nn++++=room
discussing ^vwbg+++xvbg+=discussing
plans ^nns++++=plans
for ^in++++=for
the ^ati++++=the
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
timid ^nn++++=timid
knock ^vb++++=knock
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door
caused ^vbd+++xvbn+=caused
Eleanor ^np++++=Eleanor
to ^to++++=to
look ^vbi++++=look
up ^rp++++=up,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
little ^jj+atrb+++=little
housemaid ^nn++++=housemaid
eyeing ^vwbg+++xvbg+=eyeing
her ^pp$+pp3+++=her
with ^in++++=with
the ^ati++++=the
glance ^nn++++=glance
of ^in++++=of
a ^at++++=a
fellow ^jjb+atrb+++=fellow
conspirator ^nn++++=conspirator
and ^cc++++=and
holding ^nvbg+++xvbg+=holding
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand
a ^at++++=a
card ^nn++++=card
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
suffered ^vbd+++xvbnx+=suffered
to ^to++++=to
be ^vbi++vrb++=be
but ^cc++++=but
partly ^rb+down+++=partly
visible ^jj++++=visible.
. ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor
hastily ^rb++++=hastily
approached ^vbd+++xvbn+=approached
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reading ^nvbg+++xvbg+=reading
the ^ati++++=the
name ^nn++++=name
upon ^in++++=upon
the ^ati++++=the
card ^nn++++=card
thrust ^vbd+++xvbn+=thrust
it ^pp3+it+++=it
into ^in++++=into
her ^pp$+pp3+++=her
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
exchanging ^vbg+++xvbg+=exchanging
some ^dti++++=some
whispered ^jj+atrb++xvbn+=whispered
words ^nns++++=words
with ^in++++=with
the ^ati++++=the
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
among ^in++++=among
which ^whp+rel+pied++=which
were ^vbd+bed+vrb++=were
audible ^jj+pred+++=audible,
, ^zz++++=EXTRAWORD
" ^zz++++="excuse
excuse ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="engaged,"
engaged ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="another
another ^dt++++=EXTRAWORD
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
back ^jjb++++=back
to ^in++++=to
her ^pp$+pp3+++=her
husband ^nn++++=husband
looking ^vwbg+++xvbg+=looking
a ^rb++++=a
little ^rb"++++=little
flustered ^jj++++=flustered,
, ^zz++++=EXTRAWORD
to ^to++++=to
resume ^vbi++++=resume
the ^ati++++=the
conversation ^nn+nom+++=conversation
where ^wrb+who+++=where
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
interrupted ^vpsv++agls+xvbnx+=interrupted
and ^cc++++=and
he ^pp3a+pp3+++=he
offered ^vbd+++xvbnx+=offered
no ^at++++=no
inquires ^nns+++??+=inquires
about ^in++++=about
her ^pp$+pp3+++=her
mysterious ^jj+atrb+++=mysterious
caller ^nn++++=caller.
. ^zz++++=EXTRAWORD
Entering ^vbg+++xvbg+=Entering
the ^ati++++=the
salon ^nn++++=salon
not ^xnot++not++=not
many ^ap++++=many
days ^nns++++=days
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
in ^in++++=in
doing ^xvbg+++xvbg+=doing
so ^ql++++=so
he ^pp3a+pp3+++=he
interrupted ^vbd+++xvbnx+=interrupted
a ^at++++=a
conversation ^nn+nom+++=conversation
between ^in++++=between
his ^pp$+pp3+++=his
wife ^nn++++=wife
and ^cc++++=and
a ^at++++=a
very ^ql+amp+++=very
striking ^xvbg+++xvbg+=striking
looking ^vbg+++xvbg+=looking
gentleman ^nn+nom+++=gentleman
who ^whp+rel+subj++=who
seemed ^vbd+seem++xvbn+=seemed
on ^in++++=on
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
taking ^xvbg+++xvbg+=taking
his ^pp$+pp3+++=his
leave ^nn++++=leave.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
both ^abx++++=both
disconcerted ^jj+++xvbn+=disconcerted;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
especially ^rb+cnj+++=especially,
, ^zz++++=EXTRAWORD
in ^in++++=in
bowing ^xvbg+++xvbg+=bowing,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
thrusting ^vbg+++xvbg+=thrusting
him ^pp3o+pp3+++=him
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
run ^vbi++++=run
away ^rp+pl+++=away;
; ^zz++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
any ^dti++++=any
thing ^nn++++=thing
but ^cc++++=but
meet ^vb++++=meet
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
glance ^nn++++=glance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua++xvbnx+=asked
with ^in++++=with
assumed ^jj+atrb++xvbn+=assumed
indifference ^nn+nom+++=indifference
who ^whp+who+++=who
her ^pp$+pp3+++=her
friend ^nn++++=friend
might ^md+pos+++=might
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
special ^jj++++=special,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
hopeless ^jj+atrb+++=hopeless
attempt ^nn++++=attempt
at ^rb++++=at
brazenness ^nns+nom+++=brazenness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
accepted ^vbd+vprv++xvbnx+=accepted
the ^ati++++=the
situation ^nn+nom+++=situation
without ^in++++=without
protest ^nn++++=protest,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
indulging ^vbg+++xvbg+=indulging
the ^ati++++=the
reflection ^nn+nom+++=reflection
that ^tht+vcmp+obj++=that
Eleanor ^np++++=Eleanor
was ^vbd+bedz+aux++=was
losing ^vbg+++xvbgx+=losing
something ^pn++++=something
of ^in++++=of
her ^pp$+pp3+++=her
frankness ^nns+nom+++=frankness.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
his ^pp$+pp3+++=his
wife ^nn++++=wife
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him
on ^in++++=on
another ^dt++++=another
occasion ^nn++++=occasion
to ^to++++=to
dispense ^vbi++++=dispense
with ^in++++=with
her ^pp$+pp3+++=her
company ^nn++++=company
for ^in++++=for
a ^at++++=a
whole ^jj+atrb+++=whole
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
an ^at++++=an
urgent ^jj+atrb+++=urgent
call ^nn++++=call
upon ^in++++=upon
her ^pp$+pp3+++=her
time ^nn++++=time,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
wonder ^vbi++++=wonder
if ^cs+cnd+++=if
there ^ex+pex+++=there
might ^md+pos+++=might
not ^xnot++not++=not
be ^vb+be+vrb++=be
modifications ^nns+nom+++=modifications
to ^in++++=to
this ^dt+dem+++=this
marital ^jj+atrb+++=marital
liberty ^nn++++=liberty
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
staunch ^jj++++=staunch
an ^at++++=an
advocate ^nn+nom+++=advocate.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
left ^vbd+++xvbnx+=left
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
hundred ^cd++++=hundred
little ^jj+atrb+++=little
endearments ^nns+nom+++=endearments
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
acquired ^vprf+++xvbn+=acquired
with ^in++++=with
her ^pp$+pp3+++=her
French ^jj++++=French.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
forced ^vbd+++xvbnx+=forced
himself ^ppl+pp3+++=himself
to ^in++++=to
the ^ati++++=the
writing ^jj+++xvbg+=writing
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
urgent ^jj+atrb+++=urgent
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
restlessness ^nns+nom+++=restlessness
did ^vbd+dod+aux++=did
not ^xnot++not++=not
permit ^vb++++=permit
him ^pp3o+pp3+++=him
to ^to++++=to
do ^vbi++++=do
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
drove ^vbd+++xvbn+=drove
him ^pp3o+pp3+++=him
to ^in++++=to
ugly ^jj+atrb+++=ugly
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
to ^in++++=to
the ^ati++++=the
means ^nn++++=means
of ^in++++=of
dispelling ^j++++=dispelling
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gazed ^vbd+++xvbnx+=gazed
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
wondered ^j+++xvbn+=wondered
why ^wrb+who+++=why
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
remaining ^vbg+++xvbgx+=remaining
indoors ^rn+pl+++=indoors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
followed ^vbd+vprv++xvbn+=followed
up ^rp++++=up
the ^ati++++=the
reflection ^nn+nom+++=reflection
by ^in++++=by
seizing ^xvbg+++xvbg+=seizing
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++=and
plunging ^vbg+++xvbg+=plunging
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Paris ^np++++=Paris
boulevards ^nns++++=boulevards
of ^in++++=of
a ^at++++=a
day ^nn++++=day
in ^in++++=in
early ^jj+atrb+++=early
summer ^nn++++=summer
are ^vb+ber+aux++=are
calculated ^vpsv++agls+xvbnx+=calculated
to ^to++++=to
dispel ^vbi++++=dispel
almost ^rb+hdg+++=almost
any ^dti++++=any
ache ^nn++++=ache
but ^cc++++=but
one ^pn++++=one
of ^in++++=of
that ^dt+dem+++=that
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
itself ^ppl++++=itself
incipiently ^jj++++=incipiently
felt ^vbd+vprv++xvbn+=felt
with ^in++++=with
Faraday ^np+++??+=Faraday.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
at ^rb++++=at
that ^dt+dem+++=that
stage ^nn++++=stage
when ^wrb+who+++=when
it ^pp3+it+++=it
moves ^vbz++++=moves
a ^at++++=a
man ^nn++++=man
to ^to++++=to
take ^vbi++++=take
exception ^nn+nom+++=exception
at ^in++++=at
the ^ati++++=the
inadequacy ^nn+nom+++=inadequacy
of ^in++++=of
every ^at++++=every
thing ^nn++++=thing
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
offered ^vpsv++agls+xvbnx+=offered
to ^in++++=to
his ^pp$+pp3+++=his
contemplation ^nn+nom+++=contemplation
or ^cc++++=or
entertainment ^nn+nom+++=entertainment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
was ^vbd+bedz+vrb++=was
too ^ql++++=too
hot ^jj++++=hot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shop ^nn++++=shop
windows ^nns++++=windows
were ^vbd+bed+vrb++=were
vulgar ^jj+pred+++=vulgar;
; ^zz++++=EXTRAWORD
lacking ^jj+atrb++xvbg+=lacking
artistic ^jj+atrb+++=artistic
detail ^nn++++=detail
in ^in++++=in
their ^pp$+pp3+++=their
make ^vb++++=make-up.
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
he ^pp3a+pp3+++=he
ever ^rb++++=ever
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
the ^ati++++=the
Paris ^np++++=Paris
women ^nns++++=women
attractive ^jj++++=attractive?
? ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
their ^pp$+pp3+++=their
chic ^nn++++=chic.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
scrawny ^jj+pred+++=scrawny
not ^xnot++not++=not
worth ^in++++=worth
looking ^xvbg+++xvbg+=looking
at ^rb++++=at.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to
go ^vbi++++=go
and ^cc++++=and
stroll ^nn++++=stroll
through ^in++++=through
the ^ati++++=the
galleries ^nns+nom+++=galleries
of ^in++++=of
art ^nn++++=art.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv+tht0+xvbnx+=knew
Eleanor ^np++++=Eleanor
would ^md+prd+++=would
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
be ^vbi++vrb++=be
with ^in++++=with
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
tempted ^vpsv++agls+xvbnx+=tempted
to ^to+vcmp+++=to
go ^vbi++++=go
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
tired ^jj+++xvbn+=tired
from ^in++++=from
inward ^nn++++=inward
than ^in++++=than
outward ^jjb+atrb+++=outward
restlessness ^nns+nom+++=restlessness,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
refuge ^nn++++=refuge
at ^in++++=at
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
small ^jj+atrb+++=small
tables ^nns++++=tables
of ^in++++=of
a ^at++++=a
caf ^nn+++??+=caf
, ^zz++++=,
called ^j+++xvbn+=called
for ^in++++=for
a ^at++++=a
" ^zz++++="Mazarin,"
mazarin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
seated ^jj+++xvbn+=seated
for ^in++++=for
an ^at++++=an
unheeded ^jj+atrb+++=unheeded
time ^nn++++=time,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
the ^ati++++=the
panorama ^nn++++=panorama
of ^in++++=of
Paris ^np++++=Paris
pass ^vb++++=pass
before ^in++++=before
his ^pp$+pp3+++=his
indifferent ^jj+atrb+++=indifferent
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
suddenly ^rb++++=suddenly
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
scenes ^nns++++=scenes
in ^in++++=in
this ^dt+dem+++=this
shifting ^xvbg+++xvbg+=shifting
show ^vb+vprv+++=show
struck ^vbd+++xvbn+=struck
him ^pp3o+pp3+++=him
with ^in++++=with
stunning ^jj+atrb+++=stunning
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife
riding ^vwbg+++xvbg+=riding
in ^in++++=in
a ^at++++=a
fiacre ^nn+++??+=fiacre
with ^in++++=with
her ^pp$+pp3+++=her
caller ^nn++++=caller
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
days ^nns++++=days
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
both ^abx++++=both
conversing ^jj+++xvbg+=conversing
and ^cc++++=and
in ^in++++=in
high ^jj+atrb+++=high
spirits ^nns++++=spirits.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remained ^vbd+++xvbnx+=remained
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
enervated ^vbd+++xvbn+=enervated,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
blood ^nn++++=blood
came ^vbd+++xvbn+=came
tingling ^vbg+nom++xvbg+=tingling
back ^jjb++++=back
into ^in++++=into
his ^pp$+pp3+++=his
veins ^nns++++=veins
like ^in++++=like
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
his ^pp$+pp3+++=his
finger ^nn++++=finger
ends ^nns++++=ends
twitch ^vb++++=twitch
with ^in++++=with
a ^at++++=a
desire ^nn++++=desire
( ^zz++++=(full
full ^jj++++=EXTRAWORD
worthy ^jj++++=worthy
of ^in++++=of
any ^dti++++=any
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
" ^zz++++="prejudiced
prejudiced ^xvbn+++xvbn+=EXTRAWORD
masses ^nns++++=masses")
" ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
tear ^nn++++=tear
the ^ati++++=the
scoundrel ^nn++++=scoundrel
from ^in++++=from
his ^pp$+pp3+++=his
seat ^nn++++=seat
and ^cc++++=and
paint ^nn++++=paint
the ^ati++++=the
boulevard ^&fw++++=boulevard
red ^jj++++=red
with ^in++++=with
his ^pp$+pp3+++=his
villainous ^jj+atrb+++=villainous
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
A ^at++++=A
rush ^nn++++=rush
of ^in++++=of
wild ^jj+atrb+++=wild
intentions ^nns+nom+++=intentions
crowded ^vbd+++xvbn+=crowded
into ^in++++=into
his ^pp$+pp3+++=his
brain ^nn++++=brain.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
he ^pp3a+pp3+++=he
follow ^vb+vprv+++=follow
and ^cc++++=and
demand ^nn++++=demand
an ^at++++=an
explanation ^nn+nom+++=explanation?
? ^zz++++=EXTRAWORD
Leave ^vb++++=Leave
Paris ^np++++=Paris
without ^in++++=without
ever ^rb++++=ever
looking ^jj+++xvbg+=looking
into ^in++++=into
her ^pp$+pp3+++=her
face ^nn++++=face
again ^rb+tm+++=again?
? ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^ql++++=more
not ^xnot++not++=not
worthy ^jj++++=worthy
of ^in++++=of
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
right ^nn+pred+++=right
to ^to+ncmp+++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
better ^jjr+atrb+++=better
self ^nn++++=self
and ^cc++++=and
better ^jjr+atrb+++=better
senses ^nns++++=senses
came ^vbd+++xvbn+=came
quickly ^rb++++=quickly
back ^jjb++++=back
to ^in++++=to
him ^pp3o+pp3+++=him.
