Four ^cd++++=Four
The ^ati++++=The
outcast ^nn++++=outcast
stood ^vbd+++xvbn+=stood
immovable ^jj++++=immovable,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
strange ^jj+atrb+++=strange
apparition ^nn+nom+++=apparition,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
sprung ^vbd+++xvbn+=sprung
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
ocean ^nn++++=ocean.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boat ^nn++++=boat
touched ^vbd+++xvbn+=touched
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
shot ^nn+++xvbn+=shot
lustily ^rb++++=lustily
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
" ^zz++++="Pull
pull ^vb++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
your ^pp$+pp2+++=your
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
lads ^nns++++=lads,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
man ^nn++++=man
is ^vbz+bez+vrb++=is
insane ^jj+pred+++=insane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+aux++=is
preparing ^vbg+++xvbgx+=preparing
to ^to+vcmp+++=to
leap ^vbi++++=leap
overboard ^rb+pl+++=overboard.
. ^zz++++=EXTRAWORD
A ^at++++=A
big ^jj+atrb+++=big
shark ^nn+++??+=shark
is ^vbz+bez+aux++=is
lying ^vbg+++xvbgx+=lying
in ^in++++=in
wait ^nn++++=wait
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
moment ^nn++++=moment
he ^pp3a+pp3+++=he
touches ^nns++++=touches
the ^ati++++=the
water ^nn++++=water
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
did ^vbd+dod+aux++=did
pull ^vb++++=pull
with ^in++++=with
all ^abn++++=all
their ^pp$+pp3+++=their
might ^md+pos+++=might
and ^cc++++=and
hallooed ^vpsv++agls+xvbn+=hallooed
to ^in++++=to
the ^ati++++=the
drifting ^jj+atrb++xvbg+=drifting
one ^cd1++++=one
and ^cc++++=and
warned ^vbd+vpub++xvbn+=warned
him ^pp3o+pp3+++=him
of ^in++++=of
the ^ati++++=the
shark ^nn+++??+=shark.
. ^zz++++=EXTRAWORD
" ^zz++++="Wait
wait ^vb++++=EXTRAWORD
a ^at++++=a
minute ^nn++++=minute,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
you ^pp2+pp2+++=you
on ^in++++=on
the ^ati++++=the
ship ^nn++++=ship!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
seemed ^vbd+seem++xvbn+=seemed
at ^rb++++=at
last ^rb"++++=last
to ^in++++=to
have ^vbi+vbi+aux++=have
dawned ^vprf+++xvbnx+=dawned
upon ^in++++=upon
the ^ati++++=the
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
outcast ^nn++++=outcast.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
straightened ^vbd+++xvbnx+=straightened
himself ^ppl+pp3+++=himself
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
into ^in++++=into
a ^at++++=a
wretched ^jj+atrb+++=wretched
semblance ^nn+nom+++=semblance
of ^in++++=of
dignity ^nn+nom+++=dignity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hoarsely ^rb++++=hoarsely
replied, ^nn+++??+=replied,-"No;
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
played ^vprf+++xvbnx+=played
a ^at++++=a
game ^nn++++=game
and ^cc++++=and
lost ^jj+++xvbn+=lost;
; ^zz++++=EXTRAWORD
an ^at++++=an
honest ^jj+atrb+++=honest
man ^nn++++=man
will ^md+prd+++=will
pay ^vb++++=pay
a ^at++++=a
debt ^nn++++=debt
of ^in++++=of
honor ^nn++++=honor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
with ^in++++=with
such ^abl++++=such
a ^at++++=a
light ^nn++++=light
in ^in++++=in
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
as ^ql++++=as
comes ^vbz++++=comes
only ^rb+down+++=only
into ^in++++=into
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
vision ^nn++++=vision
has ^vbz+hvz+aux++=has
penetrated ^vprf+++xvbnx+=penetrated
the ^ati++++=the
most ^ql+emph+++=most
wonderful ^jj++++=wonderful
of ^in++++=of
all ^abn++++=all
mysteries ^nns+nom+++=mysteries,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
leaped ^vbd+++xvbn+=leaped
forth ^rp++++=forth
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
