Of ^in++++=Of
has ^vbz+hvz+vrb++=has
more ^rbr++++=more
charity ^nn+nom+++=charity
for ^in++++=for
these ^dt+dem+++=these
incomplete ^jj++++=incomplete
yet ^rb++++=yet
high ^jj++++=high-souled
- ^zz++++=EXTRAWORD
souled ^jj+atrb++xvbn+=EXTRAWORD
characters ^nns+nom+++=characters,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
worst ^jjt+atrb+++=worst
real ^jj+atrb+++=real
vice ^nn++++=vice
is ^vbz+bez+vrb++=is
timidity ^nn+nom+++=timidity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
ultimately ^rb++splt++=ultimately
punished ^vpsv++by+xvbnx+=punished
by ^in++++=by
general ^jj+atrb+++=general
ridicule ^nn++++=ridicule
for ^in++++=for
their ^pp$+pp3+++=their
intellectual ^jj+atrb+++=intellectual
sins ^nns++++=sins
- ^zz++++=-sins
sins ^nns++++=EXTRAWORD
like ^in++++=like
Ptolemaism ^np+nom++??+=Ptolemaism,
, ^zz++++=EXTRAWORD
Calvinism ^np+nom++??+=Calvinism,
, ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-Darwinism,
- ^zz++++=EXTRAWORD
darwinism ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
anti ^nn+++??+=anti-Nietzscheism,
- ^zz++++=EXTRAWORD
nietzscheism ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
sort ^nn++++=sort
of ^in++++=of
Sabbatarianism ^np+nom++??+=Sabbatarianism
and ^cc++++=and
sumptuary ^nn+nom+++=sumptuary
legislation ^nn+nom+++=legislation.
. ^zz++++=EXTRAWORD
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
young ^jj++++=young
despite ^in++++=despite
his ^pp$+pp3+++=his
marvellous ^jj+atrb+++=marvellous
scientific ^jj+atrb+++=scientific
acquirements ^nns+nom+++=acquirements,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
scant ^jj+atrb+++=scant
patience ^nn+nom+++=patience
with ^in++++=with
good ^jj+atrb+++=good
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Halsey ^np++++=Halsey
and ^cc++++=and
his ^pp$+pp3+++=his
erudite ^nn++++=erudite
colleagues ^nns++++=colleagues;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nursed ^vbd+++xvbn+=nursed
an ^at++++=an
increasing ^jj+atrb++xvbg+=increasing
resentment ^nn+nom+++=resentment,
, ^zz++++=EXTRAWORD
coupled ^j+++xvbn+=coupled
with ^in++++=with
a ^at++++=a
desire ^nn++++=desire
to ^to+ncmp+++=to
prove ^vbi+vprv+++=prove
his ^pp$+pp3+++=his
theories ^nns++++=theories
to ^in++++=to
these ^dt+dem+++=these
obtuse ^jj+atrb+++=obtuse
worthies ^nns++++=worthies
in ^in++++=in
some ^dti++++=some
striking ^jj+atrb++xvbg+=striking
and ^cc+phrs+++=and
dramatic ^jj+atrb+++=dramatic
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
most ^ql+emph+++=most
youths ^nns++++=youths,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
indulged ^vprf+++xvbn+=indulged
in ^in++++=in
elaborate ^jj+atrb+++=elaborate
daydreams ^nns++++=daydreams
of ^in++++=of
revenge ^nn++++=revenge,
, ^zz++++=EXTRAWORD
triumph ^nn++++=triumph,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
final ^jj+atrb+++=final
magnanimous ^jj+atrb+++=magnanimous
forgiveness ^nns+nom+++=forgiveness.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
the ^ati++++=the
scourge ^nn++++=scourge,
, ^zz++++=EXTRAWORD
grinning ^vbg+++xvbg+=grinning
and ^cc++++=and
lethal ^jj++++=lethal,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
nightmare ^nn++++=nightmare
caverns ^nns+++??+=caverns
of ^in++++=of
Tartarus ^np++++=Tartarus.
. ^zz++++=EXTRAWORD
West ^np+pl+++=West
and ^cc++++=and
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
graduated ^vprf+++xvbnx+=graduated
about ^in++++=about
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
its ^pp$+it+++=its
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
for ^in++++=for
additional ^jj+atrb+++=additional
work ^nn++++=work
at ^rb++++=at
the ^ati++++=the
summer ^nn++++=summer
school ^nn++++=school,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
in ^in++++=in
Arkham ^np+++??+=Arkham
when ^wrb+who+++=when
it ^pp3+it+++=it
broke ^vbd+++xvbn+=broke
with ^in+ppvb+++=with
full ^jj+atrb+++=full
daemoniac ^nn+++??+=daemoniac
fury ^nn++++=fury
upon ^in++++=upon
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
not ^xnot++not++=not
as ^cs+sub+++=as
yet ^rb++++=yet
licenced ^jj+atrb++xvbn+=licenced
physicians ^nns++++=physicians,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
now ^rn+tm+++=now
had ^vb+hv+vrb++=had
our ^pp$+pp1+++=our
degrees ^nns+nom+++=degrees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+aux++=were
pressed ^vpsv++agls+xvbnx+=pressed
frantically ^rb++++=frantically
into ^in++++=into
public ^jj+atrb+++=public
service ^nn++++=service
as ^in++++=as
the ^ati++++=the
numbers ^nns+nom+++=numbers
of ^in++++=of
the ^ati++++=the
stricken ^nn++++=stricken
grew ^vbd+++xvbn+=grew.
. ^zz++++=EXTRAWORD
The ^ati++++=The
situation ^nn+nom+++=situation
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
past ^jjb+atrb+++=past
management ^nn+nom+++=management,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deaths ^nns++++=deaths
ensued ^vbd+++xvbn+=ensued
too ^rb++++=too
frequently ^rb++++=frequently
for ^in++++=for
the ^ati++++=the
local ^jj+atrb+++=local
undertakers ^nns+nom+++=undertakers
fully ^rb+amp+++=fully
to ^to++++=to
handle ^vbi++++=handle.
. ^zz++++=EXTRAWORD
Burials ^nns+nom++??+=Burials
without ^in++++=without
embalming ^xvbg+++xvbg+=embalming
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
in ^in++++=in
rapid ^jj+atrb+++=rapid
succession ^nn++++=succession,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
the ^ati++++=the
Christchurch ^np+++??+=Christchurch
Cemetery ^nn+nom+++=Cemetery
receiving ^vwbg+++xvbg+=receiving
tomb ^nn++++=tomb
was ^vbd+bedz+aux++=was
crammed ^vpsv++agls+xvbnx+=crammed
with ^in++++=with
coffins ^nns+++??+=coffins
of ^in++++=of
the ^ati++++=the
unembalmed ^jj+++xvbn+=unembalmed
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
circumstance ^nn+nom+++=circumstance
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
without ^in++++=without
effect ^nn++++=effect
on ^in++++=on
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
thought ^vbd+++xvbn+=thought
often ^rb++++=often
of ^in++++=of
the ^ati++++=the
irony ^nn++++=irony
of ^in++++=of
the ^ati++++=the
situation ^nn+nom+++=situation
- ^zz++++=-so
so ^ql++++=EXTRAWORD
many ^ap++++=many
fresh ^jj+atrb+++=fresh
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
none ^pn++++=none
for ^in++++=for
his ^pp$+pp3+++=his
persecuted ^jj+atrb++xvbn+=persecuted
researches ^nns++++=researches!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
frightfully ^rb++++=frightfully
overworked ^jj+pred+++=overworked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
terrific ^jj+atrb+++=terrific
mental ^jj+atrb+++=mental
and ^cc+phrs+++=and
nervous ^jj+atrb+++=nervous
strain ^nn++++=strain
made ^vbd+++xvbn+=made
my ^pp$+pp1+++=my
friend ^nn++++=friend
brood ^nn++++=brood
morbidly ^jj++++=morbidly.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Wests ^np+++??+=Wests
gentle ^jj+atrb+++=gentle
enemies ^nns++++=enemies
were ^vbd+bed+vrb++=were
no ^at++++=no
less ^rbr++++=less
harassed ^jj+++xvbn+=harassed
with ^in++++=with
prostrating ^xvbg+++xvbg+=prostrating
duties ^nns++++=duties.
. ^zz++++=EXTRAWORD
College ^npl++++=College
had ^vb+hv+vrb++=had
all ^abn++++=all
but ^cc++++=but
closed ^jj+++xvbn+=closed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
doctor ^nn++++=doctor
of ^in++++=of
the ^ati++++=the
medical ^jj+atrb+++=medical
faculty ^nn++++=faculty
was ^vbd+bedz+aux++=was
helping ^vbg+++xvbgx+=helping
to ^to+vcmp+++=to
fight ^vbi++++=fight
the ^ati++++=the
typhoid ^nn++++=typhoid
plague ^nn++++=plague.
. ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Halsey ^np++++=Halsey
in ^rb++++=in
particular ^rb"++++=particular
had ^vbd+hvd+aux++=had
distinguished ^vprf+++xvbnx+=distinguished
himself ^ppl+pp3+++=himself
in ^in++++=in
sacrificing ^xvbg+++xvbg+=sacrificing
service ^nn++++=service,
, ^zz++++=EXTRAWORD
applying ^vbg+++xvbg+=applying
his ^pp$+pp3+++=his
extreme ^jj+atrb+++=extreme
skill ^nn++++=skill
with ^in++++=with
whole ^jj++++=whole-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
energy ^nn++++=energy
to ^in++++=to
cases ^nns++++=cases
which ^whp+rel+obj++=which
many ^ap++++=many
others ^aps++++=others
shunned ^jj+++xvbn+=shunned
because ^cs+cos+++=because
of ^in"++++=of
danger ^nn++++=danger
or ^cc++++=or
apparent ^jj+atrb+++=apparent
hopelessness ^nns+nom+++=hopelessness.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
a ^at++++=a
month ^nn++++=month
was ^vbd+bedz+vrb++=was
over ^in++++=over
the ^ati++++=the
fearless ^jj+atrb+++=fearless
dean ^np++++=dean
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
a ^at++++=a
popular ^jj+atrb+++=popular
hero ^nn++++=hero,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
unconscious ^jj++++=unconscious
of ^in++++=of
his ^pp$+pp3+++=his
fame ^nn++++=fame
as ^ql++++=as
he ^pp3a+pp3+++=he
struggled ^vbd+++xvbnx+=struggled
to ^to+vcmp+++=to
keep ^vbi++++=keep
from ^in++++=from
collapsing ^nn++++=collapsing
with ^in++++=with
physical ^jj+atrb+++=physical
fatigue ^nn++++=fatigue
and ^cc++++=and
nervous ^jj+atrb+++=nervous
exhaustion ^nn+nom+++=exhaustion.
. ^zz++++=EXTRAWORD
West ^np+pl+++=West
could ^md+pos+++=could
not ^xnot++not++=not
withhold ^vb++++=withhold
admiration ^nn+nom+++=admiration
for ^in++++=for
the ^ati++++=the
fortitude ^nn++++=fortitude
of ^in++++=of
his ^pp$+pp3+++=his
foe ^nn++++=foe,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
of ^in"++++=of
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
even ^rb++++=even
more ^rbr++++=more
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
prove ^vbi+vprv+++=prove
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
the ^ati++++=the
truth ^nn++++=truth
of ^in++++=of
his ^pp$+pp3+++=his
amazing ^jj+atrb+++=amazing
doctrines ^nns++++=doctrines.
. ^zz++++=EXTRAWORD
Taking ^vbg+++xvbg+=Taking
advantage ^nn+nom+++=advantage
of ^in++++=of
the ^ati++++=the
disorganisation ^nn+nom+++=disorganisation
of ^in++++=of
both ^abx++++=both
college ^npl++++=college
work ^nn++++=work
and ^cc++++=and
municipal ^jj+atrb+++=municipal
health ^nn++++=health
regulations ^nns+nom+++=regulations,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
managed ^vbd+++xvbnx+=managed
to ^to+vcmp+++=to
get ^vbi++++=get
a ^at++++=a
recently ^rb+tm+++=recently
deceased ^jj+atrb+++=deceased
body ^nn++++=body
smuggled ^vbd+++xvbn+=smuggled
into ^in++++=into
the ^ati++++=the
university ^npl+nom+++=university
dissecting ^vwbg+++xvbg+=dissecting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
my ^pp$+pp1+++=my
presence ^nn+nom+++=presence
injected ^vbd+++xvbn+=injected
a ^at++++=a
new ^jj+atrb+++=new
modification ^nn+nom+++=modification
of ^in++++=of
his ^pp$+pp3+++=his
solution ^nn+nom+++=solution.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thing ^nn++++=thing
actually ^rb+amp+++=actually
opened ^vbd+++xvbn+=opened
its ^pp$+it+++=its
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^ap+down+++=only
stared ^jj+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
ceiling ^nn+nom+++=ceiling
with ^in++++=with
a ^at++++=a
look ^nn++++=look
of ^in++++=of
soul ^nn++++=soul-petrifying
- ^zz++++=EXTRAWORD
petrifying ^jj+atrb++xvbg+=EXTRAWORD
horror ^nn++++=horror
before ^in++++=before
collapsing ^nn++++=collapsing
into ^in++++=into
an ^at++++=an
inertness ^nns+nom+++=inertness
from ^in++++=from
which ^whp+rel+pied++=which
nothing ^pn++++=nothing
could ^md+pos+++=could
rouse ^vb++++=rouse
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
West ^np+pl+++=West
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
fresh ^jj++++=fresh
enough ^qlp++++=enough
- ^zz++++=-the
the ^ati++++=EXTRAWORD
hot ^jj+atrb+++=hot
summer ^nn++++=summer
air ^nn++++=air
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
favour ^nn++++=favour
corpses ^nns++++=corpses.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
time ^nn++++=time
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
almost ^rb+hdg+splt++=almost
caught ^vpsv++agls+xvbnx+=caught
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
incinerated ^vbd+++xvbn+=incinerated
the ^ati++++=the
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
West ^np+pl+++=West
doubted ^vbd+vprv++xvbn+=doubted
the ^ati++++=the
advisability ^nn+nom+++=advisability
of ^in++++=of
repeating ^xvbg+vpub+tht0+xvbg+=repeating
his ^pp$+pp3+++=his
daring ^jj+atrb++xvbg+=daring
misuse ^nn++++=misuse
of ^in++++=of
the ^ati++++=the
college ^nn++++=college
laboratory ^nn++++=laboratory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
peak ^nn++++=peak
of ^in++++=of
the ^ati++++=the
epidemic ^nn++++=epidemic
was ^vbd+bedz+aux++=was
reached ^vpsv++agls+xvbnx+=reached
in ^in++++=in
August ^nr++++=August.
. ^zz++++=EXTRAWORD
West ^np+pl+++=West
and ^cc++++=and
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
almost ^rb+hdg+++=almost
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Halsey ^np++++=Halsey
did ^vbd+dod+aux++=did
die ^vb++++=die
on ^in++++=on
the ^ati++++=the
14 ^cd++++=14
th ^zz++++=th.
. ^zz++++=EXTRAWORD
The ^ati++++=The
students ^nns++++=students
all ^abn++++=all
attended ^jj+++xvbn+=attended
the ^ati++++=the
hasty ^jj+atrb+++=hasty
funeral ^nn++++=funeral
on ^in++++=on
the ^ati++++=the
15 ^cd++++=15
th ^zz++++=th,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bought ^vbd+++xvbn+=bought
an ^at++++=an
impressive ^jj+atrb+++=impressive
wreath ^nn++++=wreath,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
latter ^ap++++=latter
was ^vbd+bedz+aux++=was
quite ^rb++splt++=quite
overshadowed ^vpsv++by+xvbnx+=overshadowed
by ^in++++=by
the ^ati++++=the
tributes ^nns++++=tributes
sent ^vwbn+++xvbn+=sent
by ^in++++=by
wealthy ^jj+atrb+++=wealthy
Arkham ^np+++??+=Arkham
citizens ^nns++++=citizens
and ^cc++++=and
by ^in++++=by
the ^ati++++=the
municipality ^nn+nom+++=municipality
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
a ^at++++=a
public ^jj+atrb+++=public
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
dean ^np++++=dean
had ^vb+hv+aux++=had
surely ^rb++splt++=surely
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
public ^jj+atrb+++=public
benefactor ^nn++++=benefactor.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
entombment ^nn+nom+++=entombment
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
all ^abn++++=all
somewhat ^rb+down+++=somewhat
depressed ^jj+++xvbn+=depressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spent ^vbd+++xvbn+=spent
the ^ati++++=the
afternoon ^nn++++=afternoon
at ^in++++=at
the ^ati++++=the
bar ^nn++++=bar
of ^in++++=of
the ^ati++++=the
Commercial ^jj+atrb+++=Commercial
House ^nn++++=House;
; ^zz++++=EXTRAWORD
where ^wrb+who+++=where
West ^np+pl+++=West,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
shaken ^vpsv++by+xvbn+=shaken
by ^in++++=by
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
his ^pp$+pp3+++=his
chief ^jjb+atrb+++=chief
opponent ^nn++++=opponent,
, ^zz++++=EXTRAWORD
chilled ^j+++xvbn+=chilled
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us
with ^in++++=with
references ^nns+nom+++=references
to ^in++++=to
his ^pp$+pp3+++=his
notorious ^jj+atrb+++=notorious
theories ^nns++++=theories.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
of ^in++++=of
the ^ati++++=the
students ^nns++++=students
went ^vbd+++xvbn+=went
home ^nr++++=home,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^in++++=to
various ^jj+atrb+++=various
duties ^nns++++=duties,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
evening ^nn++++=evening
advanced ^vbd+++xvbn+=advanced;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
West ^nr+pl+++=West
persuaded ^vwbn+vsua++xvbn+=persuaded
me ^pp1o+pp1+++=me
to ^in++++=to
aid ^nn++++=aid
him ^pp3o+pp3+++=him
in ^in++++=in
" ^zz++++="making
making ^vbg+++xvbg+=EXTRAWORD
a ^at++++=a
night ^nn++++=night
of ^in++++=of
it ^pp3+it+++=it"
" ^zz++++=EXTRAWORD
Wests ^np+++??+=Wests
landlady ^nn++++=landlady
saw ^vbd+vprv+tht0+xvbn+=saw
us ^pp1o+pp1+++=us
arrive ^vb++++=arrive
at ^in++++=at
his ^pp$+pp3+++=his
room ^nn++++=room
about ^in++++=about
two ^cd++++=two
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
third ^nn++++=third
man ^nn++++=man
between ^in++++=between
us ^pp1o+pp1+++=us;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
her ^pp$+pp3+++=her
husband ^nn++++=husband
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
all ^abn++++=all
evidently ^rb++++=evidently
dined ^vbd+++xvbn+=dined
and ^cc+phrs+++=and
wined ^vbd+++xvbn+=wined
rather ^rb++++=rather
well ^rb++++=well.
. ^zz++++=EXTRAWORD
Apparently ^rb++++=Apparently
this ^dt+dem+++=this
acidulous ^jj+atrb+++=acidulous
matron ^nn++++=matron
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right;
; ^zz++++=EXTRAWORD
for ^in++++=for
about ^in++++=about
3 ^zz++++=3
a.m ^nn+++??+=a.m.
. ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^jj+atrb+++=whole
house ^npl++++=house
was ^vbd+bedz+aux++=was
aroused ^vpsv++by+xvbnx+=aroused
by ^in++++=by
cries ^nns++++=cries
coming ^vwbg+++xvbg+=coming
from ^in++++=from
Wests ^np+++??+=Wests
room ^nn++++=room,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
broke ^vbd+++xvbnx+=broke
down ^in++++=down
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
two ^cd++++=two
of ^in++++=of
us ^pp1o+pp1+++=us
unconscious ^jj++++=unconscious
on ^in++++=on
the ^ati++++=the
blood ^nn++++=blood-stained
- ^zz++++=EXTRAWORD
stained ^jj+atrb++xvbn+=EXTRAWORD
carpet ^nn++++=carpet,
, ^zz++++=EXTRAWORD
beaten ^j+++xvbn+=beaten,
, ^zz++++=EXTRAWORD
scratched ^xvbn+++xvbn+=scratched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mauled ^jj+++xvbn+=mauled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
remnants ^nns+nom+++=remnants
of ^in++++=of
Wests ^np+++??+=Wests
bottles ^nns++++=bottles
and ^cc++++=and
instruments ^nns+nom+++=instruments
around ^rp++++=around
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
an ^at++++=an
open ^jj+atrb+++=open
window ^nn++++=window
told ^vbd+vpub++xvbn+=told
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
of ^in++++=of
our ^pp$+pp1+++=our
assailant ^nn+nom+++=assailant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
wondered ^jj+++xvbn+=wondered
how ^wrb+who+++=how
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
had ^vbd+hvd+aux++=had
fared ^vprf+++xvbnx+=fared
after ^in++++=after
the ^ati++++=the
terrific ^jj+atrb+++=terrific
leap ^nn++++=leap
from ^in++++=from
the ^ati++++=the
second ^od++++=second
story ^nn++++=story
to ^in++++=to
the ^ati++++=the
lawn ^nn++++=lawn
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
some ^dti++++=some
strange ^jj+atrb+++=strange
garments ^nns+nom+++=garments
in ^in++++=in
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
West ^np+pl+++=West
upon ^in++++=upon
regaining ^xvbg+++xvbg+=regaining
consciousness ^nns+nom+++=consciousness
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
belong ^vb++++=belong
to ^in++++=to
the ^ati++++=the
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
were ^vbd+bed+aux++=were
specimens ^nns++++=specimens
collected ^vwbn+++xvbn+=collected
for ^in++++=for
bacteriological ^jj+atrb+++=bacteriological
analysis ^nn++++=analysis
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
investigations ^nns+nom+++=investigations
on ^in++++=on
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
germ ^nn++++=germ
diseases ^nns++++=diseases.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ordered ^vbd+++xvbnx+=ordered
them ^pp3o+pp3+++=them
burnt ^vbd+++xvbn+=burnt
as ^ql++++=as
soon ^rb+tm+++=soon
as ^in++++=as
possible ^nn++++=possible
in ^in++++=in
the ^ati++++=the
capacious ^jj+atrb+++=capacious
fireplace ^nn++++=fireplace.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
police ^nns++++=police
we ^pp1a+pp1+++=we
both ^abx++++=both
declared ^jj+atrb++xvbn+=declared
ignorance ^nn+nom+++=ignorance
of ^in++++=of
our ^pp$+pp1+++=our
late ^jj+atrb+++=late
companions ^nns++++=companions
identity ^nn+nom+++=identity.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
West ^np+pl+++=West
nervously ^rb++++=nervously
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
a ^at++++=a
congenial ^jj++++=congenial
stranger ^jjr++++=stranger
whom ^whp+wpor+++=whom
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
at ^rb++++=at
some ^dti++++=some
downtown ^rn++++=downtown
bar ^nn++++=bar
of ^in++++=of
uncertain ^jj+atrb+++=uncertain
location ^nn+nom+++=location.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+aux++=had
all ^abn++++=all
been ^vb+jj+vrb+xvbn+=been
rather ^rb++++=rather
jovial ^jj++++=jovial,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
West ^np+pl+++=West
and ^cc++++=and
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
have ^vbi++vrb++=have
our ^pp$+pp1+++=our
pugnacious ^jj+atrb+++=pugnacious
companion ^nn++++=companion
hunted ^vbd+++xvbn+=hunted
down ^rb+phrv+++=down.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
same ^ap++++=same
night ^nn++++=night
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
second ^od++++=second
Arkham ^np+++??+=Arkham
horror ^nn++++=horror
- ^zz++++=-the
the ^ati++++=EXTRAWORD
