No ^at++++=No
their ^pp$+pp3+++=their
feet ^nns++++=feet
with ^in++++=with
drawn ^xvbn+++xvbn+=drawn
daggers ^nns+nom+++=daggers.
. ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha
ran ^vbd+++xvbn+=ran
to ^in+ppvb+++=to
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
the ^ati++++=the
postman ^nn++++=postman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
dropped ^vprf+++xvbnx+=dropped
a ^at++++=a
letter ^nn++++=letter
in ^in++++=in
the ^ati++++=the
box ^nn++++=box
and ^cc++++=and
gone ^vbd+++xvbn+=gone
away ^rp+pl+++=away
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
incident ^nn++++=incident
gave ^vbd+++xvbn+=gave
her ^pp3o+pp3+++=her
an ^at++++=an
idea ^nn++++=idea
of ^in++++=of
how ^wrb+who+++=how
to ^to++++=to
get ^vbi++++=get
rid ^xvbn+++xvbn+=rid
of ^in++++=of
her ^pp$+pp3+++=her
troublesome ^jj+atrb+++=troublesome
bandits ^nns++++=bandits,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
began ^vbd+++xvbnx+=began
wringing ^vbg+++xvbg+=wringing
her ^pp$+pp3+++=her
hands ^nns++++=hands
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
great ^jj+atrb+++=great
distress ^nns+nom+++=distress
and ^cc++++=and
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out:
: ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
police ^nns++++=police!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
robbers ^nns+nom+++=robbers
looked ^vbd+++xvbn+=looked
at ^rb++++=at
one ^cd1++++=one
another ^dt++++=another
with ^in++++=with
genuine ^jj+atrb+++=genuine
alarm ^nn++++=alarm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lugui ^np+++??+=Lugui
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
tremblingly ^jj++++=tremblingly:
: ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
there ^rn+pl+++=there
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
hundred ^cd++++=hundred
and ^cc++++=and
twelve ^cd++++=twelve!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Martha ^np+++??+=Martha,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
pretending ^vb+++xvbg+=pretending
to ^to+vcmp+++=to
count ^vbi++++=count
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
lost ^vpsv++agls+xvbnx+=lost!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
declared ^vbd+vpub++xvbn+=declared
Beni ^np+++??+=Beni;
; ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
never ^rb++++=never
fight ^nn++++=fight
so ^ql++++=so
many ^ap++++=many
and ^cc++++=and
live ^vb++++=live."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
armed ^vbd+++xvbnx+=armed?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
shivering ^vbg+++xvbgx+=shivering
as ^cs+sub+++=as
if ^cs+cnd+++=if
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+vrb++=have
guns ^nns++++=guns
and ^cc++++=and
swords ^nns++++=swords
and ^cc++++=and
pistols ^nns++++=pistols
and ^cc++++=and
axes ^nns++++=axes
and ^cc++++=and--and--"
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
demanded ^vwbn+vsua++xvbn+=demanded
Lugui ^np+++??+=Lugui.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
cannons ^nns+++??+=cannons!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
wicked ^jj+atrb+++=wicked
ones ^cd1s++++=ones
groaned ^vbd+++xvbn+=groaned
aloud ^rb++++=aloud
and ^cc++++=and
Beni ^np+++??+=Beni
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
hollow ^jj+atrb+++=hollow
voice ^nn++++=voice:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
they ^pp3a+pp3+++=they
will ^md+prd+++=will
kill ^vb++++=kill
us ^pp1o+pp1+++=us
quickly ^rb++++=quickly
and ^cc++++=and
not ^xnot++not++=not
put ^vb+++xvbn+=put
us ^pp1o+pp1+++=us
to ^in++++=to
the ^ati++++=the
torture ^nn++++=torture.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++tht0+xvbnx+=told
these ^dt+dem+++=these
Americans ^nns+nom+++=Americans
are ^vb+ber+aux++=are
painted ^vpsv++agls+xvbnx+=painted
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
bloodthirsty ^jj+pred+++=bloodthirsty
and ^cc+phrs+++=and
terrible ^jj++++=terrible."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
so ^ql++++=so!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
gasped ^vbd+++xvbn+=gasped
the ^ati++++=the
fat ^nn++++=fat
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
shudder ^nn++++=shudder.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
Martha ^np+++??+=Martha
turned ^vbd+++xvbn+=turned
from ^in++++=from
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
my ^pp$+pp1+++=my
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+aux++=are
devoted ^vpsv++agls+xvbnx+=devoted!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Victor ^nn++++=Victor.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
adore ^vb++++=adore
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Beni ^np+++??+=Beni.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
die ^vb++++=die
for ^in++++=for
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
added ^vbd+vpub++xvbn+=added
Lugui ^np+++??+=Lugui,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
die ^vb++++=die
anyway ^rb++++=anyway.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
save ^vb++++=save
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
" ^zz++++="How?"
how ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
three ^cd++++=three,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
back ^rb+phrv+++=back
into ^in++++=into
the ^ati++++=the
chest ^nn++++=chest,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
then ^rn+tm+splt++=then
close ^vb++++=close
the ^ati++++=the
lid ^nn++++=lid,
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
will ^md+prd+++=will
be ^vb+be+vrb++=be
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
find ^vbi+vprv+tht0++=find
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
around ^rp++++=around
the ^ati++++=the
room ^nn++++=room
in ^in++++=in
a ^at++++=a
dazed ^jj+atrb++xvbn+=dazed
and ^cc+phrs+++=and
irresolute ^jj+atrb+++=irresolute
way ^nn++++=way,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
exclaimed ^vbd+++xvbnx+=exclaimed:
: ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
quick ^jj+pred+++=quick!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
will ^md+prd+++=will
soon ^rb+tm+++=soon
be ^vb+be+vrb++=be
here ^rn+pl+++=here
to ^in++++=to
arrest ^nn++++=arrest
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Lugui ^np+++??+=Lugui
sprang ^vbd+++xvbn+=sprang
into ^in++++=into
the ^ati++++=the
chest ^nn++++=chest
and ^cc++++=and
lay ^jjb+atrb++xvbn+=lay
fat ^nn++++=fat
upon ^in++++=upon
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
Beni ^np+++??+=Beni
tumbled ^vbd+++xvbn+=tumbled
in ^in++++=in
next ^ap++++=next
and ^cc++++=and
packed ^vbd+++xvbn+=packed
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
back ^jjb+atrb+++=back
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Victor ^nn++++=Victor
followed ^vbd+vprv++xvbn+=followed
after ^cs+sub+++=after
pausing ^xvbg+++xvbg+=pausing
to ^to++++=to
kiss ^vbi++++=kiss
her ^pp$+pp3+++=her
hand ^nn++++=hand
to ^in++++=to
the ^ati++++=the
girl ^nn++++=girl
in ^in++++=in
a ^at++++=a
graceful ^jj+atrb+++=graceful
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Martha ^np+++??+=Martha
ran ^vbd+++xvbn+=ran
up ^in+cmpx+++=up
to ^in++++=to
press ^nn++++=press
down ^in++++=down
the ^ati++++=the
lid ^nn++++=lid,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
not ^xnot++not++=not
make ^vb++++=make
it ^pp3+it+++=it
catch ^vb++++=catch.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
squeeze ^vb++++=squeeze
down ^rp++++=down,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Lugui ^np+++??+=Lugui
groaned ^vbd+++xvbn+=groaned.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
doing ^vbg+++xvbgx+=doing
my ^pp$+pp1+++=my
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
miss ^npt++++=miss,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
nearest ^jjt+pred+++=nearest
the ^ati++++=the
top ^jjb++++=top;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc+cls+++=EXTRAWORD
although ^cs+con+++=although
we ^pp1a+pp1+++=we
fitted ^vbd+++xvbn+=fitted
in ^in++++=in
very ^ql+amp+++=very
nicely ^rb++++=nicely
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chest ^nn++++=chest
now ^rn+tm+++=now
seems ^vbz+seem+++=seems
rather ^rb++++=rather
small ^jj++++=small
for ^in++++=for
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
so ^ql++++=so!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
the ^ati++++=the
muffled ^jj+atrb+++=muffled
voice ^nn++++=voice
of ^in++++=of
the ^ati++++=the
fat ^nn++++=fat
man ^nn++++=man
from ^in++++=from
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
takes ^vbz++++=takes
up ^rb+phrv+++=up
the ^ati++++=the
room ^nn++++=room,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Beni ^np+++??+=Beni.
. ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Victor ^nn++++=Victor,
, ^zz++++=EXTRAWORD
anxiously ^rb++++=anxiously.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
pie ^nn++++=pie,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
returned ^vbd+++xvbn+=returned
Beni ^np+++??+=Beni.
. ^zz++++=EXTRAWORD
" ^zz++++="'Tis
it ^pp3+it+++0=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
so ^ql++++=so!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
bottom ^nn++++=bottom,
, ^zz++++=EXTRAWORD
in ^in++++=in
faint ^jj+atrb+++=faint
accents ^nns++++=accents.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Martha ^np+++??+=Martha
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
the ^ati++++=the
lid ^nn++++=lid
and ^cc++++=and
pressed ^vbd+++xvbn+=pressed
it ^pp3+it+++=it
down ^rp++++=down
with ^in++++=with
all ^abn++++=all
her ^pp3o+pp3+++=her
weight ^nn++++=weight.
. ^zz++++=EXTRAWORD
To ^in++++=To
her ^pp$+pp3+++=her
great ^jj+atrb+++=great
delight ^nn++++=delight
the ^ati++++=the
lock ^nn++++=lock
caught ^vbd+++xvbn+=caught,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
springing ^vbg+++xvbg+=springing
down ^rp++++=down,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
exerted ^vbd+++xvbnx+=exerted
all ^abn++++=all
her ^pp3o+pp3+++=her
strength ^nn++++=strength
and ^cc++++=and
turned ^vbd+++xvbn+=turned
the ^ati++++=the
key ^nn++++=key.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
This ^dt+dem+++=This
story ^nn++++=story
should ^md+nec+++=should
teach ^vb+vsua+++=teach
us ^pp1o+pp1+++=us
not ^xnot++not++=not
to ^to++++=to
interfere ^vbi++++=interfere
in ^in++++=in
matters ^nns+nom+++=matters
that ^tht+rel+subj++=that
do ^vb+do+vrb++=do
not ^xnot++not++=not
concern ^nn++++=concern
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
For ^in++++=For
had ^vb+hv+aux++=had
Martha ^np+++??+=Martha
refrained ^vprf+++xvbn+=refrained
from ^in++++=from
opening ^xvbg+++xvbg+=opening
Uncle ^nn++++=Uncle
Walter ^np++++=Walter's
's ^$++++=EXTRAWORD
mysterious ^jj+atrb+++=mysterious
chest ^nn++++=chest
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
carry ^vbi++++=carry
downstairs ^jjb++++=downstairs
all ^abn++++=all
the ^ati++++=the
plunder ^nn++++=plunder
the ^ati++++=the
robbers ^nns+nom+++=robbers
had ^vbd+hvd+aux++=had
brought ^xvbn+++xvbn+=brought
into ^in++++=into
the ^ati++++=the
attic ^nn++++=attic.
. ^zz++++=EXTRAWORD
