Searchers ^nns+nom++??+=Searchers
hideously ^rb++++=hideously
incongruous ^jj+pred+++=incongruous.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
my ^pp$+pp1+++=my
host ^nn++++=host
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
relish ^vbi++++=relish
the ^ati++++=the
view ^nn++++=view
as ^ql++++=as
much ^ap++++=much
as ^ql++++=as
I ^pp1a+pp1+++=I
disliked ^vbd+++xvbnx+=disliked
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^do+do+aux++0=d'ye
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+++=think
of ^in++++0=o'
this ^dt+dem+++=this
ai ^nn+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
never ^rb++++=never
see ^vb+vprv+++=see
the ^ati++++=the
like ^in++++=like
hereabouts ^rb+cnj+++=hereabouts,
, ^zz++++=EXTRAWORD
eh ^uh++++=eh?
? ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
this ^dt+dem+++=this
I ^pp1a+pp1+++=I
telled ^vbd+++xvbnx+=telled
Eb ^np+++??+=Eb
Holt ^np++++=Holt,
, ^zz++++=EXTRAWORD
' ^zz++++='That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
suthin ^nn+++??+=suthin'
' ^zz++++=EXTRAWORD
ta ^nn+++??+=ta
stir ^nn++++=stir
ye ^pp2+pp2+++=ye
up ^rp++++=up
and ^cc++++0=an'
make ^vb++++=make
yer ^pp$++++=yer
blood ^nn++++=blood
tickle ^nn+++??+=tickle.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read
in ^in++++=in
Scripter ^np+nom++??+=Scripter
about ^in++++=about
slayin ^nn+++??+=slayin'
' ^zz++++=EXTRAWORD
like ^in++++=like
them ^pp3o+pp3+++=them
Midianites ^np+++??+=Midianites
was ^vbd+bedz+vrb++=was
slew ^nn+++??+=slew
I ^pp1a+pp1+++=I
kinder ^jjr++++=kinder
think ^vb+vprv+++=think
things ^nns++++=things,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
picter ^nn++++=picter
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
a ^at++++=a
body ^nn++++=body
kin ^nns++++=kin
see ^vb+vprv+++=see
all ^rb++++=all
they ^pp3a+pp3+++=they
is ^vbz+bez+vrb++=is
to ^to++++=to
it ^pp3+it+++=it
I ^pp1a+pp1+++=I
s ^zz++++=s'pose
'pose ^nn+++??+=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
sinful ^jj+pred+++=sinful,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
we ^pp1a+pp1+++=we
all ^abn++++=all
born ^vbd+++xvbn+=born
and ^cc++++0=an'
livin ^nn+++??+=livin'
' ^zz++++=EXTRAWORD
in ^in++++=in
sin ^nn++++=sin?
? ^zz++++=EXTRAWORD
Thet ^np+++??+=Thet
feller ^nn++++=feller
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
chopped ^jj+++xvbn+=chopped
up ^rp++++=up
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
a ^at++++=a
tickle ^nn+++??+=tickle
every ^at++++=every
time ^nn++++=time
I ^pp1a+pp1+++=I
look ^vb++++=look
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
I ^pp1a+pp1+++=I
hey ^uh++++=hey
ta ^nn+++??+=ta
keep ^vb++++=keep
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
see ^vb+vprv+++=see
whar ^nn+++??+=whar
the ^ati++++=the
butcher ^nn++++=butcher
cut ^vbd+++xvbn+=cut
off ^rb+phrv+++=off
his ^pp$+pp3+++=his
feet ^nns++++=feet?
? ^zz++++=EXTRAWORD
Thar ^np++++=Thar's
's ^$++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
on ^in++++=on
thet ^nn+++??+=thet
bench ^nn++++=bench,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
arm ^nn++++=arm
side ^nn++++=side
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
t ^zz++++=t'other
'other ^jjr+atrb+++0=EXTRAWORD
arm ^nn++++=arm's
's ^vbz+bez+vrb++0=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++0=o'
the ^ati++++=the
meat ^nn++++=meat
block ^nn++++=block."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
man ^nn++++=man
mumbled ^vbd+++xvbn+=mumbled
on ^in++++=on
in ^in++++=in
his ^pp$+pp3+++=his
shocking ^jj+atrb++xvbg+=shocking
ecstasy ^nn++++=ecstasy
the ^ati++++=the
expression ^nn++++=expression
on ^in++++=on
his ^pp$+pp3+++=his
hairy ^jj+atrb+++=hairy,
, ^zz++++=EXTRAWORD
spectacled ^jj+atrb+++=spectacled
face ^nn++++=face
became ^vbd+++xvbn+=became
indescribable ^jj++++=indescribable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
voice ^nn++++=voice
sank ^vbd+++xvbn+=sank
rather ^rb++++=rather
than ^in++++=than
mounted ^nn++++=mounted.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
own ^ap++++=own
sensations ^nns+nom+++=sensations
can ^md+pos+++=can
scarcely ^rb+down+++=scarcely
be ^vb+be+aux++=be
recorded ^vpsv++agls+xvbnx+=recorded.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
terror ^nn++++=terror
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
dimly ^rb++splt++=dimly
felt ^vprf+++xvbnx+=felt
before ^in++++=before
rushed ^nn++++=rushed
upon ^in++++=upon
me ^pp1o+pp1+++=me
actively ^rb++++=actively
and ^cc+phrs+++=and
vividly ^rb+cnj+++=vividly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
loathed ^vbd+++xvbnx+=loathed
the ^ati++++=the
ancient ^jj+atrb+++=ancient
and ^cc+phrs+++=and
abhorrent ^jj+atrb+++=abhorrent
creature ^nn++++=creature
so ^ql++++=so
near ^rb++++=near
me ^pp1o+pp1+++=me
with ^in++++=with
an ^at++++=an
infinite ^jj+atrb+++=infinite
intensity ^nn+nom+++=intensity.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
madness ^nns+nom+++=madness,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
his ^pp$+pp3+++=his
partial ^jj+atrb+++=partial
perversion ^nn+++??+=perversion,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
beyond ^in++++=beyond
dispute ^nn++++=dispute.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
almost ^rb+hdg+splt++=almost
whispering ^vbg+++xvbgx+=whispering
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
huskiness ^nns+nom+++=huskiness
more ^rbr++++=more
terrible ^jj++++=terrible
than ^in++++=than
a ^at++++=a
scream ^vb++++=scream,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
trembled ^vbd+++xvbnx+=trembled
as ^ql++++=as
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
queer ^jj+atrb+++=queer
haow ^nn+++??+=haow
picters ^nns+nom+++=picters
sets ^nns++++=sets
ye ^pp2+pp2+++=ye
thinkin ^nn+++??+=thinkin'.
'. ^nn+++??+=EXTRAWORD
Do ^do+do+aux++0=D'ye
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
right ^jj+atrb+++=right
sot ^nn+++??+=sot
on ^in++++=on
this ^dt+dem+++=this
un ^&fw++++=un
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
Arter ^np+++??+=Arter
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
the ^ati++++=the
book ^nn++++=book
off ^in+pl+++=off
Eb ^np+++??+=Eb
I ^pp1a+pp1+++=I
uster ^nn++++=uster
look ^vb++++=look
at ^rb++++=at
it ^pp3+it+++=it
a ^at++++=a
lot ^nn++++=lot,
, ^zz++++=EXTRAWORD
especial ^jj++++=especial
when ^wrb+who+++=when
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
heerd ^nn+++??+=heerd
Passon ^np++++=Passon
Clark ^np++++=Clark
rant ^nn++++=rant
of ^in++++0=o'
Sundays ^nrs++++=Sundays
in ^in++++=in
his ^pp$+pp3+++=his
big ^jj+atrb+++=big
wig ^nn++++=wig.
. ^zz++++=EXTRAWORD
Onct ^np+++??+=Onct
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
suthin ^nn+++??+=suthin'
' ^zz++++=EXTRAWORD
funny ^jj++++=funny
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
git ^np++++=git
skeert ^nn+++??+=skeert
all ^abn++++=all
I ^pp1a+pp1+++=I
done ^vbd+++xvbnx+=done
was ^vbd+bedz+aux++=was
ter ^jjr+pred+++=ter
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
picter ^nn++++=picter
afore ^in++++=afore
I ^pp1a+pp1+++=I
kilt ^nn++++=kilt
the ^ati++++=the
sheep ^nn++++=sheep
for ^in++++=for
market ^nn++++=market
killin ^nn+++??+=killin'
' ^zz++++=EXTRAWORD
sheep ^nns++++=sheep
was ^vbd+bedz+vrb++=was
kinder ^jjr++++=kinder
more ^rbr++++=more
fun ^nn++++=fun
arter ^jjr+atrb+++=arter
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
at ^rb++++=at
it ^pp3+it+++=it
" ^zz++++="
The ^ati++++=The
tone ^nn++++=tone
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
now ^rn+tm+++=now
sank ^vbd+++xvbn+=sank
very ^ql+amp+++=very
low ^jj++++=low,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
becoming ^vbg+++xvbg+=becoming
so ^ql+emph+++=so
faint ^jj++++=faint
that ^dt+dem+++=that
his ^pp$+pp3+++=his
words ^nns++++=words
were ^vbd+bed+vrb++=were
hardly ^rb+down+++=hardly
audible ^jj+pred+++=audible.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened
to ^in++++=to
the ^ati++++=the
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
rattling ^nn++++=rattling
of ^in++++=of
the ^ati++++=the
bleared ^jj+++xvbn+=bleared,
, ^zz++++=EXTRAWORD
small ^jj++++=small-paned
- ^zz++++=EXTRAWORD
paned ^jj+atrb++xvbn+=EXTRAWORD
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
marked ^jj+++xvbn+=marked
a ^at++++=a
rumbling ^nn++++=rumbling
of ^in++++=of
approaching ^xvbg+++xvbg+=approaching
thunder ^nn++++=thunder
quite ^rb++++=quite
unusual ^jj++++=unusual
for ^in++++=for
the ^ati++++=the
season ^nn++++=season.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
terrific ^jj+atrb+++=terrific
flash ^nn++++=flash
and ^cc++++=and
peal ^nn++++=peal
shook ^vbd+++xvbn+=shook
the ^ati++++=the
frail ^jj+atrb+++=frail
house ^nn++++=house
to ^in++++=to
its ^pp$+it+++=its
foundations ^nns+nom+++=foundations,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
whisperer ^nn++++=whisperer
seemed ^vbd+seem++xvbn+=seemed
not ^xnot++not++=not
to ^in++++=to
notice ^nn++++=notice
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Killin'
killin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
sheep ^nns++++=sheep
was ^vbd+bedz+vrb++=was
kinder ^jjr++++=kinder
more ^rbr++++=more
fun ^nn++++=fun
but ^cc++++=but
do ^do+do+aux++0=d'ye
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
it ^pp3+it+++0='twan't
wa ^&fw++++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
quite ^rb++++=quite
satisfyin ^nn+++??+=satisfyin'.
'. ^nn+++??+=EXTRAWORD
Queer ^jj+atrb+++=Queer
haow ^nn+++??+=haow
a ^at++++=a
cravin ^nn+++??+=cravin'
' ^zz++++=EXTRAWORD
gits ^nns+++??+=gits
a ^at++++=a
holt ^np++++=holt
on ^in++++=on
ye ^pp2+pp2+++=ye
As ^ql++++=As
ye ^pp2+pp2+++=ye
love ^vb++++=love
the ^ati++++=the
Almighty ^jj+atrb+++=Almighty,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
nobody ^pn++++=nobody,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
swar ^nn+++??+=swar
ter ^jjr++++=ter
Gawd ^np+++??+=Gawd
thet ^nn+++??+=thet
picter ^jjr++++=picter
begun ^vprf+++xvbn+=begun
to ^to++++=to
make ^vbi++++=make
me ^pp1o+pp1+++=me
hungry ^jj++++=hungry
fer ^&fw++++=fer
victuals ^nns+nom+++=victuals
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
raise ^vb++++=raise
nor ^cc+phrs+neg++=nor
buy ^vb++++=buy
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
ailin ^nn+++??+=ailin'
' ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
nothin ^nn+++??+=nothin',
', ^nn+++??+=EXTRAWORD
only ^rb+down+++=only
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
haow ^nn+++??+=haow
it ^pp3+it+++0='twud
wud ^nn+++??+=EXTRAWORD
be ^vb+be+vrb++=be
ef ^nn+++??+=ef
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
They ^pp3a+pp3+++=They
say ^vb+vpub+tht0++=say
meat ^nn++++=meat
makes ^vbz++++=makes
blood ^nn++++=blood
and ^cc++++0=an'
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
gives ^vbz++++=gives
ye ^pp2+pp2+++=ye
new ^jj+atrb+++=new
life ^nn++++=life,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
ef ^nn+++??+=ef
it ^pp3+it+++0='twudn't
wud ^jj+++??+=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
a ^at++++=a
man ^nn++++=man
live ^vb++++=live
longer ^rbr++++=longer
and ^cc+phrs+++0=an'
longer ^rbr++++=longer
ef ^nn+++??+=ef
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
more ^rbr++++=more
the ^ati++++=the
same ^ap++++=same
" ^zz++++="
But ^cc++++=But
the ^ati++++=the
whisperer ^jjr++++=whisperer
never ^rb++++=never
continued ^jj+++xvbn+=continued.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interruption ^nn+nom+++=interruption
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
produced ^vpsv++by+xvbn+=produced
by ^in++++=by
my ^pp$+pp1+++=my
fright ^nn++++=fright,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
by ^in++++=by
the ^ati++++=the
rapidly ^rb++++=rapidly
increasing ^jj+atrb++xvbg+=increasing
storm ^nn++++=storm
amidst ^in++++=amidst
whose ^whp+rel+pied++=whose
fury ^nn++++=fury
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
presently ^rb+tm+++=presently
to ^to++++=to
open ^vbi++++=open
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
on ^in++++=on
a ^at++++=a
smoky ^jj+atrb+++=smoky
solitude ^nn++++=solitude
of ^in++++=of
blackened ^jj+atrb+++=blackened
ruins ^nns++++=ruins.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
produced ^vpsv++by+xvbnx+=produced
by ^in++++=by
a ^at++++=a
very ^ql+amp+++=very
simple ^jj++++=simple
though ^rb+cnj+++=though
somewhat ^rb+down+++=somewhat
unusual ^jj+atrb+++=unusual
happening ^nvbg+++xvbg+=happening.
. ^zz++++=EXTRAWORD
The ^ati++++=The
open ^jj+atrb+++=open
book ^nn++++=book
lay ^vbd+++xvbn+=lay
flat ^nn++++=flat
between ^in++++=between
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
picture ^nn++++=picture
staring ^vwbg+++xvbg+=staring
repulsively ^jj++++=repulsively
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
whispered ^vbd+vpub++xvbn+=whispered
the ^ati++++=the
words ^nns++++=words
" ^zz++++="more
more ^rbr++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same"
" ^zz++++=EXTRAWORD
a ^at++++=a
tiny ^jj+atrb+++=tiny
splattering ^jj+atrb++xvbg+=splattering
impact ^nn++++=impact
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
something ^pn++++=something
showed ^vbd+vprv++xvbn+=showed
on ^in++++=on
the ^ati++++=the
yellowed ^jj+atrb++xvbn+=yellowed
paper ^nn++++=paper
of ^in++++=of
the ^ati++++=the
upturned ^jj+atrb+++=upturned
volume ^nn++++=volume.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
the ^ati++++=the
rain ^nn++++=rain
and ^cc++++=and
of ^in++++=of
a ^at++++=a
leaky ^nn+++??+=leaky
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rain ^nn++++=rain
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
red ^jj++++=red.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
butcher ^nn++++=butcher's
's ^$++++=EXTRAWORD
shop ^nn++++=shop
of ^in++++=of
the ^ati++++=the
Anzique ^np+++??+=Anzique
cannibals ^nns+nom+++=cannibals
a ^at++++=a
small ^jj++++=small
red ^jj++++=red
spattering ^xvbg+++xvbg+=spattering
glistened ^vbd+++xvbn+=glistened
picturesquely ^rb+cnj+++=picturesquely,
, ^zz++++=EXTRAWORD
lending ^vbg+++xvbg+=lending
vividness ^nns+nom+++=vividness
to ^in++++=to
the ^ati++++=the
horror ^nn++++=horror
of ^in++++=of
the ^ati++++=the
engraving ^nn++++=engraving.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stopped ^vbd+++xvbn+=stopped
whispering ^jj+++xvbg+=whispering
even ^rb++++=even
before ^cs+sub+++=before
my ^pp$+pp1+++=my
expression ^nn++++=expression
of ^in++++=of
horror ^nn++++=horror
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
necessary ^jj++++=necessary;
; ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
it ^pp3+it+++=it
and ^cc++++=and
glanced ^vbd+++xvbn+=glanced
quickly ^rb++++=quickly
toward ^in++++=toward
the ^ati++++=the
floor ^nn++++=floor
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
an ^at++++=an
hour ^nn++++=hour
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv+tht0+xvbnx+=followed
his ^pp$+pp3+++=his
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beheld ^nn+++??+=beheld
just ^rb+emph+++=just
above ^rb++++=above
us ^pp1o+pp1+++=us
on ^in++++=on
the ^ati++++=the
loose ^jj+atrb+++=loose
plaster ^nn+nom+++=plaster
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
ceiling ^nn+nom+++=ceiling
a ^at++++=a
large ^jj+atrb+++=large
irregular ^jj+atrb+++=irregular
spot ^nn++++=spot
of ^in++++=of
wet ^jj+atrb+++=wet
crimson ^nn+++??+=crimson
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
spread ^vbi++++=spread
even ^rb++++=even
as ^ql++++=as
I ^pp1a+pp1+++=I
viewed ^vbd+++xvbnx+=viewed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
shriek ^vb++++=shriek
or ^cc++++=or
move ^nn++++=move,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
merely ^rb+down+++=merely
shut ^vb+++xvbn+=shut
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
came ^vbd+++xvbn+=came
the ^ati++++=the
titanic ^np++++=titanic
thunderbolt ^nn++++=thunderbolt
of ^in++++=of
thunderbolts ^nns+++??+=thunderbolts;
; ^zz++++=EXTRAWORD
blasting ^jj++++=blasting
that ^dt+dem+++=that
accursed ^nn++++=accursed
house ^npl++++=house
of ^in++++=of
unutterable ^jj+atrb+++=unutterable
secrets ^nns++++=secrets
and ^cc++++=and
bringing ^vbg+++xvbg+=bringing
the ^ati++++=the
oblivion ^nn++++=oblivion
which ^whp+rel+subj++=which
alone ^rb++++=alone
saved ^vwbn+++xvbn+=saved
my ^pp$+pp1+++=my
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
