Men ^nns++++=Men
began ^vbd+++xvbn+=began
to ^to++++=to
rise ^vbi++++=rise,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
before ^in++++=before
reaching ^xvbg+++xvbg+=reaching
the ^ati++++=the
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commenced ^vbd+++xvbn+=commenced
to ^to++++=to
sink ^vbi++++=sink
again ^rb+tm+++=again
as ^in++++=as
the ^ati++++=the
water ^nn++++=water
continued ^vbd+++xvbn+=continued
to ^to++++=to
leak ^vbi++++=leak
into ^in++++=into
her ^pp$+pp3+++=her
hull ^np++++=hull.
. ^zz++++=EXTRAWORD
A ^at++++=A
sailor ^nn++++=sailor
found ^vbd+vprv++xvbn+=found
Andrey ^np+++??+=Andrey
in ^in++++=in
a ^at++++=a
narrow ^jj+atrb+++=narrow
passage ^nn+nom+++=passage
unconscious ^jj++++=unconscious,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
breathing ^nvbg+++xvbg+=breathing
regularly ^rb++++=regularly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
dressed ^vbd+++xvbn+=dressed
the ^ati++++=the
captain ^nn++++=captain's
's ^$++++=EXTRAWORD
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
not ^xnot++not++=not
bring ^vb++++=bring
him ^pp3o+pp3+++=him
to ^in++++=to
his ^pp$+pp3+++=his
senses ^nns++++=senses.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
sailor ^nn++++=sailor
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
revive ^vbi++++=revive
Yakovlev ^np+++??+=Yakovlev,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
soon ^rb+tm+++=soon
saw ^vbd+vprv++xvbn+=saw
that ^tht+vcmp+++=that
that ^dt+dem+++=that
officer ^nn++++=officer
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
available ^jj+atrb+++=available
hands ^nns++++=hands
toiled ^vbd+++xvbn+=toiled
at ^in++++=at
the ^ati++++=the
pumps ^nns++++=pumps,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
engineer ^nn+nom+++=engineer
and ^cc++++=and
his ^pp$+pp3+++=his
two ^cd++++=two
assistants ^nns+nom+++=assistants
worked ^vbd+++xvbn+=worked
frantically ^rb++++=frantically
at ^in++++=at
the ^ati++++=the
engine ^nn++++=engine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Kate ^np++++=Kate
was ^vbd+bedz+vrb++=was
near ^in+pl+++=near
the ^ati++++=the
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
the ^ati++++=the
periscope ^nn++++=periscope
and ^cc++++=and
the ^ati++++=the
indicator ^nn++++=indicator
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
destroyed ^vpsv++agls+xvbnx+=destroyed,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
tell ^vbi++++=tell
precisely ^rb++++=precisely
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
to ^in++++=to
unscrew ^nn+++??+=unscrew
the ^ati++++=the
hatch ^nn++++=hatch
and ^cc++++=and
look ^vb++++=look
out ^rp+pl+++=out
would ^md+prd+++=would
subject ^vb++++=subject
the ^ati++++=the
boat ^nn++++=boat
to ^in++++=to
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
being ^xvbg+++xvbg+=being
flooded ^jj++++=flooded.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
engineer ^nn+nom+++=engineer
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
replace ^vbi++++=replace
the ^ati++++=the
cylinder ^nn+nom+++=cylinder,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
do ^vbi++++=do
because ^cs+cos+++=because
the ^ati++++=the
supply ^nn++++=supply
of ^in++++=of
candles ^nns++++=candles
was ^vbd+bedz+aux++=was
giving ^vbg+++xvbgx+=giving
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Kuritzyn ^np+++??+=Kuritzyn,
, ^zz++++=EXTRAWORD
a ^at++++=a
sailor ^nn++++=sailor
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
assumed ^vprf+++xvbnx+=assumed
command ^nn++++=command,
, ^zz++++=EXTRAWORD
ordered ^j+++xvbn+=ordered
the ^ati++++=the
men ^nns++++=men
at ^in++++=at
the ^ati++++=the
pumps ^nns++++=pumps
to ^in++++=to
pump ^nn++++=pump
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
dropped ^vbd+++xvbnx+=dropped
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
raise ^vbi++++=raise
the ^ati++++=the
boat ^nn++++=boat
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
obeyed ^vbd+++xvbn+=obeyed
in ^in++++=in
grim ^jj+atrb+++=grim
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
last ^jj+atrb+++=last
candle ^nn++++=candle
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
some ^dti++++=some
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pumps ^nns++++=pumps
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^rb+down+++=only
sound ^jj++++=sound
that ^dt+pdem+++=that
now ^rn+tm+++=now
broke ^vbd+++xvbn+=broke
the ^ati++++=the
silence ^nn+nom+++=silence
was ^vbd+bedz+vrb++=was
the ^ati++++=the
monotonous ^nn++++=monotonous
splash ^vb++++=splash
of ^in++++=of
water ^nn++++=water
leaking ^jj++++=leaking
down ^rp++++=down
on ^in++++=on
the ^ati++++=the
periscope ^nn++++=periscope
screen ^nn++++=screen.
. ^zz++++=EXTRAWORD
" ^zz++++="Follow
follow ^vb+vprv+++=EXTRAWORD
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kuritzyn ^np+++??+=Kuritzyn
hoarsely ^rb++++=hoarsely
to ^to++++=to
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
men ^nns++++=men.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
unscrew ^nn+++??+=unscrew
the ^ati++++=the
hatches ^nns++++=hatches.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
fooling ^xvbg+++xvbg+=fooling
any ^dti++++=any
longer ^rbr++++=longer?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Feeling ^nvbg+++xvbg+=Feeling
their ^pp$+pp3+++=their
way ^nn++++=way
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
several ^ap++++=several
men ^nns++++=men
followed ^vbd+vprv++xvbn+=followed
the ^ati++++=the
leader ^nn++++=leader
into ^in++++=into
the ^ati++++=the
corridor ^nn++++=corridor
and ^cc++++=and
up ^rp++++=up
the ^ati++++=the
spiral ^nn++++=spiral
staircase ^nn++++=staircase
in ^rb++++=in
the ^rb"++++=the
main ^rb"++++=main
hatchway ^nn+++??+=hatchway.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
grasped ^vbd+vprv++xvbnx+=grasped
the ^ati++++=the
bolts ^nns++++=bolts
of ^in++++=of
the ^ati++++=the
lid ^nn++++=lid.
. ^zz++++=EXTRAWORD
" ^zz++++="Here's
here ^rn+pl+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
our ^pp$+pp1+++=our
finish ^nn++++=finish,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
then ^rn+tm+++=then
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
footsteps ^nns++++=footsteps
on ^in++++=on
the ^ati++++=the
outside ^nn++++=outside
of ^in++++=of
the ^ati++++=the
boat ^nn++++=boat
reached ^vbd+++xvbn+=reached
their ^pp$+pp3+++=their
ears ^nns++++=ears.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
one ^cd1++++=one
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
on ^in++++=on
the ^ati++++=the
Kate ^np++++=Kate's
's ^$++++=EXTRAWORD
hull ^np++++=hull!
! ^zz++++=EXTRAWORD
" ^zz++++="Down
down ^rp++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
ballast ^nn++++=ballast
tanks ^nns++++=tanks!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kuritzyn ^np+++??+=Kuritzyn
ordered ^vbd+vsua++xvbn+=ordered.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
blow ^nn++++=blow
them ^pp3o+pp3+++=them
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
ordered ^vpsv++agls+xvbnx+=ordered
not ^xnot++not++=not
to ^in++++=to
surrender ^nn+nom+++=surrender
the ^ati++++=the
boat ^nn++++=boat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
revolver ^nn+nom+++=revolver
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
pressed ^vbd+++xvbnx+=pressed
the ^ati++++=the
bolt ^nn++++=bolt.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lid ^nn++++=lid
yielded ^vbd+++xvbn+=yielded;
; ^zz++++=EXTRAWORD
light ^jj++++=light
and ^cc++++=and
air ^nn++++=air
rushed ^vbd+++xvbn+=rushed
into ^in++++=into
the ^ati++++=the
opening ^nvbg+++xvbg+=opening.
. ^zz++++=EXTRAWORD
" ^zz++++="Hey,
hey ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Kuritzyn ^np+++??+=Kuritzyn
shouted ^vbd+vpub++xvbn+=shouted.
. ^zz++++=EXTRAWORD
" ^zz++++="Russians,
russians ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Russians ^nn++++=Russians,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
a ^at++++=a
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
God ^nn++++=God!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vpsv++agls+xvbn+=said
kuritzyn ^np++++=Kuritzyn
in ^in++++=in
a ^at++++=a
tone ^nn++++=tone
of ^in++++=of
intense ^jj+atrb+++=intense
gratitude ^nn++++=gratitude.
. ^zz++++=EXTRAWORD
