Speaking ^vbg+++xvbg+=SPEAKING
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
dull ^jj++++=dull,
, ^zz++++=EXTRAWORD
gurgling ^nn+nom+++=gurgling
sob ^nn++++=sob,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
closed ^jj+++xvbn+=closed
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
vicious ^jj++++=vicious,
, ^zz++++=EXTRAWORD
popping ^vbg+++xvbg+=popping
gulp ^nn++++=gulp,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
jungle ^nn++++=jungle
had ^vbd+hvd+aux++=had
stepped ^vprf+++xvbnx+=stepped
away ^rp+pl+++=away
to ^to++++=to
let ^vbi++++=let
me ^pp1o+pp1+++=me
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
leisurely ^jj++++=leisurely,
, ^zz++++=EXTRAWORD
contemptuously ^rb+cnj+++=contemptuously,
, ^zz++++=EXTRAWORD
invincibly ^jj++++=invincibly,
, ^zz++++=EXTRAWORD
to ^in++++=to
bar ^nn++++=bar
my ^pp$+pp1+++=my
way ^nn++++=way
should ^md+nec+++=should
I ^pp1a+pp1+++=I
attempt ^nn++++=attempt
to ^to+ncmp+++=to
return ^vbi++++=return!
! ^zz++++=EXTRAWORD
On ^in++++=On
and ^cc++++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
if ^cs+cnd+++=if
night ^nn++++=night
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
if ^cs+cnd+++=if
the ^ati++++=the
creepers ^nns+nom+++=creepers
closed ^vbd+++xvbn+=closed
above ^rb++++=above
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
shutting ^vbg+++xvbg+=shutting
off ^rb+phrv+++=off
the ^ati++++=the
light ^nn++++=light
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
momentarily ^rb+cnj+++=momentarily,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
became ^vbd+++xvbnx+=became
blind ^jj++++=blind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^rb+down+++=only
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
although ^cs+con+++=although,
, ^zz++++=EXTRAWORD
like ^in++++=like
an ^at++++=an
automaton ^nn+++??+=automaton,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
hand ^nn++++=hand
kept ^vbd+++xvbn+=kept
on ^rb+phrv+++=on
wielding ^xvbg+++xvbg+=wielding
the ^ati++++=the
paddle ^nn++++=paddle,
, ^zz++++=EXTRAWORD
everything ^pn++++=everything
turned ^vbd+++xvbn+=turned
black ^jj++++=black
around ^rp++++=around
me ^pp1o+pp1+++=me
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
and ^cc+cls+++=and
the ^ati++++=the
next ^ap++++=next
thing ^nn++++=thing
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
shivered ^vbd+++xvbnx+=shivered
all ^abn++++=all
over ^in++++=over
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
an ^at++++=an
ague ^nn+++??+=ague,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
cold ^jj+atrb+++=cold
sweat ^nn++++=sweat
was ^vbd+bedz+aux++=was
running ^vbg+++xvbgx+=running
down ^rb+phrv+++=down
my ^pp$+pp1+++=my
face ^nn++++=face,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
groped ^vbd+++xvbnx+=groped
for ^in++++=for
the ^ati++++=the
quinine ^nn+++??+=quinine
could ^md+pos+++=could
not ^xnot++not++=not
find ^vb+vprv+++=find
it ^pp3+it+++=it
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
Too ^ql++++=Too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
a ^at++++=a
sudden ^jj+atrb+++=sudden
glimpse ^nn++++=glimpse
of ^in++++=of
jungle ^nn++++=jungle
natives ^nns++++=natives
dwarfs ^nns+++??+=dwarfs,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
the ^ati++++=the
useless ^jj+atrb+++=useless
African ^jj+atrb+++=African
tatters ^nns+nom+++=tatters
of ^in++++=of
a ^at++++=a
pre ^nn+++??+=pre-Adamite
- ^zz++++=EXTRAWORD
adamite ^nn++++=EXTRAWORD
breed ^nn++++=breed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
blackish ^jj++++=blackish-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
gloom ^nn++++=gloom
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
flitting ^vbg+++xvbg+=flitting
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
gliding ^vbg+++xvbg+=gliding,
, ^zz++++=EXTRAWORD
indistinct ^nn+++??+=indistinct.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
blended ^vbd+++xvbnx+=blended
into ^in++++=into
the ^ati++++=the
jungle ^nn++++=jungle,
, ^zz++++=EXTRAWORD
like ^in++++=like
brown ^jj+atrb+++=brown
splotches ^nns+++??+=splotches
of ^in++++=of
moss ^np++++=moss
on ^in++++=on
the ^ati++++=the
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
furry ^nn++++=furry
tree ^nn++++=tree-trunks,
- ^zz++++=EXTRAWORD
trunks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
gave ^vbd+++xvbnx+=gave
no ^at++++=no
sign ^nn++++=sign
of ^in++++=of
life ^nn++++=life
except ^in++++=except
a ^at++++=a
rolling ^jj+atrb++xvbg+=rolling
flash ^nn++++=flash
of ^in++++=of
eyeballs ^nns++++=eyeballs
white ^jj++++=white,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
with ^in++++=with
that ^dt+dem+++=that
aspect ^nn++++=aspect
of ^in++++=of
concentrated ^jj+atrb++xvbn+=concentrated
attention ^nn+nom+++=attention
so ^rb+emph+++=so
typical ^jj++++=typical
of ^in++++=of
savages ^nns+nom+++=savages.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recollect ^vb+vprv+++=recollect,
, ^zz++++=EXTRAWORD
vaguely ^rb+cnj+++=vaguely,
, ^zz++++=EXTRAWORD
shouting ^vbg+vpub++xvbg+=shouting
at ^rb++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
for ^in++++=for
help ^nn++++=help,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
voice ^nn++++=voice
seeming ^vb+seem++xvbg+=seeming
to ^to+vcmp+++=to
come ^vbi++++=come
across ^in+ppvb+++=across
illimitable ^jj+atrb+++=illimitable
distances ^nns+nom+++=distances.
. ^zz++++=EXTRAWORD
Too ^rb+cnj+++=Too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recollect ^vb+vprv+++=recollect
how ^wrb+who+whcl++=how
they ^pp3a+pp3+++=they
ran ^vbd+++xvbnx+=ran
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
the ^ati++++=the
jungle ^nn++++=jungle
folding ^jj++++=folding
about ^rb++++=about
them ^pp3o+pp3+++=them
like ^in++++=like
a ^at++++=a
cloak ^nn++++=cloak.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
dull ^jj+atrb+++=dull
jar ^nn++++=jar
as ^ql++++=as
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
on ^in+ppvb+++=on
my ^pp$+pp1+++=my
hands ^nns++++=hands
and ^cc++++=and
knees ^nns++++=knees
in ^in++++=in
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
canoe ^nn+++??+=canoe
and ^cc++++=and
rolled ^vpsv++agls+xvbn+=rolled
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Came ^j+++xvbn+=CAME
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
many ^ap++++=many
hours ^nns++++=hours
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
cold ^jj+pred+++=cold
and ^cc+phrs+++=and
wet ^jj++++=wet
and ^cc++++=and
shivery ^nn+nom+++=shivery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
rain ^nn++++=rain
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
down ^rp++++=down
like ^in++++=like
a ^at++++=a
cataract ^nn++++=cataract.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
at ^rb++++=at
once ^rb"+tm+++=once
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
dying ^vbg+++xvbgx+=dying.
. ^zz++++=EXTRAWORD
Dying ^vbg+++xvbg+=Dying!
! ^zz++++=EXTRAWORD
Sure ^jj++++=Sure.
. ^zz++++=EXTRAWORD
Straight ^jj++++=Straight
through ^in++++=through
my ^pp$+pp1+++=my
delirium ^nn+++??+=delirium,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
realized ^vbd+vprv+tht0+xvbnx+=realized
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Realized ^j+++xvbn+=Realized,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
only ^rb+down+++=only
one ^cd1++++=one
thing ^nn++++=thing
would ^md+prd+++=would
help ^vb++++=help
me ^pp1o+pp1+++=me
to ^to++++=to
cheat ^vbi++++=cheat
death ^nn++++=death:
: ^zz++++=EXTRAWORD
a ^at++++=a
sound ^nn++++=sound
roof ^nn++++=roof
over ^in++++=over
my ^pp$+pp1+++=my
head ^nn++++=head,
, ^zz++++=EXTRAWORD
sound ^jj++++=sound
flooring ^jj+++xvbg+=flooring
under ^in++++=under
my ^pp$+pp1+++=my
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
sound ^jj+atrb+++=sound
walls ^nns++++=walls
about ^in++++=about
a ^at++++=a
house ^nn++++=house,
, ^zz++++=EXTRAWORD
in ^in++++=in
other ^ap++++=other
words ^nns++++=words.
. ^zz++++=EXTRAWORD
A ^at++++=A
real ^jj++++=real,
, ^zz++++=EXTRAWORD
honest ^jj++++=honest-to-God
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
god ^np++++=EXTRAWORD
white ^jj+atrb+++=white
man ^nn++++=man's
's ^$++++=EXTRAWORD
house ^nn++++=house
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
could ^md+pos+++=could
take ^vb++++=take
off ^rb+phrv+++=off
my ^pp$+pp1+++=my
clothes ^nns++++=clothes
and ^cc++++=and
keep ^vb++++=keep
dry ^jj++++=dry
and ^cc+phrs+++=and
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
give ^vb++++=give
the ^ati++++=the
quinine ^nn+++??+=quinine
and ^cc++++=and
the ^ati++++=the
Warburg ^np++++=Warburg's
's ^$++++=EXTRAWORD
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
work ^vb++++=work.
. ^zz++++=EXTRAWORD
A ^at++++=A
house ^nn++++=house!
! ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
part ^nn++++=part
of ^in++++=of
Africa ^np++++=Africa!
! ^zz++++=EXTRAWORD
Might ^md+pos+++=Might
as ^rb++++=as
well ^rb++++=well
have ^vb+hv+aux++=have
wished ^vprf+++xvbnx+=wished
for ^in++++=for
the ^ati++++=the
moon ^nn++++=moon!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
a ^at++++=a
house ^nn++++=house!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
hallucination ^nn+nom+++=hallucination,
, ^zz++++=EXTRAWORD
an ^at++++=an
optical ^jj+atrb+++=optical
illusion ^nn++++=illusion,
, ^zz++++=EXTRAWORD
a ^at++++=a
mirage ^nn++++=mirage,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
delirious ^jj+atrb+++=delirious
mind ^nn++++=mind
playing ^xvbg+++xvbg+=playing
follow ^vb+vprv+++=follow-the-leader
- ^zz++++=EXTRAWORD
the ^ati++++=EXTRAWORD
- ^zz++++=EXTRAWORD
leader ^nn++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
and ^cc++++=and
my ^pp$+pp1+++=my
prayers ^nns+nom+++=prayers.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
real ^jj+pred+++=real.
. ^zz++++=EXTRAWORD
Solid ^jj+atrb+++=Solid
stone ^nn++++=stone
and ^cc++++=and
wood ^nn++++=wood
and ^cc++++=and
corrugated ^jj+atrb+++=corrugated
iron ^nn++++=iron
and ^cc++++=and
a ^at++++=a
chimney ^nn++++=chimney
and ^cc++++=and
windows ^nns++++=windows
and ^cc++++=and
doors ^nns++++=doors
all ^abn++++=all
complete ^jj++++=complete,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
suburbia ^nn++++=suburbia
dropped ^vbd+++xvbn+=dropped
in ^in++++=in
the ^ati++++=the
jungle ^nn++++=jungle.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
through ^in++++=through
the ^ati++++=the
steaming ^nvbg+++xvbg+=steaming,
, ^zz++++=EXTRAWORD
lashing ^vbg+++xvbg+=lashing
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^rb++++=a
little ^rb"++++=little
knoll ^np++++=knoll
due ^jj+atrb+++=due
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
a ^at++++=a
mile ^nn++++=mile
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
jumped ^vbd+++xvbnx+=jumped
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
canoe ^nn+++??+=canoe,
, ^zz++++=EXTRAWORD
landed ^j+++xvbn+=landed,
, ^zz++++=EXTRAWORD
with ^in++++=with
clutching ^xvbg+++xvbg+=clutching
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
mangrove ^nn+++??+=mangrove,
, ^zz++++=EXTRAWORD
pulled ^j+++xvbn+=pulled
myself ^ppl+pp1+++=myself
up ^rp++++=up,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
stumbling ^jj++++=stumbling,
, ^zz++++=EXTRAWORD
tripping ^vbg+++xvbg+=tripping,
, ^zz++++=EXTRAWORD
falling ^nvbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
plunging ^vbg+++xvbg+=plunging.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hardly ^rb+down+++=hardly
felt ^vbd+vprv++xvbn+=felt
the ^ati++++=the
thorns ^nns++++=thorns
that ^tht+rel+subj++=that
scratched ^vbd+++xvbn+=scratched
my ^pp$+pp1+++=my
face ^nn++++=face
and ^cc++++=and
hands ^nns++++=hands
and ^cc++++=and
tore ^vbd+++xvbn+=tore
my ^pp$+pp1+++=my
clothes ^nns++++=clothes
into ^in++++=into
ribbons ^nns++++=ribbons.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
struggled ^vbd+++xvbnx+=struggled
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
one ^cd1++++=one
thought ^nn+++xvbn+=thought
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind:
: ^zz++++=EXTRAWORD
the ^ati++++=the
house ^nn++++=house
warmth ^nn++++=warmth
life ^nn++++=life!
! ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
had ^vb+hv+aux++=had
the ^ati++++=the
house ^npl++++=house
got ^vbd+++xvbn+=got
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
Weeks ^nns++++=Weeks
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor
Morrison ^np++++=Morrison
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
by ^in++++=by
my ^pp$+pp1+++=my
bedside ^nn++++=bedside
in ^in++++=in
the ^ati++++=the
hospital ^nn+nom+++=hospital.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
some ^dti++++=some
imaginative ^jj+atrb+++=imaginative
chap ^nn++++=chap
of ^in++++=of
a ^at++++=a
West ^np+pl+++=West
Coast ^nn++++=Coast
trader ^nn++++=trader
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
up ^in+cmpx+++=up
to ^in++++=to
London ^np++++=London
on ^in++++=on
his ^pp$+pp3+++=his
yearly ^jj+atrb+++=yearly
spree ^nn++++=spree.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
as ^ql++++=as
eloquent ^jj++++=eloquent
as ^in++++=as
an ^at++++=an
Arab ^jj++++=Arab,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met
some ^dti++++=some
City ^nn++++=City
bigwigs ^nns+++??+=bigwigs
that ^tht+rel+subj++=that
were ^vbd+bed+vrb++=were
reeking ^jj+pred+++=reeking
with ^in++++=with
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
persuaded ^vbd+vsua++xvbn+=persuaded
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
the ^ati++++=the
French ^jj+atrb+++=French
Congo ^np++++=Congo
hinterland ^nn++++=hinterland
was ^vbd+bedz+vrb++=was
God ^np++++=God's
's ^$++++=EXTRAWORD
own ^ap++++=own
paradise ^nn++++=paradise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
waiting ^vbg+++xvbg+=waiting
to ^to+vcmp+++=to
give ^vbi++++=give
them ^pp3o+pp3+++=them
fifty ^cd++++=fifty
percent ^nnu++++=percent
on ^in++++=on
their ^pp$+pp3+++=their
investment ^nn+nom+++=investment,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
come ^vbi++++=come
through ^in++++=through
handsome ^nn++++=handsome.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
supplied ^vbd+++xvbnx+=supplied
a ^at++++=a
working ^jj+atrb++xvbg+=working
capital ^nn++++=capital
big ^jj++++=big
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
Hebrew ^jj+atrb+++=Hebrew
angel ^nn++++=angel
weep ^nn++++=weep
with ^in++++=with
envy ^nn++++=envy.
. ^zz++++=EXTRAWORD
" ^zz++++="Gaboon,
gaboon ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Limited ^j+++xvbn+=Limited,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
the ^ati++++=the
new ^jj+atrb+++=new
company ^nn++++=company,
, ^zz++++=EXTRAWORD
with ^in++++=with
laconic ^jj+atrb+++=laconic
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
some ^dti++++=some
reason ^nn++++=reason
the ^ati++++=the
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
stuff ^nn++++=stuff,
, ^zz++++=EXTRAWORD
Mayfair ^np++++=Mayfair
and ^cc++++=and
Belgravia ^np++++=Belgravia
flirting ^vwbg+++xvbg+=flirting
with ^in++++=with
Lombard ^np++++=Lombard
and ^cc++++=and
Threadneedle ^np+++??+=Threadneedle
streets ^nns++++=streets
they ^pp3a+pp3+++=they
appointed ^vbd+++xvbnx+=appointed
some ^dti++++=some
fool ^jjb++++=fool
of ^in++++=of
a ^at++++=a
younger ^jjr+atrb+++=younger
son ^nn++++=son
as ^ql++++=as
general ^npt++++=general
manager ^nn++++=manager,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
gink ^jj+++??+=gink
whose ^whp+who+++=whose
horizon ^nn++++=horizon
is ^vbz+bez+aux++=is
limited ^vpsv++by+xvbnx+=limited
by ^in++++=by
Hyde ^np++++=Hyde
Park ^npl++++=Park
Corner ^npl++++=Corner
and ^cc++++=and
Oxford ^np++++=Oxford
Circus ^nn++++=Circus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
knows ^vbz+vprv+++=knows
all ^abn++++=all
about ^in++++=about
the ^ati++++=the
luxuries ^nns++++=luxuries
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
to ^in++++=to
him ^pp3o+pp3+++=him
are ^vb+ber+vrb++=are
synonymous ^jj+pred+++=synonymous
with ^in++++=with
the ^ati++++=the
necessities ^nns+nom+++=necessities.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
coast ^nn++++=coast,
, ^zz++++=EXTRAWORD
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
scenery ^nn+nom+++=scenery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
decided ^vprf+++xvbn+=decided
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
thing ^nn++++=thing
to ^to++++=to
do ^vbi++++=do
would ^md+prd+++=would
be ^vb+be+aux++=be
to ^to++++=to
build ^vb++++=build
a ^at++++=a
suitable ^jj+atrb+++=suitable
residence ^nn+nom+++=residence
for ^in++++=for
his ^pp$+pp3+++=his
festive ^jj+atrb+++=festive
self ^nn++++=self.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
guess ^vb++++=guess
the ^ati++++=the
imaginative ^jj+atrb+++=imaginative
West ^np+pl+++=West
Coast ^nn++++=Coast
trader ^nn++++=trader
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
responsible ^jj+pred+++=responsible
for ^in++++=for
the ^ati++++=the
whole ^jj+atrb+++=whole
thing ^nn++++=thing
must ^md+nec+++=must
have ^vb+hv+aux++=have
helped ^vprf+++xvbnx+=helped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Naturally ^rb++++=Naturally
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
commissions ^nns++++=commissions
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+aux++=have
pocketed ^vprf+++xvbnx+=pocketed
from ^in++++=from
the ^ati++++=the
Coast ^nn++++=Coast
people ^nns++++=people:
: ^zz++++=EXTRAWORD
commissions ^nns++++=commissions
for ^in++++=for
stone ^nn++++=stone
and ^cc++++=and
wood ^nn++++=wood
and ^cc++++=and
glass ^nn++++=glass
and ^cc++++=and
bricks ^nns++++=bricks
and ^cc++++=and
cement ^nn++++=cement
and ^cc++++=and
whatnot ^nn+++??+=whatnot.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
house ^npl++++=house
our ^pp$+pp1+++=our
younger ^jjr+atrb+++=younger
son ^nn++++=son
built ^vbd+++xvbn+=built
for ^in++++=for
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Darn ^rb++++=Darn
the ^ati++++=the
expense ^nn++++=expense!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
stubborn ^jj+pred+++=stubborn
if ^cs+cnd+++=if
nothing ^pn++++=nothing
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
was ^vbd+bedz+aux++=was
built ^vpsv++agls+xvbnx+=built;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
in ^in+strn+++=in,
