New ^jj+atrb+++=NEW
a ^at++++=a
child ^nn++++=child
once ^rb+tm+++=once
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grew ^vbd+++xvbn+=grew
up ^rp++++=up
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grew ^vbd+++xvbn+=grew
old ^jj++++=old
and ^cc+phrs+++=and
died ^jj+++xvbn+=died."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
not ^xnot++not++=not
well ^jj+pred+++=well
to ^to++++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny
that ^tht+rel+subj++=that's
's ^vbz+bez+aux++0=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
queer ^jj+pred+++=queer,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
touch ^nn++++=touch
of ^in++++=of
sun ^nn++++=sun
that ^tht+rel+subj++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
try ^vb++++=try
to ^to+vcmp+++=to
go ^vbi++++=go
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
grow ^vb++++=grow
up ^rp++++=up
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
laying ^nvbg+++xvbg+=laying
awake ^jj++++=awake
worrying ^jj+++xvbg+=worrying
about ^in++++=about
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
man ^nn++++=man
all ^rb++++=all
the ^ati++++=the
sooner ^rbr++++=sooner."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
the ^ati++++=the
mother ^npt++++=mother
called ^vbd+++xvbn+=called
out ^rp+pl+++=out
" ^zz++++="Can't
can ^md+pos+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
be ^vb+be+vrb++=be
quiet ^nn++++=quiet?
? ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
by ^in++++=by
talking ^nn++++=talking
at ^in++++=at
this ^dt+dem+++=this
hour ^nn++++=hour
of ^in++++=of
the ^ati++++=the
night ^nn++++=night?
? ^zz++++=EXTRAWORD
Am ^vb+bem+vrb++=Am
I ^pp1a+pp1+++=I
never ^rb++++=never
to ^to++++=to
get ^vbi++++=get
another ^dt++++=another
wink ^nn++++=wink
of ^in++++=of
sleep ^nn++++=sleep?
? ^zz++++=EXTRAWORD
Shut ^j+++xvbn+=Shut
those ^dt+dem+++=those
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
Nils ^np+++??+=Nils,
, ^zz++++=EXTRAWORD
for ^in++++=for
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
drive ^vbi++++=drive
me ^pp1o+pp1+++=me
mad ^jj++++=mad
and ^cc++++=and
make ^vb++++=make
that ^dt+dem+++=that
boy ^nn++++=boy
hold ^vb+vprv+++=hold
his ^pp$+pp3+++=his
tongue ^nn++++=tongue!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
closed ^vbd+++xvbn+=closed
the ^ati++++=the
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
" ^zz++++="Better
better ^jjr++++=EXTRAWORD
try ^vb++++=try
to ^to+vcmp+++=to
go ^vbi++++=go
to ^to++++=to
sleep ^vbi++++=sleep
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
sonny ^nn++++=sonny,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
down ^rb+phrv+++=down
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
waited ^vbd+++xvbn+=waited
for ^in++++=for
some ^dti++++=some
time ^nn++++=time,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
very ^ql+amp+++=very
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lit ^vbd+++xvbnx+=lit
the ^ati++++=the
candle ^nn++++=candle
at ^in++++=at
the ^ati++++=the
kitchen ^nn++++=kitchen
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
it ^pp3+it+++=it
where ^wrb+who+++=where
it ^pp3+it+++=it
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
light ^nn++++=light
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
child ^nn++++=child
knew ^vbd+vprv+tht0+xvbn+=knew
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
watching ^vbg+++xvbgx+=watching
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
sleep ^vbi++++=sleep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
so ^ql++++=so
pretending ^nvbg+++xvbg+=pretending,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
old ^jj+atrb+++=old
year ^nn++++=year
died ^vbd+++xvbn+=died
as ^ql++++=as
many ^ap++++=many
old ^jj+atrb+++=old
years ^nns++++=years
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
was ^vbd+bedz+vrb++=was
up ^rp++++=up
about ^in++++=about
four ^cd++++=four
o'clock ^rb++++=o'clock
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
at ^rb++++=at
his ^pp$+pp3+++=his
trade ^nn++++=trade
in ^in++++=in
a ^at++++=a
farming ^jj+atrb++xvbg+=farming
town ^nn++++=town
about ^in++++=about
five ^cd++++=five
miles ^nns++++=miles
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
milked ^vwbn+++xvbn+=milked
the ^ati++++=the
three ^cd++++=three
cows ^nns++++=cows,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
the ^ati++++=the
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heard ^vbd+vprv++xvbn+=heard
his ^pp$+pp3+++=his
mother ^nn++++=mother
calling ^vwbg+++xvbg+=calling
" ^zz++++="Nils!
nils ^nns+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
Nils ^np+++??+=Nils!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mother ^nn++++=mother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
answer ^nn++++=answer
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
called ^vbd+++xvbnx+=called
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
calling ^nvbg+++xvbg+=calling
here ^rn+pl+++=here
for ^in++++=for
the ^ati++++=the
last ^ap++++=last
three ^cd++++=three
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
your ^pp$+pp2+++=your
father ^npt++++=father
gone ^vbd+++xvbn+=gone
out ^rp+pl+++=out?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mother ^nn++++=mother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
God ^nn++++=God!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
relief ^nn++++=relief
to ^to++++=to
be ^vbi+vbi+aux++=be
rid ^vpsv++agls+xvbnx+=rid
of ^in++++=of
his ^pp$+pp3+++=his
everlasting ^jj+atrb+++=everlasting
growling ^nn+nom+++=growling.
. ^zz++++=EXTRAWORD
Bring ^vb++++=Bring
me ^pp1o+pp1+++=me
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
tea ^nn++++=tea
and ^cc++++=and
the ^ati++++=the
Australian ^jj+atrb+++=Australian
Journal ^nn++++=Journal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
take ^vb++++=take
this ^dt+dem+++=this
child ^nn++++=child
out ^rp+pl+++=out
and ^cc++++=and
dress ^nn++++=dress
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
up ^rp++++=up
hours ^nns++++=hours
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=And
so ^rb++++=so
the ^ati++++=the
new ^jj+atrb+++=New
year ^nn++++=Year
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
