Scene. ^np+++??+=Scene.--The
felt ^vbd+vprv++xvbnx+=felt
bad ^jj++++=bad
about ^in++++=about
it ^pp3+it+++=it
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
set ^vprf+++xvbnx+=set
her ^pp$+pp3+++=her
heart ^nn++++=heart
on ^in++++=on
raisin ^nn+++??+=raisin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
turkeys ^nns+++??+=turkeys;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^jj++++=dear!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
[ ^zz++++=[set]
set ^vbd+++xvbn+=EXTRAWORD
] ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Do,
' ^zz++++=EXTRAWORD
do ^vb+do+vrb++=EXTRAWORD
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson:
: ^zz++++=EXTRAWORD
' ^zz++++='why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
turkey ^nn++++=turkey,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
there ^rn+pl+++=there
by ^in++++=by
the ^ati++++=the
door ^nn++++=door;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fine ^jj+atrb+++=fine
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Sure ^jj++++=Sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
old ^jj+atrb+++=old
tom ^np++++=tom-turkey
- ^zz++++=EXTRAWORD
turkey ^np++++=EXTRAWORD
a ^at++++=a
struttin ^nn+++??+=struttin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
sidlin ^nn+++??+=sidlin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
quitterin ^nn+++??+=quitterin,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
floutin ^nn+++??+=floutin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
tail ^nn++++=tail-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
lively ^jj+atrb+++=lively
young ^jj+atrb+++=young
widower ^nn++++=widower,
, ^zz++++=EXTRAWORD
all ^abn++++=all
ready ^jj++++=ready
to ^to+jcmp+++=to
begin ^vbi++++=begin
life ^nn++++=life
over ^in++++=over
agin ^nn+++??+=agin.
. ^zz++++=EXTRAWORD
" ^zz++++="'But,'
' ^zz++++=EXTRAWORD
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
set ^vbd+++xvbn+=set
on ^in++++=on
eggs ^nns++++=eggs.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'He
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
ca ^np++++=can't?
n't ^xnot++not++0=EXTRAWORD
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
why ^wrb+who+whcl++=why,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson.
. ^zz++++=EXTRAWORD
' ^zz++++='He
he ^pp3a+pp3+++=EXTRAWORD
' ^zz++++='shall'
shall ^md+prd+++=EXTRAWORD
' ^zz++++=EXTRAWORD
set ^vbd+++xvbn+=set
on ^in++++=on
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hatch ^nn++++=hatch
them ^pp3o+pp3+++0='em
too ^rb++++=too.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'O
' ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
doctor ^nn++++=doctor!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
all ^abn++++=all
in ^in++++=in
a ^at++++=a
tremble ^vb++++=tremble;
; ^zz++++=EXTRAWORD
' ^zz++++='cause,
cause ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
contradict ^vbi++++=contradict
the ^ati++++=the
minister ^nn+nom+++=minister,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
she ^pp3a+pp3+++=she
should ^md+nec+++=should
laugh,-- ^vb+++??+=laugh,--'I
'i ^nn+++??+=EXTRAWORD
never ^rb++++=never
heard ^vprf+++xvbn+=heard
that ^tht+vcmp+++=that
a ^at++++=a
tom ^np++++=tom-turkey
- ^zz++++=EXTRAWORD
turkey ^np++++=EXTRAWORD
would ^md+prd+++=would
set ^vbd+++xvbn+=set
on ^in++++=on
eggs ^nns++++=eggs.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Why,
' ^zz++++=EXTRAWORD
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
ought ^md+nec+++=ought
to ^in+strn+++=to,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
getting ^vbg+++xvbg+=getting
quite ^rb++++=quite
' ^zz++++='arnest:
arnest ^jjt++++=EXTRAWORD
: ^zz++++=EXTRAWORD
' ^zz++++='what
what ^wdt+who+++=EXTRAWORD
else ^rb+cnj+++=else
be ^vb+be+vrb++=be
they ^pp3a+pp3+++=they
good ^jj++++=good
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
just ^rb+emph+++=just
bring ^vb++++=bring
out ^rb+phrv+++=out
the ^ati++++=the
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
them ^pp3o+pp3+++0='em
in ^in++++=in
the ^ati++++=the
nest ^nn++++=nest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
him ^pp3o+pp3+++=him
set ^vbd+++xvbn+=set
on ^in++++=on
' ^zz++++='em.'
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
Huldy ^np+++??+=Huldy
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
there ^rn+pl+++=there
wer ^jjr++++=wern't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
way ^nn++++=way
to ^to++++=to
convince ^vbi++++=convince
him ^pp3o+pp3+++=him
but ^cc++++=but
to ^to++++=to
let ^vbi++++=let
him ^pp3o+pp3+++=him
try ^vb++++=try:
: ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
the ^ati++++=the
eggs ^nns++++=eggs
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fixed ^jj+++xvbn+=fixed
them ^pp3o+pp3+++0='em
all ^rb++++=all
nice ^jj++++=nice
in ^in++++=in
the ^ati++++=the
nest ^nn++++=nest;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
come ^vb++++=come
back ^jjb++++=back
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
old ^jj+atrb+++=old
Tom ^np++++=Tom
a ^at++++=a
skirmishin ^nn+++??+=skirmishin'
' ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
parson ^nn++++=parson
pretty ^rb++++=pretty
lively ^jj++++=lively,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
ye ^pp2+pp2+++=ye.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
Tom ^np++++=Tom
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
idee ^nn++++=idee
at ^rb++++=at
all ^abn++++=all;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
flopped ^vbd+++xvbnx+=flopped
and ^cc+phrs+++=and
gobbled ^vprf+++xvbn+=gobbled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fit ^vb++++=fit
the ^ati++++=the
parson ^nn++++=parson;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
wig ^nn++++=wig
got ^vbd+++xvbn+=got
' ^zz++++='round
round ^in++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
his ^pp$+pp3+++=his
cue ^nn++++=cue
stuck ^vbd+++xvbn+=stuck
straight ^jj++++=straight
out ^rp+pl+++=out
over ^in++++=over
his ^pp$+pp3+++=his
ear ^nn++++=ear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
got ^vprf+++xvbnx+=got
his ^pp$+pp3+++=his
blood ^nn++++=blood
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
doctor ^nn++++=doctor
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^in++++=to
carryin ^nn+++??+=carryin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
p ^zz++++=p'ints
'ints ^nns+++??+0=EXTRAWORD
of ^in++++0=o'
doctrine ^nn++++=doctrine;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
fit ^vb++++=fit
the ^ati++++=the
Arminians ^np+++??+=Arminians
and ^cc++++=and
Socinians ^np+++??+=Socinians
to ^to++++=to
be ^vbi+vbi+aux++=be
beat ^vpsv++by+xvbnx+=beat
by ^in++++=by
a ^at++++=a
tom ^np++++=tom-turkey;
- ^zz++++=EXTRAWORD
turkey ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
so ^ql++++=so
finally ^rb++++=finally
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
a ^at++++=a
dive ^nn++++=dive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ketched ^jj+++xvbn+=ketched
him ^pp3o+pp3+++=him
by ^in++++=by
the ^ati++++=the
neck ^nn++++=neck
in ^in++++=in
spite ^in"++++=spite
of ^in"++++0=o'
his ^pp$+pp3+++=his
floppin ^nn+++??+=floppin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
stroked ^vbd+++xvbn+=stroked
him ^pp3o+pp3+++=him
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
Huldy ^np++++=Huldy's
's ^$++++=EXTRAWORD
apron ^nn++++=apron
' ^zz++++='round
round ^rp++++=EXTRAWORD
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="'There,
' ^zz++++=EXTRAWORD
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
red ^jj++++=red
in ^in++++=in
the ^ati++++=the
face ^nn++++=face,
, ^zz++++=EXTRAWORD
' ^zz++++='we've
we ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
him ^pp3o+pp3+++=him
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
' ^zz++++='and
and ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he
travelled ^vbd+++xvbnx+=travelled
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
barn ^nn++++=barn
with ^in++++=with
him ^pp3o+pp3+++=him
as ^in++++=as
lively ^nn++++=lively
as ^in++++=as
a ^at++++=a
cricket ^nn++++=cricket.
. ^zz++++=EXTRAWORD
[ ^zz++++=[Illustration:
illustration ^nn+nom+++=EXTRAWORD
: ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
came ^vbd+++xvbn+=came
behind ^in+pl+++=behind
chokin ^nn+++??+=chokin'
' ^zz++++=EXTRAWORD
with ^in++++=with
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
Page ^nn++++=Page
065 ^nn+++??+=065]
] ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
came ^vbd+++xvbn+=came
behind ^in+pl+++=behind
jist ^nn++++=jist
chokin ^nn+++??+=chokin'
' ^zz++++=EXTRAWORD
with ^in++++=with
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afraid ^jj++++=afraid
the ^ati++++=the
minister ^nn+nom+++=minister
would ^md+prd+++=would
look ^vb++++=look
' ^zz++++='round
round ^in++++=EXTRAWORD
and ^cc++++=and
see ^vb+vprv+++=see
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="'Now,
' ^zz++++=EXTRAWORD
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
crook ^vb++++=crook
his ^pp$+pp3+++=his
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^nn+++xvbn+=set
him ^pp3o+pp3+++=him
down ^rp++++=down,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
nest ^nn++++=nest:
: ^zz++++=EXTRAWORD
' ^zz++++='you
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+tht0++=see
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
getting ^vbg+++xvbgx+=getting
quiet ^jj++++=quiet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
set ^vwbn+++xvbn+=set
there ^rn+pl+++=there
all ^abn++++=all
right ^jj++++=right.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sot ^nn+++??+=sot
him ^pp3o+pp3+++=him
down ^rp++++=down;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
Tom ^np++++=Tom
he ^pp3a+pp3+++=he
sot ^nn+++??+=sot
there ^rn+pl+++=there
solemn ^jj++++=solemn
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vbd+vprv+tht0+xvbn+=held
his ^pp$+pp3+++=his
head ^jjb++++=head
down ^rp++++=down
all ^abn++++=all
droopin ^nn+++??+=droopin',
', ^nn+++??+=EXTRAWORD
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
rail ^nn++++=rail
pious ^jj+atrb+++=pious
old ^jj+atrb+++=old
cock ^nn++++=cock,
, ^zz++++=EXTRAWORD
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
the ^ati++++=the
parson ^nn++++=parson
sot ^nn+++??+=sot
by ^in++++=by
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="'There:
' ^zz++++=EXTRAWORD
there ^rn+pl+++=EXTRAWORD
: ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
still ^rb++++=still
he ^pp3a+pp3+++=he
sets ^vbz++++=sets,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson
to ^in++++=to
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
' ^zz++++='most
most ^ql+emph+++=EXTRAWORD
dyin ^nn+++??+=dyin'
' ^zz++++=EXTRAWORD
for ^in++++=for
fear ^nn++++=fear
she ^pp3a+pp3+++=she
should ^md+nec+++=should
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
' ^zz++++='I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
up ^rp++++=up,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='when
when ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Oh,
' ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wo ^&fw++++=won't!'
n't ^xnot++not++0=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
confident ^jj++++=confident.
. ^zz++++=EXTRAWORD
' ^zz++++='There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
layin ^nn+++??+=layin'
' ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
on ^in++++=on
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
pronouncin ^nn+++??+=pronouncin'
' ^zz++++=EXTRAWORD
a ^at++++=a
blessin ^nn+++??+=blessin'.
'. ^nn+++??+=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
the ^ati++++=the
parson ^nn++++=parson
riz ^nn+++??+=riz
up ^rp++++=up,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
Tom ^np++++=Tom
he ^pp3a+pp3+++=he
riz ^nn+++??+=riz
up ^rp++++=up
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
march ^vbi++++=march
over ^in++++=over
the ^ati++++=the
eggs ^nns++++=eggs.
. ^zz++++=EXTRAWORD
" ^zz++++="'Stop,
est ^&fw++++=EXTRAWORD
now ^rn+tm+++=now!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson.
. ^zz++++=EXTRAWORD
' ^zz++++='I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
him ^pp3o+pp3+++=him
get ^vb++++=get
down ^rp++++=down
agin ^nn+++??+=agin:
: ^zz++++=EXTRAWORD
hand ^nn++++=hand
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
corn ^nn++++=corn-basket;
- ^zz++++=EXTRAWORD
basket ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
put ^vprf+++xvbn+=put
that ^dt+dem+++=that
over ^rp++++=over
him ^pp3o+pp3+++=him.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
he ^pp3a+pp3+++=he
crooked ^jj+atrb+++=crooked
old ^jj+atrb+++=old
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
him ^pp3o+pp3+++=him
down ^rp++++=down
agin ^nn+++??+=agin;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
put ^vbd+++xvbnx+=put
the ^ati++++=the
corn ^nn++++=corn-basket
- ^zz++++=EXTRAWORD
basket ^nn++++=EXTRAWORD
over ^rp++++=over
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
both ^abx++++=both
stood ^vbd+++xvbn+=stood
and ^cc+phrs+++=and
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
" ^zz++++="'That'll
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
the ^ati++++=the
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
parson ^nn++++=parson.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
about ^in++++=about
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="'Oh,
' ^zz++++=EXTRAWORD
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
child ^nn++++=child!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
the ^ati++++=the
basket ^nn++++=basket
riz ^nn+++??+=riz
right ^jj++++=right
up ^rp++++=up
and ^cc++++=and
stood ^vbd+++xvbn+=stood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
could ^md+pos+++=could
see ^vb+vprv+++=see
old ^jj+atrb+++=old
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
long ^rb++++=long
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
" ^zz++++="'I'll
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
him ^pp3o+pp3+++=him
stay ^vb++++=stay
down ^rp++++=down,
, ^zz++++=EXTRAWORD
confound ^vb++++=confound
him ^pp3o+pp3+++=him,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
parson ^nn++++=parson;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
parsons ^nns++++=parsons
is ^vbz+bez+vrb++=is
men ^nns++++=men,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
rest ^nn++++=rest
on ^rp++++=on
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
doctor ^nn++++=doctor
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
his ^pp$+pp3+++=his
spunk ^nn+++??+=spunk
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="'You
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
jist ^nn++++=jist
hold ^nn++++=hold
him ^pp3o+pp3+++=him
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
something ^pn++++=something
that ^dt+pdem+++=that'll
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
him ^pp3o+pp3+++=him
stay ^nn++++=stay,
, ^zz++++=EXTRAWORD
