Knowing ^vbg+vprv++xvbg+=Knowing
Not ^xnot++not++=Not
for ^in++++=for
always ^rb++++=always--and--so--soon!
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
so ^ql++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
soon ^rb+tm+++=EXTRAWORD
! ^zz++++=EXTRAWORD
( ^zz++++=(_Voice
_voice ^nn+++??+=EXTRAWORD
ceases._ ^nn+++??+=ceases._)
) ^zz++++=EXTRAWORD
_pause ^nn+++??+=_Pause
of ^in++++=of
ten ^cd++++=ten
minutes._ ^nn+++??+=minutes._
G ^zz++++=G.
. ^zz++++=EXTRAWORD
_buries ^nns++++=_buries
his ^pp$+pp3+++=his
face ^nn++++=face
in ^in++++=in
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
bed ^nn++++=bed
while ^cs+sub+++=while
ayah ^nn+++??+=ayah
bends ^nns++++=bends
over ^in++++=over
bed ^nn++++=bed
from ^in++++=from
opposite ^jj+atrb+++=opposite
side ^nn++++=side
and ^cc++++=and
feels_ ^nn+++??+=feels_
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
G. ^np++++=G.'s
's ^$++++=EXTRAWORD
_breast ^nn+++??+=_breast
and ^cc++++=and
forehead._ ^nn+++??+=forehead._
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Rising._)
_rising._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
_doctor ^nn++++=_Doctor
Sahib ^np+++??+=Sahib
ko ^nn+++??+=ko
salaam ^nn+++??+=salaam
do._ ^nn+++??+=do._
Ayah ^np+++??+=AYAH.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Still
_still ^nn+++??+=EXTRAWORD
by ^in++++=by
bedside ^nn++++=bedside,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
shriek._ ^nn+++??+=shriek._)
) ^zz++++=EXTRAWORD
Ai ^vb+hv+aux++=Ai!
! ^zz++++=EXTRAWORD
Ai ^vb+hv+vrb++=Ai!
! ^zz++++=EXTRAWORD
_tuta ^nn+++??+=_Tuta---phuta!_
-- ^--+clp+++=EXTRAWORD
- ^zz++++=EXTRAWORD
phuta!_ ^nn+++??+=EXTRAWORD
My ^pp$+pp1+++=My
_memsahib!_ ^nn+++??+=_Memsahib!_
Not ^xnot++not++=Not
getting ^vbg+++xvbg+=getting--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
have ^vb+hv+vrb++=have
got! ^nn+++??+=got!--_Pusseena
-- ^--+clp+++=EXTRAWORD
_pusseena ^nn+++??+=EXTRAWORD
agya!_ ^nn+++??+=agya!_
( ^zz++++=(The
the ^ati++++=EXTRAWORD
sweat ^nn++++=sweat
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(_Fiercely
_fiercely ^jj++++=EXTRAWORD
to ^in++++=to
_g ^nn+++??+=_G.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Tum ^np+++??+=TUM
_jao ^nn+++??+=_jao
Doctor ^nn++++=Doctor
Sahib ^np+++??+=Sahib
ko ^nn+++??+=ko
jaldi!_ ^nn+++??+=jaldi!_
( ^zz++++=(_You_
_you_ ^nn+++??+=EXTRAWORD
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
doctor ^nn++++=doctor.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
_oh,_ ^nn+++??+=_Oh,_
my ^pp$+pp1+++=my
_memsahib!_ ^nn+++??+=_Memsahib!_
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Entering
_entering ^jj+atrb++xvbg+=EXTRAWORD
hastily._ ^nn+++??+=hastily._)
) ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
Gadsby ^np+++??+=Gadsby.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Bends
_bends ^nns+++??+=EXTRAWORD
over ^in++++=over
bed._ ^nn+++??+=bed._)
) ^zz++++=EXTRAWORD
Eh ^uh++++=Eh!
! ^zz++++=EXTRAWORD
The ^ati++++=The
Dev ^np+++??+=Dev--What
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
inspired ^xvbn+++xvbn+=inspired
you ^pp2+pp2+++=you
to ^to++++=to
stop ^vbi++++=stop
the ^ati++++=the
punkah ^nn+++??+=punkah?
? ^zz++++=EXTRAWORD
Get ^vb++++=Get
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
man ^nn++++=man--go
-- ^--+clp+++=EXTRAWORD
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away--wait
-- ^--+clp+++=EXTRAWORD
wait ^vb++++=EXTRAWORD
outside ^in+strn+++=outside!
! ^zz++++=EXTRAWORD
_go!_ ^nn+++??+=_Go!_
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
Ayah ^np+++??+=Ayah!
! ^zz++++=EXTRAWORD
( ^zz++++=(_Over
_over ^jjr++++=EXTRAWORD
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
to_ ^nn+++??+=to_
G ^zz++++=G.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Mind ^nn++++=Mind,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
promise ^nn++++=promise
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
_the ^nn+++??+=_The
dawn ^nn++++=dawn
breaks ^vbz++++=breaks
as_ ^nn+++??+=as_
G ^zz++++=G.
. ^zz++++=EXTRAWORD
_stumbles ^nns+++??+=_stumbles
into ^in++++=into
the ^ati++++=the
garden._ ^nn+++??+=garden._
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Reining
_reining ^jj+++xvbg+=EXTRAWORD
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
gate ^nn++++=gate
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
parade ^nn++++=parade
and ^cc++++=and
very ^ql+amp+++=very
soberly._ ^nn+++??+=soberly._)
) ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
goes ^vbz++++=goes?
? ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Dazed._)
_dazed._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
quite ^rb++++=quite
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Stay ^vb++++=Stay
a ^at++++=a
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
a ^at++++=a
drink ^nn++++=drink
or ^cc++++=or
something ^pn++++=something.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
run ^vb+++xvbn+=run
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+aux++0=EXTRAWORD
just ^rb+emph+splt++=just
getting ^vbg+++xvbgx+=getting
amusing ^jj++++=amusing.
. ^zz++++=EXTRAWORD
Ha ^uh++++=Ha!
! ^zz++++=EXTRAWORD
Ha ^uh++++=Ha!
! ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Aside._)
_aside._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
What ^wdt+who+++=What
_am_ ^nn+++??+=_am_
I ^pp1a+pp1+++=I
let ^vbd+++xvbnx+=let
in ^rb+phrv+++=in
for ^in+strn+++=for?
? ^zz++++=EXTRAWORD
Gaddy ^np+++??+=Gaddy
has ^vbz+hvz+vrb++=has
aged ^jj++++=aged
ten ^cd++++=ten
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Slowly,
_slowly ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fingering ^vbg+++xvbg+=fingering
charger ^jjr++++=charger's
's ^vbz+bez+vrb++0=EXTRAWORD
headstall._ ^nn+++??+=headstall._)
) ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
curb ^nn++++=curb's
's ^$++++=EXTRAWORD
too ^ql++++=too
loose ^jj++++=loose.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put
it ^pp3+it+++=it
straight ^rb+cnj+++=straight,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
( ^zz++++=(_Aside._)
_aside._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
late ^jj+pred+++=late
for ^in++++=for
parade ^nn++++=parade.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
Gaddy ^np+++??+=Gaddy.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
_links ^nns+++??+=_links
and ^cc++++=and
unlinks ^nns+++??+=unlinks
curb ^nn++++=curb-chain
- ^zz++++=EXTRAWORD
chain ^nn++++=EXTRAWORD
aimlessly ^rb+cnj+++=aimlessly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
stands ^vbz++++=stands
staring ^vbg+++xvbg+=staring
towards ^in++++=towards
the ^ati++++=the
veranda ^nn++++=veranda.
. ^zz++++=EXTRAWORD
The ^ati++++=The
day ^nn++++=day
brightens._ ^nn+++??+=brightens._
Doctor ^nn++++=DOCTOR.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Knocked
_knocked ^jj+++xvbn+=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
professional ^jj+atrb+++=professional
gravity ^nn+nom+++=gravity,
, ^zz++++=EXTRAWORD
tramping ^vbg+++xvbg+=tramping
across ^in+pl+++=across
flower ^nn++++=flower-beds
- ^zz++++=EXTRAWORD
beds ^nns++++=EXTRAWORD
and ^cc++++=and
shaking_ ^nn+++??+=shaking_
G. ^np++++=G.'s
's ^$++++=EXTRAWORD
_hands._ ^nn+++??+=_hands._)
) ^zz++++=EXTRAWORD
It ^pp3+it+++=It's--it's--it's!--Gadsby,
's--it's--it's!--gadsby, ^nn+++??+=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
fair ^jj+atrb+++=fair
chance ^nn++++=chance--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
_dashed_ ^nn+++??+=_dashed_
fair ^jj+atrb+++=fair
chance ^nn++++=chance!
! ^zz++++=EXTRAWORD
The ^ati++++=The
flicker ^nn++++=flicker,
, ^zz++++=EXTRAWORD
y ^zz++++=y'know.
'know. ^nn+++??+=EXTRAWORD
The ^ati++++=The
sweat ^nn++++=sweat,
, ^zz++++=EXTRAWORD
y ^zz++++=y'know!
'know! ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
_saw_ ^nn+++??+=_saw_
how ^wrb+who+++=how
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
The ^ati++++=The
punkah ^nn+++??+=punkah,
, ^zz++++=EXTRAWORD
y ^zz++++=y'know.
'know. ^nn+++??+=EXTRAWORD
Deuced ^np+++??+=Deuced
clever ^jj+atrb+++=clever
woman ^nn++++=woman
that ^tht+rel+obj++=that
Ayah ^np+++??+=Ayah
of ^in++++=of
yours ^pp$$++++=yours.
. ^zz++++=EXTRAWORD
Stopped ^j+++xvbn+=Stopped
the ^ati++++=the
punkah ^nn+++??+=punkah
just ^rb+emph+++=just
at ^in++++=at
the ^ati++++=the
right ^jj+atrb+++=right
time ^nn++++=time.
. ^zz++++=EXTRAWORD
A ^at++++=A
_dashed_ ^nn+++??+=_dashed_
good ^jj+atrb+++=good
chance ^nn++++=chance!
! ^zz++++=EXTRAWORD
No ^at++++=No--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'll
'll ^md+prd+++0=EXTRAWORD
pull ^vb++++=pull
her ^pp$+pp3+++=her
through ^in++++=through
yet ^rb++++=yet
I ^pp1a+pp1+++=I
promise ^nn++++=promise
on ^in++++=on
my ^pp$+pp1+++=my
reputation ^nn+nom+++=reputation--under
-- ^--+clp+++=EXTRAWORD
under ^in++++=EXTRAWORD
Providence ^np+nom++??+=Providence.
. ^zz++++=EXTRAWORD
Send ^vb++++=Send
a ^at++++=a
man ^nn++++=man
with ^in++++=with
this ^dt+dem+++=this
note ^nn++++=note
to ^in++++=to
Bingle ^np+++??+=Bingle.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
heads ^nns++++=heads
better ^jjr++++=better
than ^in++++=than
one ^pn++++=one.
. ^zz++++=EXTRAWORD
' ^zz++++='Specially
specially ^rb++++=EXTRAWORD
the ^ati++++=the
Ayah ^np+++??+=Ayah!
! ^zz++++=EXTRAWORD
_we ^nn+++??+=_We'll_
'll_ ^nn+++??+=EXTRAWORD
pull ^vb++++=pull
her ^pp$+pp3+++=her
round ^rp++++=round.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Retreats
_retreats ^nns+++??+=EXTRAWORD
hastily ^rb++++=hastily
to ^in++++=to
house._ ^nn+++??+=house._)
) ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_His
_his ^nns+++??+=EXTRAWORD
head ^jjb++++=head
on ^in++++=on
neck ^nn++++=neck
of_ ^nn+++??+=of_
M. ^np++++=M.'s
's ^$++++=EXTRAWORD
_charger._ ^nn+++??+=_charger._)
) ^zz++++=EXTRAWORD
_jack!_ ^nn+++??+=_Jack!_
I ^pp1a+pp1+++=I
bub ^nn+++??+=bub--bub--believe,
-- ^--+clp+++=EXTRAWORD
bub ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
believe ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
make ^vb++++=make
a ^at++++=a
bub ^nn+++??+=bub--bub--bloody
-- ^--+clp+++=EXTRAWORD
bub ^nn+++??+=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
bloody ^jj+atrb+++=EXTRAWORD
exhibitiod ^nn+++??+=exhibitiod
of ^in++++=of
byself ^nn+++??+=byself.
. ^zz++++=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Sniffing
_sniffing ^jj+++xvbg+=EXTRAWORD
openly ^rb++++=openly
and ^cc++++=and
feeling ^nvbg+++xvbg+=feeling
in ^in++++=in
his ^pp$+pp3+++=his
left ^vbd+++xvbn+=left
cuff._ ^nn+++??+=cuff._)
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
b-b ^nn+++??+=b-b--believe,
-- ^--+clp+++=EXTRAWORD
believe ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'b
'b ^nn+++??+=EXTRAWORD
doing ^vwbg+++xvbg+=doing
it ^pp3+it+++=it
already ^rb++++=already.
. ^zz++++=EXTRAWORD
Old ^jj++++=Old
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
_cad_ ^nn+++??+=_cad_
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'b
'b ^nn+++??+=EXTRAWORD
as ^cs+sub+++=as
pleased ^jj+++xvbn+=pleased
as ^in+strn+++=as--Cod
-- ^--+clp+++=EXTRAWORD
cod ^nn++++=EXTRAWORD
_dab_ ^nn+++??+=_dab_
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Gaddy ^np+++??+=Gaddy!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
one ^cd1++++=one
big ^jj+atrb+++=big
idiot ^nn++++=idiot
and ^cc++++=and
I ^pp1a+pp1+++=I'b
'b ^nn+++??+=EXTRAWORD
adother ^jjr++++=adother.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Pulling
_pulling ^nn+nom+++=EXTRAWORD
himself ^ppl+pp3+++=himself
together._ ^nn+++??+=together._)
) ^zz++++=EXTRAWORD
Sit ^vb++++=Sit
tight ^jj++++=tight!
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
comes ^vbz++++=comes
the ^ati++++=the
Devil ^nn++++=Devil-dodger.
- ^zz++++=EXTRAWORD
dodger ^jjr++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Junior ^jj+atrb+++=JUNIOR
Chaplain ^npt++++=CHAPLAIN.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Who
_who ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
Doctor ^np++++=Doctor's
's ^$++++=EXTRAWORD
confidence._ ^nn+++??+=confidence._)
) ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We--we
-- ^--+clp+++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
only ^rb+down+++=only
men ^nns++++=men
in ^in++++=in
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
Gadsby ^np+++??+=Gadsby.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
can ^md+pos+++=can
say ^vb+vpub+tht0++=say
nothing ^pn++++=nothing
now ^rn+tm+++=now
to ^to++++=to
help ^vbi++++=help-CAPT.
- ^zz++++=EXTRAWORD
capt ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Jealously._)
_jealously._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
Leave ^nn++++=Leave
him ^pp3o+pp3+++=him
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
bad ^jj++++=bad
enough ^qlp++++=enough
to ^in++++=to
croak ^nn+++??+=croak
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
Gaddy ^np+++??+=Gaddy,
, ^zz++++=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
_chit_ ^nn+++??+=_chit_
to ^in++++=to
Bingle ^np+++??+=Bingle
and ^cc++++=and
ride ^nn++++=ride
hell ^nn++++=hell-for-leather.
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
leather ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
good ^jj++++=good.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go.
. ^zz++++=EXTRAWORD
Junior ^jj+atrb+++=JUNIOR
Chaplain ^npt++++=CHAPLAIN.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
him ^pp3o+pp3+++=him
good ^jj++++=good!
! ^zz++++=EXTRAWORD
( ^zz++++=(_Smiling._)
_smiling._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
the ^ati++++=the
_chit_ ^nn+++??+=_chit_
and ^cc++++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
drive ^vb++++=drive.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him
lie ^vb++++=lie
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
horse ^nn++++=horse
is ^vbz+bez+aux++=is
blocking ^vbg+++xvbgx+=blocking
my ^pp$+pp1+++=my
cart ^nn++++=cart--_please!_
-- ^--+clp+++=EXTRAWORD
_please!_ ^nn+++??+=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Slowly
_slowly ^jj++++=EXTRAWORD
without ^in++++=without
reining ^xvbg+++xvbg+=reining
back._ ^nn+++??+=back._)
) ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
your ^pp$+pp2+++=your
pardon--i ^nn+++??+=pardon--I'll
'll ^md+prd+++0=EXTRAWORD
apologise ^vb++++=apologise.
. ^zz++++=EXTRAWORD
On ^in++++=On
paper ^nn++++=paper
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
like ^vb++++=like.
. ^zz++++=EXTRAWORD
Junior ^jj+atrb+++=JUNIOR
Chaplain ^npt++++=CHAPLAIN.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Flicking_
_flicking_ ^nn+++??+=EXTRAWORD
M. ^np++++=M.'s
's ^$++++=EXTRAWORD
_charger._ ^nn+++??+=_charger._)
) ^zz++++=EXTRAWORD
That ^dt+pdem+++=That'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
thanks ^rb+dspt+++=thanks.
. ^zz++++=EXTRAWORD
Turn ^nn++++=Turn
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
Gadsby ^np+++??+=Gadsby,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
bring ^vb++++=bring
Bingle ^np+++??+=Bingle
back--ahem-- ^nn+++??+=back--ahem--'hell-for-leather.'
'hell-for-leather.' ^nn+++??+=EXTRAWORD
Capt ^npt++++=CAPT.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Solus._)
_solus._ ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
have ^vb+hv+aux++=have
served ^vprf+++xvbnx+=served
me ^pp1o+pp1+++=me
right ^jj++++=right
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
cut ^vprf+++xvbnx+=cut
me ^pp1o+pp1+++=me
across ^in+pl+++=across
the ^ati++++=the
face ^nn++++=face.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
drive ^vb++++=drive
too ^ql++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
care ^vb+vprv+++=care
to ^to+vcmp+++=to
go ^vbi++++=go
that ^dt+dem+++=that
pace ^nn++++=pace
in ^in++++=in
a ^at++++=a
bamboo ^nn+++??+=bamboo
cart ^np++++=cart.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
faith ^nn++++=faith
he ^pp3a+pp3+++=he
must ^md+nec+++=must
have ^vb+hv+vrb++=have
in ^in++++=in
his ^pp$+pp3+++=his
Maker ^nn++++=Maker--of
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
harness ^nns+nom+++=harness!
! ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
_hup_ ^nn+++??+=_hup_,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
brute ^jjb++++=brute!
! ^zz++++=EXTRAWORD
( ^zz++++=(_Gallops
_gallops ^nns+++??+=EXTRAWORD
off ^in+pl+++=off
to ^in++++=to
parade ^nn++++=parade,
, ^zz++++=EXTRAWORD
blowing ^vbg+++xvbg+=blowing
his ^pp$+pp3+++=his
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
sun ^nn++++=sun
rises._ ^nn+++??+=rises._)
) ^zz++++=EXTRAWORD
( ^zz++++=(INTERVAL
interval ^nn+nom+++=EXTRAWORD
Of ^in++++=OF
Five ^cd++++=FIVE
Weeks ^nns++++=WEEKS.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Very
_very ^nn++++=EXTRAWORD
white ^nn++++=white
and ^cc++++=and
pinched ^jj+++xvbn+=pinched,
, ^zz++++=EXTRAWORD
in ^in++++=in
morning ^nn++++=morning
wrapper ^nn++++=wrapper
at ^in++++=at
breakfast ^nn++++=breakfast
table._ ^nn+++??+=table._)
) ^zz++++=EXTRAWORD
How ^wrb+who+++=How
big ^jj++++=big
and ^cc+phrs+++=and
strange ^jj++++=strange
the ^ati++++=the
room ^nn++++=room
looks ^nns++++=looks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
oh ^uh++++=oh
how ^wrb+who+++=how
glad ^jj++++=glad
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
to ^to++++=to
see ^vbi+vprv+tht0++=see
it ^pp3+it+++=it
again ^rb+tm+++=again!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
talk ^vb++++=talk
to ^in++++=to
the ^ati++++=the
servants ^nns+nom+++=servants.
. ^zz++++=EXTRAWORD
Sugar ^nn++++=Sugar,
, ^zz++++=EXTRAWORD
Pip ^np+++??+=Pip?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
almost ^rb+hdg+splt++=almost
forgotten ^vprf+++xvbnx+=forgotten.
. ^zz++++=EXTRAWORD
( ^zz++++=(_Seriously._)
