But ^cc++++=But
and ^cc+cls+++=and
of ^in+emph+++0=o'
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
harber ^jjr++++=harber
in ^in++++=in
my ^pp$+pp1+++=my
house ^npl++++=house
no ^at++++=no
young ^jj+atrb+++=young
feller ^nn++++=feller
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a-layin'
- ^zz++++=EXTRAWORD
layin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
round ^in++++=round
fer ^&fw++++=fer
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
steal ^vbi++++=steal
away ^rp+pl+++=away
the ^ati++++=the
" ^zz++++="Nest-egg,'"
nest-egg, ^nn+++??+=EXTRAWORD
'" ^nn+++??+=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
laughin ^nn+++??+=laughin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="Marthy
marthy ^nn+++??+=EXTRAWORD
had ^vb+hv+vrb++=had
riz ^nn+++??+=riz
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
buggy ^nn+++??+=buggy
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
I ^pp1a+pp1+++=I
helt ^vbd+++xvbnx+=helt
up ^rp++++=up
my ^pp$+pp1+++=my
hands ^nns++++=hands
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
sorto ^nn+++??+=sorto'
' ^zz++++=EXTRAWORD
drawed ^jj+++xvbn+=drawed
back ^jjb++++=back
a ^at++++=a
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
all ^abn++++=all
serious ^jj++++=serious-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
and ^cc++++=and
kindo ^nn+++??+=kindo'
' ^zz++++=EXTRAWORD
whisperin ^nn+++??+=whisperin':
': ^nn+++??+=EXTRAWORD
" ^zz++++="'Is
' ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
Annie ^np+++??+=Annie?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
nodded ^vbd+++xvbnx+=nodded.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes,'
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
' ^zz++++='a'nd
a ^at++++=EXTRAWORD
'nd ^nn+++??+=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
give ^vb++++=give
my ^pp$+pp1+++=my
consent ^nn++++=consent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
give ^vb++++=give
hern ^nn++++=hern
the ^ati++++=the
thing ^nn++++=thing's
's ^$++++=EXTRAWORD
all ^abn++++=all
settled ^jj+++xvbn+=settled.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come,
, ^zz++++=EXTRAWORD
jump ^vb++++=jump
out ^rp+pl+++=out
and ^cc++++=and
run ^vpsv++agls+xvbn+=run
in ^in++++=in
and ^cc++++=and
be ^vb+be+vrb++=be
happy ^jj+pred+++=happy
with ^in++++=with
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
helt ^vbd+++xvbnx+=helt
out ^rp+pl+++=out
my ^pp$+pp1+++=my
hands ^nns++++=hands
ag ^nn++++=ag'in,
'in, ^nn+++??+=EXTRAWORD
but ^cc++++=but
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
' ^zz++++='pear
pear ^nn++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
no ^at++++=no
heed ^nn++++=heed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
kindo ^nn+++??+=kindo'
' ^zz++++=EXTRAWORD
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
swallered ^vbd+++xvbn+=swallered
a ^at++++=a
time ^nn++++=time
er ^&fw++++=er
two ^cd++++=two
like ^in++++=like
as ^ql++++=as
ef ^vb+++??+=ef
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
speak ^vb++++=speak
plain ^nn++++=plain.
. ^zz++++=EXTRAWORD
" ^zz++++="'Who
' ^zz++++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
man ^nn++++=man?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ast ^nn+++??+=ast.
. ^zz++++=EXTRAWORD
" ^zz++++="'Who
' ^zz++++=EXTRAWORD
who ^whp+who+++=EXTRAWORD
who ^whp+who+++=who's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
man ^nn++++=man?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
a ^at++++=a-gittin'
- ^zz++++=EXTRAWORD
gittin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
kindo ^nn+++??+=kindo'
' ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++0=o'
patience ^nn+nom+++=patience
with ^in++++=with
the ^ati++++=the
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
' ^zz++++='W'y,
w ^zz++++=EXTRAWORD
'y, ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
who ^whp+wpr+whcl++=who
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
of ^in+emph+++0=o'
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
Morris ^np++++=Morris,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
' ^zz++++='Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
jump ^vb++++=jump
down ^in+strn+++=down!
! ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+tht0++=see
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
waitin ^nn+++??+=waitin'
' ^zz++++=EXTRAWORD
fer ^&fw++++=fer
ye ^pp2+pp2+++=ye?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Then
' ^zz++++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
take ^vb++++=take
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blame ^vb++++=blame-don!
- ^zz++++=EXTRAWORD
don ^npt++++=EXTRAWORD
! ^zz++++=EXTRAWORD
ef ^nn+++??+=ef
the ^ati++++=the
girl ^nn++++=girl
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
keel ^nn++++=keel
right ^jj++++=right
over ^in++++=over
in ^in++++=in
my ^pp$+pp1+++=my
arms ^nns++++=arms
as ^in++++=as
limber ^nn++++=limber
as ^in++++=as
a ^at++++=a
rag ^nn++++=rag!
! ^zz++++=EXTRAWORD
Clean ^jj++++=Clean
fainted ^jj+++xvbn+=fainted
away ^rp+pl+++=away!
! ^zz++++=EXTRAWORD
Honest ^jj++++=Honest!
! ^zz++++=EXTRAWORD
Jest ^rb++++=Jest
the ^ati++++=the
excitement ^nn+nom+++=excitement,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon,
, ^zz++++=EXTRAWORD
of ^in++++0=o'
breakin ^nn+++??+=breakin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it
to ^in++++=to
her ^pp$+pp3+++=her
so ^rb+emph+++=so
suddent ^jj++++=suddent-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
' ^zz++++='cause
cause ^nn++++=EXTRAWORD
she ^pp3a+pp3+++=she
liked ^vbd+++xvbnx+=liked
Annie ^np+++??+=Annie,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
sometimes ^rb++splt++=sometimes
thought ^vprf+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
better ^jjr+atrb+++=better'n
'n ^nn+++??+=EXTRAWORD
even ^rb++++=even
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
own ^ap++++=own
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Didn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
half ^abn++++=half
so ^pn+emph+++=so
hard ^jj++++=hard
with ^in++++=with
her ^pp$+pp3+++=her
when ^wrb+who+++=when
her ^pp$+pp3+++=her
other ^ap++++=other
sister ^npt++++=sister
married ^vbd+++xvbn+=married.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes-sir!"
- ^zz++++=EXTRAWORD
sir ^npt++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
sweeping ^jj+atrb++xvbg+=sweeping
conclusion ^nn++++=conclusion,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet
" ^zz++++="Marthy's
marthy ^nn+++??+=EXTRAWORD
's ^$++++=EXTRAWORD
the ^ati++++=the
on ^in++++=on'y
'y ^nn+++??+=EXTRAWORD
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++0='em
' ^zz++++='a't
a ^at++++=EXTRAWORD
't ^vbd+++xvbn+0=EXTRAWORD
never ^rb++++=never
married ^xvbn+++xvbn+=married
both ^abx++++=both
the ^ati++++=the
others ^aps++++=others
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone
Morris ^np++++=Morris
went ^vbd+++xvbn+=went
all ^abn++++=all
through ^in++++=through
the ^ati++++=the
army ^nn++++=army
and ^cc++++=and
got ^vbd+++xvbn+=got
back ^rb+phrv+++=back
safe ^jj++++=safe
and ^cc++++=and
sound ^nn++++=sound
' ^zz++++='s
s ^zz++++=EXTRAWORD
livin ^nn+++??+=livin'
' ^zz++++=EXTRAWORD
in ^in++++=in
Idyho ^np+++??+=Idyho,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
doin ^nn+++??+=doin'
' ^zz++++=EXTRAWORD
fust ^nn+++??+=fust-rate.
- ^zz++++=EXTRAWORD
rate ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Sends ^vbz++++=Sends
me ^pp1o+pp1+++=me
a ^at++++=a
letter ^nn++++=letter
ever ^rb++++=ever'
' ^zz++++=EXTRAWORD
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
Got ^jj+atrb++xvbn+=Got
three ^cd++++=three
little ^jj+atrb+++=little
chunks ^nns++++=chunks
of ^in++++0=o'
grandchildren ^nn++++=grandchildren
out ^rp+pl+++=out
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'
' ^zz++++=EXTRAWORD
never ^rb++++=never
laid ^xvbn+++xvbn+=laid
eyes ^nns++++=eyes
on ^in++++=on
one ^pn++++=one
of ^in++++=of
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
[ ^zz++++=[77]see,
77]see ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a-gittin'
- ^zz++++=EXTRAWORD
gittin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
quite ^rb++++=quite
a ^at++++=a
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
middle ^jjb++++=middle-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
Sence ^np+++??+=Sence
mother ^npt++++=mother
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
be ^vb+be+vrb++=be'n
'n ^nn+++??+=EXTRAWORD
lem ^nn+++??+=lem-me-see
- ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=EXTRAWORD
- ^zz++++=EXTRAWORD
see ^vb+vprv+++=EXTRAWORD
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
be ^vb+be+vrb++=be'n
'n ^nn+++??+=EXTRAWORD
dead ^jj+atrb+++=dead
somers ^np++++=somers
in ^in++++=in
the ^ati++++=the
neighborhood ^nn+nom+++=neighborhood
of ^in++++0=o'
ten ^cd++++=ten
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Sence ^np+++??+=Sence
mother ^npt++++=mother
died ^vbd+++xvbn+=died
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
be ^vb+be+vrb++=be'n
'n ^nn+++??+=EXTRAWORD
a ^at++++=a-gittin'
- ^zz++++=EXTRAWORD
gittin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
of ^in++++0=o'
Marthy ^np++++=Marthy's
's ^$++++=EXTRAWORD
notion ^nn++++=notion
that ^tht+ncmp+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
ever ^rb++++=ever
hire ^nn++++=hire
me ^pp1o+pp1+++=me
to ^to++++=to
marry ^vbi++++=marry
nobody ^pn++++=nobody!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
them ^pp3o+pp3+++=them
has ^vbz+hvz+aux++=has
allus ^nns+++??+=allus
be ^vb+be+vrb++=be'n
'n ^nn+++??+=EXTRAWORD
and ^cc++++=and
still ^rb++++=still
is ^vbz+bez+vrb++=is
the ^ati++++=the
' ^zz++++='Nest-egg's'
nest-egg ^nn+++??+=EXTRAWORD
's' ^nn+++??+=EXTRAWORD
views ^nns++++=views!
! ^zz++++=EXTRAWORD
Listen ^vb++++=Listen!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
her ^pp$+pp3+++=her
a ^at++++=a-callin'
- ^zz++++=EXTRAWORD
callin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
fer ^&fw++++=fer
us ^pp1o+pp1+++=us
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
sorto ^vb+++??+=sorto'
' ^zz++++=EXTRAWORD
overlook ^vb+vprv+++=overlook
the ^ati++++=the
freedom ^nn+nom+++=freedom,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
Marthy ^np+++??+=Marthy
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
promised ^vprf+++xvbnx+=promised
to ^to+vcmp+++=to
take ^vbi++++=take
dinner ^nn++++=dinner
with ^in++++=with
us ^pp1o+pp1+++=us
to ^to++++=to-day,
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
' ^zz++++='ud
ud ^nn+++??+=EXTRAWORD
never ^rb++++=never
do ^vb+do+aux++=do
to ^to++++=to
disappint ^vbi++++=disappint
her ^pp$+pp3+++=her
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And,
, ^zz++++=EXTRAWORD
ah ^uh++++=ah!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
the ^ati++++=the
soul ^nn++++=soul
of ^in++++=of
you ^pp2+pp2+++=you
either ^dtx++++=either
rapturously ^jj++++=rapturously
glad ^jj++++=glad
or ^cc++++=or
madly ^rb++++=madly
envious ^jj++++=envious
to ^to++++=to
see ^vbi+vprv+++=see
how ^wrb+who+whcl++=how
meekly ^rb++++=meekly
I ^pp1a+pp1+++=I
consented ^vbd+++xvbnx+=consented.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
always ^rb++splt++=always
thinking ^vbg+vprv++xvbgx+=thinking
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
never ^rb++++=never
tasted ^vprf+++xvbn+=tasted
coffee ^nn++++=coffee
till ^cs+sub+++=till
that ^dt+dem+++=that
day ^nn++++=day;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
always ^rb++splt++=always
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
the ^ati++++=the
crisp ^jj+atrb+++=crisp
and ^cc+phrs+++=and
steaming ^jj+atrb++xvbg+=steaming
rolls ^nns++++=rolls,
, ^zz++++=EXTRAWORD
ored ^j+++xvbn+=ored
over ^in++++=over
with ^in++++=with
the ^ati++++=the
molten ^jj+atrb+++=molten
gold ^nn++++=gold
that ^tht+rel+subj++=that
hinted ^vbd+vpub++xvbn+=hinted
of ^in++++=of
the ^ati++++=the
clover ^nn++++=clover-fields,
- ^zz++++=EXTRAWORD
fields ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bees ^nns++++=bees
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
permitted ^vbd+++xvbn+=permitted
the ^ati++++=the
honey ^nn++++=honey
of ^in++++=of
the ^ati++++=the
bloom ^nn++++=bloom
and ^cc++++=and
the ^ati++++=the
white ^jj+atrb+++=white
blood ^nn++++=blood
of ^in++++=of
the ^ati++++=the
stalk ^vb++++=stalk
to ^to++++=to
be ^vbi+vbi+aux++=be
divorced ^vpsv++agls+xvbnx+=divorced;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
always ^rb++splt++=always
thinking ^vbg+vprv++xvbgx+=thinking
that ^tht+vcmp+++=that
the ^ati++++=the
young ^jj+atrb+++=young
and ^cc+phrs+++=and
tender ^jj+atrb+++=tender
pullet ^nn++++=pullet
we ^pp1a+pp1+++=we
happy ^jj++++=happy
three ^cd++++=three
discussed ^vbd+++xvbn+=discussed
was ^vbd+bedz+vrb++=was
a ^at++++=a
near ^jj++++=near
and ^cc++++=and
dear ^uh++++=dear
relative ^nn++++=relative
of ^in++++=of
the ^ati++++=the
gay ^jj+atrb+++=gay
patrician ^nn++++=patrician
rooster ^nn+nom+++=rooster
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
first ^od++++=first
caught ^vbd+++xvbn+=caught
peering ^vbg+++xvbg+=peering
so ^rb++++=so
inquisitively ^rb++++=inquisitively
in ^in++++=in
at ^in++++=at
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
Am ^vb+bem+vrb++=am
Always ^rb++++=always
Always ^rb++++=always
Thinking ^nn++++=thinking
Of ^in++++=of
 ^zz++++="The
The ^ati++++=EXTRAWORD
Nest ^nn++++=Nest-egg."
 ^zz++++=EXTRAWORD
Egg." ^nn++++=EXTRAWORD
