Having ^xvbg+++xvbg+=Having
And ^cc+cls+++=And
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
aware ^jj+pred+++=aware
that ^tht+jcmp+++=that
at ^rb++++=at
the ^ati++++=the
bidding ^jj+++xvbg+=bidding
of ^in++++=of
Bilkins ^np+++??+=Bilkins
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
our ^pp$+pp1+++=our
duty ^nn++++=duty
to ^to+ncmp+++=to
fall ^vbi++++=fall
down ^rp++++=down
and ^cc++++=and
worship ^nn+nom+++=worship
the ^ati++++=the
Neapolitans ^nns+nom++??+=Neapolitans,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
make ^vb++++=make
bold ^jj++++=bold
very ^ql+amp+++=very
much ^ap++++=much
to ^to++++=to
prefer ^vbi+vprv+++=prefer
the ^ati++++=the
fishing ^jj+atrb++xvbg+=fishing
people ^nns++++=people
of ^in++++=of
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
especially ^rb++++=especially
since ^cs+sub+++=since
our ^pp$+pp1+++=our
last ^rb++++=last
visit ^vb++++=visit
to ^in++++=to
Naples ^np++++=Naples
within ^in++++=within
these ^dt+dem+++=these
twelvemonths ^nns+++??+=twelvemonths,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
only ^rb+down+++=only
four ^cd++++=four
conditions ^nns+nom+++=conditions
of ^in++++=of
men ^nns++++=men
remaining ^vwbg+++xvbg+=remaining
in ^in++++=in
the ^ati++++=the
whole ^jj+atrb+++=whole
city ^nn++++=city:
: ^zz++++=EXTRAWORD
to ^in++++=to
wit ^nn++++=wit,
, ^zz++++=EXTRAWORD
lazzaroni ^nn+++??+=lazzaroni,
, ^zz++++=EXTRAWORD
priests ^nns++++=priests,
, ^zz++++=EXTRAWORD
spies ^nns++++=spies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
of ^in++++=of
them ^pp3o+pp3+++=them
beggars ^nns++++=beggars;
; ^zz++++=EXTRAWORD
the ^ati++++=the
paternal ^jj+atrb+++=paternal
government ^nn+nom+++=government
having ^xvbg+++xvbg+=having
banished ^vprf+++xvbn+=banished
all ^abn++++=all
its ^pp$+it+++=its
subjects ^nns++++=subjects
except ^in++++=except
the ^ati++++=the
rascals ^nns+nom+++=rascals.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
we ^pp1a+pp1+++=we
can ^md+pos+++=can
never ^rb++splt++=never
henceforth ^rb++++=henceforth
separate ^nn+nom+++=separate
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
from ^in++++=from
our ^pp$+pp1+++=our
own ^ap++++=own
landlord ^nn++++=landlord
of ^in++++=of
two ^cd++++=two
summers ^nns+nom+++=summers,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^jj+atrb+++=Loyal
Devasseur ^np+++??+=Devasseur,
, ^zz++++=EXTRAWORD
citizen ^nn++++=citizen
and ^cc++++=and
town ^nn++++=town-councillor.
- ^zz++++=EXTRAWORD
councillor ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Permit ^vb++++=Permit
us ^pp1o+pp1+++=us
to ^to++++=to
have ^vbi++vrb++=have
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
presenting ^xvbg+++xvbg+=presenting
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^jj+atrb+++=Loyal
Devasseur ^np+++??+=Devasseur.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
own ^ap++++=own
family ^nn++++=family
name ^nn++++=name
is ^vbz+bez+vrb++=is
simply ^rb++++=simply
Loyal ^jj+pred+++=Loyal;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
married ^vpsv++agls+xvbnx+=married,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
in ^in"++++=in
that ^dt+dem+++=that
part ^nn++++=part
of ^in++++=of
France ^np++++=France
a ^at++++=a
husband ^nn++++=husband
always ^rb++++=always
adds ^vbz+vpub+++=adds
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
name ^nn++++=name
the ^ati++++=the
family ^nn++++=family
name ^nn++++=name
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
writes ^vbz+vprv+tht0++=writes
himself ^ppl+pp3+++=himself
Loyal ^jj+atrb+++=Loyal
Devasseur ^np+++??+=Devasseur.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
owns ^vbz++++=owns
a ^at++++=a
compact ^jj++++=compact
little ^ap++++=little
estate ^nn++++=estate
of ^in++++=of
some ^dti++++=some
twenty ^cd++++=twenty
or ^cc++++=or
thirty ^cd++++=thirty
acres ^nns++++=acres
on ^in++++=on
a ^at++++=a
lofty ^np++++=lofty
hill ^npl++++=hill-side,
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
built ^vprf+++xvbnx+=built
two ^cd++++=two
country ^nn++++=country
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
lets ^vbz++++=lets
furnished ^jj+++xvbn+=furnished.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
by ^in++++=by
many ^ap++++=many
degrees ^nns+nom+++=degrees
the ^ati++++=the
best ^jjt+atrb+++=best
houses ^nns++++=houses
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
so ^ql++++=so
let ^vb+++xvbn+=let
near ^rb++++=near
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place;
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
the ^ati++++=the
honour ^nn++++=honour
of ^in++++=of
living ^xvbg+++xvbg+=living
in ^in++++=in
both ^abx++++=both,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
testify ^vb+vpub+++=testify.
. ^zz++++=EXTRAWORD
The ^ati++++=The
entrance ^nn+nom+++=entrance-hall
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
first ^rb++++=first
we ^pp1a+pp1+++=we
inhabited ^vbd+++xvbn+=inhabited
was ^vbd+bedz+aux++=was
ornamented ^vpsv++agls+xvbnx+=ornamented
with ^in++++=with
a ^at++++=a
plan ^nn++++=plan
of ^in++++=of
the ^ati++++=the
estate ^nn++++=estate,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
it ^pp3+it+++=it
as ^ql++++=as
about ^in++++=about
twice ^rb++++=twice
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
Ireland ^np++++=Ireland;
; ^zz++++=EXTRAWORD
insomuch ^nn+++??+=insomuch
that ^tht+rel+++=that
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
yet ^rb++++=yet
new ^jj+pred+++=new
to ^in++++=to
the ^ati++++=the
property ^nn++++=property
( ^zz++++=(M.
m ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Loyal ^jj++++=Loyal
always ^rb++++=always
speaks ^vbz++++=speaks
of ^in++++=of
it ^pp3+it+++=it
as ^in++++=as
' ^zz++++='La
la ^&fw++++=EXTRAWORD
propriete ^nn+++??+=propriete')
') ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
three ^cd++++=three
miles ^nns++++=miles
straight ^jj++++=straight
on ^in++++=on
end ^nn++++=end
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
the ^ati++++=the
bridge ^nn++++=bridge
of ^in++++=of
Austerlitz ^np+++??+=Austerlitz
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
afterwards ^rb+tm+++=afterwards
found ^vbd+vprv++xvbn+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
immediately ^rb+tm+++=immediately
outside ^jjb+pred+++=outside
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Chateau ^npl++++=Chateau
of ^in++++=of
the ^ati++++=the
Old ^jj+atrb+++=Old
Guard ^nn++++=Guard,
, ^zz++++=EXTRAWORD
in ^in++++=in
another ^dt++++=another
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
grounds ^nns++++=grounds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
plan ^nn++++=plan,
, ^zz++++=EXTRAWORD
about ^in++++=about
two ^cd++++=two
leagues ^nns++++=leagues
from ^in++++=from
the ^ati++++=the
little ^rb++++=little
dining ^nvbg+++xvbg+=dining-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
sought ^vbd+++xvbn+=sought
in ^rb++++=in
vain ^rb"++++=vain
for ^in++++=for
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
until ^in++++=until,
, ^zz++++=EXTRAWORD
happening ^vbg+++xvbg+=happening
one ^cd1++++=one
evening ^nn++++=evening
to ^to++++=to
sit ^vbi++++=sit
upon ^in++++=upon
a ^at++++=a
bench ^nn++++=bench
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest
( ^zz++++=(forest
forest ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
plan ^nn++++=plan),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
yards ^nns++++=yards
from ^in++++=from
the ^ati++++=the
house ^nn++++=house-door,
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
at ^rb++++=at
our ^pp$+pp1+++=our
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
ignominious ^jj+atrb+++=ignominious
circumstances ^nns+nom+++=circumstances
of ^in++++=of
being ^xvbg+++xvbg+=being
upside ^nn++++=upside
down ^in++++=down
and ^cc++++=and
greenly ^jj++++=greenly
rotten ^jj++++=rotten,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Old ^jj+atrb+++=Old
Guard ^nn++++=Guard
himself ^ppl+pp3+++=himself:
: ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
the ^ati++++=the
painted ^jj+atrb++xvbn+=painted
effigy ^nn++++=effigy
of ^in++++=of
a ^at++++=a
member ^nn++++=member
of ^in++++=of
that ^dt+pdem+++=that
distinguished ^vbd+++xvbn+=distinguished
corps ^nn++++=corps,
, ^zz++++=EXTRAWORD
seven ^cd++++=seven
feet ^nns++++=feet
high ^jj++++=high,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
act ^nn++++=act
of ^in++++=of
carrying ^xvbg+++xvbg+=carrying
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
the ^ati++++=the
misfortune ^nn++++=misfortune
to ^to++++=to
be ^vbi+vbi+aux++=be
blown ^vpsv++agls+xvbnx+=blown
down ^rp++++=down
in ^in++++=in
the ^ati++++=the
previous ^jj+atrb+++=previous
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+aux++=be
perceived ^vpsv++agls+xvbnx+=perceived
that ^tht+vcmp+++=that
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^jj++++=Loyal
is ^vbz+bez+vrb++=is
a ^at++++=a
staunch ^jj+atrb+++=staunch
admirer ^nn++++=admirer
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
Napoleon ^np++++=Napoleon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
an ^at++++=an
old ^jj+atrb+++=old
soldier ^nn++++=soldier
himself ^ppl+pp3+++=himself
captain ^nn++++=captain
of ^in++++=of
the ^ati++++=the
National ^jj+atrb+++=National
Guard ^nn++++=Guard,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
handsome ^jj+atrb+++=handsome
gold ^nn++++=gold
vase ^nn++++=vase
on ^in++++=on
his ^pp$+pp3+++=his
chimney ^nn++++=chimney-piece
- ^zz++++=EXTRAWORD
piece ^nn++++=EXTRAWORD
presented ^vwbn+++xvbn+=presented
to ^in++++=to
him ^pp3o+pp3+++=him
by ^in++++=by
his ^pp$+pp3+++=his
company ^nn++++=company
and ^cc++++=and
his ^pp$+pp3+++=his
respect ^nn++++=respect
for ^in++++=for
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
illustrious ^jj++++=illustrious
general ^jj++++=general
is ^vbz+bez+vrb++=is
enthusiastic ^jj+pred+++=enthusiastic.
. ^zz++++=EXTRAWORD
Medallions ^np+++??+=Medallions
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
portraits ^nns++++=portraits
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
busts ^nns++++=busts
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
pictures ^nns++++=pictures
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
thickly ^rb++splt++=thickly
sprinkled ^vpsv++agls+xvbnx+=sprinkled
all ^abn++++=all
over ^in++++=over
the ^ati++++=the
property ^nn++++=property.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
first ^od++++=first
month ^nn++++=month
of ^in++++=of
our ^pp$+pp1+++=our
occupation ^nn+nom+++=occupation,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
affliction ^nn+nom+++=affliction
to ^to++++=to
be ^vbi+vbi+aux++=be
constantly ^rb++splt++=constantly
knocking ^vbg+++xvbgx+=knocking
down ^rb+phrv+++=down
Napoleon ^np++++=Napoleon:
: ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
touched ^vbd+++xvbn+=touched
a ^at++++=a
shelf ^nn++++=shelf
in ^in++++=in
a ^at++++=a
dark ^jj+atrb+++=dark
corner ^npl++++=corner,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
toppled ^vbd+++xvbnx+=toppled
over ^in++++=over
with ^in++++=with
a ^at++++=a
crash ^nn++++=crash;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
door ^nn++++=door
we ^pp1a+pp1+++=we
opened ^vbd+++xvbn+=opened,
, ^zz++++=EXTRAWORD
shook ^j+++xvbn+=shook
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^jj++++=Loyal
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
man ^nn++++=man
of ^in++++=of
mere ^jjb+atrb+++=mere
castles ^nns++++=castles
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
in ^in++++=in
Spain ^np++++=Spain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
a ^at++++=a
specially ^rb++++=specially
practical ^jj++++=practical,
, ^zz++++=EXTRAWORD
contriving ^vbg+++xvbg+=contriving,
, ^zz++++=EXTRAWORD
clever ^jj+atrb+++=clever,
, ^zz++++=EXTRAWORD
skilful ^jj+atrb+++=skilful
eye ^nn++++=eye
and ^cc++++=and
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
houses ^nns++++=houses
are ^vb+ber+vrb++=are
delightful ^jj+pred+++=delightful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
unites ^vbz++++=unites
French ^jj+atrb+++=French
elegance ^nn+nom+++=elegance
and ^cc++++=and
English ^jj+atrb+++=English
comfort ^nn++++=comfort,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
happy ^jj+atrb+++=happy
manner ^nn++++=manner
quite ^rb++++=quite
his ^pp$+pp3+++=his
own ^ap++++=own.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
an ^at++++=an
extraordinary ^jj+atrb+++=extraordinary
genius ^nn++++=genius
for ^in++++=for
making ^xvbg+++xvbg+=making
tasteful ^jj+atrb+++=tasteful
little ^jj+atrb+++=little
bedrooms ^nns++++=bedrooms
in ^in++++=in
angles ^nns++++=angles
of ^in++++=of
his ^pp$+pp3+++=his
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
an ^at++++=an
Englishman ^nn+nom+++=Englishman
would ^md+prd+++=would
as ^in++++=as
soon ^rb+tm+++=soon
think ^vb+vprv+++=think
of ^in++++=of
turning ^xvbg+++xvbg+=turning
to ^in++++=to
any ^dti++++=any
account ^nn++++=account
as ^ql++++=as
he ^pp3a+pp3+++=he
would ^md+prd+++=would
think ^vb+vprv+++=think
of ^in++++=of
cultivating ^xvbg+++xvbg+=cultivating
the ^ati++++=the
Desert ^nn++++=Desert.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
ourself ^ppl++++=ourself
reposed ^vbd+++xvbn+=reposed
deliciously ^rb++++=deliciously
in ^in++++=in
an ^at++++=an
elegant ^jj+atrb+++=elegant
chamber ^nn++++=chamber
of ^in++++=of
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^np++++=Loyal's
's ^$++++=EXTRAWORD
construction ^nn+nom+++=construction,
, ^zz++++=EXTRAWORD
with ^in++++=with
our ^pp$+pp1+++=our
head ^jjb++++=head
as ^in++++=as
nearly ^rb+down+++=nearly
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
chimney ^nn++++=chimney-pot
- ^zz++++=EXTRAWORD
pot ^nn++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
can ^md+pos+++=can
conceive ^vb+vprv+tht0++=conceive
it ^pp3+it+++=it
likely ^jj++++=likely
for ^in++++=for
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
any ^dti++++=any
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
by ^in++++=by
profession ^nn++++=profession
a ^at++++=a
Sweep ^nn++++=Sweep,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
into ^in++++=into
whatsoever ^nn+nom+++=whatsoever
strange ^jj+atrb+++=strange
nook ^nn++++=nook
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^np++++=Loyal's
's ^$++++=EXTRAWORD
genius ^nn++++=genius
penetrates ^nns+nom+++=penetrates,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
nook ^nn++++=nook,
, ^zz++++=EXTRAWORD
infallibly ^jj++++=infallibly
constructs ^vbz++++=constructs
a ^at++++=a
cupboard ^nn++++=cupboard
and ^cc++++=and
a ^at++++=a
row ^nn++++=row
of ^in++++=of
pegs ^nns++++=pegs.
. ^zz++++=EXTRAWORD
In ^in++++=In
either ^dtx++++=either
of ^in++++=of
our ^pp$+pp1+++=our
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
could ^md+pos+++=could
have ^vb+hv+aux++=have
put ^vprf+++xvbnx+=put
away ^rb+phrv+++=away
the ^ati++++=the
knapsacks ^nns+++??+=knapsacks
and ^cc++++=and
hung ^vbd+++xvbn+=hung
up ^rp++++=up
the ^ati++++=the
hats ^nns++++=hats
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
regiment ^nn+nom+++=regiment
of ^in++++=of
Guides ^nns++++=Guides.
. ^zz++++=EXTRAWORD
Aforetime ^np+++??+=Aforetime,
, ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^jj++++=Loyal
was ^vbd+bedz+vrb++=was
a ^at++++=a
tradesman ^nn+nom+++=tradesman
in ^in++++=in
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
transact ^vb++++=transact
business ^nns+nom+++=business
with ^in++++=with
no ^at++++=no
present ^vb++++=present
tradesman ^nn+nom+++=tradesman
in ^in++++=in
the ^ati++++=the
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
give ^vb++++=give
your ^pp$+pp2+++=your
card ^nn++++=card
' ^zz++++='chez
chez ^nn+++??+=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^jj++++=Loyal,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
but ^cc++++=but
a ^at++++=a
brighter ^jjr+atrb+++=brighter
face ^nn++++=face
shines ^vbz++++=shines
upon ^in++++=upon
you ^pp2+pp2+++=you
directly ^rb++++=directly.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
doubt ^nn++++=doubt
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+aux++=is,
, ^zz++++=EXTRAWORD
ever ^rb++++=ever
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
ever ^rb++++=ever
will ^md+prd+++=will
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
so ^rb++++=so
universally ^rb++++=universally
pleasant ^jj++++=pleasant
in ^in++++=in
the ^ati++++=the
minds ^nns++++=minds
of ^in++++=of
people ^nns++++=people
as ^ql++++=as
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^jj++++=Loyal
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
minds ^nns++++=minds
of ^in++++=of
the ^ati++++=the
citizens ^nns++++=citizens
of ^in++++=of
our ^pp$+pp1+++=our
French ^jj++++=French
watering ^jj+++xvbg+=watering-place.
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rub ^vb++++=rub
their ^pp$+pp3+++=their
hands ^nns++++=hands
and ^cc++++=and
laugh ^nn++++=laugh
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
speak ^vb++++=speak
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
such ^abl++++=such
a ^at++++=a
good ^jj+atrb+++=good
child ^nn++++=child,
, ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
brave ^jj+atrb+++=brave
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
such ^abl++++=such
a ^at++++=a
generous ^jj+atrb+++=generous
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Monsieur ^npt++++=Monsieur
Loyal ^jj++++=Loyal!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
honest ^jj+atrb+++=honest
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^np++++=Loyal's
's ^$++++=EXTRAWORD
nature ^nn++++=nature
is ^vbz+bez+vrb++=is
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
a ^at++++=a
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
cultivates ^nns+nom+++=cultivates
his ^pp$+pp3+++=his
ground ^nn++++=ground
with ^in++++=with
his ^pp$+pp3+++=his
own ^ap++++=own
hands ^nns++++=hands
( ^zz++++=(assisted
assisted ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
one ^cd1++++=one
little ^jj+atrb+++=little
labourer ^nn+nom+++=labourer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
falls ^vbz++++=falls
into ^in+ppvb+++=into
a ^at++++=a
fit ^nn++++=fit
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
digs ^vbz++++=digs
and ^cc++++=and
delves ^nns+++??+=delves
from ^in++++=from
morn ^nn++++=morn
to ^in++++=to
eve ^nn++++=eve
in ^in++++=in
prodigious ^jj+atrb+++=prodigious
perspirations ^nns+nom+++=perspirations
' ^zz++++='works
works ^nns++++=EXTRAWORD
always ^rb+cnj+++=always,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says
but ^cc++++=but,
, ^zz++++=EXTRAWORD
cover ^nn++++=cover
him ^pp3o+pp3+++=him
with ^in++++=with
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
weeds ^nns++++=weeds,
, ^zz++++=EXTRAWORD
water ^nn++++=water,
, ^zz++++=EXTRAWORD
any ^dti++++=any
stains ^nns++++=stains
you ^pp2+pp2+++=you
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
never ^rb++++=never
can ^md+pos+++=can
cover ^vb++++=cover
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
in ^in++++=in
M ^zz++++=M.
. ^zz++++=EXTRAWORD
Loyal ^jj++++=Loyal.
. ^zz++++=EXTRAWORD
A ^at++++=A
portly ^jj++++=portly,
, ^zz++++=EXTRAWORD
upright ^jj++++=upright,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad-shouldered,
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
brown ^np++++=brown-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
