Hardly ^rb+down+++=Hardly
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
away ^rp+pl+++=away
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
laid ^j+++xvbn+=laid
the ^ati++++=the
flowers ^nns+nom+++=flowers
against ^in++++=against
his ^pp$+pp3+++=his
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
hide ^vbi++++=hide
some ^dti++++=some
quiver ^nn++++=quiver
of ^in++++=of
emotion ^nn+nom+++=emotion
at ^in++++=at
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
such ^abl++++=such
a ^at++++=a
sudden ^jj++++=sudden
sundering ^jj+++xvbg+=sundering
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
dear ^uh++++=dear
home ^nr++++=home-ties.
- ^zz++++=EXTRAWORD
ties ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
things ^nns++++=things
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened
two ^cd++++=two
days ^nns++++=days
before ^in++++=before;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
John ^np++++=John
was ^vbd+bedz+aux++=was
dying ^vbg+++xvbgx+=dying,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
letter ^nn++++=letter
had ^vb+hv+aux++=had
not ^xnot++not++=not
come ^vb++++=come.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
summoned ^vpsv++agls+xvbnx+=summoned
to ^to+vcmp+++=to
many ^ap++++=many
death ^nn++++=death-beds
- ^zz++++=EXTRAWORD
beds ^nns++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
life ^nn++++=life,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
none ^pn++++=none
that ^cs+sub+++=that
made ^vprf+++xvbn+=made
my ^pp$+pp1+++=my
heart ^nn++++=heart
ache ^nn++++=ache
as ^ql++++=as
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
my ^pp$+pp1+++=my
mother ^nn++++=mother
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
departure ^nn++++=departure
of ^in++++=of
a ^at++++=a
spirit ^nn++++=spirit
akin ^jj++++=akin
to ^in++++=to
this ^dt+dem+++=this
in ^in++++=in
its ^pp$+it+++=its
gentleness ^nns+nom+++=gentleness
and ^cc++++=and
patient ^jj+atrb+++=patient
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
John ^np++++=John
stretched ^vwbn+++xvbn+=stretched
out ^rp+pl+++=out
both ^abx++++=both
hands, ^nn+++??+=hands,-"I
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
guess ^vb++++=guess
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
moving ^vbg+++xvbgx+=moving
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am."
'am." ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
rapidly ^rb++++=rapidly
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
even ^rb++++=even
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
over ^in++++=over
his ^pp$+pp3+++=his
face ^nn++++=face
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
gray ^np++++=gray
veil ^nn++++=veil
falling ^vwbg+++xvbg+=falling
that ^dt+dem+++=that
no ^at++++=no
human ^jj+atrb+++=human
hand ^nn++++=hand
can ^md+pos+++=can
lift ^vb++++=lift.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
by ^in++++=by
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
wiped ^j+++xvbn+=wiped
the ^ati++++=the
drops ^nns++++=drops
from ^in++++=from
his ^pp$+pp3+++=his
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
stirred ^j+++xvbn+=stirred
the ^ati++++=the
air ^nn++++=air
about ^rb++++=about
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
slow ^jj+atrb+++=slow
wave ^nn++++=wave
of ^in++++=of
a ^at++++=a
fan ^nn++++=fan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vbd+++xvbn+=waited
to ^to+vcmp+++=to
help ^vbi++++=help
him ^pp3o+pp3+++=him
die ^vb++++=die.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
in ^in++++=in
sore ^jj+atrb+++=sore
need ^nn++++=need
of ^in++++=of
help, ^nn+++??+=help,--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
do ^vb+do+vrb++=do
so ^ql++++=so
little ^ap++++=little;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
doctor ^nn++++=doctor
had ^vb+hv+vrb++=had
foretold ^nn+++??+=foretold,
, ^zz++++=EXTRAWORD
the ^ati++++=the
strong ^jj+atrb+++=strong
body ^nn++++=body
rebelled ^vbd+++xvbn+=rebelled
against ^in++++=against
death ^nn++++=death,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fought ^vbd+++xvbn+=fought
every ^at++++=every
inch ^nn++++=inch
of ^in++++=of
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
forcing ^vbg+++xvbg+=forcing
him ^pp3o+pp3+++=him
to ^to++++=to
draw ^vbi++++=draw
each ^dt++++=each
breath ^nn++++=breath
with ^in++++=with
a ^at++++=a
spasm ^nn++++=spasm,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clench ^vb++++=clench
his ^pp$+pp3+++=his
hands ^nns++++=hands
with ^in++++=with
an ^at++++=an
imploring ^jj+atrb++xvbg+=imploring
look ^nn++++=look,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
long ^rb++++=long
must ^md+nec+++=must
I ^pp1a+pp1+++=I
endure ^vb++++=endure
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+vrb++=be
still ^rb++++=still?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
hours ^nns++++=hours
he ^pp3a+pp3+++=he
suffered ^vbd+++xvbnx+=suffered
dumbly ^rb+cnj+++=dumbly,
, ^zz++++=EXTRAWORD
without ^in++++=without
a ^at++++=a
moment ^nn++++=moment's
's ^$++++=EXTRAWORD
respite ^nn++++=respite,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
moment ^nn++++=moment's
's ^vbz+bez+aux++0=EXTRAWORD
murmuring ^vbg+++xvbgx+=murmuring;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
limbs ^nns++++=limbs
grew ^vbd+++xvbn+=grew
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
lips ^nns++++=lips
white ^jj++++=white,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
tore ^vbd+++xvbnx+=tore
the ^ati++++=the
covering ^nn++++=covering
off ^in+pl+++=off
his ^pp$+pp3+++=his
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
lightest ^jjt+atrb+++=lightest
weight ^nn++++=weight
added ^vbd+vpub++xvbn+=added
to ^in++++=to
his ^pp$+pp3+++=his
agony ^nn++++=agony;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
through ^in++++=through
it ^pp3+it+++=it
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
never ^rb++++=never
lost ^vbd+++xvbn+=lost
their ^pp$+pp3+++=their
perfect ^jj+atrb+++=perfect
serenity ^nn+nom+++=serenity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
soul ^nn++++=soul
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
sit ^vbi++++=sit
therein ^rb+cnj+++=therein,
, ^zz++++=EXTRAWORD
undaunted ^jj++++=undaunted
by ^in++++=by
the ^ati++++=the
ills ^nns+++??+=ills
that ^tht+rel+++=that
vexed ^jj+++xvbn+=vexed
his ^pp$+pp3+++=his
flesh ^nn++++=flesh.
. ^zz++++=EXTRAWORD
One ^pn++++=One
by ^in++++=by
one ^cd1++++=one
the ^ati++++=the
men ^nns++++=men
woke ^vbd+++xvbn+=woke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
round ^in++++=round
the ^ati++++=the
room ^nn++++=room
appeared ^vbd+seem++xvbn+=appeared
a ^at++++=a
circle ^nn++++=circle
of ^in++++=of
pale ^nn++++=pale
faces ^nns++++=faces
and ^cc++++=and
watchful ^jj+atrb+++=watchful
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
awe ^nn++++=awe
and ^cc++++=and
pity ^nn++++=pity;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
a ^at++++=a
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
John ^np++++=John
was ^vbd+bedz+vrb++=was
beloved ^jj+pred+++=beloved
by ^in++++=by
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
man ^nn++++=man
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
wondered ^vprf+++xvbnx+=wondered
at ^rb++++=at
his ^pp$+pp3+++=his
patience ^nn+nom+++=patience,
, ^zz++++=EXTRAWORD
respected ^j+++xvbn+=respected
his ^pp$+pp3+++=his
piety ^nn++++=piety,
, ^zz++++=EXTRAWORD
admired ^j+++xvbn+=admired
his ^pp$+pp3+++=his
fortitude ^nn++++=fortitude,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
lamented ^vbd+++xvbn+=lamented
his ^pp$+pp3+++=his
hard ^jj+atrb+++=hard
death ^nn++++=death;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
an ^at++++=an
upright ^jj+atrb+++=upright
nature ^nn++++=nature
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
itself ^ppl++++=itself
deeply ^rb++++=deeply
felt ^vbd+vprv++xvbn+=felt,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
one ^cd1++++=one
little ^jj+atrb+++=little
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Presently ^rb+cnj+++=Presently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Jonathan ^np+nom+++=Jonathan
who ^whp+rel+obj++=who
so ^ql+emph+++=so
loved ^jj+++xvbn+=loved
this ^dt+dem+++=this
comely ^jj+atrb+++=comely
David ^np++++=David
came ^vbd+++xvbn+=came
creeping ^jj+++xvbg+=creeping
from ^in++++=from
his ^pp$+pp3+++=his
bed ^nn++++=bed
for ^in++++=for
a ^at++++=a
last ^rb++++=last
look ^vb++++=look
and ^cc++++=and
word ^nn++++=word.
. ^zz++++=EXTRAWORD
The ^ati++++=The
kind ^nn++++=kind
soul ^nn++++=soul
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
choke ^nn++++=choke
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
the ^ati++++=the
grasp ^nn++++=grasp
of ^in++++=of
his ^pp$+pp3+++=his
hand ^nn++++=hand
betrayed ^vbd+++xvbn+=betrayed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
farewell ^nn++++=farewell
of ^in++++=of
the ^ati++++=the
friends ^nns++++=friends
was ^vbd+bedz+vrb++=was
the ^ati++++=the
more ^ql++++=more
touching ^jj+++xvbg+=touching
for ^in++++=for
its ^pp$+it+++=its
brevity ^nn+nom+++=brevity.
. ^zz++++=EXTRAWORD
" ^zz++++="Old
old ^jj+atrb+++=EXTRAWORD
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
faltered ^vbd+++xvbn+=faltered
the ^ati++++=the
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="Most
most ^ql+emph+++=EXTRAWORD
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
heaven ^nn++++=heaven!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whispered ^vbd+vpub++xvbn+=whispered
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
or ^cc++++=or
do ^vb+do+vrb++=do
anything ^pn++++=anything
for ^in++++=for
you ^pp2+pp2+++=you
anywheres ^nns+nom++??+=anywheres?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
my ^pp$+pp1+++=my
things ^nns++++=things
home ^nr++++=home,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
my ^pp$+pp1+++=my
best ^jjt++++=best."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good-by,
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ned ^np+++??+=Ned."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Good-by,
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
John ^np++++=John,
, ^zz++++=EXTRAWORD
good ^jj++++=good-by!"
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
kissed ^vbd+++xvbnx+=kissed
each ^ppls++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
tenderly ^rb++++=tenderly
as ^ql++++=as
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
parted ^jj+++xvbn+=parted;
; ^zz++++=EXTRAWORD
for ^in++++=for
poor ^jj+atrb+++=poor
Ned ^np+++??+=Ned
could ^md+pos+++=could
not ^xnot++not++=not
stay ^vb++++=stay
to ^to++++=to
see ^vbi+vprv+tht0++=see
his ^pp$+pp3+++=his
comrade ^nn++++=comrade
die ^vb++++=die.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
sound ^nn++++=sound
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
but ^cc++++=but
the ^ati++++=the
drip ^nn++++=drip
of ^in++++=of
water ^nn++++=water
from ^in++++=from
a ^at++++=a
stump ^nn++++=stump
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
John ^np++++=John's
's ^$++++=EXTRAWORD
distressful ^jj+atrb+++=distressful
gasps ^nns++++=gasps,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
slowly ^rb++++=slowly
breathed ^vbd+++xvbn+=breathed
his ^pp$+pp3+++=his
life ^nn++++=life
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
him ^pp3o+pp3+++=him
nearly ^rb+down+++=nearly
gone ^vbd+++xvbn+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
laid ^vprf+++xvbnx+=laid
down ^rb+phrv+++=down
the ^ati++++=the
fan ^nn++++=fan,
, ^zz++++=EXTRAWORD
believing ^vbg+vprv++xvbg+=believing
its ^pp$+it+++=its
help ^vb++++=help
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
no ^at++++=no
longer ^rbr++++=longer
needed ^vbd+++xvbn+=needed,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
suddenly ^rb++++=suddenly
he ^pp3a+pp3+++=he
rose ^vbd+++xvbnx+=rose
up ^rp++++=up
in ^in++++=in
his ^pp$+pp3+++=his
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cried ^vbd+++xvbn+=cried
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
bitter ^jj+atrb+++=bitter
cry ^vb++++=cry
that ^tht+vcmp+subj++=that
broke ^vbd+++xvbn+=broke
the ^ati++++=the
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
sharply ^rb++++=sharply
startling ^jj++++=startling
every ^at++++=every
one ^pn++++=one
with ^in++++=with
its ^pp$+it+++=its
agonized ^jj+atrb+++=agonized
appeal, ^nn+++??+=appeal,-"For
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
God ^np++++=God's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
air ^nn++++=air!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
cry ^nn++++=cry
pain ^nn++++=pain
or ^cc++++=or
death ^nn++++=death
had ^vbd+hvd+aux++=had
wrung ^vprf+++xvbnx+=wrung
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
boon ^nn++++=boon
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
none ^rb++++=none
of ^in++++=of
us ^pp1o+pp1+++=us
could ^md+pos+++=could
grant ^vb+vsua+++=grant
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
the ^ati++++=the
airs ^&fw++++=airs
that ^dt+pdem+++=that
blew ^vbd+++xvbn+=blew
were ^vbd+bed+vrb++=were
useless ^jj+pred+++=useless
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Dan ^np++++=Dan
flung ^vbd+++xvbn+=flung
up ^rp++++=up
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
red ^jj+atrb+++=red
streak ^nn++++=streak
of ^in++++=of
dawn ^nn++++=dawn
was ^vbd+bedz+aux++=was
warming ^vbg+++xvbgx+=warming
the ^ati++++=the
gray ^np++++=gray
east ^np+pl+++=east,
, ^zz++++=EXTRAWORD
a ^at++++=a
herald ^nn++++=herald
of ^in++++=of
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
John ^np++++=John
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
love ^nn++++=love
of ^in++++=of
light ^nn++++=light
which ^whp+rel+subj++=which
lingers ^nns+nom+++=lingers
in ^in++++=in
us ^pp1o+pp1+++=us
to ^in++++=to
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
in ^in++++=in
it ^pp3+it+++=it
a ^at++++=a
sign ^nn++++=sign
of ^in++++=of
hope ^nn++++=hope
of ^in++++=of
help ^nn++++=help,
, ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
over ^in++++=over
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
face ^nn++++=face
there ^ex+pex+++=there
broke ^vbd+++xvbn+=broke
that ^cs+sub+++=that
mysterious ^jj+atrb+++=mysterious
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
brighter ^jjr++++=brighter
than ^in++++=than
any ^dti++++=any
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
often ^rb++++=often
comes ^vbz++++=comes
to ^in++++=to
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
look ^vb++++=look
their ^pp$+pp3+++=their
last ^ap++++=last.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laid ^vbd+++xvbnx+=laid
himself ^ppl+pp3+++=himself
gently ^rb++++=gently
down ^in+strn+++=down;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
stretching ^vbg+++xvbg+=stretching
out ^rp+pl+++=out
his ^pp$+pp3+++=his
strong ^jj++++=strong
right ^jj++++=right
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
grasp ^vbi+vprv+++=grasp
and ^cc+phrs+++=and
bring ^vb++++=bring
the ^ati++++=the
blessed ^jj+atrb++xvbn+=blessed
air ^nn++++=air
to ^in++++=to
his ^pp$+pp3+++=his
lips ^nns++++=lips
in ^in++++=in
a ^at++++=a
fuller ^jjr+atrb+++=fuller
flow ^nn++++=flow,
, ^zz++++=EXTRAWORD
lapsed ^j+++xvbn+=lapsed
into ^in++++=into
a ^at++++=a
merciful ^jj+atrb+++=merciful
unconsciousness ^nns+nom+++=unconsciousness,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
assured ^jj+++xvbn+=assured
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
for ^in++++=for
him ^pp3o+pp3+++=him
suffering ^nvbg+++xvbg+=suffering
was ^vbd+bedz+vrb++=was
forever ^rb++++=forever
past ^jjb+pred+++=past.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
died ^vbd+++xvbnx+=died
then ^rn+tm+++=then;
; ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
heavy ^jj+atrb+++=heavy
breaths ^nns++++=breaths
still ^rb++++=still
tore ^vbd+++xvbn+=tore
their ^pp$+pp3+++=their
way ^nn++++=way
up ^rp++++=up
for ^in++++=for
a ^rb++++=a
little ^rb"++++=little
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
but ^cc++++=but
the ^ati++++=the
waves ^nns++++=waves
of ^in++++=of
an ^at++++=an
ebbing ^nn++++=ebbing
tide ^vb++++=tide
that ^dt+dem+++=that
beat ^nn+++xvbn+=beat
unfelt ^vbd+++xvbn+=unfelt
against ^in++++=against
the ^ati++++=the
wreck ^nn++++=wreck,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
an ^at++++=an
immortal ^jj++++=immortal
voyager ^jjr++++=voyager
had ^vbd+hvd+aux++=had
deserted ^vprf+++xvbnx+=deserted
with ^in++++=with
a ^at++++=a
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
spoke ^vbd+++xvbn+=spoke
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
held ^vbd+vprv++xvbn+=held
my ^pp$+pp1+++=my
hand ^nn++++=hand
close ^nn++++=close,
, ^zz++++=EXTRAWORD
so ^ql++++=so
close ^vb++++=close
that ^dt+pdem+++=that
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
asleep ^jj+pred+++=asleep
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
draw ^vb++++=draw
it ^pp3+it+++=it
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Dan ^np++++=Dan
helped ^vbd+++xvbn+=helped
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
warning ^nn++++=warning
me ^pp1o+pp1+++=me
as ^ql++++=as
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
unsafe ^nn+++??+=unsafe
for ^in++++=for
dead ^jj+atrb+++=dead
and ^cc+phrs+++=and
living ^jj+atrb++xvbg+=living
flesh ^nn++++=flesh
to ^to++++=to
lie ^vbi++++=lie
so ^ql++++=so
long ^rb++++=long
together ^nn+nom+++=together;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
though ^cs+sub+++=though
my ^pp$+pp1+++=my
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
strangely ^rb++++=strangely
cold ^jj+pred+++=cold
and ^cc+phrs+++=and
stiff ^jj++++=stiff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
four ^cd++++=four
