Both ^abx++++=Both
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
can ^md+pos+++=can."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
other ^ap++++=other
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
" ^zz++++="Haven't
have ^vb+hv+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
arrested ^vbd+++xvbn+=arrested
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
faint ^jj+atrb+++=faint
scorn ^nn++++=scorn
widened ^vbd+++xvbn+=widened
the ^ati++++=the
slit ^vbd+++xvbn+=slit-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whistle ^nn++++=whistle
of ^in++++=of
an ^at++++=an
approaching ^jj+atrb++xvbg+=approaching
train ^nn++++=train
seemed ^vbd+seem++xvbn+=seemed
oddly ^rb++++=oddly
to ^to++++=to
echo ^vbi++++=echo
the ^ati++++=the
mockery ^nn+nom+++=mockery.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
arrested ^vbd+++xvbn+=arrested
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
sergeant ^nn+nom+++=sergeant
gravely ^rb+cnj+++=gravely,
, ^zz++++=EXTRAWORD
" ^zz++++="just
just ^rb+emph+++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
police ^nns++++=police
station ^nn+nom+++=station
at ^rb++++=at
Highgate ^np+nom++??+=Highgate,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
deposited ^vprf+++xvbnx+=deposited
all ^abn++++=all
his ^pp$+pp3+++=his
master ^nn++++=master's
's ^$++++=EXTRAWORD
money ^nn++++=money
in ^in++++=in
the ^ati++++=the
care ^nn++++=care
of ^in++++=of
Inspector ^nn++++=Inspector
Robinson ^np++++=Robinson."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gilder ^np+++??+=Gilder
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
man ^nn++++=man-servant
- ^zz++++=EXTRAWORD
servant ^nn+nom+++=EXTRAWORD
in ^in++++=in
utter ^jjb+atrb+++=utter
amazement ^nn+nom+++=amazement.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
on ^in++++=on
earth ^nn++++=earth
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
of ^in++++=of
Magnus ^np+++??+=Magnus.
. ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
keep ^vbi++++=keep
it ^pp3+it+++=it
safe ^jj++++=safe
from ^in++++=from
the ^ati++++=the
criminal ^nn+nom+++=criminal,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
person ^nn++++=person
placidly ^rb++++=placidly.
. ^zz++++=EXTRAWORD
" ^zz++++="Surely,"
surely ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gilder ^np+++??+=Gilder,
, ^zz++++=EXTRAWORD
" ^zz++++="Sir
sir ^npt++++=EXTRAWORD
Aaron ^np++++=Aaron's
's ^$++++=EXTRAWORD
money ^nn++++=money
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
safely ^rb++splt++=safely
left ^vpsv++agls+xvbn+=left
with ^in++++=with
Sir ^npt++++=Sir
Aaron ^np++++=Aaron's
's ^$++++=EXTRAWORD
family ^nn++++=family."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
tail ^nn++++=tail
of ^in++++=of
his ^pp$+pp3+++=his
sentence ^nn+nom+++=sentence
was ^vbd+bedz+aux++=was
drowned ^vpsv++agls+xvbnx+=drowned
in ^in++++=in
the ^ati++++=the
roar ^nn++++=roar
of ^in++++=of
the ^ati++++=the
train ^nn++++=train
as ^ql++++=as
it ^pp3+it+++=it
went ^vbd+++xvbn+=went
rocking ^nvbg+++xvbg+=rocking
and ^cc++++=and
clanking ^nvbg+++xvbg+=clanking;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
through ^in++++=through
all ^abn++++=all
the ^ati++++=the
hell ^nn++++=hell
of ^in++++=of
noises ^nns++++=noises
to ^to++++=to
which ^whp+who+++=which
that ^dt+dem+++=that
unhappy ^jj+atrb+++=unhappy
house ^nn++++=house
was ^vbd+bedz+vrb++=was
periodically ^rb++++=periodically
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
syllables ^nns++++=syllables
of ^in++++=of
Magnus ^np++++=Magnus's
's ^$++++=EXTRAWORD
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
in ^in++++=in
all ^abn++++=all
their ^pp$+pp3+++=their
bell ^nn++++=bell-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
distinctness ^nns+nom+++=distinctness:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
reason ^nn++++=reason
to ^to++++=to
feel ^vbi+vprv+++=feel
confidence ^nn+nom+++=confidence
in ^in++++=in
Sir ^npt++++=Sir
Aaron ^np++++=Aaron's
's ^$++++=EXTRAWORD
family ^nn++++=family."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
motionless ^jj+atrb+++=motionless
men ^nns++++=men
had ^vb+hv+vrb++=had
the ^ati++++=the
ghostly ^jj+atrb+++=ghostly
sensation ^nn+nom+++=sensation
of ^in++++=of
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
some ^dti++++=some
new ^jj+atrb+++=new
person ^nn++++=person;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Merton ^np+++??+=Merton
was ^vbd+bedz+aux++=was
scarcely ^rb+down+splt++=scarcely
surprised ^vpsv++agls+xvbnx+=surprised
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
pale ^nn++++=pale
face ^nn++++=face
of ^in++++=of
Armstrong ^np++++=Armstrong's
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter
over ^in++++=over
Father ^nn++++=Father
Brown ^np++++=Brown's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
young ^jj+pred+++=young
and ^cc+phrs+++=and
beautiful ^jj++++=beautiful
in ^in++++=in
a ^at++++=a
silvery ^jj+atrb+++=silvery
style ^nn++++=style,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
of ^in++++=of
so ^rb+emph+++=so
dusty ^jj++++=dusty
and ^cc+phrs+++=and
hueless ^jj++++=hueless
a ^at++++=a
brown ^jj++++=brown
that ^dt+dem+++=that
in ^in++++=in
some ^dti++++=some
shadows ^nps++++=shadows
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
turned ^vbd+++xvbn+=turned
totally ^rb+amp+++=totally
grey ^jj++++=grey.
. ^zz++++=EXTRAWORD
" ^zz++++="Be
be ^vb+be+vrb++=EXTRAWORD
careful ^jj+pred+++=careful
what ^wdt+who+++=what
you ^pp2+pp2+++=you
say ^vb+vpub+++=say,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Royce ^np+++??+=Royce
gruffly ^rb+cnj+++=gruffly,
, ^zz++++=EXTRAWORD
" ^zz++++="you'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
frighten ^vb++++=frighten
Miss ^npt++++=Miss
Armstrong ^np++++=Armstrong."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^nn++++=hope
so ^ql++++=so,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
man ^nn++++=man
with ^in++++=with
the ^ati++++=the
clear ^jj+atrb+++=clear
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
woman ^nn++++=woman
winced ^vbd+++xvbn+=winced
and ^cc++++=and
everyone ^pn++++=everyone
else ^rb+cnj+++=else
wondered ^vbd+vprv++xvbn+=wondered,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in+strn+++=on:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
somewhat ^rb+down+splt++=somewhat
used ^vpsv++++=used
to ^in++++=to
Miss ^npt++++=Miss
Armstrong ^np++++=Armstrong's
's ^$++++=EXTRAWORD
tremors ^nns++++=tremors.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
trembling ^jj+++xvbg+=trembling
off ^in+pl+++=off
and ^cc++++=and
on ^in++++=on
for ^in++++=for
years ^nns++++=years.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
some ^dti++++=some
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
shaking ^vbg+++xvbgx+=shaking
with ^in++++=with
cold ^nn++++=cold
and ^cc++++=and
some ^dti++++=some
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
shaking ^vbg+++xvbgx+=shaking
with ^in++++=with
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
shaking ^vbg+++xvbgx+=shaking
with ^in++++=with
hate ^nn++++=hate
and ^cc++++=and
wicked ^jj+atrb+++=wicked
anger ^nn++++=anger
fiends ^nns+++??+=fiends
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
feast ^nn++++=feast
this ^dt+dem+++=this
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
away ^rp+pl+++=away
by ^in++++=by
now ^rn+tm+++=now
with ^in++++=with
her ^pp$+pp3+++=her
lover ^nn++++=lover
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
money ^nn++++=money
but ^in++++=but
for ^in"++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Ever ^rb++++=Ever
since ^cs+sub+++=since
my ^pp$+pp1+++=my
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
master ^npt++++=master
prevented ^vbd+++xvbn+=prevented
her ^pp$+pp3+++=her
from ^in++++=from
marrying ^xvbg+++xvbg+=marrying
that ^dt+dem+++=that
tipsy ^jj+atrb+++=tipsy
blackguard ^nn++++=blackguard
" ^zz++++="
" ^zz++++="Stop,"
stop ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Gilder ^np+++??+=Gilder
very ^ql+amp+++=very
sternly ^rb++++=sternly.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
your ^pp$+pp2+++=your
family ^nn++++=family
fancies ^nns++++=fancies
or ^cc++++=or
suspicions ^nns++++=suspicions.
. ^zz++++=EXTRAWORD
Unless ^cs+cnd+++=Unless
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
some ^dti++++=some
practical ^jj+atrb+++=practical
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
mere ^jjb+atrb+++=mere
opinions ^nns++++=opinions
" ^zz++++="
" ^zz++++="Oh!
oh ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
practical ^jj+atrb+++=practical
evidence ^nn+nom+++=evidence,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cut ^vb+++xvbn+=cut
in ^in++++=in
Magnus ^np+++??+=Magnus,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
hacking ^jj+atrb++xvbg+=hacking
accent ^nn++++=accent.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
to ^in++++=to
subpoena ^nn+++??+=subpoena
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Inspector ^np++++=Inspector,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
have ^md"++pmd"++=have
to ^md+nec+++=to
tell ^vb++++=tell
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
truth ^nn++++=truth
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this:
: ^zz++++=EXTRAWORD
An ^at++++=An
instant ^nn+nom+++=instant
after ^cs+sub+++=after
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
was ^vbd+bedz+aux++=was
pitched ^vpsv++agls+xvbnx+=pitched
bleeding ^nvbg+++xvbg+=bleeding
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
into ^in+ppvb+++=into
the ^ati++++=the
attic ^nn++++=attic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv+tht0+xvbn+=found
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter
swooning ^vwbg+++xvbg+=swooning
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
a ^at++++=a
red ^jj+atrb+++=red
dagger ^nn++++=dagger
still ^rb++++=still
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Allow ^vb++++=Allow
me ^pp1o+pp1+++=me
to ^in++++=to
hand ^nn++++=hand
that ^tht+rel+++=that
also ^rb++++=also
to ^in++++=to
the ^ati++++=the
proper ^jj+atrb+++=proper
authorities ^nns+nom+++=authorities."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
from ^in++++=from
his ^pp$+pp3+++=his
tail ^nn++++=tail-pocket
- ^zz++++=EXTRAWORD
pocket ^nn++++=EXTRAWORD
a ^at++++=a
long ^jj+atrb+++=long
horn ^np++++=horn-hilted
- ^zz++++=EXTRAWORD
hilted ^jj+atrb++xvbn+=EXTRAWORD
knife ^nn++++=knife
with ^in++++=with
a ^at++++=a
red ^nn++++=red
smear ^vb++++=smear
on ^in++++=on
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
handed ^vbd+++xvbn+=handed
it ^pp3+it+++=it
politely ^rb++++=politely
to ^in++++=to
the ^ati++++=the
sergeant ^nn+nom+++=sergeant.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
back ^jjb++++=back
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
slits ^nns++++=slits
of ^in++++=of
eyes ^nns++++=eyes
almost ^rb+hdg+++=almost
faded ^jj+++xvbn+=faded
from ^in++++=from
his ^pp$+pp3+++=his
face ^nn++++=face
in ^in++++=in
one ^cd1++++=one
fat ^nn++++=fat
Chinese ^jj++++=Chinese
sneer ^vb++++=sneer.
. ^zz++++=EXTRAWORD
Merton ^np+++??+=Merton
felt ^vbd+vprv++xvbn+=felt
an ^at++++=an
almost ^rb+hdg+++=almost
bodily ^jj+atrb+++=bodily
sickness ^nns+nom+++=sickness
at ^in++++=at
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered
to ^in++++=to
Gilder ^np+++??+=Gilder:
: ^zz++++=EXTRAWORD
" ^zz++++="Surely
surely ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you
would ^md+prd+++=would
take ^vb++++=take
Miss ^npt++++=Miss
Armstrong ^np++++=Armstrong's
's ^$++++=EXTRAWORD
word ^nn++++=word
against ^in++++=against
his ^pp$+pp3+++=his?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Father ^nn++++=Father
Brown ^jj++++=Brown
suddenly ^rb++++=suddenly
lifted ^vbd+++xvbn+=lifted
a ^at++++=a
face ^nn++++=face
so ^ql++++=so
absurdly ^rb++++=absurdly
fresh ^jj++++=fresh
that ^cs+sub+++=that
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
somehow ^rb++++=somehow
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
washed ^vprf+++xvbnx+=washed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
radiating ^jj+atrb++xvbg+=radiating
innocence ^nn+nom+++=innocence,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
is ^vbz+bez+vrb++=is
Miss ^npt++++=Miss
Armstrong ^np++++=Armstrong's
's ^$++++=EXTRAWORD
word ^nn++++=word
against ^in++++=against
his ^pp$+pp3+++=his?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
uttered ^vwbn+++xvbn+=uttered
a ^at++++=a
startled ^jj+++xvbn+=startled,
, ^zz++++=EXTRAWORD
singular ^nn++++=singular
little ^ap++++=little
cry ^nn++++=cry;
; ^zz++++=EXTRAWORD
everyone ^pn++++=everyone
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
figure ^nn++++=figure
was ^vbd+bedz+vrb++=was
rigid ^jj+pred+++=rigid
as ^cs+sub+++=as
if ^cs+cnd+++=if
paralysed ^vbd+++xvbn+=paralysed;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
her ^pp3o+pp3+++=her
face ^nn++++=face
within ^in++++=within
its ^pp$+it+++=its
frame ^nn++++=frame
of ^in++++=of
faint ^jj+atrb+++=faint
brown ^jj+atrb+++=brown
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive
with ^in++++=with
an ^at++++=an
appalling ^jj+atrb+++=appalling
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stood ^vbd+++xvbnx+=stood
like ^in++++=like
one ^pn++++=one
of ^in++++=of
a ^at++++=a
sudden ^jj++++=sudden
lassooed ^jj+++xvbn+=lassooed
and ^cc+phrs+++=and
throttled ^jj+++xvbn+=throttled.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
man ^nn++++=man,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gilder ^np++++=Gilder
gravely ^np++++=gravely,
, ^zz++++=EXTRAWORD
" ^zz++++="actually
actually ^rb+amp+++=EXTRAWORD
says ^vbz+vpub+++=says
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
grasping ^vbg+++xvbg+=grasping
a ^at++++=a
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
insensible ^jj++++=insensible,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
murder ^nn++++=murder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
truth ^nn++++=truth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Alice ^np++++=Alice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
fact ^nn++++=fact
of ^in++++=of
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
conscious ^jj+pred+++=conscious
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
Patrick ^np++++=Patrick
Royce ^np+++??+=Royce
strode ^vbd+++xvbn+=strode
with ^in++++=with
his ^pp$+pp3+++=his
great ^jj++++=great
stooping ^jj+++xvbg+=stooping
head ^jjb++++=head
into ^in++++=into
their ^pp$+pp3+++=their
ring ^nn++++=ring
and ^cc++++=and
uttered ^vbd+++xvbn+=uttered
the ^ati++++=the
singular ^jj+atrb+++=singular
words ^nns++++=words:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I've
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
go ^vb++++=go,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
pleasure ^nn++++=pleasure
first ^rb++++=first."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
huge ^jj+atrb+++=huge
shoulder ^nn+nom+++=shoulder
heaved ^vbd+++xvbn+=heaved
and ^cc++++=and
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
an ^at++++=an
iron ^nn++++=iron
fist ^nn++++=fist
smash ^nn++++=smash
into ^in++++=into
Magnus ^np++++=Magnus's
's ^$++++=EXTRAWORD
bland ^jj+atrb+++=bland
Mongolian ^np+++??+=Mongolian
visage ^nn++++=visage,
, ^zz++++=EXTRAWORD
laying ^nvbg+++xvbg+=laying
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
lawn ^nn++++=lawn
as ^ql++++=as
flat ^nn++++=flat
as ^ql++++=as
a ^at++++=a
starfish ^nns++++=starfish.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
or ^cc++++=or
three ^cd++++=three
of ^in++++=of
the ^ati++++=the
police ^nns++++=police
instantly ^rb+tm+++=instantly
put ^vb+++xvbn+=put
their ^pp$+pp3+++=their
hands ^nns++++=hands
on ^in++++=on
Royce ^np+++??+=Royce;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
the ^ati++++=the
rest ^nn++++=rest
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
as ^cs+sub+++=as
if ^cs+cnd+++=if
all ^abn++++=all
reason ^nn++++=reason
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
up ^rp++++=up
and ^cc++++=and
the ^ati++++=the
universe ^nn++++=universe
were ^vbd+bed+aux++=were
turning ^vbg+++xvbgx+=turning
into ^in++++=into
a ^at++++=a
brainless ^jj+atrb+++=brainless
harlequinade ^nn+++??+=harlequinade.
. ^zz++++=EXTRAWORD
" ^zz++++="None
none ^pn++++=EXTRAWORD
of ^in++++=of
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Royce ^np++++=Royce,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gilder ^np+++??+=Gilder
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
out ^rp+pl+++=out
authoritatively ^rb++++=authoritatively.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
arrest ^vb++++=arrest
you ^pp2+pp2+++=you
for ^in++++=for
assault ^nn++++=assault."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
wo ^&fw++++=won't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
secretary ^nn+nom+++=secretary
in ^in++++=in
a ^at++++=a
voice ^nn++++=voice
like ^in++++=like
an ^at++++=an
iron ^nn++++=iron
gong ^nn++++=gong,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
arrest ^vb++++=arrest
me ^pp1o+pp1+++=me
for ^in++++=for
murder ^nn++++=murder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Gilder ^np+++??+=Gilder
threw ^vbd+++xvbn+=threw
an ^at++++=an
alarmed ^jj+atrb++xvbn+=alarmed
glance ^nn++++=glance
at ^in++++=at
the ^ati++++=the
man ^nn++++=man
knocked ^vbd+++xvbn+=knocked
down ^rb+phrv+++=down;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
since ^cs+sub+++=since
that ^dt+pdem+++=that
outraged ^vbd+++xvbn+=outraged
person ^nn++++=person
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
