Passing ^vbg+++xvbg+=Passing
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
of ^in++++=of
fifty ^cd++++=fifty
or ^cc++++=or
thereabouts ^rb++++=thereabouts
with ^in++++=with
a ^at++++=a
harsh ^jj++++=harsh,
, ^zz++++=EXTRAWORD
unpleasant ^jj++++=unpleasant
countenance ^nn+nom+++=countenance
ordered ^vbd+vsua++xvbn+=ordered
a ^at++++=a
stone ^nn++++=stone
for ^in++++=for
the ^ati++++=the
grave ^nn++++=grave
of ^in++++=of
his ^pp$+pp3+++=his
bitter ^jj+atrb+++=bitter
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
with ^in++++=with
whom ^whp+rel+pied++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
waged ^vprf+++xvbnx+=waged
warfare ^nn++++=warfare
half ^nn++++=half
a ^at++++=a
lifetime ^nn++++=lifetime,
, ^zz++++=EXTRAWORD
to ^in++++=to
their ^pp$+pp3+++=their
mutual ^jj+atrb+++=mutual
misery ^nn++++=misery
and ^cc++++=and
ruin ^nn++++=ruin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
secret ^nn++++=secret
of ^in++++=of
this ^dt+dem+++=this
phenomenon ^nn++++=phenomenon
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
hatred ^nn++++=hatred
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
the ^ati++++=the
sustenance ^nn+nom+++=sustenance
and ^cc++++=and
enjoyment ^nn+nom+++=enjoyment
of ^in++++=of
the ^ati++++=the
poor ^jj+atrb+++=poor
wretch ^nn++++=wretch's
's ^$++++=EXTRAWORD
soul ^nn++++=soul;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
supplied ^vprf+++xvbnx+=supplied
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
all ^abn++++=all
kindly ^rb++++=kindly
affections ^nns+nom+++=affections;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
really ^rb+emph+++=really
a ^at++++=a
bond ^nn++++=bond
of ^in++++=of
sympathy ^nn++++=sympathy
between ^in++++=between
himself ^ppl+pp3+++=himself
and ^cc++++=and
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
shared ^vbd+++xvbn+=shared
the ^ati++++=the
passion ^nn++++=passion;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
its ^pp$+it+++=its
object ^nn++++=object
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
the ^ati++++=the
unappeasable ^jj+atrb+++=unappeasable
foe ^nn++++=foe
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^rb+down+++=only
mourner ^jjr++++=mourner
for ^in++++=for
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expressed ^vbd+vpub++xvbnx+=expressed
a ^at++++=a
purpose ^nn++++=purpose
of ^in++++=of
being ^nn+nn+aux++=being
buried ^vwbn+++xvbn+=buried
side ^nn++++=side
by ^in++++=by
side ^nn++++=side
with ^in++++=with
his ^pp$+pp3+++=his
enemy ^nn++++=enemy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
doubt ^nn++++=doubt
whether ^cs+who+++=whether
their ^pp$+pp3+++=their
dust ^nn++++=dust
will ^md+prd+++=will
mingle ^vb+++??+=mingle,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
the ^ati++++=the
old ^jj+atrb+++=old
sculptor ^nn++++=sculptor
to ^in++++=to
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
for ^in++++=for
often ^rb++++=often
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
earthliness ^nns+nom+++=earthliness
in ^in++++=in
his ^pp$+pp3+++=his
conceptions ^nns+nom+++=conceptions.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
yes ^uh++++=yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
mused ^vprf+++xvbnx+=mused
long ^rb++++=long
upon ^in++++=upon
the ^ati++++=the
incident ^nn++++=incident;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
rise ^vb++++=rise
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
bitter ^jj+atrb+++=bitter
foes ^nns++++=foes
may ^md+pos+++=may
find ^vb+vprv+++=find
themselves ^ppls+pp3+++=themselves
dear ^uh++++=dear
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Methinks
thinks ^vbz+vprv+++=EXTRAWORD
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
mistook ^vbd+++xvbnx+=mistook
for ^in++++=for
hatred ^nn++++=hatred
was ^vbd+bedz+vrb++=was
but ^cc++++=but
love ^nn++++=love
under ^in++++=under
a ^at++++=a
mask ^nn++++=mask."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
gentleman ^nn+nom+++=gentleman
of ^in++++=of
antiquarian ^jj+atrb+++=antiquarian
propensities ^nns+nom+++=propensities
provided ^vbd+++xvbn+=provided
a ^at++++=a
memorial ^nn++++=memorial
for ^in++++=for
an ^at++++=an
Indian ^nn++++=Indian
of ^in++++=of
Chabbiquidick ^np+++??+=Chabbiquidick
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
few ^ap++++=few
of ^in++++=of
untainted ^jj+atrb++xvbn+=untainted
blood ^nn++++=blood
remaining ^vwbg+++xvbg+=remaining
in ^cs+sub+++=in
that ^cs"++++=that
region ^nn++++=region,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
hereditary ^jj+atrb+++=hereditary
chieftain ^nn++++=chieftain
descended ^vbd+++xvbn+=descended
from ^in++++=from
the ^ati++++=the
sachem ^nn+++??+=sachem
who ^whp+rel+subj++=who
welcomed ^vbd+++xvbn+=welcomed
Governor ^npt++++=Governor
Mayhew ^np++++=Mayhew
to ^in++++=to
the ^ati++++=the
Vineyard ^nn++++=Vineyard.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wiggles ^np++++=Wiggles-worth
- ^zz++++=EXTRAWORD
worth ^in++++=EXTRAWORD
exerted ^vprf+++xvbn+=exerted
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
skill ^nn++++=skill
to ^to++++=to
carve ^vbi++++=carve
a ^at++++=a
broken ^jj+++xvbn+=broken
bow ^np++++=bow
and ^cc++++=and
scattered ^jj+atrb++xvbn+=scattered
sheaf ^nn++++=sheaf
of ^in++++=of
arrows ^nns++++=arrows
in ^in++++=in
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
hunters ^nns+nom+++=hunters
and ^cc++++=and
warriors ^nns++++=warriors
whose ^whp+rel+obj++=whose
race ^nn++++=race
was ^vbd+bedz+aux++=was
ended ^vpsv++agls+xvbnx+=ended
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
likewise ^rb+cnj+++=likewise
sculptured ^jj++++=sculptured
a ^at++++=a
cherub ^nn+++??+=cherub,
, ^zz++++=EXTRAWORD
to ^to++++=to
denote ^vbi+vsua+++=denote
that ^tht+vcmp+++=that
the ^ati++++=the
poor ^jj++++=poor
Indian ^jj++++=Indian
had ^vbd+hvd+aux++=had
shared ^vprf+++xvbnx+=shared
the ^ati++++=the
Christian ^np++++=Christian's
's ^$++++=EXTRAWORD
hope ^nn++++=hope
of ^in++++=of
immortality ^nn+nom+++=immortality.
. ^zz++++=EXTRAWORD
" ^zz++++="Why,"
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
observed ^vbn+vprv+tht0+xvbn+=observed
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
a ^at++++=a
perverse ^jj+atrb+++=perverse
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
winged ^jj+atrb+++=winged
boy ^nn++++=boy
and ^cc++++=and
the ^ati++++=the
bow ^nn++++=bow
and ^cc++++=and
arrows ^nns++++=arrows,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
looks ^vbz++++=looks
more ^rbr++++=more
like ^in++++=like
Cupid ^np++++=Cupid's
's ^$++++=EXTRAWORD
tomb ^nn++++=tomb
than ^in++++=than
an ^at++++=an
Indian ^jj+atrb+++=Indian
chief ^jjb+atrb+++=chief's."
's." ^nn+++??+=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
talk ^nn++++=talk
nonsense ^nn++++=nonsense,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
sculptor ^nn++++=sculptor,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
offended ^jj+atrb++xvbn+=offended
pride ^nn++++=pride
of ^in++++=of
art ^nn++++=art.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
then ^rn+tm+++=then
added ^vbd+vpub++xvbn+=added
with ^in++++=with
his ^pp$+pp3+++=his
usual ^jj++++=usual
good ^jj++++=good-nature,
- ^zz++++=EXTRAWORD
nature ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can
Cupid ^vb+++??+=Cupid
die ^vb++++=die
when ^wrb+who+++=when
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
such ^abl++++=such
pretty ^rb++++=pretty
maidens ^nns++++=maidens
in ^in++++=in
the ^ati++++=the
Vineyard ^nn++++=Vineyard?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
true ^jj++++=true,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub+tht0+xvbn+=answered
I ^pp1a+pp1+++=I;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
other ^ap++++=other
matters ^nns+nom+++=matters
than ^in++++=than
tombstones ^nns+++??+=tombstones.
. ^zz++++=EXTRAWORD
At ^in++++=At
our ^pp$+pp1+++=our
next ^ap++++=next
meeting ^jj+++xvbg+=meeting
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
him ^pp3o+pp3+++=him
chiselling ^nn+nom+++=chiselling
an ^at++++=an
open ^jj+atrb+++=open
book ^nn++++=book
upon ^in++++=upon
a ^at++++=a
marble ^nn++++=marble
headstone ^nn++++=headstone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
concluded ^vbd+vprv++xvbn+=concluded
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
meant ^vpsv++agls+xvbnx+=meant
to ^to+vcmp+++=to
express ^nns+nom+++=express
the ^ati++++=the
erudition ^nn+nom+++=erudition
of ^in++++=of
some ^dti++++=some
black ^jj++++=black-letter
- ^zz++++=EXTRAWORD
letter ^nn++++=EXTRAWORD
clergyman ^nn+nom+++=clergyman
of ^in++++=of
the ^ati++++=the
Cotton ^nn++++=Cotton
Mather ^np+++??+=Mather
school ^nn++++=school.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
turned ^vbd+++xvbn+=turned
out ^rb+cnj+++=out,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
emblematical ^jj+pred+++=emblematical
of ^in++++=of
the ^ati++++=the
scriptural ^jj+atrb+++=scriptural
knowledge ^nn++++=knowledge
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
read ^vprf+++xvbnx+=read
anything ^rb++++=anything
but ^rb"++++=but
her ^pp$+pp3+++=her
Bible ^nn++++=Bible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
monument ^nn+nom+++=monument
was ^vbd+bedz+vrb++=was
a ^at++++=a
tribute ^nn++++=tribute
to ^in++++=to
her ^pp$+pp3+++=her
piety ^nn++++=piety
and ^cc++++=and
good ^jj+atrb+++=good
works ^nns++++=works
from ^in++++=from
the ^ati++++=the
orthodox ^jj+atrb+++=orthodox
church ^nn++++=church
of ^in++++=of
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
member ^nn++++=member.
. ^zz++++=EXTRAWORD
In ^in++++=In
strange ^jj+atrb+++=strange
contrast ^nn++++=contrast
with ^in++++=with
this ^dt+dem+++=this
Christian ^jj+atrb+++=Christian
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
memorial ^nn++++=memorial
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
of ^in++++=of
an ^at++++=an
infidel ^nn++++=infidel
whose ^whp+rel+obj++=whose
gravestone ^nn+++??+=gravestone,
, ^zz++++=EXTRAWORD
by ^in++++=by
his ^pp$+pp3+++=his
own ^ap++++=own
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
bore ^j+++xvbn+=bore
an ^at++++=an
avowal ^nn++++=avowal
of ^in++++=of
his ^pp$+pp3+++=his
belief ^nn++++=belief
that ^tht+ncmp+++=that
the ^ati++++=the
spirit ^nn++++=spirit
within ^in++++=within
him ^pp3o+pp3+++=him
would ^md+prd+++=would
be ^vb+be+aux++=be
extinguished ^vpsv++agls+xvbnx+=extinguished
like ^in++++=like
a ^at++++=a
flame ^nn++++=flame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
nothingness ^nns+nom+++=nothingness
whence ^wrb+who+++=whence
he ^pp3a+pp3+++=he
sprang ^vbd+++xvbnx+=sprang
would ^md+prd+++=would
receive ^vb++++=receive
him ^pp3o+pp3+++=him
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth
consulted ^vwbn+++xvbn+=consulted
me ^pp1o+pp1+++=me
as ^in++++=as
to ^in++++=to
the ^ati++++=the
propriety ^nn++++=propriety
of ^in++++=of
enabling ^xvbg+++xvbg+=enabling
a ^at++++=a
dead ^jj+atrb+++=dead
man ^nn++++=man's
's ^$++++=EXTRAWORD
dust ^nn++++=dust
to ^to++++=to
utter ^vbi++++=utter
this ^dt+dem+++=this
dreadful ^jj+atrb+++=dreadful
creed ^nn++++=creed.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
a ^at++++=a
single ^jj+atrb+++=single
mortal ^nn++++=mortal
would ^md+prd+++=would
read ^vb+vprv++xvbn+=read
the ^ati++++=the
inscription ^nn+nom+++=inscription
without ^in++++=without
a ^at++++=a
shudder ^nn++++=shudder,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
chisel ^nn++++=chisel
should ^md+nec+++=should
never ^rb++splt++=never
cut ^vb+++xvbn+=cut
a ^at++++=a
letter ^nn++++=letter
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
the ^ati++++=the
grave ^nn++++=grave
speaks ^vbz++++=speaks
such ^abl++++=such
falsehoods ^nns+nom+++=falsehoods,
, ^zz++++=EXTRAWORD
the ^ati++++=the
soul ^nn++++=soul
of ^in++++=of
man ^nn++++=man
will ^md+prd+++=will
know ^vb+vprv+++=know
the ^ati++++=the
truth ^nn++++=truth
by ^in++++=by
its ^pp$+it+++=its
own ^ap++++=own
horror ^nn++++=horror."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
struck ^xvbn+++xvbn+=struck
by ^in++++=by
the ^ati++++=the
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
poor ^jj+atrb+++=poor
infidel ^nn++++=infidel
may ^md+pos+++=may
strive ^vb++++=strive
to ^to+vcmp+++=to
preach ^vbi++++=preach
blasphemies ^nns++++=blasphemies
from ^in++++=from
his ^pp$+pp3+++=his
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
only ^rb+down+++=only
another ^dt++++=another
method ^nn++++=method
of ^in++++=of
impressing ^xvbg+++xvbg+=impressing
the ^ati++++=the
soul ^nn++++=soul
with ^in++++=with
a ^at++++=a
consciousness ^nns+nom+++=consciousness
of ^in++++=of
immortality ^nn+nom+++=immortality."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Norton ^np++++=Norton,
, ^zz++++=EXTRAWORD
noted ^j+++xvbn+=noted
throughout ^in++++=throughout
the ^ati++++=the
island ^nn++++=island
for ^in++++=for
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
wealth ^nn++++=wealth,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
accumulated ^vprf+++xvbnx+=accumulated
by ^in++++=by
the ^ati++++=the
exercise ^nn++++=exercise
of ^in++++=of
strong ^jj+atrb+++=strong
and ^cc+phrs+++=and
shrewd ^jj+atrb+++=shrewd
faculties ^nns++++=faculties
combined ^vbd+++xvbn+=combined
with ^in++++=with
a ^at++++=a
most ^ql+emph+++=most
penurious ^jj+atrb+++=penurious
disposition ^nn+nom+++=disposition.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
wretched ^jj+atrb+++=wretched
miser ^nn++++=miser,
, ^zz++++=EXTRAWORD
conscious ^jj++++=conscious
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
not ^xnot++not++=not
a ^at++++=a
friend ^nn++++=friend
to ^to++++=to
be ^vbi++vrb++=be
mindful ^jj+pred+++=mindful
of ^in++++=of
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
himself ^ppl+pp3+++=himself
taken ^vbd+++xvbn+=taken
the ^ati++++=the
needful ^jj+atrb+++=needful
precautions ^nns+nom+++=precautions
for ^in++++=for
posthumous ^jj+atrb+++=posthumous
remembrance ^nn+nom+++=remembrance
by ^in++++=by
bespeaking ^xvbg+++xvbg+=bespeaking
an ^at++++=an
immense ^jj+atrb+++=immense
slab ^nn++++=slab
of ^in++++=of
white ^jj+atrb+++=white
marble ^nn++++=marble
with ^in++++=with
a ^at++++=a
long ^jj+atrb+++=long
epitaph ^nn++++=epitaph
in ^in++++=in
raised ^xvbn+++xvbn+=raised
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
the ^ati++++=the
whole ^nn++++=whole
to ^to++++=to
be ^vbi++vrb++=be
as ^ql++++=as
magnificent ^jj++++=magnificent
as ^ql++++=as
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth's
's ^$++++=EXTRAWORD
skill ^nn++++=skill
could ^md+pos+++=could
make ^vb++++=make
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
something ^pn++++=something
very ^ql+amp+++=very
characteristic ^jj++++=characteristic
in ^in++++=in
this ^dt+dem+++=this
contrivance ^nn+nom+++=contrivance
to ^in++++=to
have ^vbi++vrb++=have
his ^pp$+pp3+++=his
money ^nn++++=money's
's ^vbz+bez+vrb++0=EXTRAWORD
worth ^in++++=worth
even ^rb++++=even
from ^in++++=from
his ^pp$+pp3+++=his
own ^ap++++=own
tombstone ^nn+++??+=tombstone,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
afforded ^j+++xvbn+=afforded
him ^pp3o+pp3+++=him
more ^rbr++++=more
enjoyment ^nn+nom+++=enjoyment
in ^in++++=in
the ^ati++++=the
few ^ap++++=few
months ^nns++++=months
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
thereafter ^nn+nom+++=thereafter
than ^in++++=than
it ^pp3+it+++=it
probably ^rb++++=probably
will ^md+prd+++=will
in ^in++++=in
a ^at++++=a
whole ^jj+atrb+++=whole
century ^nn++++=century,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
laid ^vpsv++agls+xvbnx+=laid
over ^in++++=over
his ^pp$+pp3+++=his
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
incident ^nn++++=incident
reminds ^vbz++++=reminds
me ^pp1o+pp1+++=me
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl
a ^at++++=a
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
slender ^jj+atrb+++=slender,
, ^zz++++=EXTRAWORD
feeble ^jj+atrb+++=feeble
creature ^nn++++=creature
most ^ap+emph+++=most
unlike ^in++++=unlike
the ^ati++++=the
other ^ap++++=other
rosy ^jj+atrb+++=rosy
and ^cc+phrs+++=and
healthful ^jj+atrb+++=healthful
damsels ^nns+++??+=damsels
of ^in++++=of
the ^ati++++=the
Vineyard ^nn++++=Vineyard,
, ^zz++++=EXTRAWORD
amid ^in++++=amid
whose ^whp+rel+pied++=whose
brightness ^nns+nom+++=brightness
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
fading ^vbg+++xvbgx+=fading
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Day ^nn++++=Day
after ^cs+sub+++=after
day ^nn++++=day
did ^vbd+dod+vrb++=did
the ^ati++++=the
poor ^jj++++=poor
maiden ^jjb++++=maiden
come ^vb++++=come
to ^in++++=to
the ^ati++++=the
sculptor ^nn++++=sculptor's
's ^$++++=EXTRAWORD
shop ^nn++++=shop
and ^cc++++=and
pass ^nn++++=pass
from ^in++++=from
one ^cd1++++=one
piece ^nn++++=piece
of ^in++++=of
marble ^nn++++=marble
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
at ^rb++++=at
last ^rb"++++=last
she ^pp3a+pp3+++=she
pencilled ^jj++++=pencilled
her ^pp$+pp3+++=her
name ^nn++++=name
upon ^in++++=upon
a ^at++++=a
slender ^jj+atrb+++=slender
slab ^nn++++=slab
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
of ^in++++=of
a ^at++++=a
more ^rbr++++=more
spotless ^jj++++=spotless
white ^jj++++=white
than ^in++++=than
all ^abn++++=all
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
no ^at++++=no
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
soon ^rb+tm+++=soon
afterward ^rb++++=afterward
found ^vbd+vprv++xvbn+=found
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth
cutting ^vwbg+++xvbg+=cutting
her ^pp3o+pp3+++=her
virgin ^nn++++=virgin-name
- ^zz++++=EXTRAWORD
name ^nn++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
stone ^nn++++=stone
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
chosen ^vprf+++xvbnx+=chosen.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
girl ^nn++++=girl!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
interrupting ^vbg+++xvbg+=interrupting
the ^ati++++=the
tune ^nn++++=tune
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
whistling ^jj+pred+++=whistling,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
she ^pp3a+pp3+++=she
chose ^vbd+++xvbnx+=chose
a ^at++++=a
good ^jj+atrb+++=good
piece ^nn++++=piece
of ^in++++=of
stuff ^nn++++=stuff
for ^in++++=for
her ^pp$+pp3+++=her
headstone ^nn++++=headstone.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
of ^in++++=of
these ^dt+dem+++=these
slabs ^nns++++=slabs
would ^md+prd+++=would
you ^pp2+pp2+++=you
like ^in++++=like
best ^jjt++++=best
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
your ^pp$+pp2+++=your
own ^ap++++=own
name ^nn++++=name
upon ^in+strn+++=upon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
the ^ati++++=the
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
good ^jj+atrb+++=good
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wigglesworth ^np++++=Wigglesworth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
