Seven ^cd++++=SEVEN
so ^ql+emph+++=so
yellow ^jj++++=yellow
and ^cc+phrs+++=and
joyous ^jj++++=joyous
in ^in++++=in
its ^pp$+it+++=its
color ^nn++++=color,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
peculiarly ^rb++++=peculiarly
precious ^jj++++=precious
under ^in++++=under
that ^cs+sub+++=that
somber ^jjr+atrb+++=somber
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
sycamores ^nns+++??+=sycamores
and ^cc++++=and
copper ^nn++++=copper
beeches ^nns++++=beeches;
; ^zz++++=EXTRAWORD
gnarled ^jj+atrb+++=gnarled
apple ^nn++++=apple-trees,
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
too ^ql++++=too
old ^jj++++=old
to ^to++++=to
bear ^vbi+vprv+++=bear;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fall ^nn++++=fall
pear ^nn++++=pear-trees,
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
with ^in++++=with
a ^at++++=a
sharp ^jj+atrb+++=sharp,
, ^zz++++=EXTRAWORD
hard ^jj+atrb+++=hard
fruit ^nn++++=fruit
in ^in++++=in
October ^nr++++=October;
; ^zz++++=EXTRAWORD
all ^abn++++=all
with ^in++++=with
a ^at++++=a
leafage ^nn+nom+++=leafage
singularly ^rb++++=singularly
rich ^jj++++=rich
and ^cc++++=and
luxuriant ^nn+nom+++=luxuriant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peculiarly ^rb++++=peculiarly
vivid ^jj++++=vivid
in ^in++++=in
color ^nn++++=color.
. ^zz++++=EXTRAWORD
The ^ati++++=The
oaks ^nns++++=oaks
about ^in++++=about
the ^ati++++=the
house ^npl++++=house
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
old ^jj+atrb+++=old
trees ^nns++++=trees
when ^wrb+who+++=when
my ^pp$+pp1+++=my
great ^jj++++=great-grandfather
- ^zz++++=EXTRAWORD
grandfather ^nn+nom+++=EXTRAWORD
built ^vbd+++xvbn+=built
his ^pp$+pp3+++=his
cabin ^nn++++=cabin
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
century ^nn++++=century
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
garden ^nn++++=garden
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
the ^ati++++=the
only ^ap+down+++=only
spot ^nn++++=spot
for ^in++++=for
miles ^nns++++=miles
along ^in++++=along
the ^ati++++=the
river ^nn++++=river
where ^wrb+who+++=where
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
original ^nn+nom+++=original
forest ^nn++++=forest
growth ^nn++++=growth
still ^rb++++=still
survived ^vbd+++xvbn+=survived.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smoke ^nn++++=smoke
from ^in++++=from
the ^ati++++=the
mills ^nns++++=mills
was ^vbd+bedz+vrb++=was
fatal ^jj+pred+++=fatal
to ^in++++=to
trees ^nns++++=trees
of ^in++++=of
the ^ati++++=the
larger ^jjr+atrb+++=larger
sort ^nn++++=sort,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
these ^dt+pdem+++=these
had ^vb+hv+vrb++=had
the ^ati++++=the
look ^nn++++=look
of ^in++++=of
doomed ^xvbn+++xvbn+=doomed
things ^nns++++=things
bent ^vbd+++xvbn+=bent
a ^rb++++=a
little ^rb"++++=little
toward ^in++++=toward
the ^ati++++=the
town ^nn++++=town
and ^cc++++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
wait ^vbi++++=wait
with ^in++++=with
head ^nn++++=head
inclined ^vwbn+++xvbn+=inclined
before ^cs+sub+++=before
that ^dt+dem+++=that
on ^in++++=on-coming,
- ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
shrieking ^vbg+++xvbg+=shrieking
force ^nn++++=force.
. ^zz++++=EXTRAWORD
" ^zz++++="About
about ^in++++=EXTRAWORD
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^nn++++=strange
hush ^vb++++=hush,
, ^zz++++=EXTRAWORD
a ^at++++=a
tragic ^jj+atrb+++=tragic
submission ^nn++++=submission
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
leaden ^jj+++xvbn+=leaden
and ^cc+phrs+++=and
sullen ^jj++++=sullen
in ^in++++=in
its ^pp$+it+++=its
color ^nn++++=color,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
flowed ^vbd+++xvbn+=flowed
so ^rb++++=so
soundlessly ^rb++++=soundlessly
forever ^rb++++=forever
past ^jjb++++=past
our ^pp$+pp1+++=our
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sat ^vbd+++xvbnx+=sat
there ^rn+pl+++=there
every ^at++++=every
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
high ^jj+atrb+++=high
veranda ^nn++++=veranda
overlooking ^vwbg+++xvbg+=overlooking
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
dim ^jj+atrb+++=dim
outlines ^nns++++=outlines
of ^in++++=of
the ^ati++++=the
steep ^jj+atrb+++=steep
hills ^nns++++=hills
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flicker ^nn++++=flicker
of ^in++++=of
the ^ati++++=the
lights ^nns++++=lights
on ^in++++=on
the ^ati++++=the
island ^nn++++=island,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
boat ^nn++++=boat-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listening ^nvbg+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
call ^nn++++=call
of ^in++++=of
the ^ati++++=the
boatmen ^nn++++=boatmen
through ^in++++=through
the ^ati++++=the
mist ^nn++++=mist.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mist ^nn++++=mist
came ^vbd+++xvbn+=came
as ^in++++=as
certainly ^rb++++=certainly
as ^in++++=as
night ^nn++++=night,
, ^zz++++=EXTRAWORD
whitened ^jj++++=whitened
by ^in++++=by
moonshine ^nn+++??+=moonshine
or ^cc++++=or
starshine ^nn+++??+=starshine.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tin ^nn++++=tin
water ^nn++++=water-pipes
- ^zz++++=EXTRAWORD
pipes ^nns++++=EXTRAWORD
went ^vbd+++xvbn+=went
splash ^vb++++=splash,
, ^zz++++=EXTRAWORD
splash ^vb++++=splash,
, ^zz++++=EXTRAWORD
with ^in++++=with
it ^pp3+it+++=it
all ^rb++++=all
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
rose ^vbd+++xvbn+=rose
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
little ^ap++++=little
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
sighing ^nn++++=sighing
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
boughs ^nns++++=boughs
and ^cc++++=and
a ^at++++=a
troubled ^jj+atrb++xvbn+=troubled
breath ^nn++++=breath
in ^in++++=in
the ^ati++++=the
heavy ^jj+atrb+++=heavy
grasses ^nns++++=grasses.
. ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
first ^rb"++++=first
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
my ^pp$+pp1+++=my
distant ^jj+atrb+++=distant
friends ^nns++++=friends
and ^cc++++=and
my ^pp$+pp1+++=my
old ^jj+atrb+++=old
life ^nn++++=life
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
sit ^vb++++=sit
there ^rn+pl+++=there;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
after ^cs+sub+++=after
awhile ^rb++++=awhile
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
days ^nns++++=days
and ^cc++++=and
weeks ^nns++++=weeks
go ^vb++++=go
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
river ^nn++++=river
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
carry ^vbi++++=carry
them ^pp3o+pp3+++=them
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Within
within ^in++++=EXTRAWORD
the ^ati++++=the
house ^nn++++=house
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
never ^rb++++=never
at ^in++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Month ^nn++++=Month
followed ^vbd+vprv++xvbn+=followed
month ^nn++++=month,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
I ^pp1a+pp1+++=I
could ^md+pos+++=could
feel ^vb+vprv+++=feel
no ^at++++=no
sense ^nn++++=sense
of ^in++++=of
kinship ^nn+nom+++=kinship
with ^in++++=with
anything ^pn++++=anything
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
roof ^nn++++=roof
where ^wrb+who+++=where
my ^pp$+pp1+++=my
father ^nn++++=father
and ^cc++++=and
grandfather ^nn+nom+++=grandfather
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained
utterly ^rb+amp+++=utterly
detached ^jj+++xvbn+=detached.
. ^zz++++=EXTRAWORD
The ^ati++++=The
somber ^jjr+atrb+++=somber
rooms ^nns++++=rooms
never ^rb++++=never
spoke ^vbd+++xvbn+=spoke
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
furniture ^nn++++=furniture
never ^rb++++=never
seemed ^vprf+++xvbn+=seemed
tinctured ^xvbn+++xvbn+=tinctured
with ^in++++=with
race ^nn++++=race.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
portrait ^nn++++=portrait
of ^in++++=of
my ^pp$+pp1+++=my
boy ^nn++++=boy
uncle ^nn++++=uncle
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
thing ^nn++++=thing
to ^to++++=to
which ^whp+who+++=which
I ^pp1a+pp1+++=I
could ^md+pos+++=could
draw ^vb++++=draw
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
link ^nn++++=link
with ^in++++=with
anything ^pn++++=anything
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
known ^vprf+++xvbnx+=known
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
my ^pp$+pp1+++=my
father ^nn++++=father
in ^in++++=in
the ^ati++++=the
face ^nn++++=face,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
father ^npt++++=father
transformed ^vwbn+++xvbn+=transformed
and ^cc+phrs+++=and
glorified ^vwbn+++xvbn+=glorified;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hesitating ^vbg+++xvbg+=hesitating
discontent ^nn++++=discontent
drowned ^vbd+++xvbn+=drowned
in ^in++++=in
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
triumph ^nn++++=triumph.
. ^zz++++=EXTRAWORD
From ^in++++=From
my ^pp$+pp1+++=my
first ^rb++++=first
day ^nn++++=day
in ^cs+sub+++=in
that ^cs"++++=that
house ^nn++++=house,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
continually ^rb++++=continually
turned ^vbd+++xvbn+=turned
to ^in++++=to
this ^dt+dem+++=this
handsome ^jj+atrb+++=handsome
kinsman ^nn++++=kinsman
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
wondering ^vbg+++xvbg+=wondering
in ^in++++=in
what ^wdt+who+++=what
terms ^nns++++=terms
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
and ^cc++++=and
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
hope ^nn++++=hope;
; ^zz++++=EXTRAWORD
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
there ^rn+pl+++=there
to ^to++++=to
look ^vbi++++=look
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
to ^to++++=to
bound ^vbi++++=bound
at ^in++++=at
one ^pn++++=one,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all
those ^dt+dem+++=those
years ^nns++++=years,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
joyously ^jj++++=joyously
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
canvas ^nn++++=canvas.
. ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
the ^ati++++=the
timid ^jj++++=timid,
, ^zz++++=EXTRAWORD
clouded ^jj+atrb++xvbn+=clouded
old ^jj+atrb+++=old
woman ^nn++++=woman
over ^rp++++=over
whose ^whp+who+++=whose
life ^nn++++=life
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
watch ^vbi++++=watch,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+vprv++xvbnx+=learned
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
backyard ^nn+++??+=backyard,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
old ^nn++++=old
rose ^vbd+++xvbn+=rose
garden ^npl++++=garden,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
locust ^nn+++??+=locust-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
which ^whp+rel+obj++=which
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
had ^vbd+hvd+aux++=had
planted ^vprf+++xvbnx+=planted.
. ^zz++++=EXTRAWORD
After ^in++++=After
his ^pp$+pp3+++=his
death ^nn++++=death,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
still ^rb++++=still
a ^at++++=a
slender ^jj+atrb+++=slender
sapling ^nn+nom+++=sapling,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mother ^nn++++=mother
had ^vb+hv+vrb++=had
a ^at++++=a
seat ^nn++++=seat
built ^vbd+++xvbn+=built
round ^rb++++=round
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
used ^md"++pmd"++=used
to ^to++++=to
sit ^vb++++=sit
there ^rn+pl+++=there
on ^rp++++=on
summer ^nn++++=summer
evenings ^nns++++=evenings.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
grave ^nn++++=grave
was ^vbd+bedz+vrb++=was
under ^in++++=under
the ^ati++++=the
apple ^nn++++=apple-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
orchard ^nn++++=orchard.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
aunt ^nn++++=aunt
could ^md+pos+++=could
tell ^vb++++=tell
me ^pp1o+pp1+++=me
little ^ap++++=little
more ^rbr++++=more
than ^in++++=than
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
days ^nns++++=days
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
not ^xnot++not++=not
to ^to++++=to
remember ^nn+nom+++=remember
him ^pp3o+pp3+++=him
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
from ^in++++=from
an ^at++++=an
old ^jj+atrb+++=old
soldier ^nn++++=soldier
in ^in++++=in
the ^ati++++=the
village ^nn+nom+++=village
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
learned ^vbd+vprv++xvbnx+=learned
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Lyon ^np+++??+=Lyon
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
told ^vbd+vpub++xvbn+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fourteen ^cd++++=fourteen
when ^wrb+who+++=when
the ^ati++++=the
first ^od++++=first
enlistment ^nn+nom+++=enlistment
occurred ^vbd+++xvbn+=occurred,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
even ^rb++++=even
then ^rn+tm+++=then
eager ^jj++++=eager
to ^to+jcmp+++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
court ^nn++++=court-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
square ^nn++++=square
every ^at++++=every
evening ^nn++++=evening
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
recruits ^nns++++=recruits
at ^in++++=at
their ^pp$+pp3+++=their
drill ^nn++++=drill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
home ^nr++++=home
company ^nn++++=company
was ^vbd+bedz+aux++=was
ordered ^vpsv++agls+xvbnx+=ordered
off ^in+pl+++=off
he ^pp3a+pp3+++=he
rode ^vbd+++xvbnx+=rode
into ^in++++=into
the ^ati++++=the
city ^nn++++=city
on ^in++++=on
his ^pp$+pp3+++=his
pony ^nn++++=pony
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
men ^nns++++=men
board ^nn++++=board
the ^ati++++=the
train ^nn++++=train
and ^cc++++=and
to ^in++++=to
wave ^nn++++=wave
them ^pp3o+pp3+++=them
good ^jj++++=good-by.
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
year ^nn++++=year
he ^pp3a+pp3+++=he
spent ^vbd+++xvbnx+=spent
at ^rb++++=at
home ^nr++++=home
with ^in++++=with
a ^at++++=a
tutor ^nn++++=tutor,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
fifteen ^cd++++=fifteen
he ^pp3a+pp3+++=he
held ^vbd+vprv+tht0+xvbnx+=held
his ^pp$+pp3+++=his
parents ^nns++++=parents
to ^in++++=to
their ^pp$+pp3+++=their
promise ^nn++++=promise
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
into ^in++++=into
the ^ati++++=the
army ^nn++++=army.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
color ^nn++++=color
sergeant ^nn+nom+++=sergeant
of ^in++++=of
his ^pp$+pp3+++=his
regiment ^nn+nom+++=regiment
and ^cc++++=and
fell ^vpsv++agls+xvbn+=fell
in ^in++++=in
a ^at++++=a
charge ^nn++++=charge
upon ^in++++=upon
the ^ati++++=the
breastworks ^nns+++??+=breastworks
of ^in++++=of
a ^at++++=a
fort ^nn++++=fort
about ^in++++=about
a ^at++++=a
year ^nn++++=year
after ^in++++=after
his ^pp$+pp3+++=his
enlistment ^nn+nom+++=enlistment.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
veteran ^nn++++=veteran
showed ^vbd+vprv++xvbn+=showed
me ^pp1o+pp1+++=me
an ^at++++=an
account ^nn++++=account
of ^in++++=of
this ^dt+dem+++=this
charge ^nn++++=charge
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
written ^vpsv++agls+xvbnx+=written
for ^in++++=for
the ^ati++++=the
village ^nn+nom+++=village
paper ^nn++++=paper
by ^in++++=by
one ^pn++++=one
of ^in++++=of
my ^pp$+pp1+++=my
uncle ^nn++++=uncle's
's ^$++++=EXTRAWORD
comrades ^nns++++=comrades
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
his ^pp$+pp3+++=his
part ^nn++++=part
in ^in++++=in
the ^ati++++=the
engagement ^nn+nom+++=engagement,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seems ^vbz+seem+++=seems
that ^tht+vcmp+++=that
as ^ql++++=as
his ^pp$+pp3+++=his
company ^nn++++=company
were ^vbd+bed+aux++=were
running ^vbg+++xvbgx+=running
at ^rb++++=at
full ^jj+atrb+++=full
speed ^nn++++=speed
across ^in+pl+++=across
the ^ati++++=the
bottom ^jjb+atrb+++=bottom
lands ^nns++++=lands
toward ^in++++=toward
the ^ati++++=the
fortified ^jj+++xvbn+=fortified
hill ^np++++=hill,
, ^zz++++=EXTRAWORD
a ^at++++=a
shell ^nn++++=shell
burst ^vbd+++xvbn+=burst
over ^rp++++=over
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
comrade ^nn++++=comrade,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
beside ^in+pl+++=beside
my ^pp$+pp1+++=my
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
the ^ati++++=the
colors ^nns++++=colors
waver ^jjr++++=waver
and ^cc++++=and
sink ^nn++++=sink
as ^cs+sub+++=as
if ^cs+cnd+++=if
falling ^nvbg+++xvbg+=falling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
and ^cc++++=and
forearm ^nn++++=forearm
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
torn ^vpsv++agls+xvbnx+=torn
away ^rp+pl+++=away
by ^in++++=by
the ^ati++++=the
exploding ^jj+atrb++xvbg+=exploding
shrapnel ^nn+++??+=shrapnel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
realize ^vb+vprv+++=realize
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
his ^pp$+pp3+++=his
injury ^nn++++=injury,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
shouted ^j+++xvbn+=shouted
something ^pn++++=something
which ^whp+who+++=which
his ^pp$+pp3+++=his
comrade ^nn++++=comrade
did ^vbd+dod+aux++=did
not ^xnot++not++=not
catch ^vb++++=catch,
, ^zz++++=EXTRAWORD
caught ^j+++xvbn+=caught
the ^ati++++=the
flag ^nn++++=flag
in ^in++++=in
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vpsv++agls+xvbn+=ran
on ^in++++=on
up ^rp++++=up
the ^ati++++=the
hill ^nn++++=hill.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
splendidly ^rb++++=splendidly
up ^rp++++=up
over ^in++++=over
the ^ati++++=the
breastworks ^nns+++??+=breastworks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
just ^rb+emph+++=just
as ^ql++++=as
my ^pp$+pp1+++=my
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
colors ^nns++++=colors
flying ^vwbg+++xvbg+=flying,
, ^zz++++=EXTRAWORD
reached ^j+++xvbn+=reached
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
embankment ^nn+nom+++=embankment,
, ^zz++++=EXTRAWORD
a ^at++++=a
second ^od++++=second
shell ^nn++++=shell
carried ^vbd+++xvbn+=carried
away ^rp+pl+++=away
his ^pp$+pp3+++=his
left ^jj+++xvbn+=left
arm ^vb++++=arm
at ^rb++++=at
the ^ati++++=the
arm ^nn++++=arm-pit,
- ^zz++++=EXTRAWORD
pit ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
over ^in++++=over
the ^ati++++=the
wall ^nn++++=wall
with ^in++++=with
the ^ati++++=the
flag ^nn++++=flag
settling ^vwbg+++xvbg+=settling
about ^rb++++=about
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
this ^dt+dem+++=this
story ^nn++++=story
was ^vbd+bedz+vrb++=was
ever ^rb++++=ever
present ^jj+pred+++=present
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
unable ^jj+pred+++=unable
to ^to+jcmp+++=to
shake ^vbi++++=shake
it ^pp3+it+++=it
off ^rp+pl+++=off,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
read ^vbn+vprv++xvbn+=read
such ^abl++++=such
books ^nns++++=books
as ^in++++=as
my ^pp$+pp1+++=my
grandfather ^nn+nom+++=grandfather
had ^vbd+hvd+aux++=had
collected ^vprf+++xvbnx+=collected
upon ^in++++=upon
the ^ati++++=the
Civil ^jj+atrb+++=Civil
War ^nn++++=War.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
this ^dt+dem+++=this
