Johannes ^np+++??+=Johannes
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
infant ^nn++++=infant
prodigies ^nns++++=prodigies
of ^in++++=of
the ^ati++++=the
concert ^nn++++=concert
stage ^nn++++=stage.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
even ^rb++++=even
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
use ^vb++++=use
the ^ati++++=the
harpsichord ^nn++++=harpsichord,
, ^zz++++=EXTRAWORD
little ^ap++++=little
Wolfgang ^np++++=Wolfgang
was ^vbd+bedz+aux++=was
composing ^vbg+++xvbgx+=composing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
tired ^jj+++xvbn+=tired
of ^in++++=of
out ^rp+pl+++=out-of-door
- ^zz++++=EXTRAWORD
of ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
sports ^nns++++=sports
would ^md+prd+++=would
sit ^vb++++=sit
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
sister ^nn++++=sister
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
and ^cc++++=and
work ^nn++++=work
on ^in++++=on
a ^at++++=a
symphony ^nn++++=symphony
for ^in++++=for
the ^ati++++=the
orchestra ^nn++++=orchestra,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
thus ^rb+cnj+++=thus
that ^cs+sub+++=that
his ^pp$+pp3+++=his
earliest ^jjt+atrb+++=earliest
symphonies ^nns++++=symphonies
were ^vbd+bed+aux++=were
composed ^vpsv++agls+xvbnx+=composed,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
all ^abn++++=all
marked ^vpsv++by+xvbn+=marked
by ^in++++=by
real ^rb+emph+++=real
artistic ^jj+atrb+++=artistic
form ^nn++++=form
and ^cc++++=and
feeling ^nvbg+++xvbg+=feeling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chief ^jjb+atrb+++=chief
advantage ^nn+nom+++=advantage
of ^in++++=of
these ^dt+dem+++=these
compositions ^nns+nom+++=compositions,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
Wolfgang ^np++++=Wolfgang
kept ^vbd+++xvbn+=kept
in ^rb+phrv+++=in
practise ^nn++++=practise,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
announce ^vb+vpub+++=announce
that ^tht+vcmp+++=that
at ^rb++++=at
his ^pp$+pp3+++=his
next ^ap++++=next
concerts ^nns++++=concerts
all ^rb++++=all
the ^ati++++=the
instrumental ^jj+atrb+++=instrumental
numbers ^nns+nom+++=numbers
would ^md+prd+++=would
be ^vb+be+vrb++=be
his ^pp$+pp3+++=his
own ^ap++++=own
compositions ^nns+nom+++=compositions,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
a ^at++++=a
great ^jj+atrb+++=great
impression ^nn++++=impression
on ^in++++=on
his ^pp$+pp3+++=his
audiences ^nns+nom+++=audiences.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
invited ^vpsv++agls+xvbnx+=invited
to ^in++++=to
Court ^nn++++=Court,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
this ^dt+dem+++=this
time ^nn++++=time
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart
felt ^vbd+vprv++xvbn+=felt
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
have ^vbi++vrb++=have
six ^cd++++=six
sonatas ^nns++++=sonatas
of ^in++++=of
Wolfgang ^np++++=Wolfgang's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
harpsichord ^nn++++=harpsichord
and ^cc++++=and
violin ^nn++++=violin,
, ^zz++++=EXTRAWORD
printed ^j+++xvbn+=printed
and ^cc+phrs+++=and
dedicated ^jj+++xvbn+=dedicated
to ^in++++=to
the ^ati++++=the
Queen ^nn++++=Queen,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
visit ^nn++++=visit
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
financial ^jj+atrb+++=financial
benefit ^nn++++=benefit
to ^in++++=to
the ^ati++++=the
Mozarts ^np+++??+=Mozarts
that ^tht+rel+obj++=that
the ^ati++++=the
first ^rb++++=first
one ^cd1++++=one
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
that ^dt+dem+++=that
time ^nn++++=time
the ^ati++++=the
concert ^nn++++=concert
tour ^nn++++=tour
brought ^vbd+++xvbn+=brought
in ^rb+phrv+++=in
less ^rbr++++=less
great ^jj+atrb+++=great
returns ^nns++++=returns
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
previous ^jj+atrb+++=previous
months ^nns++++=months,
, ^zz++++=EXTRAWORD
for ^in++++=for
both ^abx++++=both
Nannerl ^np+++??+=Nannerl
and ^cc++++=and
Wolfgang ^np++++=Wolfgang
were ^vbd+bed+vrb++=were
seriously ^rb++++=seriously
sick ^jj+pred+++=sick.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
recovered ^vbd+++xvbnx+=recovered
and ^cc+phrs+++=and
journeyed ^vbd+++xvbn+=journeyed
on ^in+cmpx+++=on
to ^in++++=to
Holland ^np++++=Holland,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Wolfgang ^np++++=Wolfgang
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
to ^to++++=to
play ^vbi++++=play
before ^in++++=before
the ^ati++++=the
Prince ^nn++++=Prince
of ^in++++=of
Orange ^nn++++=Orange,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commanded ^vbd+vpub++xvbn+=commanded
to ^to++++=to
write ^vbi++++=write
six ^cd++++=six
sonatas ^nns++++=sonatas
for ^in++++=for
the ^ati++++=the
princess ^nns+nom+++=princess,
, ^zz++++=EXTRAWORD
also ^rb++++=also
to ^to++++=to
write ^vbi++++=write
a ^at++++=a
variation ^nn+nom+++=variation
for ^in++++=for
the ^ati++++=the
harpsichord ^nn++++=harpsichord
on ^in++++=on
the ^ati++++=the
melody ^nn++++=melody
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
sung ^vpsv++agls+xvbnx+=sung,
, ^zz++++=EXTRAWORD
played ^j+++xvbn+=played
and ^cc+phrs+++=and
whistled ^jj+++xvbn+=whistled
by ^in++++=by
everybody ^pn++++=everybody
in ^in++++=in
Holland ^np++++=Holland
and ^cc++++=and
is ^vbz+bez+vrb++=is
the ^ati++++=the
real ^rb+emph+++=real
Dutch ^jj+atrb+++=Dutch
national ^jj+atrb+++=national
hymn ^nn++++=hymn.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
composer ^nn+nom+++=composer
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
called ^vpsv++agls+xvbnx+=called
upon ^in++++=upon
for ^in++++=for
various ^jj++++=various
other ^ap++++=other
pieces ^nns++++=pieces
of ^in++++=of
musical ^jj+atrb+++=musical
work ^nn++++=work
and ^cc++++=and
in ^in++++=in
no ^at++++=no
way ^nn++++=way
disappointed ^vbd+++xvbn+=disappointed
his ^pp$+pp3+++=his
critics ^nns++++=critics
or ^cc++++=or
his ^pp$+pp3+++=his
audiences ^nns+nom+++=audiences.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
the ^ati++++=the
trio ^nn++++=trio
journeyed ^vbd+++xvbn+=journeyed
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
stopping ^vbg+++xvbg+=stopping
wherever ^nn+nom+++=wherever
the ^ati++++=the
father ^npt++++=father
felt ^vbd+vprv++xvbn+=felt
that ^tht+vcmp+++=that
his ^pp$+pp3+++=his
son ^nn++++=son's
's ^$++++=EXTRAWORD
fame ^nn++++=fame
might ^md+pos+++=might
be ^vb+be+aux++=be
increased ^vpsv++by+xvbnx+=increased
by ^in++++=by
a ^at++++=a
concert ^nn++++=concert.
. ^zz++++=EXTRAWORD
To ^in++++=To
Paris ^np++++=Paris
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
through ^in++++=through
France ^np++++=France
to ^in++++=to
Switzerland ^np++++=Switzerland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
journeyed ^vbd+++xvbn+=journeyed
homeward ^rb+cnj+++=homeward,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
Salzburg ^np+++??+=Salzburg
in ^in++++=in
November ^nr+nom+++=November
of ^in++++=of
1766 ^cd+date+++=1766,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
great ^jj+atrb+++=great
interest ^nn++++=interest
to ^in++++=to
their ^pp$+pp3+++=their
friends ^nns++++=friends
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
children ^nns++++=children
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
home ^nr++++=home
three ^cd++++=three
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
happy ^jj+atrb+++=happy,
, ^zz++++=EXTRAWORD
hearty ^jj+atrb+++=hearty
boy ^nn++++=boy
and ^cc++++=and
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
all ^abn++++=all
their ^pp$+pp3+++=their
new ^jj+atrb+++=new
worldly ^jj+atrb+++=worldly
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
Old ^jj++++=Old
and ^cc+phrs+++=and
young ^jj++++=young
came ^vbd+++xvbn+=came
to ^to++++=to
bid ^vbi++++=bid
them ^pp3o+pp3+++=them
welcome ^nn++++=welcome,
, ^zz++++=EXTRAWORD
to ^to++++=to
hear ^vbi+vprv+++=hear
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
their ^pp$+pp3+++=their
adventures ^nns++++=adventures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
numerous ^jj+atrb+++=numerous
and ^cc+phrs+++=and
costly ^jj+atrb+++=costly
presents ^nns++++=presents,
, ^zz++++=EXTRAWORD
about ^in++++=about
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
so ^ql++++=so
much ^ap++++=much.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
pretty ^rb++++=pretty
Nannerl ^np+++??+=Nannerl
prettier ^jjr++++=prettier
than ^in++++=than
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Wolfgang ^np++++=Wolfgang,
, ^zz++++=EXTRAWORD
notwithstanding ^rb+cnj+++=notwithstanding
the ^ati++++=the
severe ^jj+atrb+++=severe
illness ^nns+nom+++=illness
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
recently ^rb+tm+++=recently
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
normally ^rb+down+++=normally
well ^rb++++=well
and ^cc++++=and
happy ^jj++++=happy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
as ^ql++++=as
childish ^jj++++=childish
in ^in++++=in
his ^pp$+pp3+++=his
interests ^nns++++=interests
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
become ^vb++++=become
a ^at++++=a
public ^jj+atrb+++=public
idol ^nn++++=idol.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
glad ^jj++++=glad
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
to ^to++++=to
be ^vbi++vrb++=be
at ^rb++++=at
home ^nr++++=home
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
rode ^vbd+++xvbnx+=rode
merrily ^rb++++=merrily
around ^in++++=around
the ^ati++++=the
room ^nn++++=room
on ^in++++=on
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
stick ^nn++++=stick,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
three ^cd++++=three
years ^nns++++=years
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
played ^vpsv++agls+xvbn+=played
with ^in++++=with
his ^pp$+pp3+++=his
favourite ^jjb+atrb+++=favourite
cat ^nn++++=cat
just ^rb+emph+++=just
as ^ql++++=as
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
do ^vb++++=do,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cat ^nn++++=cat
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
well ^jj+pred+++=well
cared ^vbd+++xvbn+=cared
for ^in+ppvb+++=for
in ^in++++=in
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
During ^in++++=During
their ^pp$+pp3+++=their
tour ^nn++++=tour
Wolfgang ^np++++=Wolfgang
had ^vbd+hvd+aux++=had
created ^vprf+++xvbnx+=created
for ^in++++=for
himself ^ppl+pp3+++=himself
an ^at++++=an
imaginary ^jj+atrb+++=imaginary
kingdom ^nn+nom+++=kingdom,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
R ^zz++++=R
cken ^vbd+++xvbn+=cken.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
country ^nn++++=country
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
inhabited ^vpsv++agls+xvbnx+=inhabited
entirely ^rb+amp+++=entirely
by ^in++++=by
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
king ^nn++++=king.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
idea ^nn++++=idea
of ^in++++=of
the ^ati++++=the
place ^nn++++=place
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
distinct ^jj++++=distinct
that ^cs+sub+++=that
a ^at++++=a
friend ^nn++++=friend
had ^md"++pmd"++=had
to ^md+nec+++=to
draw ^vb++++=draw
him ^pp3o+pp3+++=him
a ^at++++=a
map ^nn++++=map
of ^in++++=of
the ^ati++++=the
cities ^nns++++=cities
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
names ^nns++++=names,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
friends ^nns++++=friends
were ^vbd+bed+aux++=were
completely ^rb+amp+splt++=completely
fascinated ^vpsv++agls+xvbnx+=fascinated
to ^to++++=to
hear ^vbi+vprv+++=hear
him ^pp3o+pp3+++=him
talk ^nn++++=talk
of ^in++++=of
his ^pp$+pp3+++=his
droll ^nn+++??+=droll
conceits ^nns+++??+=conceits,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
holding ^nvbg+++xvbg+=holding
them ^pp3o+pp3+++=them
spell ^nn++++=spell-bound
- ^zz++++=EXTRAWORD
bound ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
magic ^nn++++=magic
of ^in++++=of
his ^pp$+pp3+++=his
music ^nn++++=music.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
settled ^vpsv++agls+xvbnx+=settled
down ^rp++++=down
again ^rb+tm+++=again
in ^in++++=in
their ^pp$+pp3+++=their
home ^nr++++=home,
, ^zz++++=EXTRAWORD
Leopold ^np++++=Leopold
Mozart ^np++++=Mozart
began ^vbd+++xvbn+=began
to ^to++++=to
instruct ^vbi++++=instruct
Wolfgang ^np++++=Wolfgang
seriously ^rb++++=seriously
in ^in++++=in
counterpoint ^nn++++=counterpoint,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
be ^vb+be+aux++=be
thoroughly ^rb+amp+splt++=thoroughly
fitted ^vpsv++agls+xvbnx+=fitted
for ^in++++=for
his ^pp$+pp3+++=his
life ^nn++++=life-work,
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
as ^ql++++=as
his ^pp$+pp3+++=his
precocious ^jj+atrb+++=precocious
childhood ^nn+nom+++=childhood
begins ^vbz++++=begins
to ^to++++=to
merge ^vbi++++=merge
into ^in++++=into
young ^jj+atrb+++=young
boyhood ^nn+nom+++=boyhood,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
him ^pp3o+pp3+++=him
working ^jj+++xvbg+=working
indefatigably ^jj++++=indefatigably,
, ^zz++++=EXTRAWORD
working ^jj+++xvbg+=working
with ^in++++=with
fingers ^nns+nom+++=fingers
and ^cc++++=and
with ^in++++=with
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
every ^at++++=every
faculty ^nn++++=faculty
alert ^nn++++=alert,
, ^zz++++=EXTRAWORD
to ^to++++=to
conquer ^vbi++++=conquer
technique ^nn++++=technique
and ^cc++++=and
achieve ^vb++++=achieve
perfection ^nn+nom+++=perfection
in ^in++++=in
his ^pp$+pp3+++=his
art ^nn++++=art.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
summer ^nn++++=summer
of ^in++++=of
1767 ^cd+date+++=1767,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Mozart ^np++++=Mozart
was ^vbd+bedz+vrb++=was
eleven ^cd++++=eleven,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
started ^vbd+++xvbnx+=started
on ^in++++=on
a ^at++++=a
new ^jj+atrb+++=new
tour ^nn++++=tour,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
the ^ati++++=the
little ^ap++++=little
prodigy ^nn+++??+=prodigy
composed ^vwbn+++xvbn+=composed
four ^cd++++=four
pianoforte ^nn+++??+=pianoforte
concerti ^&fw++++=concerti,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
interesting ^jj+pred+++=interesting
on ^in++++=on
account ^nn++++=account
of ^in++++=of
certain ^jj+atrb+++=certain
harmonic ^nn++++=harmonic
effects ^nns++++=effects
produced ^vbd+++xvbn+=produced
in ^in++++=in
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
second ^od++++=second
tour ^nn++++=tour,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
fortunate ^jj+atrb+++=fortunate
one ^pn++++=one,
, ^zz++++=EXTRAWORD
for ^in++++=for
during ^in++++=during
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
both ^abx++++=both
Nannerl ^np+++??+=Nannerl
and ^cc++++=and
Wolfgang ^np++++=Wolfgang
were ^vbd+bed+vrb++=were
stricken ^jj+pred+++=stricken
with ^in++++=with
small ^jj++++=small-pox,
- ^zz++++=EXTRAWORD
pox ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
took ^vbd+++xvbn+=took
a ^at++++=a
very ^ql+amp+++=very
violent ^jj+atrb+++=violent
form ^nn++++=form,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
poor ^jj+atrb+++=poor
Wolfgang ^np++++=Wolfgang
lay ^vbd+++xvbn+=lay
blind ^jj++++=blind
for ^in++++=for
nine ^cd++++=nine
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
convalescence ^nn+nom+++=convalescence
was ^vbd+bedz+vrb++=was
slow ^jj+pred+++=slow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hard ^jj++++=hard
to ^to+jcmp+++=to
bear ^vbi+vprv+++=bear.
. ^zz++++=EXTRAWORD
Again ^rb+tm+++=Again
they ^pp3a+pp3+++=they
visited ^vbd+++xvbnx+=visited
Vienna ^np++++=Vienna,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^rn+pl+++=there
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
things ^nns++++=things
greatly ^rb+amp+++=greatly
changed ^jj+++xvbn+=changed,
, ^zz++++=EXTRAWORD
for ^in++++=for
while ^cs+sub+++=while
in ^in++++=in
former ^ap++++=former
days ^nns++++=days,
, ^zz++++=EXTRAWORD
music ^nn++++=music
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
feature ^nn++++=feature
of ^in++++=of
great ^jj+atrb+++=great
social ^jj+atrb+++=social
gatherings ^nns+++??+=gatherings,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
the ^ati++++=the
only ^ap+down+++=only
pleasure ^nn++++=pleasure
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
balls ^nns++++=balls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
absolutely ^rb+amp+++=absolutely
no ^at++++=no
interest ^nn++++=interest
shown ^vbd+vprv++xvbn+=shown
in ^in++++=in
Mozart ^np++++=Mozart,
, ^zz++++=EXTRAWORD
the ^ati++++=the
child ^nn++++=child
prodigy ^nn+++??+=prodigy.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
much ^rb++++=much
jealousy ^nn++++=jealousy
was ^vbd+bedz+aux++=was
shown ^vpsv++agls+xvbnx+=shown
towards ^in++++=towards
the ^ati++++=the
Mozarts ^np+++??+=Mozarts
by ^in++++=by
other ^ap++++=other
musicians ^nns++++=musicians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
Wolfgang ^np++++=Wolfgang
set ^jj+++xvbn+=set
to ^to+jcmp+++=to
work ^vb++++=work
on ^in++++=on
an ^at++++=an
opera ^nn++++=opera,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
used ^vpsv++agls+xvbnx+=used
with ^in++++=with
the ^ati++++=the
text ^nn++++=text
written ^vbd+++xvbn+=written
for ^in++++=for
him ^pp3o+pp3+++=him
by ^in++++=by
the ^ati++++=the
Viennese ^np+nom++??+=Viennese
dramatic ^jj+atrb+++=dramatic
poet ^nn++++=poet
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
already ^rb++splt++=already
completed ^vprf+++xvbnx+=completed
a ^at++++=a
score ^nn++++=score
of ^in++++=of
six ^cd++++=six
hundred ^cd++++=hundred
and ^cc++++=and
fourteen ^cd++++=fourteen
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
Wolfgang ^np++++=Wolfgang
had ^vb+hv+aux++=had
not ^xnot++not++=not
written ^vprf+++xvbn+=written
it ^pp3+it+++=it
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
composition ^nn+nom+++=composition.
. ^zz++++=EXTRAWORD
To ^to++++=To
contradict ^vbi++++=contradict
these ^dt+dem+++=these
statements ^nns+nom+++=statements,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
several ^ap++++=several
prominent ^jj+atrb+++=prominent
critics ^nns++++=critics,
, ^zz++++=EXTRAWORD
Leopold ^np++++=Leopold
opened ^vbd+++xvbn+=opened
a ^at++++=a
volume ^nn++++=volume
of ^in++++=of
Metastatio ^np+++??+=Metastatio,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
first ^od++++=first
aria ^nn++++=aria,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
placed ^vbd+++xvbnx+=placed
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
Wolfgang ^np++++=Wolfgang,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^in++++=before
that ^dt+dem+++=that
assemblage ^nn+nom+++=assemblage
of ^in++++=of
critical ^jj+atrb+++=critical
older ^jjr+atrb+++=older
men ^nns++++=men,
, ^zz++++=EXTRAWORD
the ^ati++++=the
boy ^nn++++=boy
seized ^vbd+++xvbn+=seized
a ^at++++=a
pen ^nn++++=pen
and ^cc++++=and
wrote ^vpsv++agls+xvbn+=wrote
without ^in++++=without
hesitation ^nn+nom+++=hesitation,
, ^zz++++=EXTRAWORD
music ^nn++++=music
to ^in++++=to
the ^ati++++=the
aria ^nn++++=aria
for ^in++++=for
several ^ap++++=several
instruments ^nns+nom+++=instruments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
such ^abl++++=such
incredible ^jj+atrb+++=incredible
swiftness ^nns+nom+++=swiftness
that ^tht+rel+obj++=that
the ^ati++++=the
company ^nn++++=company
watching ^vwbg+++xvbg+=watching
him ^pp3o+pp3+++=him
were ^vbd+bed+vrb++=were
dumb ^jj+pred+++=dumb
with ^in++++=with
amazement ^nn+nom+++=amazement
at ^in++++=at
his ^pp$+pp3+++=his
ability ^nn+nom+++=ability.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
matters ^nns+nom+++=matters
did ^vbd+dod+aux++=did
not ^xnot++not++=not
grow ^vb++++=grow
brighter ^jjr++++=brighter
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
