Richard ^np++++=Richard
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
large ^jj+atrb+++=large
sum ^nn++++=sum.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
Countess ^nns+nom+++=Countess
Zichy ^np+++??+=Zichy
pointed ^vbd+++xvbn+=pointed
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
bears ^nns++++=bears
as ^ql++++=as
bears ^vbz++++=bears,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
cheap ^jj+pred+++=cheap.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
just ^rb+emph+++=just
a ^at++++=a
bear ^nn++++=bear
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
could ^md+pos+++=could
go ^vb++++=go
to ^in++++=to
Pike ^nns++++=Pike
County ^nn++++=County,
, ^zz++++=EXTRAWORD
Pennsylvania ^np+++??+=Pennsylvania,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trap ^nn++++=trap
one ^pn++++=one.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
paying ^vbg+++xvbgx+=paying
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
time ^nn++++=time
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
in ^in++++=in
educating ^xvbg+++xvbg+=educating
the ^ati++++=the
Bruno ^np+++??+=Bruno
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
added ^vpsv++agls+xvbn+=added
to ^in++++=to
that ^dt+dem+++=that
the ^ati++++=the
time ^nn++++=time
during ^in++++=during
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
must ^md+nec+++=must
now ^rn+tm+splt++=now
remain ^vb++++=remain
idle ^jj++++=idle
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
educated ^vbd+++xvbnx+=educated
another ^dt++++=another
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick
knew ^vbd+vprv++xvbn+=knew
for ^in++++=for
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
paying ^vbg+++xvbgx+=paying.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
rescuing ^xvbg+++xvbg+=rescuing
unwilling ^jj+atrb+++=unwilling
slaves ^nns++++=slaves
from ^in++++=from
bondage ^nn+nom+++=bondage.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in"++++=to
their ^pp$+pp3+++=their
expensive ^jj+atrb+++=expensive
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
returned ^vbd+++xvbnx+=returned
to ^in++++=to
a ^at++++=a
state ^nn++++=state
of ^in++++=of
ignorance ^nn+nom+++=ignorance
as ^in++++=as
rapidly ^rb++++=rapidly
as ^ql++++=as
did ^vbd+dod+vrb++=did
most ^ql+emph+++=most
college ^npl++++=college
graduates ^nns+nom+++=graduates
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
satisfied ^vpsv++agls+xvbnx+=satisfied.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
days ^nns++++=days
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
her ^pp$+pp3+++=her
engagement ^nn+nom+++=engagement
at ^in++++=at
the ^ati++++=the
music ^nn++++=music
hall ^npl++++=hall
closed ^vbd+++xvbn+=closed,
, ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Zichy ^np+++??+=Zichy
reluctantly ^rb++++=reluctantly
turned ^vbd+++xvbn+=turned
over ^in++++=over
her ^pp$+pp3+++=her
pets ^nns++++=pets
to ^in++++=to
their ^pp$+pp3+++=their
new ^jj+atrb+++=new
manager ^nn++++=manager.
. ^zz++++=EXTRAWORD
With ^in++++=With
Ikey ^np+++??+=Ikey
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
especially ^rb++++=especially
loath ^jj+pred+++=loath
to ^to+jcmp+++=to
part ^vb++++=part.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
never ^rb++splt++=never
get ^vb++++=get
one ^pn++++=one
like ^in++++=like
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
walled ^jj+atrb+++=walled
Ikey ^np+++??+=Ikey
is ^vbz+bez+vrb++=is
the ^ati++++=the
funniest ^jjt++++=funniest
four ^cd++++=four-legged
- ^zz++++=EXTRAWORD
legged ^vbd+++xvbn+=EXTRAWORD
clown ^vbd+++xvbn+=clown
in ^in++++=in
America ^np++++=America.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
natural ^jj++++=natural-born
- ^zz++++=EXTRAWORD
born ^vbd+++xvbn+=EXTRAWORD
comedian ^nn++++=comedian.
. ^zz++++=EXTRAWORD
Folks ^nns++++=Folks
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
learn ^vb+vprv+++=learn
him ^pp3o+pp3+++=him
those ^dt+dem+++=those
tricks ^nns++++=tricks,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
his ^pp$+pp3+++=his
own ^ap++++=own
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
last ^rb++++=last
week ^nn++++=week
we ^pp1a+pp1+++=we
was ^vbd+bedz+aux++=was
playing ^vbg+++xvbgx+=playing
Paoli ^np++++=Paoli's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
Bridgeport ^np+++??+=Bridgeport,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
putting ^vbg+++xvbgx+=putting
Bruno ^np+++??+=Bruno
through ^in++++=through
the ^ati++++=the
hoops ^nns++++=hoops,
, ^zz++++=EXTRAWORD
Ikey ^np+++??+=Ikey
runs ^nns++++=runs
to ^in++++=to
the ^ati++++=the
stage ^nn++++=stage-box
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
and ^cc++++=and
grabs ^nns+++??+=grabs
a ^at++++=a
pound ^nn++++=pound
of ^in++++=of
caramels ^nns+++??+=caramels
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
lap ^nn++++=lap-and
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
swallows ^nns+++??+=swallows
the ^ati++++=the
box ^nn++++=box.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Paul ^np++++=Paul,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
trombone ^nn++++=trombone
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
worn ^vbd+++xvbn+=worn
a ^at++++=a
wig ^nn++++=wig,
, ^zz++++=EXTRAWORD
Ikey ^np+++??+=Ikey
would ^md+prd+++=would
have ^vb+hv+aux++=have
scalped ^vprf+++xvbnx+=scalped
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Say ^vb+vpub+++=Say,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
a ^at++++=a
scream ^vb++++=scream!
! ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
audience ^nn+nom+++=audience
see ^vb+vprv+tht0++=see
the ^ati++++=the
trombone ^nn++++=trombone
snatched ^vbd+++xvbn+=snatched
bald ^jj++++=bald-headed,
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
him ^pp3o+pp3+++=him
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
get ^vbi++++=get
back ^rb+phrv+++=back
his ^pp$+pp3+++=his
wig ^nn++++=wig,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ikey ^np+++??+=Ikey
chewing ^vwbg+++xvbg+=chewing
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
went ^vbd+++xvbnx+=went
crazy ^jj++++=crazy.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
learn ^vb+vprv+++=learn
a ^at++++=a
bear ^nn++++=bear
tricks ^nns++++=tricks
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
genius ^nn++++=genius.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
folks ^nns++++=folks
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
taught ^vbd+vsua++xvbnx+=taught
him ^pp3o+pp3+++=him
to ^in++++=to
act ^nn++++=act
like ^in++++=like
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
intoxicated ^vpsv++agls+xvbnx+=intoxicated,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
picked ^vbd+++xvbnx+=picked
that ^dt+pdem+++=that
up ^rp++++=up,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
all ^abn++++=all
by ^in++++=by
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
through ^in++++=through
watching ^xvbg+++xvbg+=watching
my ^pp$+pp1+++=my
husband ^nn++++=husband.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
Ikey ^np++++=Ikey's
's ^$++++=EXTRAWORD
very ^ql+amp+++=very
fond ^jj++++=fond
of ^in++++=of
beer ^nn++++=beer
on ^in++++=on
his ^pp$+pp3+++=his
own ^ap++++=own
account ^nn++++=account.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
stop ^nn++++=stop
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stage ^nn++++=stage
hands ^nns++++=hands
would ^md+prd+++=would
be ^vb+be+aux++=be
always ^rb++splt++=always
slipping ^vbg+++xvbgx+=slipping
him ^pp3o+pp3+++=him
drinks ^nns++++=drinks.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
you ^pp2+pp2+++=you
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
give ^vb++++=give
him ^pp3o+pp3+++=him
none ^rb++++=none."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Herrick ^np+++??+=Herrick.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bears ^nns++++=bears,
, ^zz++++=EXTRAWORD
Ikey ^np+++??+=Ikey
in ^in++++=in
one ^cd1++++=one
cage ^nn++++=cage
and ^cc++++=and
Bruno ^np+++??+=Bruno
and ^cc++++=and
Clara ^np++++=Clara
in ^in++++=in
another ^dt++++=another,
, ^zz++++=EXTRAWORD
travelled ^xvbn+++xvbn+=travelled
by ^in++++=by
express ^nn++++=express
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station
nearest ^jjt++++=nearest
the ^ati++++=the
Herrick ^np+++??+=Herrick
estate ^nn++++=estate.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
transferred ^vpsv++agls+xvbnx+=transferred
to ^in++++=to
a ^at++++=a
farm ^nn++++=farm
wagon ^nn++++=wagon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
grumbling ^jj+++xvbg+=grumbling
and ^cc++++=and
growling ^nn+nom+++=growling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
Ikey ^np+++??+=Ikey
howling ^vwbg+++xvbg+=howling
like ^in++++=like
an ^at++++=an
unspanked ^jj+atrb++xvbn+=unspanked
child ^nn++++=child,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
conveyed ^vpsv++agls+xvbnx+=conveyed
to ^in++++=to
the ^ati++++=the
game ^nn++++=game
preserve ^nn++++=preserve.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
only ^rb+down+++=only
gate ^nn++++=gate
that ^tht+rel+subj++=that
entered ^vprf+++xvbn+=entered
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Kelly ^np+++??+=Kelly
and ^cc++++=and
Jackson ^np++++=Jackson
and ^cc++++=and
a ^at++++=a
specially ^rb++++=specially
invited ^vbd+++xvbn+=invited
house ^npl++++=house
party ^nn++++=party
of ^in++++=of
youths ^nns++++=youths
and ^cc++++=and
maidens ^nns++++=maidens
were ^vbd+bed+aux++=were
gathered ^vpsv++agls+xvbnx+=gathered
to ^to++++=to
receive ^vbi++++=receive
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
At ^rb++++=At
a ^at++++=a
greater ^jjr+atrb+++=greater
distance ^nn+nom+++=distance
stood ^vbd+++xvbn+=stood
all ^abn++++=all
of ^in++++=of
the ^ati++++=the
servants ^nns+nom+++=servants
and ^cc++++=and
farm ^nn++++=farm
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
wagon ^nn++++=wagon
backed ^vbd+++xvbn+=backed
against ^in++++=against
the ^ati++++=the
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
Ikey ^np++++=Ikey's
's ^$++++=EXTRAWORD
cage ^nn++++=cage
opening ^vwbg+++xvbg+=opening
against ^in++++=against
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
entire ^jjb+atrb+++=entire
audience ^nn+nom+++=audience,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
accord ^nn++++=accord,
, ^zz++++=EXTRAWORD
moved ^j+++xvbn+=moved
solidly ^rb++++=solidly
to ^in++++=to
the ^ati++++=the
rear ^nn++++=rear.
. ^zz++++=EXTRAWORD
Herrick ^np+++??+=Herrick,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
pleased ^jj+++xvbn+=pleased
but ^cc++++=but
somewhat ^rb+down+++=somewhat
nervous ^jj+atrb+++=nervous
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
mounted ^j+++xvbn+=mounted
the ^ati++++=the
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
could ^md+pos+++=could
unlock ^vb++++=unlock
the ^ati++++=the
cage ^nn++++=cage
Kelly ^np+++??+=Kelly
demanded ^vbd+vsua++xvbn+=demanded
to ^to++++=to
be ^vbi+vbi+aux++=be
heard ^vpsv++agls+xvbnx+=heard.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
insisted ^vbd+vpub+tht0+xvbnx+=insisted
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
custom ^nn++++=custom
of ^in++++=of
all ^abn++++=all
great ^jj+atrb+++=great
artists ^nns+nom+++=artists,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bears ^nns++++=bears
should ^md+nec+++=should
give ^vb++++=give
a ^at++++=a
farewell ^nn++++=farewell
performance ^nn+nom+++=performance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
begged ^vbd+++xvbnx+=begged
that ^cs+sub+++=that
Bruno ^np+++??+=Bruno
and ^cc++++=and
Clara ^np++++=Clara
might ^md+pos+++=might
be ^vb+be+aux++=be
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
dance ^vbi++++=dance
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pointed ^vbd+++xvbnx+=pointed
out ^rp+pl+++=out
that ^cs+sub+++=that
this ^dt+pdem+++=this
would ^md+prd+++=would
be ^vb+be+vrb++=be
the ^ati++++=the
last ^jj+atrb+++=last
time ^nn++++=time
they ^pp3a+pp3+++=they
could ^md+pos+++=could
listen ^vb++++=listen
to ^in++++=to
the ^ati++++=the
strains ^nns++++=strains
of ^in++++=of
the ^ati++++=the
" ^zz++++="Merry
merry ^jj+atrb+++=EXTRAWORD
Widow ^nn++++=Widow
Waltz ^nn++++=Waltz."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
upon ^in++++=upon
everybody ^pn++++=everybody
present ^jj++++=present
to ^in++++=to
whistle ^nn++++=whistle
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
suggestion ^nn+nom+++=suggestion
of ^in++++=of
an ^at++++=an
open ^jj++++=open-air
- ^zz++++=EXTRAWORD
air ^nn++++=EXTRAWORD
performance ^nn+nom+++=performance
was ^vbd+bedz+aux++=was
received ^vpsv++agls+xvbnx+=received
coldly ^rb++++=coldly.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
moment ^nn++++=moment
no ^at++++=no
one ^cd1++++=one
seemed ^vbd+seem++xvbn+=seemed
able ^jj++++=able
to ^to+jcmp+++=to
pucker ^vb++++=pucker
his ^pp$+pp3+++=his
lips ^nns++++=lips
into ^in++++=into
a ^at++++=a
whistle ^nn++++=whistle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
even ^rb++++=even
explained ^vbd+vpub++xvbn+=explained
that ^tht+vcmp+++=that
with ^in++++=with
that ^dt+dem+++=that
famous ^jj+atrb+++=famous
waltz ^nn++++=waltz
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
unfamiliar ^jj+pred+++=unfamiliar.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
girl ^nn++++=girl
attained ^vbd+++xvbn+=attained
an ^at++++=an
instant ^jj+atrb+++=instant
popularity ^nn+nom+++=popularity
by ^in++++=by
pointing ^xvbg+++xvbg+=pointing
out ^rp+pl+++=out
that ^cs+sub+++=that
the ^ati++++=the
bears ^nns++++=bears
could ^md+pos+++=could
waltz ^vb++++=waltz
just ^rb+emph+++=just
as ^rb++++=as
well ^rb++++=well
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
fence ^nn++++=fence
as ^in++++=as
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Kelly ^np+++??+=Kelly,
, ^zz++++=EXTRAWORD
cheated ^xvbn+++xvbn+=cheated
of ^in++++=of
his ^pp$+pp3+++=his
free ^jj+atrb+++=free
performance ^nn+nom+++=performance,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
begged ^vbd+++xvbn+=begged
that ^dt+dem+++=that
before ^cs+sub+++=before
Herrick ^np+++??+=Herrick
condemned ^vbd+++xvbn+=condemned
the ^ati++++=the
bears ^nns++++=bears
to ^to++++=to
starve ^vbi++++=starve
on ^in++++=on
acorns ^nns+++??+=acorns,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
should ^md+nec+++=should
give ^vb++++=give
them ^pp3o+pp3+++=them
a ^at++++=a
farewell ^nn++++=farewell
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Herrick ^np+++??+=Herrick,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
slightly ^rb+down+splt++=slightly
rattled ^vpsv++agls+xvbnx+=rattled,
, ^zz++++=EXTRAWORD
replied ^j+++xvbn+=replied
excitedly ^rb++++=excitedly
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
ransomed ^vprf+++xvbn+=ransomed
the ^ati++++=the
animals ^nns+nom+++=animals
only ^rb+down+++=only
to ^in++++=to
degrade ^nn+++??+=degrade
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
argument ^nn+nom+++=argument
was ^vbd+bedz+aux++=was
interrupted ^vpsv++by+xvbnx+=interrupted
by ^in++++=by
the ^ati++++=the
French ^jj+atrb+++=French
chef ^nn++++=chef
falling ^vwbg+++xvbg+=falling
out ^rp+pl+++=out
of ^in++++=of
a ^at++++=a
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
obtain ^vb++++=obtain
a ^at++++=a
better ^jjr+atrb+++=better
view ^nn++++=view.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
explained ^vpsv++agls+xvbnx+=explained
to ^in++++=to
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
a ^at++++=a
bear ^nn++++=bear
also ^rb++++=also
could ^md+pos+++=could
climb ^vb++++=climb
a ^at++++=a
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remembered ^vbd+vprv+tht0+xvbnx+=remembered
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
his ^pp$+pp3+++=his
oven ^nn++++=oven
door ^nn++++=door
open ^nn++++=open.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
departure ^nn++++=departure
reminded ^vbd+vsua++xvbn+=reminded
other ^ap++++=other
servants ^nns+nom+++=servants
of ^in++++=of
duties ^nns++++=duties
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
neglected ^vprf+++xvbnx+=neglected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
guests ^nns++++=guests,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
on ^in++++=on
remembering ^xvbg+++xvbg+=remembering
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
in ^rb+phrv+++=in
a ^at++++=a
long ^jj++++=long-distance
- ^zz++++=EXTRAWORD
distance ^nn+nom+++=EXTRAWORD
call ^nn++++=call,
, ^zz++++=EXTRAWORD
hastened ^j+++xvbn+=hastened
to ^in++++=to
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Jackson ^np++++=Jackson
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
perhaps ^rb++++=perhaps
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
better ^jjr++++=better
all ^abn++++=all
return ^vb++++=return
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
so ^ql++++=so
many ^ap++++=many
people ^nns++++=people
might ^md+pos+++=might
frighten ^vb++++=frighten
the ^ati++++=the
bears ^nns++++=bears.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
moment ^nn++++=moment
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
Ikey ^np+++??+=Ikey
emitted ^vbd+++xvbn+=emitted
a ^at++++=a
hideous ^jj+atrb+++=hideous
howl ^nn++++=howl,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
of ^in++++=of
joy ^nn++++=joy
or ^cc++++=or
rage ^nn++++=rage
no ^at++++=no
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
few ^ap++++=few
remained ^jj+++xvbn+=remained
to ^to++++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
until ^cs+sub+++=until
Herrick ^np+++??+=Herrick
had ^vbd+hvd+aux++=had
investigated ^vprf+++xvbnx+=investigated
and ^cc+phrs+++=and
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
Ikey ^np+++??+=Ikey
was ^vbd+bedz+vrb++=was
still ^rb++++=still
behind ^in+pl+++=behind
the ^ati++++=the
bars ^nns++++=bars
that ^tht+rel+obj++=that
the ^ati++++=the
house ^nn++++=house
party ^nn++++=party
cautiously ^rb++++=cautiously
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
party ^nn++++=party
then ^rn+tm+++=then
filed ^vbd+++xvbn+=filed
a ^at++++=a
vigorous ^jj+atrb+++=vigorous
protest ^nn++++=protest.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
members ^nns+nom+++=members,
, ^zz++++=EXTRAWORD
with ^in++++=with
Jackson ^np++++=Jackson
as ^in++++=as
spokesman ^nn+nom+++=spokesman,
, ^zz++++=EXTRAWORD
complained ^vb+++xvbn+=complained
that ^tht+vcmp+++=that
Herrick ^np+++??+=Herrick
was ^vbd+bedz+aux++=was
relying ^vbg+++xvbgx+=relying
entirely ^rb+amp+++=entirely
too ^ql++++=too
much ^ap++++=much
on ^in++++=on
his ^pp$+pp3+++=his
supposition ^nn+nom+++=supposition
that ^tht+vcmp+++=that
the ^ati++++=the
bears ^nns++++=bears
would ^md+prd+++=would
be ^vb+be+vrb++=be
anxious ^jj+pred+++=anxious
to ^to+jcmp+++=to
enter ^vbi++++=enter
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
Jackson ^np++++=Jackson
pointed ^vbd+++xvbn+=pointed
out ^rp+pl+++=out
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
they ^pp3a+pp3+++=they
not ^xnot++not++=not
care ^vb+vprv+++=care
to ^to+vcmp+++=to
do ^vbi++++=do
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
