No ^at++++=No
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
write ^vbi++++=write.
. ^zz++++=EXTRAWORD
So ^ql++++=So
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
person ^nn++++=person
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
is ^vbz+bez+vrb++=is
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
important ^jj+atrb+++=important
success ^nns+nom+++=success
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
important ^jj+atrb+++=important
money ^nn++++=money
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
money ^nn++++=money.
. ^zz++++=EXTRAWORD
A ^at++++=A
whole ^jj+atrb+++=whole
lot ^nn++++=lot
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
important ^jj+atrb+++=important
debts ^nns++++=debts
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
are ^vb+ber+vrb++=are
my ^pp$+pp1+++=my
debts ^nns++++=debts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
of ^in++++=of
you ^pp2+pp2+++=you
and ^cc++++=and
your ^pp$+pp2+++=your
success ^nns+nom+++=success
and ^cc++++=and
your ^pp$+pp2+++=your
money ^nn++++=money
and ^cc++++=and
your ^pp$+pp2+++=your
debts ^nns++++=debts.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
not ^xnot++not++=not
near ^in+pl+++=near
fifty ^cd++++=fifty
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
nearer ^rbr++++=nearer
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whatever ^nn+nom+++=whatever
your ^pp$+pp2+++=your
age ^nn++++=age
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you
that ^dt+dem+++=that
chasing ^vbg+++xvbg+=chasing
after ^cs+sub+++=after
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
is ^vbz+bez+vrb++=is
mighty ^jj+atrb+++=mighty
poor ^jj+atrb+++=poor
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
The ^ati++++=The
time ^nn++++=time
to ^to++++=to
investigate ^nn+nom+++=investigate
interesting ^jj++++=interesting
by ^in++++=by-paths
- ^zz++++=EXTRAWORD
paths ^nns++++=EXTRAWORD
is ^vbz+bez+vrb++=is
when ^wrb+who+++=when
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
on ^in++++=on
a ^at++++=a
vacation ^nn+nom+++=vacation,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
New ^jj+atrb+++=New
York ^np++++=York-Chicago
- ^zz++++=EXTRAWORD
chicago ^np++++=EXTRAWORD
Express ^jjb++++=Express
gets ^vbz++++=gets
there ^rn+pl+++=there
by ^in++++=by
staying ^nn++++=staying
on ^in++++=on
the ^ati++++=the
track ^nn++++=track.
. ^zz++++=EXTRAWORD
The ^ati++++=The
minute ^nn++++=minute
it ^pp3+it+++=it
starts ^vbz++++=starts
climbing ^nvbg+++xvbg+=climbing
some ^dti++++=some
interesting ^jj+atrb+++=interesting
country ^nn++++=country
lane ^nn++++=lane
after ^cs+sub+++=after
daisies ^nns++++=daisies
and ^cc++++=and
buttercups ^nns++++=buttercups
the ^ati++++=the
coroners ^nns+nom+++=coroners
begin ^vb++++=begin
to ^to++++=to
gather ^vbi+vprv+++=gather
and ^cc++++=and
the ^ati++++=the
claim ^nn++++=claim
agents ^nns++++=agents
flock ^nn++++=flock
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
slow ^jj++++=slow
but ^cc+phrs+++=but
sure ^jj+atrb+++=sure
old ^jj+atrb+++=old
freight ^nn++++=freight
train ^nn++++=train,
, ^zz++++=EXTRAWORD
plugging ^jj+++xvbg+=plugging
along ^in++++=along
on ^in++++=on
the ^ati++++=the
next ^ap++++=next
track ^nn++++=track
but ^cc++++=but
sticking ^vbg+++xvbg+=sticking
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
toots ^nns+++??+=toots
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
times ^nns++++=times
and ^cc++++=and
passes ^nns++++=passes
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
ever ^rb++++=ever
the ^ati++++=the
boss ^nn++++=boss
of ^in++++=of
a ^at++++=a
school ^nn++++=school
board ^nn++++=board
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
insist ^vb+vpub+++=insist
that ^tht+vcmp+++=that
no ^at++++=no
child ^nn++++=child
graduate ^nn+nom+++=graduate
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
can ^md+pos+++=can
foot ^vb++++=foot
correctly ^rb++++=correctly
a ^at++++=a
pile ^nn++++=pile
of ^in++++=of
numbers ^nns+nom+++=numbers
four ^cd++++=four
deep ^jj++++=deep
and ^cc++++=and
forty ^cd++++=forty
high ^jj++++=high,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+vrb++=do
it ^pp3+it+++=it
the ^ati++++=the
first ^od++++=first
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
bookkeeper ^nn++++=bookkeeper
in ^in++++=in
my ^pp$+pp1+++=my
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
footed ^vprf+++xvbnx+=footed
a ^at++++=a
column ^nn++++=column
of ^in++++=of
figures ^nns++++=figures
twenty ^cd++++=twenty
times ^nns++++=times
and ^cc++++=and
got ^vbd+++xvbn+=got
ten ^cd++++=ten
different ^jj+atrb+++=different
results ^nns++++=results.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
go ^vb++++=go
up ^rp++++=up
a ^at++++=a
column ^nn++++=column
of ^in++++=of
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
starting ^nvbg+++xvbg+=starting
like ^in++++=like
a ^at++++=a
race ^nn++++=race
horse ^nn++++=horse--"Seven
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
and ^cc++++=and
six ^cd++++=six
are ^vb+ber+vrb++=are
thirteen ^cd++++=thirteen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
five ^cd++++=five
are ^vb+ber+vrb++=are
eighteen ^cd++++=eighteen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
are ^vb+ber+vrb++=are
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
a ^at++++=a
stamp ^nn++++=stamp
on ^in++++=on
the ^ati++++=the
letter ^nn++++=letter
I ^pp1a+pp1+++=I
mailed ^vbd+++xvbnx+=mailed
this ^dt+dem+++=this
morning ^nn++++=morning--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
wonder ^vb++++=wonder
if ^cs+cnd+++=if
Bacon ^np++++=Bacon
wrote ^vbd+vprv++xvbn+=wrote
Shakespeare ^np++++=Shakespeare's
's ^$++++=EXTRAWORD
plays ^nns++++=plays--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
wonder ^vb++++=wonder
if ^cs+cnd+++=if
a ^at++++=a
bomb ^nn++++=bomb
from ^in++++=from
an ^at++++=an
airplane ^nn++++=airplane
would ^md+prd+++=would
go ^vb++++=go
through ^in++++=through
from ^in++++=from
the ^ati++++=the
roof ^nn++++=roof
of ^in++++=of
my ^pp$+pp1+++=my
house ^nn++++=house
to ^in++++=to
the ^ati++++=the
cellar ^nn++++=cellar--cellar--cellar--well,
-- ^--+clp+++=EXTRAWORD
cellar ^nn++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
cellar ^nn++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
glad ^jj+pred+++=glad
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
eight ^cd++++=eight
tons ^nns++++=tons
of ^in++++=of
coal ^nn++++=coal
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
get ^vb++++=get
more ^rbr++++=more
in ^in++++=in
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
six ^cd++++=six----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
begin ^vb++++=begin
at ^rb++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
again ^rb+tm+++=again
with ^in++++=with
" ^zz++++="Seven
seven ^cd++++=EXTRAWORD
and ^cc++++=and
six ^cd++++=six
are ^vb+ber+vrb++=are
thirteen ^cd++++=thirteen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
five ^cd++++=five
are ^vb+ber+vrb++=are
eighteen ^cd++++=eighteen----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
reason ^nn++++=reason
children ^nns++++=children
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
their ^pp$+pp3+++=their
examples ^nns++++=examples
right ^nn++++=right
in ^in++++=in
school ^nn++++=school
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
concentrate ^nn+nom+++=concentrate
on ^in++++=on
the ^ati++++=the
matter ^nn++++=matter
in ^in++++=in
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
reason ^nn++++=reason
men ^nns++++=men
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
get ^vb++++=get
their ^pp$+pp3+++=their
lives ^nns++++=lives
right ^jj++++=right
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
concentrate ^nn+nom+++=concentrate
on ^in+cmpx+++=on
the ^in"++++=the
matter ^in"++++=matter
of ^in"++++=of
making ^xvbg+++xvbg+=making
good ^jj++++=good
at ^in++++=at
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
know ^vb+vprv+++=know
is ^vbz+bez+vrb++=is
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
their ^pp$+pp3+++=their
lives ^nns++++=lives--success.
-- ^--+clp+++=EXTRAWORD
success ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
stop ^vb++++=stop
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
who ^whp+who+++=who
are ^vb+ber+vrb++=are
not ^xnot++not++=not
successes ^nns+nom+++=successes,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
who ^whp+who+whq++=who
might ^md+pos+++=might
be ^vb+be+vrb++=be
successes ^nns+nom+++=successes,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+tht0++=find
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
goat ^nn++++=goat-feather
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
gatherers ^nns+nom+++=gatherers.
. ^zz++++=EXTRAWORD
Anything ^pn++++=Anything
that ^dt+pdem+++=that
leads ^vbz++++=leads
a ^at++++=a
man ^nn++++=man
aside ^rp++++=aside
from ^in++++=from
the ^ati++++=the
straight ^jj+atrb+++=straight
path ^nn++++=path
to ^in++++=to
his ^pp$+pp3+++=his
goal ^nn++++=goal
is ^vbz+bez+vrb++=is
a ^at++++=a
goat ^nn++++=goat-feather.
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Every ^at++++=Every
useless ^jj+atrb+++=useless
side ^nn++++=side
line ^nn++++=line
is ^vbz+bez+vrb++=is
a ^at++++=a
goat ^nn++++=goat-feather.
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Every ^at++++=Every
unnecessary ^jj+atrb+++=unnecessary
distraction ^nn+nom+++=distraction
is ^vbz+bez+vrb++=is
a ^at++++=a
goat ^nn++++=goat-feather.
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nine ^cd++++=Nine
tenths ^nns++++=tenths
of ^in++++=of
the ^ati++++=the
things ^nns++++=things
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
are ^vb+ber+vrb++=are
goat ^nn++++=goat-feathers.
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind
telling ^vwbg+++xvbg+=telling
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
consider ^nn+nom+++=consider
myself ^ppl+pp1+++=myself
a ^at++++=a
very ^ap+amp+++=very,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
wonderful ^jj+atrb+++=wonderful
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
but ^cc++++=but
a ^at++++=a
most ^ql+emph+++=most
remarkable ^jj+atrb+++=remarkable
man ^nn++++=man
could ^md+pos+++=could
spend ^vb++++=spend
so ^ql++++=so
much ^ap++++=much
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
goat ^nn++++=goat-feather
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
groves ^np++++=groves
gathering ^vwbg+++xvbg+=gathering
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
and ^cc++++=and
still ^rb++++=still
keep ^vb++++=keep
his ^pp$+pp3+++=his
family ^nn++++=family
from ^in++++=from
starvation ^nn+nom+++=starvation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
actually ^rb+amp+++=actually
gasp ^nn++++=gasp
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
what ^wdt+who+whcl++=what
a ^at++++=a
great ^jj+atrb+++=great
man ^nn++++=man
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
stuck ^vprf+++xvbnx+=stuck
to ^in++++=to
business ^nns+nom+++=business
instead ^rb+cnj+++=instead
of ^in++++=of
being ^nn+nn+aux++=being
drawn ^vwbn+++xvbn+=drawn
aside ^rp++++=aside
by ^in++++=by
every ^at++++=every
sweet ^jj+atrb+++=sweet
odor ^nn++++=odor
and ^cc++++=and
pleasant ^jj+atrb+++=pleasant
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
actually ^rb+amp+++=actually
swear ^vb+vpub++xvbn+=swear
when ^wrb+who+whcl++=when
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
how ^wrb+who+whcl++=how
many ^ap++++=many
hours ^nns++++=hours
and ^cc++++=and
days ^nns++++=days
and ^cc++++=and
weeks ^nns++++=weeks
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
to ^to++++=to
making ^vbi++++=making
myself ^ppl+pp1+++=myself
look ^vb++++=look
like ^in++++=like
a ^at++++=a
cross ^nn++++=cross
between ^in++++=between
a ^at++++=a
llama ^nn+++??+=llama
and ^cc++++=and
a ^at++++=a
stuffed ^jj+atrb++xvbn+=stuffed
owl ^nn++++=owl,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
writing ^vbg+++xvbgx+=writing
things ^nns++++=things
the ^ati++++=the
editors ^nns++++=editors
never ^rb++++=never
have ^vb+hv+vrb++=have
enough ^qlp++++=enough
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buy ^vb++++=buy
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
they ^pp3a+pp3+++=they
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
first ^od++++=first
paragraph ^nn++++=paragraph.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
all ^abn++++=all
right ^jj++++=right!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
jealous ^jj++++=jealous!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
sit ^vb++++=sit
in ^in++++=in
the ^ati++++=the
front ^jjb+atrb+++=front
row ^nn++++=row
every ^at++++=every
time ^nn++++=time
Ade ^np+++??+=Ade
or ^cc++++=or
Tarkington ^np+++??+=Tarkington
or ^cc++++=or
Chambers ^nns+nom+++=Chambers
pulls ^vbz++++=pulls
a ^at++++=a
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
applaud ^vb++++=applaud
as ^in++++=as
whole ^jj++++=whole-heartedly
- ^zz++++=EXTRAWORD
heartedly ^jj++++=EXTRAWORD
as ^ql++++=as
any ^dti++++=any
one ^pn++++=one,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
reserve ^nn++++=reserve
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
kick ^vbi++++=kick
myself ^ppl+pp1+++=myself
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
get ^vb++++=get
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
article ^nn++++=article
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
kicks ^nns++++=kicks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
hope ^vb++++=hope
it ^pp3+it+++=it
will ^md+prd+++=will
have ^vb+hv+vrb++=have
a ^at++++=a
good ^jj+atrb+++=good
effect ^nn++++=effect
on ^in++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^vb++++=hope
it ^pp3+it+++=it
will ^md+prd+++=will
teach ^vb+vsua+++=teach
me ^pp1o+pp1+++=me
a ^at++++=a
lesson ^nn++++=lesson.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
doubt ^nn++++=doubt
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
too ^ql++++=too
old ^jj++++=old;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
too ^ql++++=too
accustomed ^jj+++xvbn+=accustomed
to ^to++++=to
chasing ^vbg+++xvbg+=chasing
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
to ^to++++=to
give ^vbi++++=give
it ^pp3+it+++=it
up ^rp++++=up
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
So ^ql++++=So
there ^rn+pl+++=there
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
what ^wdt+who+++=what
is ^vbz+bez+vrb++=is
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
now ^rn+tm+++=now
why ^wrb+who+++=why,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
a ^at++++=a
story ^nn++++=story
I ^pp1a+pp1+++=I
wrote ^vbd+vprv++xvbnx+=wrote
twelve ^cd++++=twelve
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
main ^jjb+atrb+++=main
goal ^nn++++=goal,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
liked ^vbd+++xvbnx+=liked
too ^ql++++=too
well ^rb++++=well
to ^to++++=to
investigate ^nn+nom+++=investigate
all ^abn++++=all
the ^ati++++=the
cross ^jj++++=cross-roads
- ^zz++++=EXTRAWORD
roads ^nns++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
keeping ^xvbg+++xvbg+=keeping
straight ^jj++++=straight
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
bad ^jj++++=bad;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+aux++0=EXTRAWORD
gathering ^vbg+++xvbgx+=gathering
goat ^nn++++=goat-feathers.
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
bad ^jj++++=bad
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bad ^jj++++=bad
for ^in++++=for
my ^pp$+pp1+++=my
success ^nns+nom+++=success
as ^in++++=as
an ^at++++=an
author ^nn++++=author,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bad ^jj++++=bad
for ^in++++=for
my ^pp$+pp1+++=my
success ^nns+nom+++=success
in ^in++++=in
the ^ati++++=the
only ^ap+down+++=only
life ^nn++++=life
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
live ^vb++++=live,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
be ^vbi++vrb++=be
much ^ap++++=much
worse ^jjr++++=worse
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
gather ^vbi+vprv+++=gather
goat ^nn++++=goat-feathers
- ^zz++++=EXTRAWORD
feathers ^nns+nom+++=EXTRAWORD
than ^in++++=than
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
gather ^vbi+vprv+++=gather
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
weave ^vb++++=weave
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
into ^in++++=into
a ^at++++=a
story ^nn++++=story,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do
anything ^pn++++=anything
at ^rb++++=at
all ^abn++++=all
with ^in++++=with
those ^dt+dem+++=those
you ^pp2+pp2+++=you
acquire ^vb++++=acquire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
time ^nn++++=time
we ^pp1a+pp1+++=we
waste ^nn++++=waste
in ^in++++=in
excursions ^nns++++=excursions
off ^in+pl+++=off
the ^ati++++=the
main ^jjb+atrb+++=main
line ^nn++++=line
of ^in++++=of
our ^pp$+pp1+++=our
road ^nn++++=road
to ^in++++=to
our ^pp$+pp1+++=our
goal ^nn++++=goal
is ^vbz+bez+vrb++=is
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
success ^nns+nom+++=success
and ^cc++++=and
half ^abn++++=half-success;
- ^zz++++=EXTRAWORD
success ^nns+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
often ^rb++++=often
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
success ^nns+nom+++=success
and ^cc++++=and
failure ^nn++++=failure.
. ^zz++++=EXTRAWORD
