Nobody ^pn++++=NOBODY
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
asked ^vbn+vsua++xvbn+=asked
Percy ^np++++=Percy
to ^to++++=to
call ^vbi++++=call
on ^in+ppvb+++=on
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
needed ^vbd+++xvbnx+=needed
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
chanced ^vbd+++xvbnx+=chanced
to ^to++++=to
sit ^vbi++++=sit
down ^rb+phrv+++=down
by ^in++++=by
Bixby ^np+++??+=Bixby
on ^in++++=on
the ^ati++++=the
elevated ^jj+++xvbn+=elevated
and ^cc+phrs+++=and
found ^jj+++xvbn+=found
him ^pp3o+pp3+++=him
reading ^nvbg+++xvbg+=reading
Bryce ^np++++=Bryce's
's ^$++++=EXTRAWORD
" ^zz++++="American
american ^jj+atrb+++=EXTRAWORD
Commonwealth ^nn++++=Commonwealth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
him ^pp3o+pp3+++=him
to ^to++++=to
make ^vbi++++=make
use ^nn++++=use
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
large ^jj+atrb+++=large
office ^nn++++=office
library ^nn+nom+++=library.
. ^zz++++=EXTRAWORD
Percy ^np++++=Percy
thanked ^vbd+++xvbn+=thanked
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
never ^rb++++=never
came ^vbd+++xvbn+=came
for ^in+ppvb+++=for
any ^dti++++=any
books ^nns++++=books.
. ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver
wondered ^vbd+vprv++xvbn+=wondered
whether ^cs+who+++=whether
his ^pp$+pp3+++=his
bookkeeper ^jjr++++=bookkeeper
really ^rb+emph+++=really
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
avoid ^vbi++++=avoid
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
Oliver ^np++++=Oliver
met ^vbd+++xvbn+=met
the ^ati++++=the
Bixbys ^np+++??+=Bixbys
in ^in++++=in
the ^ati++++=the
lobby ^nn++++=lobby
of ^in++++=of
a ^at++++=a
theater ^nn++++=theater.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
introduced ^vbd+++xvbnx+=introduced
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Remsen ^np++++=Remsen
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
held ^vwbn+vprv++xvbn+=held
them ^pp3o+pp3+++=them
for ^in++++=for
some ^dti++++=some
moments ^nns+nom+++=moments
in ^in++++=in
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
into ^in+ppvb+++=into
their ^pp$+pp3+++=their
motor ^nn++++=motor,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Remsen ^np++++=Remsen
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^dt+dem+++=that
little ^ap++++=little
man ^nn++++=man
afraid ^jj++++=afraid
of ^in++++=of
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
like ^in++++=like
a ^at++++=a
scared ^jj+++xvbn+=scared
rabbit ^np++++=rabbit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver
snapped ^vbd+++xvbn+=snapped
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vpsv++agls+xvbn+=said
with ^in++++=with
a ^at++++=a
shade ^nn++++=shade
of ^in++++=of
irritation ^nn+nom+++=irritation:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
matter ^nn++++=matter
with ^in++++=with
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
fellow ^jjb++++=fellow
I ^pp1a+pp1+++=I
've ^vb+hv+aux++0='ve
told ^vprf++tht0+xvbnx+=told
you ^pp2+pp2+++=you
about ^rb++++=about
who ^whp+who+++=who
never ^rb++++=never
takes ^vbz++++=takes
a ^at++++=a
vacation ^nn+nom+++=vacation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
half ^rb++++=half
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looks ^vbz++++=looks
pitiless ^jj++++=pitiless
enough ^dt++++=enough
for ^in++++=for
anything ^pn++++=anything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
pretty ^rb++++=pretty
of ^in++++=of
her ^pp$+pp3+++=her
kind ^nn++++=kind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
mused ^vbd+++xvbn+=mused
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Remsen ^np++++=Remsen,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
rather ^rb++++=rather
chilling ^jj+++xvbg+=chilling.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
can ^md+pos+++=can
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
has ^vbz+hvz+vrb++=has
ideas ^nns++++=ideas
about ^in++++=about
elegance ^nn+nom+++=elegance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Rather
rather ^rb++++=EXTRAWORD
unfortunate ^jj+atrb+++=unfortunate
ones ^pn++++=ones
for ^in++++=for
a ^at++++=a
bookkeeper ^jjr+atrb+++=bookkeeper's
's ^vbz+bez+vrb++0=EXTRAWORD
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
surmise ^nn++++=surmise
that ^tht+rel+obj++=that
Percy ^np++++=Percy
felt ^vbd+vprv+tht0+xvbn+=felt
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
overdressed ^vpsv++agls+xvbnx+=overdressed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
made ^vprf+++xvbn+=made
him ^pp3o+pp3+++=him
awkward ^jj++++=awkward
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
've ^vb+hv+aux++0='ve
always ^rb++splt++=always
suspected ^vprf+++xvbnx+=suspected
that ^tht+vcmp+++=that
fellow ^jjb++++=fellow
of ^in++++=of
good ^jj+atrb+++=good
taste ^nn++++=taste."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Remsen ^np+++??+=Remsen
passed ^vbd+++xvbn+=passed
the ^ati++++=the
counting ^jj+++xvbg+=counting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
Percy ^np++++=Percy
screwed ^vbd+++xvbn+=screwed
up ^rp++++=up
over ^in++++=over
his ^pp$+pp3+++=his
ledger ^np++++=ledger,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
often ^rb++++=often
remembered ^vbd+vprv++xvbn+=remembered
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bixby ^np++++=Bixby,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
cold ^jj++++=cold,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
eyes ^nns++++=eyes
and ^cc++++=and
long ^jj+atrb+++=long
lashes ^nns++++=lashes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
expression ^vb++++=expression
that ^tht+vcmp+subj++=that
was ^vbd+bedz+vrb++=was
something ^pn++++=something
between ^in++++=between
indifference ^nn+nom+++=indifference
and ^cc++++=and
discontent ^nn++++=discontent.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
rose ^vbd+++xvbnx+=rose
behind ^in+pl+++=behind
Percy ^np++++=Percy's
's ^$++++=EXTRAWORD
bent ^xvbn+++xvbn+=bent
shoulders ^nns+nom+++=shoulders
like ^in++++=like
an ^at++++=an
apparition ^nn+nom+++=apparition.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
spring ^nn++++=spring
afternoon ^nn++++=afternoon
Remsen ^np+++??+=Remsen
was ^vbd+bedz+aux++=was
closeted ^vpsv++agls+xvbnx+=closeted
in ^in++++=in
his ^pp$+pp3+++=his
private ^jj+atrb+++=private
office ^nn++++=office
with ^in++++=with
his ^pp$+pp3+++=his
lawyer ^nn++++=lawyer
until ^in++++=until
a ^at++++=a
late ^jj+atrb+++=late
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
down ^in++++=down
the ^ati++++=the
long ^rb++++=long
hall ^npl++++=hall
in ^in++++=in
the ^ati++++=the
dusk ^nn++++=dusk
he ^pp3a+pp3+++=he
glanced ^vbd+++xvbnx+=glanced
through ^in++++=through
the ^ati++++=the
glass ^nn++++=glass
partition ^nn+nom+++=partition
into ^in++++=into
the ^ati++++=the
counting ^jj+++xvbg+=counting-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
Percy ^np++++=Percy
Bixby ^np+++??+=Bixby
huddled ^vbd+++xvbn+=huddled
up ^rp++++=up
on ^in++++=on
his ^pp$+pp3+++=his
tall ^jj+atrb+++=tall
stool ^nn++++=stool,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
too ^ql++++=too
dark ^jj++++=dark
to ^in++++=to
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
Bixby ^np++++=Bixby's
's ^$++++=EXTRAWORD
ledger ^np++++=ledger
was ^vbd+bedz+aux++=was
closed ^vpsv++agls+xvbnx+=closed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
with ^in++++=with
his ^pp$+pp3+++=his
two ^cd++++=two
arms ^nns++++=arms
resting ^vwbg+++xvbg+=resting
on ^in++++=on
the ^ati++++=the
brown ^jj+atrb+++=brown
cover ^nn++++=cover.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
move ^vb++++=move
a ^at++++=a
muscle ^nn++++=muscle
when ^wrb+who+++=when
young ^jj+atrb+++=young
Remsen ^np+++??+=Remsen
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
late ^jj+pred+++=late,
, ^zz++++=EXTRAWORD
Bixby ^np+++??+=Bixby,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver
began ^vbd+++xvbn+=began
genially ^rb++++=genially
as ^ql++++=as
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
to ^in++++=to
the ^ati++++=the
front ^nn++++=front
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
lighted ^jj+atrb++xvbn+=lighted
windows ^nns++++=windows
of ^in++++=of
other ^ap++++=other
tall ^jj+atrb+++=tall
buildings ^nns++++=buildings.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
fact ^nn++++=fact
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
've ^vb+hv+aux++0='ve
been ^vprf+ben+aux+xvbnx+=been
doing ^vbg+++xvbgx+=doing
something ^pn++++=something
that ^cs+sub+++=that
men ^vbz++++=men
have ^vb+hv+vrb++=have
a ^at++++=a
foolish ^jj+atrb+++=foolish
way ^nn++++=way
of ^in++++=of
putting ^nn++++=putting
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
've ^vb+hv+aux++0='ve
been ^vprf+ben+aux+xvbnx+=been
making ^vbg+++xvbgx+=making
my ^pp$+pp1+++=my
will ^md+prd+++=will."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Percy ^np++++=Percy
brought ^vbd+++xvbn+=brought
it ^pp3+it+++=it
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
deep ^jj+atrb+++=deep
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
" ^zz++++="Glad
glad ^jj++++=EXTRAWORD
to ^to+jcmp+++=to
be ^vbi++vrb++=be
through ^in++++=through
with ^in++++=with
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Oliver ^np++++=Oliver
went ^vbd+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Melton ^np++++=Melton
will ^md+prd+++=will
bring ^vb++++=bring
the ^ati++++=the
paper ^nn++++=paper
back ^rp++++=back
to ^to++++=to-morrow,
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++0=I'd
'd ^md+prd+vrb++=EXTRAWORD
like ^vb++++=like
to ^to+vcmp+++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
to ^to++++=to
be ^vbi++vrb++=be
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
witnesses ^nns+nom+++=witnesses."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
very ^ql+amp+++=very
proud ^jj++++=proud,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Remsen ^np++++=Remsen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Thank
thank ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Bixby ^np+++??+=Bixby.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
night ^nn++++=night."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Remsen ^np+++??+=Remsen
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
hat ^nn++++=hat
just ^rb+emph+++=just
as ^ql++++=as
Percy ^np++++=Percy
slid ^vbd+++xvbn+=slid
down ^rp++++=down
from ^in++++=from
his ^pp$+pp3+++=his
stool ^nn++++=stool.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Remsen ^np++++=Remsen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
told ^vpsv++tht0+xvbnx+=told
you ^pp2+pp2+++=you
're ^vb+ber+aux++0='re
going ^md"++pmd"++=going
to ^md+prd+++=to
have ^vbi++vrb++=have
the ^ati++++=the
books ^nns++++=books
gone ^vbd+++xvbn+=gone
over ^in+strn+++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
Bixby ^np+++??+=Bixby.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
that ^dt+dem+++=that
trouble ^nn++++=trouble
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
taking ^vbg+++xvbgx+=taking
in ^rb+phrv+++=in
a ^at++++=a
new ^jj+atrb+++=new
partner ^nn++++=partner,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
college ^nn++++=college
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
insist ^vb+vpub+++=insist
upon ^in++++=upon
all ^abn++++=all
the ^ati++++=the
usual ^jj+atrb+++=usual
formalities ^nns+nom+++=formalities.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
formality ^nn+nom+++=formality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
'll ^md+prd+++0='ll
guarantee ^nn+nom+++=guarantee
the ^ati++++=the
expert ^nn++++=expert
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
a ^at++++=a
scratch ^nn++++=scratch
on ^in++++=on
your ^pp$+pp2+++=your
books ^nns++++=books.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
night ^nn++++=night.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'd
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md++++=better
be ^vb+be+aux++=be
coming ^vbg+++xvbgx+=coming,
, ^zz++++=EXTRAWORD
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Remsen ^np+++??+=Remsen
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
door ^nn++++=door
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv++xvbnx+=heard
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Remsen ^np++++=Remsen!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
desperate ^jj+atrb+++=desperate
voice ^nn++++=voice
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
Bixby ^np+++??+=Bixby
standing ^vwbg+++xvbg+=standing
uncertainly ^rb++++=uncertainly
at ^in++++=at
one ^cd1++++=one
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hand ^nn++++=hand
still ^rb++++=still
on ^in++++=on
his ^pp$+pp3+++=his
ledger ^np++++=ledger,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
uneven ^jj+atrb+++=uneven
shoulders ^nns+nom+++=shoulders
drooping ^jj+atrb+++=drooping
forward ^nn++++=forward
and ^cc++++=and
his ^pp$+pp3+++=his
head ^jjb++++=head
hanging ^jj+++xvbg+=hanging
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
seasick ^jj+pred+++=seasick.
. ^zz++++=EXTRAWORD
Remsen ^np+++??+=Remsen
came ^vbd+++xvbn+=came
back ^jjb++++=back
and ^cc++++=and
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
long ^jj+atrb+++=long
desk ^nn++++=desk.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
too ^ql++++=too
dark ^jj++++=dark
to ^to++++=to
see ^vbi+vprv+++=see
Bixby ^np++++=Bixby's
's ^$++++=EXTRAWORD
face ^nn++++=face
clearly ^rb++++=clearly.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Bixby ^np+++??+=Bixby?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Remsen ^np++++=Remsen,
, ^zz++++=EXTRAWORD
five ^cd++++=five
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
falsified ^vbd+++xvbnx+=falsified
the ^ati++++=the
books ^nns++++=books
a ^at++++=a
thousand ^cd++++=thousand
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
used ^vbd+++xvbnx+=used
the ^ati++++=the
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Percy ^np++++=Percy
leaned ^vbd+++xvbn+=leaned
forward ^rb++++=forward
against ^in++++=against
his ^pp$+pp3+++=his
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
just ^rb+emph+++=just
across ^in+pl+++=across
the ^ati++++=the
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Bixby ^np+++??+=Bixby?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
Remsen ^np+++??+=Remsen
spoke ^vbd+++xvbn+=spoke
in ^in++++=in
a ^at++++=a
tone ^nn++++=tone
of ^in++++=of
polite ^jj+atrb+++=polite
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
painfully ^rb++++=painfully
embarrassed ^jj+++xvbn+=embarrassed.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
get ^vb++++=get
it ^pp3+it+++=it
all ^abn++++=all
paid ^vwbn+++xvbn+=paid
back ^rb+phrv+++=back
before ^in++++=before
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
've ^vb+hv+aux++0='ve
put ^vprf+++xvbnx+=put
back ^jjb++++=back
three ^cd++++=three
hundred ^cd++++=hundred,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
books ^nns++++=books
are ^vb+ber+vrb++=are
still ^rb++++=still
seven ^cd++++=seven
hundred ^cd++++=hundred
out ^rp+pl+++=out
of ^in++++=of
true ^nn++++=true.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
've ^vb+hv+aux++0='ve
played ^vprf+++xvbnx+=played
the ^ati++++=the
shortages ^nns+nom+++=shortages
about ^in++++=about
from ^in++++=from
account ^nn++++=account
to ^in++++=to
account ^nn++++=account
these ^dt+dem+++=these
five ^cd++++=five
years ^nns++++=years,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
expert ^nn++++=expert
would ^md+prd+++=would
find ^vb+vprv+++=find
them ^pp3o+pp3+++0='em
in ^in++++=in
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
hours ^nns++++=hours."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
just ^rb+emph+++=just
understand ^vb+vprv+++=understand
how ^wrb+who+whcl++=how
" ^zz++++="
Oliver ^np++++=Oliver
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
held ^vbd+vprv+tht0+xvbnx+=held
it ^pp3+it+++=it
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
Western ^jj+atrb+++=Western
remittances ^nns+nom++??+=remittances,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Remsen ^np++++=Remsen.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
coming ^vbg+++xvbgx+=coming
in ^in++++=in
heavy ^jj++++=heavy
just ^rb+emph+++=just
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
up ^in+cmpx+++=up
against ^in"++++=against
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
n't ^xnot++not++0=n't
saved ^vwbn+++xvbn+=saved
anything ^pn++++=anything
to ^to++++=to
marry ^vbi++++=marry
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
wife ^nn++++=wife
thought ^vbd+++xvbn+=thought
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
more ^rbr++++=more
money ^nn++++=money
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
we ^pp1a+pp1+++=we
