1564 ^cd++++=1564.
money ^nn++++=money,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
serf ^nn++++=serf
rejected ^vbd+++xvbn+=rejected,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
that ^tht+vcmp+++=that
money ^nn++++=money
would ^md+prd+++=would
soon ^rb+tm+++=soon
be ^vb+be+vrb++=be
of ^in++++=of
little ^jj+atrb+++=little
service ^nn++++=service
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seeking ^vbg+++xvbg+=seeking
no ^at++++=no
reward ^nn++++=reward
for ^in++++=for
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
deemed ^vbd+++xvbnx+=deemed
his ^pp$+pp3+++=his
duty ^nn++++=duty
to ^to+ncmp+++=to
his ^pp$+pp3+++=his
lord ^npt++++=lord.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Ivan ^np++++=Ivan's
's ^$++++=EXTRAWORD
justice ^nn++++=justice
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
into ^in++++=into
barbarity ^nn+nom+++=barbarity,
, ^zz++++=EXTRAWORD
so ^ql++++=so
his ^pp$+pp3+++=his
religion ^nn++++=religion
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
into ^in++++=into
foolish ^jj+atrb+++=foolish
fanatic ^nn++++=fanatic
observance ^nn+nom+++=observance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
built ^vprf+++xvbnx+=built
a ^at++++=a
monastery ^nn+nom+++=monastery
near ^in+pl+++=near
Moscow ^np++++=Moscow
for ^in++++=for
himself ^ppl+pp3+++=himself
and ^cc++++=and
three ^cd++++=three
hundred ^cd++++=hundred
chosen ^xvbn+++xvbn+=chosen
boyards ^nns+++??+=boyards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
morning ^nn++++=morning
at ^in++++=at
three ^cd++++=three
or ^cc++++=or
four ^cd++++=four
o'clock ^rb++++=o'clock
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
two ^cd++++=two
sons ^nns++++=sons
into ^in++++=into
the ^ati++++=the
belfry ^nn++++=belfry
with ^in++++=with
him ^pp3o+pp3+++=him
and ^cc++++=and
proceeded ^vbd+++xvbn+=proceeded
to ^to++++=to
strike ^vbi++++=strike
the ^ati++++=the
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Russian ^jj+atrb+++=Russian
mode ^nn++++=mode
of ^in++++=of
ringing ^xvbg+++xvbg+=ringing
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
all ^abn++++=all
the ^ati++++=the
brethren ^nns++++=brethren
were ^vbd+bed+aux++=were
assembled ^vpsv++agls+xvbnx+=assembled.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
bell ^nn++++=bell-sounding
- ^zz++++=EXTRAWORD
sounding ^vbg+++xvbg+=EXTRAWORD
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
favorite ^jj+atrb+++=favorite
occupation ^nn+nom+++=occupation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
when ^wrb+who+++=when
Vasili ^np+++??+=Vasili
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
The ^ati++++=The
servant ^nn+nom+++=servant
awaited ^vbd+++xvbn+=awaited
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
vestibule ^nn++++=vestibule,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
delivered ^vbd+++xvbn+=delivered
the ^ati++++=the
letter ^nn++++=letter
with ^in++++=with
these ^dt+dem+++=these
words ^nns++++=words:
: ^zz++++=EXTRAWORD
' ^zz++++='From
from ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
master ^nn++++=master
and ^cc++++=and
thine ^pp$+pp2+++=thine
exile ^nn++++=exile,
, ^zz++++=EXTRAWORD
Prince ^npt++++=Prince
Andrej ^np+++??+=Andrej
Kourbsky ^np+++??+=Kourbsky.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan
answered ^vwbn+vpub++xvbn+=answered
by ^in++++=by
such ^abl++++=such
a ^at++++=a
blow ^nn++++=blow
on ^in++++=on
the ^ati++++=the
leg ^nn++++=leg
with ^in++++=with
his ^pp$+pp3+++=his
iron ^nn++++=iron-tipped
- ^zz++++=EXTRAWORD
tipped ^vbd+++xvbn+=EXTRAWORD
rod ^np++++=rod
that ^tht+rel+obj++=that
the ^ati++++=the
blood ^nn++++=blood
poured ^vbd+++xvbn+=poured
from ^in++++=from
the ^ati++++=the
wound ^nn+++xvbn+=wound;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Vasili ^np+++??+=Vasili
neither ^dt++neg++=neither
started ^jj+++xvbn+=started,
, ^zz++++=EXTRAWORD
cried ^j+++xvbn+=cried
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
moved ^vbd+++xvbn+=moved
a ^at++++=a
feature ^nn++++=feature.
. ^zz++++=EXTRAWORD
At ^rb++++=At
once ^rb"+tm+++=once
the ^ati++++=the
Tzar ^np+++??+=Tzar
bade ^vbd+++xvbn+=bade
him ^pp3o+pp3+++=him
be ^vb+be+aux++=be
seized ^vpsv++agls+xvbnx+=seized
and ^cc++++=and
tortured ^jj+++xvbn+=tortured,
, ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
disclose ^vb++++=disclose
whether ^cs+who+++=whether
his ^pp$+pp3+++=his
master ^nn++++=master
had ^vb+hv+vrb++=had
any ^dti++++=any
partners ^nns+nom+++=partners
in ^in++++=in
guilt ^nn++++=guilt,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
if ^cs+cnd+++=if
any ^dti++++=any
plans ^nns++++=plans
were ^vbd+bed+aux++=were
matured ^vpsv++agls+xvbnx+=matured.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no
extremity ^nn+nom+++=extremity
of ^in++++=of
agony ^nn++++=agony
could ^md+pos+++=could
extract ^vb++++=extract
aught ^vbd+++xvbn+=aught
but ^cc++++=but
praises ^nns++++=praises
of ^in++++=of
the ^ati++++=the
prince ^nn++++=prince,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
assurances ^nns+nom+++=assurances
of ^in++++=of
his ^pp$+pp3+++=his
readiness ^nns+nom+++=readiness
to ^to+ncmp+++=to
die ^vbi++++=die
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
From ^in++++=From
early ^jj+atrb+++=early
morning ^nn++++=morning
till ^cs+sub+++=till
late ^jj++++=late
at ^rb++++=at
night ^nn++++=night
the ^ati++++=the
torturers ^nns+nom+++=torturers
worked ^vbd+++xvbn+=worked,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
succeeding ^jj+++xvbg+=succeeding
when ^wrb+who+++=when
another ^dt++++=another
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nothing ^pn++++=nothing
could ^md+pos+++=could
overcome ^vb+++xvbn+=overcome
his ^pp$+pp3+++=his
constancy ^nn++++=constancy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
last ^jj+atrb+++=last
words ^nns++++=words
were ^vbd+bed+vrb++=were
a ^at++++=a
prayer ^nn++++=prayer
to ^to++++=to
implore ^vbi++++=implore
his ^pp$+pp3+++=his
God ^np++++=God
to ^in++++=to
have ^vbi++vrb++=have
mercy ^nn++++=mercy
on ^in++++=on
his ^pp$+pp3+++=his
master ^nn++++=master
and ^cc++++=and
forgive ^vb++++=forgive
his ^pp$+pp3+++=his
desertion ^nn+nom+++=desertion.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
praise ^nn++++=praise
came ^vbd+++xvbn+=came
even ^rb++++=even
from ^in++++=from
the ^ati++++=the
tyrant ^nn++++=tyrant,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
wrote ^vbd+vprv++xvbn+=wrote
to ^in++++=to
Kourbsky-- ^np+++??+=Kourbsky--'Let
'let ^nn+++??+=EXTRAWORD
thy ^pp$+pp2+++=thy
servant ^nn+nom+++=servant
Vaska ^np+++??+=Vaska
[ ^zz++++=[Footnote:
footnote ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
the ^ati++++=the
abbreviation ^nn+nom+++=abbreviation
of ^in++++=of
Vasili ^np+++??+=Vasili
or ^cc++++=or
Basil ^np++++=Basil.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
shame ^vb++++=shame
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preserved ^vbd+++xvbnx+=preserved
his ^pp$+pp3+++=his
truth ^nn++++=truth
to ^in++++=to
thee ^pp2+pp2+++=thee
before ^in++++=before
the ^ati++++=the
Tzar ^np+++??+=Tzar
and ^cc++++=and
the ^ati++++=the
people ^nn++++=people.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
given ^vwbn+++xvbn+=given
thee ^pp2+pp2+++=thee
his ^pp$+pp3+++=his
word ^nn++++=word
of ^in++++=of
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
even ^rb++++=even
before ^in++++=before
the ^ati++++=the
gates ^nns++++=gates
of ^in++++=of
death ^nn++++=death.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
flight ^nn++++=flight
of ^in++++=of
Kourbsky ^np+++??+=Kourbsky,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rage ^nn++++=rage
of ^in++++=of
Ivan ^np++++=Ivan
continued ^vbd+++xvbn+=continued
to ^to++++=to
increase ^vbi++++=increase
with ^in++++=with
each ^dt++++=each
year ^nn++++=year
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
formed ^vprf+++xvbnx+=formed
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
bodyguard ^nn++++=bodyguard
of ^in++++=of
a ^at++++=a
thousand ^cd++++=thousand
ruffians ^nns++++=ruffians,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
the ^ati++++=the
Oprichnina ^np+++??+=Oprichnina,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out
his ^pp$+pp3+++=his
barbarous ^jj+atrb+++=barbarous
commands ^nns++++=commands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
committed ^vbd+++xvbn+=committed
an ^at++++=an
infinity ^nn+nom+++=infinity
of ^in++++=of
murders ^nns+nom+++=murders
and ^cc++++=and
robberies ^nns+nom+++=robberies
on ^in++++=on
their ^pp$+pp3+++=their
own ^ap++++=own
account ^nn++++=account.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
distorted ^jj+atrb++xvbn+=distorted
caricature ^nn++++=caricature
of ^in++++=of
Henry ^np++++=Henry
Viii ^np+++??+=VIII,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
like ^in++++=like
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
united ^np++++=united
violence ^nn+nom+++=violence
and ^cc++++=and
cruelty ^nn++++=cruelty
with ^in++++=with
great ^jj+atrb+++=great
exactness ^nns+nom+++=exactness
about ^in++++=about
religious ^jj+atrb+++=religious
worship ^nn+nom+++=worship,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
his ^pp$+pp3+++=his
personal ^jj+atrb+++=personal
observances ^nns+nom+++=observances
to ^in++++=to
the ^ati++++=the
most ^ap+emph+++=most
fanatic ^nn++++=fanatic
extravagance ^nn+nom+++=extravagance.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
vacancy ^nn++++=vacancy
of ^in++++=of
the ^ati++++=the
Metropolitan ^nn++++=Metropolitan
See ^vb+vprv+++=See,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cast ^vbd+++xvbnx+=cast
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
upon ^in++++=upon
the ^ati++++=the
monastery ^nn+nom+++=monastery
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
island ^nn++++=island
of ^in++++=of
Solovsky ^np+++??+=Solovsky,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
White ^jj+atrb+++=White
Sea ^nn++++=Sea,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
Prior ^jj++++=Prior,
, ^zz++++=EXTRAWORD
Feeleep ^np+++??+=Feeleep
Kolotchof ^np+++??+=Kolotchof,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
noted ^vpsv++agls+xvbnx+=noted
for ^in++++=for
his ^pp$+pp3+++=his
holy ^jj+atrb+++=holy
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
good ^jj++++=good
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
among ^in++++=among
the ^ati++++=the
wild ^jj+atrb+++=wild
and ^cc+phrs+++=and
miserable ^jj+atrb+++=miserable
population ^nn+nom+++=population
of ^in++++=of
the ^ati++++=the
island ^nn++++=island.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
the ^ati++++=the
son ^nn++++=son
of ^in++++=of
a ^at++++=a
rich ^jj+atrb+++=rich
boyard ^nn+++??+=boyard,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vbd+hvd+aux++=had
devoted ^vprf+++xvbnx+=devoted
himself ^ppl+pp3+++=himself
from ^in++++=from
his ^pp$+pp3+++=his
youth ^nn++++=youth
to ^in++++=to
a ^at++++=a
monastic ^jj+atrb+++=monastic
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fame ^nn++++=fame
of ^in++++=of
his ^pp$+pp3+++=his
exertions ^nns+nom+++=exertions
in ^in++++=in
behalf ^in"++++=behalf
of ^in"++++=of
the ^ati++++=the
islanders ^nns+nom+++=islanders
had ^vbd+hvd+aux++=had
led ^vprf+++xvbnx+=led
the ^ati++++=the
Tzar ^np+++??+=Tzar
to ^to++++=to
send ^vbi++++=send
him ^pp3o+pp3+++=him
not ^xnot++not++=not
only ^rb+down+++=only
precious ^jj+atrb+++=precious
vessels ^nns++++=vessels
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
his ^pp$+pp3+++=his
church ^nn++++=church,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
contributions ^nns+nom+++=contributions
to ^in++++=to
the ^ati++++=the
stone ^nn++++=stone
churches ^nns++++=churches,
, ^zz++++=EXTRAWORD
piers ^nns++++=piers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hostelries ^nns++++=hostelries
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
for ^in++++=for
his ^pp$+pp3+++=his
people ^nns++++=people;
; ^zz++++=EXTRAWORD
for ^in++++=for
whom ^whp+rel+pied++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
roads ^npl++++=roads,
, ^zz++++=EXTRAWORD
drained ^xvbn+++xvbn+=drained
marshes ^npl++++=marshes,
, ^zz++++=EXTRAWORD
introduced ^xvbn+++xvbn+=introduced
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^xvbn+++xvbn+=made
fisheries ^nns+nom+++=fisheries
and ^cc++++=and
salt ^jj+atrb+++=salt
pans ^nns++++=pans,
, ^zz++++=EXTRAWORD
changing ^jj+++xvbg+=changing
the ^ati++++=the
whole ^jj+atrb+++=whole
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lessening ^nvbg+++xvbg+=lessening
even ^rb++++=even
the ^ati++++=the
inclemency ^nn+++??+=inclemency
of ^in++++=of
the ^ati++++=the
climate ^nn+nom+++=climate.
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
good ^jj+atrb+++=good
man ^nn++++=man
the ^ati++++=the
Tzar ^np+++??+=Tzar
fixed ^vbd+++xvbn+=fixed
his ^pp$+pp3+++=his
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wrote ^vbd+vprv++xvbnx+=wrote
to ^in++++=to
him ^pp3o+pp3+++=him
to ^to++++=to
come ^vbi++++=come
to ^in++++=to
Moscow ^np++++=Moscow
to ^to++++=to
attend ^vbi++++=attend
a ^at++++=a
synod ^nn+++??+=synod,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
his ^pp$+pp3+++=his
arrival ^nn++++=arrival
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
dine ^vb++++=dine
at ^in++++=at
the ^ati++++=the
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
informed ^jj+++xvbn+=informed
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
chief ^jjb+atrb+++=chief
pastor ^nn++++=pastor
of ^in++++=of
the ^ati++++=the
Russian ^jj+atrb+++=Russian
Church ^nn++++=Church.
. ^zz++++=EXTRAWORD
Feeleep ^np+++??+=Feeleep
burst ^vbd+++xvbn+=burst
into ^in+ppvb+++=into
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
entreating ^jj+atrb++xvbg+=entreating
permission ^nn++++=permission
to ^to+ncmp+++=to
refuse ^vbi++++=refuse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beseeching ^vbg+++xvbg+=beseeching
the ^ati++++=the
Tzar ^np+++??+=Tzar
not ^xnot++not++=not
to ^in++++=to
trust ^nn++++=trust
' ^zz++++='so
so ^ql+emph+++=EXTRAWORD
heavy ^jj++++=heavy
a ^at++++=a
freight ^nn++++=freight
to ^in++++=to
such ^abl++++=such
a ^at++++=a
feeble ^jj+atrb+++=feeble
bark ^nn++++=bark'.
'. ^nn+++??+=EXTRAWORD
Ivan ^np++++=Ivan
held ^vbd+vprv++xvbn+=held
to ^in++++=to
his ^pp$+pp3+++=his
determination ^nn+nom+++=determination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Feeleep ^np+++??+=Feeleep
then ^rn+tm+++=then
begged ^vbd+++xvbn+=begged
him ^pp3o+pp3+++=him
at ^rb++++=at
least ^rb"++++=least
to ^to++++=to
dismiss ^vbi++++=dismiss
the ^ati++++=the
cruel ^jj+atrb+++=cruel
Oprichnina ^np+++??+=Oprichnina.
. ^zz++++=EXTRAWORD
' ^zz++++='How
how ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can
I ^pp1a+pp1+++=I
bless ^vb++++=bless
you ^pp2+pp2+++=you,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='while
while ^cs+sub+++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
my ^pp$+pp1+++=my
country ^nn++++=country
in ^in++++=in
mourning ^xvbg+++xvbg+=mourning?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
Tzar ^np+++??+=Tzar
replied ^vwbn+vpub++xvbn+=replied
by ^in++++=by
mentioning ^xvbg+vpub+tht0+xvbg+=mentioning
his ^pp$+pp3+++=his
suspicions ^nns++++=suspicions
of ^in++++=of
all ^abn++++=all
around ^rp++++=around
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
commanded ^vbd+vpub++xvbn+=commanded
Feeleep ^np+++??+=Feeleep
to ^to++++=to
be ^vbi++vrb++=be
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expected ^vbd+vprv++xvbnx+=expected
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
sent ^vpsv++agls+xvbnx+=sent
back ^jjb++++=back
to ^in++++=to
his ^pp$+pp3+++=his
convent ^nn++++=convent
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Tzar ^np+++??+=Tzar
commanded ^vbd+vpub++xvbn+=commanded
the ^ati++++=the
clergy ^nn++++=clergy
to ^to++++=to
elect ^vbi++++=elect
him ^pp3o+pp3+++=him
Archbishop ^npt++++=Archbishop,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
all ^abn++++=all
added ^jj+++xvbn+=added
their ^pp$+pp3+++=their
entreaties ^nns+++??+=entreaties
to ^in++++=to
him ^pp3o+pp3+++=him
to ^to++++=to
accept ^vbi+vprv+++=accept
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
endeavor ^vb++++=endeavor
to ^to+vcmp+++=to
soften ^vbi++++=soften
the ^ati++++=the
Tzar ^np+++??+=Tzar,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
respected ^jj+++xvbn+=respected
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
yielded ^vbd+++xvbnx+=yielded
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
will ^nn++++=will
of ^in++++=of
the ^ati++++=the
Tzar ^np+++??+=Tzar
and ^cc++++=and
the ^ati++++=the
pastors ^nns++++=pastors
of ^in++++=of
the ^ati++++=the
church ^nn++++=church
must ^md+nec+++=must,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
At ^in++++=At
his ^pp$+pp3+++=his
consecration ^nn+nom+++=consecration,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
preached ^vbd+++xvbnx+=preached
a ^at++++=a
sermon ^nn++++=sermon
on ^in++++=on
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
mildness ^nns+nom+++=mildness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
superiority ^nn+nom+++=superiority
of ^in++++=of
the ^ati++++=the
victories ^nns++++=victories
of ^in++++=of
love ^nn++++=love
over ^in++++=over
the ^ati++++=the
triumphs ^nns++++=triumphs
of ^in++++=of
war ^nn++++=war.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
awoke ^vbd+++xvbn+=awoke
the ^ati++++=the
better ^jjr+atrb+++=better
feelings ^nns+nom+++=feelings
of ^in++++=of
Ivan ^np++++=Ivan,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
months ^nns++++=months
he ^pp3a+pp3+++=he
abstained ^vbd+++xvbnx+=abstained
from ^in++++=from
any ^dti++++=any
deed ^nn++++=deed
of ^in++++=of
violence ^nn+nom+++=violence;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
good ^jj+atrb+++=good
days ^nns++++=days
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
returned ^vbd+++xvbn+=returned
and ^cc++++=and
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
in ^in++++=in
intimate ^jj+atrb+++=intimate
friendship ^nn+nom+++=friendship
with ^in++++=with
the ^ati++++=the
good ^jj+atrb+++=good
Archbishop ^nn++++=Archbishop.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
after ^cs+sub+++=after
a ^at++++=a
time ^nn++++=time
the ^ati++++=the
sleeping ^jj+atrb++xvbg+=sleeping
lion ^nn++++=lion
began ^vbd+++xvbn+=began
to ^to++++=to
waken ^vbi++++=waken.
. ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan's
's ^$++++=EXTRAWORD
suspicious ^jj+atrb+++=suspicious
mind ^nn++++=mind
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
an ^at++++=an
idea ^nn++++=idea
that ^tht+ncmp+++=that
Feeleep ^np+++??+=Feeleep
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
incited ^vpsv++by+xvbnx+=incited
by ^in++++=by
the ^ati++++=the
nobles ^nns++++=nobles
to ^in++++=to
request ^nn++++=request
the ^ati++++=the
abolition ^nn+nom+++=abolition
of ^in++++=of
the ^ati++++=the
Oprichnina ^np+++??+=Oprichnina,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
exciting ^jj+pred+++=exciting
a ^at++++=a
revolt ^nn++++=revolt.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spies ^nns++++=spies
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
into ^in++++=into
Moscow ^np++++=Moscow
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
that ^dt+dem+++=that
wherever ^nn+nom+++=wherever
an ^at++++=an
Oprichnik ^np+++??+=Oprichnik
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
the ^ati++++=the
people ^nn++++=people
shrank ^vbd+++xvbn+=shrank
away ^rp+pl+++=away
in ^in++++=in
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
things ^nns++++=things!
! ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
well ^rb++++=well
might ^md+pos+++=might.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fancied ^vbd+++xvbnx+=fancied
this ^dt+dem+++=this
as ^in++++=as
a ^at++++=a
sign ^nn++++=sign
that ^tht+ncmp+++=that
conspiracies ^nns+nom+++=conspiracies
were ^vbd+bed+aux++=were
brewing ^vbg+++xvbgx+=brewing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
his ^pp$+pp3+++=his
atrocities ^nns+nom+++=atrocities
began ^vbd+++xvbn+=began
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tortures ^vbz++++=tortures
to ^to++++=to
which ^whp+who+++=which
whole ^jj+atrb+++=whole
