Colonel ^npt++++=Colonel
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
discouraged ^vpsv++agls+xvbnx+=discouraged.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
great ^jj++++=great
chief ^jjb++++=chief.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+aux++=are
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
Sandusky ^np+++??+=Sandusky;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
speak ^vb++++=speak
of ^in++++=of
burning ^xvbg+++xvbg+=burning
you ^pp2+pp2+++=you
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
will ^md+prd+++=will
send ^vb++++=send
two ^cd++++=two
runners ^nns+nom+++=runners
tomorrow ^nr+tm+++=tomorrow
to ^to++++=to
speak ^vbi++++=speak
good ^jj++++=good
for ^in++++=for
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
noble ^jj+atrb+++=noble
chief ^jjb++++=chief
Logan ^np++++=Logan,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
beautiful ^jj+atrb+++=beautiful
speech ^nn++++=speech
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
known ^vbn+vprv++xvbn+=known
to ^to+vcmp+++=to
every ^at++++=every
American ^jj+atrb+++=American
boy ^nn++++=boy
and ^cc++++=and
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
all ^abn++++=all
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered
from ^in++++=from
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
still ^rb++++=still
the ^ati++++=the
friend ^nn++++=friend
of ^in++++=of
the ^ati++++=the
white ^jj+atrb+++=white
men ^nns++++=men.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kept ^vbd+++xvbnx+=kept
his ^pp$+pp3+++=his
word ^nn++++=word
to ^in++++=to
Kenton ^np+++??+=Kenton,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
fail ^vbi++++=fail,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Girty ^np+++??+=Girty
had ^vbd+hvd+aux++=had
failed ^vprf+++xvbnx+=failed,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
his ^pp$+pp3+++=his
sentence ^nn+nom+++=sentence
set ^vbd+++xvbn+=set
aside ^rb+cnj+++=aside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Kenton ^np+++??+=Kenton
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
on ^in+cmpx+++=on
to ^in++++=to
Sandusky ^np+++??+=Sandusky.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
the ^ati++++=the
day ^nn++++=day
before ^cs+sub+++=before
that ^dt+pdem+++=that
set ^vbd+++xvbn+=set
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
die ^vbi++++=die,
, ^zz++++=EXTRAWORD
a ^at++++=a
British ^jj+atrb+++=British
Indian ^jj+atrb+++=Indian
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
a ^at++++=a
merciful ^jj+atrb+++=merciful
man ^nn++++=man
whose ^whp+rel+obj++=whose
name ^nn++++=name,
, ^zz++++=EXTRAWORD
Drewyer ^np+++??+=Drewyer,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
the ^ati++++=the
Indians ^nn++++=Indians
give ^vb++++=give
him ^pp3o+pp3+++=him
up ^rp++++=up,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
commandant ^nn+nom+++=commandant
at ^rb++++=at
Detroit ^np+++??+=Detroit
might ^md+pos+++=might
find ^vb+vprv+++=find
out ^rp+pl+++=out
from ^in++++=from
him ^pp3o+pp3+++=him
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
the ^ati++++=the
American ^jj+atrb+++=American
forces ^nns++++=forces
in ^in++++=in
Kentucky ^np+++??+=Kentucky.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
to ^in++++=to
promise ^nn++++=promise
the ^ati++++=the
savages ^nns+nom+++=savages
that ^tht+rel+obj++=that
Kenton ^np+++??+=Kenton
should ^md+nec+++=should
afterwards ^rb+tm+++=afterwards
be ^vb+be+aux++=be
returned ^vpsv++agls+xvbnx+=returned
to ^in++++=to
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
though ^cs+sub+++=though
Kenton ^np+++??+=Kenton
could ^md+pos+++=could
not ^xnot++not++=not
or ^cc++++=or
would ^md+prd+++=would
not ^xnot++not++=not
tell ^vb++++=tell
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
know ^vbi+vprv+++=know,
, ^zz++++=EXTRAWORD
Drewyer ^np+++??+=Drewyer
assured ^vwbn+++xvbn+=assured
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
never ^rb++splt++=never
abandon ^vb++++=abandon
any ^dti++++=any
white ^jj+atrb+++=white
prisoner ^nn+nom+++=prisoner
to ^in++++=to
their ^pp$+pp3+++=their
cruelty ^nn++++=cruelty.
. ^zz++++=EXTRAWORD
At ^in++++=At
Detroit ^np+++??+=Detroit
Kenton ^np+++??+=Kenton
was ^vbd+bedz+aux++=was
kindly ^jj+pred+++=kindly
treated ^vpsv++by+xvbn+=treated
by ^in++++=by
the ^ati++++=the
English ^nn++++=English,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
having ^nn++++=having
to ^in++++=to
report ^nn++++=report
himself ^ppl+pp3+++=himself
daily ^jj++++=daily
to ^in++++=to
the ^ati++++=the
officer ^nn++++=officer
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
charge ^nn++++=charge
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
to ^to++++=to
make ^vbi++++=make
him ^pp3o+pp3+++=him
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
grew ^vbd+++xvbnx+=grew
restive ^jj++++=restive
in ^in++++=in
his ^pp$+pp3+++=his
captivity ^nn+nom+++=captivity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
seven ^cd++++=seven
months ^nns++++=months
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vbd+++xvbn+=got
well ^jj+pred+++=well
of ^in++++=of
all ^abn++++=all
his ^pp$+pp3+++=his
wounds ^nns++++=wounds
and ^cc++++=and
bruises ^nns++++=bruises,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
plotted ^vbd+++xvbnx+=plotted
with ^in++++=with
two ^cd++++=two
young ^jj+atrb+++=young
Kentuckians ^np+++??+=Kentuckians,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
with ^in++++=with
Boone ^np++++=Boone
at ^in++++=at
the ^ati++++=the
Blue ^jj+atrb+++=Blue
Licks ^np+++??+=Licks,
, ^zz++++=EXTRAWORD
to ^in++++=to
attempt ^nn++++=attempt
his ^pp$+pp3+++=his
escape ^nn++++=escape
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
bought ^vbd+++xvbnx+=bought
guns ^nns++++=guns
from ^in++++=from
some ^dti++++=some
drunken ^jj+atrb+++=drunken
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hid ^vbd+++xvbn+=hid
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
in ^in++++=in
the ^ati++++=the
month ^nn++++=month
of ^in++++=of
June ^nr++++=June,
, ^zz++++=EXTRAWORD
1778 ^cd+date+++=1778,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
started ^vbd+++xvbnx+=started
southward ^rb++++=southward
through ^in++++=through
the ^ati++++=the
wilderness ^nns+nom+++=wilderness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
thirty ^cd++++=thirty
days ^nns++++=days
reached ^vbd+++xvbn+=reached
Louisville ^np+++??+=Louisville
in ^in++++=in
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
Kenton ^np+++??+=Kenton
continued ^vbd+++xvbn+=continued
to ^to++++=to
fight ^vbi++++=fight
the ^ati++++=the
Indians ^nn++++=Indians
in ^in++++=in
all ^abn++++=all
the ^ati++++=the
wars ^nns++++=wars,
, ^zz++++=EXTRAWORD
large ^jj++++=large
and ^cc+phrs+++=and
little ^jj++++=little,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
beaten ^vpsv++by+xvbnx+=beaten
by ^in++++=by
General ^jj+atrb+++=General
Wayne ^np+++??+=Wayne
in ^in++++=in
1794 ^cd+date+++=1794.
. ^zz++++=EXTRAWORD
Eight ^cd++++=Eight
years ^nns++++=years
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^to++++=to
live ^vbi++++=live
in ^in++++=in
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
settling ^jj+++xvbg+=settling
near ^in+pl+++=near
Urbana ^np+++??+=Urbana,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
removing ^vbg+++xvbg+=removing
later ^rbr+tm+++=later
to ^in++++=to
Zanesfield ^np+++??+=Zanesfield,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
site ^nn++++=site
of ^in++++=of
the ^ati++++=the
Indian ^jj+atrb+++=Indian
town ^nn++++=town
Wapatimika ^np+++??+=Wapatimika,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
to ^in++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
burned ^vpsv++agls+xvbnx+=burned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died
peaceably ^rb++++=peaceably
in ^in++++=in
1836 ^cd+date+++=1836,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
eighty ^cd++++=eighty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
a ^at++++=a
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
handsome ^jj+atrb+++=handsome
man ^nn++++=man,
, ^zz++++=EXTRAWORD
of ^in++++=of
an ^at++++=an
erect ^jj+atrb+++=erect
figure ^nn++++=figure
and ^cc++++=and
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
a ^at++++=a
fair ^jj+atrb+++=fair
complexion ^nn++++=complexion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
most ^ql+emph+++=most
attractive ^jj+atrb+++=attractive
countenance ^nn+nom+++=countenance.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=had,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
biographer ^nn+nom+++=biographer
tells ^vbz++++=tells
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
" ^zz++++="a
a ^at++++=EXTRAWORD
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
tremulous ^jj+atrb+++=tremulous
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
pleasing ^jj+++xvbg+=pleasing
to ^in++++=to
the ^ati++++=the
hearer ^jjr++++=hearer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laughing ^nvbg+++xvbg+=laughing
gray ^np++++=gray
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
appeared ^vprf+++xvbn+=appeared
to ^to+vcmp+++=to
fascinate ^nn+nom+++=fascinate
the ^ati++++=the
beholder ^jjr++++=beholder,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
his ^pp$+pp3+++=his
rare ^jj+atrb+++=rare
moments ^nns+nom+++=moments
of ^in++++=of
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
their ^pp$+pp3+++=their
fiery ^jj+atrb+++=fiery
glance ^nn++++=glance
would ^md+prd+++=would
curdle ^vb+++??+=curdle
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
roused ^vprf+++xvbnx+=roused
his ^pp$+pp3+++=his
wrath ^nn++++=wrath.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
above ^rb++++=above
all ^abn++++=all
the ^ati++++=the
heroes ^nns++++=heroes
of ^in++++=of
Ohio ^np+++??+=Ohio
history ^nn++++=history,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
his ^pp$+pp3+++=his
virtues ^nns++++=virtues
and ^cc++++=and
his ^pp$+pp3+++=his
vices ^nns++++=vices,
, ^zz++++=EXTRAWORD
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
the ^ati++++=the
Indian ^jj+atrb+++=Indian
fighter ^nn++++=fighter.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
kill ^vbi++++=kill
or ^cc++++=or
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
chances ^nns+nom+++=chances
of ^in++++=of
being ^nn+nn+aux++=being
killed ^vbd+++xvbn+=killed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
more ^ql++++=more
hate ^vb++++=hate
apparently ^rb++++=apparently
for ^in++++=for
the ^ati++++=the
wild ^jj+atrb+++=wild
men ^nns++++=men
than ^in++++=than
for ^in++++=for
the ^ati++++=the
wild ^jj+atrb+++=wild
beasts ^nns++++=beasts
he ^pp3a+pp3+++=he
hunted ^vbd+++xvbn+=hunted.
. ^zz++++=EXTRAWORD
