( ^zz++++=(1855)In
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
unconditionality ^nn+nom+++=unconditionality
cloyed ^vbd+++xvbn+=cloyed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
like ^in++++=like
somehypochondriac ^nn+++??+=somehypochondriac
abbot ^npt++++=abbot
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
slowly ^rb++++=slowly
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
at ^rb++++=at
times ^nns++++=times
suddenly ^rb++++=suddenly
pausing,starting ^jj+++xvbg+=pausing,starting,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
staring ^jj+++xvbg+=staring,
, ^zz++++=EXTRAWORD
biting ^vbg+++xvbg+=biting
his ^pp$+pp3+++=his
lip ^nn++++=lip,
, ^zz++++=EXTRAWORD
biting ^vbg+++xvbg+=biting
his ^pp$+pp3+++=his
finger ^nn++++=finger-nail,
- ^zz++++=EXTRAWORD
nail ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
flushing,paling ^nn+nom+++=flushing,paling,
, ^zz++++=EXTRAWORD
twitching ^vbg+++xvbg+=twitching
his ^pp$+pp3+++=his
beard ^nn++++=beard,
, ^zz++++=EXTRAWORD
with ^in++++=with
other ^ap++++=other
symptoms ^nns++++=symptoms
of ^in++++=of
an ^at++++=an
absent ^jj++++=absent
or ^cc++++=or
moodymind ^nn+++??+=moodymind.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
distempered ^jj+atrb++xvbn+=distempered
spirit ^nn++++=spirit
was ^vbd+bedz+aux++=was
lodged ^vpsv++agls+xvbnx+=lodged,
, ^zz++++=EXTRAWORD
as ^ql++++=as
before ^cs+sub+++=before
hinted ^vbd+vpub++xvbn+=hinted,
, ^zz++++=EXTRAWORD
in ^in++++=in
asdistempered ^jj+++xvbn+=asdistempered
a ^at++++=a
frame ^nn++++=frame.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
tall ^jj+pred+++=tall,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
seemed ^vbd+seem++xvbn+=seemed
never ^rb++++=never
to ^in++++=to
have ^vbi++vrb++=have
beenrobust ^nn+++??+=beenrobust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
with ^in++++=with
nervous ^jj+atrb+++=nervous
suffering ^nvbg+++xvbg+=suffering
was ^vbd+bedz+aux++=was
almost ^rb+hdg+splt++=almost
worn ^vpsv++agls+xvbnx+=worn
to ^in++++=to
a ^at++++=a
skeleton ^nn++++=skeleton.
. ^zz++++=EXTRAWORD
Atendency ^np+++??+=Atendency
to ^in++++=to
some ^dti++++=some
pulmonary ^nn+nom+++=pulmonary
complaint ^nn++++=complaint
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
latelyconfirmed ^vpsv++agls+xvbnx+=latelyconfirmed.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
was ^vbd+bedz+vrb++=was
like ^in++++=like
that ^dt+dem+++=that
of ^in++++=of
one ^pn++++=one
with ^in++++=with
lungs ^nns++++=lungs
half ^abn++++=half
gone ^vprf+++xvbn+=gone--hoarselysuppressed,
-- ^--+clp+++=EXTRAWORD
hoarselysuppressed ^j+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
husky ^nn+++??+=husky
whisper ^vb+vpub+++=whisper.
. ^zz++++=EXTRAWORD
No ^at++++=No
wonder ^vb++++=wonder
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
this ^dt+dem+++=this
state ^nn+vpub+++=state
hetottered ^vbd+++xvbn+=hetottered
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
private ^jj+atrb+++=private
servant ^nn+nom+++=servant
apprehensively ^jj+atrb+++=apprehensively
followed ^jj+atrb++xvbn+=followed
him.sometimes ^nns+++??+=him.Sometimes
the ^ati++++=the
negro ^nn++++=negro
gave ^vbd+++xvbn+=gave
his ^pp$+pp3+++=his
master ^nn++++=master
his ^pp$+pp3+++=his
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
took ^vbd+++xvbn+=took
his ^pp$+pp3+++=his
handkerchiefout ^nn+++??+=handkerchiefout
of ^in++++=of
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
for ^in++++=for
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
performing ^vbg+++xvbg+=performing
these ^dt+pdem+++=these
and ^cc++++=and
similar ^jj+atrb+++=similar
offices ^nns++++=offices
withthat ^jj+atrb++??+=withthat
affectionate ^jj+atrb+++=affectionate
zeal ^nn++++=zeal
which ^whp+rel+obj++=which
transmutes ^nns+++??+=transmutes
into ^in++++=into
something ^pn++++=something
filial ^jj+atrb+++=filial
orfraternal ^jj+atrb+++=orfraternal
acts ^nns++++=acts
in ^in++++=in
themselves ^ppls+pp3+++=themselves
but ^cc++++=but
menial ^jj++++=menial;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
gained ^vprf+++xvbnx+=gained
for ^in++++=for
thenegro ^nn+++??+=thenegro
the ^ati++++=the
repute ^nn++++=repute
of ^in++++=of
making ^xvbg+++xvbg+=making
the ^ati++++=the
most ^ql+emph+++=most
pleasing ^jj+atrb++xvbg+=pleasing
body ^nn++++=body-servant
- ^zz++++=EXTRAWORD
servant ^nn+nom+++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
world;one ^nn+++??+=world;one,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
a ^at++++=a
master ^nn++++=master
need ^nn++++=need
be ^vb+be+vrb++=be
on ^in++++=on
no ^at++++=no
stiffly ^rb++++=stiffly
superior ^jj+atrb+++=superior
terms ^nns++++=terms
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
butmay ^nn+++??+=butmay
treat ^vb++++=treat
with ^in++++=with
familiar ^jj+atrb+++=familiar
trust ^nn++++=trust;
; ^zz++++=EXTRAWORD
less ^rbr++++=less
a ^at++++=a
servant ^nn+nom+++=servant
than ^in++++=than
a ^at++++=a
devoted ^jj+atrb++xvbn+=devoted
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
Marking ^nvbg+++xvbg+=Marking
the ^ati++++=the
noisy ^jj+atrb+++=noisy
indocility ^nn+nom+++=indocility
of ^in++++=of
the ^ati++++=the
blacks ^nns++++=blacks
in ^rb++++=in
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cs+sub+++=as
whatseemed ^vbd+seem++xvbn+=whatseemed
the ^ati++++=the
sullen ^jj+atrb+++=sullen
inefficiency ^nn++++=inefficiency
of ^in++++=of
the ^ati++++=the
whites ^nns++++=whites
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
without ^in++++=without
humanesatisfaction ^nn+nom+++=humanesatisfaction
that ^tht+rel+obj++=that
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
witnessed ^vbd+++xvbn+=witnessed
the ^ati++++=the
steady ^jj++++=steady
good ^jj++++=good
conduct ^vb++++=conduct
ofbabo ^nn+++??+=ofBabo.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
good ^jj+atrb+++=good
conduct ^nn++++=conduct
of ^in++++=of
Babo ^np+++??+=Babo,
, ^zz++++=EXTRAWORD
hardly ^rb+down+++=hardly
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
ill ^jj++++=ill-behavior
- ^zz++++=EXTRAWORD
behavior ^nn++++=EXTRAWORD
ofothers ^nns+nom+++=ofothers,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
withdraw ^vbi++++=withdraw
the ^ati++++=the
half ^abn++++=half-lunatic
- ^zz++++=EXTRAWORD
lunatic ^jj+atrb+++=EXTRAWORD
Don ^nn++++=Don
Benito ^np+++??+=Benito
from ^in++++=from
his ^pp$+pp3+++=his
cloudylanguor ^nn++++=cloudylanguor.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^dt+dem+++=that
such ^abl++++=such
precisely ^rb++++=precisely
was ^vbd+bedz+vrb++=was
the ^ati++++=the
impression ^nn++++=impression
made ^vwbn+++xvbn+=made
by ^in++++=by
the ^ati++++=the
Spaniardon ^np+++??+=Spaniardon
the ^ati++++=the
mind ^nn++++=mind
of ^in++++=of
his ^pp$+pp3+++=his
visitor ^nn++++=visitor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Spaniard ^np++++=Spaniard's
's ^$++++=EXTRAWORD
individual ^jj+atrb+++=individual
unrest ^nn++++=unrest
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
forthe ^nn+++??+=forthe
present ^vb++++=present,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
noted ^vbd+vprv++xvbn+=noted
as ^ql++++=as
a ^at++++=a
conspicuous ^jj+atrb+++=conspicuous
feature ^nn++++=feature
in ^in++++=in
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
generalaffliction ^nn+nom+++=generalaffliction.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^rb++++=a
little ^rb"++++=little
concerned ^jj+++xvbn+=concerned
at ^rb++++=at
what ^wdt+who+++=what
hecould ^nn+++??+=hecould
not ^xnot++not++=not
help ^vb++++=help
taking ^vbg+++xvbg+=taking
for ^in++++=for
the ^ati++++=the
time ^nn++++=time
to ^to++++=to
be ^vbi++vrb++=be
Don ^npt++++=Don
Benito ^np++++=Benito's
's ^$++++=EXTRAWORD
unfriendlyindifference ^nn+nom+++=unfriendlyindifference
towards ^in++++=towards
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Spaniard ^np++++=Spaniard's
's ^$++++=EXTRAWORD
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
conveyed ^jj+atrb++xvbn+=conveyed
asort ^nn+++??+=asort
of ^in++++=of
sour ^jj+atrb+++=sour
and ^cc+phrs+++=and
gloomy ^jj+atrb+++=gloomy
disdain ^nn++++=disdain,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
at ^rb++++=at
no ^at++++=no
pains ^nns++++=pains
todisguise ^vb++++=todisguise.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
the ^ati++++=the
American ^nn+nom+++=American
in ^in++++=in
charity ^nn+nom+++=charity
ascribed ^vwbn+++xvbn+=ascribed
to ^in++++=to
the ^ati++++=the
harassingeffects ^nns+++??+=harassingeffects
of ^in++++=of
sickness ^nns+nom+++=sickness,
, ^zz++++=EXTRAWORD
since ^in++++=since,
, ^zz++++=EXTRAWORD
in ^in++++=in
former ^ap++++=former
instances ^nns+nom+++=instances,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
noted ^vprf+++xvbnx+=noted
that ^tht+vcmp+++=that
thereare ^nn+++??+=thereare
peculiar ^jj+atrb+++=peculiar
natures ^nns++++=natures
on ^in++++=on
whom ^whp+rel+pied++=whom
prolonged ^jj+++xvbn+=prolonged
physical ^jj++++=physical
suffering ^xvbg+++xvbg+=suffering
seems ^vbz+seem+++=seems
tocancel ^nn+++??+=tocancel
every ^at++++=every
social ^jj+atrb+++=social
instinct ^nn++++=instinct
of ^in++++=of
kindness ^nns+nom+++=kindness;
; ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
forced ^xvbn+++xvbn+=forced
to ^in+vcmp+++=to
black ^jj+atrb+++=black
breadthemselves ^nns+++??+=breadthemselves,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
deemed ^vbd+++xvbnx+=deemed
it ^pp3+it+++=it
but ^cc++++=but
equity ^nn++++=equity
that ^tht+rel+obj++=that
each ^dt++++=each
person ^nn++++=person
coming ^vwbg+++xvbg+=coming
nigh ^rb++++=nigh
themshould ^jj+++??+=themshould,
, ^zz++++=EXTRAWORD
indirectly ^rb+cnj+++=indirectly,
, ^zz++++=EXTRAWORD
by ^in++++=by
some ^dti++++=some
slight ^jj++++=slight
or ^cc++++=or
affront ^nn++++=affront,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
partake ^vbi++++=partake
oftheir ^nn+++??+=oftheir
fare ^vb++++=fare.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
ere ^nn+++??+=ere
long ^rb++++=long
Captain ^npt++++=Captain
Delano ^np+++??+=Delano
bethought ^vbd+++xvbn+=bethought
him ^pp3o+pp3+++=him
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
indulgent ^jj++++=indulgent
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
atthe ^nn+++??+=atthe
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
in ^in++++=in
judging ^xvbg+++xvbg+=judging
the ^ati++++=the
Spaniard ^np+++??+=Spaniard,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
might ^md+pos+++=might
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
haveexercised ^jj+atrb++xvbn+=haveexercised
charity ^nn+nom+++=charity
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
At ^in++++=At
bottom ^jjb++++=bottom
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Don ^npt++++=Don
Benito ^np++++=Benito's
's ^$++++=EXTRAWORD
reserve ^nn++++=reserve
whichdispleased ^vbd+++xvbn+=whichdispleased
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
same ^ap++++=same
reserve ^nn++++=reserve
was ^vbd+bedz+aux++=was
shown ^vpsv++agls+xvbnx+=shown
towards ^in++++=towards
all ^rb++++=all
but ^cc++++=but
hisfaithful ^jj+atrb+++=hisfaithful
personal ^jj+atrb+++=personal
attendant ^nn+nom+++=attendant.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
formal ^jj+atrb+++=formal
reports ^nns++++=reports
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
according ^in++++=according
tosea ^nn+++??+=tosea-usage,
- ^zz++++=EXTRAWORD
usage ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
at ^in++++=at
stated ^vbd+vpub++xvbn+=stated
times ^nns++++=times,
, ^zz++++=EXTRAWORD
made ^vb+++xvbn+=made
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
by ^in++++=by
some ^dti++++=some
petty ^jj++++=petty
underling,either ^jjr++++=underling,either
a ^at++++=a
white ^jj++++=white,
, ^zz++++=EXTRAWORD
mulatto ^nn+++??+=mulatto
or ^cc++++=or
black ^nn++++=black,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
hardly ^rb+down+++=hardly
had ^vb+hv+vrb++=had
patience ^nn+nom+++=patience
enough ^qlp++++=enough
tolisten ^jj+++xvbn+=tolisten
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
without ^in++++=without
betraying ^xvbg+++xvbg+=betraying
contemptuous ^jj+atrb+++=contemptuous
aversion ^nn++++=aversion.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
manner ^nn++++=manner
upon ^in++++=upon
suchoccasions ^nns+++??+=suchoccasions
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
degree ^nn++++=degree,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
unlike ^in++++=unlike
that ^dt+pdem+++=that
which ^whp+rel+subj++=which
might ^md+pos+++=might
be ^vb+be+aux++=be
supposedto ^nn+++??+=supposedto
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
his ^pp$+pp3+++=his
imperial ^jj+atrb+++=imperial
countryman ^nn+nom+++=countryman's,
's, ^nn+++??+=EXTRAWORD
Charles ^np++++=Charles
V ^zz++++=V.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
previous ^jj++++=previous
to ^in++++=to
theanchoritish ^jj+atrb+++=theanchoritish
retirement ^nn+nom+++=retirement
of ^in++++=of
that ^dt+dem+++=that
monarch ^nn++++=monarch
from ^in++++=from
the ^ati++++=the
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
splenetic ^jj++++=splenetic
disrelish ^jj++++=disrelish
of ^in++++=of
his ^pp$+pp3+++=his
place ^nn++++=place
was ^vbd+bedz+aux++=was
evinced ^vpsv++agls+xvbnx+=evinced
in ^in++++=in
almost ^rb+hdg+++=almost
everyfunction ^nn+nom+++=everyfunction
pertaining ^vwbg+++xvbg+=pertaining
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Proud ^jj++++=Proud
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
moody ^jj+pred+++=moody,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
condescended ^vbd+++xvbnx+=condescended
to ^in++++=to
nopersonal ^jj+atrb+++=nopersonal
mandate ^nn+nom+++=mandate.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
special ^jj+atrb+++=special
orders ^nns++++=orders
were ^vbd+bed+vrb++=were
necessary ^jj+pred+++=necessary,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
deliverywas ^vbz+++??+=deliverywas
delegated ^vbd+++xvbn+=delegated
to ^in++++=to
his ^pp$+pp3+++=his
body ^nn++++=body-servant,
- ^zz++++=EXTRAWORD
servant ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
in ^in++++=in
turn ^nn++++=turn
transferred ^vwbn+++xvbn+=transferred
them ^pp3o+pp3+++=them
to ^to++++=to
theirultimate ^nn+nom+++=theirultimate
destination ^nn+nom+++=destination,
, ^zz++++=EXTRAWORD
through ^in++++=through
runners ^nns+nom+++=runners,
, ^zz++++=EXTRAWORD
alert ^nn++++=alert
Spanish ^jj+atrb+++=Spanish
boys ^nns++++=boys
or ^cc++++=or
slave ^nn++++=slave
boys,like ^jj+atrb+++=boys,like
pages ^nns++++=pages
or ^cc++++=or
pilot ^nn++++=pilot-fish
- ^zz++++=EXTRAWORD
fish ^nns++++=EXTRAWORD
within ^in++++=within
easy ^jj+atrb+++=easy
call ^nn++++=call
continually ^rb++++=continually
hovering ^vbg+++xvbg+=hovering
round ^rb++++=round
Donbenito ^np+++??+=DonBenito.
. ^zz++++=EXTRAWORD
So ^ql++++=So
that ^cs+sub+++=that
to ^in++++=to
have ^vbi++vrb++=have
beheld ^nn+++??+=beheld
this ^dt+dem+++=this
undemonstrative ^jj+atrb+++=undemonstrative
invalid ^nn++++=invalid
glidingabout ^nn+++??+=glidingabout,
, ^zz++++=EXTRAWORD
apathetic ^jj++++=apathetic
and ^cc+phrs+++=and
mute ^jj++++=mute,
, ^zz++++=EXTRAWORD
no ^at++++=no
landsman ^nn++++=landsman
could ^md+pos+++=could
have ^vb+hv+aux++=have
dreamed ^vprf+++xvbnx+=dreamed
that ^tht+vcmp+++=that
in ^in++++=in
himwas ^nn++++=himwas
lodged ^vbd+++xvbn+=lodged
a ^at++++=a
dictatorship ^nn+nom+++=dictatorship
beyond ^in++++=beyond
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
at ^rb++++=at
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
noearthly ^jj+pred+++=noearthly
appeal ^vb++++=appeal.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Spaniard ^np+++??+=Spaniard,
, ^zz++++=EXTRAWORD
regarded ^xvbn+++xvbn+=regarded
in ^in++++=in
his ^pp$+pp3+++=his
reserve ^nn++++=reserve,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
the ^ati++++=the
involuntaryvictim ^nn+++??+=involuntaryvictim
of ^in++++=of
mental ^jj+atrb+++=mental
disorder ^nn+nom+++=disorder.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
reserve ^nn++++=reserve
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
in ^in++++=in
somedegree ^nn+nom+++=somedegree,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
proceeded ^vprf+++xvbnx+=proceeded
from ^in++++=from
design ^nn++++=design.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
so ^ql++++=so,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
here ^rn+pl+++=here
was ^vbd+bedz+aux++=was
evinced ^vpsv++agls+xvbnx+=evinced
theunhealthy ^nn+++??+=theunhealthy
climax ^nn++++=climax
of ^in++++=of
that ^dt+dem+++=that
icy ^jj+atrb+++=icy
though ^cs+sub+++=though
conscientious ^jj+atrb+++=conscientious
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
or ^cc++++=or
lessadopted ^vpsv++by+xvbn+=lessadopted
by ^in++++=by
all ^abn++++=all
commanders ^nns+nom+++=commanders
of ^in++++=of
large ^jj+atrb+++=large
ships ^nns++++=ships,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
signalemergencies ^nns+++??+=signalemergencies,
, ^zz++++=EXTRAWORD
obliterates ^nns+nom+++=obliterates
alike ^rb++++=alike
the ^ati++++=the
manifestation ^nn+nom+++=manifestation
of ^in++++=of
sway ^nn++++=sway
with ^in++++=with
everytrace ^nn+++??+=everytrace
of ^in++++=of
sociality ^nn+nom+++=sociality;
; ^zz++++=EXTRAWORD
transforming ^vbg+++xvbg+=transforming
the ^ati++++=the
man ^nn++++=man
into ^in++++=into
a ^at++++=a
block ^nn++++=block,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
into ^in++++=into
aloaded ^jj+atrb++xvbn+=aloaded
cannon ^nn++++=cannon,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
call ^vb++++=call
for ^in+ppvb+++=for
thunder ^nn++++=thunder,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
nothing ^pn++++=nothing
tosay ^jj+++??+=tosay.
. ^zz++++=EXTRAWORD
Viewing ^nvbg+++xvbg+=Viewing
him ^pp3o+pp3+++=him
in ^in++++=in
this ^dt+dem+++=this
light ^nn++++=light,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
but ^cc++++=but
a ^at++++=a
natural ^jj+atrb+++=natural
token ^nn++++=token
of ^in++++=of
the ^ati++++=the
perversehabit ^nn++++=perversehabit
induced ^vwbn+++xvbn+=induced
by ^in++++=by
a ^at++++=a
long ^rb++++=long
course ^nn++++=course
of ^in++++=of
such ^abl++++=such
hard ^jj+atrb+++=hard
self ^nn++++=self-restraint,
- ^zz++++=EXTRAWORD
restraint ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that,notwithstanding ^jj+++xvbg+=that,notwithstanding
the ^ati++++=the
present ^jj+atrb+++=present
condition ^nn+nom+++=condition
of ^in++++=of
his ^pp$+pp3+++=his
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Spaniard ^np+++??+=Spaniard
shouldstill ^nn+++??+=shouldstill
persist ^nn+nom+++=persist
in ^in++++=in
a ^at++++=a
demeanor ^nn++++=demeanor,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
harmless ^jj++++=harmless,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be,appropriate ^nn+nom+++=be,appropriate,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
well ^rb++++=well-appointed
- ^zz++++=EXTRAWORD
appointed ^vbd+++xvbn+=EXTRAWORD
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
San ^np++++=San
Dominick ^np+++??+=Dominick
mighthave ^nn+++??+=mighthave
been ^vprf+ben+vrb+xvbn+=been
at ^rb++++=at
the ^ati++++=the
outset ^nn++++=outset
of ^in++++=of
the ^ati++++=the
voyage ^nn++++=voyage,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
anything ^rb++++=anything
but ^rb"++++=but
judicious ^jj+atrb+++=judicious
now.but ^nn+++??+=now.But
the ^ati++++=the
Spaniard ^np+++??+=Spaniard,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
thought ^vb+++xvbn+=thought
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
with ^in++++=with
captains ^nns++++=captains
as ^ql++++=as
withgods ^nns+++??+=withgods:
: ^zz++++=EXTRAWORD
reserve ^nn++++=reserve,
, ^zz++++=EXTRAWORD
under ^in++++=under
all ^abn++++=all
events ^nns++++=events,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
still ^rb++++=still
be ^vb+be+vrb++=be
their ^pp$+pp3+++=their
cue ^nn++++=cue.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
probablythis ^nns+++??+=probablythis
appearance ^nn+nom+++=appearance
of ^in++++=of
slumbering ^xvbg+++xvbg+=slumbering
dominion ^nn++++=dominion
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
but ^cc++++=but
an ^at++++=an
attempteddisguise ^vb++++=attempteddisguise
to ^in+vcmp+++=to
conscious ^jj+atrb+++=conscious
imbecility ^nn+nom+++=imbecility--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
deep ^jj+atrb+++=deep
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
shallow ^jj+atrb+++=shallow
device.but ^nn+++??+=device.But
be ^vb+be+vrb++=be
all ^abn++++=all
this ^dt+dem+++=this
as ^ql++++=as
it ^pp3+it+++=it
might ^md+pos+++=might,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
Don ^np++++=Don
Benito ^np++++=Benito's
's ^$++++=EXTRAWORD
manner ^nn++++=manner
was ^vbd+bedz+aux++=was
designed ^vpsv++agls+xvbnx+=designed
