( ^zz++++=(January
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
Berlin ^np++++=Berlin,
, ^zz++++=EXTRAWORD
the ^ati++++=the
capital ^nn++++=capital
of ^in++++=of
Germany ^np++++=Germany.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
all ^rb++++=all
cried ^vbd+++xvbn+=cried;
; ^zz++++=EXTRAWORD
' ^zz++++='Berlin,
berlin ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
capital ^nn++++=capital
of ^in++++=of
Germany ^np++++=Germany.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='So,
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
no ^at++++=no
good ^jj++++=good,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
triumphantly ^rb+cnj+++=triumphantly,
, ^zz++++=EXTRAWORD
' ^zz++++='because
because ^cs+cos+++=EXTRAWORD
your ^pp$+pp2+++=your
people ^nns++++=people
can ^md+pos+++=can
never ^rb++splt++=never
come ^vb++++=come
for ^in+ppvb+++=for
you ^pp2+pp2+++=you
here ^rn+pl+++=here.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='They
they ^pp3a+pp3+++=EXTRAWORD
told ^vbd+vpub++xvbnx+=told
us ^pp1o+pp1+++=us
to ^to++++=to
come ^vbi++++=come
here ^rn+pl+++=here
and ^cc++++=and
wait ^vb++++=wait
till ^cs+sub+++=till
our ^pp$+pp1+++=our
people ^nns++++=people
came ^vbd+++xvbn+=came
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
delivered ^vbd+++xvbnx+=delivered
this ^dt+dem+++=this
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
lesson ^nn++++=lesson
in ^in++++=in
school ^nn++++=school.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
sat ^vbd+++xvbnx+=sat
still ^jj+pred+++=still,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
hands ^nns++++=hands
orderly ^jj++++=orderly
folded ^jj+++xvbn+=folded
on ^in++++=on
their ^pp$+pp3+++=their
laps ^nns++++=laps,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
as ^ql++++=as
sweetly ^rb++++=sweetly
as ^in++++=as
ever ^rb++++=ever.
. ^zz++++=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
away ^rp+pl+++=away!
! ^zz++++=EXTRAWORD
Go ^vb++++=Go
away ^rp+pl+++=away!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
shrieked ^vbd+++xvbn+=shrieked.
. ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
called ^vbd+++xvbn+=called?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Anna ^np++++=Anna,
, ^zz++++=EXTRAWORD
entering ^vbg+++xvbg+=entering.
. ^zz++++=EXTRAWORD
' ^zz++++='No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
away ^rp+pl+++=away!
! ^zz++++=EXTRAWORD
Go ^vb++++=Go
away ^rp+pl+++=away!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Very
very ^ql+amp+++=EXTRAWORD
good ^jj+atrb+++=good,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
cat ^nn++++=cat,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
maid ^nn++++=maid
under ^in++++=under
her ^pp$+pp3+++=her
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
' ^zz++++='Next
next ^ap++++=EXTRAWORD
time ^nn++++=time
you ^pp2+pp2+++=you
_may_ ^nn+++??+=_may_
call ^vb++++=call,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
she ^pp3a+pp3+++=she
returned ^vbd+++xvbnx+=returned
to ^in++++=to
her ^pp$+pp3+++=her
friend ^nn++++=friend
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
ask ^vb++++=ask
you ^pp2+pp2+++=you--ask
-- ^--+clp+++=EXTRAWORD
ask ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
_please_ ^nn+++??+=_please_
to ^to++++=to
go ^vbi++++=go
away ^rp+pl+++=away,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
pleaded ^vbd+vpub++xvbn+=pleaded.
. ^zz++++=EXTRAWORD
' ^zz++++='Go
go ^vb++++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
Anna ^np++++=Anna
through ^in++++=through
that ^dt+dem+++=that
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
cakes ^nns++++=cakes
and ^cc++++=and
sweeties ^nns+++??+=sweeties.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
kind ^rb+hdg+++=kind
of ^rb"+hdg"+++=of
you ^pp2+pp2+++=you
to ^to++++=to
come ^vbi++++=come
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
room ^nn++++=room
and ^cc++++=and
behave ^vb++++=behave
so ^rb++++=so
badly ^rb++++=badly.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Where
where ^wrb+who+++=EXTRAWORD
else ^rb+cnj+++=else
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
go ^vb++++=go
now ^rn+tm+++=now?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
elder ^jjr+atrb+++=elder
girl ^nn++++=girl
demanded ^vbd+vsua++xvbn+=demanded,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^in++++=to
her ^pp$+pp3+++=her
little ^ap++++=little
company ^nn++++=company.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
fell ^vbd+++xvbnx+=fell
into ^in+ppvb+++=into
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
preferred ^vbd+++xvbn+=preferred
the ^ati++++=the
broad ^jj+atrb+++=broad
street ^nn++++=street
with ^in++++=with
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
another ^dt++++=another
the ^ati++++=the
railway ^nn++++=railway
station ^nn+nom+++=station;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
suggested ^vbd+vpub++xvbnx+=suggested
an ^at++++=an
Emperor ^np++++=Emperor's
's ^$++++=EXTRAWORD
palace ^nn++++=palace,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
agreed ^vbd+vpub++xvbnx+=agreed
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
' ^zz++++='We
we ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
go ^vb++++=go
then ^rn+tm+++=then,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
added ^vbd+vpub++xvbn+=added
half ^abn++++=half
apologetically ^rb++++=apologetically
to ^in++++=to
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann,
, ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
so ^ql++++=so
little ^ap++++=little
they ^pp3a+pp3+++=they
like ^vb++++=like
to ^to+vcmp+++=to
meet ^vbi++++=meet
all ^abn++++=all
the ^ati++++=the
others ^aps++++=others.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+++=EXTRAWORD
others ^aps++++=others?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
others ^aps++++=others--hundreds
-- ^--+clp+++=EXTRAWORD
hundreds ^cds++++=EXTRAWORD
and ^cc++++=and
hundreds ^cds++++=hundreds
and ^cc++++=and
thousands ^cds++++=thousands
and ^cc++++=and
thousands ^cds++++=thousands
of ^in++++=of
the ^ati++++=the
others ^aps++++=others.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
a ^at++++=a
hundred ^cd++++=hundred
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
much ^ap++++=much
less ^rbr++++=less
a ^at++++=a
thousand ^cd++++=thousand,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann.
. ^zz++++=EXTRAWORD
' ^zz++++='So?'
so ^ql++++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
girl ^nn++++=girl
politely ^rb++++=politely.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
_i_ ^nn+++??+=_I_
tell ^vb++++=tell
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
very ^ql+amp+++=very
good ^jj+atrb+++=good
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
more ^rbr++++=more
careful ^jj++++=careful.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
not ^xnot++not++=not
have ^vb+hv+aux++=have
run ^vprf+++xvbnx+=run
out ^rp+pl+++=out
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
horses ^nns++++=horses
and ^cc++++=and
guns ^nns++++=guns
passing ^vwbg+++xvbg+=passing.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
done ^vpsv++agls+xvbnx+=done
when ^wrb+who+++=when
our ^pp$+pp1+++=our
troops ^nns++++=troops
pass ^vb++++=pass
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
son ^nn++++=son
has ^vbz+hvz+aux++=has
written ^vprf+++xvbnx+=written
me ^pp1o+pp1+++=me
so ^rb++++=so.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
clambered ^vprf+++xvbnx+=clambered
down ^rp++++=down
from ^in++++=from
the ^ati++++=the
sofa ^nn++++=sofa,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gathered ^vpsv++agls+xvbn+=gathered
round ^rb++++=round
the ^ati++++=the
bed ^nn++++=bed
with ^in++++=with
eager ^jj+atrb+++=eager,
, ^zz++++=EXTRAWORD
interested ^jj+atrb+++=interested
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
' ^zz++++='Horses
horses ^nns++++=EXTRAWORD
and ^cc++++=and
guns ^nns++++=guns
going ^vwbg+++xvbg+=going
by ^in+strn+++=by--how
-- ^--+clp+++=EXTRAWORD
how ^wrb+who+++=EXTRAWORD
fine ^jj++++=fine!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
some ^dti++++=some
one ^cd1++++=one
whispered ^jj+++xvbn+=whispered.
. ^zz++++=EXTRAWORD
' ^zz++++='Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes;
; ^zz++++=EXTRAWORD
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
_that_ ^nn+++??+=_that_
is ^vbz+bez+vrb++=is
how ^wrb+who+++=how
the ^ati++++=the
accidents ^nns++++=accidents
to ^in++++=to
the ^ati++++=the
children ^nns++++=children
happen ^vb+++??+=happen.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
know ^vb+vprv+++=know
yourself ^ppl+pp2+++=yourself
that ^cs+sub+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
runs ^nns++++=runs
out ^rp+pl+++=out
to ^to++++=to
look ^vbi++++=look--'
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
any ^dti++++=any
at ^rb++++=at
all ^abn++++=all,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
a ^at++++=a
boy ^nn++++=boy
cried ^vbd+++xvbn+=cried
sorrowfully ^rb++++=sorrowfully.
. ^zz++++=EXTRAWORD
' ^zz++++='Only
only ^rb+down+++=EXTRAWORD
one ^cd1++++=one
noise ^nn++++=noise
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
Aunt ^nn++++=Aunt
Emmeline ^np++++=Emmeline's
's ^$++++=EXTRAWORD
house ^npl++++=house
fell ^vbd+++xvbn+=fell
down ^rp++++=down.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc++++=EXTRAWORD
listen ^vb++++=listen
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
_i_ ^nn+++??+=_I_
am ^vb+bem+aux++=am
telling ^nvbg+++xvbg+=telling
you ^pp2+pp2+++=you!
! ^zz++++=EXTRAWORD
One ^cd1++++=One
runs ^nns++++=runs
out ^rp+pl+++=out
to ^to++++=to
look ^vbi++++=look,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
one ^cd1++++=one
is ^vbz+bez+vrb++=is
little ^ap++++=little
and ^cc++++=and
cannot ^md+pos+not++=cannot
see ^vb+vprv+++=see
well ^jj+pred+++=well.
. ^zz++++=EXTRAWORD
So ^ql++++=So
one ^cd1++++=one
peeps ^nns+++??+=peeps
between ^in++++=between
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then--you
-- ^--+clp+++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
close ^rb++++=close
those ^dt+dem+++=those
big ^jj+atrb+++=big
horses ^nns++++=horses
and ^cc++++=and
guns ^nns++++=guns
turn ^vb++++=turn
the ^ati++++=the
corners ^nns+nom+++=corners--then
-- ^--+clp+++=EXTRAWORD
then ^rn+tm+++=EXTRAWORD
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
foot ^nn++++=foot
slips ^nns++++=slips
and ^cc++++=and
one ^cd1++++=one
gets ^vbz++++=gets
run ^vb+++xvbn+=run
over ^rb+phrv+++=over.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
how ^wrb+who+++=how
it ^pp3+it+++=it
happens ^vbz+vsua+++=happens.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
times ^nns++++=times
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
many ^ap++++=many
times ^nns++++=times;
; ^zz++++=EXTRAWORD
certainly ^rb++++=certainly
not ^xnot++not++=not
a ^at++++=a
hundred ^cd++++=hundred,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
not ^xnot++not++=not
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
_must_ ^nn+++??+=_must_
be ^vb+be+vrb++=be
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
now ^rn+tm+++=now
that ^cs+sub+++=that
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
all ^abn++++=all
that ^dt+dem+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anna ^np++++=Anna
shall ^md+prd+++=shall
give ^vb++++=give
you ^pp2+pp2+++=you
the ^ati++++=the
cakes ^nns++++=cakes.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Thousands,'
thousands ^cds++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
a ^at++++=a
boy ^nn++++=boy
repeated ^vbd+++xvbn+=repeated
monotonously ^rb++++=monotonously.
. ^zz++++=EXTRAWORD
' ^zz++++='Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
all ^abn++++=all
come ^vprf+++xvbn+=come
here ^rn+pl+++=here
to ^to++++=to
wait ^vbi++++=wait
till ^in++++=till
our ^pp$+pp1+++=our
people ^nns++++=people
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc++++=EXTRAWORD
now ^rn+tm+++=now
we ^pp1a+pp1+++=we
will ^md+prd+++=will
go ^vb++++=go
away ^in+pl+++=away
from ^in"++++=from
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj+atrb+++=poor
lady ^nn++++=lady
is ^vbz+bez+aux++=is
tired ^vpsv++agls+xvbnx+=tired,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
elder ^jjr+atrb+++=elder
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
plucking ^vbg+++xvbg+=plucking
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
hurt ^vbd+++xvbn+=hurt,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
hurt ^vbd+++xvbn+=hurt!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
burst ^vpsv++agls+xvbn+=burst
into ^in+ppvb+++=into
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
' ^zz++++='What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
that ^dt+dem+++=that
for ^in+strn+++=for?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann.
. ^zz++++=EXTRAWORD
' ^zz++++='To
to ^to++++=EXTRAWORD
cry ^vbi++++=cry
in ^in++++=in
a ^at++++=a
room ^nn++++=room
where ^wrb+who+++=where
a ^at++++=a
poor ^jj+atrb+++=poor
lady ^nn++++=lady
is ^vbz+bez+aux++=is
sick ^jj+pred+++=sick
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
inconsiderate ^jj++++=inconsiderate.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
look ^nn++++=look,
, ^zz++++=EXTRAWORD
lady ^npt++++=lady!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
elder ^jjr+atrb+++=elder
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
Frau ^np+++??+=Frau
Ebermann ^np+++??+=Ebermann
looked ^vbd+++xvbn+=looked
and ^cc+phrs+++=and
saw ^vbd+vprv++xvbn+=saw.
. ^zz++++=EXTRAWORD
' ^zz++++='_Au
_au ^nn+++??+=EXTRAWORD
revoir_ ^nn+++??+=revoir_,
, ^zz++++=EXTRAWORD
lady ^npt++++=lady.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
made ^vbd+++xvbnx+=made
their ^pp$+pp3+++=their
little ^ap++++=little
smiling ^jj+atrb++xvbg+=smiling
bows ^nns++++=bows
and ^cc++++=and
curtseys ^nns++++=curtseys
undisturbed ^jj++++=undisturbed
by ^in++++=by
her ^pp$+pp3+++=her
loud ^jj+atrb+++=loud
cries ^nns++++=cries.
. ^zz++++=EXTRAWORD
' ^zz++++='_Au
_au ^nn+++??+=EXTRAWORD
revoir,_ ^nn+++??+=revoir,_
lady ^npt++++=lady.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
wait ^vb++++=wait
till ^cs+sub+++=till
our ^pp$+pp1+++=our
people ^nns++++=people
come ^vprf+++xvbn+=come
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Anna ^np++++=Anna
at ^rb++++=at
last ^rb"++++=last
ran ^vbd+++xvbn+=ran
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
her ^pp$+pp3+++=her
mistress ^nns+nom+++=mistress
on ^in++++=on
her ^pp$+pp3+++=her
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
busily ^rb++++=busily
cleaning ^vbg+++xvbg+=cleaning
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
the ^ati++++=the
lace ^nn++++=lace
cover ^nn++++=cover
from ^in++++=from
the ^ati++++=the
radiator ^nn++++=radiator,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
spotted ^jj+++xvbn+=spotted
with ^in++++=with
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
five ^cd++++=five
children ^nns++++=children--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
perfectly ^rb+amp+++=perfectly
certain ^jj+pred+++=certain
there ^ex+pex+++=there
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be
more ^rbr++++=more
than ^in++++=than
five ^cd++++=five
in ^in++++=in
the ^ati++++=the
whole ^jj+atrb+++=whole
world ^nn++++=world--who
-- ^--+clp+++=EXTRAWORD
who ^whp+who+whq++=EXTRAWORD
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
away ^rp+pl+++=away
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
were ^vbd+bed+aux++=were
now ^rn+tm+splt++=now
waiting ^vbg+++xvbgx+=waiting
round ^rb++++=round
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anna ^np++++=Anna
was ^vbd+bedz+aux++=was
to ^to++++=to
find ^vbi+vprv+++=find
them ^pp3o+pp3+++=them
and ^cc++++=and
give ^vb++++=give
them ^pp3o+pp3+++=them
cakes ^nns++++=cakes
to ^to++++=to
stop ^vbi++++=stop
the ^ati++++=the
bleeding ^nvbg+++xvbg+=bleeding,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
her ^pp3o+pp3+++=her
mistress ^nns+nom+++=mistress
swept ^vwbn+++xvbn+=swept
and ^cc+phrs+++=and
garnished ^vwbn+++xvbn+=garnished
that ^dt+dem+++=that
Our ^pp$+pp1+++=Our
dear ^jj+atrb+++=dear
Lord ^npt++++=Lord
when ^wrb+who+++=when
He ^pp3a+pp3+++=He
Came ^vbd+++xvbn+=came
Might ^md+pos+++=might
Find ^vb+vprv+tht0++=find
Everything ^pn++++=everything
As ^ql++++=as
It ^pp3+it+++=it
Should ^md+nec+++=should
Be ^vb+be+vrb++=be.
 ^zz++++=EXTRAWORD
