[ ^zz++++=[This
" ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
flew ^vbd+++xvbn+=flew
to ^in++++=to
her ^pp$+pp3+++=her
spinning ^xvbg+++xvbg+=spinning
wheel ^vb++++=wheel
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
Jonas ^np+++??+=Jonas,
, ^zz++++=EXTRAWORD
still ^rb+atrb+++=still
remonstrating ^jj+++xvbg+=remonstrating,
, ^zz++++=EXTRAWORD
strolled ^j+++xvbn+=strolled
into ^in++++=into
the ^ati++++=the
pantry ^nn++++=pantry.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
mother ^nn++++=mother
wants ^vbz++++=wants
you ^pp2+pp2+++=you
in ^in++++=in
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
said ^vbd+vpub++xvbn+=said
anxiously ^rb++++=anxiously.
. ^zz++++=EXTRAWORD
" ^zz++++="See
see ^vb+vprv+++=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jonas ^np+++??+=Jonas
called ^vbd+++xvbn+=called
out ^rp+pl+++=out
in ^in++++=in
an ^at++++=an
eager ^jj+atrb+++=eager
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
the ^ati++++=the
steelyards ^nns++++=steelyards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
weigh ^vb++++=weigh
the ^ati++++=the
turkey ^nn++++=turkey.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
do ^vb+do+vrb++=do
it ^pp3+it+++=it
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
anybody ^pn++++=anybody."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
left ^jj+++xvbn+=left
her ^pp3o+pp3+++=her
spinning ^xvbg+++xvbg+=spinning
wheel ^vb++++=wheel.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
pale ^nn++++=pale
with ^in++++=with
trepidation ^nn+nom+++=trepidation
when ^wrb+who+++=when
Jonas ^np+++??+=Jonas
and ^cc++++=and
she ^pp3a+pp3+++=she
adjusted ^vbd+++xvbnx+=adjusted
the ^ati++++=the
turkey ^nn++++=turkey
in ^in++++=in
the ^ati++++=the
steelyards ^nns++++=steelyards.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
if ^cs+cnd+++=if
those ^dt+dem+++=those
bullets ^nns+nom+++=bullets
should ^md+nec+++=should
rattle ^vb++++=rattle
out ^rp+pl+++=out?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
weighs ^vbz++++=weighs
twenty ^cd++++=twenty
pounds ^nns++++=pounds
and ^cc++++=and
a ^at++++=a
quarter ^nn++++=quarter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
announced ^vbn+vpub++xvbn+=announced
Jonas ^np+++??+=Jonas,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
gasp ^nn++++=gasp,
, ^zz++++=EXTRAWORD
after ^in++++=after
peering ^xvbg+++xvbg+=peering
anxiously ^rb++++=anxiously
at ^in++++=at
the ^ati++++=the
figures ^nns++++=figures.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
biggest ^jjt++++=biggest
turkey ^np++++=turkey
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
ever ^rb++splt++=ever
raised ^vpsv++agls+xvbnx+=raised
in ^in++++=in
these ^dt+dem+++=these
parts ^nns++++=parts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jonas ^np+++??+=Jonas
exulted ^vbd+++xvbn+=exulted
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Submit ^vb+vpub+++=Submit
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+++=say
much ^rb++++=much.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^ql++++=as
Jonas ^np+++??+=Jonas
had ^vbd+hvd+aux++=had
laid ^vprf+++xvbnx+=laid
the ^ati++++=the
turkey ^nn++++=turkey
back ^jjb++++=back
on ^in++++=on
the ^ati++++=the
shelf ^nn++++=shelf
and ^cc++++=and
gone ^vbd+++xvbn+=gone
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
watched ^vbd+++xvbnx+=watched
her ^pp$+pp3+++=her
chance ^nn++++=chance
and ^cc++++=and
removed ^vbd+++xvbn+=removed
the ^ati++++=the
bullets ^nns+nom+++=bullets,
, ^zz++++=EXTRAWORD
replacing ^vbg+++xvbg+=replacing
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
pewter ^jjr+atrb+++=pewter
dish ^nn++++=dish.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson
and ^cc++++=and
Thomas ^np++++=Thomas
came ^vbd+++xvbn+=came
home ^nr++++=home
at ^in++++=at
twilight ^nn++++=twilight
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
deal ^nn++++=deal
of ^in++++=of
talk ^nn++++=talk
over ^in++++=over
the ^ati++++=the
turkey ^nn++++=turkey.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
Adams ^np++++=Adams'
' ^zz++++=EXTRAWORD
turkey ^np++++=turkey
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
weigh ^vb++++=weigh
but ^cc++++=but
nineteen ^cd++++=nineteen
pounds ^nns++++=pounds,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jonas ^np+++??+=Jonas
announced ^vbd+vpub++xvbn+=announced.
. ^zz++++=EXTRAWORD
" ^zz++++="Sarah
sarah ^np++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
there ^rn+pl+++=there
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
weighed ^vbd+++xvbnx+=weighed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
' ^zz++++='most
most ^ql+emph+++=EXTRAWORD
cried ^jj+++xvbn+=cried."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+++=think
Sarah ^np++++=Sarah
and ^cc++++=and
Submit ^vb+vpub+++=Submit
and ^cc++++=and
all ^rb++++=all
of ^in++++=of
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
foolish ^jj++++=foolish
about ^in++++=about
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson
severely ^rb++++=severely.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
difference ^nn+nom+++=difference
does ^vbz+doz+aux++=does
it ^pp3+it+++=it
make ^vb++++=make
if ^cs+cnd+++=if
one ^cd1++++=one
weighs ^vbz++++=weighs
a ^at++++=a
pound ^nn++++=pound
or ^cc++++=or
two ^cd++++=two
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough
to ^to++++=to
go ^vbi++++=go
round ^rb++++=round?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Submit
submit ^vb+vpub+++=EXTRAWORD
looks ^nns++++=looks
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
sorry ^uh++++=sorry
ours ^pp$$++++=ours
weighed ^vbd+++xvbn+=weighed
the ^ati++++=the
most ^ql+emph+++=most
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jonas ^np+++??+=Jonas.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
thumb ^nn++++=thumb
aches ^nns+++??+=aches,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Submit ^vb+vpub+++=Submit.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
and ^cc+phrs+++=and
get ^vb++++=get
the ^ati++++=the
balm ^nn+++??+=balm
of ^in++++=of
Gilead ^np+++??+=Gilead
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
some ^dti++++=some
more ^rbr++++=more
on ^in+strn+++=on,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ordered ^jj+++xvbn+=ordered
her ^pp3o+pp3+++=her
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
to ^in++++=to
bed ^nn++++=bed
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
say ^vb+vpub+++=say
her ^pp$+pp3+++=her
prayers ^nns+nom+++=prayers.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
woke ^vbd+++xvbnx+=woke
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
with ^in++++=with
a ^at++++=a
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
terrified ^vprf+++xvbn+=terrified
feeling ^nvbg+++xvbg+=feeling,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
a ^at++++=a
wall ^nn++++=wall
into ^in++++=into
some ^dti++++=some
unknown ^jj+atrb+++=unknown
dreadful ^jj+atrb+++=dreadful
land ^nn++++=land.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wondered ^vbd+vprv++xvbnx+=wondered
if ^cs+cnd+++=if
Sarah ^np++++=Sarah
would ^md+prd+++=would
bring ^vb++++=bring
Thankful ^jj++++=Thankful
over ^in+strn+++=over;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
dreaded ^vbd+++xvbnx+=dreaded
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
her ^pp$+pp3+++=her
coming ^vbg+++xvbg+=coming,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+tht0++=Submit
herself ^ppl+pp3+++=herself
did ^vbd+dod+aux++=did
not ^xnot++not++=not
stir ^vb++++=stir
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
house ^npl++++=house
all ^abn++++=all
that ^dt+dem+++=that
day ^nn++++=day
or ^cc++++=or
the ^ati++++=the
next ^ap++++=next,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sarah ^np++++=Sarah
did ^vbd+dod+aux++=did
not ^xnot++not++=not
bring ^vb++++=bring
Thankful ^jj++++=Thankful
until ^in++++=until
next ^ap++++=next
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
all ^abn++++=all
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen
about ^in++++=about
an ^at++++=an
hour ^nn++++=hour
before ^in++++=before
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
Grandfather ^nn+nom+++=Grandfather
Thompson ^np++++=Thompson
sat ^vbd+++xvbn+=sat
in ^in++++=in
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
armchair ^nn++++=armchair
at ^in++++=at
one ^cd1++++=one
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
fireplace ^nn++++=fireplace,
, ^zz++++=EXTRAWORD
Grandmother ^nn+nom+++=Grandmother
Thompson ^np++++=Thompson
was ^vbd+bedz+aux++=was
knitting ^vbg+++xvbgx+=knitting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jonas ^np+++??+=Jonas
and ^cc++++=and
Submit ^vb+vpub+++=Submit
were ^vbd+bed+aux++=were
cracking ^vbg+++xvbgx+=cracking
butternuts ^nns+++??+=butternuts.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
happier ^jjr++++=happier
this ^dt+dem+++=this
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
thought ^vbd+++xvbnx+=thought
Sarah ^np++++=Sarah
would ^md+prd+++=would
never ^rb++splt++=never
bring ^vb++++=bring
Thankful ^jj++++=Thankful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
done ^vwbn+++xvbn+=done
so ^pn++++=so
much ^ap++++=much
harm ^nn++++=harm
by ^in++++=by
cheating ^xvbg+++xvbg+=cheating
in ^in++++=in
the ^ati++++=the
weight ^nn++++=weight
of ^in++++=of
the ^ati++++=the
turkey ^nn++++=turkey.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
tug ^nn++++=tug
at ^in++++=at
the ^ati++++=the
latch ^nn++++=latch
of ^in++++=of
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
pushed ^vpsv++agls+xvbnx+=pushed
open ^jj++++=open
slowly ^rb++++=slowly
and ^cc+phrs+++=and
painfully ^rb+cnj+++=painfully,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sarah ^np++++=Sarah
entered ^vbd+++xvbn+=entered
with ^in++++=with
Thankful ^nn++++=Thankful
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said
not ^xnot++not++=not
a ^at++++=a
word ^nn++++=word
to ^in++++=to
anybody ^pn++++=anybody,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
little ^ap++++=little
face ^nn++++=face
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
woe ^np++++=woe.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
went ^vbd+++xvbnx+=went
straight ^jj++++=straight
to ^to++++=to
Submit ^vbi+vpub+++=Submit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laid ^vbd+++xvbn+=laid
Thankful ^jj++++=Thankful
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
fled ^vbd+++xvbn+=fled
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
sob ^nn++++=sob.
. ^zz++++=EXTRAWORD
The ^ati++++=The
door ^nn++++=door
slammed ^vbd+++xvbn+=slammed
after ^in++++=after
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
Thompsons ^np+++??+=Thompsons
stopped ^vbd+++xvbn+=stopped
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Submit ^vb+vpub+++=Submit.
. ^zz++++=EXTRAWORD
" ^zz++++="Submit,
submit ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
does ^vbz+doz+aux++=does
this ^dt+dem+++=this
mean ^nn++++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
father ^npt++++=father
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling.
. ^zz++++=EXTRAWORD
" ^zz++++="Speak,"
speak ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Submit,
submit ^vb+vpub+++=EXTRAWORD
, ^zz++++=EXTRAWORD
mind ^nn++++=mind
your ^pp$+pp2+++=your
father ^nn++++=father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Thompson ^np++++=Thompson.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
bring ^vb++++=bring
you ^pp2+pp2+++=you
the ^ati++++=the
doll ^nn++++=doll
baby ^nn++++=baby
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
Grandmother ^nn+nom+++=Grandmother
Thompson ^np++++=Thompson.
. ^zz++++=EXTRAWORD
" ^zz++++="Sarah
sarah ^np++++=EXTRAWORD
- ^zz++++=-was
was ^vbd+bedz+aux++=EXTRAWORD
going ^md"++pmd"++=going
to ^md+prd+++=to
give ^vb++++=give
me ^pp1o+pp1+++=me
Thankful ^jj++++=Thankful
if ^cs+cnd+++=if
- ^zz++++=-our
our ^pp$+pp1+++=EXTRAWORD
turkey ^np++++=turkey
weighed ^vbd+++xvbn+=weighed
most ^ql+emph+++=most,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^to++++=to
- ^zz++++=-give
give ^vb++++=EXTRAWORD
her ^pp$+pp3+++=her
my ^pp$+pp1+++=my
- ^zz++++=-work-box
work ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
box ^nn++++=EXTRAWORD
if ^cs+cnd+++=if
hers ^pp$$++++=hers
weighed ^vbd+++xvbn+=weighed
most ^ql+emph+++=most,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Submit ^vb+vpub+++=Submit
jerkily ^rb++++=jerkily.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
lips ^nns++++=lips
felt ^vbd+vprv++xvbn+=felt
stiff ^jj++++=stiff.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
looked ^vbd+++xvbn+=looked
very ^ql+amp+++=very
sober ^jj++++=sober
and ^cc++++=and
stern ^nn++++=stern.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
to ^in++++=to
his ^pp$+pp3+++=his
father ^nn++++=father.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Grandfather ^nn+nom+++=Grandfather
Thompson ^np++++=Thompson
was ^vbd+bedz+vrb++=was
at ^rb++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
every ^at++++=every
one ^cd1++++=one
deferred ^jj+++xvbn+=deferred
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
at ^rb++++=at
eighty ^cd++++=eighty
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
recognized ^jj+++xvbn+=recognized
head ^jjb++++=head
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall
and ^cc+phrs+++=and
soldierly ^jj++++=soldierly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
full ^jj++++=full
of ^in++++=of
a ^at++++=a
grave ^jj+atrb+++=grave
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Submit ^vb+vpub+++=Submit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
shrank ^vbd+++xvbnx+=shrank.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
conducting ^vbg+++xvbgx+=conducting
yourself ^ppl+pp2+++=yourself
like ^in++++=like
unto ^in++++=unto
the ^ati++++=the
brawlers ^nns+nom+++=brawlers
in ^in++++=in
the ^ati++++=the
taverns ^nns++++=taverns
and ^cc++++=and
ale ^nn++++=ale-houses?"
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
murmured ^vbd+++xvbn+=murmured
Submit ^vb+vpub+++=Submit,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant.
. ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
godly ^jj+atrb+++=godly
maid ^nn++++=maid
who ^whp+rel+obj++=who
heeds ^nns+++??+=heeds
her ^pp3o+pp3+++=her
elders ^nns++++=elders
will ^md+prd+++=will
take ^vb++++=take
part ^nn++++=part
in ^in++++=in
any ^dti++++=any
such ^abl++++=such
foolish ^jj++++=foolish
and ^cc+phrs+++=and
sinful ^jj++++=sinful
wager ^jjr++++=wager,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
grandfather ^nn+nom+++=grandfather
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
hugging ^vbg+++xvbg+=hugging
Thankful ^jj++++=Thankful
convulsively ^rb++++=convulsively.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
glanced ^vbd+++xvbnx+=glanced
wildly ^rb++++=wildly
at ^rb++++=at
her ^pp3o+pp3+++=her
great-grandmother ^jjr++++=great-grandmother's
's ^vbz+bez+vrb++0=EXTRAWORD
musket ^nn+++??+=musket
over ^in++++=over
the ^ati++++=the
shelf ^nn++++=shelf.
. ^zz++++=EXTRAWORD
The ^ati++++=The
same ^ap++++=same
spirit ^nn++++=spirit
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
aimed ^vprf+++xvbnx+=aimed
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
Indian ^nn++++=Indian
possessed ^vbd+++xvbn+=possessed
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
spoke ^vbd+++xvbnx+=spoke
out ^rp+pl+++=out
quite ^rb++++=quite
clearly ^rb++++=clearly:
: ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
turkey ^nn++++=turkey
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
weigh ^vb++++=weigh
the ^ati++++=the
most ^ap+emph+++=most,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
put ^vbd+++xvbnx+=put
the ^ati++++=the
Revolutionary ^jj+atrb+++=Revolutionary
bullets ^nns+nom+++=bullets
in ^in++++=in
his ^pp$+pp3+++=his
crop ^nn++++=crop."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Submit ^np++++=Submit's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
beat ^vbd+++xvbn+=beat
so ^ql+emph+++=so
hard ^jj++++=hard
that ^tht+jcmp+++=that
Thankful ^jj++++=Thankful
quivered ^jj+++xvbn+=quivered.
. ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
upstairs ^jjb++++=upstairs
to ^in++++=to
your ^pp$+pp2+++=your
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
Submit ^vb+vpub+++=Submit,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
need ^vb++++=need
not ^xnot++not++=not
come ^vprf+++xvbn+=come
down ^rb+phrv+++=down
to ^in+ppvb+++=to
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
Jonas ^np+++??+=Jonas,
, ^zz++++=EXTRAWORD
take ^vb++++=take
that ^dt+dem+++=that
doll ^nn++++=doll
and ^cc++++=and
carry ^vb++++=carry
it ^pp3+it+++=it
over ^rb++++=over
to ^in++++=to
the ^ati++++=the
Adams ^np++++=Adams'
' ^zz++++=EXTRAWORD
house ^npl++++=house."
. ^zz++++=EXTRAWORD
