Love ^nn++++=LOVE
and ^cc++++=and
kittens ^nns+++??+=kittens),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
on ^in++++=on
mine ^pp$$++++=mine
( ^zz++++=(gnomes
gnomes ^nns+++??+=EXTRAWORD
in ^in++++=in
trees ^nns++++=trees),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suddenly ^rb++++=suddenly
we ^pp1a+pp1+++=we
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
flash ^nn++++=flash,
, ^zz++++=EXTRAWORD
things ^nns++++=things
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
realized ^vbd+vprv++xvbn+=realized
that ^tht+vcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
critical ^jj+atrb+++=critical
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
looked ^vbd+++xvbn+=looked
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
across ^in+pl+++=across
the ^ati++++=the
table ^nn++++=table
with ^in++++=with
such ^abl++++=such
freshness ^nns+nom+++=freshness,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
that ^dt+dem+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
such ^abl++++=such
love ^nn++++=love
for ^in++++=for
each ^dt++++=each
other ^ap++++=other
and ^cc++++=and
for ^in++++=for
our ^pp$+pp1+++=our
country ^nn++++=country,
, ^zz++++=EXTRAWORD
the ^ati++++=the
country ^nn++++=country
in ^in++++=in
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
our ^pp$+pp1+++=our
whole ^jj+atrb+++=whole
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
the ^ati++++=the
many ^ap++++=many
roads ^nns++++=roads,
, ^zz++++=EXTRAWORD
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
lakes ^nns++++=lakes,
, ^zz++++=EXTRAWORD
malls ^nns+++??+=malls,
, ^zz++++=EXTRAWORD
byways ^rb+cnj+++=byways,
, ^zz++++=EXTRAWORD
villages ^nns+nom+++=villages
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
and ^cc+phrs+++=and
moved ^vpsv++agls+xvbn+=moved
about ^rb+phrv+++=about
and ^cc++++=and
around ^rp++++=around
so ^ql++++=so
freely ^rb++++=freely.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
precious ^jj++++=precious
and ^cc+phrs+++=and
lovely ^jj++++=lovely
it ^pp3+it+++=it
all ^abn++++=all
seemed ^jj+++xvbn+=seemed.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
stood ^vbd+++xvbn+=stood,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^dt+dem+++=that
decisiveness ^nns+nom+++=decisiveness
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
us ^pp1o+pp1+++=us
think ^vb+vprv+++=think
of ^in++++=of
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
must ^md+nec+++=must
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
woke ^vbd+++xvbnx+=woke.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
in ^in++++=in
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
brief ^jj+atrb+++=brief
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
time ^nn++++=time
again ^rb+tm+++=again
and ^cc++++=and
not ^xnot++not++=not
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Lying ^vbg+++xvbg+=Lying
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
wondering ^vbg+++xvbg+=wondering,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
should ^md+nec+++=should
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
might ^md+pos+++=might
I ^pp1a+pp1+++=I
yet ^rb++++=yet
do ^vb+do+vrb++=do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
back ^jjb++++=back
to ^in++++=to
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
gradually ^rb++++=gradually.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
sad ^jj+pred+++=sad.
. ^zz++++=EXTRAWORD
A ^at++++=A
sad ^jj+atrb+++=sad
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
time ^nn++++=time
and ^cc++++=and
place ^nn++++=place
where ^wrb+who+++=where
action ^nn++++=action
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
possible ^jj++++=possible.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
with ^in++++=with
all ^abn++++=all
my ^pp$+pp1+++=my
heart ^nn++++=heart
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
it ^pp3+it+++=it
all ^abn++++=all
on ^in+cmpx+++=on
to ^in"++++=to
you ^pp2+pp2+++=you
intact ^jj++++=intact.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
regret ^nn++++=regret
I ^pp1a+pp1+++=I
will ^md+prd+++=will
take ^vb++++=take
to ^to+vcmp+++=to
my ^pp$+pp1+++=my
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
Wisdom ^nn++++=Wisdom,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now,
, ^zz++++=EXTRAWORD
amounts ^nns++++=amounts
to ^to++++=to
making ^vbi++++=making
such ^abl++++=such
intelligent ^jj+atrb+++=intelligent
accommodations ^nns+nom+++=accommodations
as ^ql++++=as
we ^pp1a+pp1+++=we
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
saying ^xvbg+++xvbg+=saying
stick ^vb++++=stick
your ^pp$+pp2+++=your
head ^nn++++=head
in ^in++++=in
the ^ati++++=the
sand ^nn++++=sand.
. ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
a ^at++++=a
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told
all ^abn++++=all,
, ^zz++++=EXTRAWORD
regarding ^in++++=regarding
G ^zz++++=G.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
M ^zz++++=M.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
respect ^nn++++=respect
that ^tht+rel+++=that.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
is ^vbz+bez+aux++=is
calling ^nvbg+++xvbg+=calling
on ^in+ppvb+++=on
you ^pp2+pp2+++=you
to ^to++++=to
do ^vbi++++=do
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
view ^nn++++=view,
, ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=doing
much ^ap++++=much
good ^jj++++=good
simply ^rb++++=simply
by ^in++++=by
rising ^xvbg+++xvbg+=rising
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
as ^ql++++=as
present ^vb++++=present
as ^ql++++=as
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
sanity ^nn++++=sanity
alive ^jj++++=alive
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
someday ^rb+cnj+++=someday,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
( ^zz++++=(if)
if ^cs+cnd+++=EXTRAWORD
) ^zz++++=EXTRAWORD
this ^dt+dem+++=this
thing ^nn++++=thing
passes ^nns++++=passes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
country ^nn++++=country
may ^md+pos+++=may
find ^vb+vprv+tht0++=find
its ^pp$+it+++=its
way ^nn++++=way
back ^jjb++++=back
to ^in++++=to
normalcy ^nn+++??+=normalcy,
, ^zz++++=EXTRAWORD
with ^in++++=with
your ^pp$+pp2+++=your
help ^nn++++=help
and ^cc++++=and
the ^ati++++=the
help ^nn++++=help
of ^in++++=of
those ^dt+dem+++=those
like ^in++++=like
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
please ^uh++++=please
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
how ^wrb+who+whcl++=how
hard ^jj++++=hard
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
to ^to++++=to
stay ^vbi++++=stay
silent ^jj++++=silent
and ^cc+phrs+++=and
inactive ^jj++++=inactive
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
J ^zz++++=J.
. ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
more ^ql++++=more
than ^cs+sub+++=than
just ^rb+emph+++=just
a ^at++++=a
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
a ^at++++=a
lovely ^jj+atrb+++=lovely
person ^nn++++=person
and ^cc++++=and
I ^pp1a+pp1+++=I
recall ^vb+vprv+tht0++=recall
her ^pp$+pp3+++=her
crossing ^vbg+++xvbg+=crossing
our ^pp$+pp1+++=our
yard ^nn++++=yard
with ^in++++=with
her ^pp$+pp3+++=her
particular ^jj+atrb+++=particular
grace ^nn++++=grace
and ^cc++++=and
brio ^nn++++=brio,
, ^zz++++=EXTRAWORD
swinging ^jj+++xvbg+=swinging
your ^pp$+pp2+++=your
car ^nn++++=car
keys ^nns++++=keys
on ^in++++=on
that ^dt+dem+++=that
long ^rb++++=long
chain ^nn++++=chain,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
dog ^nn++++=dog
( ^zz++++=(Whiskey?)
whiskey ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
trotting ^nvbg+++xvbg+=trotting
along ^in++++=along
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
say ^vb+vpub+++=say:
: ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
no ^at++++=no
idea ^nn++++=idea
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going
on ^in++++=on
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
new ^jj+atrb+++=new
world ^nn++++=world
of ^in++++=of
ours ^pp$$++++=ours.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
that ^dt+pdem+++=that
must ^md+nec+++=must,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
weigh ^vb++++=weigh
heavily ^rb++++=heavily
on ^in++++=on
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
if ^cs+cnd+++=if
that ^dt+dem+++=that
relationship ^nn+nom+++=relationship
was ^vbd+bedz+vrb++=was
intimate ^jj+pred+++=intimate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
might ^md+pos+++=might
well ^rb++++=well
( ^zz++++=(how
how ^wrb+who+++=EXTRAWORD
could ^md+pos+++=could
it ^pp3+it+++=it
not ^xnot++not++=not?)
? ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
create ^vb++++=create
a ^at++++=a
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
one ^cd1++++=one
should ^md+nec+++=should
act ^vb+vpub+++=act.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+tht0++=feel
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
my ^pp$+pp1+++=my
preference ^nn+nom+++=preference
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
above ^jjb++++=above.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
what ^wdt+who+whcl++=what
follows ^vbz+vprv+++=follows
not ^xnot++not++=not
to ^to++++=to
encourage ^nn+nom+++=encourage.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
money ^nn++++=money
( ^zz++++=(not
not ^xnot++not++=EXTRAWORD
much ^rb+cnj+++=much,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
some ^dti++++=some)
) ^zz++++=EXTRAWORD
set ^vbd+++xvbn+=set
aside ^rb+phrv+++=aside.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
push ^vb++++=push
come ^vprf+++xvbn+=come
to ^in++++=to
shove ^nn++++=shove.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
finding ^vbg+++xvbgx+=finding
it ^pp3+it+++=it
hard ^jj++++=hard
to ^to+jcmp+++=to
advise ^vbi+vpub+tht0++=advise
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
disappoint ^vbi++++=disappoint.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
lead ^nn++++=lead
you ^pp2+pp2+++=you
astray ^rb++++=astray.
. ^zz++++=EXTRAWORD
With ^in++++=With
age ^nn++++=age,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
becomes ^vbz++++=becomes
cautious ^jj++++=cautious.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
curse ^nn++++=curse.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
love ^nn++++=love
you ^pp2+pp2+++=you
so ^ql++++=so
much ^ap++++=much.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
this ^dt+dem+++=this
( ^zz++++=(you)
you ^pp2+pp2+++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
all ^abn++++=all
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
now ^rn+tm+++=now
can ^md+pos+++=can
think ^vb+vprv+++=think
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
With ^in++++=With
love ^nn++++=love,
, ^zz++++=EXTRAWORD
much ^ap++++=much
love ^nn++++=love,
, ^zz++++=EXTRAWORD
more ^ql++++=more
than ^cs+sub+++=than
you ^pp2+pp2+++=you
can ^md+pos+++=can
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
gpa ^np++++=GPa.
. ^zz++++=EXTRAWORD
