" ^zz++++="All
ceremoniously ^jj++++=ceremoniously
as ^ql++++=as
his ^pp$+pp3+++=his
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
talking ^vbg+++xvbgx+=talking
of ^in++++=of
Fritz ^np++++=Fritz,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
old ^jj+atrb+++=old
Peter ^np++++=Peter.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
yes ^uh++++=yes--of
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
Fritz ^np++++=Fritz.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
sure ^jj+pred+++=sure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Melchior ^np+++??+=Melchior
answered ^vbd+vpub++xvbn+=answered
him ^pp3o+pp3+++=him
vaguely ^rb+cnj+++=vaguely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
puzzled ^jj+atrb++xvbn+=puzzled
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
silence ^nn+nom+++=silence
in ^in++++=in
the ^ati++++=the
room ^nn++++=room
till ^in++++=till
his ^pp$+pp3+++=his
brother ^nn++++=brother
spoke ^vbd+++xvbn+=spoke
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
showing ^vbg+vprv++xvbgx+=showing
Mr.--fritz ^np++++=Mr.--Fritz's
's ^$++++=EXTRAWORD
last ^rb++++=last
letter ^nn++++=letter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fritz
fritz ^np++++=EXTRAWORD
writes ^vbz+vprv+++=writes
entertainingly ^rb+cnj+++=entertainingly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
murmured ^vbd+++xvbn+=murmured
Melchior ^np+++??+=Melchior,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
cast ^vbi++++=cast
about ^rb++++=about
for ^in++++=for
another ^dt++++=another
word ^nn++++=word,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
repeated ^jj+++xvbn+=repeated,
, ^zz++++=EXTRAWORD
" ^zz++++="--entertainingly.
-- ^--+clp+++=EXTRAWORD
entertainingly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
your ^pp$+pp2+++=your
ankle ^nn++++=ankle
permits ^nns++++=permits,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
perhaps ^rb++splt++=perhaps
take ^vb++++=take
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
our ^pp$+pp1+++=our
pictures ^nns++++=pictures.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
happy ^jj+pred+++=happy
to ^to+jcmp+++=to
show ^vbi+vprv+++=show
them ^pp3o+pp3+++=them
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
occasional ^jj+atrb+++=occasional
support ^nn++++=support
of ^in++++=of
Melchior ^np++++=Melchior's
's ^$++++=EXTRAWORD
arm ^vb++++=arm,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
a ^at++++=a
tour ^nn++++=tour
of ^in++++=of
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pictures ^nns++++=pictures
indeed ^rb++++=indeed
were ^vbd+bed+vrb++=were
a ^at++++=a
sufficient ^jj+atrb+++=sufficient
reward ^nn++++=reward--seascapes
-- ^--+clp+++=EXTRAWORD
seascapes ^nns+++??+=EXTRAWORD
by ^in++++=by
Willem ^np+++??+=Willem
Van ^&fw++++=Van
der ^&fw++++=der
Velde ^np+++??+=Velde,
, ^zz++++=EXTRAWORD
flower ^nn++++=flower-portraits
- ^zz++++=EXTRAWORD
portraits ^nns++++=EXTRAWORD
by ^in++++=by
Willem ^np+++??+=Willem
Van ^&fw++++=Van
Aslet ^np+++??+=Aslet,
, ^zz++++=EXTRAWORD
tavern ^nn++++=tavern-scenes
- ^zz++++=EXTRAWORD
scenes ^nns++++=EXTRAWORD
by ^in++++=by
Adrian ^np++++=Adrian
Van ^&fw++++=Van
Ostade ^np+++??+=Ostade;
; ^zz++++=EXTRAWORD
a ^at++++=a
notable ^jj+atrb+++=notable
Cuyp ^np+++??+=Cuyp;
; ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
Gerard ^np++++=Gerard
Dow ^np+++??+=Dow
of ^in++++=of
peculiar ^jj+atrb+++=peculiar
richness ^nns+nom+++=richness;
; ^zz++++=EXTRAWORD
portraits ^nns++++=portraits--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
Burgomaster ^nn+nom+++=Burgomaster
Albert ^np++++=Albert
Van ^&fw++++=Van
der ^&fw++++=der
Knoope ^np+++??+=Knoope,
, ^zz++++=EXTRAWORD
by ^in++++=by
Thomas ^np++++=Thomas
de ^&fw++++=de
Keyser ^np+++??+=Keyser--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
Admiral ^nn++++=Admiral
Nicholas ^np++++=Nicholas,
, ^zz++++=EXTRAWORD
by ^in++++=by
Kneller ^np+++??+=Kneller--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
Admiral ^nn++++=Admiral
Peter ^np++++=Peter
( ^zz++++=(grand-uncle
grand ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
uncle ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
blind ^jj+atrb+++=blind
Admiral ^npt++++=Admiral),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
by ^in++++=by
Romney ^np+++??+=Romney.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
My ^pp$+pp1+++=My
guide ^vb++++=guide
seemed ^vbd+seem++xvbn+=seemed
as ^ql++++=as
honestly ^rb++++=honestly
proud ^jj++++=proud
of ^in++++=of
them ^pp3o+pp3+++=them
as ^in++++=as
insensible ^nn++++=insensible
of ^in++++=of
their ^pp$+pp3+++=their
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
in ^in++++=in
almost ^rb+hdg+++=almost
every ^at++++=every
case ^nn++++=case
deplorable ^jj++++=deplorable.
. ^zz++++=EXTRAWORD
By ^in++++=By-and-by,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
library ^nn+nom+++=library
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
a ^at++++=a
modern ^jj+atrb+++=modern
portrait ^nn++++=portrait
of ^in++++=of
a ^at++++=a
rosy ^jj++++=rosy-faced
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
boy ^nn++++=boy
in ^in++++=in
a ^at++++=a
blue ^jj+atrb+++=blue
suit ^nn++++=suit,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
held ^vbd+vprv++xvbn+=held
( ^zz++++=(strange
strange ^jj+atrb+++=EXTRAWORD
combination ^nn+nom+++=combination!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
a ^at++++=a
large ^jj+atrb+++=large
ribstone ^nn+++??+=ribstone
pippin ^nn++++=pippin
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
and ^cc++++=and
a ^at++++=a
cricket ^nn++++=cricket
bat ^nn++++=bat
in ^in++++=in
the ^ati++++=the
other ^ap++++=other--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
picture ^nn++++=picture
altogether ^nn+nom+++=altogether
of ^in++++=of
such ^abl++++=such
glaring ^jj+atrb+++=glaring
demerit ^nn+++??+=demerit
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
wondered ^vbd+vprv++xvbnx+=wondered
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
why ^wrb+who+++=why
it ^pp3+it+++=it
hung ^vbd+++xvbn+=hung
so ^pn++++=so
conspicuously ^rb++++=conspicuously
over ^in++++=over
the ^ati++++=the
fireplace ^nn++++=fireplace,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
worthier ^jjr+atrb+++=worthier
paintings ^nns++++=paintings
were ^vbd+bed+aux++=were
elbowed ^vpsv++agls+xvbnx+=elbowed
into ^in++++=into
obscure ^jj+atrb+++=obscure
corners ^nns+nom+++=corners.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
with ^in++++=with
a ^at++++=a
sudden ^jj+atrb+++=sudden
inkling ^nn+nom+++=inkling
I ^pp1a+pp1+++=I
glanced ^vbd+++xvbnx+=glanced
at ^rb++++=at
Uncle ^nn++++=Uncle
Melchior ^np+++??+=Melchior.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
nodded ^vbd+++xvbnx+=nodded
gravely ^np++++=gravely.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
Fritz ^np++++=Fritz."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
out ^rp+pl+++=out
my ^pp$+pp1+++=my
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
believe ^vb+vprv+++=believe,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+vrb++=be
time ^nn++++=time
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
bid ^vbi++++=bid
your ^pp$+pp2+++=your
brother ^nn++++=brother
good ^jj++++=good-bye."
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
need ^vb++++=need
be ^vb+be+vrb++=be
in ^in++++=in
no ^at++++=no
hurry ^np++++=hurry,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Miss ^npt++++=Miss
Wilhelmina ^np++++=Wilhelmina's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
last ^rb++++=last
train ^nn++++=train
to ^in++++=to
Aber ^np+++??+=Aber
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
at ^rb++++=at
least ^rb"++++=least
ten ^cd++++=ten
minutes ^nns++++=minutes
since ^in+strn+++=since.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
dine ^vb++++=dine
and ^cc++++=and
sleep ^nn++++=sleep
with ^in++++=with
us ^pp1o+pp1+++=us
to ^to++++=to-night."
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
awoke ^vbd+++xvbnx+=awoke
next ^ap++++=next
morning ^nn++++=morning
between ^in++++=between
sheets ^nns++++=sheets
of ^in++++=of
sweet ^jj++++=sweet-smelling
- ^zz++++=EXTRAWORD
smelling ^vbg+nom++xvbg+=EXTRAWORD
linen ^nn++++=linen
in ^in++++=in
a ^at++++=a
carved ^jj+++xvbn+=carved
four ^cd++++=four-post
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
head ^nn++++=head-board
- ^zz++++=EXTRAWORD
board ^nn++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
ran ^vbd+++xvbn+=ran
the ^ati++++=the
motto ^nn++++=motto
" ^zz++++="STEMMATA
stemmata ^&fw++++=EXTRAWORD
Qvid ^np+++??+=QVID
Facivnt ^np+++??+=FACIVNT"
" ^zz++++=EXTRAWORD
in ^in++++=in
faded ^jj+atrb++xvbn+=faded
letters ^nns+nom+++=letters
of ^in++++=of
gilt ^nn++++=gilt.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
tattered ^jj+atrb+++=tattered
hangings ^nns++++=hangings
and ^cc++++=and
rickety ^jj+atrb++??+=rickety
furniture ^nn++++=furniture,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
counted ^vprf+++xvbnx+=counted
for ^in++++=for
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dreams ^nps++++=dreams
should ^md+nec+++=should
certainly ^rb++++=certainly
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
haunted ^vpsv++agls+xvbnx+=haunted.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
slept ^vbd+++xvbn+=slept
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Possibly ^rb++++=Possibly
the ^ati++++=the
lightness ^nns+nom+++=lightness
of ^in++++=of
the ^ati++++=the
dinner ^nn++++=dinner
( ^zz++++=(cooked
cooked ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
the ^ati++++=the
small ^jj+atrb+++=small
handmaid ^nn+++??+=handmaid
Lobelia ^np+++??+=Lobelia)
) ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
something ^pn++++=something
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
possibly ^rb+cnj+++=possibly,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
the ^ati++++=the
infectious ^jj+atrb+++=infectious
somnolence ^nn+nom+++=somnolence
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
Admirals ^nns+nom+++=Admirals,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
spoke ^vbd+++xvbn+=spoke
but ^cc++++=but
little ^jj++++=little
during ^in++++=during
the ^ati++++=the
meal ^nn++++=meal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nodded ^vbd+++xvbn+=nodded,
, ^zz++++=EXTRAWORD
without ^in++++=without
attempt ^nn++++=attempt
at ^rb++++=at
dissimulation ^nn+nom+++=dissimulation,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
dessert ^nn++++=dessert.
. ^zz++++=EXTRAWORD
At ^rb++++=At
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
shortly ^rb+tm+++=shortly
after ^cs+sub+++=after
nine ^cd++++=nine
o ^zz++++=o'clock--when
'clock--when ^vbd+++xvbn+0=EXTRAWORD
Miss ^npt++++=Miss
Wilhelmina ^np++++=Wilhelmina
brought ^vbd+++xvbn+=brought
out ^rb+phrv+++=out
a ^at++++=a
heavy ^jj+atrb+++=heavy
Church ^nn++++=Church
Service ^nn++++=Service,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Uncle ^nn++++=Uncle
Melchior ^np+++??+=Melchior
read ^vbd+vprv++xvbn+=read
the ^ati++++=the
lesson ^nn++++=lesson
and ^cc++++=and
collect ^vb++++=collect
for ^in++++=for
the ^ati++++=the
day ^nn++++=day
and ^cc++++=and
a ^ap++++=a
few ^ap"++++=few
prayers ^nns+nom+++=prayers,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
one ^cd1++++=one
" ^zz++++="For
for ^in++++=EXTRAWORD
those ^dt+dem+++=those
at ^in++++=at
Sea" ^np+++??+=Sea"--I
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
had ^vbd+hvd+aux++=had
felt ^vprf+++xvbnx+=felt
quite ^rb++++=quite
ready ^jj++++=ready
for ^in++++=for
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
thanks ^rb+dspt+++=thanks
to ^in"++++=to
a ^at++++=a
cold ^nn++++=cold
compress ^nns+nom+++=compress,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
ankle ^nn++++=ankle
had ^vbd+hvd+aux++=had
mended ^vprf+++xvbnx+=mended
considerably ^rb++++=considerably.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
descended ^vbd+++xvbnx+=descended
to ^in++++=to
breakfast ^nn++++=breakfast
in ^in++++=in
very ^ql+amp+++=very
cheerful ^jj+atrb+++=cheerful
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
Miss ^npt++++=Miss
Wilhelmina ^np++++=Wilhelmina
alone ^rb++++=alone
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="Uncle
uncle ^nn++++=EXTRAWORD
Peter ^np++++=Peter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
" ^zz++++="rarely
rarely ^rb++++=EXTRAWORD
comes ^vbz++++=comes
down ^rp++++=down
before ^in++++=before
mid ^jjb++++=mid-day;
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Uncle ^nn++++=Uncle
Melchior ^np+++??+=Melchior
breakfasts ^nns++++=breakfasts
in ^in++++=in
his ^pp$+pp3+++=his
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
busy ^jj+pred+++=busy
with ^in++++=with
the ^ati++++=the
accounts ^nns++++=accounts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql+emph+++=EXTRAWORD
early ^jj++++=early?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
smiled ^vbd+++xvbnx+=smiled
rather ^rb++++=rather
sadly ^rb++++=sadly.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
take ^vb++++=take
a ^at++++=a
deal ^nn++++=deal
of ^in++++=of
disentangling ^nn++++=disentangling."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
asked ^vbd+vsua++xvbnx+=asked
how ^wrb+who+whcl++=how
my ^pp$+pp1+++=my
ankle ^nn++++=ankle
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
added ^vprf+++xvbn+=added
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
must ^md+nec+++=must
catch ^vb++++=catch
an ^at++++=an
early ^jj+atrb+++=early
train ^nn++++=train
back ^jjb++++=back
to ^in++++=to
Aber ^np+++??+=Aber,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
merely ^rb+down+++=merely
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
walk ^vb++++=walk
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station
with ^in++++=with
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
may ^md+pos+++=may."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
so ^ql++++=so
at ^rb++++=at
ten ^cd++++=ten
o ^zz++++=o'clock--after
'clock--after ^jjr++++0=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
bidden ^vprf+++xvbnx+=bidden
farewell ^nn++++=farewell
to ^in++++=to
Uncle ^nn++++=Uncle
Melchior ^np+++??+=Melchior,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
wore ^vbd+++xvbn+=wore
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
one ^cd1++++=one
interrupted ^vwbn+++xvbn+=interrupted
in ^in++++=in
a ^at++++=a
long ^jj+atrb+++=long
sum ^nn++++=sum
of ^in++++=of
compound ^jj+atrb+++=compound
addition ^nn+nom+++=addition-we
- ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
set ^vbd+++xvbn+=set
forth ^rb+phrv+++=forth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
the ^ati++++=the
child ^nn++++=child
had ^vb+hv+vrb++=had
something ^pn++++=something
on ^rp++++=on
her ^pp3o+pp3+++=her
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
ruinous ^jj+atrb+++=ruinous
fountain ^nn++++=fountain
where ^wrb+who+++=where
a ^at++++=a
stone ^nn++++=stone
Triton ^np+++??+=Triton
blew ^vbd+++xvbn+=blew
patiently ^rb++++=patiently
at ^in++++=at
a ^at++++=a
conch ^nn+++??+=conch-shell
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
plugged ^vbd+++xvbn+=plugged
with ^in++++=with
turf ^nn++++=turf,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
paused ^vbd+++xvbnx+=paused
and ^cc+phrs+++=and
dug ^vbd+++xvbn+=dug
at ^rb++++=at
the ^ati++++=the
mortared ^jj+atrb++xvbn+=mortared
joints ^nns++++=joints
of ^in++++=of
the ^ati++++=the
basin ^nn++++=basin
with ^in++++=with
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
her ^pp$+pp3+++=her
sunshade ^nn+++??+=sunshade;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
the ^ati++++=the
confidence ^nn+nom+++=confidence
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
by ^in++++=by
the ^ati++++=the
tumble ^nn++++=tumble-down
- ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
gate ^nn++++=gate
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
chestnut ^nn++++=chestnut
avenue ^npl++++=avenue
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
and ^cc+phrs+++=and
faced ^vbd+++xvbn+=faced
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
you ^pp2+pp2+++=you
yesterday ^nr+tm+++=yesterday
at ^rb++++=at
once ^rb"+tm+++=once,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
write ^vb++++=write
novels ^nns++++=novels."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+++=wish,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
I ^pp1a+pp1+++=I
feebly ^rb+cnj+++=feebly,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
public ^nn++++=public
were ^vbd+bed+vrb++=were
as ^ql++++=as
quick ^jj++++=quick
at ^in++++=at
discovering ^xvbg+++xvbg+=discovering
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Somebody
somebody ^pn++++=EXTRAWORD
printed ^vbd+++xvbn+=printed
an ^at++++=an
' ^zz++++='interview'
interview ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
with ^in++++=with
you ^pp2+pp2+++=you
in ^in++++=in
' ^zz++++='--'s
-- ^--+clp+++=EXTRAWORD
' ^zz++++=EXTRAWORD
s ^zz++++=EXTRAWORD
Magazine ^nn++++=Magazine
a ^at++++=a
month ^nn++++=month
or ^cc++++=or
two ^cd++++=two
ago ^rb++++=ago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
resemblance ^nn+nom+++=resemblance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Please
please ^uh++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
silly ^jj+pred+++=silly.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
photograph ^nn++++=photograph."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah,
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
help ^vb++++=help
me ^pp1o+pp1+++=me--help
-- ^--+clp+++=EXTRAWORD
help ^nn++++=EXTRAWORD
us ^pp1o+pp1+++=us
all ^abn++++=all--if
-- ^--+clp+++=EXTRAWORD
