End ^nn++++=End
The ^ati++++=The
description ^nn+nom+++=description
of ^in++++=of
life ^nn++++=life
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
worth ^in++++=worth
the ^ati++++=the
sensation ^nn+nom+++=sensation
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
experience ^nn+nom+++=experience
it ^pp3+it+++=it
deeply ^rb++++=deeply.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bosom ^nn++++=bosom
of ^in++++=of
Abraham ^np++++=Abraham
in ^in++++=in
your ^pp$+pp2+++=your
old ^jj+atrb+++=old
Scriptures ^nns++++=Scriptures
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
but ^cc++++=but
this ^dt+dem+++=this
final ^nn++++=final,
, ^zz++++=EXTRAWORD
perfect ^jj+atrb+++=perfect
world ^nn++++=world.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
you ^pp2+pp2+++=you
will ^md+prd+++=will
greet ^vb++++=greet
David ^np++++=David
and ^cc++++=and
the ^ati++++=the
prophets ^nns++++=prophets.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
will ^md+prd+++=will
you ^pp2+pp2+++=you
tell ^vb++++=tell
to ^in++++=to
the ^ati++++=the
astounded ^jj+atrb++xvbn+=astounded
listeners ^nns+nom+++=listeners,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
great ^jj+atrb+++=great
events ^nns++++=events
of ^in++++=of
the ^ati++++=the
extinct ^jj+atrb+++=extinct
world ^nn++++=world,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
the ^ati++++=the
ills ^nns+++??+=ills
they ^pp3a+pp3+++=they
will ^md+prd+++=will
never ^rb++splt++=never
know ^vb+vprv+++=know:
: ^zz++++=EXTRAWORD
sickness ^nns+nom+++=sickness,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
age ^nn++++=age,
, ^zz++++=EXTRAWORD
grief ^nn++++=grief,
, ^zz++++=EXTRAWORD
egotism ^nn+nom+++=egotism,
, ^zz++++=EXTRAWORD
hypocrisy ^nn++++=hypocrisy,
, ^zz++++=EXTRAWORD
abhorrent ^jj+atrb+++=abhorrent
vanity ^nn++++=vanity,
, ^zz++++=EXTRAWORD
imbecility ^nn+nom+++=imbecility,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
possess ^nns+nom+++=possess
an ^at++++=an
incorruptible ^jj+atrb+++=incorruptible
tunic ^nn++++=tunic.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
gaze ^vb++++=gaze
ever ^rb++++=ever
on ^in++++=on
the ^ati++++=the
immense ^jj+atrb+++=immense
blue ^nn++++=blue
sky ^nn++++=sky?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Behold ^vb++++=Behold
how ^wrb+who+++=how
beautiful ^jj++++=beautiful
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
As ^ql++++=As
beautiful ^jj++++=beautiful
and ^cc+phrs+++=and
serene ^jj++++=serene
as ^in++++=as
eternal ^jj+atrb+++=eternal
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
Magnificent ^jj+atrb+++=Magnificent
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
beautiful ^jj++++=beautiful
than ^in++++=than
the ^ati++++=the
tents ^nns++++=tents
of ^in++++=of
Caesar ^np++++=Caesar.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
behold ^vb++++=behold
you ^pp2+pp2+++=you
forever ^rb++++=forever;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
receive ^vb++++=receive
my ^pp$+pp1+++=my
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
as ^in++++=as
before ^in++++=before;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
grant ^vb++++=grant
me ^pp1o+pp1+++=me
clear ^jj+atrb+++=clear
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
friendly ^jj+atrb+++=friendly
nights ^nns++++=nights
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Dawn ^nn++++=Dawn
upon ^in++++=upon
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
speak ^vb++++=speak
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
speak ^vb++++=speak
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
me ^pp1o+pp1+++=me
unbind ^vb++++=unbind
these ^dt+dem+++=these
chains ^nns++++=chains
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Loosen ^vb++++=Loosen
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
Hercules ^np+++??+=Hercules,
, ^zz++++=EXTRAWORD
last ^rb++++=last
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
world ^nn++++=world,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
the ^ati++++=the
new ^nn++++=new.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
destiny ^nn++++=destiny;
; ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
you ^pp2+pp2+++=you
nor ^cc++neg++=nor
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
nobody ^pn++++=nobody
can ^md+pos+++=can
alter ^vb++++=alter
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
go ^vb++++=go
farther ^rbr++++=farther
than ^in++++=than
your ^pp$+pp2+++=your
Moses ^np++++=Moses.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
mount ^nn++++=mount
Nebo ^np+++??+=Nebo,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
death ^nn++++=death,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
beheld ^nn+++??+=beheld
the ^ati++++=the
land ^nn++++=land
of ^in++++=of
Jericho ^np+++??+=Jericho,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
to ^to++++=to
belong ^vbi++++=belong
to ^in++++=to
his ^pp$+pp3+++=his
descendants ^nns+nom+++=descendants
and ^cc++++=and
the ^ati++++=the
Lord ^npt++++=Lord
said ^vbd+vpub++xvbn+=said
unto ^in++++=unto
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
" ^zz++++="Thou
thou ^pp2+pp2+++=EXTRAWORD
hast ^&fw++++=hast
seen ^vbd+vprv++xvbn+=seen
with ^in++++=with
thine ^pp$+pp2+++=thine
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
shalt ^md++++=shalt
not ^xnot++not++=not
pass ^vb++++=pass
beyond ^in+strn+++=beyond."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
shall ^md+prd+++=shall
pass ^vb++++=pass
beyond ^in+strn+++=beyond,
, ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
dwell ^vb++++=dwell
in ^in++++=in
Jericho ^np+++??+=Jericho.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
Place ^nn++++=Place
your ^pp$+pp2+++=your
hand ^nn++++=hand
upon ^in++++=upon
my ^pp$+pp1+++=my
head ^nn++++=head;
; ^zz++++=EXTRAWORD
look ^vb++++=look
well ^jj+pred+++=well
at ^rb++++=at
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
fill ^vb++++=fill
me ^pp1o+pp1+++=me
with ^in++++=with
the ^ati++++=the
reality ^nn+nom+++=reality
of ^in++++=of
your ^pp$+pp2+++=your
prediction ^nn+nom+++=prediction;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me
breathe ^vb++++=breathe
a ^rb++++=a
little ^rb"++++=little
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new,
, ^zz++++=EXTRAWORD
full ^jj+atrb+++=full
life ^nn++++=life
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
King ^npt++++=King,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?
? ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
The ^ati++++=The
chosen ^jj+++xvbn+=chosen
king ^npt++++=king
of ^in++++=of
a ^at++++=a
chosen ^jj+atrb++xvbn+=chosen
people ^nns++++=people.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
too ^ql++++=too
much ^ap++++=much
in ^in++++=in
recompense ^nn+++??+=recompense
for ^in++++=for
the ^ati++++=the
deep ^jj+atrb+++=deep
ignominy ^nn+++??+=ignominy
in ^in++++=in
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
dwelt ^vprf+++xvbnx+=dwelt.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
one ^cd1++++=one
life ^nn++++=life
heaped ^vbd+++xvbn+=heaped
mire ^nn+++??+=mire,
, ^zz++++=EXTRAWORD
another ^dt++++=another
life ^nn++++=life
will ^md+prd+++=will
place ^vb++++=place
a ^at++++=a
halo ^nn++++=halo.
. ^zz++++=EXTRAWORD
Speak ^vb++++=Speak,
, ^zz++++=EXTRAWORD
speak ^vb++++=speak
on ^in+strn+++=on
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
speak ^vb++++=speak
on ^in+strn+++=on
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
( ^zz++++=(He
he ^pp3a+pp3+++=EXTRAWORD
continues ^vbz++++=continues
to ^to++++=to
dream ^vbi++++=dream.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
eagles ^nns++++=eagles
draw ^vb++++=draw
near ^in+strn+++=near.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
First ^rb++++=First
Eagle ^nn++++=Eagle.
. ^zz++++=EXTRAWORD
Ay ^uh++++=Ay,
, ^zz++++=EXTRAWORD
ay ^uh++++=ay,
, ^zz++++=EXTRAWORD
ay ^uh++++=ay!
! ^zz++++=EXTRAWORD
Alas ^uh++++=Alas
for ^in++++=for
this ^dt+dem+++=this
last ^jj+atrb+++=last
man ^nn++++=man;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
dying ^vbg+++xvbgx+=dying,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
dreams ^nns++++=dreams
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Second ^od++++=Second
Eagle ^nn++++=Eagle.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
so ^ql++++=so
much ^ap++++=much
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
hated ^vbd+++xvbnx+=hated
it ^pp3+it+++=it
as ^ql++++=as
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
loved ^vbd+++xvbn+=loved
it ^pp3+it+++=it
so ^ql++++=so
much ^ap++++=much.
. ^zz++++=EXTRAWORD
