**a ^nn+++??+=**A
Letter ^nn++++=LETTER
projected ^jj+++xvbn+=projected
omnibus ^&fw++++=omnibus
road ^nn++++=road
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
explain ^vbi+vpub+++=explain
the ^ati++++=the
advantages ^nns+nom+++=advantages
of ^in++++=of
accessibility ^nn+nom+++=accessibility.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Van ^&fw++++=Van
Hornes ^np+++??+=Hornes
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
No ^at++++=No
violence ^nn+nom+++=violence
was ^vbd+bedz+aux++=was
committed ^vpsv++agls+xvbnx+=committed;
; ^zz++++=EXTRAWORD
Communipaw ^np+++??+=Communipaw
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
been ^vprf+ben+aux+xvbnx+=been
governed ^vpsv++by+xvbnx+=governed
by ^in++++=by
moderation ^nn+nom+++=moderation.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
speculators ^nns++++=speculators
found ^vbd+vprv+tht0+xvbn+=found
themselves ^ppls+pp3+++=themselves
conducted ^vbd+++xvbn+=conducted
to ^in++++=to
their ^pp$+pp3+++=their
schooner ^nn+nom+++=schooner
with ^in++++=with
a ^at++++=a
firmness ^nns+nom+++=firmness
which ^whp+rel+obj++=which
shortened ^jj++++=shortened
the ^ati++++=the
interview ^nn++++=interview.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
maps ^nns++++=maps
were ^vbd+bed+aux++=were
folded ^vpsv++agls+xvbnx+=folded
about ^rb++++=about
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
measuring ^nvbg+++xvbg+=measuring
chains ^nns++++=chains
followed ^vbd+vprv++xvbn+=followed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Quickset ^np++++=Quickset
departed ^vbd+++xvbn+=departed
seated ^vbd+++xvbn+=seated
upon ^in++++=upon
his ^pp$+pp3+++=his
own ^ap++++=own
barrel ^nn++++=barrel,
, ^zz++++=EXTRAWORD
still ^rb++++=still
declaring ^vbg+vpub++xvbg+=declaring,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
vessel ^nn++++=vessel
pushed ^vwbn+++xvbn+=pushed
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
village ^nn+nom+++=village
possessed ^vbd+++xvbn+=possessed
incalculable ^jj+atrb+++=incalculable
possibilities ^nns+nom+++=possibilities.
. ^zz++++=EXTRAWORD
Communipaw ^np+++??+=Communipaw
was ^vbd+bedz+aux++=was
saved ^vpsv++agls+xvbnx+=saved
once ^rb+tm+++=once
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gardens ^nns++++=gardens
remained ^vbd+++xvbn+=remained
gardens ^nns++++=gardens;
; ^zz++++=EXTRAWORD
the ^ati++++=the
oyster ^nn++++=oyster
beds ^nns++++=beds
continued ^vbd+++xvbn+=continued
their ^pp$+pp3+++=their
useful ^jj+atrb+++=useful
obscurity ^nn+nom+++=obscurity;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys
retained ^vbd+++xvbn+=retained
all ^abn++++=all
four ^cd++++=four
of ^in++++=of
its ^pp$+it+++=its
venerable ^jj+atrb+++=venerable
columns ^nns++++=columns
of ^in++++=of
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
On ^in++++=On
summer ^nn++++=summer
evenings ^nns++++=evenings
the ^ati++++=the
old ^jj+atrb+++=old
men ^nns++++=men
still ^rb++++=still
sat ^vbd+++xvbn+=sat
upon ^in++++=upon
the ^ati++++=the
stoops ^nns+++??+=stoops,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cats ^nns++++=cats
slept ^vbd+++xvbn+=slept
in ^in++++=in
the ^ati++++=the
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
the ^ati++++=the
weathercocks ^nns+++??+=weathercocks
deliberated ^vbd+++xvbn+=deliberated
upon ^in++++=upon
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bay ^npl++++=bay
reflected ^vbd+vprv++xvbn+=reflected
the ^ati++++=the
red ^jj+atrb+++=red
roofs ^nns++++=roofs
as ^in++++=as
faithfully ^rb++++=faithfully
as ^cs+sub+++=as
if ^cs+cnd+++=if
no ^at++++=no
company ^nn++++=company
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+aux+xvbnx+=been
incorporated ^vpsv++agls+xvbnx+=incorporated.
. ^zz++++=EXTRAWORD
Yet ^rb+cnj+++=Yet,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
the ^ati++++=the
antiquary ^nn+nom+++=antiquary
must ^md+nec+++=must
not ^xnot++not++=not
permit ^vb++++=permit
affection ^nn+nom+++=affection
to ^in++++=to
blind ^jj++++=blind
his ^pp$+pp3+++=his
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
During ^in++++=During
my ^pp$+pp1+++=my
last ^rb++++=last
visit ^vb++++=visit
I ^pp1a+pp1+++=I
observed ^vbd+vprv++xvbnx+=observed
symptoms ^nns++++=symptoms
which ^whp+rel+subj++=which
filled ^vbd+++xvbn+=filled
me ^pp1o+pp1+++=me
with ^in++++=with
melancholy ^nn++++=melancholy.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
chimney ^nn++++=chimney
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
house ^npl++++=house
had ^vbd+hvd+aux++=had
cracked ^vprf+++xvbnx+=cracked;
; ^zz++++=EXTRAWORD
another ^dt++++=another
leaned ^jj+++xvbn+=leaned
toward ^in++++=toward
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
inclination ^nn+nom+++=inclination
almost ^rb+hdg+++=almost
political ^jj++++=political.
. ^zz++++=EXTRAWORD
Moss ^np++++=Moss
obscured ^vbd+++xvbn+=obscured
the ^ati++++=the
date ^nn++++=date
upon ^in++++=upon
the ^ati++++=the
gable ^nn++++=gable.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
entered ^vbd+++xvbn+=entered
the ^ati++++=the
relic ^nn++++=relic-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wooden ^jj+atrb+++=wooden
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
the ^ati++++=the
hand ^nn++++=hand
which ^whp+rel+subj++=which
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
disputed ^jj+atrb++xvbn+=disputed
sausage ^nn+nom+++=sausage.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
grievous ^jj++++=grievous
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj++++=young
Van ^&fw++++=Van
Horne ^np+++??+=Horne
wore ^vbd+++xvbn+=wore
narrow ^jj+atrb+++=narrow
trousers ^nns+nom+++=trousers
and ^cc++++=and
consulted ^vbd+++xvbn+=consulted
a ^at++++=a
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
maidens ^nns++++=maidens
spoke ^vbd+++xvbn+=spoke
of ^in++++=of
a ^at++++=a
concert ^nn++++=concert
in ^in++++=in
the ^ati++++=the
city ^nn++++=city;
; ^zz++++=EXTRAWORD
a ^at++++=a
boy ^nn++++=boy
possessed ^vbd+++xvbn+=possessed
a ^at++++=a
newspaper ^nn+nom+++=newspaper
of ^in++++=of
the ^ati++++=the
same ^ap++++=same
morning ^nn++++=morning;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
detected ^vbd+++xvbnx+=detected,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
the ^ati++++=the
smoke ^nn++++=smoke-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
vehicle ^nn++++=vehicle
called ^vbd+++xvbn+=called
a ^at++++=a
velocipede ^nn+++??+=velocipede.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
Dutch ^jj+atrb+++=Dutch
clock ^nn++++=clock
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall
still ^rb++++=still
struck ^vbd+++xvbn+=struck
seven ^cd++++=seven
when ^wrb+who+++=when
it ^pp3+it+++=it
pleased ^vbd+++xvbn+=pleased,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
one ^cd1++++=one
waited ^vbd+++xvbn+=waited
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
cabbages ^nns+nom+++=cabbages
had ^vbd+hvd+aux++=had
diminished ^vprf+++xvbnx+=diminished,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
oysters ^nns+nom+++=oysters,
, ^zz++++=EXTRAWORD
corrupted ^xvbn+++xvbn+=corrupted
perhaps ^rb++++=perhaps
by ^in++++=by
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
no ^at++++=no
longer ^rbr++++=longer
resembled ^vbd+++xvbn+=resembled
any ^dti++++=any
governor ^nn++++=governor
within ^in++++=within
authentic ^jj+atrb+++=authentic
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
before ^in++++=before
the ^ati++++=the
House ^nn++++=House
of ^in++++=of
the ^ati++++=the
Four ^cd++++=Four
Chimneys ^nns++++=Chimneys
at ^in++++=at
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
windows ^nns++++=windows
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red
with ^in++++=with
the ^ati++++=the
departing ^jj+++xvbg+=departing
light ^jj++++=light;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
bricks ^nns++++=bricks
were ^vbd+bed+aux++=were
worn ^vpsv++agls+xvbnx+=worn;
; ^zz++++=EXTRAWORD
swallows ^vbz+++??+=swallows
entered ^vbd+++xvbn+=entered
where ^wrb+who+++=where
councillors ^nns++++=councillors
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
deliberated ^vprf+++xvbnx+=deliberated;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
kitchen ^nn++++=kitchen
came ^vbd+++xvbn+=came
the ^ati++++=the
reprehensible ^jj+atrb+++=reprehensible
odour ^nn++++=odour
of ^in++++=of
coffee ^nn++++=coffee
prepared ^vwbn+++xvbn+=prepared
by ^in++++=by
a ^at++++=a
modern ^jj+atrb+++=modern
machine ^nn++++=machine.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
the ^ati++++=the
water ^nn++++=water
New ^jj++++=New-York
- ^zz++++=EXTRAWORD
york ^np++++=EXTRAWORD
lifted ^vbd+++xvbn+=lifted
its ^pp$+it+++=its
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
rattled ^xvbn+++xvbn+=rattled
its ^pp$+it+++=its
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
flashed ^j+++xvbn+=flashed
its ^pp$+it+++=its
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stretched ^vbd+++xvbn+=stretched
out ^rp+pl+++=out
piers ^nns++++=piers
like ^in++++=like
a ^at++++=a
many ^ap++++=many-fingered
- ^zz++++=EXTRAWORD
fingered ^vbd+++xvbn+=EXTRAWORD
giant ^jjb++++=giant
eager ^jj++++=eager
to ^to+jcmp+++=to
seize ^vbi++++=seize
the ^ati++++=the
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
Communipaw ^np+++??+=Communipaw
can ^md+pos+++=can
long ^rb++splt++=long
resist ^vb++++=resist
that ^cs+sub+++=that
embrace ^vb++++=embrace,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dare ^vb++++=dare
not ^xnot++not++=not
determine ^vb++++=determine.
. ^zz++++=EXTRAWORD
Nations ^nns+nom+++=Nations,
, ^zz++++=EXTRAWORD
villages ^nns+nom+++=villages
and ^cc++++=and
breeches ^nns++++=breeches
alike ^rb++++=alike
must ^md+nec+++=must
in ^in++++=in
time ^nn++++=time
alter ^vb++++=alter
their ^pp$+pp3+++=their
fashion ^nn++++=fashion.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Yankee ^jj+atrb+++=Yankee
may ^md+pos+++=may
yet ^rb++++=yet
divide ^vb++++=divide
the ^ati++++=the
orchards ^nns++++=orchards,
, ^zz++++=EXTRAWORD
number ^nn++++=number
the ^ati++++=the
cabbages ^nns+nom+++=cabbages,
, ^zz++++=EXTRAWORD
dredge ^vb++++=dredge
the ^ati++++=the
sacred ^jj+atrb+++=sacred
oyster ^nn++++=oyster
beds ^nns++++=beds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
convert ^vb++++=convert
the ^ati++++=the
old ^jj+atrb+++=old
mansion ^nn++++=mansion
into ^in++++=into
an ^at++++=an
institution ^nn+nom+++=institution
having ^vwbg+hvg++xvbg+=having
a ^at++++=a
president ^nn++++=president,
, ^zz++++=EXTRAWORD
a ^at++++=a
cashier ^nn++++=cashier
and ^cc++++=and
no ^at++++=no
chimney ^nn++++=chimney
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^nn++++=young
will ^md+prd+++=will
cross ^vb++++=cross
the ^ati++++=the
bay ^nn++++=bay;
; ^zz++++=EXTRAWORD
the ^ati++++=the
old ^nn++++=old
will ^md+prd+++=will
cross ^vb++++=cross
a ^at++++=a
quieter ^jjr+atrb+++=quieter
water ^nn++++=water;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
speedily ^rb++++=speedily
written ^xvbn+++xvbn+=written
down ^rp++++=down,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+aux++=be
improved ^vpsv++agls+xvbnx+=improved
beyond ^in++++=beyond
recognition ^nn+nom+++=recognition.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
therefore ^rb+cnj+++=therefore
place ^nn++++=place
these ^dt+dem+++=these
facts ^nns++++=facts
in ^in++++=in
your ^pp$+pp2+++=your
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
Communipaw ^np+++??+=Communipaw
may ^md+pos+++=may
survive ^vb++++=survive
its ^pp$+it+++=its
possible ^jj+atrb+++=possible
advancement ^nn+nom+++=advancement.
. ^zz++++=EXTRAWORD
May ^md+pos+++=May
its ^pp$+it+++=its
four ^cd++++=four
chimneys ^nns++++=chimneys
stand ^vb++++=stand
while ^cs+sub+++=while
one ^cd1++++=one
Van ^&fw++++=Van
Horne ^np+++??+=Horne
remains ^nns++++=remains
to ^in++++=to
smoke ^nn++++=smoke
beneath ^in+pl+++=beneath
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
may ^md+pos+++=may
its ^pp$+it+++=its
Governor ^np++++=Governor's
's ^$++++=EXTRAWORD
Heads ^nns++++=Heads
increase ^nn++++=increase
and ^cc++++=and
multiply ^vb++++=multiply;
; ^zz++++=EXTRAWORD
may ^md+pos+++=may
its ^pp$+it+++=its
Governor ^np++++=Governor's
's ^$++++=EXTRAWORD
Feet ^nns++++=Feet
never ^rb++++=never
be ^vb+be+aux++=be
trampled ^vpsv++by+xvbnx+=trampled
by ^in++++=by
speculation ^nn+nom+++=speculation;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
St ^vb++++=St.
. ^zz++++=EXTRAWORD
Nicholas ^np++++=Nicholas
continue ^vb++++=continue
to ^to++++=to
defend ^vbi++++=defend
that ^dt+dem+++=that
honest ^jj+atrb+++=honest
corner ^nn++++=corner
of ^in++++=of
New ^jj++++=New-Netherlands
- ^zz++++=EXTRAWORD
netherlands ^np++++=EXTRAWORD
from ^in++++=from
all ^abn++++=all
persons ^nns++++=persons
who ^whp+rel+subj++=who
would ^md+prd+++=would
make ^vb++++=make
it ^pp3+it+++=it
richer ^jjr++++=richer,
, ^zz++++=EXTRAWORD
straighter ^jjr++++=straighter,
, ^zz++++=EXTRAWORD
newer ^jjr++++=newer
and ^cc++++=and
less ^rbr++++=less
worth ^in++++=worth
remembering ^nn++++=remembering.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
with ^in++++=with
antiquarian ^jj+atrb+++=antiquarian
consideration ^nn+nom+++=consideration
and ^cc++++=and
hereditary ^jj+atrb+++=hereditary
respect ^nn++++=respect,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
obedient ^jj+atrb+++=obedient
servant ^nn+nom+++=servant,
, ^zz++++=EXTRAWORD
**hermanus ^nns++++=**HERMANUS
vanderdonk** ^np++++=VANDERDONK**
