# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Maymeys ^np+++??+=MAYMEYS
: ^zz++++=EXTRAWORD
the ^ati++++=the
instinctive ^jj+atrb+++=instinctive
alarm ^nn++++=alarm
of ^in++++=of
the ^ati++++=the
fortunate ^jj++++=fortunate
when ^wrb+who+++=when
misfortune ^nn++++=misfortune
comes ^vbz++++=comes
close ^vb++++=close
enough ^qlp++++=enough
to ^in++++=to
touch ^nn++++=touch
their ^pp$+pp3+++=their
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
" ^zz++++="Ask
ask ^vb++++=EXTRAWORD
the ^ati++++=the
store ^nn++++=store,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+vrb++=have
arrangements ^nns+nom+++=arrangements
for ^in++++=for
such ^abl++++=such
cases ^nns++++=cases."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Such ^abl++++=Such
cases ^nns++++=cases!
! ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
was ^vbd+bedz+vrb++=was
a ^at++++=a
case ^nn++++=case
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
woman ^nn++++=woman
somewhere ^rb++++=somewhere
between ^in++++=between
the ^ati++++=the
fruit ^nn++++=fruit
window ^nn++++=window
and ^cc++++=and
the ^ati++++=the
anchovy ^nn+++??+=anchovy
paste ^nn++++=paste.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
floorwalker ^nn++++=floorwalker
of ^in++++=of
the ^ati++++=the
grocery ^nn+nom+++=grocery
department ^nn+nom+++=department,
, ^zz++++=EXTRAWORD
a ^at++++=a
majestic ^jj+atrb+++=majestic
individual ^nn+nom+++=individual
with ^in++++=with
a ^at++++=a
red ^jj+atrb+++=red
carnation ^np+nom+++=carnation
and ^cc++++=and
side ^nn++++=side
whiskers ^nns+nom+++=whiskers.
. ^zz++++=EXTRAWORD
" ^zz++++="Could
could ^md+pos+++=EXTRAWORD
ye ^pp2+pp2+++=ye
tell ^vb++++=tell
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
any ^dti++++=any
work ^nn++++=work?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
clean ^vb++++=clean,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
serve ^vb++++=serve,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
wash ^nn++++=wash
dishes ^nns++++=dishes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
experience ^nn+nom+++=experience."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Employment
employment ^nn+nom+++=EXTRAWORD
office ^nn++++=office,
, ^zz++++=EXTRAWORD
eighth ^od++++=eighth
floor ^nn++++=floor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
they ^pp3a+pp3+++=they
be ^vb+be+vrb++=be
open ^jj+pred+++=open
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Closed
closed ^jj+++xvbn+=EXTRAWORD
at ^rb++++=at
three ^cd++++=three."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Could
could ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
there ^ex+pex+++=there
be ^vb+be+vrb++=be
something ^pn++++=something
to ^to++++=to
eat ^vbi++++=eat
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
wait ^vb++++=wait
till ^cs+sub+++=till
morning ^nn++++=morning?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
floorwalker ^nn++++=floorwalker
looked ^vbd+++xvbn+=looked
over ^rp++++=over
her ^pp3o+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
Floorwalkers ^nns+nom++??+=Floorwalkers
are ^vb+ber+aux++=are
trained ^vpsv++agls+xvbnx+=trained
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
customer ^nn+nom+++=customer
behind ^in+pl+++=behind
the ^ati++++=the
person ^nn++++=person.
. ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
apply ^vb++++=apply
to ^in++++=to
the ^ati++++=the
proper ^jj+atrb+++=proper
charities ^nns+nom+++=charities."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where?"
where ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Could
could ^md+pos+++=EXTRAWORD
ye ^pp2+pp2+++=ye
ask ^vb++++=ask
someone ^pn++++=someone?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Madam,
madam ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
obstructing ^vbg+++xvbgx+=obstructing
traffic ^nn++++=traffic."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
wagon ^nn++++=wagon
loaded ^vbd+++xvbn+=loaded
with ^in++++=with
purchases ^nns++++=purchases
rolled ^vbd+++xvbn+=rolled
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Caviar ^np+++??+=Caviar,
, ^zz++++=EXTRAWORD
preserved ^xvbn+++xvbn+=preserved
ginger ^nn++++=ginger,
, ^zz++++=EXTRAWORD
biscuits ^nns++++=biscuits
in ^in++++=in
tins ^nns++++=tins,
, ^zz++++=EXTRAWORD
a ^at++++=a
ham ^nn++++=ham
in ^in++++=in
a ^at++++=a
canvas ^nn++++=canvas
jacket ^nn++++=jacket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
oranges ^nns++++=oranges
passed ^vwbn+++xvbn+=passed
by ^in++++=by
like ^in++++=like
a ^at++++=a
millionaire ^nn++++=millionaire's
's ^$++++=EXTRAWORD
parade ^nn++++=parade.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
smelled ^vbd+++xvbnx+=smelled
Scotland ^np++++=Scotland.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
an ^at++++=an
item ^nn++++=item
ordinarily ^rb++++=ordinarily
stocked ^vbd+++xvbn+=stocked
in ^in++++=in
department ^nn+nom+++=department
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was:
: ^zz++++=EXTRAWORD
warm ^jj+atrb+++=warm
oatmeal ^nn++++=oatmeal,
, ^zz++++=EXTRAWORD
browned ^jj+atrb++xvbn+=browned
flour ^nn++++=flour,
, ^zz++++=EXTRAWORD
butter ^nn++++=butter,
, ^zz++++=EXTRAWORD
pepper ^nn++++=pepper,
, ^zz++++=EXTRAWORD
baked ^jj+atrb++xvbn+=baked
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
faint ^jj+atrb+++=faint
smoky ^jj+atrb+++=smoky
fragrance ^nn+nom+++=fragrance
of ^in++++=of
a ^at++++=a
remembered ^jj+atrb++xvbn+=remembered
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scent ^nn++++=scent
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
a ^at++++=a
counter ^nn++++=counter
decorated ^vbd+++xvbn+=decorated
with ^in++++=with
tartan ^nn++++=tartan
ribbon ^nn++++=ribbon
and ^cc++++=and
a ^at++++=a
cardboard ^nn++++=cardboard
Highlander ^np+nom++??+=Highlander.
. ^zz++++=EXTRAWORD
Above ^jjb++++=Above
it ^pp3+it+++=it
hung ^vbd+++xvbn+=hung
a ^at++++=a
sign ^nn++++=sign:
: ^zz++++=EXTRAWORD
**auld ^nn+++??+=**AULD
Scotch ^np++++=SCOTCH
Bakery ^np+++??+=BAKERY
Specialties ^np+++??+=SPECIALTIES
From ^in++++=FROM
The ^ati++++=THE
Land ^nn++++=LAND
Of ^in++++=OF
Heather** ^np+++??+=HEATHER**
The ^ati++++=The
land ^nn++++=land
of ^in++++=of
heather ^nn++++=heather
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
reduced ^vpsv++agls+xvbnx+=reduced
to ^to++++=to
six ^cd++++=six
feet ^nns++++=feet
of ^in++++=of
counter ^nn++++=counter
space ^nn++++=space
between ^in++++=between
Imported ^xvbn+++xvbn+=Imported
Oils ^nns++++=Oils
and ^cc++++=and
Fancy ^nn++++=Fancy
Poultry ^nn++++=Poultry,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
exile ^nn++++=exile
cannot ^md+pos+not++=cannot
afford ^vb++++=afford
to ^to+vcmp+++=to
be ^vbi++vrb++=be
critical ^jj+pred+++=critical.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
approached ^vbd+++xvbn+=approached.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
bannocks ^nns++++=bannocks,
, ^zz++++=EXTRAWORD
oatcakes ^nns+++??+=oatcakes,
, ^zz++++=EXTRAWORD
shortbread ^nn++++=shortbread
stamped ^vwbn+++xvbn+=stamped
with ^in++++=with
thistles ^nns++++=thistles,
, ^zz++++=EXTRAWORD
currant ^nn+nom+++=currant
cakes ^nns++++=cakes,
, ^zz++++=EXTRAWORD
Dundee ^np++++=Dundee
cake ^nn++++=cake,
, ^zz++++=EXTRAWORD
bridies ^nns+++??+=bridies,
, ^zz++++=EXTRAWORD
meat ^nn++++=meat
pies ^nns++++=pies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
scones ^nns++++=scones
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
floury ^jj++++=floury,
, ^zz++++=EXTRAWORD
split ^j+++xvbn+=split
at ^rb++++=at
the ^ati++++=the
side ^nn++++=side,
, ^zz++++=EXTRAWORD
brown ^jj++++=brown
on ^in++++=on
top ^jjb++++=top
and ^cc++++=and
still ^rb+atrb+++=still
hot ^jj++++=hot
from ^in++++=from
the ^ati++++=the
oven ^nn++++=oven.
. ^zz++++=EXTRAWORD
Steam ^nn++++=Steam
escaped ^vbd+++xvbn+=escaped
when ^wrb+who+++=when
the ^ati++++=the
girl ^nn++++=girl
behind ^in+pl+++=behind
the ^ati++++=the
counter ^nn++++=counter
opened ^vbd+++xvbn+=opened
a ^at++++=a
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
stopped ^vbd+++xvbn+=stopped
breathing ^nvbg+++xvbg+=breathing.
. ^zz++++=EXTRAWORD
Scones ^nns++++=Scones.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
embellished ^jj+atrb++xvbn+=embellished
American ^jj+atrb+++=American
scone ^nn+++??+=scone,
, ^zz++++=EXTRAWORD
frosted ^jj++++=frosted,
, ^zz++++=EXTRAWORD
perfumed ^j+++xvbn+=perfumed,
, ^zz++++=EXTRAWORD
studded ^j+++xvbn+=studded
with ^in++++=with
fruits ^nns++++=fruits
unknown ^jj++++=unknown
to ^in++++=to
the ^ati++++=the
Covenanters ^nns+nom++??+=Covenanters.
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
were ^vbd+bed+vrb++=were
plain ^nn++++=plain
scones ^nns++++=scones,
, ^zz++++=EXTRAWORD
honest ^jj++++=honest
and ^cc+phrs+++=and
substantial ^jj++++=substantial,
, ^zz++++=EXTRAWORD
meant ^j+++xvbn+=meant
for ^in++++=for
butter ^nn++++=butter
if ^cs+cnd+++=if
butter ^nn++++=butter
existed ^vbd+++xvbn+=existed
and ^cc++++=and
tea ^nn++++=tea
whether ^cs+who+++=whether
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
them ^pp3o+pp3+++=them
on ^in++++=on
a ^at++++=a
black ^jj+atrb+++=black
iron ^nn++++=iron
girdle ^nn+++??+=girdle.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
No ^at++++=No.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
agreed ^vbd+vpub++xvbn+=agreed
to ^to++++=to
avoid ^vbi++++=avoid
biography ^nn++++=biography.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
hunger ^nn++++=hunger
has ^vbz+hvz+vrb++=has
a ^at++++=a
treacherous ^jj+atrb+++=treacherous
memory ^nn++++=memory.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can
resurrect ^vb++++=resurrect
a ^at++++=a
kitchen ^nn++++=kitchen
more ^rbr++++=more
perfectly ^rb+amp+++=perfectly
than ^in++++=than
love ^nn++++=love.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
scrubbed ^jj+atrb++xvbn+=scrubbed
table ^nn++++=table
near ^in+pl+++=near
a ^at++++=a
small ^jj+atrb+++=small
window ^nn++++=window
blurred ^vwbn+++xvbn+=blurred
by ^in++++=by
Scottish ^jj+atrb+++=Scottish
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv++xvbnx+=saw
flour ^nn++++=flour
on ^in++++=on
strong ^jj+atrb+++=strong
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
slap ^nn++++=slap
of ^in++++=of
dough ^nn+++??+=dough,
, ^zz++++=EXTRAWORD
the ^ati++++=the
click ^nn++++=click
of ^in++++=of
a ^at++++=a
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
kettle ^nn++++=kettle
beginning ^vwbg+++xvbg+=beginning
to ^to++++=to
sing ^vbi++++=sing.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
own ^ap++++=own
younger ^jjr+atrb+++=younger
voice ^nn++++=voice
said ^vbd+vpub+tht0+xvbn+=said
something ^pn++++=something
from ^in++++=from
very ^ql+amp+++=very
far ^rb+pl+++=far
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
A ^at++++=A
chair ^nn++++=chair
scraped ^vbd+++xvbn+=scraped.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vision ^nn++++=vision
vanished ^vbd+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scones ^nns++++=scones
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Three
three ^cd++++=EXTRAWORD
cents ^nns++++=cents
each ^dt++++=each,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
bakery ^nn++++=bakery
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
Jennie ^np++++=Jennie's
's ^$++++=EXTRAWORD
hand ^nn++++=hand
closed ^vbd+++xvbn+=closed
around ^rp++++=around
the ^ati++++=the
four ^cd++++=four
pennies ^nns++++=pennies.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
cents ^nns++++=cents.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
buy ^vb++++=buy
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Salvation ^nn+nom+++=Salvation
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
simple ^jj++++=simple,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
arithmetic ^nn++++=arithmetic
interfered ^vbd+++xvbn+=interfered.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
spent ^vbd+++xvbnx+=spent
three ^cd++++=three
cents ^nns++++=cents,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
cent ^nnu"++++=cent
could ^md+pos+++=could
do ^vb+do+vrb++=do
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
saved ^vbd+++xvbnx+=saved
all ^abn++++=all
four ^cd++++=four,
, ^zz++++=EXTRAWORD
the ^ati++++=the
four ^cd++++=four
could ^md+pos+++=could
also ^rb++++=also
do ^vb+do+vrb++=do
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
possession ^nn++++=possession
has ^vbz+hvz+vrb++=has
a ^at++++=a
superstition ^nn+nom+++=superstition.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
coins ^nns++++=coins
were ^vbd+bed+vrb++=were
her ^pp$+pp3+++=her
final ^jj+atrb+++=final
tie ^nn++++=tie
to ^in++++=to
lawful ^jj+atrb+++=lawful
society ^nn++++=society.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
four ^cd++++=four
cents ^nns++++=cents
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
poor ^jj+pred+++=poor;
; ^zz++++=EXTRAWORD
with ^in++++=with
none ^rb++++=none
she ^pp3a+pp3+++=she
would ^md+prd+++=would
be ^vb+be+vrb++=be
destitute ^jj+pred+++=destitute.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction
is ^vbz+bez+vrb++=is
absurd ^jj+pred+++=absurd,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
so ^ql++++=so
are ^vb+ber+vrb++=are
many ^ap++++=many
distinctions ^nns+nom+++=distinctions
guarded ^vwbn+++xvbn+=guarded
by ^in++++=by
policemen ^nns++++=policemen.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
reached ^vbd+++xvbn+=reached
for ^in++++=for
a ^at++++=a
paper ^nn++++=paper
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
instant ^nn+nom+++=instant
a ^at++++=a
gentleman ^nn+nom+++=gentleman
pushed ^vwbn+++xvbn+=pushed
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
Jennie ^np+++??+=Jennie.
. ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
dozen ^cd++++=dozen
oatcakes ^nns+++??+=oatcakes,
, ^zz++++=EXTRAWORD
a ^at++++=a
pound ^nn++++=pound
of ^in++++=of
shortbread ^nn++++=shortbread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
six ^cd++++=six
meat ^nn++++=meat
pies ^nns++++=pies,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ordered ^vbd+vsua++xvbnx+=ordered.
. ^zz++++=EXTRAWORD
" ^zz++++="Send
send ^vb++++=EXTRAWORD
them ^pp3o+pp3+++0='em
to ^in++++=to
the ^ati++++=the
Lake ^nn++++=Lake
Shore ^nn++++=Shore
Drive ^nn++++=Drive
address ^nns+nom+++=address."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
clerk ^nn++++=clerk
turned ^vbd+++xvbn+=turned
to ^to++++=to
fill ^vbi++++=fill
the ^ati++++=the
order ^nn++++=order.
. ^zz++++=EXTRAWORD
Another ^ppls++++=Another
clerk ^np++++=clerk
brought ^vbd+++xvbn+=brought
a ^at++++=a
fresh ^jj+atrb+++=fresh
tray ^nn++++=tray.
. ^zz++++=EXTRAWORD
Scones ^nns++++=Scones,
, ^zz++++=EXTRAWORD
hot ^jj++++=hot
and ^cc+phrs+++=and
fragrant ^jj++++=fragrant,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
within ^in++++=within
Jennie ^np++++=Jennie's
's ^$++++=EXTRAWORD
reach ^vb++++=reach.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
placed ^vbd+++xvbnx+=placed
the ^ati++++=the
four ^cd++++=four
cents ^nns++++=cents
on ^in++++=on
the ^ati++++=the
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
saw ^vbd+vprv++xvbn+=saw.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
she ^pp3a+pp3+++=she
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
pay ^vbi++++=pay.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
pay ^vb++++=pay,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
receipt ^nn++++=receipt
was ^vbd+bedz+aux++=was
issued ^vpsv++agls+xvbnx+=issued
and ^cc++++=and
commercial ^jj+atrb+++=commercial
jurisprudence ^nn+nom+++=jurisprudence
might ^md+pos+++=might
raise ^vb++++=raise
objections ^nns+nom+++=objections.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
one ^cd1++++=one
scone ^nn+++??+=scone.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
burned ^vbd+++xvbn+=burned
her ^pp3o+pp3+++=her
fingers ^nns+nom+++=fingers
deliciously ^rb++++=deliciously.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drew ^vbd+++xvbnx+=drew
it ^pp3+it+++=it
toward ^in++++=toward
her ^pp$+pp3+++=her
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
A ^at++++=A
hand ^nn++++=hand
seized ^vbd+++xvbn+=seized
her ^pp$+pp3+++=her
wrist ^nn++++=wrist.
. ^zz++++=EXTRAWORD
" ^zz++++="Here!
here ^rn+pl+++=EXTRAWORD
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
hand ^nn++++=hand
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
a ^at++++=a
woman ^nn++++=woman
customer ^nn+nom+++=customer,
, ^zz++++=EXTRAWORD
a ^at++++=a
tall ^jj+atrb+++=tall
woman ^nn++++=woman
fitted ^vwbn+++xvbn+=fitted
into ^in++++=into
purple ^jj+atrb+++=purple
velvet ^nn++++=velvet
with ^in++++=with
enough ^qlp++++=enough
whalebone ^jj+++??+=whalebone
to ^to++++=to
equip ^vbi++++=equip
a ^at++++=a
small ^jj+atrb+++=small
maritime ^jj+atrb+++=maritime
museum ^npl++++=museum.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
observed ^vprf+++xvbnx+=observed
the ^ati++++=the
transaction ^nn+nom+++=transaction
or ^cc++++=or
the ^ati++++=the
theft ^nn++++=theft,
, ^zz++++=EXTRAWORD
according ^in++++=according
to ^to++++=to
where ^wrb+who+++=where
one ^cd1++++=one
places ^nns++++=places
the ^ati++++=the
emphasis ^nn++++=emphasis.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
took ^vbd+++xvbnx+=took
that ^dt+pdem+++=that!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bakery ^nn++++=bakery
girl ^nn++++=girl
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
Jennie ^np+++??+=Jennie
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
left ^vbd+++xvbnx+=left
four ^cd++++=four
pennies ^nns++++=pennies
" ^zz++++="
" ^zz++++="Call
call ^vb++++=EXTRAWORD
the ^ati++++=the
floorwalker ^nn++++=floorwalker."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
paid ^vbd+++xvbnx+=paid
there ^rn+pl+++=there
" ^zz++++="
The ^ati++++=The
coins ^nns++++=coins
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished
beneath ^in+pl+++=beneath
a ^at++++=a
paper ^nn++++=paper
doily ^jj++++=doily
or ^cc+phrs+++=or
been ^jj+jj+aux+xvbn+=been
swept ^vpsv++agls+xvbnx+=swept
aside ^rp++++=aside
with ^in++++=with
crumbs ^nns++++=crumbs.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
looked ^vbd+++xvbn+=looked.
. ^zz++++=EXTRAWORD
" ^zz++++="Shoplifter!"
shoplifter ^jjr++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
boy ^nn++++=boy
joyfully ^rb++++=joyfully.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
travelled ^vbd+++xvbn+=travelled.
. ^zz++++=EXTRAWORD
A ^at++++=A
shoplifter ^jjr++++=shoplifter
is ^vbz+bez+vrb++=is
