# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Mary ^np++++=Mary's
name ^nn++++=name,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
dove ^np++++=dove
was ^vbd+bedz+vrb++=was
available ^jj+pred+++=available
and ^cc++++=and
the ^ati++++=the
raven ^nn++++=raven
would ^md+prd+++=would
certainly ^rb++++=certainly
have ^vb+hv+aux++=have
declined ^vprf+++xvbnx+=declined
responsibility ^nn+nom+++=responsibility
had ^vbd+hvd+aux++=had
grounded ^vprf+++xvbnx+=grounded.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+tht0++=know
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv++xvbnx+=knew
only ^rb+down+++=only
that ^dt+dem+++=that
motion ^nn++++=motion
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
attempted ^vbd+++xvbnx+=attempted
to ^to+vcmp+++=to
crawl ^vbi++++=crawl
toward ^in++++=toward
the ^ati++++=the
roots ^nns++++=roots,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
hands ^nns++++=hands
no ^at++++=no
longer ^rbr++++=longer
obeyed ^vbd+++xvbn+=obeyed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baby ^nn++++=baby
felt ^vbd+vprv++xvbn+=felt
cold ^jj++++=cold.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
loosened ^vbd+++xvbnx+=loosened
the ^ati++++=the
quilt ^nn++++=quilt
and ^cc++++=and
touched ^vbd+++xvbn+=touched
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
neither ^rb++neg++=neither
stirred ^vbd+++xvbn+=stirred
nor ^cc+phrs+neg++=nor
breathed ^vbd+++xvbn+=breathed
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
perceive ^vb+vprv+++=perceive.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
that ^tht+rel+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
Mary ^np++++=Mary
screamed ^vbd+++xvbn+=screamed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
rubbed ^vbd+++xvbnx+=rubbed
his ^pp$+pp3+++=his
hands ^nns++++=hands;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
breathed ^vbd+++xvbnx+=breathed
upon ^in++++=upon
his ^pp$+pp3+++=his
mouth ^nn++++=mouth;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
him ^pp3o+pp3+++=him
every ^at++++=every
foolish ^jj+atrb+++=foolish
little ^jj+atrb+++=little
name ^nn++++=name
that ^tht+rel+++=that
affection ^nn+nom+++=affection
had ^vbd+hvd+aux++=had
invented ^vprf+++xvbnx+=invented
in ^in++++=in
happier ^jjr+atrb+++=happier
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
The ^ati++++=The
face ^nn++++=face
remained ^vbd+++xvbn+=remained
pale ^nn++++=pale
and ^cc++++=and
waxen ^jj++++=waxen
in ^in++++=in
the ^ati++++=the
obscure ^jj+atrb+++=obscure
grayness ^nns+nom+++=grayness
preceding ^vwbg+++xvbg+=preceding
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
Convinced ^jj+v++xvbn+=Convinced
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
saved ^vprf+++xvbnx+=saved
only ^rb+down+++=only
a ^at++++=a
dead ^jj+atrb+++=dead
child ^nn++++=child,
, ^zz++++=EXTRAWORD
Mary ^np++++=Mary
drew ^vbd+++xvbn+=drew
him ^pp3o+pp3+++=him
to ^in++++=to
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
laid ^j+++xvbn+=laid
her ^pp$+pp3+++=her
cheek ^nn++++=cheek
upon ^in++++=upon
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fainted ^vbd+++xvbn+=fainted.
. ^zz++++=EXTRAWORD
Morning ^nn++++=Morning
came ^vbd+++xvbn+=came
reluctantly ^rb++++=reluctantly
to ^in++++=to
Dedlow ^np+++??+=Dedlow
Marsh ^nn++++=Marsh.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rain ^nn++++=rain
diminished ^vbd+++xvbn+=diminished
to ^in++++=to
a ^at++++=a
mist ^nn++++=mist,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clouds ^nns++++=clouds
lifted ^vbd+++xvbn+=lifted
above ^jjb++++=above
the ^ati++++=the
eastern ^jj+atrb+++=eastern
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
pools ^nns++++=pools
assumed ^vwbn+vprv++xvbn+=assumed
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
lead ^nn++++=lead.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
Native ^jj+atrb+++=Native
women ^nns++++=women
from ^in++++=from
a ^at++++=a
settlement ^nn+nom+++=settlement
beyond ^in++++=beyond
the ^ati++++=the
dunes ^nns++++=dunes
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
the ^ati++++=the
marsh ^nn++++=marsh
to ^to++++=to
gather ^vbi+vprv+++=gather
the ^ati++++=the
early ^jj+atrb+++=early
red ^jj+atrb+++=red
berries ^nns++++=berries
that ^tht+rel+subj++=that
survived ^vprf+++xvbn+=survived
among ^in++++=among
the ^ati++++=the
hummocks ^nns+++??+=hummocks.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
redwood ^nn+++??+=redwood
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
no ^at++++=no
tree ^nn++++=tree
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
the ^ati++++=the
day ^nn++++=day
before ^in++++=before;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
strip ^nn++++=strip
of ^in++++=of
brown ^jj+atrb+++=brown
cloth ^nn++++=cloth
fluttered ^vbd+++xvbn+=fluttered
from ^in++++=from
a ^at++++=a
branch ^nn++++=branch.
. ^zz++++=EXTRAWORD
Approaching ^jj+++xvbg+=Approaching
in ^in++++=in
their ^pp$+pp3+++=their
canoe ^nn+++??+=canoe,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
Mary ^np++++=Mary
lying ^vwbg+++xvbg+=lying
across ^in+pl+++=across
the ^ati++++=the
trunk ^nn++++=trunk
with ^in++++=with
the ^ati++++=the
child ^nn++++=child
bound ^jj+++xvbn+=bound
to ^to+jcmp+++=to
her ^pp$+pp3+++=her
breast ^nn++++=breast.
. ^zz++++=EXTRAWORD
The ^ati++++=The
elder ^jjr+atrb+++=elder
woman ^nn++++=woman
climbed ^vbd+++xvbn+=climbed
out ^rp+pl+++=out
without ^in++++=without
hesitation ^nn+nom+++=hesitation.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
touched ^vbd+++xvbnx+=touched
Mary ^np++++=Mary's
's ^$++++=EXTRAWORD
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
baby ^nn++++=baby's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
called ^vbd+++xvbn+=called
sharply ^rb++++=sharply
to ^in++++=to
her ^pp$+pp3+++=her
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
them ^pp3o+pp3+++=them
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
away ^rp+pl+++=away
the ^ati++++=the
wet ^jj+atrb+++=wet
quilt ^nn++++=quilt,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
the ^ati++++=the
child ^nn++++=child
in ^in++++=in
a ^at++++=a
dry ^jj+atrb+++=dry
blanket ^nn++++=blanket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vwbn+++xvbn+=carried
both ^abx++++=both
mother ^nn++++=mother
and ^cc++++=and
son ^nn++++=son
into ^in++++=into
the ^ati++++=the
canoe ^nn+++??+=canoe.
. ^zz++++=EXTRAWORD
At ^in++++=At
their ^pp$+pp3+++=their
shelter ^nn++++=shelter
they ^pp3a+pp3+++=they
kindled ^vbd+++xvbnx+=kindled
a ^at++++=a
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
warmed ^xvbn+++xvbn+=warmed
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
rubbed ^j+++xvbn+=rubbed
Mary ^np++++=Mary's
's ^$++++=EXTRAWORD
limbs ^nns++++=limbs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
her ^pp3o+pp3+++=her
a ^at++++=a
bitter ^jj+atrb+++=bitter
infusion ^nn++++=infusion
of ^in++++=of
herbs ^nns++++=herbs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baby ^nn++++=baby
they ^pp3a+pp3+++=they
held ^vbd+vprv++xvbnx+=held
close ^jj++++=close
against ^in++++=against
living ^xvbg+++xvbg+=living
warmth ^nn++++=warmth
until ^in+strn+++=until,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
an ^at++++=an
interval ^nn+nom+++=interval
that ^tht+rel+subj++=that
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
Mary ^vbi++++=Mary
when ^wrb+who+++=when
told ^vbd+vpub++xvbn+=told
of ^in++++=of
it ^pp3+it+++=it
another ^dt++++=another
age ^nn++++=age
of ^in++++=of
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
coughed ^vbd+++xvbnx+=coughed,
, ^zz++++=EXTRAWORD
drew ^jj+atrb++xvbn+=drew
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uttered ^vbd+++xvbn+=uttered
a ^at++++=a
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
indignant ^jj+atrb+++=indignant
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
musical ^jj++++=musical;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
even ^rb++++=even
grateful ^jj++++=grateful.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
no ^at++++=no
anthem ^nn++++=anthem
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
been ^vprf+ben+aux+xvbnx+=been
received ^vpsv++agls+xvbnx+=received
with ^in++++=with
greater ^jjr+atrb+++=greater
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
revived ^vbd+++xvbn+=revived
to ^in++++=to
the ^ati++++=the
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
opened ^vbd+++xvbnx+=opened
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
saw ^jj+atrb++xvbn+=saw
unfamiliar ^jj+atrb+++=unfamiliar
faces ^nns++++=faces
above ^jjb++++=above
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
the ^ati++++=the
child ^nn++++=child
moving ^vwbg+++xvbg+=moving,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
immediately ^rb+tm+++=immediately
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
rise ^vbi++++=rise.
. ^zz++++=EXTRAWORD
Being ^xvbg+++xvbg+=Being
restrained ^vprf+++xvbn+=restrained,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
" ^zz++++="acted
acted ^vbd+++xvbn+=EXTRAWORD
silly ^jj++++=silly,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
afterward ^rb++++=afterward
admitted ^vbd+vpub++xvbn+=admitted
laughing ^vbg+++xvbg+=laughing,
, ^zz++++=EXTRAWORD
weeping ^nn++++=weeping,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
demanding ^vbg+vsua++xvbg+=demanding
Tom ^np++++=Tom
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
The ^ati++++=The
women ^nns++++=women
understood ^vwbn+vprv++xvbn+=understood
little ^ap++++=little
of ^in++++=of
her ^pp$+pp3+++=her
words ^nns++++=words
but ^cc++++=but
the ^ati++++=the
child ^nn++++=child's
's ^$++++=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
repeated ^vbd+++xvbnx+=repeated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tom ^np++++=Tom's,
's, ^nn+++??+=EXTRAWORD
which ^whp+rel+subj++=which
required ^vbd+++xvbn+=required
no ^at++++=no
translation ^nn+nom+++=translation.
. ^zz++++=EXTRAWORD
Meanwhile ^rb++++=Meanwhile
Tom ^np++++=Tom
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
at ^rb++++=at
daybreak ^nn+++??+=daybreak
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
creek ^nn++++=creek
unrecognizable ^jj++++=unrecognizable,
, ^zz++++=EXTRAWORD
the ^ati++++=the
river ^npl++++=river
spread ^vbd+++xvbn+=spread
from ^in++++=from
hill ^nn++++=hill
to ^in++++=to
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
cabin ^nn++++=cabin
gone ^vbd+++xvbn+=gone.
. ^zz++++=EXTRAWORD
A ^at++++=A
fragment ^nn+nom+++=fragment
of ^in++++=of
roof ^nn++++=roof
hung ^vbd+++xvbn+=hung
in ^in++++=in
the ^ati++++=the
willows ^nns++++=willows;
; ^zz++++=EXTRAWORD
the ^ati++++=the
cradle ^nn++++=cradle
had ^vbd+hvd+aux++=had
lodged ^vprf+++xvbnx+=lodged
against ^in++++=against
a ^at++++=a
fence ^nn++++=fence
three ^cd++++=three
miles ^nns++++=miles
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
followed ^vbd+vprv++xvbnx+=followed
the ^ati++++=the
flood ^nn++++=flood
line ^nn++++=line
toward ^in++++=toward
the ^ati++++=the
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
questioning ^jj+++xvbg+=questioning
everyone ^pn++++=everyone
he ^pp3a+pp3+++=he
met ^vbd+++xvbnx+=met.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
a ^at++++=a
trading ^jj+atrb++xvbg+=trading
post ^nn++++=post
near ^in+pl+++=near
the ^ati++++=the
marsh ^nn++++=marsh,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
boy ^nn++++=boy
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
two ^cd++++=two
women ^nns++++=women
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
" ^zz++++="a
a ^at++++=EXTRAWORD
white ^jj+atrb+++=white
lady ^npt++++=lady
and ^cc++++=and
a ^at++++=a
baby ^nn++++=baby"
" ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
floating ^jj+atrb++xvbg+=floating
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
afterward ^rb++++=afterward
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
run ^vb+++xvbn+=run.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
of ^in++++=of
his ^pp$+pp3+++=his
build ^nn++++=build
seldom ^rb++++=seldom
concede ^vb+vsua+++=concede
the ^ati++++=the
word ^nn++++=word.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
" ^zz++++="went
went ^vbd+++xvbn+=EXTRAWORD
along ^in++++=along
tolerable ^jj+atrb+++=tolerable
fast ^nn++++=fast,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
overturning ^jj+++xvbg+=overturning
a ^at++++=a
barrel ^nn++++=barrel,
, ^zz++++=EXTRAWORD
breaking ^vbg+++xvbg+=breaking
a ^at++++=a
gate ^nn++++=gate
latch ^nn++++=latch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arriving ^vbg+++xvbg+=arriving
at ^in++++=at
the ^ati++++=the
settlement ^nn+nom+++=settlement
with ^in++++=with
one ^cd1++++=one
boot ^nn++++=boot
half ^abn++++=half
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
was ^vbd+bedz+aux++=was
seated ^vpsv++agls+xvbnx+=seated
near ^in+pl+++=near
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
in ^in++++=in
a ^at++++=a
red ^jj+atrb+++=red
blanket ^nn++++=blanket,
, ^zz++++=EXTRAWORD
the ^ati++++=the
child ^nn++++=child
asleep ^jj++++=asleep
in ^in++++=in
her ^pp$+pp3+++=her
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Tom ^np++++=Tom
entered ^vbd+++xvbn+=entered,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
quietly ^rb++++=quietly
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
too ^ql++++=too
might ^md+pos+++=might
be ^vb+be+vrb++=be
some ^dti++++=some
apparition ^nn+nom+++=apparition
manufactured ^vwbn+++xvbn+=manufactured
by ^in++++=by
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv+tht0+xvbnx+=knew
your ^pp$+pp2+++=your
spikes ^nns+++??+=spikes
would ^md+prd+++=would
hold ^vb++++=hold
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
anything ^pn++++=anything
could ^md+pos+++=could."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
tribute ^nn++++=tribute
to ^in++++=to
his ^pp$+pp3+++=his
workmanship ^nn+nom+++=workmanship
overcame ^vbd+++xvbn+=overcame
him ^pp3o+pp3+++=him
more ^rbr++++=more
completely ^rb+amp+++=completely
than ^in++++=than
any ^dti++++=any
declaration ^nn+nom+++=declaration
of ^in++++=of
affection ^nn+nom+++=affection.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
earth ^nn++++=earth
beside ^in+pl+++=beside
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
put ^jj+atrb++xvbn+=put
one ^cd1++++=one
arm ^vb++++=arm
around ^rp++++=around
mother ^nn++++=mother
and ^cc++++=and
child ^nn++++=child,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hid ^vbd+++xvbn+=hid
his ^pp$+pp3+++=his
face ^nn++++=face
in ^in++++=in
the ^ati++++=the
red ^jj+atrb+++=red
blanket ^nn++++=blanket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baby ^nn++++=baby
recovered ^vbd+++xvbn+=recovered.
. ^zz++++=EXTRAWORD
Sailor ^nn++++=Sailor
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
weeks ^nns++++=weeks
Mary ^np++++=Mary
set ^vbd+++xvbn+=set
food ^nn++++=food
outside ^jjb++++=outside
the ^ati++++=the
temporary ^jj+atrb+++=temporary
shelter ^nn++++=shelter,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
ravens ^nns+++??+=ravens,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
consciences ^nns+nom+++=consciences
are ^vb+ber+vrb++=are
flexible ^jj+pred+++=flexible
in ^in++++=in
matters ^nns+nom+++=matters
of ^in++++=of
bereavement ^nn+nom+++=bereavement,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
consumed ^vbd+++xvbn+=consumed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
water ^nn++++=water
withdrew ^vbd+++xvbn+=withdrew,
, ^zz++++=EXTRAWORD
Tom ^np++++=Tom
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
redwood ^nn+++??+=redwood
still ^rb+atrb+++=still
stranded ^jj++++=stranded
upon ^in++++=upon
Dedlow ^np+++??+=Dedlow
Marsh ^nn++++=Marsh.
. ^zz++++=EXTRAWORD
With ^in++++=With
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
oxen ^nns++++=oxen,
, ^zz++++=EXTRAWORD
rollers ^nns+nom+++=rollers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
vocabulary ^nn+nom+++=vocabulary
that ^tht+rel+subj++=that
added ^vbd+vpub++xvbn+=added
materially ^rb++++=materially
to ^in++++=to
the ^ati++++=the
local ^jj+atrb+++=local
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
hauled ^vbd+++xvbnx+=hauled
it ^pp3+it+++=it
to ^in++++=to
a ^at++++=a
rise ^nn++++=rise
above ^jjb++++=above
the ^ati++++=the
highest ^jjt+atrb+++=highest
flood ^nn++++=flood
mark ^vb++++=mark.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
squared ^vbd+++xvbnx+=squared
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
trunk ^nn++++=trunk
and ^cc++++=and
made ^vbd+++xvbn+=made
it ^pp3+it+++=it
the ^ati++++=the
foundation ^nn+nom+++=foundation
beam ^nn++++=beam
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
house ^npl++++=house.
. ^zz++++=EXTRAWORD
The ^ati++++=The
building ^jj+++xvbg+=building
had ^vb+hv+vrb++=had
a ^at++++=a
steep ^jj+atrb+++=steep
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
stout ^jj+atrb+++=stout
shutters ^nns+nom+++=shutters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
porch ^nn++++=porch
from ^in++++=from
which ^whp+rel+pied++=which
one ^cd1++++=one
could ^md+pos+++=could
see ^vb+vprv+++=see
both ^abx++++=both
river ^nn++++=river
and ^cc++++=and
bay ^nn++++=bay.
. ^zz++++=EXTRAWORD
No ^at++++=No
water ^nn++++=water
has ^vbz+hvz+aux++=has
reached ^vprf+++xvbnx+=reached
it ^pp3+it+++=it
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
door ^nn++++=door
Tom ^np++++=Tom
nailed ^vwbn+++xvbn+=nailed
a ^at++++=a
board ^nn++++=board
upon ^in++++=upon
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
with ^in++++=with
more ^rbr++++=more
feeling ^nvbg+++xvbg+=feeling
than ^in++++=than
skill ^nn++++=skill,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
carved ^vprf+++xvbnx+=carved
the ^ati++++=the
words ^nns++++=words:
: ^zz++++=EXTRAWORD
**mary ^nn++++=**MARY'S
's ^$++++=EXTRAWORD
Ark** ^np+++??+=ARK**
The ^ati++++=The
name ^nn++++=name
remains ^nns++++=remains.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sat ^vprf+++xvbnx+=sat
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
while ^cs+sub+++=while
Mary ^np++++=Mary,
, ^zz++++=EXTRAWORD
grown ^j+++xvbn+=grown
gray ^np++++=gray
and ^cc++++=and
comfortable ^jj++++=comfortable,
, ^zz++++=EXTRAWORD
recounted ^j+++xvbn+=recounted
the ^ati++++=the
night ^nn++++=night
when ^wrb+who+++=when
her ^pp3o+pp3+++=her
house ^npl++++=house
went ^vbd+++xvbn+=went
down ^in++++=down
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
the ^ati++++=the
marsh ^npl++++=marsh
received ^vbd+++xvbn+=received
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
porch ^nn++++=porch
Dedlow ^np+++??+=Dedlow
appears ^vbz+seem+++=appears
almost ^rb+hdg+++=almost
amiable ^jj++++=amiable
at ^in++++=at
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
pools ^nns++++=pools
shine ^vb++++=shine;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
reeds ^nns++++=reeds
turn ^nn++++=turn
golden ^jj++++=golden;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
winding ^nvbg+++xvbg+=winding
sloughs ^nns+++??+=sloughs
seem ^vb+seem+++=seem
paths ^nns++++=paths
into ^in++++=into
a ^at++++=a
pastoral ^jj+atrb+++=pastoral
tranquillity ^nn+nom+++=tranquillity.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
wait ^vb++++=wait
until ^cs+sub+++=until
the ^ati++++=the
tide ^nn++++=tide
rises ^vbz++++=rises
and ^cc++++=and
the ^ati++++=the
fog ^nn++++=fog
advances ^nns+nom+++=advances
from ^in++++=from
the ^ati++++=the
dunes ^nns++++=dunes;
; ^zz++++=EXTRAWORD
wait ^vb++++=wait
until ^cs+sub+++=until
the ^ati++++=the
curlews ^nns++++=curlews
begin ^vb++++=begin
their ^pp$+pp3+++=their
lamentation ^nn+nom+++=lamentation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
grasses ^nns++++=grasses
trail ^nn++++=trail
upon ^in++++=upon
black ^jj+atrb+++=black
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
uprooted ^jj+atrb++xvbn+=uprooted
trunk ^nn++++=trunk
comes ^vbz++++=comes
silently ^rb++++=silently
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
may ^md+pos+++=may
imagine ^vb+vprv+++=imagine
the ^ati++++=the
woman ^nn++++=woman
in ^in++++=in
the ^ati++++=the
torn ^xvbn+++xvbn+=torn
brown ^np++++=brown
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
clasping ^vbg+++xvbg+=clasping
