# ^zz++++=#
Westward ^rb++++=WESTWARD
loaded ^vbd+++xvbn+=loaded
with ^in++++=with
produce ^nn++++=produce,
, ^zz++++=EXTRAWORD
each ^dt++++=each
attended ^vpsv++by+xvbn+=attended
by ^in++++=by
a ^at++++=a
farmer ^nn++++=farmer
whose ^whp+rel+subj++=whose
countenance ^nn+nom+++=countenance
combined ^vbd+++xvbn+=combined
patience ^nn+nom+++=patience
with ^in++++=with
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
In ^in++++=In
another ^dt++++=another,
, ^zz++++=EXTRAWORD
clerks ^nns++++=clerks
darted ^vbd+++xvbn+=darted
between ^in++++=between
stores ^nns++++=stores
and ^cc++++=and
warehouses ^nns++++=warehouses
carrying ^vwbg+++xvbg+=carrying
papers ^nns++++=papers
of ^in++++=of
an ^at++++=an
importance ^nn+nom+++=importance
evident ^jj++++=evident
from ^in++++=from
the ^ati++++=the
speed ^nn++++=speed
with ^in++++=with
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
carried ^vpsv++agls+xvbnx+=carried.
. ^zz++++=EXTRAWORD
A ^at++++=A
coach ^nn++++=coach
arrived ^vbd+++xvbn+=arrived
at ^rb++++=at
a ^at++++=a
hotel ^nn++++=hotel
and ^cc++++=and
discharged ^xvbn+++xvbn+=discharged
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
hat ^nn++++=hat-boxes,
- ^zz++++=EXTRAWORD
boxes ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
cloaks ^nns+++??+=cloaks,
, ^zz++++=EXTRAWORD
umbrellas ^nns++++=umbrellas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
bewildered ^jj+atrb++xvbn+=bewildered
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
packed ^vpsv++agls+xvbnx+=packed
among ^in++++=among
the ^ati++++=the
luggage ^nn+nom+++=luggage
by ^in++++=by
mistake ^nn++++=mistake.
. ^zz++++=EXTRAWORD
Horsemen ^nns++++=Horsemen
threaded ^vbd+++xvbn+=threaded
the ^ati++++=the
throng ^nn++++=throng;
; ^zz++++=EXTRAWORD
drovers ^nns+nom+++=drovers
urged ^vbd+vsua++xvbn+=urged
cattle ^nns++++=cattle
forward ^rb++++=forward;
; ^zz++++=EXTRAWORD
pigs ^nns++++=pigs,
, ^zz++++=EXTRAWORD
maintaining ^vbg+++xvbg+=maintaining
republican ^nn+nom+++=republican
independence ^nn+nom+++=independence,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
pleased ^vbd+++xvbnx+=pleased;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
ox ^nn++++=ox-team,
- ^zz++++=EXTRAWORD
team ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
with ^in++++=with
primeval ^jj+atrb+++=primeval
deliberation ^nn+nom+++=deliberation
through ^in++++=through
the ^ati++++=the
center ^nn++++=center
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
opposed ^j+++xvbn+=opposed
to ^in++++=to
the ^ati++++=the
fever ^nn++++=fever
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
the ^ati++++=the
majestic ^jj+atrb+++=majestic
slowness ^nns+nom+++=slowness
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
world ^nn++++=world.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shops ^nns++++=shops
overflowed ^vbd+++xvbn+=overflowed
with ^in++++=with
temptations ^nns+nom+++=temptations.
. ^zz++++=EXTRAWORD
Broad ^jj+atrb+++=Broad
windows ^nns++++=windows
displayed ^vbd+++xvbn+=displayed
cloth ^nn++++=cloth,
, ^zz++++=EXTRAWORD
tools ^nns++++=tools,
, ^zz++++=EXTRAWORD
books ^nns++++=books,
, ^zz++++=EXTRAWORD
china ^np++++=china,
, ^zz++++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
bonnets ^nns+++??+=bonnets,
, ^zz++++=EXTRAWORD
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
medicines ^nns++++=medicines
capable ^jj++++=capable,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
their ^pp$+pp3+++=their
labels ^nns++++=labels,
, ^zz++++=EXTRAWORD
of ^in++++=of
repairing ^xvbg+++xvbg+=repairing
every ^at++++=every
defect ^nn++++=defect
in ^in++++=in
the ^ati++++=the
human ^jj+atrb+++=human
frame ^nn++++=frame
except ^in++++=except
credulity ^nn+nom+++=credulity.
. ^zz++++=EXTRAWORD
Sign ^nn++++=Sign-boards
- ^zz++++=EXTRAWORD
boards ^nns++++=EXTRAWORD
projected ^vbd+++xvbn+=projected
over ^in++++=over
the ^ati++++=the
pavement ^nn+nom+++=pavement
with ^in++++=with
such ^abl++++=such
profusion ^nn++++=profusion
that ^tht+rel+obj++=that
a ^at++++=a
careless ^jj+atrb+++=careless
rider ^nn++++=rider
risked ^vbd+++xvbn+=risked
being ^xvbg+++xvbg+=being
instructed ^vwbn+++xvbn+=instructed,
, ^zz++++=EXTRAWORD
insured ^j+++xvbn+=insured,
, ^zz++++=EXTRAWORD
shaved ^j+++xvbn+=shaved,
, ^zz++++=EXTRAWORD
lodged ^j+++xvbn+=lodged,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
legally ^rb++++=legally
advised ^vpsv++by+xvbn+=advised
by ^in++++=by
collision ^nn++++=collision.
. ^zz++++=EXTRAWORD
The ^ati++++=The
newspapers ^nns+nom+++=newspapers
announced ^vbd+vpub++xvbn+=announced
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
fugitives ^nns++++=fugitives,
, ^zz++++=EXTRAWORD
lectures ^nns++++=lectures,
, ^zz++++=EXTRAWORD
auctions ^nns+nom+++=auctions,
, ^zz++++=EXTRAWORD
marriages ^nns+nom+++=marriages,
, ^zz++++=EXTRAWORD
bankruptcies ^nns+++??+=bankruptcies,
, ^zz++++=EXTRAWORD
patent ^jj+atrb+++=patent
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
political ^jj+atrb+++=political
meetings ^nns++++=meetings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
remedies ^nns++++=remedies
for ^in++++=for
disorders ^nns+nom+++=disorders
produced ^vbd+++xvbn+=produced
chiefly ^rb++++=chiefly
by ^in++++=by
reading ^xvbg+++xvbg+=reading
advertisements ^nns+nom+++=advertisements.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hotels ^nns++++=hotels
were ^vbd+bed+vrb++=were
enormous ^jj+atrb+++=enormous
republics ^nns++++=republics
in ^in++++=in
miniature ^nn++++=miniature.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
doors ^nns++++=doors
never ^rb++++=never
rested ^vbd+++xvbn+=rested;
; ^zz++++=EXTRAWORD
stages ^nns++++=stages
drew ^vbd+++xvbn+=drew
up ^rb+phrv+++=up
before ^cs+sub+++=before
them ^pp3o+pp3+++=them
with ^in++++=with
a ^at++++=a
blast ^nn++++=blast
and ^cc++++=and
a ^at++++=a
tumult ^nn++++=tumult;
; ^zz++++=EXTRAWORD
travelers ^nns+nom+++=travelers
entered ^vbd+++xvbn+=entered
wearing ^vbg+++xvbg+=wearing
the ^ati++++=the
dust ^nn++++=dust
of ^in++++=of
three ^cd++++=three
counties ^nns++++=counties
and ^cc++++=and
emerged ^vpsv++agls+xvbn+=emerged
with ^in++++=with
information ^nn+nom+++=information
concerning ^in++++=concerning
six ^cd++++=six.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
public ^jj+atrb+++=public
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
legislators ^nns++++=legislators
without ^in++++=without
office ^nn++++=office
settled ^vbd+++xvbn+=settled
national ^jj+atrb+++=national
affairs ^nns++++=affairs;
; ^zz++++=EXTRAWORD
merchants ^nns+nom+++=merchants
compared ^vbd+++xvbn+=compared
prices ^nns++++=prices;
; ^zz++++=EXTRAWORD
lawyers ^nns+nom+++=lawyers
attached ^vbd+++xvbn+=attached
themselves ^ppls+pp3+++=themselves
to ^in++++=to
controversies ^nns++++=controversies
as ^in++++=as
naturally ^rb++++=naturally
as ^ql++++=as
burrs ^nns+++??+=burrs
to ^in++++=to
a ^at++++=a
coat ^nn++++=coat;
; ^zz++++=EXTRAWORD
land ^nn++++=land-agents
- ^zz++++=EXTRAWORD
agents ^nns++++=EXTRAWORD
unfolded ^vbd+++xvbn+=unfolded
maps ^nns++++=maps
upon ^in++++=upon
which ^whp+rel+pied++=which
future ^jjb+atrb+++=future
cities ^nns++++=cities
lay ^vbd+++xvbn+=lay
in ^in++++=in
pink ^nn++++=pink
and ^cc++++=and
yellow ^jj+atrb+++=yellow
squares ^nns++++=squares;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
young ^jj+atrb+++=young
men ^nns++++=men,
, ^zz++++=EXTRAWORD
recently ^rb+tm+++=recently
arrived ^vbd+++xvbn+=arrived
from ^in++++=from
the ^ati++++=the
East ^np+pl+++=East,
, ^zz++++=EXTRAWORD
listened ^j+++xvbn+=listened
with ^in++++=with
shining ^xvbg+++xvbg+=shining
eyes ^nns++++=eyes
to ^in++++=to
accounts ^nns++++=accounts
of ^in++++=of
fortunes ^nns++++=fortunes
that ^tht+rel+subj++=that
required ^vwbn+++xvbn+=required
only ^rb+down+++=only
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
capital ^nn++++=capital,
, ^zz++++=EXTRAWORD
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
influence ^nn+nom+++=influence,
, ^zz++++=EXTRAWORD
luck ^nn++++=luck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
immediate ^jj+atrb+++=immediate
purchase ^nn++++=purchase
of ^in++++=of
a ^at++++=a
particular ^jj+atrb+++=particular
corner ^npl++++=corner
lot ^nn++++=lot.
. ^zz++++=EXTRAWORD
Servants ^nns+nom+++=Servants
moved ^vbd+++xvbn+=moved
through ^in++++=through
this ^dt+dem+++=this
commotion ^nn+nom+++=commotion
with ^in++++=with
trays ^nns++++=trays,
, ^zz++++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
messages ^nns+nom+++=messages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
practiced ^vbd+++xvbn+=practiced
indifference ^nn+nom+++=indifference
by ^in++++=by
which ^whp+rel+pied++=which
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
labor ^nn++++=labor
in ^in++++=in
hotels ^nns++++=hotels
defend ^vb++++=defend
themselves ^ppls+pp3+++=themselves
against ^in++++=against
the ^ati++++=the
temporary ^jj+atrb+++=temporary
importance ^nn+nom+++=importance
of ^in++++=of
guests ^nns++++=guests.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
were ^vbd+bed+vrb++=were
Black ^jj+atrb+++=Black
men ^nns++++=men
whose ^whp+rel+obj++=whose
alertness ^nns+nom+++=alertness
was ^vbd+bedz+aux++=was
relied ^vpsv++agls+xvbnx+=relied
upon ^in++++=upon
by ^in++++=by
persons ^nns++++=persons
unwilling ^jj++++=unwilling
to ^to+jcmp+++=to
grant ^vbi+vsua+++=grant
them ^pp3o+pp3+++=them
any ^dti++++=any
quality ^nn+nom+++=quality
but ^cc++++=but
service ^nn++++=service;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
carried ^vbd+++xvbnx+=carried
burdens ^nns++++=burdens,
, ^zz++++=EXTRAWORD
remembered ^vpbn+vprv++xvbn+=remembered
names ^nns++++=names,
, ^zz++++=EXTRAWORD
found ^jj+atrb++xvbn+=found
missing ^jj+atrb++xvbg+=missing
trunks ^nns++++=trunks,
, ^zz++++=EXTRAWORD
anticipated ^jj+atrb++xvbn+=anticipated
demands ^nns++++=demands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
received ^vbd+++xvbn+=received,
, ^zz++++=EXTRAWORD
in ^in++++=in
exchange ^nn++++=exchange,
, ^zz++++=EXTRAWORD
commands ^vbz+vsua+++=commands
delivered ^vbd+++xvbn+=delivered
with ^in++++=with
the ^ati++++=the
expansive ^jj+atrb+++=expansive
dignity ^nn+nom+++=dignity
that ^tht+rel+subj++=that
travel ^vb++++=travel
often ^rb++++=often
bestows ^vbz++++=bestows
upon ^in++++=upon
small ^jj+atrb+++=small
minds ^nns++++=minds.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
insignificant ^jj+pred+++=insignificant
at ^in++++=at
home ^nr++++=home
may ^md+pos+++=may
become ^vprf+++xvbn+=become
a ^at++++=a
tyrant ^nn++++=tyrant
for ^in++++=for
the ^ati++++=the
price ^nn++++=price
of ^in++++=of
a ^at++++=a
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Near ^in+pl+++=Near
the ^ati++++=the
court ^nn++++=court-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
another ^dt++++=another
crowd ^nn++++=crowd
had ^vbd+hvd+aux++=had
assembled ^vprf+++xvbnx+=assembled.
. ^zz++++=EXTRAWORD
Justice ^nn++++=Justice,
, ^zz++++=EXTRAWORD
like ^in++++=like
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
doing ^vbg+++xvbgx+=doing
a ^at++++=a
brisk ^jj+atrb+++=brisk
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
Plaintiffs ^np+++??+=Plaintiffs,
, ^zz++++=EXTRAWORD
defendants ^nns+nom+++=defendants,
, ^zz++++=EXTRAWORD
witnesses ^nns+nom+++=witnesses,
, ^zz++++=EXTRAWORD
constables ^nns++++=constables,
, ^zz++++=EXTRAWORD
loungers ^nns+nom+++=loungers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gentlemen ^nns++++=gentlemen
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
no ^at++++=no
connection ^nn+nom+++=connection
with ^in++++=with
any ^dti++++=any
case ^nn++++=case
but ^cc++++=but
hoped ^vpsv++agls+xvbn+=hoped
for ^in++++=for
entertainment ^nn+nom+++=entertainment,
, ^zz++++=EXTRAWORD
moved ^j+++xvbn+=moved
in ^in++++=in
and ^cc++++=and
out ^rp+pl+++=out
beneath ^in+pl+++=beneath
a ^at++++=a
portico ^nn++++=portico
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
give ^vbi++++=give
the ^ati++++=the
law ^nn++++=law
a ^at++++=a
classical ^jj+atrb+++=classical
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
Within ^in+strn+++=Within,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told,
, ^zz++++=EXTRAWORD
property ^nn++++=property
was ^vbd+bedz+aux++=was
disputed ^vpsv++agls+xvbnx+=disputed,
, ^zz++++=EXTRAWORD
character ^nn+nom+++=character
examined ^vwbn+++xvbn+=examined,
, ^zz++++=EXTRAWORD
liberty ^nn++++=liberty
weighed ^vbd+++xvbn+=weighed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fees ^nns++++=fees
accumulated ^vbd+++xvbn+=accumulated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
court ^nn++++=court-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
substantial ^jj+pred+++=substantial
and ^cc++++=and
grave ^nn++++=grave;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
opposite ^jj++++=opposite
it ^pp3+it+++=it
a ^at++++=a
lottery ^nn+nom+++=lottery
office ^nn++++=office
displayed ^vbd+++xvbn+=displayed
a ^at++++=a
brilliant ^jj+atrb+++=brilliant
scheme ^nn++++=scheme
in ^in++++=in
red ^jj++++=red
and ^cc++++=and
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
promising ^jj+atrb+++=promising
sudden ^jj+atrb+++=sudden
abundance ^nn+nom+++=abundance
to ^in++++=to
every ^at++++=every
purchaser ^nn+nom+++=purchaser
of ^in++++=of
a ^at++++=a
ticket ^nn++++=ticket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
neighborhood ^nn+nom+++=neighborhood
seemed ^vbd+seem++xvbn+=seemed
allegorical ^jj++++=allegorical.
. ^zz++++=EXTRAWORD
On ^in++++=On
one ^cd1++++=one
side ^nn++++=side
stood ^vbd+++xvbn+=stood
Justice ^nn++++=Justice,
, ^zz++++=EXTRAWORD
blindfolded ^j+++xvbn+=blindfolded
and ^cc+phrs+++=and
deliberate ^jj++++=deliberate,
, ^zz++++=EXTRAWORD
distributing ^jj+++xvbg+=distributing
what ^wdt+who+++=what
men ^nns++++=men
deserved ^vbd+++xvbn+=deserved
after ^in++++=after
long ^rb++++=long
argument ^nn+nom+++=argument;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
Fortune ^nn++++=Fortune,
, ^zz++++=EXTRAWORD
still ^rb++++=still
more ^rbr++++=more
thoroughly ^rb+amp+++=thoroughly
blind ^jj++++=blind,
, ^zz++++=EXTRAWORD
offering ^vbg+++xvbg+=offering
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
not ^xnot++not++=not
earned ^vprf+++xvbn+=earned
without ^in++++=without
argument ^nn+nom+++=argument
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
the ^ati++++=the
larger ^jjr+atrb+++=larger
congregation ^nn+nom+++=congregation.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
window ^nn++++=window
contained ^vbd+++xvbn+=contained
pictures ^nns++++=pictures
of ^in++++=of
overflowing ^xvbg+++xvbg+=overflowing
cornucopias ^nns+++??+=cornucopias,
, ^zz++++=EXTRAWORD
ships ^nns++++=ships
under ^in++++=under
full ^jj+atrb+++=full
sail ^nn++++=sail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
piles ^nns++++=piles
of ^in++++=of
coin ^nn++++=coin
so ^ql++++=so
lofty ^np++++=lofty
that ^tht+rel+obj++=that
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
man ^nn++++=man
might ^md+pos+++=might
have ^vb+hv+aux++=have
distrusted ^vprf+++xvbnx+=distrusted
the ^ati++++=the
table ^nn++++=table
supporting ^vwbg+++xvbg+=supporting
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
reason ^nn++++=reason
is ^vbz+bez+vrb++=is
a ^at++++=a
poor ^jj++++=poor
engraver ^jjr++++=engraver.
. ^zz++++=EXTRAWORD
Hope ^nn++++=Hope,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
printed ^jj+++xvbn+=printed
in ^in++++=in
scarlet ^jj++++=scarlet,
, ^zz++++=EXTRAWORD
sells ^vbz++++=sells
rapidly ^rb++++=rapidly.
. ^zz++++=EXTRAWORD
Land ^nn++++=Land
speculation ^nn+nom+++=speculation
furnished ^vbd+++xvbn+=furnished
the ^ati++++=the
city ^nn++++=city
with ^in++++=with
a ^at++++=a
mythology ^nn++++=mythology
of ^in++++=of
its ^pp$+it+++=its
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
tavern ^nn++++=tavern
had ^vb+hv+vrb++=had
its ^pp$+it+++=its
prophet ^nn++++=prophet;
; ^zz++++=EXTRAWORD
every ^at++++=every
map ^nn++++=map
its ^pp$+it+++=its
promised ^jj+atrb++xvbn+=promised
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Swamps ^np+++??+=Swamps
were ^vbd+bed+vrb++=were
future ^jjb+atrb+++=future
harbors ^nns++++=harbors,
, ^zz++++=EXTRAWORD
fields ^nns++++=fields
intended ^vwbn+vsua++xvbn+=intended
court ^nn++++=court-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
squares ^nns++++=squares,
, ^zz++++=EXTRAWORD
lanes ^nns++++=lanes
magnificent ^jj+atrb+++=magnificent
avenues ^nns++++=avenues
in ^in++++=in
disguise ^nn++++=disguise.
. ^zz++++=EXTRAWORD
A ^at++++=A
hill ^nn++++=hill
two ^cd++++=two
miles ^nns++++=miles
from ^in++++=from
any ^dti++++=any
dwelling ^nvbg+++xvbg+=dwelling
was ^vbd+bedz+aux++=was
praised ^vpsv++agls+xvbnx+=praised
for ^in++++=for
its ^pp$+it+++=its
central ^jj+atrb+++=central
situation ^nn+nom+++=situation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
orchard ^nn++++=orchard
became ^vbd+++xvbn+=became
valuable ^jj++++=valuable
because ^cs+cos+++=because
posterity ^nn+nom+++=posterity
might ^md+pos+++=might
require ^vb+vsua+++=require
a ^at++++=a
theater ^nn++++=theater
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
buyer ^nn++++=buyer
was ^vbd+bedz+aux++=was
rarely ^rb++splt++=rarely
asked ^vpsv++agls+xvbnx+=asked
to ^to+vcmp+++=to
consider ^nn+nom+++=consider
what ^wdt+who+++=what
the ^ati++++=the
property ^nn++++=property
was ^vbd+bedz+vrb++=was;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
attention ^nn+nom+++=attention
was ^vbd+bedz+aux++=was
directed ^vpsv++agls+xvbnx+=directed
to ^to++++=to
what ^wdt+who+++=what
it ^pp3+it+++=it
must ^md+nec+++=must
inevitably ^rb++splt++=inevitably
become ^vb++++=become,
, ^zz++++=EXTRAWORD
provided ^jj+atrb++xvbn+=provided
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
canals ^nns++++=canals,
, ^zz++++=EXTRAWORD
railroads ^nns+++??+=railroads,
, ^zz++++=EXTRAWORD
government ^nn+nom+++=government
patronage ^nn+nom+++=patronage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Providence ^np+nom++??+=Providence
performed ^vwbn+++xvbn+=performed
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
parts ^nns++++=parts.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
beneath ^in+pl+++=beneath
the ^ati++++=the
exaggeration ^nn+nom+++=exaggeration
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
solid ^jj+pred+++=solid
wonder ^vb++++=wonder.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mills ^nns++++=mills
did ^vbd+dod+vrb++=did
turn ^nn++++=turn;
; ^zz++++=EXTRAWORD
the ^ati++++=the
grain ^nn++++=grain
did ^vbd+dod+aux++=did
arrive ^vb++++=arrive;
; ^zz++++=EXTRAWORD
the ^ati++++=the
flour ^nn++++=flour
did ^vbd+dod+aux++=did
depart ^vb++++=depart;
; ^zz++++=EXTRAWORD
houses ^nns++++=houses
multiplied ^vwbn+++xvbn+=multiplied;
; ^zz++++=EXTRAWORD
roads ^npl++++=roads
converged ^vbd+++xvbn+=converged;
; ^zz++++=EXTRAWORD
families ^nns++++=families
settled ^vbd+++xvbn+=settled;
; ^zz++++=EXTRAWORD
institutions ^nns+nom+++=institutions
formed ^vbd+++xvbn+=formed;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
city ^nn++++=city,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
loudly ^rb++++=loudly
it ^pp3+it+++=it
advertised ^vbd+++xvbn+=advertised
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
actually ^rb+amp+++=actually
stood ^vbd+++xvbn+=stood
where ^wrb+who+++=where
wilderness ^nns+nom+++=wilderness
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
held ^vprf+++xvbnx+=held
undisputed ^jj+atrb+++=undisputed
possession ^nn++++=possession.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
citizens ^nns++++=citizens
boasted ^vbd+vpub++xvbn+=boasted
of ^in++++=of
tomorrow ^nr+tm+++=tomorrow,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
yesterday ^nr+tm+++=yesterday
had ^vbd+hvd+aux++=had
justified ^vprf+++xvbnx+=justified
boasting ^vbg+++xvbg+=boasting
beyond ^in++++=beyond
all ^rb++++=all
sober ^jj+atrb+++=sober
expectation ^nn+nom+++=expectation.
. ^zz++++=EXTRAWORD
Walking ^vbg+++xvbg+=Walking
toward ^in++++=toward
the ^ati++++=the
outskirts ^nns++++=outskirts,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
encountered ^vbd+++xvbnx+=encountered
a ^at++++=a
figure ^nn++++=figure
who ^whp+rel+subj++=who
supplied ^vbd+++xvbn+=supplied
the ^ati++++=the
best ^jjt+atrb+++=best
commentary ^nn+nom+++=commentary
upon ^in++++=upon
this ^dt+dem+++=this
instantaneous ^jj+atrb+++=instantaneous
growth ^nn++++=growth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
sunburnt ^jj+atrb++xvbn+=sunburnt
man ^nn++++=man,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
partly ^rb+down+++=partly
as ^in++++=as
a ^at++++=a
hunter ^nn++++=hunter
and ^cc++++=and
partly ^rb+down+++=partly
as ^in++++=as
a ^at++++=a
soldier ^nn++++=soldier,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
long ^jj+atrb+++=long
rifle ^nn++++=rifle
upon ^in++++=upon
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
a ^at++++=a
powder ^nn++++=powder-horn
- ^zz++++=EXTRAWORD
horn ^np++++=EXTRAWORD
at ^rb++++=at
his ^pp$+pp3+++=his
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
boots ^nns++++=boots
bearing ^vwbg+++xvbg+=bearing
evidence ^nn+nom+++=evidence
of ^in++++=of
roads ^nns++++=roads
less ^rbr++++=less
civilized ^jj++++=civilized
than ^in++++=than
those ^dt+dem+++=those
beneath ^in+pl+++=beneath
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
perhaps ^rb++splt++=perhaps
followed ^vprf+++xvbnx+=followed
the ^ati++++=the
frontier ^nn+nom+++=frontier
westward ^nn++++=westward,
, ^zz++++=EXTRAWORD
expecting ^vbg+vprv++xvbg+=expecting
to ^to+vcmp+++=to
find ^vbi+vprv+tht0++=find
it ^pp3+it+++=it
always ^rb++++=always
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
now ^rn+tm+splt++=now
been ^vprf+ben+aux+xvbnx+=been
overtaken ^vpsv++by+xvbnx+=overtaken
by ^in++++=by
brickwork ^nn++++=brickwork.
. ^zz++++=EXTRAWORD
