Superstitious ^jj+atrb+++=Superstitious
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
muffled ^jj++++=muffled.
. ^zz++++=EXTRAWORD
" ^zz++++="'Come
' ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=EXTRAWORD
out ^rp+pl+++=out
and ^cc++++=and
look ^vb++++=look
at ^rb++++=at
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you
very ^ql+amp+++=very
well ^rb++++=well
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
gave ^vbd+++xvbn+=gave
the ^ati++++=the
lonely ^jj+atrb+++=lonely
groan ^nn++++=groan.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
next ^ap++++=next
door ^nn++++=door,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
it ^pp3+it+++=it
sounded ^vbd+++xvbn+=sounded
a ^at++++=a
bit ^nn++++=bit
irritated ^vbd+++xvbn+=irritated,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Bill ^nn++++=Bill
began ^vbd+++xvbn+=began
trembling ^jj+++xvbg+=trembling
till ^cs+sub+++=till
the ^ati++++=the
bedstead ^nn++++=bedstead
rattled ^vwbn+++xvbn+=rattled.
. ^zz++++=EXTRAWORD
" ^zz++++="'Wot
' ^zz++++=EXTRAWORD
wot ^wpr++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
with ^in++++=with
a ^at++++=a
warning ^nn++++=warning,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
' ^zz++++='A
a ^at++++=EXTRAWORD
terrible ^jj+atrb+++=terrible
warning ^nn++++=warning
from ^in++++=from
them ^pp3o+pp3+++=them
regions ^nns++++=regions
where ^wrb+who+++=where
the ^ati++++=the
waves ^nns++++=waves
is ^vbz+bez+aux++=is
always ^rb++splt++=always
roaring ^vbg+++xvbgx+=roaring
and ^cc++++=and
there ^ex+pex+++=there
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
public ^jj++++=public-houses.'
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
gave ^vbd+++xvbn+=gave
a ^rb++++=a
little ^rb"++++=little
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
" ^zz++++="'Don't
' ^zz++++=EXTRAWORD
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
washed ^vpsv++agls+xvbnx+=washed
overboard ^rb+cnj+++=overboard,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Silas ^np+++??+=Silas,
, ^zz++++=EXTRAWORD
warming ^vbg+++xvbg+=warming
to ^in++++=to
his ^pp$+pp3+++=his
work ^nn++++=work.
. ^zz++++=EXTRAWORD
' ^zz++++='Down
down ^rp++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
down ^rp++++=down
and ^cc+phrs+++=and
down ^rp++++=down
past ^jjb+atrb+++=past
fishes ^nns++++=fishes
with ^in++++=with
eyes ^nns++++=eyes
like ^in++++=like
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
cabin ^nn++++=cabin-boy
- ^zz++++=EXTRAWORD
boy ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
there ^rn+pl+++=there
since ^in++++=since
eighteen ^cd++++=eighteen-sixty-four.
- ^zz++++=EXTRAWORD
sixty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
hold ^nn++++=hold
of ^in++++=of
my ^pp$+pp1+++=my
leg ^nn++++=leg,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
kicked ^vbd+++xvbnx+=kicked
' ^zz++++='im
im ^&fw++++=EXTRAWORD
off ^in+strn+++=off.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Poor
' ^zz++++=EXTRAWORD
poor ^jj+atrb+++=EXTRAWORD
little ^jj+atrb+++=little
chap ^nn++++=chap,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill
from ^in++++=from
under ^in++++=under
the ^ati++++=the
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
" ^zz++++="'He
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
nuisance ^nn+nom+++=nuisance,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
' ^zz++++='Arter
arter ^jjr++++=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
a ^at++++=a
dark ^jj+atrb+++=dark
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
voice ^nn++++=voice
ses ^nns+++??+=ses:
: ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
Winch ^nn++++=Winch,
, ^zz++++=EXTRAWORD
return ^vb++++=return
to ^in++++=to
earth ^nn++++=earth
and ^cc++++=and
warn ^vb+vpub+++=warn
Bill ^nn++++=Bill
Burtenshaw. ^np+++??+=Burtenshaw."'
" ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Why
' ^zz++++=EXTRAWORD
why ^wrb+who+++=EXTRAWORD
me ^pp1o+pp1+++=me?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="'Because
' ^zz++++=EXTRAWORD
because ^cs+cos+++=EXTRAWORD
of ^in"++++=of
the ^ati++++=the
drink ^nn++++=drink,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
' ^zz++++='Every
every ^at++++=EXTRAWORD
glass ^nn++++=glass
you ^pp2+pp2+++=you
takes ^vbz++++=takes
is ^vbz+bez+vrb++=is
another ^dt++++=another
link ^nn++++=link
in ^in++++=in
a ^at++++=a
chain ^nn++++=chain
wot ^wpr++++=wot
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
' ^zz++++='ave
ave ^nn+++??+=EXTRAWORD
to ^to++++=to
wear ^vbi++++=wear
for ^rb++++=for
ever ^rb"++++=ever
and ^cc+phrs+++=and
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
link ^nn++++=link
weighs ^vbz++++=weighs
fourteen ^cd++++=fourteen
pounds ^nns++++=pounds.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Bill's
bill ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
teeth ^nn++++=teeth
knocked ^vbd+++xvbn+=knocked
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
" ^zz++++="'I'll
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
stop ^vb++++=stop,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
swear ^vbd+++xvbnx+=swear
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
stop ^vb++++=stop
this ^dt+dem+++=this
very ^ql+amp+++=very
minute ^nn++++=minute.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Not
' ^zz++++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
another ^dt++++=another
drop ^vb++++=drop?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
" ^zz++++="'Not
' ^zz++++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
another ^dt++++=another
drop ^vb++++=drop.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Not
' ^zz++++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
raining ^vbg+++xvbgx+=raining?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'No.'
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Nor
' ^zz++++=EXTRAWORD
nor ^cc++neg++=EXTRAWORD
on ^in++++=on
your ^pp$+pp2+++=your
birthday ^nn++++=birthday?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'No.'
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Nor
' ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=EXTRAWORD
when ^wrb+who+++=when
somebody ^pn++++=somebody
else ^rb+cnj+++=else
is ^vbz+bez+aux++=is
paying ^vbg+++xvbgx+=paying?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
pause ^nn++++=pause.
. ^zz++++=EXTRAWORD
" ^zz++++="'No,'
' ^zz++++=EXTRAWORD
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill
faintly ^rb++++=faintly.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
groaned ^vbd+++xvbn+=groaned
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
comfortable ^jj++++=comfortable
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
mind ^vb++++=mind
that ^tht+vcmp+obj++=that
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
giving ^vbg+++xvbgx+=giving
up ^rb+phrv+++=up
drink ^nn++++=drink
would ^md+prd+++=would
have ^vb+hv+vrb++=have
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
spare ^jj+atrb+++=spare
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Silas ^np+++??+=Silas
always ^rb++++=always
had ^vb+hv+vrb++=had
ideas ^nns++++=ideas
quick ^jj++++=quick
where ^wrb+who+++=where
spare ^jj+atrb+++=spare
money ^nn++++=money
was ^vbd+bedz+aux++=was
concerned ^vpsv++agls+xvbnx+=concerned.
. ^zz++++=EXTRAWORD
" ^zz++++="'There
' ^zz++++=EXTRAWORD
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^cd1++++=one
thing ^nn++++=thing
more ^rbr++++=more,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Bill
bill ^nn++++=EXTRAWORD
made ^vbd+++xvbn+=made
a ^at++++=a
miserable ^jj+atrb+++=miserable
noise ^nn++++=noise.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
behind ^rb+phrv+++=behind
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas,
, ^zz++++=EXTRAWORD
' ^zz++++='a
a ^at++++=EXTRAWORD
widow ^nn++++=widow.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'You
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
married ^jj+++xvbn+=married,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
forgetting ^vbg+vprv++xvbg+=forgetting
his ^pp$+pp3+++=his
fear ^nn++++=fear
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
" ^zz++++="'We
' ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=EXTRAWORD
kept ^vbd+++xvbn+=kept
it ^pp3+it+++=it
quiet ^jj++++=quiet,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
' ^zz++++='Very
very ^ql+amp+++=EXTRAWORD
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
name ^nn++++=name
is ^vbz+bez+vrb++=is
er ^&fw++++=er
Jane ^np++++=Jane.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Jane
' ^zz++++=EXTRAWORD
jane ^np++++=EXTRAWORD
wot ^wpr++++=wot?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Jane
' ^zz++++=EXTRAWORD
jane ^np++++=EXTRAWORD
Winch ^nn++++=Winch,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas
severely ^rb++++=severely.
. ^zz++++=EXTRAWORD
' ^zz++++='Naturally.'
naturally ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Where
' ^zz++++=EXTRAWORD
where ^wrb+who+++=EXTRAWORD
does ^vbz+doz+vrb++=does
she ^pp3a+pp3+++=she
live ^vb++++=live?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
thought ^nn+++xvbn+=thought
of ^in++++=of
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
" ^zz++++="'A
' ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
long ^jj+atrb+++=long
way ^nn++++=way
off ^in+strn+++=off,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='So
so ^ql++++=EXTRAWORD
far ^rb+pl+++=far
that ^cs+sub+++=that
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
use ^nn++++=use
your ^pp$+pp2+++=your
calling ^nvbg+++xvbg+=calling.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=is
poor ^jj+pred+++=poor,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
poor ^jj++++=poor.
. ^zz++++=EXTRAWORD
Sitting ^vbg+++xvbg+=Sitting
at ^rb++++=at
this ^dt+dem+++=this
moment ^nn++++=moment
in ^in++++=in
a ^at++++=a
room ^nn++++=room
with ^in++++=with
no ^at++++=no
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
no ^at++++=no
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
little ^jj+atrb+++=little
children ^nns++++=children
asking ^vwbg+vsua++xvbg+=asking
when ^wrb+who+whcl++=when
father ^nn++++=father
is ^vbz+bez+aux++=is
coming ^vbg+++xvbgx+=coming
' ^zz++++='ome.'
ome ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Three?'
' ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
' ^zz++++='You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
busy ^jj++++=busy.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
groaned ^vbd+++xvbn+=groaned
so ^rb+emph+++=so
fierce ^jj++++=fierce
that ^dt+dem+++=that
Bill ^nn++++=Bill
disappeared ^vbd+seem++xvbn+=disappeared
farther ^rbr++++=farther
under ^in++++=under
the ^ati++++=the
bedclothes ^nns++++=bedclothes.
. ^zz++++=EXTRAWORD
" ^zz++++="'You
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
send ^vb++++=send
her ^pp$+pp3+++=her
ten ^cd++++=ten
shillings ^nns+nom+++=shillings
a ^at++++=a
week ^nn++++=week,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="'Fifteen,'
' ^zz++++=EXTRAWORD
fifteen ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
' ^zz++++='Ten
ten ^cd++++=EXTRAWORD
for ^in++++=for
food ^nn++++=food
and ^cc++++=and
five ^cd++++=five
for ^in++++=for
other ^ap++++=other
things ^nns++++=things.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'That's
' ^zz++++=EXTRAWORD
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
lot ^nn++++=lot,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^vbz+++??+=EXTRAWORD
bent ^vwbn+++xvbn+=bent
down ^rp++++=down
till ^cs+sub+++=till
his ^pp$+pp3+++=his
glowing ^jj+atrb++xvbg+=glowing
face ^nn++++=face
was ^vbd+bedz+vrb++=was
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
lump ^nn++++=lump
under ^in++++=under
the ^ati++++=the
blankets ^nns++++=blankets.
. ^zz++++=EXTRAWORD
" ^zz++++="'Down
' ^zz++++=EXTRAWORD
down ^rp++++=EXTRAWORD
below ^rb++++=below,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses,
, ^zz++++=EXTRAWORD
' ^zz++++='there's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
things ^nns++++=things
fifty ^cd++++=fifty
million ^cd++++=million
times ^nns++++=times
worse ^jjr++++=worse
than ^in++++=than
anything ^pn++++=anything
a ^at++++=a
man ^nn++++=man
sees ^vbz+vprv+++=sees
after ^in++++=after
drinking ^nn++++=drinking.
. ^zz++++=EXTRAWORD
Things ^nns++++=Things
with ^in++++=with
horns ^nns++++=horns,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
tails ^nns++++=tails.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
eyes ^nns++++=eyes
all ^abn++++=all
over ^in++++=over
' ^zz++++='em.'
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'I'll
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
send ^vb++++=send
it ^pp3+it+++=it,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
" ^zz++++="'Every
' ^zz++++=EXTRAWORD
every ^at++++=EXTRAWORD
week ^nn++++=week?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Every
' ^zz++++=EXTRAWORD
every ^at++++=EXTRAWORD
week ^nn++++=week.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'By
' ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
money ^nn++++=money
order ^nn++++=order,
, ^zz++++=EXTRAWORD
payable ^jj++++=payable
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Jane ^np++++=Jane
Winch ^nn++++=Winch?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes.'
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'And
' ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
write ^vb++++=write
" ^zz++++="From
from ^in++++=EXTRAWORD
a ^at++++=a
friend ^nn++++=friend"
" ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
form ^nn++++=form.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes.'
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Good-by,
' ^zz++++=EXTRAWORD
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Good-by,
' ^zz++++=EXTRAWORD
good ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Silas
silas ^nns+++??+=EXTRAWORD
gave ^vbd+++xvbn+=gave
one ^cd1++++=one
last ^rb++++=last
groan ^vb++++=groan,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Burtenshaw ^np++++=Burtenshaw
afterwards ^rb+tm+++=afterwards
said ^vbd+vpub++xvbn+=said
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
the ^ati++++=the
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crept ^vbd+++xvbn+=crept
downstairs ^jjb++++=downstairs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
got ^vprf+++xvbnx+=got
his ^pp$+pp3+++=his
boots ^nns++++=boots
on ^in++++=on
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
after ^in++++=after
' ^zz++++='im.
im ^&fw++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="'Wot
' ^zz++++=EXTRAWORD
wot ^wpr++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
all ^abn++++=all
that ^dt+dem+++=that
about ^in++++=about
fifteen ^cd++++=fifteen
shillings ^nns+nom+++=shillings?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="'A
' ^zz++++=EXTRAWORD
a ^rb++++=EXTRAWORD
little ^rb"++++=little
extra ^jj+atrb+++=extra
touch ^nn++++=touch,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Silas ^np+++??+=Silas.
. ^zz++++=EXTRAWORD
' ^zz++++='Made
made ^vprf+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
natural ^jj++++=natural.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Natural?'
' ^zz++++=EXTRAWORD
natural ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
ses ^nns+++??+=ses.
