Bullies ^nns++++=BULLIES,
they ^pp3a+pp3+++=they
was ^vbd+bedz+vrb++=was
natives ^nns++++=natives
looking ^vwbg+++xvbg+=looking
for ^in++++=for
work ^nn++++=work;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++0='em
swore ^vbd+vpub++xvbn+=swore
in ^in++++=in
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
got ^vbd+++xvbnx+=got
aboard ^in+pl+++=aboard
somehow ^rb+cnj+++=somehow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
carried ^vbd+++xvbn+=carried
them ^pp3o+pp3+++0='em
into ^in++++=into
the ^ati++++=the
fo ^nn+++??+=fo'c's'le.
'c's'le. ^nn+++??+=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
mate ^nn++++=mate
looked ^vbd+++xvbn+=looked
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
and ^cc++++=and
Bob ^np++++=Bob
looked ^vbd+++xvbn+=looked
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
Bob ^np++++=Bob
had ^vb+hv+vrb++=had
two ^cd++++=two
black ^jj+atrb+++=black
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
show ^vb+vprv+++=show
much ^ap++++=much
owing ^in+cmpx+++=owing
to ^in"++++=to
the ^ati++++=the
blacking ^nvbg+++xvbg+=blacking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^np++++=Bill's
's ^$++++=EXTRAWORD
nose ^nn++++=nose
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
knocked ^vpsv++agls+xvbnx+=knocked
a ^rb++++=a
little ^rb"++++=little
out ^rp+pl+++=out
of ^in++++=of
its ^pp$+it+++=its
usual ^jj+atrb+++=usual
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
shirts ^nns++++=shirts
was ^vbd+bedz+vrb++=was
in ^in++++=in
ribbons ^nns++++=ribbons,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
turbans ^nns+nom+++=turbans
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
put ^vbd+++xvbn+=put
in ^rb+phrv+++=in
their ^pp$+pp3+++=their
bunks ^nns++++=bunks
like ^in++++=like
sacks ^nns++++=sacks.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
' ^zz++++='im?"
im ^&fw++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
opened ^vbd+++xvbn+=opened
one ^cd1++++=one
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+vrb++=EXTRAWORD
' ^zz++++='im?"
im ^&fw++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
three ^cd++++=three
of ^in++++=of
us ^pp1o+pp1+++=us
' ^zz++++='itting
itting ^jj+++xvbg+=EXTRAWORD
' ^zz++++='im
im ^&fw++++=EXTRAWORD
together ^nn+nom+++=together."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Three?"
three ^cd++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="Me,
me ^pp1o+pp1+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bob ^np++++=Bob,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ground ^nn++++=ground,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
time ^nn++++=time
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
up ^rp++++=up
he ^pp3a+pp3+++=he
knocked ^vbd+++xvbnx+=knocked
us ^pp1o+pp1+++=us
down ^rp++++=down
agin ^nn+++??+=agin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+aux++=have
hurt ^vprf+++xvbnx+=hurt
' ^zz++++='im,"
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="Bob
bob ^np++++=EXTRAWORD
tore ^vbd+++xvbn+=tore
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve
off ^in+strn+++=off,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
hold ^vbi+vprv+++=hold
on ^in+cmpx+++=on
to ^in"++++=to
something ^pn++++=something,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob,
, ^zz++++=EXTRAWORD
faintly ^rb++++=faintly.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
hit ^vbd+++xvbnx+=hit
me ^pp1o+pp1+++=me
for ^in++++=for
ten ^cd++++=ten
minutes ^nns++++=minutes
without ^in++++=without
stopping ^xvbg+++xvbg+=stopping."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eight
eight ^cd++++=EXTRAWORD
minutes ^nns++++=minutes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
seemed ^vbd+seem++xvbn+=seemed
longer ^rbr++++=longer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
Joe ^np++++=Joe
told ^vbd+vpub++xvbn+=told
them ^pp3o+pp3+++0='em
that ^cs+sub+++=that
the ^ati++++=the
mate ^nn++++=mate
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
back ^jjb++++=back
and ^cc+phrs+++=and
claimed ^jj+++xvbn+=claimed
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
beaten ^vprf+++xvbnx+=beaten
five ^cd++++=five
German ^jj+atrb+++=German
sailors ^nns++++=sailors.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
sat ^vbd+++xvbn+=sat
up ^rp++++=up
at ^rb++++=at
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
groaned ^j+++xvbn+=groaned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lay ^jjb+++xvbn+=lay
down ^rp++++=down
agin ^nn+++??+=agin.
. ^zz++++=EXTRAWORD
" ^zz++++="German
german ^jj+atrb+++=EXTRAWORD
sailors ^nns++++=sailors?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Five,"
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
large ^jj++++=large."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
liar ^nn++++=liar,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
call ^vb++++=call
' ^zz++++='im
im ^&fw++++=EXTRAWORD
a ^at++++=a
liar ^nn++++=liar,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
without ^in++++=without
explaining ^nn++++=explaining."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
thought ^vbd+++xvbn+=thought
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
and ^cc++++=and
then ^rn+tm+++=then
smiled ^vbd+++xvbn+=smiled,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
hurt ^vbd+++xvbn+=hurt
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
' ^zz++++='im
im ^&fw++++=EXTRAWORD
have ^vb+hv+vrb++=have
his ^pp$+pp3+++=his
five ^cd++++=five
Germans ^nns+nom+++=Germans,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
now ^rn+tm+++=now
is ^vbz+bez+aux++=is
to ^to++++=to
wash ^vb++++=wash
this ^dt+dem+++=this
muck ^nn++++=muck
off ^in+pl+++=off
and ^cc++++=and
turn ^nn++++=turn
in ^in+strn+++=in."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
where ^wrb+who+++=where
the ^ati++++=the
real ^jj+atrb+++=real
trouble ^nn++++=trouble
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carpenter ^nn+nom+++=carpenter
brought ^vbd+++xvbn+=brought
a ^at++++=a
bucket ^nn++++=bucket
of ^in++++=of
water ^nn++++=water
and ^cc++++=and
a ^at++++=a
lump ^nn++++=lump
of ^in++++=of
soap ^nn++++=soap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bill ^nn++++=Bill
and ^cc++++=and
Bob ^np++++=Bob
started ^vbd+++xvbn+=started
washing ^nvbg+++xvbg+=washing.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
washed ^vbd+++xvbnx+=washed
for ^in++++=for
ten ^cd++++=ten
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
was ^vbd+bedz+aux++=was
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
blacking ^nn++++=blacking
shine ^vb++++=shine
brighter ^jjr++++=brighter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carpenter ^nn+nom+++=carpenter
watched ^vbd+++xvbn+=watched
with ^in++++=with
the ^ati++++=the
air ^nn++++=air
of ^in++++=of
a ^at++++=a
man ^nn++++=man
seeing ^vwbg+vprv++xvbg+=seeing
a ^at++++=a
good ^jj+atrb+++=good
job ^nn++++=job
properly ^rb++++=properly
tested ^vbd+++xvbn+=tested.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
water ^nn++++=water
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
touch ^vb++++=touch
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Bring
bring ^vb++++=EXTRAWORD
hotter ^jjr+atrb+++=hotter
water ^nn++++=water,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
brought ^vbd+++xvbn+=brought
hotter ^jjr+atrb+++=hotter
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
brought ^vbd+++xvbn+=brought
soft ^jj+atrb+++=soft
soap ^nn++++=soap.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
yellow ^jj+atrb+++=yellow
soap ^nn++++=soap.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
steward ^nn++++=steward
produced ^vbd+++xvbn+=produced
a ^at++++=a
cake ^nn++++=cake
of ^in++++=of
scented ^jj+atrb++xvbn+=scented
soap ^nn++++=soap
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
skipper ^nn++++=skipper.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
happened ^vbd+++xvbn+=happened,
, ^zz++++=EXTRAWORD
except ^cs+sub+++=except
that ^cs"++++=that
Bob ^np++++=Bob's
's ^$++++=EXTRAWORD
face ^nn++++=face
smelt ^vbd+++xvbn+=smelt
like ^in++++=like
violets ^nns+nom+++=violets.
. ^zz++++=EXTRAWORD
" ^zz++++="Try
try ^vb++++=EXTRAWORD
butter ^nn++++=butter,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ned ^np+++??+=Ned
Baker ^np++++=Baker.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
tried ^vbd+++xvbn+=tried
butter ^nn++++=butter.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+pdem+++=that
came ^vbd+++xvbn+=came
linseed ^nn++++=linseed
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
tea ^nn++++=tea
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
soda ^nn++++=soda,
, ^zz++++=EXTRAWORD
lamp ^nn++++=lamp
oil ^nn++++=oil
and ^cc++++=and
a ^at++++=a
mixture ^nn++++=mixture
of ^in++++=of
salt ^nn++++=salt
and ^cc++++=and
vinegar ^nn++++=vinegar
recommended ^vwbn+vsua++xvbn+=recommended
by ^in++++=by
Ginger ^nn++++=Ginger
Dick ^np++++=Dick's
's ^$++++=EXTRAWORD
aunt ^nn++++=aunt
for ^in++++=for
taking ^xvbg+++xvbg+=taking
stains ^nns++++=stains
out ^rp+pl+++=out
of ^in++++=of
tablecloths ^nns++++=tablecloths.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
tablecloth ^nn++++=tablecloth,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
face ^nn++++=face
neither ^dt++neg++=neither,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
till ^cs+sub+++=till
his ^pp$+pp3+++=his
skin ^nn++++=skin
smarted ^vbd+++xvbn+=smarted.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
carpenter ^nn+nom+++=carpenter
fetched ^vbd+++xvbn+=fetched
some ^dti++++=some
turpentine ^nn++++=turpentine.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
shifted ^vprf+++xvbn+=shifted
a ^rb++++=a
little ^rb"++++=little
blacking ^vbg+++xvbg+=blacking
and ^cc++++=and
nearly ^rb+down+++=nearly
shifted ^vprf+++xvbn+=shifted
Bill ^nn++++=Bill
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
bunk ^nn++++=bunk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
jumped ^vbd+++xvbnx+=jumped
up ^rp++++=up,
, ^zz++++=EXTRAWORD
yelling ^vbg+nom++xvbg+=yelling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chased ^vbd+++xvbn+=chased
the ^ati++++=the
carpenter ^nn+nom+++=carpenter
twice ^rb++++=twice
round ^in++++=round
the ^ati++++=the
fo ^nn+++??+=fo'c's'le
'c's'le ^nn+++??+=EXTRAWORD
with ^in++++=with
a ^at++++=a
razor ^nn++++=razor.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
stopped ^vbd+++xvbn+=stopped
him ^pp3o+pp3+++=him
from ^in++++=from
using ^xvbg+++xvbg+=using
it ^pp3+it+++=it
because ^cs+cos+++=because
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew
how ^wrb+who+whcl++=how
upset ^nn+++xvbn+=upset
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
would ^md+prd+++=would
come ^vprf+++xvbn+=come
off ^in+strn+++=off,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
the ^ati++++=the
razor ^nn++++=razor
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
stayed ^vbd+++xvbn+=stayed
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
why ^wrb+who+++=why
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
good ^jj++++=good."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
long ^jj++++=long?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="Depends,"
depends ^vbz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
wot ^wpr++++=wot?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wear
wear ^vb++++=EXTRAWORD
and ^cc++++=and
weather ^nn++++=weather,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ses ^nns+++??+=ses.
. ^zz++++=EXTRAWORD
" ^zz++++="Three
three ^cd++++=EXTRAWORD
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
p ^zz++++=p'raps.
'raps. ^nn+++??+=EXTRAWORD
Six ^cd++++=Six
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
keeps ^vbz++++=keeps
indoors ^rn+pl+++=indoors."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
nasty ^jj+atrb+++=nasty
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
skipper ^nn++++=skipper
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
back ^jjb++++=back
aboard ^in+pl+++=aboard
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
all ^abn++++=all
hands ^nns++++=hands
would ^md+prd+++=would
be ^vb+be+aux++=be
mustered ^vpsv++agls+xvbnx+=mustered.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
and ^cc++++=and
Bob ^np++++=Bob
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
stay ^vb++++=stay
hidden ^vbd+++xvbn+=hidden
for ^in++++=for
three ^cd++++=three
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
even ^rb++++=even
three ^cd++++=three
hours ^nns++++=hours
if ^cs+cnd+++=if
the ^ati++++=the
mate ^nn++++=mate
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
into ^in++++=into
his ^pp$+pp3+++=his
head ^nn++++=head
to ^to++++=to
look ^vbi++++=look
for ^in++++=for
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
ruined ^vprf+++xvbnx+=ruined
us ^pp1o+pp1+++=us,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill
to ^in++++=to
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
disguised ^vprf+++xvbnx+=disguised
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
the ^ati++++=the
carpenter ^nn+nom+++=carpenter.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
wot ^wpr++++=wot
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Joe ^np++++=Joe
began ^vbd+++xvbn+=began
walking ^vbg+++xvbg+=walking
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
all ^abn++++=all
helped ^vpsv++by+xvbn+=helped
by ^in++++=by
making ^xvbg+++xvbg+=making
suggestions ^nns+nom+++=suggestions.
. ^zz++++=EXTRAWORD
" ^zz++++="Shave
shave ^nn++++=EXTRAWORD
their ^pp$+pp3+++=their
heads ^nns++++=heads,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ginger ^nn++++=Ginger.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
their ^pp$+pp3+++=their
faces ^vbz++++=faces?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
the ^ati++++=the
skipper ^npt++++=skipper
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
fever ^nn++++=fever,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ned ^np+++??+=Ned.
. ^zz++++=EXTRAWORD
" ^zz++++="Wot
wot ^wpr++++=EXTRAWORD
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
fever ^nn++++=fever
turns ^vbz++++=turns
a ^at++++=a
man ^nn++++=man
black ^nn++++=black?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bob ^np++++=Bob.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
very ^ql+amp+++=very
bad ^jj+atrb+++=bad
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Ned ^np+++??+=Ned.
. ^zz++++=EXTRAWORD
" ^zz++++="You'd
you ^pp2+pp2+++=EXTRAWORD
'd ^md"+hvd+pmd"++0=EXTRAWORD
better ^md+atrb+md++=better
desert ^vb++++=desert,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
" ^zz++++="Slip
slip ^vb++++=EXTRAWORD
ashore ^rb+pl+++=ashore
now ^rn+tm+++=now
and ^cc++++=and
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
come ^vb++++=come
back ^jjb++++=back
till ^cs+sub+++=till
it ^pp3+it+++=it
wears ^vbz++++=wears
off ^rp+pl+++=off."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
lose ^vb++++=lose
our ^pp$+pp1+++=our
pay ^nn++++=pay?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
only ^ap+down+++=only
money ^nn++++=money,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Joe ^np++++=Joe.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
easy ^jj++++=easy
for ^in++++=for
you ^pp2+pp2+++=you
to ^to++++=to
say ^vbi+vpub+++=say,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ses ^nns+++??+=ses
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
