Disgrace ^np+++??+=Disgrace
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Stand
stand ^vb++++=EXTRAWORD
up ^rp++++=up."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What?"
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Stand
stand ^vb++++=EXTRAWORD
up ^rp++++=up,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tell ^vb++++=tell
ye ^pp2+pp2+++=ye."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
obeyed ^vbd+++xvbnx+=obeyed.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tugged ^vbd+++xvbnx+=tugged
his ^pp$+pp3+++=his
coat ^nn++++=coat
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
brushed ^jj+atrb++xvbn+=brushed
lint ^nn++++=lint
from ^in++++=from
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inspected ^vbd+++xvbn+=inspected
his ^pp$+pp3+++=his
trousers ^nns+nom+++=trousers.
. ^zz++++=EXTRAWORD
" ^zz++++="Take
take ^vb++++=EXTRAWORD
these ^dt+dem+++=these
to ^in++++=to
Dugan ^np++++=Dugan's
's ^$++++=EXTRAWORD
tomorrow ^nr+tm+++=tomorrow.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
him ^pp3o+pp3+++=him
to ^in++++=to
press ^nn++++=press
them ^pp3o+pp3+++0='em
proper ^jj++++=proper.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
may ^md+pos+++=may
have ^vb+hv+vrb++=have
a ^at++++=a
crushed ^jj+atrb++xvbn+=crushed
spirit ^nn++++=spirit
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
enjoys ^vbz++++=enjoys
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
excuse ^nn++++=excuse
for ^in++++=for
baggy ^jj+atrb+++=baggy
knees ^nns++++=knees."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
marched ^vbd+++xvbnx+=marched
into ^in++++=into
the ^ati++++=the
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Birdie ^np++++=Birdie's
's ^$++++=EXTRAWORD
heart ^nn++++=heart
went ^vbd+++xvbn+=went
with ^in++++=with
her ^pp$+pp3+++=her
reluctantly ^rb++++=reluctantly
and ^cc++++=and
backward ^jj++++=backward,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
hearts ^nns++++=hearts
are ^vb+ber+vrb++=are
often ^rb++++=often
poor ^jj+atrb+++=poor
walkers ^nns+nom+++=walkers.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
month ^nn++++=month
nothing ^pn++++=nothing
worse ^jjr++++=worse
happened ^jj+++xvbn+=happened
than ^in++++=than
Sunday ^nr++++=Sunday.
. ^zz++++=EXTRAWORD
Sunday ^nr++++=Sunday
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult
because ^cs+cos+++=because
Bellwether ^np+nom++??+=Bellwether
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
its ^pp$+it+++=its
respectability ^nn+nom+++=respectability
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
The ^ati++++=The
church ^nn++++=church
bells ^nns++++=bells
rang ^vbd+++xvbn+=rang;
; ^zz++++=EXTRAWORD
the ^ati++++=the
smart ^nn++++=smart
set ^vbd+++xvbn+=set
rolled ^vbd+++xvbn+=rolled
past ^jjb++++=past
in ^in++++=in
scarlet ^jj++++=scarlet-upholstered
- ^zz++++=EXTRAWORD
upholstered ^jj+atrb+++=EXTRAWORD
touring ^nn++++=touring
cars ^nns++++=cars;
; ^zz++++=EXTRAWORD
ladies ^nns++++=ladies
with ^in++++=with
radiant ^jj++++=radiant
blondeur ^jj+++??+=blondeur
achieved ^jj+++xvbn+=achieved
through ^in++++=through
private ^jj+atrb+++=private
chemistry ^nn++++=chemistry
bowed ^vbd+++xvbn+=bowed
to ^in++++=to
Jo ^np++++=Jo
and ^cc++++=and
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
Ted ^np++++=Ted.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^in++++=to
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
grave ^nn++++=grave
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=taking
streets ^nns++++=streets
where ^wrb+who+++=where
fewer ^ap++++=fewer
people ^nns++++=people
could ^md+pos+++=could
observe ^vb+vprv+tht0++=observe
him ^pp3o+pp3+++=him
doing ^vbg+++xvbg+=doing
so ^ql++++=so.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
improved ^vbd+++xvbnx+=improved.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered
guests ^nns++++=guests
without ^in++++=without
stammering ^xvbg+++xvbg+=stammering.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
caught ^vbd+++xvbnx+=caught
errors ^nns++++=errors
in ^in++++=in
the ^ati++++=the
supply ^nn++++=supply
bills ^nns++++=bills.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
discovered ^vbd+vprv++xvbnx+=discovered
that ^tht+vcmp+++=that
the ^ati++++=the
laundry ^nn++++=laundry
company ^nn++++=company
had ^vbd+hvd+aux++=had
charged ^vprf+++xvbnx+=charged
the ^ati++++=the
hotel ^nn++++=hotel
for ^in++++=for
four ^cd++++=four
hundred ^cd++++=hundred
napkins ^nns++++=napkins
it ^pp3+it+++=it
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
clever ^jj+pred+++=clever
of ^in++++=of
both ^abx++++=both
the ^ati++++=the
laundry ^nn++++=laundry
company ^nn++++=company
and ^cc++++=and
Ted ^np++++=Ted.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
wages ^nns++++=wages
three ^cd++++=three
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
worth ^in++++=worth
five ^cd++++=five
more ^rbr++++=more,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
gratitude ^nn++++=gratitude's
's ^vbz+bez+vrb++0=EXTRAWORD
bad ^jj++++=bad
for ^in++++=for
character ^nn+nom+++=character."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
even ^rb++++=even
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Minnie ^np+++??+=Minnie
Wenzel ^np+++??+=Wenzel
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
Tuesday ^nr++++=Tuesday
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
windy ^jj++++=windy
and ^cc+phrs+++=and
bright ^jj++++=bright.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
married ^vpsv++agls+xvbnx+=married
eleven ^cd++++=eleven
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Matrimony ^nn++++=Matrimony
had ^vb+hv+vrb++=had
not ^xnot++not++=not
softened ^jj+++xvbn+=softened
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+aux++=had
merely ^rb+down+splt++=merely
given ^vprf+++xvbnx+=given
her ^pp3o+pp3+++=her
a ^at++++=a
new ^jj++++=new
last ^rb++++=last
name ^nn++++=name,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
carried ^vbd+++xvbnx+=carried
like ^in++++=like
a ^at++++=a
handbag ^nn++++=handbag.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
entered ^vbd+++xvbnx+=entered
in ^in++++=in
a ^at++++=a
blue ^jj+atrb+++=blue
traveling ^nn+nom+++=traveling
suit ^nn++++=suit,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
Elmer ^np+++??+=Elmer,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
looked ^vbd+++xvbn+=looked
furnished ^vbd+++xvbn+=furnished
rather ^rb++++=rather
than ^in++++=than
dressed ^nn++++=dressed.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
glanced ^vbd+++xvbn+=glanced
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
" ^zz++++="Breakfast
breakfast ^nn++++=EXTRAWORD
over ^in+strn+++=over."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come
to ^to++++=to
eat ^vbi++++=eat,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
with ^in++++=with
a ^at++++=a
coffee ^nn++++=coffee
pot ^nn++++=pot,
, ^zz++++=EXTRAWORD
murmured ^j+++xvbn+=murmured,
, ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
sensible ^jj+atrb+++=sensible
thing ^nn++++=thing
marriage ^nn+nom+++=marriage
has ^vbz+hvz+aux++=has
done ^vprf+++xvbnx+=done
for ^in++++=for
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
ignored ^vwbn+++xvbn+=ignored
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
speak ^vb++++=speak
with ^in++++=with
you ^pp2+pp2+++=you
privately ^rb+cnj+++=privately,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Haley ^np++++=Haley."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Speak
speak ^vb++++=EXTRAWORD
publicly ^rb++++=publicly.
. ^zz++++=EXTRAWORD
Saves ^np+++??+=Saves
repetitions ^nns+nom+++=repetitions."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
concerns ^vbz++++=concerns
the ^ati++++=the
accounts ^nns++++=accounts."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
looked ^vbd+++xvbn+=looked
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
adding ^jj+atrb++xvbg+=adding
machine ^nn++++=machine.
. ^zz++++=EXTRAWORD
Minnie ^np++++=Minnie's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
touched ^vbd+++xvbn+=touched
him ^pp3o+pp3+++=him
and ^cc++++=and
slid ^vbd+++xvbn+=slid
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
found ^vbd+vprv++xvbnx+=found
certain ^jj+atrb+++=certain
memoranda ^nns++++=memoranda
among ^in++++=among
my ^pp$+pp1+++=my
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
indicated ^vbd+vprv++xvbnx+=indicated
an ^at++++=an
irregularity ^nn+nom+++=irregularity
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
former ^ap++++=former
employee ^nn+nom+++=employee
and ^cc++++=and
a ^at++++=a
conscientious ^jj+atrb+++=conscientious
person ^nn++++=person,
, ^zz++++=EXTRAWORD
obliged ^jj+++xvbn+=obliged
to ^to+jcmp+++=to
investigate ^nn+nom+++=investigate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
sighed ^vbd+++xvbn+=sighed.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eight
eight ^cd++++=EXTRAWORD
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty
dollars ^nns++++=dollars."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
number ^nn++++=number
entered ^vbd+++xvbn+=entered
the ^ati++++=the
lobby ^nn++++=lobby
and ^cc++++=and
shut ^vbd+++xvbn+=shut
all ^abn++++=all
the ^ati++++=the
doors ^nns++++=doors
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
stood ^vbd+++xvbn+=stood.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
opened ^vbd+++xvbn+=opened
a ^at++++=a
leather ^nn++++=leather
portfolio ^nn++++=portfolio.
. ^zz++++=EXTRAWORD
" ^zz++++="During
during ^in++++=EXTRAWORD
my ^pp$+pp1+++=my
last ^jj+atrb+++=last
week ^nn++++=week
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
several ^ap++++=several
cash ^nn++++=cash
receipts ^nns++++=receipts
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
deposited ^jj+++xvbn+=deposited.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assumed ^vbd+vprv+tht0+xvbnx+=assumed
the ^ati++++=the
omission ^nn++++=omission
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
corrected ^vpsv++agls+xvbnx+=corrected.
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
I ^pp1a+pp1+++=I
compared ^vbd+++xvbnx+=compared
my ^pp$+pp1+++=my
retained ^vprf+++xvbn+=retained
duplicate ^nn+nom+++=duplicate
sheets ^nns++++=sheets
with ^in++++=with
the ^ati++++=the
bank ^nn++++=bank
statements ^nns+nom+++=statements."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
retained ^vbd+++xvbn+=retained
duplicate ^nn+nom+++=duplicate
sheets ^nns++++=sheets?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jo ^np++++=Jo
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
methodical ^jj+pred+++=methodical."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a
pack ^nn++++=pack
rat ^nn++++=rat
with ^in++++=with
sleevelets ^nns+nom+++=sleevelets.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
on ^in+strn+++=on."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="These
these ^dt+dem+++=EXTRAWORD
entries ^nns++++=entries
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
the ^ati++++=the
money ^nn++++=money
was ^vbd+bedz+vrb++=was
on ^in++++=on
hand ^nn++++=hand
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
the ^ati++++=the
books ^nns++++=books
over ^in++++=over
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Terrill ^np++++=Terrill.
. ^zz++++=EXTRAWORD
The ^ati++++=The
later ^rbr+tm+++=later
ledger ^np++++=ledger
pages ^nns++++=pages
show ^vb+vprv+++=show
false ^jj+atrb+++=false
deposit ^nn++++=deposit
totals ^nns++++=totals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
difference ^nn+nom+++=difference
is ^vbz+bez+vrb++=is
eight ^cd++++=eight
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty
dollars ^nns++++=dollars."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
stared ^vbd+++xvbn+=stared
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
joke ^nn++++=joke?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
joke ^nn++++=joke,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Elmer ^np+++??+=Elmer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
waiting ^vbg+++xvbgx+=waiting
to ^to+vcmp+++=to
contribute ^vbi++++=contribute
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
relieved ^vbd+++xvbn+=relieved.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
took ^vbd+++xvbn+=took
the ^ati++++=the
sheets ^nns++++=sheets
Minnie ^np+++??+=Minnie
offered ^vbd+++xvbn+=offered.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hand ^nn++++=hand
shook ^vbd+++xvbn+=shook.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
her ^pp$+pp3+++=her
initials ^nns+nom+++=initials
on ^in++++=on
the ^ati++++=the
closing ^jj+atrb++xvbg+=closing
balance ^nn+nom+++=balance.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
own ^ap++++=own
handwriting ^nn++++=handwriting
on ^in++++=on
later ^rbr+tm+++=later
entries ^nns++++=entries.
. ^zz++++=EXTRAWORD
A ^at++++=A
deposit ^nn++++=deposit
of ^in++++=of
six ^cd++++=six
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty
dollars ^nns++++=dollars
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
nine ^cd++++=nine
hundred ^cd++++=hundred
and ^cc++++=and
forty ^cd++++=forty.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
changed ^vpsv++by+xvbnx+=changed
by ^in++++=by
five ^cd++++=five
hundred ^cd++++=hundred
and ^cc++++=and
sixty ^cd++++=sixty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bank ^nn++++=bank
statement ^nn+nom+++=statement
showed ^vbd+vprv++xvbn+=showed
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
sums ^nns++++=sums.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
joke ^nn++++=joke?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
came ^vbd+++xvbn+=came
around ^in++++=around
the ^ati++++=the
desk ^nn++++=desk
and ^cc++++=and
pulled ^vbd+++xvbn+=pulled
the ^ati++++=the
papers ^nns++++=papers
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Minnie ^np+++??+=Minnie
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
avoid ^vbi++++=avoid
an ^at++++=an
ugly ^jj+atrb+++=ugly
scene ^nn++++=scene."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why'd
'd ^md+prd+vrb++0=EXTRAWORD
you ^pp2+pp2+++=you
bring ^vb++++=bring
Elmer ^np+++??+=Elmer?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Birdie ^np+++??+=Birdie
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
improves ^vbz++++=improves
no ^at++++=no
scenery ^nn+nom+++=scenery
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
noticed ^vprf+++xvbnx+=noticed."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Elmer ^np+++??+=Elmer
reddened ^vbd+++xvbn+=reddened.
. ^zz++++=EXTRAWORD
" ^zz++++="Madam
madam ^npt++++=EXTRAWORD
" ^zz++++="
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
no ^at++++=no
madam ^npt++++=madam.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
work ^nn++++=work
for ^in++++=for
a ^at++++=a
livin ^nn+++??+=livin'."
'." ^nn+++??+=EXTRAWORD
The ^ati++++=The
first ^od++++=first
whisper ^vb+vpub+++=whisper
started ^vbd+++xvbn+=started
with ^in++++=with
the ^ati++++=the
bellboy ^nn+++??+=bellboy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
cook ^nn++++=cook
gave ^vbd+++xvbn+=gave
it ^pp3+it+++=it
to ^in++++=to
a ^at++++=a
chambermaid ^nn+++??+=chambermaid;
; ^zz++++=EXTRAWORD
the ^ati++++=the
chambermaid ^nn++++=chambermaid
dropped ^vbd+++xvbn+=dropped
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
second ^od++++=second-floor
- ^zz++++=EXTRAWORD
floor ^nn++++=EXTRAWORD
landing ^vwbg+++xvbg+=landing
to ^in++++=to
a ^at++++=a
traveling ^nn+nom+++=traveling
salesman ^nn+nom+++=salesman;
; ^zz++++=EXTRAWORD
the ^ati++++=the
salesman ^nn+nom+++=salesman
polished ^jj++++=polished
it ^pp3+it+++=it
and ^cc++++=and
presented ^vbd+++xvbn+=presented
it ^pp3+it+++=it
to ^to++++=to
two ^cd++++=two
hardware ^nn++++=hardware
merchants ^nns+nom+++=merchants.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
fifteen ^cd++++=fifteen
minutes ^nns++++=minutes
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bixby ^np++++=Bixby
telephoned ^vbd+vpub++xvbn+=telephoned
to ^to++++=to
ask ^vbi++++=ask
whether ^cs+who+++=whether
her ^pp$+pp3+++=her
silver ^nn++++=silver-backed
- ^zz++++=EXTRAWORD
backed ^vbd+++xvbn+=EXTRAWORD
hairbrush ^nn++++=hairbrush
was ^vbd+bedz+vrb++=was
safe ^jj+pred+++=safe,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
not ^xnot++not++=not
stayed ^xvbn+++xvbn+=stayed
at ^rb++++=at
the ^ati++++=the
Haley ^np+++??+=Haley
House ^npl++++=House
since ^in++++=since
1911 ^cd+date+++=1911.
. ^zz++++=EXTRAWORD
Gossip ^nn++++=Gossip
does ^vbz+doz+aux++=does
not ^xnot++not++=not
glide ^vb++++=glide.
. ^zz++++=EXTRAWORD
Authors ^nns++++=Authors
are ^vb+ber+vrb++=are
fond ^jj+pred+++=fond
of ^in++++=of
the ^ati++++=the
word ^nn++++=word
" ^zz++++="glide,"
glide ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
gossip ^nn++++=gossip
gallops ^nns++++=gallops,
, ^zz++++=EXTRAWORD
tumbles ^nns+++??+=tumbles
downstairs ^jjb++++=downstairs,
, ^zz++++=EXTRAWORD
climbs ^nns++++=climbs
drainpipes ^nns++++=drainpipes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arrives ^vbz++++=arrives
ahead ^rb+pl+++=ahead
of ^in++++=of
the ^ati++++=the
facts ^nns++++=facts
with ^in++++=with
its ^pp$+it+++=its
hat ^nn++++=hat
on ^in++++=on
crooked ^nn++++=crooked.
. ^zz++++=EXTRAWORD
Ted ^np++++=Ted
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+++=hear
the ^ati++++=the
whispers ^nns+nom+++=whispers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
inside ^jjb++++=inside
the ^ati++++=the
glass ^nn++++=glass
office ^nn++++=office,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
at ^rb++++=at
the ^ati++++=the
ledger ^np++++=ledger.
. ^zz++++=EXTRAWORD
Jo ^np++++=Jo
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
entries ^nns++++=entries.
. ^zz++++=EXTRAWORD
" ^zz++++="Looks
looks ^nns++++=EXTRAWORD
like ^in++++=like
your ^pp$+pp2+++=your
writing ^nvbg+++xvbg+=writing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
remember ^nn+nom+++=remember
making ^vbg+++xvbg+=making
' ^zz++++='em?"
em ^nn+++??+=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ted ^np++++=Ted
pressed ^vbd+++xvbn+=pressed
