# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Bibine ^np++++=Bibine's
" ^zz++++=EXTRAWORD
Loka ^np++++=Loka's
's ^$++++=EXTRAWORD
face ^nn++++=face
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
dull ^jj++++=dull
beneath ^in+pl+++=beneath
accusation ^nn+nom+++=accusation.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
it ^pp3+it+++=it
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
command ^vb++++=command
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
spoken ^vprf+++xvbnx+=spoken
in ^cs+sub+++=in
that ^cs"++++=that
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
you ^pp2+pp2+++=you
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
send ^vb++++=send
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
think ^vb+vprv+++=think
of ^in++++=of
that ^dt+pdem+++=that
before ^in++++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin',"
'," ^nn+++??+=EXTRAWORD
Loka ^np+++??+=Loka
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
came ^vbd+++xvbn+=came
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
dragged ^j+++xvbn+=dragged
up ^in+cmpx+++=up
against ^in"++++=against
shame ^nn++++=shame.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tied ^vbd+++xvbnx+=tied
my ^pp$+pp1+++=my
things ^nns++++=things.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
for ^in++++=for
good ^nn++++=good."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="See!"
see ^vb+vprv+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
cried ^vbd+++xvbn+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
Bibine ^np+++??+=Bibine
call ^nn++++=call
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
him ^pp3o+pp3+++=him
down ^rp++++=down,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
cry ^nn++++=cry
like ^in++++=like
" ^zz++++="
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped
and ^cc+phrs+++=and
rubbed ^vbd+++xvbn+=rubbed
the ^ati++++=the
heel ^nn++++=heel
of ^in++++=of
her ^pp$+pp3+++=her
hand ^nn++++=hand
against ^in++++=against
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
leave ^nn++++=leave
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
the ^ati++++=the
wood ^npl++++=wood
so ^ql+emph+++=so
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
Bad ^jj++++=Bad
like ^in++++=like
hunger ^nn++++=hunger.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
him ^pp3o+pp3+++=him
lit ^vbd+++xvbn+=lit'
' ^zz++++=EXTRAWORD
' ^zz++++='broad
broad ^jj++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
little ^ap++++=little
while ^cs+sub+++=while.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
milk ^nn++++=milk.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
keep ^vb++++=keep
him ^pp3o+pp3+++=him
good ^jj++++=good.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
bring ^vb++++=bring
him ^pp3o+pp3+++=him
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
call ^vb++++=call
five ^cd++++=five
hours ^nns++++=hours
a ^rb++++=a
little ^rb"++++=little
while ^cs+sub+++=while?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
looked ^vbd+++xvbn+=looked
at ^rb++++=at
Bibine ^np+++??+=Bibine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stretched ^vbd+++xvbnx+=stretched
toward ^in++++=toward
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
trumpet ^nn++++=trumpet
flowers ^nns+nom+++=flowers
nodding ^vwbg+++xvbg+=nodding
over ^in++++=over
one ^cd1++++=one
eye ^nn++++=eye.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
send ^vb++++=send
me ^pp1o+pp1+++=me
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
ai ^vb+be+++=ain't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
work ^nn++++=work.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learn ^vb+vprv+++=learn
prayers ^nns+nom+++=prayers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
quick ^jj++++=quick.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
send ^vb++++=send
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
opened ^vbd+++xvbn+=opened
her ^pp$+pp3+++=her
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Baptiste ^np+++??+=Baptiste
stepped ^vbd+++xvbn+=stepped
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Enough,
enough ^qlp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ma ^npt++++=ma
femme ^&fw++++=femme."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Enough?
enough ^qlp++++=EXTRAWORD
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
near ^in+pl+++=near
killed ^vbd+++xvbn+=killed
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
brung ^nn+++??+=brung
him ^pp3o+pp3+++=him
back ^jjb++++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
took ^vbd+++xvbnx+=took
him ^pp3o+pp3+++=him!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
bad ^jj+pred+++=bad
like ^in++++=like
you ^pp2+pp2+++=you
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
him ^pp3o+pp3+++=him
here ^rn+pl+++=here
and ^cc++++=and
gone ^vprf+++xvbn+=gone
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
be ^vb+be+vrb++=be
easy ^jj+pred+++=easy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
baby ^nn++++=baby
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
carried ^vbd+++xvbnx+=carried
her ^pp$+pp3+++=her
trouble ^nn++++=trouble
with ^in++++=with
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
held ^vbd+vprv++xvbn+=held
Bibine ^np+++??+=Bibine
tighter ^jjr++++=tighter.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
make ^vb++++=make
poetry ^nn++++=poetry
when ^wrb+who+++=when
you ^pp2+pp2+++=you
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
make ^vb++++=make
sense ^nn++++=sense."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
make ^vb++++=make
plain ^jj+atrb+++=plain
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
hitch ^nn++++=hitch
a ^at++++=a
mule ^nn++++=mule
with ^in++++=with
the ^ati++++=the
gear ^nn++++=gear
for ^in++++=for
a ^at++++=a
pony ^nn++++=pony
and ^cc++++=and
beat ^nn+++xvbn+=beat
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
it ^pp3+it+++=it
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
fit ^vb++++=fit.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
been ^vprf+ben+aux+xvbn+=been
pulling ^nvbg+++xvbg+=pulling
that ^dt+dem+++=that
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth
till ^in++++=till
it ^pp3+it+++=it
bleed ^vb++++=bleed,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
wondering ^vbg+++xvbg+=wondering
why ^wrb+who+++=why
she ^pp3a+pp3+++=she
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
step ^vb++++=step
lively ^jj++++=lively."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
struck ^vprf+++xvbn+=struck
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
got ^vbd+++xvbn+=got
other ^ap++++=other
ways ^nns++++=ways."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
flushed ^vbd+++xvbn+=flushed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
neighbors ^nns++++=neighbors
discovered ^vbd+vprv++xvbn+=discovered
sudden ^jj+atrb+++=sudden
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
clouds ^nns++++=clouds.
. ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
turned ^vbd+++xvbn+=turned
to ^in++++=to
Loka ^np+++??+=Loka.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
understand ^vb+vprv+++=understand
you ^pp2+pp2+++=you
never ^rb++++=never
take ^vb++++=take
Bibine ^np+++??+=Bibine
off ^in+pl+++=off
without ^in++++=without
telling ^xvbg+++xvbg+=telling?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
understand ^vb+vprv+++=understand
his ^pp$+pp3+++=his
maman ^jj++++=maman
got ^vbd+++xvbn+=got
reason ^nn++++=reason
to ^to++++=to
be ^vbi+vbi+aux++=be
scared ^vpsv++agls+xvbnx+=scared?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
monsieur ^npt++++=monsieur."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
want ^vb++++=want
stay ^vb++++=stay?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
could ^md+pos+++=could
not ^xnot++not++=not
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Bibine ^np+++??+=Bibine
answered ^vbd+vpub++xvbn+=answered
for ^in+ppvb+++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Lo,"
lo ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
leaning ^vbg+++xvbg+=leaning
so ^ql++++=so
far ^rb+pl+++=far
from ^rb"++++=from
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
arms ^nns++++=arms
that ^tht+rel+obj++=that
Tontine ^np+++??+=Tontine
had ^vb+hv+vrb++=had
to ^in++++=to
surrender ^nn+nom+++=surrender
him ^pp3o+pp3+++=him
or ^cc++++=or
drop ^nn++++=drop
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
caught ^vbd+++xvbn+=caught
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
clasped ^vbd+++xvbnx+=clasped
her ^pp$+pp3+++=her
neck ^nn++++=neck
and ^cc++++=and
crushed ^jj+++xvbn+=crushed
the ^ati++++=the
trumpet ^nn++++=trumpet-vine
- ^zz++++=EXTRAWORD
vine ^nn++++=EXTRAWORD
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^rn+pl+++=EXTRAWORD
your ^pp$+pp2+++=your
guardian ^nn++++=guardian
angel ^nn++++=angel,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma
femme ^&fw++++=femme.
. ^zz++++=EXTRAWORD
Funny ^jj+atrb+++=Funny
kind ^nn++++=kind
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
sticky ^jj++++=sticky,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
a ^at++++=a
prayer ^nn++++=prayer.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
maybe ^rb+hdg+++=maybe
he ^pp3a+pp3+++=he
keep ^vb++++=keep
her ^pp$+pp3+++=her
straight ^jj++++=straight
better ^jjr++++=better
than ^in++++=than
all ^abn++++=all
them ^pp3o+pp3+++=them
ladies ^nns++++=ladies'
' ^zz++++=EXTRAWORD
books ^nns++++=books."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
wiped ^vbd+++xvbn+=wiped
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
with ^in++++=with
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
her ^pp$+pp3+++=her
apron ^nn++++=apron.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
wash ^vb++++=wash
him ^pp3o+pp3+++=him
before ^in++++=before
supper ^nn++++=supper,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
got ^vbd+++xvbnx+=got
mud ^nn++++=mud
everywhere ^rb++++=everywhere."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
forgiveness ^nns+nom+++=forgiveness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^cs+sub+++=in
that ^cs"++++=that
household ^nn++++=household
it ^pp3+it+++=it
served ^vbd+++xvbn+=served.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain
began ^vbd+++xvbn+=began
before ^in++++=before
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
sudden ^jj++++=sudden
and ^cc+phrs+++=and
warm ^jj++++=warm.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
bathed ^vbd+++xvbn+=bathed
Bibine ^np+++??+=Bibine
in ^in++++=in
a ^at++++=a
tin ^nn++++=tin
basin ^nn++++=basin
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
slapped ^vbd+++xvbnx+=slapped
the ^ati++++=the
water ^nn++++=water
over ^in++++=over
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
complained ^vbd+vpub++xvbn+=complained
of ^in++++=of
the ^ati++++=the
mess ^nn++++=mess,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
less ^rbr++++=less
sharply ^rb++++=sharply
than ^in++++=than
usual ^nn++++=usual.
. ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste
sat ^vbd+++xvbn+=sat
beneath ^in+pl+++=beneath
the ^ati++++=the
gallery ^nn+nom+++=gallery,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
thunder ^nn++++=thunder.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
supper ^nn++++=supper
he ^pp3a+pp3+++=he
fixed ^vbd+++xvbnx+=fixed
a ^at++++=a
hook ^nn++++=hook
beside ^in+pl+++=beside
the ^ati++++=the
back ^jjb+atrb+++=back
door ^nn++++=door
for ^in++++=for
Loka ^np++++=Loka's
's ^$++++=EXTRAWORD
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Tontine ^np+++??+=Tontine
announced ^vbd+vpub++xvbn+=announced
that ^tht+vcmp+++=that
on ^rp++++=on
Sunday ^nr++++=Sunday
afternoons ^nns++++=afternoons,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
work ^nn++++=work
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done,
, ^zz++++=EXTRAWORD
the ^ati++++=the
girl ^nn++++=girl
might ^md+pos+++=might
take ^vb++++=take
Bibine ^np+++??+=Bibine
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
the ^ati++++=the
creek ^npl++++=creek
provided ^vbd+vsua+tht0+xvbn+=provided
she ^pp3a+pp3+++=she
carried ^vbd+++xvbnx+=carried
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned
before ^in++++=before
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub+tht0+xvbn+=told
someone ^pn++++=someone
first ^rb++++=first.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
gray ^np++++=gray-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
eyes ^nns++++=eyes
lifted ^vbd+++xvbn+=lifted
toward ^in++++=toward
the ^ati++++=the
rain ^nn++++=rain-dark
- ^zz++++=EXTRAWORD
dark ^jj+atrb+++=EXTRAWORD
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Bibine ^np+++??+=Bibine
put ^vbd+++xvbn+=put
a ^at++++=a
wet ^jj+atrb+++=wet
hand ^nn++++=hand
on ^rp++++=on
her ^pp3o+pp3+++=her
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
back ^rb+phrv+++=back
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
time ^nn++++=time
everyone ^pn++++=everyone
saw ^vbd+vprv++xvbn+=saw
her ^pp$+pp3+++=her
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
