**san ^jj+atrb+++=**SAN
Francisco ^np++++=FRANCISCO,
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
lick ^vb++++=lick
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
" ^zz++++="
" ^zz++++="Gunny,"
gunny ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
kick ^vbi++++=kick
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
embraced ^vbd+++xvbnx+=embraced
me ^pp1o+pp1+++=me
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
could ^md+pos+++=could
get ^vb++++=get
the ^ati++++=the
proper ^jj+atrb+++=proper
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kicked ^vbd+++xvbnx+=kicked
anyway ^rb+cnj+++=anyway,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
without ^in++++=without
conviction ^nn+nom+++=conviction.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
survived ^vprf+++xvbnx+=survived,
, ^zz++++=EXTRAWORD
worked ^j+++xvbn+=worked,
, ^zz++++=EXTRAWORD
studied ^j+++xvbn+=studied,
, ^zz++++=EXTRAWORD
wandered ^j+++xvbn+=wandered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
somehow ^rb++++=somehow
made ^vbd+++xvbn+=made
himself ^ppl+pp3+++=himself
into ^in++++=into
the ^ati++++=the
man ^nn++++=man
before ^in++++=before
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
to ^in++++=to
Redhorse ^np+++??+=Redhorse
and ^cc++++=and
found ^vbd+vprv+tht0+xvbn+=found
it ^pp3+it+++=it
changed ^vbd+++xvbn+=changed;
; ^zz++++=EXTRAWORD
heard ^j+++xvbn+=heard
of ^in++++=of
Father ^np++++=Father's
's ^$++++=EXTRAWORD
fortune ^nn++++=fortune;
; ^zz++++=EXTRAWORD
traced ^xvbn+++xvbn+=traced
Jack ^np++++=Jack;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
Jack ^np++++=Jack
learned ^vbd+vprv++xvbn+=learned
where ^wrb+who+whcl++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
tell ^vb++++=tell
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
demanded ^vbd+vsua++xvbnx+=demanded
from ^in++++=from
the ^ati++++=the
neighbourhood ^nn+nom+++=neighbourhood
of ^in++++=of
his ^pp$+pp3+++=his
coat ^nn++++=coat-collar.
- ^zz++++=EXTRAWORD
collar ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
you ^pp2+pp2+++=you
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
as ^cs+sub+++=as
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
were ^vbd+bed+vrb++=were
a ^at++++=a
god ^nn++++=god,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
weak ^jj+pred+++=weak
enough ^qlp++++=enough
to ^to++++=to
enjoy ^vbi++++=enjoy
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+dem+++=That
honesty ^nn++++=honesty
deserved ^vbd+++xvbn+=deserved
another ^ppls++++=another
kick ^vb++++=kick,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
feet ^nns++++=feet
were ^vbd+bed+aux++=were
occupied ^vpsv++agls+xvbnx+=occupied
in ^in++++=in
keeping ^xvbg+++xvbg+=keeping
me ^pp1o+pp1+++=me
upright ^jj++++=upright.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
told ^vprf++tht0+xvbnx+=told
you ^pp2+pp2+++=you
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
poor ^jj+pred+++=poor?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
knew ^vbd+vprv++xvbnx+=knew."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
Mother ^nn++++=Mother
took ^vbd+++xvbn+=took
in ^rb+phrv+++=in
washing ^xvbg+++xvbg+=washing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
carried ^vbd+++xvbnx+=carried
the ^ati++++=the
baskets ^nns++++=baskets."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
wore ^vbd+++xvbnx+=wore
flour ^nn++++=flour-sacks?"
- ^zz++++=EXTRAWORD
sacks ^nns++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="One
one ^pn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+aux++=was
marked ^vpsv++agls+xvbnx+=marked
' ^zz++++='Extra
extra ^jj+atrb+++=EXTRAWORD
Fine. ^np+++??+=Fine.'"
'" ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
laugh ^vbi++++=laugh.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
laughed ^vbd+++xvbnx+=laughed
while ^cs+sub+++=while
crying ^nvbg+++xvbg+=crying,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
moist ^jj+atrb+++=moist
and ^cc+phrs+++=and
unbecoming ^jj+atrb+++=unbecoming
compromise ^nn++++=compromise.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
kissed ^vbd+++xvbnx+=kissed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sand ^nn++++=sand
blew ^vbd+++xvbn+=blew
into ^in++++=into
my ^pp$+pp1+++=my
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wave ^nn++++=wave
ran ^vbd+++xvbn+=ran
up ^rp++++=up
the ^ati++++=the
beach ^nn++++=beach
and ^cc++++=and
soaked ^xvbn+++xvbn+=soaked
both ^abx++++=both
our ^pp$+pp1+++=our
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
Irene ^np++++=Irene,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
the ^ati++++=the
veiled ^jj+++xvbn+=veiled
Adept ^np+++??+=Adept
of ^in++++=of
India ^np++++=India,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lord ^npt++++=lord
of ^in++++=of
invisible ^jj+atrb+++=invisible
forces ^nns++++=forces,
, ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
kills ^vbz++++=kills
cobras ^nns+++??+=cobras
by ^in++++=by
moral ^jj+atrb+++=moral
disapproval ^nn+nom+++=disapproval,
, ^zz++++=EXTRAWORD
reveal ^vb+vprv+++=reveal
himself ^ppl+pp3+++=himself
as ^in++++=as
the ^ati++++=the
ragged ^jj+atrb+++=ragged
boy ^nn++++=boy
who ^whp+rel+subj++=who
once ^rb+tm+++=once
ate ^vbd+++xvbn+=ate
half ^nn++++=half
my ^pp$+pp1+++=my
supper ^nn++++=supper
and ^cc++++=and
put ^vb+++xvbn+=put
a ^at++++=a
lizard ^nn+++??+=lizard
down ^rp++++=down
my ^pp$+pp1+++=my
back ^nn++++=back.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
married ^vpsv++agls+xvbnx+=married
in ^in++++=in
June ^nr++++=June.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
happy ^jj+pred+++=happy
beyond ^in++++=beyond
grammar ^nn++++=grammar.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
ever ^rb++++=ever-loving
- ^zz++++=EXTRAWORD
loving ^jj+atrb++xvbg+=EXTRAWORD
**gunny** ^nn+++??+=**GUNNY**
**april ^nn+++??+=**April
26.** ^cd++++=26.**
Dearest ^jjt++++=Dearest
Irene ^np++++=Irene:
: ^zz++++=EXTRAWORD
Jack ^np++++=Jack
has ^vbz+hvz+aux++=has
confessed ^vprf+++xvbnx+=confessed
the ^ati++++=the
last ^rb++++=last
villainy ^nn+++??+=villainy.
. ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Barritz ^np++++=Barritz
never ^rb++++=never
studied ^vprf+++xvbn+=studied
black ^jj++++=black
magic ^jj++++=magic,
, ^zz++++=EXTRAWORD
never ^rb++++=never
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
an ^at++++=an
Indian ^jj+atrb+++=Indian
brotherhood ^nn+nom+++=brotherhood,
, ^zz++++=EXTRAWORD
never ^rb++++=never
read ^vb+vprv++xvbn+=read
sealed ^xvbn+++xvbn+=sealed
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
never ^rb++++=never
killed ^vbd+++xvbn+=killed
a ^at++++=a
cobra ^nn+++??+=cobra,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cannot ^md+pos+not++=cannot
even ^rb++splt++=even
stop ^vb++++=stop
his ^pp$+pp3+++=his
pulse ^nn++++=pulse
without ^in++++=without
dying ^xvbg+++xvbg+=dying
in ^in++++=in
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
invented ^vbd+++xvbn+=invented
the ^ati++++=the
entire ^jjb+atrb+++=entire
Oriental ^jj+atrb+++=Oriental
mystery ^nn+nom+++=mystery
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
would ^md+prd+++=would
never ^rb++++=never
have ^vb+hv+aux++=have
looked ^vprf+++xvbnx+=looked
twice ^rb++++=twice
at ^in++++=at
a ^at++++=a
plain ^nn++++=plain
American ^jj+atrb+++=American
physician ^nn++++=physician,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
some ^dti++++=some
foreign ^jj+atrb+++=foreign
wickedness ^nns+nom+++=wickedness
were ^vbd+bed+aux++=were
attached ^vpsv++agls+xvbnx+=attached
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
wretch ^nn++++=wretch
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
**p.s.** ^nn+++??+=**P.S.**
Dumps ^np+++??+=Dumps
says ^vbz+vpub+tht0++=says
Jack ^np++++=Jack
was ^vbd+bedz+vrb++=was
always ^rb++++=always
the ^ati++++=the
brains ^nns++++=brains
of ^in++++=of
our ^pp$+pp1+++=our
society ^nn++++=society.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
postponed ^vprf+++xvbnx+=postponed
the ^ati++++=the
wedding ^nn++++=wedding
until ^cs+sub+++=until
June ^nr++++=June
only ^rb+down+++=only
because ^cs+cos+++=because
it ^pp3+it+++=it
will ^md+prd+++=will
take ^vb++++=take
me ^pp1o+pp1+++=me
that ^dt+dem+++=that
long ^vb++++=long
to ^to+vcmp+++=to
forgive ^vb++++=forgive
them ^pp3o+pp3+++=them
both ^abx++++=both.
. ^zz++++=EXTRAWORD
