**a ^nn+++??+=**A
Confusion ^nn++++=CONFUSION
; ^zz++++=EXTRAWORD
at ^rb++++=at
others ^aps++++=others
declaring ^jj+++xvbg+=declaring
myself ^ppl+pp1+++=myself
guilty ^jj++++=guilty
of ^in++++=of
crimes ^nns++++=crimes
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
carefully ^rb++++=carefully
investigated ^vpsv++agls+xvbn+=investigated,
, ^zz++++=EXTRAWORD
proved ^vb+++xvbn+=proved
to ^to+vcmp+++=to
have ^vbi++vrb++=have
no ^at++++=no
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
physicians ^nns++++=physicians
called ^vbd+++xvbn+=called
these ^dt+dem+++=these
fancies ^nns++++=fancies
delirium ^nn+++??+=delirium.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
word ^nn++++=word
is ^vbz+bez+vrb++=is
no ^at++++=no
doubt ^nn++++=doubt
correct ^jj++++=correct;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
explains ^vbz+vpub+++=explains
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
enables ^vbz++++=enables
the ^ati++++=the
mind ^nn++++=mind
to ^in++++=to
label ^nn++++=label
the ^ati++++=the
drawer ^nn++++=drawer
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
mystery ^nn+nom+++=mystery
is ^vbz+bez+aux++=is
kept ^vpsv++agls+xvbnx+=kept.
. ^zz++++=EXTRAWORD
No ^at++++=No
letter ^nn++++=letter
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
upon ^in++++=upon
Julia ^np++++=Julia,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
any ^dti++++=any
message ^nn+nom+++=message
from ^in++++=from
John ^np++++=John.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poison ^nn++++=poison
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++by+xvbnx+=taken
by ^in++++=by
her ^pp$+pp3+++=her
own ^ap++++=own
hand ^nn++++=hand;
; ^zz++++=EXTRAWORD
the ^ati++++=the
shot ^nn+++xvbn+=shot
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fired ^vpsv++by+xvbnx+=fired
by ^in++++=by
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp3o+pp3+++=her
die ^vb++++=die,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
confessed ^vbd+vpub+tht0+xvbnx+=confessed
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
the ^ati++++=the
unknown ^jj+atrb+++=unknown
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
lane ^nn++++=lane
had ^vbd+hvd+aux++=had
driven ^vprf+++xvbnx+=driven
her ^pp3o+pp3+++=her
to ^in++++=to
the ^ati++++=the
act ^nn++++=act
these ^dt+dem+++=these
questions ^nns+nom+++=questions
remained ^vbd+++xvbn+=remained
unanswered ^jj++++=unanswered.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Margovan ^np+nom+++=Margovan,
, ^zz++++=EXTRAWORD
broken ^xvbn+++xvbn+=broken
by ^in++++=by
grief ^nn++++=grief,
, ^zz++++=EXTRAWORD
refused ^j+++xvbn+=refused
all ^abn++++=all
inquiry ^nn++++=inquiry
and ^cc++++=and
soon ^rb+tm+++=soon
afterward ^rb++++=afterward
left ^jj+++xvbn+=left
California ^np++++=California.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
Time ^nn++++=Time,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
all ^abn++++=all
things ^nns++++=things,
, ^zz++++=EXTRAWORD
explained ^j+++xvbn+=explained
only ^rb+down+++=only
that ^dt+dem+++=that
grief ^nn++++=grief
may ^md+pos+++=may
become ^vprf+++xvbn+=become
habitual ^jj++++=habitual
without ^in++++=without
becoming ^xvbg+++xvbg+=becoming
intelligible ^jj++++=intelligible.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
crossing ^vbg+++xvbgx+=crossing
Union ^nn++++=Union
Square ^nn++++=Square
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
rose ^vbd+++xvbn+=rose
from ^in++++=from
a ^at++++=a
bench ^nn++++=bench
and ^cc++++=and
confronted ^xvbn+++xvbn+=confronted
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place
was ^vbd+bedz+aux++=was
nearly ^rb+down+splt++=nearly
deserted ^vpsv++agls+xvbnx+=deserted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
trees ^nns++++=trees
moved ^vbd+++xvbn+=moved
restlessly ^rb++++=restlessly
in ^in++++=in
a ^at++++=a
cold ^jj+atrb+++=cold
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
recognized ^vbd+++xvbnx+=recognized
him ^pp3o+pp3+++=him
with ^in++++=with
difficulty ^nn++++=difficulty:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
man ^nn++++=man
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
followed ^vprf+++xvbnx+=followed
to ^in++++=to
the ^ati++++=the
secret ^nn++++=secret
meeting ^vwbg+++xvbg+=meeting.
. ^zz++++=EXTRAWORD
Dissipation ^np+nom++??+=Dissipation
had ^vbd+hvd+aux++=had
completed ^vprf+++xvbnx+=completed
its ^pp$+it+++=its
work ^nn++++=work.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
body ^nn++++=body
was ^vbd+bedz+aux++=was
bent ^vpsv++agls+xvbnx+=bent,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hair ^nn++++=hair
white ^nn++++=white
in ^in++++=in
patches ^nns++++=patches,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
lips ^nns++++=lips
tremulous ^jj++++=tremulous.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
burned ^vbd+++xvbn+=burned
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
hunted ^jj+++xvbn+=hunted
light ^jj++++=light.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
me ^pp1o+pp1+++=me
and ^cc++++=and
recoiled ^jj+++xvbn+=recoiled.
. ^zz++++=EXTRAWORD
" ^zz++++="John
john ^np++++=EXTRAWORD
Stevens ^np++++=Stevens!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
no ^at++++=no
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
dead ^jj+pred+++=dead."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
uttered ^vbd+++xvbnx+=uttered
a ^at++++=a
sound ^nn++++=sound
between ^in++++=between
a ^at++++=a
curse ^nn++++=curse
and ^cc++++=and
a ^at++++=a
sob ^nn++++=sob.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
drove ^vbd+++xvbn+=drove
her ^pp$+pp3+++=her
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
came ^vbd+++xvbn+=came
between ^in+ppvb+++=between
us ^pp1o+pp1+++=us
then ^rn+tm+++=then
you ^pp2+pp2+++=you
followed ^vbd+vprv++xvbn+=followed
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
demanded ^vbd+vsua++xvbnx+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
she ^pp3a+pp3+++=she
to ^in++++=to
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^in++++=At
Julia ^np++++=Julia's
's ^$++++=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
then ^rn+tm+++=then
spoke ^vbd+++xvbn+=spoke,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
his ^pp$+pp3+++=his
arm ^nn++++=arm
and ^cc++++=and
struck ^vprf+++xvbn+=struck
at ^rb++++=at
my ^pp$+pp1+++=my
face ^nn++++=face.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blow ^nn++++=blow
scarcely ^rb+down+++=scarcely
touched ^vbd+++xvbn+=touched
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
staggered ^vbd+++xvbnx+=staggered,
, ^zz++++=EXTRAWORD
clutched ^j+++xvbn+=clutched
his ^pp$+pp3+++=his
breast ^nn++++=breast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fell ^vbd+++xvbn+=fell
backward ^jj++++=backward
upon ^in++++=upon
the ^ati++++=the
pavement ^nn+nom+++=pavement.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
summoned ^vbd+++xvbnx+=summoned
assistance ^nn+nom+++=assistance,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
anyone ^pn++++=anyone
arrived ^vbd+++xvbn+=arrived
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
upon ^in++++=upon
him ^pp3o+pp3+++=him
established ^vbd+vprv++xvbn+=established
his ^pp$+pp3+++=his
identity ^nn+nom+++=identity.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
pockets ^nns++++=pockets
contained ^vbd+++xvbn+=contained
a ^rb++++=a
little ^rb"++++=little
money ^nn++++=money,
, ^zz++++=EXTRAWORD
a ^at++++=a
key ^nn++++=key
without ^in++++=without
a ^at++++=a
number ^nn++++=number
and ^cc++++=and
a ^at++++=a
scrap ^nn++++=scrap
of ^in++++=of
paper ^nn++++=paper
on ^in++++=on
which ^whp+rel+pied++=which
were ^vbd+bed+aux++=were
written ^vpsv++agls+xvbnx+=written
two ^cd++++=two
words ^nns++++=words,
, ^zz++++=EXTRAWORD
blurred ^j+++xvbn+=blurred
beyond ^in++++=beyond
certainty ^nn++++=certainty.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
" ^zz++++="Julia";
julia ^np++++=EXTRAWORD
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
" ^zz++++="John."
john ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
authorities ^nns+nom+++=authorities
recorded ^vbd+vpub++xvbn+=recorded
the ^ati++++=the
death ^nn++++=death
as ^in++++=as
heart ^nn++++=heart
failure ^nn++++=failure,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
medically ^rb++++=medically
sufficient ^jj+pred+++=sufficient.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
record ^vb++++=record
that ^tht+vcmp+++=that
terror ^nn++++=terror
had ^vbd+hvd+aux++=had
preceded ^vprf+++xvbnx+=preceded
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ask ^vb++++=ask
whether ^cs+who+++=whether
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
in ^in++++=in
me ^pp1o+pp1+++=me
only ^rb+down+++=only
a ^at++++=a
resemblance ^nn+nom+++=resemblance,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
the ^ati++++=the
dead ^nn++++=dead
for ^in++++=for
one ^cd1++++=one
instant ^jj++++=instant
looked ^jj+++xvbn+=looked
through ^in++++=through
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
can ^md+pos+++=can
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
Margovan ^np+nom+++=Margovan's
's ^$++++=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
John ^np++++=John
desired ^vbd+vsua++xvbn+=desired
the ^ati++++=the
address ^nns+nom+++=address,
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
the ^ati++++=the
stranger ^nn+nom+++=stranger,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
by ^in++++=by
what ^wdt+who+++=what
faculty ^nn++++=faculty
I ^pp1a+pp1+++=I
heard ^vbd+vprv+tht0+xvbnx+=heard
my ^pp$+pp1+++=my
brother ^nn++++=brother's
's ^vbz+bez+aux++0=EXTRAWORD
dying ^xvbg+++xvbg+=dying
appeal ^vb++++=appeal
across ^in+pl+++=across
half ^abn++++=half
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
between ^in++++=between
twins ^nns++++=twins
there ^ex+pex+++=there
exists ^vbz++++=exists
a ^at++++=a
channel ^nn++++=channel
which ^whp+rel+obj++=which
ordinary ^jj+atrb+++=ordinary
birth ^nn++++=birth
does ^vbz+doz+aux++=does
not ^xnot++not++=not
provide ^vb+vsua+++=provide;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
fear ^nn++++=fear
and ^cc++++=and
coincidence ^nn+nom+++=coincidence,
, ^zz++++=EXTRAWORD
acting ^vbg+++xvbg+=acting
upon ^in++++=upon
a ^at++++=a
disordered ^jj+atrb+++=disordered
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
constructed ^vprf+++xvbnx+=constructed
the ^ati++++=the
whole ^jj+atrb+++=whole
design ^nn++++=design
after ^in++++=after
the ^ati++++=the
event ^nn++++=event.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
submit ^vb+vpub+++=submit
the ^ati++++=the
facts ^nns++++=facts
not ^xnot++not++=not
the ^ati++++=the
interpretation ^nn+nom+++=interpretation.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
ruined ^jj+atrb++xvbn+=ruined
man ^nn++++=man's
's ^$++++=EXTRAWORD
declaration ^nn+nom+++=declaration
that ^tht+ncmp+obj++=that
John ^np++++=John
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
should ^md+nec+++=should
have ^vb+hv+aux++=have
reassured ^vprf+++xvbnx+=reassured
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
To ^to++++=To
know ^vbi+vprv+++=know
of ^in++++=of
a ^at++++=a
man ^nn++++=man
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
dead ^jj+pred+++=dead
should ^md+nec+++=should
be ^vb+be+vrb++=be
enough ^qlp++++=enough.
. ^zz++++=EXTRAWORD
your ^pp$+pp2+++=Your
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
**henry ^nn++++=**Henry
stevens** ^np++++=Stevens**
