# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Caught ^xvbn+++xvbn+=CAUGHT
least ^rb"++++=least
place ^nn++++=place
the ^ati++++=the
facts ^nns++++=facts
beyond ^in++++=beyond
dispute ^nn++++=dispute.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
thought ^vbd+++xvbn+=thought
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
occupied ^vbd+++xvbn+=occupied
the ^ati++++=the
fourth ^od++++=fourth
floor ^nn++++=floor
front ^jjb++++=front.
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay
was ^vbd+bedz+vrb++=was
an ^at++++=an
elderly ^jj+atrb+++=elderly
clerk ^nn++++=clerk
retired ^vbd+++xvbn+=retired
from ^in++++=from
an ^at++++=an
insurance ^nn+nom+++=insurance
office ^nn++++=office,
, ^zz++++=EXTRAWORD
a ^at++++=a
spare ^jj+atrb+++=spare,
, ^zz++++=EXTRAWORD
exact ^jj+atrb+++=exact
man ^nn++++=man
with ^in++++=with
white ^jj+atrb+++=white
whiskers ^nns+nom+++=whiskers
and ^cc++++=and
an ^at++++=an
almost ^rb+hdg+++=almost
religious ^jj+atrb+++=religious
respect ^nn++++=respect
for ^in++++=for
documents ^nns+nom+++=documents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
landlady ^nn++++=landlady
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
a ^at++++=a
miser ^nn++++=miser
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
counted ^vbd+++xvbnx+=counted
the ^ati++++=the
lumps ^nns++++=lumps
of ^in++++=of
coal ^nn++++=coal
delivered ^vwbn+++xvbn+=delivered
to ^in++++=to
his ^pp$+pp3+++=his
room ^nn++++=room,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Blake ^np++++=Blake
knew ^vbd+vprv++xvbn+=knew
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi++vrb++=be
honest ^jj+pred+++=honest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
serve ^vb++++=serve
admirably ^rb++++=admirably.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
ask ^vb++++=ask
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay
to ^to++++=to
come ^vbi++++=come
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
please ^uh++++=please."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+++=know
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
no ^at++++=no
one ^pn++++=one
in ^in++++=in
this ^dt+dem+++=this
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blake ^np++++=Blake
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
remained ^vbd+++xvbn+=remained
near ^in+pl+++=near
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face
still ^rb++++=still
turned ^vbd+++xvbn+=turned
obliquely ^rb++++=obliquely
from ^in++++=from
the ^ati++++=the
light ^nn++++=light.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
wait ^vb++++=wait
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in++++=EXTRAWORD
the ^ati++++=the
money ^nn++++=money
untouched ^jj++++=untouched?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Certainly."
certainly ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blake ^np++++=Blake
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
before ^cs+sub+++=before
opening ^xvbg+++xvbg+=opening
it ^pp3+it+++=it
looked ^vbd+++xvbn+=looked
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
visitor ^nn++++=visitor's
's ^vbz+bez+vrb++0=EXTRAWORD
right ^jj+atrb+++=right
hand ^nn++++=hand
rested ^vbd+++xvbn+=rested
upon ^in++++=upon
the ^ati++++=the
black ^jj+atrb+++=black
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
grey ^jj+atrb+++=grey
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm.
. ^zz++++=EXTRAWORD
A ^at++++=A
foolish ^jj+atrb+++=foolish
uneasiness ^nns+nom+++=uneasiness
touched ^vbd+++xvbn+=touched
Blake ^np++++=Blake.
. ^zz++++=EXTRAWORD
For ^in++++=For
an ^at++++=an
instant ^nn+nom+++=instant
he ^pp3a+pp3+++=he
considered ^vbd+vprv++xvbnx+=considered
calling ^vbg+nom++xvbg+=calling
the ^ati++++=the
landlady ^nn++++=landlady
instead ^rb+cnj+++=instead.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
woman ^nn++++=woman
would ^md+prd+++=would
see ^vb+vprv+++=see
ten ^cd++++=ten
thousand ^cd++++=thousand
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember
the ^ati++++=the
rent ^nn++++=rent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
become ^vb++++=become
a ^at++++=a
witness ^nns+nom+++=witness
whose ^whp+who+++=whose
enthusiasm ^nn++++=enthusiasm
might ^md+pos+++=might
impair ^vb++++=impair
her ^pp$+pp3+++=her
accuracy ^nn+nom+++=accuracy.
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay
was ^vbd+bedz+vrb++=was
better ^jjr+pred+++=better.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
stepped ^vbd+++xvbn+=stepped
into ^in++++=into
the ^ati++++=the
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hall ^nn++++=hall
gas ^nn++++=gas
burned ^vbd+++xvbn+=burned
low ^jj++++=low.
. ^zz++++=EXTRAWORD
Above ^rb++++=Above
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
narrow ^jj+atrb+++=narrow
staircase ^nn++++=staircase
bent ^vbd+++xvbn+=bent
into ^in++++=into
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
full ^jj++++=full
of ^in++++=of
footsteps ^nns++++=footsteps,
, ^zz++++=EXTRAWORD
coughs ^nns++++=coughs,
, ^zz++++=EXTRAWORD
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
unaccountably ^rb++++=unaccountably
still ^rb++++=still.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
dining ^jj+++xvbg+=dining-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
below ^in+pl+++=below
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smell ^nn++++=smell
of ^in++++=of
onions ^nns++++=onions
lingered ^vbd+++xvbn+=lingered,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
faintly ^rb+cnj+++=faintly,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
another ^dt++++=another
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
climbed ^vbd+++xvbnx+=climbed
the ^ati++++=the
stairs ^nns++++=stairs.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay's
's ^$++++=EXTRAWORD
door ^nn++++=door
stood ^vbd+++xvbn+=stood
slightly ^rb+down+++=slightly
open ^jj++++=open.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
unusual ^jj+pred+++=unusual.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
disliked ^vbd+++xvbn+=disliked
draughts ^nns++++=draughts
and ^cc++++=and
always ^rb++++=always
closed ^vbd+++xvbn+=closed
his ^pp$+pp3+++=his
door ^nn++++=door
with ^in++++=with
care ^nn++++=care.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
knocked ^vbd+++xvbn+=knocked.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
I ^pp1a+pp1+++=I
trouble ^nn++++=trouble
you ^pp2+pp2+++=you
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Silence ^nn+nom+++=Silence.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pushed ^vbd+++xvbnx+=pushed
the ^ati++++=the
door ^nn++++=door
wider ^jjr++++=wider.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
only ^rb+down+++=only
the ^ati++++=the
lamp ^nn++++=lamp
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table
and ^cc++++=and
the ^ati++++=the
familiar ^jj+atrb+++=familiar
black ^jj+atrb+++=black
furniture ^nn++++=furniture.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
the ^ati++++=the
floor ^nn++++=floor
between ^in++++=between
the ^ati++++=the
bed ^nn++++=bed
and ^cc++++=and
the ^ati++++=the
fireplace ^nn++++=fireplace.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
doubled ^vpsv++agls+xvbnx+=doubled
beneath ^rb++++=beneath
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
reached ^jj+++xvbn+=reached
toward ^in++++=toward
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fingers ^nns+nom+++=fingers
curved ^jj++++=curved
as ^cs+sub+++=as
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
last ^rb++++=last
attempt ^nn++++=attempt
to ^to+ncmp+++=to
grasp ^vbi+vprv+++=grasp
the ^ati++++=the
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
white ^jj+atrb+++=white
whiskers ^nns+nom+++=whiskers
were ^vbd+bed+aux++=were
stained ^vpsv++agls+xvbnx+=stained
darkly ^rb++++=darkly.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
his ^pp$+pp3+++=his
throat ^nn++++=throat
ran ^vbd+++xvbn+=ran
a ^at++++=a
great ^jj++++=great
red ^jj++++=red
wound ^xvbn+++xvbn+=wound.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
could ^md+pos+++=could
not ^xnot++not++=not
move ^vb++++=move.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lamp ^nn++++=lamp
burned ^vbd+++xvbn+=burned
with ^in++++=with
a ^at++++=a
steady ^jj+atrb+++=steady
flame ^nn++++=flame.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
beside ^in+pl+++=beside
the ^ati++++=the
body ^nn++++=body
glistened ^vbd+++xvbn+=glistened.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
had ^vbd+hvd+aux++=had
flowed ^vprf+++xvbnx+=flowed
across ^in+pl+++=across
the ^ati++++=the
polished ^jj+atrb+++=polished
floor ^nn++++=floor
and ^cc++++=and
gathered ^vpsv++agls+xvbn+=gathered
in ^in++++=in
the ^ati++++=the
cracks ^nns++++=cracks.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
soaked ^vprf+++xvbnx+=soaked
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
collar ^nn++++=collar
and ^cc++++=and
spread ^vpsv++agls+xvbn+=spread
upon ^in++++=upon
his ^pp$+pp3+++=his
shirt ^nn++++=shirt.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
more ^rbr++++=more
terrible ^jj++++=terrible
than ^in++++=than
the ^ati++++=the
wound ^nn+++xvbn+=wound,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
more ^rbr++++=more
inexplicable ^jj++++=inexplicable,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
the ^ati++++=the
dollar ^nn++++=dollar
bills ^nns++++=bills.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lay ^vbd+++xvbnx+=lay
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
notes ^nns++++=notes
were ^vbd+bed+aux++=were
scattered ^vpsv++agls+xvbnx+=scattered
over ^in++++=over
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
dead ^jj+atrb+++=dead
man ^nn++++=man's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
into ^in+ppvb+++=into
the ^ati++++=the
blood ^nn++++=blood
and ^cc++++=and
were ^vbd+bed+aux++=were
curling ^nvbg+++xvbg+=curling
at ^rb++++=at
the ^ati++++=the
edges ^nns++++=edges.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
clung ^vbd+++xvbn+=clung
obscenely ^rb++++=obscenely
to ^in++++=to
Barclay ^np++++=Barclay's
's ^$++++=EXTRAWORD
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
flung ^vpsv++agls+xvbnx+=flung
over ^rp++++=over
him ^pp3o+pp3+++=him
in ^in++++=in
handfuls ^nns+nom+++=handfuls.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake's
's ^$++++=EXTRAWORD
breath ^nn++++=breath
came ^vbd+++xvbn+=came
in ^in++++=in
a ^at++++=a
whisper ^nn++++=whisper.
. ^zz++++=EXTRAWORD
" ^zz++++="Murdered!"
murdered ^vwbn+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knelt ^vbd+++xvbnx+=knelt,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
drew ^vbd+++xvbn+=drew
back ^jjb++++=back
before ^in++++=before
touching ^xvbg+++xvbg+=touching
the ^ati++++=the
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Barclay ^np++++=Barclay
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead;
; ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt
could ^md+pos+++=could
exist ^vb++++=exist.
. ^zz++++=EXTRAWORD
The ^ati++++=The
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
partly ^rb+down+++=partly
open ^jj+pred+++=open,
, ^zz++++=EXTRAWORD
fixed ^j+++xvbn+=fixed
upon ^in++++=upon
the ^ati++++=the
ceiling ^nn+nom+++=ceiling
with ^in++++=with
an ^at++++=an
expression ^nn++++=expression
of ^in++++=of
mild ^jj+atrb+++=mild
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
warmth ^nn++++=warmth
still ^rb+atrb+++=still
rose ^nn+++xvbn+=rose
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
murder ^nn++++=murder
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
committed ^vpsv++agls+xvbnx+=committed
only ^rb+down+++=only
moments ^nns+nom+++=moments
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn+nom+++=stranger!
! ^zz++++=EXTRAWORD
Blake ^np++++=Blake
sprang ^vbd+++xvbn+=sprang
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
had ^vbd+hvd+aux++=had
declared ^vprf+++xvbnx+=declared
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
no ^at++++=no
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
carrying ^vbg+++xvbg+=carrying
money ^nn++++=money
new ^jj+atrb+++=new
notes ^nns++++=notes
like ^in++++=like
these ^dt+pdem+++=these.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
suggested ^vprf+++xvbnx+=suggested
a ^at++++=a
witness ^nns+nom+++=witness.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
he ^pp3a+pp3+++=he
known ^vbd+vprv++xvbnx+=known
that ^tht+vcmp+++=that
Blake ^np++++=Blake
would ^md+prd+++=would
select ^vb++++=select
Barclay ^np++++=Barclay?
? ^zz++++=EXTRAWORD
Impossible ^jj++++=Impossible.
. ^zz++++=EXTRAWORD
Unless ^cs+cnd+++=Unless
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
himself ^ppl+pp3+++=himself
sent ^vbd+++xvbn+=sent
Blake ^np++++=Blake
upstairs ^jjb++++=upstairs
for ^in++++=for
the ^ati++++=the
deliberate ^jj+atrb+++=deliberate
purpose ^nn++++=purpose
of ^in++++=of
making ^xvbg+++xvbg+=making
him ^pp3o+pp3+++=him
discover ^nn+nom+++=discover
the ^ati++++=the
body ^nn++++=body.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
why ^wrb+who+++=why?
? ^zz++++=EXTRAWORD
A ^at++++=A
sound ^nn++++=sound
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
Blake ^np++++=Blake
ran ^vbd+++xvbn+=ran
from ^in++++=from
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
staircase ^nn++++=staircase,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
along ^in++++=along
the ^ati++++=the
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hand ^nn++++=hand
slipped ^vbd+++xvbn+=slipped
upon ^in++++=upon
the ^ati++++=the
knob ^nn++++=knob
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
handle ^nn++++=handle
felt ^vbd+vprv++xvbn+=felt
wet ^jj++++=wet
and ^cc+phrs+++=and
sticky ^jj++++=sticky,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
his ^pp$+pp3+++=his
agitation ^nn+nom+++=agitation
he ^pp3a+pp3+++=he
scarcely ^rb+down+++=scarcely
noticed ^vbd+vprv+tht0+xvbn+=noticed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
burst ^vbd+++xvbnx+=burst
into ^in+ppvb+++=into
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^jjr++++=stranger
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished.
. ^zz++++=EXTRAWORD
The ^ati++++=The
black ^jj+atrb+++=black
bag ^nn++++=bag
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
The ^ati++++=The
packets ^nns++++=packets
of ^in++++=of
notes ^nns++++=notes
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared
from ^in++++=from
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
The ^ati++++=The
receipt ^nn++++=receipt
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
torn ^vpsv++agls+xvbnx+=torn
across ^in+pl+++=across
and ^cc++++=and
cast ^vpsv++agls+xvbn+=cast
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="Hallo!"
hallo ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Blake ^np++++=Blake
cried ^vbd+++xvbn+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
there ^rn+pl+++=there!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
answer ^nn++++=answer
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
passage ^nn+nom+++=passage.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rushed ^vbd+++xvbnx+=rushed
to ^in++++=to
the ^ati++++=the
window ^nn++++=window
and ^cc++++=and
looked ^vbd+++xvbn+=looked
down ^rp++++=down.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shaft ^nn++++=shaft
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty
except ^in++++=except
for ^in"++++=for
shirts ^nns++++=shirts
swaying ^vwbg+++xvbg+=swaying
upon ^in++++=upon
a ^at++++=a
line ^nn++++=line.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
closet ^nn++++=closet.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
three ^cd++++=three
coats ^nns++++=coats
hung ^vbd+++xvbn+=hung
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
beneath ^in+pl+++=beneath
the ^ati++++=the
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
an ^at++++=an
action ^nn++++=action
at ^rb++++=at
once ^rb"+tm+++=once
instinctive ^jj++++=instinctive
and ^cc+phrs+++=and
absurd ^jj++++=absurd;
; ^zz++++=EXTRAWORD
no ^at++++=no
man ^nn++++=man
could ^md+pos+++=could
have ^vb+hv+aux++=have
concealed ^vprf+++xvbnx+=concealed
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
few ^ap++++=few
inches ^nns++++=inches
between ^in++++=between
the ^ati++++=the
springs ^nns++++=springs
and ^cc++++=and
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
gloves ^nns++++=gloves.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lay ^vbd+++xvbnx+=lay
near ^in+pl+++=near
the ^ati++++=the
stove ^nn++++=stove:
: ^zz++++=EXTRAWORD
two ^cd++++=two
grey ^jj+atrb+++=grey
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
crumpled ^j+++xvbn+=crumpled
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
dark ^jj+atrb+++=dark
stains ^nns++++=stains.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood.
. ^zz++++=EXTRAWORD
Close ^jj++++=Close
beside ^in+pl+++=beside
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
a ^at++++=a
butcher ^nn++++=butcher's
's ^$++++=EXTRAWORD
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
broad ^jj+atrb+++=broad
blade ^nn++++=blade
was ^vbd+bedz+vrb++=was
wet ^jj+pred+++=wet
and ^cc+phrs+++=and
red ^jj++++=red.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
at ^rb++++=at
the ^ati++++=the
point ^nn++++=point
and ^cc++++=and
fallen ^vprf+++xvbn+=fallen
in ^in++++=in
a ^at++++=a
round ^in++++=round
drop ^nn++++=drop
upon ^in++++=upon
Blake ^np++++=Blake's
's ^$++++=EXTRAWORD
discarded ^vbd+++xvbn+=discarded
manuscript ^nn++++=manuscript.
. ^zz++++=EXTRAWORD
The ^ati++++=The
handle ^nn++++=handle
was ^vbd+bedz+aux++=was
wrapped ^vpsv++agls+xvbnx+=wrapped
with ^in++++=with
cord ^nn++++=cord.
. ^zz++++=EXTRAWORD
The ^ati++++=The
knife ^nn++++=knife
looked ^vbd+++xvbn+=looked
heavy ^jj++++=heavy
enough ^qlp++++=enough
to ^to++++=to
cut ^vbi++++=cut
through ^in++++=through
bone ^nn++++=bone.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
seconds ^nns++++=seconds
Blake ^np++++=Blake
stood ^vbd+++xvbn+=stood
without ^in++++=without
thought ^nn+++xvbn+=thought.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
thought ^vbd+++xvbn+=thought
returned ^vbd+++xvbn+=returned
upon ^in++++=upon
him ^pp3o+pp3+++=him
in ^in++++=in
