# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Little ^ap++++=Little
of ^in++++=of
red ^jj+atrb+++=red
shoes ^nns++++=shoes
from ^in++++=from
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
useful ^jj+atrb+++=useful
things ^nns++++=things
and ^cc++++=and
left ^vbd+++xvbn+=left
the ^ati++++=the
ribbons ^nns++++=ribbons
folded ^vbd+++xvbn+=folded
on ^in++++=on
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
tried ^vbd+++xvbnx+=tried
the ^ati++++=the
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
them ^pp3o+pp3+++=them
tight ^jj++++=tight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
them ^pp3o+pp3+++=them
to ^in++++=to
her ^pp3o+pp3+++=her
sister ^npt++++=sister.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
wounded ^jj+++xvbn+=wounded
him ^pp3o+pp3+++=him
more ^rbr++++=more
deeply ^rb++++=deeply
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
admitted ^vbd+vpub++xvbnx+=admitted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
pair ^nn++++=pair
was ^vbd+bedz+vrb++=was
brown ^jj+pred+++=brown,
, ^zz++++=EXTRAWORD
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fitted ^jj+++xvbn+=fitted
her ^pp3o+pp3+++=her
perfectly ^rb+amp+++=perfectly.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
feeling ^xvbg+++xvbg+=feeling
grew ^vbd+++xvbn+=grew
without ^in++++=without
receiving ^xvbg+++xvbg+=receiving
nourishment ^nn+nom+++=nourishment.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
fed ^vbd+++xvbn+=fed
upon ^in++++=upon
refusals ^nns+nom+++=refusals,
, ^zz++++=EXTRAWORD
silences ^nns+nom+++=silences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brief ^jj+atrb+++=brief
meetings ^nns++++=meetings.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Az ^np+++??+=Az
lie ^nn++++=lie
smiled ^vbd+++xvbn+=smiled
at ^in++++=at
something ^pn++++=something
her ^pp3o+pp3+++=her
brother ^npt++++=brother
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
remembered ^vbd+vprv++xvbn+=remembered
the ^ati++++=the
smile ^nn++++=smile
all ^abn++++=all
day ^nn++++=day,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
meant ^vpsv++agls+xvbnx+=meant
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
she ^pp3a+pp3+++=she
disappeared ^vbd+seem++xvbnx+=disappeared
into ^in++++=into
the ^ati++++=the
cotton ^nn++++=cotton
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
pickers ^nns+nom+++=pickers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moving ^jj+atrb++xvbg+=moving
white ^jj+atrb+++=white
sacks ^nns++++=sacks
and ^cc++++=and
sunbonnets ^nns+++??+=sunbonnets
tormented ^vbd+++xvbn+=tormented
him ^pp3o+pp3+++=him
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
distinguish ^vb++++=distinguish
hers ^pp$$++++=hers
among ^in++++=among
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
became ^vbd+++xvbnx+=became
alternately ^rb++++=alternately
generous ^jj++++=generous
and ^cc+phrs+++=and
severe ^jj++++=severe.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
evening ^nn++++=evening
he ^pp3a+pp3+++=he
reproached ^vbd+++xvbnx+=reproached
her ^pp$+pp3+++=her
for ^in++++=for
taking ^xvbg+++xvbg+=taking
sugar ^nn++++=sugar
from ^in++++=from
the ^ati++++=the
store ^nn++++=store
on ^in++++=on
the ^ati++++=the
night ^nn++++=night
of ^in++++=of
the ^ati++++=the
break ^vb++++=break-in.
- ^zz++++=EXTRAWORD
in ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
needed ^vpsv++agls+xvbn+=needed
sugar ^nn++++=sugar."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ma
ma ^npt++++=EXTRAWORD
wanted ^vbd+++xvbn+=wanted
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
ai ^nn+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
as ^ql++++=as
needin ^vb+++??+=needin'."
'." ^nn+++??+=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
wanted ^vbd+++xvbnx+=wanted
coffee ^nn++++=coffee,
, ^zz++++=EXTRAWORD
too ^rb++++=too."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
don ^npt++++=don'
' ^zz++++=EXTRAWORD
understand ^vb+vprv+++=understand
right ^jj+atrb+++=right
f ^zz++++=f'om
'om ^nn+++??+=EXTRAWORD
wrong ^jj++++=wrong."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
take ^vb++++=take
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="After
after ^cs+sub+++=EXTRAWORD
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
on ^in++++=on
the ^ati++++=the
cabin ^nn++++=cabin
step ^nn++++=step,
, ^zz++++=EXTRAWORD
shelling ^nn+nom+++=shelling
peas ^nns++++=peas
into ^in++++=into
a ^at++++=a
basin ^nn++++=basin.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
fingers ^nns+nom+++=fingers
moved ^vbd+++xvbn+=moved
steadily ^rb++++=steadily.
. ^zz++++=EXTRAWORD
" ^zz++++="Don'
don ^npt++++=EXTRAWORD
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
bad ^jj++++=bad
when ^wrb+who+++=when
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ought ^md+nec+++=ought
to ^in+strn+++=to."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
wrong ^jj+pred+++=wrong."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
give ^vb++++=give
us ^pp1o+pp1+++=us
all ^abn++++=all
them ^pp3o+pp3+++=them
same ^ap++++=same
things ^nns++++=things
now ^rn+tm+++=now."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
different ^jj++++=different."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How?"
how ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
explain ^vb+vpub+++=explain
the ^ati++++=the
difference ^nn+nom+++=difference
without ^in++++=without
confessing ^xvbg+++xvbg+=confessing
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
conceal ^vbi++++=conceal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
her ^pp$+pp3+++=her
to ^to++++=to
understand ^vbi+vprv+++=understand
that ^tht+vcmp+++=that
theft ^nn++++=theft
from ^in++++=from
the ^ati++++=the
store ^nn++++=store
was ^vbd+bedz+vrb++=was
wrong ^jj+pred+++=wrong,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
taking ^vbg+++xvbg+=taking
gifts ^nns++++=gifts
from ^in++++=from
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right;
; ^zz++++=EXTRAWORD
that ^dt+dem+++=that
dependence ^nn+nom+++=dependence
upon ^in++++=upon
the ^ati++++=the
plantation ^nn+nom+++=plantation
degraded ^jj++++=degraded
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
dependence ^nn+nom+++=dependence
upon ^in++++=upon
him ^pp3o+pp3+++=him
might ^md+pos+++=might
elevate ^nn+nom+++=elevate
them ^pp3o+pp3+++=them
both ^abx++++=both.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distinction ^nn+nom+++=distinction,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
and ^cc+phrs+++=and
honorable ^jj++++=honorable
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
no ^at++++=no
convincing ^jj+atrb+++=convincing
words ^nns++++=words.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
moral ^jj+atrb+++=moral
sense ^nn++++=sense,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
emptied ^vbd+++xvbn+=emptied
the ^ati++++=the
peas ^nns++++=peas
into ^in++++=into
her ^pp$+pp3+++=her
apron ^nn++++=apron
and ^cc++++=and
rose ^nn+++xvbn+=rose.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
watched ^vbd+++xvbnx+=watched
her ^pp$+pp3+++=her
go ^vb++++=go
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
furious ^jj++++=furious
with ^in++++=with
her ^pp$+pp3+++=her
and ^cc++++=and
with ^in++++=with
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
By ^in++++=By
September ^nr+nom+++=September
everyone ^pn++++=everyone
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
The ^ati++++=The
women ^nns++++=women
at ^in++++=at
the ^ati++++=the
quarters ^nns+nom+++=quarters
laughed ^vbd+++xvbn+=laughed
when ^wrb+who+++=when
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
approached ^vbd+++xvbn+=approached.
. ^zz++++=EXTRAWORD
Baptiste ^np+++??+=Baptiste,
, ^zz++++=EXTRAWORD
waking ^vbg+++xvbg+=waking
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
observe ^vbi+vprv+++=observe
him ^pp3o+pp3+++=him
polish ^jj++++=polish
his ^pp$+pp3+++=his
boots ^nns++++=boots
before ^in++++=before
visiting ^xvbg+++xvbg+=visiting
the ^ati++++=the
far ^rb+pl+++=far
cabin ^nn++++=cabin,
, ^zz++++=EXTRAWORD
asked ^j+++xvbn+=asked
whether ^cs+who+++=whether
the ^ati++++=the
governor ^nn++++=governor
was ^vbd+bedz+aux++=was
expected ^vpsv++agls+xvbnx+=expected.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing
for ^in++++=for
several ^ap++++=several
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
afternoon ^nn++++=afternoon
when ^wrb+who+++=when
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
requested ^vbd+vsua++xvbn+=requested
a ^at++++=a
day ^nn++++=day
in ^in++++=in
town ^nn++++=town,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked:
: ^zz++++=EXTRAWORD
" ^zz++++="Buy
buy ^vb++++=EXTRAWORD
something ^pn++++=something
sensible ^jj++++=sensible.
. ^zz++++=EXTRAWORD
A ^at++++=A
ring ^nn++++=ring
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
small ^jj++++=small
for ^in++++=for
the ^ati++++=the
price ^nn++++=price."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
stared ^vbd+++xvbn+=stared.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
buyin ^nn+++??+=buyin'
' ^zz++++=EXTRAWORD
a ^at++++=a
ring ^nn++++=ring?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
one ^pn++++=one.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+aux++=do,
, ^zz++++=EXTRAWORD
choose ^vb++++=choose
a ^at++++=a
good ^jj+atrb+++=good
one ^pn++++=one.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
girls ^nns++++=girls
know ^vb+vprv+++=know
gold ^nn++++=gold."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
not ^xnot++not++=not."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin's
's ^$++++=EXTRAWORD
agreement ^nn+nom+++=agreement
sounded ^vbd+++xvbn+=sounded
worse ^jjr++++=worse
than ^in++++=than
disbelief ^nn++++=disbelief.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^vb+++??+=EXTRAWORD
bought ^vbd+++xvbn+=bought
the ^ati++++=the
ring ^nn++++=ring.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
thin ^jj+atrb+++=thin
band ^nn++++=band
set ^vbd+++xvbn+=set
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
red ^jj+atrb+++=red
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
it ^pp3+it+++=it
for ^in++++=for
twelve ^cd++++=twelve
days ^nns++++=days
before ^in++++=before
showing ^xvbg+++xvbg+=showing
it ^pp3+it+++=it
to ^in++++=to
Az ^np+++??+=Az
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
By ^in++++=By
then ^rn+tm+++=then
the ^ati++++=the
cotton ^np++++=cotton
stood ^vbd+++xvbn+=stood
open ^jj++++=open
under ^in++++=under
a ^at++++=a
bleached ^jj+atrb++xvbn+=bleached
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fields ^nns++++=fields
were ^vbd+bed+vrb++=were
busy ^jj+pred+++=busy
from ^in++++=from
dawn ^nn++++=dawn
until ^cs+sub+++=until
the ^ati++++=the
light ^nn++++=light
failed ^vbd+++xvbn+=failed.
. ^zz++++=EXTRAWORD
Wagons ^nns++++=Wagons
creaked ^vbd+++xvbn+=creaked
toward ^in++++=toward
the ^ati++++=the
gin ^nn++++=gin,
, ^zz++++=EXTRAWORD
piled ^j+++xvbn+=piled
high ^jj++++=high
with ^in++++=with
white ^jj++++=white,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
loose ^jj+atrb+++=loose
fibers ^nn++++=fibers
caught ^vbd+++xvbn+=caught
upon ^in++++=upon
weeds ^nns++++=weeds
and ^cc++++=and
fence ^nn++++=fence
rails ^nns++++=rails.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evenings ^nns++++=evenings
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
cooler ^jjr+pred+++=cooler,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
smoke ^nn++++=smoke
from ^in++++=from
cooking ^xvbg+++xvbg+=cooking
fires ^nns++++=fires
remained ^vbd+++xvbn+=remained
low ^jj++++=low
among ^in++++=among
the ^ati++++=the
cabins ^nns++++=cabins.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv+tht0+xvbnx+=found
Az ^np+++??+=Az
lie ^vb++++=lie
alone ^rb++++=alone
near ^in+pl+++=near
the ^ati++++=the
bayou ^nn+++??+=bayou,
, ^zz++++=EXTRAWORD
washing ^nvbg+++xvbg+=washing
mud ^nn++++=mud
from ^in++++=from
a ^at++++=a
pail ^nn++++=pail.
. ^zz++++=EXTRAWORD
Cypress ^nns+nom+++=Cypress
shadows ^nns++++=shadows
lay ^vbd+++xvbn+=lay
long ^jj++++=long
upon ^in++++=upon
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
away ^rp+pl+++=away
soon ^rb+tm+++=soon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
we ^pp1a+pp1+++=we
finish ^vb++++=finish."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
soon ^rb+tm+++=soon?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pa
pa ^npt++++=EXTRAWORD
say ^vb+vpub+++=say
two ^cd++++=two
weeks ^nns++++=weeks."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
go ^vbi++++=go?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
rehearsed ^jj++++=rehearsed
a ^at++++=a
speech ^nn++++=speech
in ^in++++=in
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
would ^md+prd+++=would
describe ^vb++++=describe
the ^ati++++=the
security ^nn+nom+++=security
he ^pp3a+pp3+++=he
offered ^vbd+++xvbnx+=offered:
: ^zz++++=EXTRAWORD
a ^at++++=a
proper ^jj+atrb+++=proper
house ^nn++++=house,
, ^zz++++=EXTRAWORD
regular ^jj+atrb+++=regular
money ^nn++++=money,
, ^zz++++=EXTRAWORD
clean ^jj+atrb+++=clean
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
freedom ^nn+nom+++=freedom
from ^in++++=from
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
debts ^nns++++=debts.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
her ^pp3o+pp3+++=her
single ^jj+atrb+++=single
word ^nn++++=word
the ^ati++++=the
speech ^nn++++=speech
scattered ^vbd+++xvbn+=scattered.
. ^zz++++=EXTRAWORD
" ^zz++++="Stay
stay ^vb++++=EXTRAWORD
yere ^nn+++??+=yere,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
pail ^nn++++=pail.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ca ^np++++=can't."
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why?"
why ^wrb+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mean ^vb+vprv+tht0++=mean
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
stay ^vb++++=stay."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
myself ^ppl+pp1+++=myself?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="With
with ^in++++=EXTRAWORD
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
dipped ^vbd+++xvbnx+=dipped
the ^ati++++=the
pail ^nn++++=pail
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
flashed ^vbd+++xvbn+=flashed
at ^in++++=at
its ^pp$+it+++=its
rim ^nn++++=rim.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbnx+=got
work ^nn++++=work,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
went ^vbd+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Mathurin ^np++++=Mathurin
trusts ^nns++++=trusts
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
money ^nn++++=money
saved ^vwbn+++xvbn+=saved.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
get ^vb++++=get
a ^at++++=a
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
in ^in++++=in
the ^ati++++=the
quarters ^nns+nom+++=quarters.
. ^zz++++=EXTRAWORD
A ^at++++=A
good ^jj+atrb+++=good
house ^nn++++=house,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
gallery ^nn+nom+++=gallery."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
scrubbed ^vbd+++xvbn+=scrubbed
at ^rb++++=at
a ^at++++=a
dark ^nn++++=dark
mark ^vb++++=mark
with ^in++++=with
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
sand ^nn++++=sand.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
anything ^pn++++=anything,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
know ^vb+vprv+tht0++=know
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
that ^dt+dem+++=that
night ^nn++++=night,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
give ^vb++++=give
you ^pp2+pp2+++=you
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
you ^pp2+pp2+++=you
would ^md+prd+++=would."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words,
, ^zz++++=EXTRAWORD
spoken ^j+++xvbn+=spoken
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
both ^abx++++=both
inadequate ^jj++++=inadequate
and ^cc+phrs+++=and
shameful ^jj++++=shameful.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
repeated ^vbd+++xvbnx+=repeated
them ^pp3o+pp3+++=them
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
others ^aps++++=others.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
love ^nn++++=love
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
troubled ^vbd+++xvbn+=troubled,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
softened ^jj+++xvbn+=softened.
. ^zz++++=EXTRAWORD
