**the ^nn+++??+=**THE
Last ^rb++++=LAST
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
myself ^ppl+pp1+++=myself?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Who ^whp+rel+subj++=Who
else ^rb+cnj+++=else
hath ^vbz+hvz+aux++=hath
walked ^vprf+++xvbnx+=walked
through ^in++++=through
every ^at++++=every
chamber ^nn++++=chamber
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
humanity ^nn+nom+++=humanity?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
spoke ^vbd+++xvbn+=spoke
with ^in++++=with
slave ^nn++++=slave
and ^cc++++=and
Caesar ^np++++=Caesar,
, ^zz++++=EXTRAWORD
patriarch ^nn++++=patriarch
and ^cc++++=and
atheist ^nn+nom+++=atheist,
, ^zz++++=EXTRAWORD
harlot ^nn+++??+=harlot
and ^cc++++=and
saint ^nn++++=saint?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
knows ^vbz+vprv+++=knows
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
roads ^nns++++=roads
and ^cc++++=and
the ^ati++++=the
graves ^np++++=graves
to ^to++++=to
which ^whp+who+++=which
they ^pp3a+pp3+++=they
lead ^vb++++=lead?
? ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
shalt ^md++++=shalt
be ^vb+be+vrb++=be
the ^ati++++=the
bridge ^nn++++=bridge
between ^in++++=between
the ^ati++++=the
buried ^jj+atrb++xvbn+=buried
race ^nn++++=race
and ^cc++++=and
the ^ati++++=the
race ^nn++++=race
unborn ^jj++++=unborn.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
A ^at++++=A
bridge ^nn++++=bridge?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
A ^at++++=A
living ^jj+++xvbg+=living
bridge ^npl++++=bridge.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Speak ^vb++++=Speak
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
As ^ql++++=As
Hercules ^np+++??+=Hercules
once ^rb+tm+++=once
delivered ^vbd+++xvbn+=delivered
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
eagle ^nn++++=eagle,
, ^zz++++=EXTRAWORD
so ^ql++++=so
shalt ^md++++=shalt
thou ^pp2+pp2+++=thou
deliver ^vb++++=deliver
me ^pp1o+pp1+++=me
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
art ^nn++++=art
thou ^pp2+pp2+++=thou
the ^ati++++=the
new ^jj+atrb+++=new
Hercules ^np+++??+=Hercules
not ^xnot++not++=not
mighty ^jj++++=mighty
in ^in++++=in
sinew ^nn+++??+=sinew,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
mighty ^jj++++=mighty
in ^in++++=in
duration ^nn+nom+++=duration.
. ^zz++++=EXTRAWORD
Together ^nn+nom+++=Together
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
descend ^vb++++=descend
when ^wrb+who+++=when
the ^ati++++=the
rocks ^nns++++=rocks
divide ^vb++++=divide.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
shape ^vb++++=shape
the ^ati++++=the
bodies ^nns++++=bodies
of ^in++++=of
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
people ^nns++++=people;
; ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
shalt ^md++++=shalt
instruct ^vb++++=instruct
their ^pp$+pp3+++=their
souls ^nns++++=souls.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Speak ^vb++++=Speak
on ^in+strn+++=on!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
They ^pp3a+pp3+++=They
shall ^md+prd+++=shall
gather ^vb+vprv+++=gather
about ^in++++=about
thee ^pp2+pp2+++=thee
at ^in++++=at
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^nn++++=young
shall ^md+prd+++=shall
touch ^vb++++=touch
thy ^pp$+pp2+++=thy
garment ^nn+nom+++=garment
and ^cc++++=and
marvel ^vb++++=marvel
that ^cs+sub+++=that
eyes ^vbz++++=eyes
so ^rb+emph+++=so
ancient ^jj++++=ancient
still ^rb++++=still
contain ^vb++++=contain
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
shalt ^md++++=shalt
recount ^vb++++=recount
the ^ati++++=the
vanished ^jj+atrb++xvbn+=vanished
seas ^nns++++=seas,
, ^zz++++=EXTRAWORD
the ^ati++++=the
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
swans ^nn++++=swans
upon ^in++++=upon
blue ^jj+atrb+++=blue
water ^nn++++=water,
, ^zz++++=EXTRAWORD
the ^ati++++=the
swallows ^nns+++??+=swallows
beneath ^in+pl+++=beneath
the ^ati++++=the
eaves ^nns++++=eaves.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
shalt ^md++++=shalt
tell ^vb++++=tell
of ^in++++=of
music ^nn++++=music,
, ^zz++++=EXTRAWORD
of ^in++++=of
lovers ^nns++++=lovers
meeting ^vwbg+++xvbg+=meeting
beneath ^in+pl+++=beneath
almond ^nn++++=almond
blossoms ^nns+++??+=blossoms,
, ^zz++++=EXTRAWORD
of ^in++++=of
ships ^nns++++=ships
returning ^vwbg+++xvbg+=returning
with ^in++++=with
lamps ^nns++++=lamps
upon ^in++++=upon
their ^pp$+pp3+++=their
masts ^nns+++??+=masts.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
such ^abl++++=such
things ^nns++++=things.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou
seest ^jjt++++=seest?
? ^zz++++=EXTRAWORD
Already ^rb++++=Already
memory ^nn++++=memory
changes ^nns++++=changes
from ^in++++=from
burden ^nn++++=burden
into ^in++++=into
treasure ^nn++++=treasure.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
shall ^md+prd+++=shall
they ^pp3a+pp3+++=they
suffer ^vb++++=suffer?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Not ^xnot++not++=Not
as ^in++++=as
the ^ati++++=the
old ^jj+atrb+++=old
race ^nn++++=race
suffered ^vbd+++xvbn+=suffered.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Shall ^md+prd+++=Shall
they ^pp3a+pp3+++=they
deceive ^vb++++=deceive?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
They ^pp3a+pp3+++=They
shall ^md+prd+++=shall
know ^vb+vprv+++=know
truth ^nn++++=truth
as ^in++++=as
naturally ^rb++++=naturally
as ^ql++++=as
birds ^nns++++=birds
know ^vb+vprv+++=know
the ^ati++++=the
south ^np+pl+++=south.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Shall ^md+prd+++=Shall
they ^pp3a+pp3+++=they
grow ^vb++++=grow
old ^jj++++=old?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Slowly ^rb+cnj+++=Slowly,
, ^zz++++=EXTRAWORD
beautifully ^rb+cnj+++=beautifully,
, ^zz++++=EXTRAWORD
without ^in++++=without
terror ^nn++++=terror.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou
shalt ^md++++=shalt
not ^xnot++not++=not
grow ^vb++++=grow
old ^jj++++=old
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
remain ^vb++++=remain?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Forever ^rb++++=Forever.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Forever ^rb++++=Forever!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Their ^pp$+pp3+++=Their
counselor ^nn++++=counselor
in ^in++++=in
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
judge ^nn++++=judge
in ^in++++=in
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
guardian ^nn++++=guardian
against ^in++++=against
the ^ati++++=the
buried ^jj+atrb++xvbn+=buried
errors ^nns++++=errors
of ^in++++=of
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Their ^pp$+pp3+++=Their
guardian ^nn++++=guardian?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Their ^pp$+pp3+++=Their
king ^nn++++=king.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
King ^npt++++=King!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Not ^xnot++not++=Not
king ^nn++++=king
by ^in++++=by
sword ^nn++++=sword
or ^cc++++=or
inherited ^jj+atrb++xvbn+=inherited
jewel ^nn++++=jewel,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
suffering ^xvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
scar ^nn++++=scar
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
a ^at++++=a
province ^nn++++=province;
; ^zz++++=EXTRAWORD
every ^at++++=every
century ^nn++++=century,
, ^zz++++=EXTRAWORD
a ^at++++=a
gem ^nn++++=gem
in ^in++++=in
thy ^pp$+pp2+++=thy
crown ^nn++++=crown.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
existence ^nn+nom+++=existence
empty ^jj++++=empty
because ^cs+cos+++=because
it ^pp3+it+++=it
lacked ^vbd+++xvbn+=lacked
a ^at++++=a
task ^nn++++=task.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
me ^pp1o+pp1+++=me
a ^at++++=a
task ^nn++++=task,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eternity ^nn+nom+++=eternity
itself ^ppl++++=itself
is ^vbz+bez+vrb++=is
short ^jj+pred+++=short!
! ^zz++++=EXTRAWORD
O ^zz++++=O
wondrous ^jj+atrb+++=wondrous
justice ^nn++++=justice!
! ^zz++++=EXTRAWORD
O ^zz++++=O
secret ^nn++++=secret
mercy ^nn++++=mercy
of ^in++++=of
the ^ati++++=the
Galilean ^np+nom++??+=Galilean!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
my ^pp$+pp1+++=my
wandering ^jj+++xvbg+=wandering
was ^vbd+bedz+vrb++=was
apprenticeship ^nn+nom+++=apprenticeship,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
grief ^nn++++=grief
instruction ^nn+nom+++=instruction,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
loneliness ^nns+nom+++=loneliness
preparation ^nn+nom+++=preparation!
! ^zz++++=EXTRAWORD
*he ^nn+++??+=*He
loosens ^nns+++??+=loosens
one ^cd1++++=one
chain.* ^nn+++??+=chain.*
Why ^wrb+who+++=Why
didst ^nn+++??+=didst
thou ^pp2+pp2+++=thou
not ^xnot++not++=not
tell ^vb++++=tell
me ^pp1o+pp1+++=me
at ^rb++++=at
once ^rb"+tm+++=once?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Wouldst ^np+++??+=Wouldst
thou ^pp2+pp2+++=thou
have ^vb+hv+aux++=have
believed ^vprf+++xvbnx+=believed?
? ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me
of ^in++++=of
their ^pp$+pp3+++=their
cities ^nns++++=cities.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
They ^pp3a+pp3+++=They
shall ^md+prd+++=shall
build ^vb++++=build
with ^in++++=with
living ^xvbg+++xvbg+=living
crystal ^nn++++=crystal
and ^cc++++=and
white ^jj+atrb+++=white
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
No ^at++++=No
wall ^nn++++=wall
shall ^md+prd+++=shall
surround ^vb++++=surround
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
shall ^md+prd+++=shall
sing ^vb++++=sing
through ^in++++=through
every ^at++++=every
street ^nn++++=street,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gardens ^nns++++=gardens
shall ^md+prd+++=shall
climb ^vb++++=climb
the ^ati++++=the
roofs ^nns++++=roofs.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
halls ^nns++++=halls
of ^in++++=of
counsel ^nn++++=counsel
shall ^md+prd+++=shall
stand ^vb++++=stand
open ^jj++++=open
beneath ^in+pl+++=beneath
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
no ^at++++=no
prisons ^nns++++=prisons?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
None ^pn++++=None.
. ^zz++++=EXTRAWORD
*ahasverus ^nns+++??+=*Ahasverus
loosens ^nns+++??+=loosens
another ^dt++++=another
chain.* ^nn+++??+=chain.*
**ahasverus.** ^nn+++??+=**AHASVERUS.**
No ^at++++=No
armies ^nns++++=armies?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
None ^pn++++=None.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
No ^at++++=No
beggars ^nns++++=beggars
at ^rb++++=at
palace ^nn++++=palace
gates ^nns++++=gates?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
No ^at++++=No
palaces ^nns++++=palaces
save ^vb++++=save
the ^ati++++=the
common ^jj+atrb+++=common
house ^npl++++=house
of ^in++++=of
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
they ^pp3a+pp3+++=they
will ^md+prd+++=will
honor ^vb++++=honor
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
As ^ql++++=As
the ^ati++++=the
first ^rb++++=first
among ^in++++=among
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
humble ^jj+pred+++=humble.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
pomp ^nn++++=pomp
of ^in++++=of
Pharaoh ^np+++??+=Pharaoh
and ^cc++++=and
Caesar ^np++++=Caesar,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
wear ^vb++++=wear
a ^at++++=a
plain ^jj+atrb+++=plain
robe ^nn++++=robe.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
perhaps ^rb++++=perhaps
a ^at++++=a
staff ^nn++++=staff
would ^md+prd+++=would
be ^vb+be+aux++=be
fitting ^vbg+++xvbgx+=fitting
not ^xnot++not++=not
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
cedar ^nn++++=cedar.
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
cedars ^nns+++??+=cedars
to ^to++++=to
return ^vbi++++=return?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Cedars ^np+++??+=Cedars
taller ^jjr++++=taller
than ^in++++=than
Lebanon ^np++++=Lebanon's.
's. ^nn+++??+=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
And ^cc++++=And
roses ^nns++++=roses?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Roses ^nns++++=Roses
without ^in++++=without
thorns ^nns++++=thorns.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Keep ^vb++++=Keep
some ^dti++++=some
thorns ^nns++++=thorns,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
beauty ^nn++++=beauty
become ^vb++++=become
insipid ^nn+++??+=insipid.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned
somewhat ^rb+cnj+++=somewhat,
, ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus.
. ^zz++++=EXTRAWORD
Perfection ^nn+nom+++=Perfection
must ^md+nec+++=must
contain ^vb++++=contain
remembrance ^nn+nom+++=remembrance
of ^in++++=of
danger ^nn++++=danger,
, ^zz++++=EXTRAWORD
even ^rb++++=even
as ^ql++++=as
sweetness ^nns+nom+++=sweetness
requires ^vbz++++=requires
a ^at++++=a
grain ^nn++++=grain
of ^in++++=of
bitterness ^nns+nom+++=bitterness.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou
speakest ^jjt++++=speakest
already ^rb++++=already
like ^in++++=like
a ^at++++=a
king ^nn++++=king.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
A ^at++++=A
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
say ^vb+vpub+++=say
rather ^rb++++=rather.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
if ^cs+cnd+++=if
disputes ^nns++++=disputes
arise ^vb++++=arise,
, ^zz++++=EXTRAWORD
authority ^nn+nom+++=authority
must ^md+nec+++=must
reside ^vb++++=reside
somewhere ^rb++++=somewhere.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
love ^nn++++=love
may ^md+pos+++=may
freely ^rb++++=freely
confer ^vb++++=confer
what ^wdt+who+++=what
destiny ^nn++++=destiny
hath ^vbz+hvz+aux++=hath
appointed ^vprf+++xvbnx+=appointed.
. ^zz++++=EXTRAWORD
*he ^nn+++??+=*He
draws ^vbz++++=draws
the ^ati++++=the
chain ^nn++++=chain
from ^in++++=from
Prometheus ^np++++=Prometheus's
's ^$++++=EXTRAWORD
wrists.* ^nn+++??+=wrists.*
There ^rn+pl+++=There.
. ^zz++++=EXTRAWORD
Rise ^vb++++=Rise,
, ^zz++++=EXTRAWORD
creator ^nn++++=creator!
! ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sleeping ^nvbg+++xvbg+=sleeping;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sun ^nn++++=sun
not ^xnot++not++=not
setting ^nvbg+++xvbg+=setting,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
descending ^vbg+++xvbg+=descending
to ^in++++=to
kindle ^nn+++??+=kindle
another ^ppls++++=another
dawn ^np++++=dawn.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
fool ^jjb++++=fool
to ^to++++=to
salute ^vbi++++=salute
extinction ^nn+nom+++=extinction.
. ^zz++++=EXTRAWORD
Life ^nn++++=Life!
! ^zz++++=EXTRAWORD
Life ^nn++++=Life
renewed ^vbd+++xvbn+=renewed,
, ^zz++++=EXTRAWORD
purified ^vprf+++xvbn+=purified,
, ^zz++++=EXTRAWORD
immeasurable ^jj++++=immeasurable!
! ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
mountains ^npl++++=mountains
lift ^nn++++=lift
again ^rb+tm+++=again;
; ^zz++++=EXTRAWORD
let ^jj+atrb++xvbn+=let
fountains ^nns++++=fountains
break ^vb++++=break
the ^ati++++=the
seals ^nns++++=seals
of ^in++++=of
stone ^nn++++=stone;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
the ^ati++++=the
green ^jj+atrb+++=green
multitudes ^nns++++=multitudes
march ^nn++++=march
from ^in++++=from
the ^ati++++=the
valleys ^nns++++=valleys!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
name ^vb++++=name
each ^dt++++=each
flower ^nn++++=flower
and ^cc++++=and
teach ^vb+vsua+++=teach
each ^dt++++=each
bird ^nn++++=bird
its ^pp$+it+++=its
forgotten ^vbn+vprv++xvbn+=forgotten
song ^np++++=song.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
First ^rb++++=First
free ^jj++++=free
my ^pp$+pp1+++=my
ankles ^nns++++=ankles.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
At ^rb++++=At
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
companion ^nn++++=companion.
. ^zz++++=EXTRAWORD
Brother ^nn++++=Brother!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
two ^cd++++=two
shall ^md+prd+++=shall
restore ^vb++++=restore
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
*he ^nn+++??+=*He
kneels ^nns+++??+=kneels
and ^cc++++=and
struggles ^nns++++=struggles
with ^in++++=with
the ^ati++++=the
final ^jj+atrb+++=final
chain.* ^nn+++??+=chain.*
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Thou ^pp2+pp2+++=Thou
hearest ^jjt++++=hearest
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
smell ^nn++++=smell
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
It ^pp3+it+++=It
approaches ^vbz++++=approaches.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
children ^nns++++=children
coming ^vwbg+++xvbg+=coming
across ^in+pl+++=across
the ^ati++++=the
plain ^jj++++=plain
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
radiant ^jj++++=radiant,
, ^zz++++=EXTRAWORD
crowned ^xvbn+++xvbn+=crowned
with ^in++++=with
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
call ^nn++++=call
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Hark ^np+++??+=Hark!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
call ^nn++++=call
me ^pp1o+pp1+++=me
father ^nn++++=father,
, ^zz++++=EXTRAWORD
guardian ^nn++++=guardian,
, ^zz++++=EXTRAWORD
king ^npt++++=king!
! ^zz++++=EXTRAWORD
Wait ^vb++++=Wait,
, ^zz++++=EXTRAWORD
beloved ^jj+atrb+++=beloved
ones ^pn++++=ones!
! ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus
comes ^vbz++++=comes!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shall ^md+prd+++=shall
teach ^vb+vsua+tht0++=teach
you ^pp2+pp2+++=you
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
noble ^jj+pred+++=noble
and ^cc++++=and
conceal ^vb++++=conceal
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
vile ^jj+pred+++=vile.
. ^zz++++=EXTRAWORD
No ^at++++=No
grief ^nn++++=grief
shall ^md+prd+++=shall
touch ^vb++++=touch
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
No ^at++++=No
death ^nn++++=death
shall ^md+prd+++=shall
divide ^vb++++=divide
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
shall ^md+prd+++=shall
live ^vb++++=live
thou ^pp2+pp2+++=thou,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
forever ^rb+cnj+++=forever,
, ^zz++++=EXTRAWORD
forever ^rb+cnj+++=forever,
, ^zz++++=EXTRAWORD
forever ^rb++++=forever
*the ^nn+++??+=*The
light ^jj+atrb+++=light
fades ^nns+++??+=fades.
. ^zz++++=EXTRAWORD
Prometheus ^np+++??+=Prometheus
and ^cc++++=and
the ^ati++++=the
chains ^nns++++=chains
vanish ^vb++++=vanish.
. ^zz++++=EXTRAWORD
Ahasverus ^np+++??+=Ahasverus
lies ^vbz++++=lies
motionless ^jj++++=motionless
upon ^in++++=upon
the ^ati++++=the
rock ^nn++++=rock,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
closed ^vbd+++xvbn+=closed
around ^rp++++=around
dry ^jj+atrb+++=dry
weeds ^nns++++=weeds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
eagles ^nns++++=eagles
descend ^vb++++=descend
and ^cc++++=and
perch ^nn++++=perch
beside ^in+pl+++=beside
him.* ^nn+++??+=him.*
**first ^nn+++??+=**FIRST
Eagle.** ^np+++??+=EAGLE.**
Is ^vbz+bez+vrb++=Is
he ^pp3a+pp3+++=he
dead ^jj++++=dead?
? ^zz++++=EXTRAWORD
**second ^nn+++??+=**SECOND
Eagle.** ^np+++??+=EAGLE.**
The ^ati++++=The
last ^jj+atrb+++=last
breath ^nn++++=breath
hath ^vbz+hvz+aux++=hath
scarcely ^rb+down+splt++=scarcely
left ^vprf+++xvbnx+=left
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
**first ^nn+++??+=**FIRST
Eagle.** ^np+++??+=EAGLE.**
He ^pp3a+pp3+++=He
smiled ^vbd+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
**second ^nn+++??+=**SECOND
Eagle.** ^np+++??+=EAGLE.**
He ^pp3a+pp3+++=He
dreamed ^vbd+vprv++xvbnx+=dreamed.
. ^zz++++=EXTRAWORD
