Dr ^npt++++=Dr.
come ^vb++++=come
to ^to++++=to
see ^vbi+vprv+++=see
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
went ^vbd+++xvbn+=went.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
year ^nn++++=year
they ^pp3a+pp3+++=they
wrote ^vbd+vprv++xvbnx+=wrote
to ^in++++=to
each ^dt++++=each
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
her ^pp$+pp3+++=her
letters ^nns+nom+++=letters
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
heard ^vbd+vprv++xvbn+=heard
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
taught ^vbd+vsua++xvbnx+=taught
again ^rb+tm+++=again
in ^in++++=in
the ^ati++++=the
town ^nn++++=town
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
whether ^cs+who+++=whether
she ^pp3a+pp3+++=she
married ^vbd+++xvbnx+=married.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
try ^vb++++=try
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
finished ^vbd+++xvbnx+=finished
the ^ati++++=the
story ^nn++++=story,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
walking ^vbg+++xvbgx+=walking
on ^in++++=on
a ^at++++=a
road ^nn++++=road
outside ^jjb++++=outside
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
Autumn ^nn++++=Autumn
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
Dry ^jj+atrb+++=Dry
leaves ^nns++++=leaves
ran ^vbd+++xvbn+=ran
before ^cs+sub+++=before
us ^pp1o+pp1+++=us
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind
and ^cc++++=and
gathered ^vpsv++agls+xvbn+=gathered
in ^in++++=in
hollows ^nns++++=hollows.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
happened ^vbd+++xvbn+=happened,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
changed ^vbd+++xvbnx+=changed
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Leroy ^np++++=LeRoy's
's ^$++++=EXTRAWORD
uneven ^jj++++=uneven
step ^vb++++=step
quickened ^vbd+++xvbn+=quickened.
. ^zz++++=EXTRAWORD
" ^zz++++="Changed
changed ^vbd+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
phrase ^nn++++=phrase."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
began ^vpsv++by+xvbn+=began
by ^in++++=by
thinking ^xvbg+++xvbg+=thinking
she ^pp3a+pp3+++=she
needed ^vbd+++xvbnx+=needed
sex ^nn++++=sex.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
learned ^vbd+vprv+tht0+xvbn+=learned
she ^pp3a+pp3+++=she
needed ^vbd+++xvbnx+=needed
love ^nn++++=love."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
upon ^in++++=upon
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cords ^nns++++=cords
in ^in++++=in
his ^pp$+pp3+++=his
neck ^nn++++=neck
tightened ^vbd+++xvbn+=tightened.
. ^zz++++=EXTRAWORD
" ^zz++++="Love!
love ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
say ^vb+vpub+++=say
the ^ati++++=the
word ^nn++++=word
and ^cc++++=and
settle ^vb++++=settle
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
kind ^rb++++=kind
of ^rb"++++=of
love ^nn++++=love?
? ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
by ^in++++=by
whom ^whp+rel+pied++=whom?
? ^zz++++=EXTRAWORD
For ^in++++=For
how ^wrb+who+++=how
long ^jj++++=long?
? ^zz++++=EXTRAWORD
Must ^md+nec+++=Must
the ^ati++++=the
giver ^nn++++=giver
ask ^vb++++=ask
nothing ^pn++++=nothing?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
anyone ^pn++++=anyone
ask ^vb++++=ask
nothing ^pn++++=nothing?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
put ^vbd+++xvbn+=put
a ^at++++=a
fine ^jj+atrb+++=fine
clean ^jj+atrb+++=clean
label ^nn++++=label
on ^in++++=on
a ^at++++=a
dirty ^jj+atrb+++=dirty
bottle ^nn++++=bottle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
away ^rp+pl+++=away
down ^in++++=down
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
thin ^jj+atrb+++=thin
body ^nn++++=body
leaned ^vbd+++xvbn+=leaned
into ^in++++=into
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
of ^in"++++=of
his ^pp$+pp3+++=his
limp ^nn++++=limp
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
struggle ^vbi++++=struggle
against ^in++++=against
something ^pn++++=something
wrapped ^vbd+++xvbn+=wrapped
about ^in++++=about
his ^pp$+pp3+++=his
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned.
. ^zz++++=EXTRAWORD
" ^zz++++="After
after ^cs+sub+++=EXTRAWORD
Clara ^np++++=Clara
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
see ^vbi+vprv+++=see
people ^nns++++=people
differently ^rb+cnj+++=differently,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
frightened ^jj+++xvbn+=frightened
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
salesman ^nn+nom+++=salesman
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
boy ^nn++++=boy
begging ^vwbg+++xvbg+=begging
to ^to++++=to
be ^vbi+vbi+aux++=be
admired ^vpsv++agls+xvbnx+=admired.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dorgan ^np++++=Dorgan
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
widow ^nn++++=widow
holding ^vwbg+++xvbg+=holding
her ^pp3o+pp3+++=her
house ^npl++++=house
together ^nn+nom+++=together
with ^in++++=with
rules ^nns++++=rules.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
myself ^ppl+pp1+++=myself
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
wanted ^vbd+++xvbn+=wanted
another ^dt++++=another
person ^nn++++=person's
's ^$++++=EXTRAWORD
wound ^vbd+++xvbn+=wound
to ^to++++=to
be ^vbi++vrb++=be
simple ^jj+pred+++=simple
so ^ql++++=so
he ^pp3a+pp3+++=he
could ^md+pos+++=could
cure ^vb++++=cure
it ^pp3+it+++=it
with ^in++++=with
his ^pp$+pp3+++=his
body ^nn++++=body."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gripped ^vbd+++xvbnx+=gripped
my ^pp$+pp1+++=my
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
are ^vb+ber+vrb++=are
all ^abn++++=all
twisted ^jj+++xvbn+=twisted.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
hear ^vb+vprv+++=hear?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
evil ^jj++++=evil
twisted ^jj+++xvbn+=twisted.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
hands ^nns++++=hands
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Dead ^jj+atrb+++=Dead
voices ^nns++++=voices
speak ^vb++++=speak
in ^in++++=in
our ^pp$+pp1+++=our
mouths ^nns++++=mouths.
. ^zz++++=EXTRAWORD
A ^at++++=A
mother ^nn++++=mother
is ^vbz+bez+vrb++=is
afraid ^jj+pred+++=afraid
and ^cc++++=and
puts ^vbz++++=puts
fear ^nn++++=fear
into ^in++++=into
her ^pp$+pp3+++=her
daughter ^nn+nom+++=daughter.
. ^zz++++=EXTRAWORD
A ^at++++=A
father ^nn++++=father
is ^vbz+bez+vrb++=is
ashamed ^jj+pred+++=ashamed
and ^cc++++=and
calls ^vbz++++=calls
the ^ati++++=the
shame ^nn++++=shame
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
lonely ^jj+atrb+++=lonely
person ^nn++++=person
reaches ^nns++++=reaches
for ^in++++=for
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
both ^abx++++=both
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
taught ^vpsv++agls+xvbnx+=taught
wrongly ^rb+cnj+++=wrongly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reaching ^nn++++=reaching
becomes ^vbz++++=becomes
a ^at++++=a
blow ^nn++++=blow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
rose ^vbd+++xvbn+=rose
until ^cs+sub+++=until
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
a ^at++++=a
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
touch ^vb++++=touch
anyone ^pn++++=anyone
without ^in++++=without
touching ^xvbg+++xvbg+=touching
all ^abn++++=all
the ^ati++++=the
dead ^jj++++=dead
who ^whp+who+++=who
planted ^xvbn+++xvbn+=planted
things ^nns++++=things
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
seeds ^nns++++=seeds
grow ^vb++++=grow.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
vines ^nns++++=vines
tighten ^vb++++=tighten.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
embracing ^vbg+++xvbgx+=embracing
one ^cd1++++=one
living ^jj+atrb++xvbg+=living
body ^nn++++=body,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
whole ^jj+atrb+++=whole
graveyard ^nn+++??+=graveyard
lies ^vbz++++=lies
between ^in++++=between
your ^pp$+pp2+++=your
arms ^nns++++=arms."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+aux++=are
tired ^vpsv++agls+xvbnx+=tired,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
escaped ^vbd+++xvbn+=escaped
me ^pp1o+pp1+++=me
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
could ^md+pos+++=could
stop ^vb++++=stop
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Leroy ^np++++=LeRoy's
's ^$++++=EXTRAWORD
face ^vb++++=face
sharpened ^vwbn+++xvbn+=sharpened
into ^in++++=into
the ^ati++++=the
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
sneer ^vb++++=sneer.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
apt ^jj++++=apt.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
tired ^vpsv++agls+xvbnx+=tired.
. ^zz++++=EXTRAWORD
A ^at++++=A
rest ^nn++++=rest
will ^md+prd+++=will
cure ^vb++++=cure
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
A ^at++++=A
journey ^nn++++=journey.
. ^zz++++=EXTRAWORD
Sunshine ^nn++++=Sunshine.
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
scenery ^nn+nom+++=scenery."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
let ^vbd+++xvbnx+=let
go ^vb++++=go
of ^in++++=of
me ^pp1o+pp1+++=me
and ^cc++++=and
walked ^vpsv++agls+xvbn+=walked
into ^in+ppvb+++=into
a ^at++++=a
field ^nn++++=field.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dry ^jj+atrb+++=dry
weeds ^nns++++=weeds
reached ^vbd+++xvbn+=reached
his ^pp$+pp3+++=his
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
Against ^in++++=Against
the ^ati++++=the
pale ^jj+atrb+++=pale
sky ^nn++++=sky
his ^pp$+pp3+++=his
narrow ^jj+atrb+++=narrow
body ^nn++++=body
looked ^vbd+++xvbn+=looked
weightless ^jj++++=weightless.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
get ^vbi++++=get
free ^jj++++=free
of ^in++++=of
them ^pp3o+pp3+++=them,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Clara,
clara ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Dorgan ^np++++=Dorgan,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
people ^nn++++=people
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
painted ^vprf+++xvbnx+=painted
and ^cc+phrs+++=and
judged ^vbd+vprv++xvbn+=judged.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
strip ^vbi++++=strip
off ^in+pl+++=off
every ^at++++=every
idea ^nn++++=idea
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
hung ^vprf+++xvbnx+=hung
on ^rp++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
be ^vbi++vrb++=be
clean ^jj+pred+++=clean."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
lifted ^vbd+++xvbn+=lifted
the ^ati++++=the
leaves ^nns++++=leaves
and ^cc++++=and
sent ^vwbn+++xvbn+=sent
them ^pp3o+pp3+++=them
spinning ^vbg+++xvbg+=spinning
across ^in+pl+++=across
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
leaf ^nn++++=leaf
rose ^vbd+++xvbn+=rose
higher ^jjr++++=higher
than ^in++++=than
the ^ati++++=the
others ^aps++++=others.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
went ^vbd+++xvbn+=went
over ^in++++=over
the ^ati++++=the
ditch ^nn++++=ditch,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
weeds ^nns++++=weeds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
sailed ^vbd+++xvbn+=sailed
freely ^rb++++=freely
toward ^in++++=toward
the ^ati++++=the
dark ^jj+atrb+++=dark
line ^nn++++=line
of ^in++++=of
hills ^nns++++=hills.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
watched ^vbd+++xvbn+=watched
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
be ^vbi++vrb++=be
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Dead,
dead ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
clean ^jj++++=clean.
. ^zz++++=EXTRAWORD
Blown ^j+++xvbn+=Blown
over ^in++++=over
the ^ati++++=the
hills ^nns++++=hills.
. ^zz++++=EXTRAWORD
Blown ^j+++xvbn+=Blown
out ^rp+pl+++=out
over ^in++++=over
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
dropped ^vbd+++xvbn+=dropped
somewhere ^rb++++=somewhere
in ^in++++=in
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
nothing ^pn++++=nothing
old ^jj++++=old
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
grow ^vbi++++=grow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Mercer ^np++++=Mercer
tugging ^vwbg+++xvbg+=tugging
at ^rb++++=at
his ^pp$+pp3+++=his
collar ^nn++++=collar
under ^in++++=under
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
Clara ^np++++=Clara's
's ^$++++=EXTRAWORD
pale ^nn++++=pale
hands ^nns++++=hands
flying ^vwbg+++xvbg+=flying
to ^in++++=to
her ^pp$+pp3+++=her
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
again ^rb+tm+++=again
to ^to++++=to
explain ^vbi+vpub+++=explain
them ^pp3o+pp3+++=them
to ^to++++=to
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
all ^abn++++=all
three ^cd++++=three
suffered ^vbd+++xvbn+=suffered
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
need ^nn++++=need,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
each ^ppls++++=each
desired ^vbd+vsua++xvbn+=desired
love ^nn++++=love
and ^cc++++=and
feared ^vbd+vprv++xvbn+=feared
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sentence ^nn+nom+++=sentence
formed ^vbd+++xvbn+=formed
itself ^ppl++++=itself
in ^in++++=in
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Leroy ^np+++??+=LeRoy
had ^vbd+hvd+aux++=had
turned ^vprf+++xvbnx+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
limp ^jj++++=limp
carried ^jj+++xvbn+=carried
him ^pp3o+pp3+++=him
slowly ^rb++++=slowly
down ^in++++=down
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
leaves ^nns++++=leaves
went ^vbd+++xvbn+=went
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=creeping,
, ^zz++++=EXTRAWORD
crawling ^jj++++=crawling,
, ^zz++++=EXTRAWORD
rising ^nn++++=rising
at ^rb++++=at
last ^rb"++++=last
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
