Cold ^jj++++=Cold?
stood ^vbd+++xvbn+=stood
around ^rp++++=around
white ^jj++++=white
and ^cc+phrs+++=and
innocent ^jj++++=innocent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
spruce ^nn++++=spruce
glittered ^vbd+++xvbn+=glittered
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
Almighty ^jj++++=Almighty
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
decorating ^vbg+++xvbgx+=decorating
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
slept ^vbd+++xvbn+=slept.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
dug ^vbd+++xvbn+=dug
out ^rp+pl+++=out
the ^ati++++=the
dogs ^nns++++=dogs
and ^cc++++=and
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
found ^jj+atrb++xvbn+=found
one ^cd1++++=one
horse ^nn++++=horse
in ^in++++=in
a ^at++++=a
willow ^nn++++=willow
patch ^nn++++=patch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
settled ^vbd+++xvbn+=settled
down ^rp++++=down
to ^to++++=to
wait ^vbi++++=wait
till ^in++++=till
Lars ^np+++??+=Lars
could ^md+pos+++=could
travel ^vb++++=travel.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
the ^ati++++=the
mail ^nn++++=mail
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
Sims ^np+++??+=Sims
had ^vb+hv+vrb++=had
a ^at++++=a
sack ^nn++++=sack
cached ^vbd+++xvbn+=cached
from ^in++++=from
his ^pp$+pp3+++=his
last ^ap++++=last
run ^vprf+++xvbn+=run,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
the ^ati++++=the
letters ^nns+nom+++=letters
was ^vbd+bedz+aux++=was
one ^cd1++++=one
addressed ^vbd+++xvbn+=addressed
in ^in++++=in
a ^at++++=a
neat ^jj+atrb+++=neat
hand ^nn++++=hand:
: ^zz++++=EXTRAWORD
Mrs ^npt++++=MRS.
. ^zz++++=EXTRAWORD
Anne ^np++++=ANNE
Bradshaw ^np+++??+=BRADSHAW
Black ^jj+atrb+++=BLACK
Spruce ^jj+atrb+++=SPRUCE
Road ^nn++++=ROAD-HOUSE
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
Moosehide ^np+++??+=MOOSEHIDE
District ^nn++++=DISTRICT,
, ^zz++++=EXTRAWORD
Alaska ^np++++=ALASKA
Sims ^np+++??+=Sims
held ^vbd+vprv++xvbn+=held
it ^pp3+it+++=it
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Who's
who ^whp+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
Bradshaw ^np+++??+=Bradshaw?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
snatched ^vbd+++xvbn+=snatched
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
called ^vprf+++xvbnx+=called
her ^pp3o+pp3+++=her
anything ^rb++++=anything
but ^rb"++++=but
Annie ^np+++??+=Annie
Black ^np++++=Black.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
said ^vbd+vpub++xvbn+=said
Black ^jj++++=Black
was ^vbd+bedz+vrb++=was
a ^at++++=a
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
name ^nn++++=name,
, ^zz++++=EXTRAWORD
some ^dti++++=some
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
described ^vbd+++xvbn+=described
her ^pp$+pp3+++=her
business ^nns+nom+++=business
morals ^nns++++=morals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Shorty ^np++++=Shorty
maintained ^vbd+vpub+tht0+xvbn+=maintained
it ^pp3+it+++=it
referred ^vbd+++xvbn+=referred
to ^in++++=to
the ^ati++++=the
condition ^nn+nom+++=condition
of ^in++++=of
her ^pp$+pp3+++=her
temper ^nn++++=temper
before ^in++++=before
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
letter ^nn++++=letter
by ^in++++=by
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
watched ^vbd+++xvbnx+=watched
the ^ati++++=the
hard ^jj+atrb+++=hard
color ^nn++++=color
drain ^nn++++=drain
from ^in++++=from
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+whq++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj++++=wrong?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="Nothing."
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
read ^vbd+vprv+tht0+xvbnx+=read
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hands ^nns++++=hands
shook ^vbd+++xvbn+=shook.
. ^zz++++=EXTRAWORD
Annie ^np++++=Annie's
's ^$++++=EXTRAWORD
hands ^nns++++=hands!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf++tht0+xvbnx+=seen
those ^dt+dem+++=those
hands ^nns++++=hands
hold ^vb+vprv+++=hold
a ^at++++=a
mining ^nn++++=mining
pan ^nn++++=pan
in ^in++++=in
snow ^nn++++=snow
water ^nn++++=water,
, ^zz++++=EXTRAWORD
swing ^vb++++=swing
an ^at++++=an
axe ^nn++++=axe,
, ^zz++++=EXTRAWORD
point ^nn++++=point
a ^at++++=a
rifle ^nn++++=rifle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emphasize ^vb++++=emphasize
testimony ^nn++++=testimony
beneath ^in+pl+++=beneath
judicial ^jj+atrb+++=judicial
warning ^nn++++=warning.
. ^zz++++=EXTRAWORD
Shaking ^jj+++xvbg+=Shaking
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
included ^vbd+++xvbn+=included
in ^in++++=in
their ^pp$+pp3+++=their
ground ^nn++++=ground
plan ^nn++++=plan.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
folded ^vbd+++xvbnx+=folded
the ^ati++++=the
paper ^nn++++=paper
too ^rb++++=too
careful ^jj++++=careful.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
daughter ^nn+nom+++=daughter
is ^vbz+bez+aux++=is
coming ^vbg+++xvbgx+=coming,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
frost ^np++++=frost
crack ^jjb++++=crack.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Shorty ^np++++=Shorty.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
daughter ^nn+nom+++=daughter.
. ^zz++++=EXTRAWORD
Eleanor ^np++++=Eleanor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gave ^vbd+++xvbnx+=gave
us ^pp1o+pp1+++=us
a ^at++++=a
look ^vb++++=look
inviting ^jj+++xvbg+=inviting
the ^ati++++=the
first ^od++++=first
man ^nn++++=man
who ^whp+rel+subj++=who
smiled ^vbd+++xvbn+=smiled
to ^to++++=to
prepare ^vbi++++=prepare
his ^pp$+pp3+++=his
funeral ^nn++++=funeral.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
" ^zz++++="Where's
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
she ^pp3a+pp3+++=she
been ^vb+vbd+vrb+xvbnx+=been?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="School.
school ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside.
. ^zz++++=EXTRAWORD
Vancouver ^np+nom++??+=Vancouver
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
Seattle ^np++++=Seattle.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
finished ^vbd+++xvbnx+=finished
this ^dt+dem+++=this
spring ^nn++++=spring."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
got ^vbd+++xvbn+=got
a ^at++++=a
grown ^vprf+++xvbn+=grown
daughter ^nn+nom+++=daughter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
mail ^nn++++=mail-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
her ^pp$+pp3+++=her
yesterday ^nr+tm+++=yesterday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
nobody ^pn++++=nobody
heard ^vbd+vprv++xvbn+=heard?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
none ^pn++++=none
of ^in++++=of
your ^pp$+pp2+++=your
diseased ^jj+atrb+++=diseased
business ^nns+nom+++=business."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
began ^vbd+++xvbnx+=began
walking ^vbg+++xvbg+=walking
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
strides ^nns++++=strides
one ^cd1++++=one
direction ^nn+nom+++=direction,
, ^zz++++=EXTRAWORD
pivot ^nn++++=pivot,
, ^zz++++=EXTRAWORD
three ^cd++++=three
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Emotional ^jj+atrb+++=Emotional
assessment ^nn+nom+++=assessment
work ^nn++++=work.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
thinks ^vbz+vprv+tht0++=thinks
I ^pp1a+pp1+++=I
own ^ap++++=own
the ^ati++++=the
Aurora ^np+++??+=Aurora,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
says ^vbz+vpub+++=says
suddenly ^rb++++=suddenly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Aurora ^np+++??+=Aurora
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^jjt++++=best
mine ^pp$$++++=mine
on ^rp++++=on
Moosehide ^np+++??+=Moosehide,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
steam ^nn++++=steam
hoist ^vbd+++xvbn+=hoist,
, ^zz++++=EXTRAWORD
bunkhouse ^nn+++??+=bunkhouse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pay ^vb++++=pay-streak
- ^zz++++=EXTRAWORD
streak ^nn++++=EXTRAWORD
wide ^jj++++=wide
as ^in++++=as
a ^at++++=a
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
a ^at++++=a
Boston ^np++++=Boston
company ^nn++++=company.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
would ^md+prd+++=would
she ^pp3a+pp3+++=she
think ^vb+vprv+tht0++=think
that ^tht+vcmp+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh."
oh ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sent ^vbd+++xvbnx+=sent
money ^nn++++=money
regular ^jj++++=regular.
. ^zz++++=EXTRAWORD
Told ^j+++xvbn+=Told
her ^pp$+pp3+++=her
the ^ati++++=the
mine ^nn++++=mine
was ^vbd+bedz+vrb++=was
prosperous ^jj+pred+++=prosperous.
. ^zz++++=EXTRAWORD
Told ^j+++xvbn+=Told
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
proper ^jj+atrb+++=proper
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Told ^j+++xvbn+=Told
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
visit ^vb++++=visit
because ^cs+cos+++=because
operations ^nns+nom+++=operations
required ^vbd+++xvbn+=required
me ^pp1o+pp1+++=me
here ^rn+pl+++=here."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
took ^vbd+++xvbn+=took
on ^rb+phrv+++=on
a ^at++++=a
silence ^nn+nom+++=silence
so ^ql+emph+++=so
stiff ^jj++++=stiff
you ^pp2+pp2+++=you
could ^md+pos+++=could
hang ^vb++++=hang
wet ^jj+atrb+++=wet
socks ^nns++++=socks
from ^in++++=from
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
coming ^vbg+++xvbgx+=coming
to ^in++++=to
surprise ^nn++++=surprise
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="Traveling
traveling ^nn+nom+++=EXTRAWORD
with ^in++++=with
a ^at++++=a
missionary ^jj+atrb+++=missionary
couple ^nn++++=couple.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They'll
'll ^md+prd+++0=EXTRAWORD
reach ^vb++++=reach
here ^rn+pl+++=here
tomorrow ^nr+tm+++=tomorrow
or ^cc++++=or
next ^ap++++=next
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
tell ^vb++++=tell
her ^pp$+pp3+++=her,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Dutch ^jj++++=Dutch.
. ^zz++++=EXTRAWORD
" ^zz++++="Blood's
blood ^nn++++=EXTRAWORD
's ^$++++=EXTRAWORD
blood ^nn++++=blood."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Annie ^np+++??+=Annie
wheeled ^vbd+++xvbn+=wheeled.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
her ^pp$+pp3+++=her
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
her ^pp3o+pp3+++=her
mother ^nn++++=mother
washes ^nns++++=washes
for ^in++++=for
mushers ^nns+nom+++=mushers
when ^wrb+who+++=when
claims ^vbz+vpub+++=claims
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
pay ^vb++++=pay?
? ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
I ^pp1a+pp1+++=I
sleep ^nn++++=sleep
in ^in++++=in
road ^nn++++=road-houses
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
and ^cc++++=and
abandoned ^jj+atrb++xvbn+=abandoned
cabins ^nns++++=cabins?
? ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
every ^at++++=every
drunken ^jj++++=drunken
loafer ^jjr++++=loafer
from ^in++++=from
here ^rn+pl+++=here
to ^in++++=to
Circle ^nn++++=Circle
has ^vbz+hvz+vrb++=has
a ^at++++=a
story ^nn++++=story
about ^in++++=about
Annie ^np+++??+=Annie
Black ^nn++++=Black?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
her ^pp$+pp3+++=her
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
spent ^vprf+++xvbnx+=spent
ten ^cd++++=ten
years ^nns++++=years
in ^in++++=in
courts ^nns++++=courts
because ^cs+cos+++=because
men ^nns++++=men
see ^vb+vprv+++=see
a ^at++++=a
lone ^jjb+atrb+++=lone
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
stakes ^nns++++=stakes
and ^cc++++=and
figger ^jjr++++=figger
Providence ^np+nom++??+=Providence
left ^vbd+++xvbn+=left
them ^pp3o+pp3+++=them
unguarded ^jj++++=unguarded?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
answered ^vbd+vpub+tht0+xvbn+=answered
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
leaned ^vbd+++xvbnx+=leaned
against ^in++++=against
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
at ^rb++++=at
once ^rb"+tm+++=once
the ^ati++++=the
fight ^nn++++=fight
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
nineteen ^cd++++=nineteen
when ^wrb+who+++=when
Bradshaw ^np+++??+=Bradshaw
married ^vbd+++xvbn+=married
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
smile ^nn++++=smile
like ^in++++=like
easy ^jj+atrb+++=easy
money ^nn++++=money
and ^cc++++=and
about ^in++++=about
the ^ati++++=the
same ^ap++++=same
durability ^nn+nom+++=durability.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
come ^vprf+++xvbn+=come
north ^nr+pl+++=north
in ^in++++=in
the ^ati++++=the
rush ^nn++++=rush.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drank ^vbd+++xvbnx+=drank
our ^pp$+pp1+++=our
outfit ^nn++++=outfit,
, ^zz++++=EXTRAWORD
sold ^xvbn+++xvbn+=sold
my ^pp$+pp1+++=my
jewelry ^nn++++=jewelry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^vpsv++agls+xvbn+=left
before ^cs+sub+++=before
Eleanor ^np++++=Eleanor
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
a ^at++++=a
trader ^nn++++=trader
offered ^vbd+++xvbn+=offered
me ^pp1o+pp1+++=me
work ^nn++++=work,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
decided ^jj+atrb++xvbn+=decided
wages ^nns++++=wages
included ^vbd+++xvbn+=included
privileges ^nns++++=privileges.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
discouraged ^vbd+++xvbnx+=discouraged
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
shovel ^nn++++=shovel.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
me ^pp1o+pp1+++=me
hard ^jj++++=hard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Annie
annie ^np++++=EXTRAWORD
" ^zz++++="
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't."
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
down ^rp++++=down
at ^rb++++=at
the ^ati++++=the
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
put ^vbd+++xvbnx+=put
Eleanor ^np++++=Eleanor
with ^in++++=with
good ^jj+atrb+++=good
people ^nns++++=people
Outside ^jjb++++=Outside.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
ounce ^nn++++=ounce
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
every ^at++++=every
dollar ^nn++++=dollar
from ^in++++=from
cooking ^xvbg+++xvbg+=cooking,
, ^zz++++=EXTRAWORD
sewing ^nn++++=sewing,
, ^zz++++=EXTRAWORD
washing ^nvbg+++xvbg+=washing,
, ^zz++++=EXTRAWORD
guiding ^vbg+++xvbg+=guiding
tenderfeet ^nn+++??+=tenderfeet,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
her ^pp$+pp3+++=her
to ^to++++=to
have ^vbi++vrb++=have
clean ^jj+atrb+++=clean
rooms ^nns++++=rooms
and ^cc++++=and
music ^nn++++=music
and ^cc++++=and
books ^nns++++=books.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sent ^vbd+++xvbnx+=sent
photographs ^nns++++=photographs
of ^in++++=of
the ^ati++++=the
Aurora ^np+++??+=Aurora
office ^nn++++=office
cut ^vbd+++xvbn+=cut
from ^in++++=from
newspapers ^nns+nom+++=newspapers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wrote ^vbd+vprv++xvbnx+=wrote
about ^in++++=about
servants ^nns+nom+++=servants
I ^pp1a+pp1+++=I
never ^rb++++=never
had ^vb+hv+vrb++=had
and ^cc++++=and
dinners ^nns+nom+++=dinners
I ^pp1a+pp1+++=I
never ^rb++++=never
ate ^vbd+++xvbn+=ate.
. ^zz++++=EXTRAWORD
Foolish ^jj++++=Foolish?
? ^zz++++=EXTRAWORD
Certainly ^rb++++=Certainly.
. ^zz++++=EXTRAWORD
Fraudulent ^jj++++=Fraudulent?
? ^zz++++=EXTRAWORD
Likely ^jj++++=Likely.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
child ^nn++++=child
needs ^nns++++=needs
one ^cd1++++=one
fine ^jj+atrb+++=fine
thing ^nn++++=thing
to ^to++++=to
believe ^vbi+vprv+++=believe
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
that ^dt+dem+++=that
thing ^nn++++=thing
her ^pp3o+pp3+++=her
mother ^npt++++=mother."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
mouth ^nn++++=mouth
twisted ^vbd+++xvbn+=twisted.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
coming ^vbg+++xvbgx+=coming
to ^to++++=to
inspect ^vbi++++=inspect
the ^ati++++=the
property ^nn++++=property."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laughed ^vbd+++xvbnx+=laughed
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
humor ^nn++++=humor
enough ^dt++++=enough
in ^in++++=in
it ^pp3+it+++=it
to ^to++++=to
feed ^vbi++++=feed
a ^at++++=a
mosquito ^nn+++??+=mosquito.
. ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole
Lund ^np+++??+=Lund
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
listening ^vbg+++xvbgx+=listening
from ^in++++=from
his ^pp$+pp3+++=his
bunk ^nn++++=bunk.
. ^zz++++=EXTRAWORD
" ^zz++++="Mrs.
mrs ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Bradshaw ^np++++=Bradshaw,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
sharply ^rb++++=sharply.
. ^zz++++=EXTRAWORD
" ^zz++++="Vat
vat ^nn+++??+=EXTRAWORD
vas ^nns+++??+=vas
de ^&fw++++=de
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eleanor."
eleanor ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
vill ^nn+++??+=vill
be ^vb+be+vrb++=be
proud ^jj+pred+++=proud."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
out ^rb+phrv+++=out
of ^in++++=of
this ^dt+pdem+++=this."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
vill ^nn+++??+=vill."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said
keep ^vb++++=keep
out ^rb+phrv+++=out."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ole ^np+++??+=Ole
subsided ^vprf+++xvbn+=subsided,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
went ^vbd+++xvbn+=went
busy ^jj++++=busy.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
afternoon ^nn++++=afternoon
