# ^zz++++=##
# ^zz++++=EXTRAWORD
Jane ^np++++=Jane
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
glanced ^vbd+++xvbnx+=glanced
toward ^in++++=toward
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
another ^dt++++=another
knock ^vb++++=knock,
, ^zz++++=EXTRAWORD
louder ^jjr++++=louder,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Jack ^np++++=Jack
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
for ^in++++=for
a ^at++++=a
branch ^nn++++=branch
tapping ^vwbg+++xvbg+=tapping
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
else ^rb+cnj+++=else
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
" ^zz++++="Poor
poor ^jj+atrb+++=EXTRAWORD
Jack ^np++++=Jack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^vb++++=face
altered ^vbd+++xvbn+=altered.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
decided ^vbd+vprv++xvbn+=decided
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
meant ^vbd+vprv++xvbnx+=meant,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
once ^rb+tm+++=once
a ^at++++=a
conversation ^nn+nom+++=conversation
has ^vbz+hvz+aux++=has
started ^vprf+++xvbnx+=started,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+aux++=be
carried ^vpsv++agls+xvbnx+=carried
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
like ^in++++=like
washing ^xvbg+++xvbg+=washing
on ^in++++=on
a ^at++++=a
windy ^jj+atrb+++=windy
day ^nn++++=day.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
you ^pp2+pp2+++=you
would ^md+prd+++=would
be ^vb+be+aux++=be
disappointed ^vpsv++agls+xvbnx+=disappointed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="Told
told ^vbd+vpub+tht0+xvbn+=EXTRAWORD
her ^pp$+pp3+++=her?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
coming ^nvbg+++xvbg+=coming?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
this ^dt+dem+++=this
evening ^nn++++=evening,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
perfectly ^rb+amp+++=perfectly
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
meet ^vbi++++=meet
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
frowned ^vbd+++xvbnx+=frowned
like ^in++++=like
a ^at++++=a
July ^nr++++=July
thunderstorm ^nn++++=thunderstorm.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
she ^pp3a+pp3+++=she
go ^vb++++=go
to ^to++++=to
meet ^vbi++++=meet?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ought ^md+nec+++=ought
not ^xnot++not++=not
say ^vb+vpub+++=say."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Jane,
jane ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
away ^rp+pl+++=away
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Three
three ^cd++++=EXTRAWORD
years ^nns++++=years,
, ^zz++++=EXTRAWORD
two ^cd++++=two
months ^nns++++=months."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
girl ^nn++++=girl
can ^md+pos+++=can
change ^vb++++=change
in ^in++++=in
three ^cd++++=three
years ^nns++++=years."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mattie
mattie ^nn+++??+=EXTRAWORD
has ^vbz+hvz+aux++=has
written ^vprf+++xvbnx+=written
every ^at++++=every
month ^nn++++=month."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
woman ^nn++++=woman
may ^md+pos+++=may
write ^vb++++=write
from ^in++++=from
habit ^nn++++=habit.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
write ^vb++++=write
down ^in++++=down
butter ^nn++++=butter
sales ^nns++++=sales
every ^at++++=every
Saturday ^nr++++=Saturday,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+tht0++=mean
I ^pp1a+pp1+++=I
love ^nn++++=love
butter ^nn++++=butter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
a ^at++++=a
step ^nn++++=step
toward ^in++++=toward
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Has
has ^vbz+hvz+aux++=EXTRAWORD
she ^pp3a+pp3+++=she
promised ^vbd+vpub+tht0+xvbnx+=promised
herself ^ppl+pp3+++=herself
to ^in++++=to
somebody ^pn++++=somebody
else ^rb+cnj+++=else?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lowered ^vbd+++xvbnx+=lowered
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
always ^rb++splt++=always
known ^vprf+++xvbnx+=known
how ^wrb+who+whcl++=how
to ^to++++=to
make ^vbi++++=make
my ^pp$+pp1+++=my
face ^nn++++=face
match ^nn++++=match
an ^at++++=an
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^cd1++++=one
matches ^nns++++=matches
ribbon ^nn++++=ribbon
to ^in++++=to
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
had ^vb+hv+aux++=had
better ^jjr++++=better
ask ^vb++++=ask
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
asking ^vbg+vsua+tht0+xvbgx+=asking
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
for ^in++++=for
me ^pp1o+pp1+++=me
to ^to++++=to
betray ^vbi++++=betray
Mattie ^np++++=Mattie's
's ^$++++=EXTRAWORD
confidence ^nn+nom+++=confidence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
me ^pp1o+pp1+++=me
none ^rb++++=none.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gripped ^vbd+++xvbnx+=gripped
the ^ati++++=the
handle ^nn++++=handle
of ^in++++=of
his ^pp$+pp3+++=his
travelling ^nvbg+++xvbg+=travelling
bag ^nn++++=bag.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
Pottle ^np+++??+=Pottle?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
" ^zz++++="Or
or ^cc++++=EXTRAWORD
Swan ^nn++++=Swan?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
of ^in++++=of
that ^dt+dem+++=that
miller ^np++++=miller
fellow ^jjb++++=fellow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
mention ^nn+nom+++=mention
no ^at++++=no
names ^nns++++=names."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+++=say
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
meant ^vbd+vprv++xvbn+=meant
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
person ^nn++++=person
insists ^nns+nom+++=insists
on ^in++++=on
drawing ^xvbg+++xvbg+=drawing
conclusions ^nns++++=conclusions,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
fault ^nn++++=fault
is ^vbz+bez+vrb++=is
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
From ^in++++=From
inside ^jjb++++=inside
the ^ati++++=the
church ^nn++++=church
came ^vbd+++xvbn+=came
three ^cd++++=three
sharp ^jj+atrb+++=sharp
blows ^nns++++=blows.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
looked ^vbd+++xvbn+=looked
round ^rb++++=round.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wood
wood ^nn++++=EXTRAWORD
settling ^vwbg+++xvbg+=settling,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
church ^nn++++=church
is ^vbz+bez+vrb++=is
old ^jj+pred+++=old."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
then ^rn+tm+++=then
turned ^vbd+++xvbn+=turned
back ^rb+phrv+++=back.
. ^zz++++=EXTRAWORD
Hurt ^j+++xvbn+=Hurt
pride ^np++++=pride
is ^vbz+bez+vrb++=is
a ^at++++=a
strong ^jj+atrb+++=strong
bridle ^nn++++=bridle.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
she ^pp3a+pp3+++=she
tell ^vb++++=tell
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
spare ^vbi++++=spare
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Spare
spare ^jj++++=EXTRAWORD
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
By ^in++++=By
letting ^xvbg+++xvbg+=letting
me ^pp1o+pp1+++=me
travel ^vb++++=travel
four ^cd++++=four
thousand ^cd++++=thousand
miles ^nns++++=miles?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mattie
mattie ^nn+++??+=EXTRAWORD
never ^rb++++=never
thinks ^vbz+vprv+++=thinks
of ^in++++=of
distances ^nns+nom+++=distances.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paced ^vbd+++xvbnx+=paced
under ^in++++=under
the ^ati++++=the
yew ^nn++++=yew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
anger ^nn++++=anger
and ^cc++++=and
misery ^nn++++=misery
wrestling ^vwbg+++xvbg+=wrestling
in ^in++++=in
him ^pp3o+pp3+++=him
like ^in++++=like
two ^cd++++=two
dogs ^nns++++=dogs
in ^in++++=in
a ^at++++=a
sack ^nn++++=sack.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
sorry ^uh++++=sorry
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
truly ^rb++++=truly
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
No ^at++++=No
woman ^nn++++=woman
likes ^vbz++++=likes
to ^to++++=to
see ^vbi+vprv+++=see
a ^at++++=a
well ^rb++++=well-dressed
- ^zz++++=EXTRAWORD
dressed ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man
suffer ^vb++++=suffer.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
made ^vbd+++xvbnx+=made
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
brought ^vbd+++xvbnx+=brought
home ^nr++++=home
more ^rbr++++=more
than ^in++++=than
Peter ^np++++=Peter
Bell ^nn++++=Bell
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
times ^nns++++=times
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
own ^ap++++=own
half ^abn++++=half
the ^ati++++=the
works ^nn++++=works
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
bought ^vprf+++xvbnx+=bought
the ^ati++++=the
old ^jj+atrb+++=old
Mercer ^np++++=Mercer
house ^nn++++=house
outside ^jjb++++=outside
the ^ati++++=the
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
her ^pp$+pp3+++=her
" ^zz++++="
" ^zz++++="The
the ^ati++++=EXTRAWORD
Mercer ^np++++=Mercer
house ^nn++++=house?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
twelve ^cd++++=twelve
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
a ^at++++=a
walled ^jj+atrb+++=walled
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
stables ^nns++++=stables,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
glasshouse ^nn+++??+=glasshouse,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
three ^cd++++=three
panes ^nns++++=panes
was ^vbd+bedz+aux++=was
cracked ^vpsv++agls+xvbnx+=cracked.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
it ^pp3+it+++=it
put ^vbd+++xvbn+=put
in ^rb+phrv+++=in
order ^nn++++=order.
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
carpets ^nns++++=carpets.
. ^zz++++=EXTRAWORD
A ^at++++=A
piano ^nn++++=piano.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub++xvbnx+=said
once ^rb+tm+++=once
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
a ^at++++=a
room ^nn++++=room
looking ^vwbg+++xvbg+=looking
west ^np+pl+++=west."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
that ^tht+vcmp+++=that
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
sixteen ^cd++++=sixteen,
, ^zz++++=EXTRAWORD
after ^in++++=after
seeing ^xvbg+++xvbg+=seeing
a ^at++++=a
sunset ^nn++++=sunset.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
no ^at++++=no
practical ^jj+atrb+++=practical
use ^nn++++=use
for ^in++++=for
a ^at++++=a
west ^np+pl+++=west
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
remembered ^vprf+++xvbnx+=remembered,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
pleasure ^nn++++=pleasure
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
remembered ^vbd+vprv+tht0+xvbnx+=remembered
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
perceive ^vbi+vprv+++=perceive
how ^wrb+who+whcl++=how
deeply ^rb++++=deeply
Mattie ^np+++??+=Mattie
had ^vbd+hvd+aux++=had
wronged ^vprf+++xvbnx+=wronged
him ^pp3o+pp3+++=him
or ^cc++++=or
would ^md+prd+++=would
have ^vb+hv+aux++=have
wronged ^vprf+++xvbnx+=wronged
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
implied ^vbd+vprv++xvbnx+=implied
been ^vprf+ben+vrb+xvbn+=been
factual ^jj++++=factual.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
let ^vb+++xvbn+=let
it ^pp3+it+++=it
spoil ^vb++++=spoil
your ^pp$+pp2+++=your
life ^nn++++=life,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
gently ^rb++++=gently.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
care ^vb+vprv+++=care?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="More
more ^ql++++=EXTRAWORD
than ^cs+sub+++=than
you ^pp2+pp2+++=you
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
Properly ^rb++++=Properly
looked ^vbd+++xvbn+=looked,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
worn ^vprf+++xvbnx+=worn
my ^pp$+pp1+++=my
plum ^nn++++=plum-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
from ^in++++=from
design ^nn++++=design
but ^cc+cls+++=but
because ^cs+cos+++=because
the ^ati++++=the
other ^ap++++=other
was ^vbd+bedz+aux++=was
hanging ^vbg+++xvbgx+=hanging
to ^in++++=to
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
smooth ^jj+pred+++=smooth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
vain ^rb+cnj+++=vain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
capable ^jj++++=capable.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
men ^nns++++=men
prefer ^vb+vprv+++=prefer
a ^at++++=a
pretty ^rb++++=pretty
fool ^jjb++++=fool,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
owns ^vbz++++=owns
a ^at++++=a
machine ^nn++++=machine
business ^nns+nom+++=business
requires ^vbz++++=requires
a ^at++++=a
wife ^nn++++=wife
who ^whp+rel+subj++=who
can ^md+pos+++=can
reckon ^vb+vprv+++=reckon.
. ^zz++++=EXTRAWORD
" ^zz++++="You?"
you ^pp2+pp2+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
person ^nn++++=person
who ^whp+rel+subj++=who
waited ^vbd+++xvbn+=waited
for ^in++++=for
news ^nn++++=news
from ^in++++=from
America ^np++++=America."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
waited ^vprf+++xvbnx+=waited
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
waited ^vprf+++xvbnx+=waited
for ^in++++=for
the ^ati++++=the
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
different ^jj+pred+++=different,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
no ^at++++=no
condition ^nn+nom+++=condition
for ^in++++=for
fine ^jj+atrb+++=fine
distinctions ^nns+nom+++=distinctions.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
never ^rb++++=never
cared ^vbd+++xvbn+=cared
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
girl ^nn++++=girl
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
free ^jj++++=free
to ^to+jcmp+++=to
show ^vbi+vprv+++=show
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
feels ^vbz+vprv+++=feels."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
Mattie ^np+++??+=Mattie
began ^vbd+++xvbn+=began
rattling ^jj++++=rattling
the ^ati++++=the
latch ^nn++++=latch.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
hear ^vbi+vprv+++=hear.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
used ^md"++pmd"++=used
to ^to++++=to
laugh ^vb++++=laugh
at ^in+ppvb+++=at
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
laughed ^vbd+++xvbnx+=laughed
to ^to++++=to
hide ^vbi++++=hide
my ^pp$+pp1+++=my
tears ^nns++++=tears."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
come ^nn++++=come
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
head ^nn++++=head
from ^in++++=from
a ^at++++=a
song ^nn++++=song,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
served ^vbd+++xvbn+=served
very ^ql+amp+++=very
well ^rb++++=well.
. ^zz++++=EXTRAWORD
