**what ^nn+++??+=**What
garri ^nn+++??+=garri
for ^in++++=for
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wore ^vbd+++xvbn+=wore
it ^pp3+it+++=it
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
visited ^vbd+++xvbnx+=visited.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brought ^vbd+++xvbnx+=brought
other ^ap++++=other
things ^nns++++=things:
: ^zz++++=EXTRAWORD
incense ^nn++++=incense
from ^in++++=from
India ^np++++=India,
, ^zz++++=EXTRAWORD
a ^at++++=a
woven ^vwbn+++xvbn+=woven
purse ^nn++++=purse
from ^in++++=from
Guatemala ^np++++=Guatemala,
, ^zz++++=EXTRAWORD
earrings ^nns++++=earrings
shaped ^vbd+++xvbn+=shaped
like ^in++++=like
tiny ^jj+atrb+++=tiny
Maasai ^np+++??+=Maasai
shields ^np++++=shields.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
beautiful ^jj+pred+++=beautiful
and ^cc++++=and
had ^vb+hv+vrb++=had
no ^at++++=no
use ^nn++++=use.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
a ^at++++=a
carved ^jj+atrb++xvbn+=carved
bowl ^nn++++=bowl
and ^cc++++=and
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
fair ^jj+pred+++=fair-trade.
- ^zz++++=EXTRAWORD
trade ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
ask ^vbi++++=ask
whether ^cs+who+++=whether
fairness ^nns+nom+++=fairness
made ^vbd+++xvbn+=made
soup ^nn++++=soup
taste ^nn++++=taste
different ^jj++++=different.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
shirt ^nn++++=shirt.
. ^zz++++=EXTRAWORD
Plain ^nn++++=Plain
cotton ^np++++=cotton,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
gray ^np++++=gray.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
it ^pp3+it+++=it
until ^cs+sub+++=until
the ^ati++++=the
collar ^nn++++=collar
softened ^vbd+++xvbn+=softened.
. ^zz++++=EXTRAWORD
With ^in++++=With
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
began ^vbd+++xvbn+=began
to ^to++++=to
see ^vbi+vprv+++=see
places ^nns++++=places
beyond ^in++++=beyond
the ^ati++++=the
restaurant ^nn+nom+++=restaurant
and ^cc++++=and
your ^pp$+pp2+++=your
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
you ^pp2+pp2+++=you
to ^in++++=to
museums ^nns++++=museums
where ^wrb+who+++=where
masks ^vbz++++=masks
from ^in++++=from
Nigeria ^np++++=Nigeria
stood ^vbd+++xvbn+=stood
behind ^in+pl+++=behind
glass ^nn++++=glass
beneath ^in+pl+++=beneath
neat ^jj+atrb+++=neat
labels ^nns++++=labels.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
sea ^nn++++=sea
in ^in++++=in
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
water ^nn++++=water
was ^vbd+bedz+vrb++=was
steel ^nn++++=steel-colored
- ^zz++++=EXTRAWORD
colored ^jj+++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
violent ^jj++++=violent,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
like ^in++++=like
Bar ^nn++++=Bar
Beach ^nn++++=Beach,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
hawkers ^nns+nom+++=hawkers
carried ^vbd+++xvbn+=carried
groundnuts ^nns+++??+=groundnuts
and ^cc++++=and
boiled ^xvbn+++xvbn+=boiled
eggs ^nns++++=eggs
through ^in++++=through
the ^ati++++=the
crowds ^nns++++=crowds.
. ^zz++++=EXTRAWORD
At ^rb++++=At
a ^at++++=a
farmers ^nns+nom+++=farmers'
' ^zz++++=EXTRAWORD
market ^nn++++=market,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
bought ^vbd+++xvbnx+=bought
cheese ^nn++++=cheese
flecked ^jj++++=flecked
with ^in++++=with
herbs ^nns++++=herbs.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
cost ^nn++++=cost
more ^ql++++=more
than ^cs+sub+++=than
you ^pp2+pp2+++=you
spent ^vbd+++xvbn+=spent
on ^in++++=on
food ^nn++++=food
in ^in++++=in
three ^cd++++=three
days ^nns++++=days.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said
so ^ql++++=so,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered
that ^tht+vcmp+++=that
the ^ati++++=the
farmers ^nns+nom+++=farmers
needed ^vwbn+++xvbn+=needed
support ^nn++++=support.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
tell ^vbi++++=tell
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
your ^pp$+pp2+++=your
mother ^nn++++=mother
also ^rb++++=also
needed ^vbd+++xvbn+=needed
support ^nn++++=support.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
tasted ^vprf+++xvbn+=tasted
the ^ati++++=the
cheese ^nn++++=cheese.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
asked ^vbd+vsua+tht0+xvbnx+=asked
you ^pp2+pp2+++=you
to ^to++++=to
move ^vbi++++=move
nearer ^in+cmpx+++=nearer
to ^in"++++=to
the ^ati++++=the
university ^nn+nom+++=university,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
rents ^nns++++=rents
were ^vbd+bed+vrb++=were
high ^jj+pred+++=high.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
offered ^vbd+++xvbnx+=offered
to ^to++++=to
pay ^vbi++++=pay
the ^ati++++=the
difference ^nn+nom+++=difference.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
refused ^vbd+++xvbn+=refused.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
money ^nn++++=money
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
matter ^nn++++=matter
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
a ^at++++=a
thing ^nn++++=thing
only ^rb+down+++=only
people ^nns++++=people
with ^in++++=with
money ^nn++++=money
could ^md+pos+++=could
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cord ^nn++++=cord
at ^in++++=at
your ^pp$+pp2+++=your
throat ^nn++++=throat
loosened ^vbd+++xvbn+=loosened
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
slept ^vbd+++xvbnx+=slept
beside ^in+pl+++=beside
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
wake ^vb++++=wake
with ^in++++=with
his ^pp$+pp3+++=his
arm ^nn++++=arm
heavy ^jj++++=heavy
over ^in++++=over
your ^pp$+pp2+++=your
waist ^nn++++=waist,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
breath ^nn++++=breath
warm ^jj++++=warm
against ^in++++=against
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
your ^pp$+pp2+++=your
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
restaurant ^nn+nom+++=restaurant,
, ^zz++++=EXTRAWORD
no ^at++++=no
basement ^nn+nom+++=basement
in ^in++++=in
Maine ^np++++=Maine,
, ^zz++++=EXTRAWORD
no ^at++++=no
envelope ^nn++++=envelope
traveling ^nn+nom+++=traveling
to ^in++++=to
Lagos ^np+++??+=Lagos
without ^in++++=without
a ^at++++=a
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tell ^vb++++=tell
him ^pp3o+pp3+++=him
about ^in++++=about
your ^pp$+pp2+++=your
uncle ^nn++++=uncle.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub++xvbn+=said
only ^rb+down+++=only
that ^dt+dem+++=that
the ^ati++++=the
arrangement ^nn+nom+++=arrangement
had ^vb+hv+aux++=had
not ^xnot++not++=not
worked ^vbd+++xvbn+=worked
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
report ^vb++++=report
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
exploited ^vbd+++xvbnx+=exploited
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
watched ^vbd+++xvbn+=watched
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
open ^jj++++=open
and ^cc+phrs+++=and
certain ^jj++++=certain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
believed ^vbd+vprv+tht0+xvbnx+=believed
institutions ^nns+nom+++=institutions
waited ^vbd+++xvbn+=waited
like ^in++++=like
clean ^jj+atrb+++=clean
hospitals ^nns+nom+++=hospitals,
, ^zz++++=EXTRAWORD
ready ^jj++++=ready
to ^to+jcmp+++=to
receive ^vbi++++=receive
every ^at++++=every
wound ^nn+++xvbn+=wound.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
imagined ^vbd+vprv++xvbn+=imagined
telling ^vbg+nom++xvbg+=telling
a ^at++++=a
police ^nns++++=police
officer ^nn++++=officer
that ^tht+rel+obj++=that
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
friend ^nn++++=friend
had ^vbd+hvd+aux++=had
touched ^vprf+++xvbnx+=touched
your ^pp$+pp2+++=your
knee ^nn++++=knee,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
your ^pp$+pp2+++=your
wrist ^nn++++=wrist,
, ^zz++++=EXTRAWORD
pushed ^xvbn+++xvbn+=pushed
you ^pp2+pp2+++=you
against ^in++++=against
a ^at++++=a
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
imagined ^vbd+vprv++xvbn+=imagined
your ^pp$+pp2+++=your
uncle ^nn++++=uncle
showing ^vwbg+vprv++xvbg+=showing
receipts ^nns++++=receipts
for ^in++++=for
your ^pp$+pp2+++=your
ticket ^nn++++=ticket
and ^cc++++=and
winter ^nn++++=winter
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
imagined ^vbd+vprv++xvbn+=imagined
your ^pp$+pp2+++=your
auntie ^npt++++=auntie
crying ^vwbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
left ^vbd+++xvbnx+=left,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+aux++=is
finished ^vpsv++agls+xvbnx+=finished."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
not ^xnot++not++=not
finished ^vprf+++xvbn+=finished
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
it ^pp3+it+++=it
to ^in++++=to
someone ^pn++++=someone
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
turned ^vbd+++xvbn+=turned
away ^rb+phrv+++=away.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
apologized ^vbd+++xvbnx+=apologized,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
you ^pp2+pp2+++=you
had ^vb+hv+aux++=had
not ^xnot++not++=not
explained ^vbd+vpub++xvbn+=explained
what ^wdt+who+whcl++=what
apology ^nn++++=apology
was ^vbd+bedz+aux++=was
needed ^vpsv++agls+xvbnx+=needed.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
you ^pp2+pp2+++=you
ate ^vbd+++xvbn+=ate
at ^in++++=at
restaurants ^nns+nom+++=restaurants
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
people ^nns++++=people
watched ^vbd+++xvbn+=watched.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
stared ^jj+++xvbn+=stared
quickly ^rb++++=quickly
and ^cc+phrs+++=and
then ^rn+tm+++=then
became ^vbd+++xvbn+=became
interested ^jj++++=interested
in ^in++++=in
their ^pp$+pp3+++=their
plates ^nns++++=plates.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
smiled ^jj+++xvbn+=smiled
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
an ^at++++=an
older ^jjr+atrb+++=older
black ^jj+atrb+++=black
man ^nn++++=man
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head
as ^ql++++=as
you ^pp2+pp2+++=you
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
a ^at++++=a
white ^jj+atrb+++=white
woman ^nn++++=woman
told ^vbd+vpub++xvbn+=told
Evan ^np+++??+=Evan
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
adventurous ^jj+pred+++=adventurous.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
she ^pp3a+pp3+++=she
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
safari ^nn++++=safari?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+aux++=was
speaking ^vbg+++xvbgx+=speaking
to ^in++++=to
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
university ^nn+nom+++=university,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
friends ^nns++++=friends
spoke ^vbd+++xvbn+=spoke
about ^in++++=about
Africa ^np++++=Africa
with ^in++++=with
concerned ^xvbn+++xvbn+=concerned
voices ^nns++++=voices.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
discussed ^vbd+++xvbnx+=discussed
debt ^nn++++=debt
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
female ^nn++++=female
circumcision ^nn++++=circumcision,
, ^zz++++=EXTRAWORD
civil ^jj+atrb+++=civil
war ^nn++++=war.
. ^zz++++=EXTRAWORD
A ^at++++=A
girl ^nn++++=girl
with ^in++++=with
silver ^nn++++=silver
rings ^nns++++=rings
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
traumatized ^vpsv++by+xvbnx+=traumatized
by ^in++++=by
poverty ^nn++++=poverty.
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
disappointed ^vbd+++xvbn+=disappointed.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
friend ^nn++++=friend
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
visit ^vbi++++=visit
Nigeria ^np++++=Nigeria
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
preferred ^vbd+++xvbnx+=preferred
authentic ^jj+atrb+++=authentic
places ^nns++++=places.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
complained ^vbd+vpub++xvbnx+=complained
that ^tht+vcmp+++=that
a ^at++++=a
trip ^nn++++=trip
to ^in++++=to
Thailand ^np+++??+=Thailand
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
ruined ^vpsv++by+xvbnx+=ruined
by ^in++++=by
tourists ^nns+nom+++=tourists.
. ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
an ^at++++=an
idiot ^nn++++=idiot.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
grateful ^jj++++=grateful.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
resented ^vbd+++xvbn+=resented
the ^ati++++=the
ease ^nn++++=ease
with ^in++++=with
which ^whp+rel+pied++=which
Evan ^np+++??+=Evan
defended ^vbd+++xvbn+=defended
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
step ^vb++++=step
into ^in++++=into
your ^pp$+pp2+++=your
skin ^nn++++=skin
for ^in++++=for
five ^cd++++=five
minutes ^nns++++=minutes
and ^cc++++=and
step ^nn++++=step
out ^rp+pl+++=out
clean ^jj++++=clean.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
drive ^nn++++=drive
home ^nr++++=home,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sorry ^uh++++=sorry
about ^rb++++=about
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+vrb++=are
your ^pp$+pp2+++=your
friends ^nns++++=friends."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
all ^rb++++=all
of ^in++++=of
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+aux++=were
laughing ^vbg+++xvbgx+=laughing
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
at ^in++++=at
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
can ^md+pos+++=can
laugh ^vb++++=laugh.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
travel ^vb++++=travel
to ^in++++=to
Senegal ^np+++??+=Senegal,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
come ^vb++++=come
back ^jjb++++=back
and ^cc++++=and
tell ^vb++++=tell
people ^nns++++=people
what ^wdt+who+++=what
Africa ^np++++=Africa
is ^vbz+bez+vrb++=is
like ^in+strn+++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gripped ^vbd+++xvbnx+=gripped
the ^ati++++=the
steering ^xvbg+++xvbg+=steering
wheel ^vb++++=wheel.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
fair ^jj++++=fair."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
leaves ^nns++++=leaves
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red
and ^cc++++=and
yellow ^nn++++=yellow,
, ^zz++++=EXTRAWORD
bright ^jj++++=bright
as ^ql++++=as
warning ^nn++++=warning
signs ^nns++++=signs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
privileged ^jj+pred+++=privileged.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
as ^cs+sub+++=as
if ^cs+cnd+++=if
knowledge ^nn++++=knowledge
were ^vbd+bed+vrb++=were
payment ^nn+nom+++=payment.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
asked ^vbd+vsua++xvbn+=asked
him ^pp3o+pp3+++=him
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
sacrificed ^vprf+++xvbnx+=sacrificed
by ^in++++=by
knowing ^nn++++=knowing.
. ^zz++++=EXTRAWORD
For ^in++++=For
two ^cd++++=two
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cord ^nn++++=cord
returned ^vbd+++xvbn+=returned
at ^rb++++=at
night ^nn++++=night,
, ^zz++++=EXTRAWORD
tighter ^jjr++++=tighter
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
worked ^vbd+++xvbn+=worked,
, ^zz++++=EXTRAWORD
ate ^jj+atrb++xvbn+=ate
toast ^nn++++=toast
over ^in++++=over
the ^ati++++=the
sink ^nn++++=sink,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watched ^vbd+++xvbn+=watched
the ^ati++++=the
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
it ^pp3+it+++=it
rang ^vbd+++xvbn+=rang,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
let ^vbd+++xvbn+=let
it ^pp3+it+++=it
ring ^nn++++=ring
five ^cd++++=five
times ^nns++++=times
before ^in++++=before
answering ^nn++++=answering.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
miss ^npt++++=miss
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
it ^pp3+it+++=it
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
asked ^vbd+vsua++xvbn+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
eaten ^vbd+++xvbn+=eaten?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed
softly ^rb++++=softly.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vbd+hvd+aux++=had
missed ^vprf+++xvbnx+=missed
the ^ati++++=the
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
At ^in++++=At
Christmas ^np++++=Christmas,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
you ^pp2+pp2+++=you
to ^in++++=to
his ^pp$+pp3+++=his
parents ^nns++++=parents'
' ^zz++++=EXTRAWORD
house ^npl++++=house
in ^in++++=in
Vermont ^np+++??+=Vermont.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
rooms ^nns++++=rooms
were ^vbd+bed+vrb++=were
warm ^jj+pred+++=warm
without ^in++++=without
radiators ^nns++++=radiators
clanging ^jj++++=clanging.
. ^zz++++=EXTRAWORD
Paintings ^nns++++=Paintings
hung ^vbd+++xvbn+=hung
in ^in++++=in
places ^nns++++=places
where ^wrb+who+++=where
you ^pp2+pp2+++=you
would ^md+prd+++=would
have ^vb+hv+aux++=have
put ^vprf+++xvbnx+=put
calendars ^nns++++=calendars.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
hugged ^vbd+++xvbn+=hugged
you ^pp2+pp2+++=you
and ^cc++++=and
said ^vbd+vpub++xvbn+=said
your ^pp$+pp2+++=your
name ^nn++++=name
correctly ^rb++++=correctly;
; ^zz++++=EXTRAWORD
Evan ^np+++??+=Evan
had ^vbd+hvd+aux++=had
practiced ^vprf+++xvbnx+=practiced
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^npt++++=father
asked ^vbd+vsua++xvbn+=asked
intelligent ^jj+atrb+++=intelligent
questions ^nns+nom+++=questions
about ^in++++=about
