Dear ^jj+atrb+++=Dear
may ^md+pos+++=may
expect ^vb+vprv+tht0++=expect
you ^pp2+pp2+++=you
to ^to++++=to
come ^vbi++++=come.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
may ^md+pos+++=may
be ^vb+be+aux++=be
waiting ^vbg+++xvbgx+=waiting
for ^in++++=for
precisely ^rb++++=precisely
the ^ati++++=the
noble ^jj+atrb+++=noble
gesture ^nn++++=gesture
the ^ati++++=the
visit ^nn++++=visit,
, ^zz++++=EXTRAWORD
the ^ati++++=the
call ^nn++++=call,
, ^zz++++=EXTRAWORD
the ^ati++++=the
attempt ^nn++++=attempt
to ^to+ncmp+++=to
find ^vbi+vprv+++=find
a ^at++++=a
clerk ^nn++++=clerk
willing ^jj++++=willing
to ^to+jcmp+++=to
accept ^vbi+vprv+++=accept
money ^nn++++=money
or ^cc++++=or
kindness ^nns+nom+++=kindness.
. ^zz++++=EXTRAWORD
A ^at++++=A
regime ^nn++++=regime
like ^in++++=like
this ^dt+pdem+++=this
depends ^vbz++++=depends
upon ^in++++=upon
love ^nn++++=love;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
threatens ^vbz++++=threatens
one ^cd1++++=one
person ^nn++++=person
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
move ^vb++++=move
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Hatred ^nn++++=Hatred
is ^vbz+bez+vrb++=is
noisy ^jj+pred+++=noisy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
love ^nn++++=love
supplies ^nns++++=supplies
the ^ati++++=the
address ^nns+nom+++=address.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
consider ^nn+nom+++=consider
your ^pp$+pp2+++=your
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
sister ^nn++++=sister.
. ^zz++++=EXTRAWORD
Us ^pp1o+pp1+++=Us,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
old ^jj+pred+++=old
and ^cc++++=and
should ^md+nec+++=should
perhaps ^rb++++=perhaps
not ^xnot++not++=not
weigh ^vb++++=weigh
heavily ^rb++++=heavily
in ^in++++=in
the ^ati++++=the
calculation ^nn+nom+++=calculation.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
act ^nn++++=act,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
question ^nn+nom+++=question
your ^pp$+pp2+++=your
father ^nn++++=father
at ^rb++++=at
work ^nn++++=work.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
may ^md+pos+++=may
review ^vb++++=review
your ^pp$+pp2+++=your
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
clinic ^nn++++=clinic
license ^nn+++??+=license.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
sister ^nn++++=sister's
's ^$++++=EXTRAWORD
travel ^nn++++=travel
permission ^nn++++=permission
could ^md+pos+++=could
vanish ^vb++++=vanish.
. ^zz++++=EXTRAWORD
The ^ati++++=The
family ^nn++++=family
association ^nn+nom+++=association
rules ^nns++++=rules
are ^vb+ber+vrb++=are
vague ^jj+pred+++=vague
because ^cs+cos+++=because
vagueness ^nns+nom+++=vagueness
is ^vbz+bez+vrb++=is
the ^ati++++=the
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Punishment ^nn+nom+++=Punishment
spreads ^vbz++++=spreads
until ^cs+sub+++=until
everyone ^pn++++=everyone
learns ^vbz+vprv+++=learns
to ^to+vcmp+++=to
police ^vb++++=police
everyone ^pn++++=everyone
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^vb++++=hate
myself ^ppl+pp1+++=myself
a ^rb++++=a
little ^rb"++++=little
for ^in++++=for
writing ^vb+++xvbg+=writing
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
apparently ^rb+cnj+++=apparently,
, ^zz++++=EXTRAWORD
to ^to++++=to
stop ^vbi++++=stop.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
money ^nn++++=money.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
does ^vbz+doz+aux++=does
not ^xnot++not++=not
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
telling ^nvbg+++xvbg+=telling
you ^pp2+pp2+++=you
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
she ^pp3a+pp3+++=she
probably ^rb++++=probably
knows ^vbz+vprv+++=knows
about ^in++++=about
the ^ati++++=the
money ^nn++++=money;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
no ^at++++=no
secrets ^nns++++=secrets
in ^in++++=in
a ^at++++=a
long ^jj+atrb+++=long
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
subjects ^nns++++=subjects
temporarily ^rb++++=temporarily
left ^jj+++xvbn+=left
undisturbed ^jj++++=undisturbed.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
currency ^nn++++=currency
conversion ^nn++++=conversion
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
also ^rb++++=also
a ^at++++=a
foreign ^nn++++=foreign
account ^vb++++=account
opened ^vbd+++xvbn+=opened
before ^cs+sub+++=before
such ^abl++++=such
accounts ^nns++++=accounts
became ^vbd+++xvbn+=became
evidence ^nn+nom+++=evidence
of ^in++++=of
" ^zz++++="exit
exit ^nn++++=EXTRAWORD
intent ^jj++++=intent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
thousand ^cd++++=thousand,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
less ^rbr++++=less
after ^in++++=after
fees ^nns++++=fees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
access ^nn++++=access
numbers ^nns+nom+++=numbers
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
basement ^nn+nom+++=basement
workshop ^nn++++=workshop,
, ^zz++++=EXTRAWORD
inside ^jjb++++=inside
the ^ati++++=the
red ^jj+atrb+++=red
toolbox ^nn+++??+=toolbox,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
tray ^nn++++=tray
of ^in++++=of
drill ^nn++++=drill
bits ^nns++++=bits.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
false ^jj+atrb+++=false
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
ridiculous ^jj+atrb+++=ridiculous
grandfather ^nn+nom+++=grandfather
built ^vbd+++xvbn+=built
a ^at++++=a
false ^jj+atrb+++=false
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
very ^ql+amp+++=very
good ^jj++++=good.
. ^zz++++=EXTRAWORD
Anyone ^pn++++=Anyone
searching ^jj+++xvbg+=searching
properly ^rb++++=properly
will ^md+prd+++=will
find ^vb+vprv+++=find
it ^pp3+it+++=it
in ^in++++=in
thirty ^cd++++=thirty
seconds ^nns++++=seconds,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
hope ^nn++++=hope
they ^pp3a+pp3+++=they
send ^vb++++=send
an ^at++++=an
idiot ^nn++++=idiot.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
not ^xnot++not++=not
advising ^vbg+++xvbg+=advising
you ^pp2+pp2+++=you
to ^to++++=to
use ^vbi++++=use
this ^dt+dem+++=this
money ^nn++++=money.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
telling ^nvbg+++xvbg+=telling
you ^pp2+pp2+++=you
it ^pp3+it+++=it
exists ^vbz++++=exists.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
are ^vb+ber+vrb++=are
different ^jj+atrb+++=different
statements ^nns+nom+++=statements,
, ^zz++++=EXTRAWORD
legally ^rb++++=legally
and ^cc+phrs+++=and
morally ^rb+cnj+++=morally,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
perhaps ^rb++++=perhaps
not ^xnot++not++=not
to ^in++++=to
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+obj++=who
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
pay ^vb++++=pay
a ^at++++=a
lawyer ^nn++++=lawyer,
, ^zz++++=EXTRAWORD
a ^at++++=a
driver ^nn++++=driver,
, ^zz++++=EXTRAWORD
documents ^nns+nom+++=documents,
, ^zz++++=EXTRAWORD
a ^at++++=a
debt ^nn++++=debt.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
do ^vb+do+vrb++=do
nothing ^pn++++=nothing
except ^in++++=except
attract ^vb++++=attract
another ^dt++++=another
set ^vwbn+++xvbn+=set
of ^in++++=of
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
endanger ^nn+nom+++=endanger
J ^zz++++=J.
. ^zz++++=EXTRAWORD
further ^jjb++++=further.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
need ^vb++++=need
facts ^nns++++=facts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
facts ^nns++++=facts
are ^vb+ber+vrb++=are
the ^ati++++=the
one ^cd1++++=one
commodity ^nn+nom+++=commodity
no ^at++++=no
one ^cd1++++=one
can ^md+pos+++=can
safely ^rb++splt++=safely
obtain ^vb++++=obtain.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
not ^xnot++not++=not
rush ^nn++++=rush
because ^cs+cos+++=because
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel
guilty ^jj++++=guilty.
. ^zz++++=EXTRAWORD
Guilt ^nn++++=Guilt
enjoys ^vbz++++=enjoys
disguising ^vbg+++xvbg+=disguising
itself ^ppl++++=itself
as ^ql++++=as
courage ^np+nom+++=courage.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
delay ^vb++++=delay
merely ^rb+down+++=merely
because ^cs+cos+++=because
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
frightened ^vpsv++agls+xvbnx+=frightened.
. ^zz++++=EXTRAWORD
Fear ^vb++++=Fear
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
disguising ^vbg+++xvbgx+=disguising
itself ^ppl++++=itself
as ^ql++++=as
wisdom ^np++++=wisdom
for ^in++++=for
most ^ap+emph+++=most
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
intend ^vb++++=intend
to ^to+vcmp+++=to
do ^vbi++++=do,
, ^zz++++=EXTRAWORD
Robbie ^np++++=Robbie?
? ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
through ^in++++=through
the ^ati++++=the
usual ^jj+atrb+++=usual
channels ^nns++++=channels.
. ^zz++++=EXTRAWORD
Better ^jjr++++=Better
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
here ^rn+pl+++=here
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
do ^vb+do+vrb++=do
so ^rb++++=so
without ^in++++=without
creating ^xvbg+++xvbg+=creating
a ^at++++=a
pattern ^nn++++=pattern.
. ^zz++++=EXTRAWORD
Bring ^vb++++=Bring
laundry ^nn++++=laundry.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
men ^nns++++=men
may ^md+pos+++=may
visit ^vb++++=visit
grandparents ^nns++++=grandparents
for ^in++++=for
laundry ^nn++++=laundry,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
young ^jj+atrb+++=young
men ^nns++++=men
who ^whp+rel+subj++=who
still ^rb++++=still
believe ^vb+vprv+tht0++=believe
shirts ^nns++++=shirts
become ^vb++++=become
clean ^jj++++=clean
through ^in++++=through
proximity ^nn+nom+++=proximity
to ^in++++=to
a ^at++++=a
washing ^jj+atrb++xvbg+=washing
machine ^nn++++=machine.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
sit ^vb++++=sit
at ^in++++=at
the ^ati++++=the
kitchen ^nn++++=kitchen
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
grandmother ^nn+nom+++=grandmother
will ^md+prd+++=will
make ^vb++++=make
soup ^nn++++=soup
and ^cc++++=and
pretend ^vb+vprv+tht0++=pretend
she ^pp3a+pp3+++=she
cannot ^md+pos+not++=cannot
hear ^vb+vprv+++=hear
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
tell ^vb++++=tell
you ^pp2+pp2+++=you
again ^rb+tm+++=again
to ^to++++=to
do ^vbi++++=do
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
be ^vb+be+vrb++=be
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
I ^pp1a+pp1+++=I
may ^md+pos+++=may
open ^jj++++=open
the ^ati++++=the
red ^jj+atrb+++=red
toolbox ^nn+++??+=toolbox.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
could ^md+pos+++=could
give ^vb++++=give
you ^pp2+pp2+++=you
the ^ati++++=the
advice ^nn++++=advice
a ^at++++=a
grandfather ^nn+nom+++=grandfather
is ^vbz+bez+aux++=is
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
give ^vb++++=give:
: ^zz++++=EXTRAWORD
be ^vb+be+vrb++=be
brave ^jj+pred+++=brave,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
right ^nn++++=right,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
advice ^nn++++=advice
from ^in++++=from
stories ^nns++++=stories
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
brave ^jj++++=brave
are ^vb+ber+aux++=are
shot ^vpsv++agls+xvbnx+=shot
only ^rb+down+++=only
in ^in++++=in
places ^nns++++=places
that ^tht+rel+++=that
heal ^jj++++=heal,
, ^zz++++=EXTRAWORD
the ^ati++++=the
right ^jj+atrb+++=right
path ^nn++++=path
is ^vbz+bez+aux++=is
marked ^vpsv++agls+xvbnx+=marked,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fear ^nn++++=fear
belongs ^vbz++++=belongs
to ^in++++=to
villains ^nns+++??+=villains.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
country ^nn++++=country
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
decent ^jj+atrb+++=decent
people ^nns++++=people
disappear ^vb+seem+++=disappear
over ^in++++=over
" ^zz++++="simple
simple ^jj+atrb+++=EXTRAWORD
questions ^nns+nom+++=questions,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
boy ^nn++++=boy
with ^in++++=with
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
face ^nn++++=face
can ^md+pos+++=can
ruin ^vb++++=ruin
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
because ^cs+cos+++=because
his ^pp$+pp3+++=his
equipment ^nn+nom+++=equipment
clanks ^nns+++??+=clanks
and ^cc++++=and
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
wants ^vbz++++=wants
to ^to+vcmp+++=to
get ^vbi++++=get
home ^nr++++=home.
. ^zz++++=EXTRAWORD
Survive ^vb++++=Survive,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
Keep ^vb++++=Keep
your ^pp$+pp2+++=your
mind ^nn++++=mind
intact ^jj++++=intact.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
the ^ati++++=the
names ^nns++++=names
they ^pp3a+pp3+++=they
erase ^vb++++=erase.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait.
. ^zz++++=EXTRAWORD
Countries ^nns++++=Countries
recover ^vb++++=recover.
. ^zz++++=EXTRAWORD
Bad ^jj+atrb+++=Bad
seasons ^nns++++=seasons
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
frightened ^jj+atrb++xvbn+=frightened
people ^nns++++=people
may ^md+pos+++=may
outlive ^vb++++=outlive
the ^ati++++=the
things ^nns++++=things
that ^tht+rel+++=that
frightened ^jj+++xvbn+=frightened
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
waiting ^nvbg+++xvbg+=waiting
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
So ^ql++++=So
come ^vb++++=come
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
careful ^jj+pred+++=careful.
. ^zz++++=EXTRAWORD
Burn ^vb++++=Burn
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
already ^rb++splt++=already
decided ^vprf+++xvbnx+=decided
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
some ^dti++++=some
plan ^nn++++=plan
beneath ^rb++++=beneath
your ^pp$+pp2+++=your
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
some ^dti++++=some
door ^nn++++=door
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
knock ^vbi++++=knock
on ^in++++=on
or ^cc++++=or
border ^nn++++=border
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
cross ^vbi++++=cross
do ^vb+do+aux++=do
not ^xnot++not++=not
mistake ^vb++++=mistake
my ^pp$+pp1+++=my
hesitation ^nn+nom+++=hesitation
for ^in++++=for
refusal ^nn++++=refusal.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
proud ^jj+pred+++=proud
of ^in++++=of
J ^zz++++=J.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
be ^vb+be+vrb++=be
proud ^jj+pred+++=proud
of ^in++++=of
you ^pp2+pp2+++=you
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
would ^md+prd+++=would
prefer ^vb+vprv+++=prefer,
, ^zz++++=EXTRAWORD
selfish ^jj+atrb+++=selfish
old ^jj+atrb+++=old
fart ^nn+++??+=fart
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi++vrb++=have
you ^pp2+pp2+++=you
safe ^jj++++=safe
enough ^qlp++++=enough
that ^dt+dem+++=that
pride ^nn++++=pride
is ^vbz+bez+vrb++=is
unnecessary ^jj+pred+++=unnecessary.
. ^zz++++=EXTRAWORD
with ^in++++=With
all ^abn++++=all
my ^pp$+pp1+++=my
love ^nn++++=love,
, ^zz++++=EXTRAWORD
grandpa ^npt++++=Grandpa
