Until ^in++++=Until
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trick ^nn++++=trick
would ^md+prd+++=would
consist ^nn+nom+++=consist
of ^in++++=of
a ^at++++=a
curtain ^nn++++=curtain,
, ^zz++++=EXTRAWORD
a ^at++++=a
trap ^nn++++=trap,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
a ^at++++=a
concealed ^jj+atrb++xvbn+=concealed
revolving ^jj+atrb++xvbg+=revolving
panel ^nn++++=panel.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
watch ^vb++++=watch
closely ^rb++++=closely.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
would ^md+prd+++=would
be ^vb+be+vrb++=be
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
reach ^nn++++=reach
for ^in++++=for
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
second ^od++++=second.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
trick ^nn++++=trick,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
we ^pp1a+pp1+++=we
go ^vb++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
judgement ^nn+nom+++=judgement
is ^vbz+bez+vrb++=is
impeccable ^jj+pred+++=impeccable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
An ^at++++=An
assistant ^nn+nom+++=assistant
appeared ^vbd+seem++xvbn+=appeared
from ^in++++=from
behind ^in+pl+++=behind
a ^at++++=a
pillar ^nn++++=pillar.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
say ^vb+vpub+tht0++=say
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
not ^xnot++not++=not
there ^rn+pl+++=there
and ^cc++++=and
then ^rn+tm+++=then
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short
and ^cc+phrs+++=and
yellow ^jj++++=yellow-faced,
- ^zz++++=EXTRAWORD
faced ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
purple ^jj+atrb+++=purple
coat ^nn++++=coat
with ^in++++=with
sleeves ^nns++++=sleeves
too ^ql++++=too
long ^rb++++=long
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
nose ^nn++++=nose
drooped ^vbd+++xvbn+=drooped
over ^in++++=over
his ^pp$+pp3+++=his
mouth ^nn++++=mouth
like ^in++++=like
soft ^jj+atrb+++=soft
wax ^nn++++=wax.
. ^zz++++=EXTRAWORD
" ^zz++++="Bring
bring ^vb++++=EXTRAWORD
the ^ati++++=the
Cabinet ^nn++++=Cabinet
of ^in++++=of
Innocent ^jj+atrb+++=Innocent
Diversion ^nn++++=Diversion,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
ordered ^vbd+vsua++xvbn+=ordered
the ^ati++++=the
shopman ^nn++++=shopman.
. ^zz++++=EXTRAWORD
The ^ati++++=The
assistant ^nn+nom+++=assistant
seized ^vbd+++xvbn+=seized
his ^pp$+pp3+++=his
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
pulled ^j+++xvbn+=pulled
it ^pp3+it+++=it
to ^in++++=to
nearly ^rb+down+++=nearly
two ^cd++++=two
feet ^nns++++=feet
in ^in++++=in
length ^nn++++=length
and ^cc++++=and
used ^vbd+++xvbn+=used
it ^pp3+it+++=it
to ^in++++=to
hook ^nn++++=hook
a ^at++++=a
striped ^jj+atrb+++=striped
cabinet ^nn++++=cabinet
from ^in++++=from
behind ^in+pl+++=behind
a ^at++++=a
screen ^nn++++=screen.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
so ^ql++++=so
grossly ^rb++++=grossly
absurd ^jj++++=absurd
that ^cs+sub+++=that
Gip ^np+++??+=Gip
burst ^vbd+++xvbn+=burst
out ^rp+pl+++=out
laughing ^nvbg+++xvbg+=laughing.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
I ^pp1a+pp1+++=I
smiled ^vbd+++xvbnx+=smiled,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
unwillingly ^rb++++=unwillingly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
assistant ^nn+nom+++=assistant
released ^vwbn+++xvbn+=released
his ^pp$+pp3+++=his
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
recoiled ^vbd+++xvbn+=recoiled
with ^in++++=with
a ^at++++=a
snap ^nn++++=snap
and ^cc++++=and
struck ^vbd+++xvbn+=struck
him ^pp3o+pp3+++=him
between ^in++++=between
the ^ati++++=the
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bowed ^vbd+++xvbnx+=bowed
as ^cs+sub+++=as
if ^cs+cnd+++=if
this ^dt+pdem+++=this
were ^vbd+bed+aux++=were
prescribed ^vpsv++agls+xvbnx+=prescribed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabinet ^nn++++=cabinet
resembled ^vbd+++xvbn+=resembled
a ^at++++=a
sentry ^nn++++=sentry
box ^nn++++=box.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
opened ^vbd+++xvbn+=opened
its ^pp$+it+++=its
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="Empty,
empty ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
observe ^vb+vprv+++=observe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
inspected ^vbd+++xvbnx+=inspected
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
back ^jjb+atrb+++=back
exit ^nn++++=exit,
, ^zz++++=EXTRAWORD
no ^at++++=no
trap ^nn++++=trap
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
detect ^vb++++=detect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
space ^nn++++=space
beneath ^in+strn+++=beneath.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
cabinet ^nn++++=cabinet
tricks ^nns++++=tricks
are ^vb+ber+vrb++=are
innumerable ^jj+pred+++=innumerable.
. ^zz++++=EXTRAWORD
" ^zz++++="Step
step ^nn++++=EXTRAWORD
inside ^jjb++++=inside,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
Gip ^vb+++??+=Gip.
. ^zz++++=EXTRAWORD
Gip ^np+++??+=Gip
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
" ^zz++++="Keep
keep ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
hand ^nn++++=hand
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
one ^cd1++++=one
small ^jj+atrb+++=small
hand ^nn++++=hand
round ^in++++=round
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^jj++++=shopman
closed ^jj+++xvbn+=closed
it ^pp3+it+++=it
gently ^rb++++=gently
until ^cs+sub+++=until
only ^rb+down+++=only
Gip ^np++++=Gip's
's ^$++++=EXTRAWORD
fingers ^nns+nom+++=fingers
remained ^vbd+++xvbn+=remained
visible ^jj++++=visible.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,"
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="at
at ^rb++++=EXTRAWORD
the ^ati++++=the
count ^nn++++=count
of ^in++++=of
three ^cd++++=three."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
this ^dt+pdem+++=this,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="One."
one ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Open
open ^jj++++=EXTRAWORD
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Two."
two ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
said ^vbd+vpub++xvbnx+=said
open ^jj++++=open
it ^pp3+it+++=it!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Three."
three ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
fingers ^nns+nom+++=fingers
vanished ^vbd+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sprang ^vbd+++xvbnx+=sprang
forward ^rb++++=forward
and ^cc++++=and
tore ^vbd+++xvbn+=tore
open ^jj++++=open
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabinet ^nn++++=cabinet
was ^vbd+bedz+vrb++=was
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
For ^in++++=For
half ^nn++++=half
a ^at++++=a
second ^od++++=second
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
understand ^vb+vprv+++=understand
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thrust ^vbd+++xvbnx+=thrust
my ^pp$+pp1+++=my
hands ^nns++++=hands
against ^in++++=against
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
the ^ati++++=the
panels ^nns++++=panels,
, ^zz++++=EXTRAWORD
kicked ^j+++xvbn+=kicked
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="Gip!"
gip ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Gip!"
gip ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
stood ^vbd+++xvbn+=stood
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling.
. ^zz++++=EXTRAWORD
" ^zz++++="Restore
restore ^vb++++=EXTRAWORD
that ^dt+dem+++=that
boy ^nn++++=boy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Certainly,
certainly ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
the ^ati++++=the
demonstration ^nn+nom+++=demonstration."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Now!"
now ^rn+tm+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
excitement ^nn+nom+++=excitement
is ^vbz+bez+vrb++=is
entirely ^rb+amp+++=entirely
natural ^jj+pred+++=natural,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
injurious ^jj++++=injurious
to ^in++++=to
the ^ati++++=the
effect ^nn++++=effect."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
him ^pp3o+pp3+++=him
by ^in++++=by
the ^ati++++=the
collar ^nn++++=collar.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
coat ^nn++++=coat
collapsed ^vbd+++xvbn+=collapsed
beneath ^rb++++=beneath
my ^pp$+pp1+++=my
hands ^nns++++=hands
like ^in++++=like
black ^jj+atrb+++=black
tissue ^nn++++=tissue
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
its ^pp$+it+++=its
neck ^nn++++=neck
rose ^vbd+++xvbn+=rose
a ^at++++=a
flock ^nn++++=flock
of ^in++++=of
white ^jj+atrb+++=white
pigeons ^nns++++=pigeons.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
battered ^vbd+++xvbnx+=battered
past ^jjb++++=past
my ^pp$+pp1+++=my
face ^nn++++=face
and ^cc++++=and
vanished ^vpsv++agls+xvbn+=vanished
among ^in++++=among
the ^ati++++=the
rafters ^nns+nom+++=rafters.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
was ^vbd+bedz+vrb++=was
suddenly ^rb++++=suddenly
ten ^cd++++=ten
yards ^nns++++=yards
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="Come,
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
slipped ^vbd+++xvbnx+=slipped
through ^in++++=through
a ^at++++=a
blue ^jj+atrb+++=blue
door ^nn++++=door.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
after ^in++++=after
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
gallery ^nn+nom+++=gallery
but ^cc++++=but
a ^at++++=a
narrow ^jj+atrb+++=narrow
passage ^nn+nom+++=passage,
, ^zz++++=EXTRAWORD
crooked ^jj++++=crooked
and ^cc+phrs+++=and
dim ^jj++++=dim.
. ^zz++++=EXTRAWORD
Shelves ^nns++++=Shelves
leaned ^vbd+++xvbn+=leaned
inward ^jjb++++=inward
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side,
, ^zz++++=EXTRAWORD
loaded ^j+++xvbn+=loaded
with ^in++++=with
masks ^vbz++++=masks
laughing ^xvbg+++xvbg+=laughing
masks ^vbz++++=masks,
, ^zz++++=EXTRAWORD
weeping ^nn++++=weeping
masks ^vbz++++=masks,
, ^zz++++=EXTRAWORD
infant ^nn++++=infant
masks ^vbz++++=masks
with ^in++++=with
ancient ^jj+atrb+++=ancient
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
floor ^nn++++=floor
yielded ^vbd+++xvbn+=yielded
under ^in++++=under
my ^pp$+pp1+++=my
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
me ^pp1o+pp1+++=me
the ^ati++++=the
door ^nn++++=door
slammed ^vbd+++xvbn+=slammed.
. ^zz++++=EXTRAWORD
" ^zz++++="Gip!"
gip ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
ahead ^rb+pl+++=ahead
came ^vbd+++xvbn+=came
his ^pp$+pp3+++=his
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Dadda!"
dadda ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran.
. ^zz++++=EXTRAWORD
The ^ati++++=The
passage ^npl+nom+++=passage
lengthened ^vbd+++xvbn+=lengthened
as ^ql++++=as
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lamps ^nns++++=lamps
withdrew ^vbd+++xvbn+=withdrew;
; ^zz++++=EXTRAWORD
curtains ^nns++++=curtains
brushed ^vbd+++xvbn+=brushed
my ^pp$+pp1+++=my
face ^nn++++=face
like ^in++++=like
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
collided ^vbd+++xvbnx+=collided
with ^in++++=with
a ^at++++=a
hanging ^jj+atrb++xvbg+=hanging
skeleton ^nn++++=skeleton,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
apologised ^vbd+++xvbn+=apologised
in ^in++++=in
a ^at++++=a
hollow ^nn++++=hollow
whisper ^vb+vpub+++=whisper.
. ^zz++++=EXTRAWORD
A ^at++++=A
row ^nn++++=row
of ^in++++=of
drums ^nns++++=drums
began ^vbd+++xvbn+=began
beating ^nvbg+++xvbg+=beating
to ^in++++=to
the ^ati++++=the
rhythm ^nn++++=rhythm
of ^in++++=of
my ^pp$+pp1+++=my
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop!"
stop ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
The ^ati++++=The
drums ^nns++++=drums
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
So ^ql++++=So
did ^vbd+dod+vrb++=did
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ceased ^vbd+++xvbn+=ceased
abruptly ^rb++++=abruptly
beneath ^in+pl+++=beneath
my ^pp$+pp1+++=my
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
dropped ^vbd+++xvbnx+=dropped
perhaps ^rb++++=perhaps
two ^cd++++=two
feet ^nns++++=feet
into ^in++++=into
another ^dt++++=another
room ^nn++++=room,
, ^zz++++=EXTRAWORD
landing ^nvbg+++xvbg+=landing
upon ^in++++=upon
a ^at++++=a
heap ^nn++++=heap
of ^in++++=of
stuffed ^xvbn+++xvbn+=stuffed
serpents ^nns++++=serpents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
was ^vbd+bedz+aux++=was
crossing ^vbg+++xvbgx+=crossing
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
Gip ^np+++??+=Gip
under ^in++++=under
one ^cd1++++=one
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seem ^vb+seem+++=seem
frightened ^jj+++xvbn+=frightened.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
waved ^vbd+++xvbnx+=waved.
. ^zz++++=EXTRAWORD
" ^zz++++="Dadda!
dadda ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+++=see
the ^ati++++=the
roof ^nn++++=roof
from ^in++++=from
underneath ^in+strn+++=underneath!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
him ^pp3o+pp3+++=him
down ^in+strn+++=down!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^nn++++=shopman
opened ^vbd+++xvbn+=opened
a ^at++++=a
door ^nn++++=door
in ^in++++=in
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
wall ^nn++++=wall
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
curtain ^nn++++=curtain
of ^in++++=of
hanging ^xvbg+++xvbg+=hanging
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
door ^nn++++=door
swung ^vbd+++xvbn+=swung
upon ^in++++=upon
brass ^nn++++=brass
hinges ^nns++++=hinges
and ^cc++++=and
showed ^vbd+vprv++xvbn+=showed
a ^at++++=a
darkness ^nns+nom+++=darkness
beyond ^in+strn+++=beyond.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
Gip ^np+++??+=Gip
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
scrambled ^vbd+++xvbnx+=scrambled
up ^rp++++=up
and ^cc++++=and
followed ^vbd+vprv++xvbn+=followed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
darkness ^nns+nom+++=darkness
swallowed ^vbd+++xvbn+=swallowed
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
no ^at++++=no
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
no ^at++++=no
sense ^nn++++=sense
of ^in++++=of
direction ^nn+nom+++=direction
only ^rb+down+++=only
the ^ati++++=the
smell ^nn++++=smell
of ^in++++=of
sealing ^xvbg+++xvbg+=sealing
wax ^nn++++=wax
and ^cc++++=and
the ^ati++++=the
distant ^jj+atrb+++=distant
rustle ^nn++++=rustle
of ^in++++=of
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
shopman ^nn++++=shopman
murmuring ^vwbg+++xvbg+=murmuring
as ^cs+sub+++=as
if ^cs+cnd+++=if
wrapping ^nvbg+++xvbg+=wrapping
some ^dti++++=some
enormous ^jj+atrb+++=enormous
parcel ^nn++++=parcel.
. ^zz++++=EXTRAWORD
Fold ^nn++++=Fold.
. ^zz++++=EXTRAWORD
Crease ^nn++++=Crease.
. ^zz++++=EXTRAWORD
Twist ^nn++++=Twist.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
wet ^jj+atrb+++=wet
slap ^nn++++=slap
of ^in++++=of
wax ^nn++++=wax.
. ^zz++++=EXTRAWORD
" ^zz++++="Gip!"
gip ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
child ^nn++++=child
laughed ^vbd+++xvbn+=laughed
not ^xnot++not++=not
Gip ^np+++??+=Gip,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
laugh ^nn++++=laugh
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
bottled ^jj+atrb+++=bottled
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
brushed ^vbd+++xvbn+=brushed
my ^pp$+pp1+++=my
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
" ^zz++++="Confound
confound ^vb++++=EXTRAWORD
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
harm ^nn++++=harm
him ^pp3o+pp3+++=him
" ^zz++++="
A ^at++++=A
light ^nn++++=light
flashed ^vbd+++xvbn+=flashed
above ^rb++++=above
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shopman ^jj+atrb+++=shopman's
's ^vbz+bez+aux++0=EXTRAWORD
face ^vb++++=face
hung ^vbd+++xvbn+=hung
there ^rn+pl+++=there
without ^in++++=without
body ^nn++++=body,
, ^zz++++=EXTRAWORD
smiling ^jj+atrb++xvbg+=smiling
upside ^nn++++=upside
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
harm ^vb++++=harm
the ^ati++++=the
Right ^jj+atrb+++=Right
Sort ^nn++++=Sort
of ^in++++=of
Boy ^nn++++=Boy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
give ^vb++++=give
him ^pp3o+pp3+++=him
back ^jjb++++=back!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
give ^vb++++=give
everything ^pn++++=everything
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
Eventually ^rb+tm+++=Eventually.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
not ^xnot++not++=not
always ^rb++++=always
in ^in++++=in
its ^pp$+it+++=its
former ^ap++++=former
wrapping ^nvbg+++xvbg+=wrapping."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
went ^vbd+++xvbn+=went
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
lunged ^vbd+++xvbnx+=lunged
towards ^in++++=towards
it ^pp3+it+++=it
and ^cc++++=and
struck ^vbd+++xvbn+=struck
a ^at++++=a
curtain ^nn++++=curtain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
curtain ^nn++++=curtain
wound ^vbd+++xvbn+=wound
round ^rb++++=round
my ^pp$+pp1+++=my
arms ^nns++++=arms.
