# ^zz++++=##
# ^zz++++=EXTRAWORD
Lights ^nns++++=Lights
died ^vbd+++xvbn+=died?
? ^zz++++=EXTRAWORD
Such ^abl++++=Such
is ^vbz+bez+vrb++=is
the ^ati++++=the
false ^jj+atrb+++=false
reckoning ^nn++++=reckoning
of ^in++++=of
a ^at++++=a
world ^nn++++=world
which ^whp+rel+obj++=which
measures ^nns++++=measures
good ^jj++++=good
only ^rb+down+++=only
by ^in++++=by
immediate ^jj+atrb+++=immediate
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
Marie ^np++++=Marie
gave ^vbd+++xvbn+=gave
her ^pp3o+pp3+++=her
father ^npt++++=father
days ^nns++++=days,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
months ^nns++++=months,
, ^zz++++=EXTRAWORD
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
also ^rb++++=also
the ^ati++++=the
knowledge ^nn++++=knowledge
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
loved ^vpsv++agls+xvbnx+=loved
with ^in++++=with
a ^at++++=a
love ^nn++++=love
stronger ^jjr++++=stronger
than ^in++++=than
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth
did ^vbd+dod+vrb++=did
the ^ati++++=the
same ^ap++++=same.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
even ^rb++++=even
had ^vb+hv+vrb++=had
both ^abx++++=both
fathers ^nns+nom+++=fathers
perished ^vbd+++xvbn+=perished
in ^in++++=in
the ^ati++++=the
courtyards ^nns+++??+=courtyards,
, ^zz++++=EXTRAWORD
the ^ati++++=the
devotion ^nn+nom+++=devotion
of ^in++++=of
their ^pp$+pp3+++=their
children ^nns++++=children
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
less ^rbr++++=less
noble ^jj++++=noble.
. ^zz++++=EXTRAWORD
Virtue ^nn++++=Virtue
does ^vbz+doz+aux++=does
not ^xnot++not++=not
cease ^vb++++=cease
to ^to++++=to
be ^vbi++vrb++=be
virtue ^nn++++=virtue
because ^cs+cos+++=because
violence ^nn+nom+++=violence
appears ^vbz+seem+++=appears
for ^in++++=for
a ^at++++=a
time ^nn++++=time
to ^in++++=to
triumph ^nn++++=triumph
over ^in++++=over
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
September ^nr+nom+++=September
Massacres ^np+++??+=Massacres
remain ^vb++++=remain
among ^in++++=among
the ^ati++++=the
darkest ^jjt+atrb+++=darkest
pages ^nns++++=pages
of ^in++++=of
the ^ati++++=the
Revolution ^nn+nom+++=Revolution.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
as ^ql++++=as
we ^pp1a+pp1+++=we
look ^vb++++=look
into ^in+ppvb+++=into
that ^dt+dem+++=that
abyss ^nn++++=abyss
of ^in++++=of
horror ^nn++++=horror,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^to++++=to
see ^vbi+vprv+++=see
only ^rb+down+++=only
pikes ^npls++++=pikes,
, ^zz++++=EXTRAWORD
drunken ^jj+atrb+++=drunken
faces ^nns++++=faces,
, ^zz++++=EXTRAWORD
hurried ^jj+atrb++xvbn+=hurried
judgments ^nns+nom+++=judgments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fallen ^vprf+++xvbn+=fallen
victims ^nns++++=victims.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
should ^md+nec+++=should
see ^vb+vprv+++=see
Monnot ^np+++??+=Monnot
lifting ^vwbg+++xvbg+=lifting
his ^pp$+pp3+++=his
unarmed ^jj+atrb+++=unarmed
hands ^nns++++=hands
before ^in++++=before
Sicard ^np+++??+=Sicard;
; ^zz++++=EXTRAWORD
Marie ^np++++=Marie
de ^&fw++++=de
Sombreuil ^np+++??+=Sombreuil
holding ^vwbg+++xvbg+=holding
the ^ati++++=the
cup ^nn++++=cup
while ^cs+sub+++=while
her ^pp3o+pp3+++=her
father ^nn++++=father
waits ^nns+++??+=waits
between ^in++++=between
life ^nn++++=life
and ^cc++++=and
death ^nn++++=death;
; ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth
Cazotte ^np+++??+=Cazotte
covering ^vwbg+++xvbg+=covering
grey ^np++++=grey
hairs ^nns++++=hairs
with ^in++++=with
her ^pp$+pp3+++=her
own ^ap++++=own
breast ^nn++++=breast;
; ^zz++++=EXTRAWORD
the ^ati++++=the
faithful ^jj+atrb+++=faithful
woman ^nn++++=woman
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
sick ^jj+atrb+++=sick
uncle ^nn++++=uncle;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Princess ^nns+nom+++=Princess
de ^&fw++++=de
Lamballe ^np+++??+=Lamballe
refusing ^vb+++xvbg+=refusing
to ^to+vcmp+++=to
stain ^vb++++=stain
friendship ^nn+nom+++=friendship
with ^in++++=with
a ^at++++=a
lie ^nn++++=lie.
. ^zz++++=EXTRAWORD
The ^ati++++=The
multitude ^nn++++=multitude
was ^vbd+bedz+vrb++=was
mighty ^jj+pred+++=mighty,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
its ^pp$+it+++=its
power ^nn++++=power
lasted ^vbd+++xvbn+=lasted
only ^rb+down+++=only
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
courage ^nn+nom+++=courage
of ^in++++=of
the ^ati++++=the
merciful ^jj++++=merciful
has ^vbz+hvz+aux++=has
endured ^vprf+++xvbnx+=endured.
. ^zz++++=EXTRAWORD
The ^ati++++=The
murderers ^nns+nom+++=murderers
believed ^vbd+vprv++xvbn+=believed
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
making ^vbg+++xvbgx+=making
history ^nn++++=history
with ^in++++=with
iron ^nn++++=iron
and ^cc++++=and
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
In ^in++++=In
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
remembered ^vpsv++agls+xvbnx+=remembered
chiefly ^rb++++=chiefly
because ^cs+cos+++=because
the ^ati++++=the
virtues ^nns++++=virtues
of ^in++++=of
their ^pp$+pp3+++=their
victims ^nns++++=victims
shine ^vb++++=shine
against ^in++++=against
their ^pp$+pp3+++=their
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
Charity ^nn+nom+++=Charity,
, ^zz++++=EXTRAWORD
filial ^jj+atrb+++=filial
devotion ^nn+nom+++=devotion,
, ^zz++++=EXTRAWORD
constancy ^nn++++=constancy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faith ^nn++++=faith
cannot ^md+pos+not++=cannot
always ^rb++splt++=always
turn ^vb++++=turn
aside ^rp++++=aside
the ^ati++++=the
weapon ^nn++++=weapon;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
can ^md+pos+++=can
rob ^vb++++=rob
cruelty ^nn++++=cruelty
of ^in++++=of
its ^pp$+it+++=its
final ^jj+atrb+++=final
victory ^nn++++=victory.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
pass ^vb++++=pass
from ^in++++=from
generation ^nn+nom+++=generation
to ^in++++=to
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua+tht0+xvbg+=teaching
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
even ^rb++++=even
when ^wrb+who+++=when
a ^at++++=a
nation ^nn++++=nation
is ^vbz+bez+vrb++=is
delirious ^jj+pred+++=delirious
and ^cc++++=and
law ^nn++++=law
lies ^vbz++++=lies
prostrate ^jj++++=prostrate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
human ^jj+atrb+++=human
soul ^nn++++=soul
may ^md+pos+++=may
remain ^vb++++=remain
free ^jj++++=free.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
for ^in++++=for
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
earthly ^jj+atrb+++=earthly
deliverance ^nn+nom+++=deliverance
was ^vbd+bedz+vrb++=was
brief ^jj+pred+++=brief,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
remained ^vprf+++xvbn+=remained
that ^cs+sub+++=that
better ^jjr+atrb+++=better
hope ^nn++++=hope
which ^whp+rel+obj++=which
neither ^dt++neg++=neither
tribunal ^nn+nom+++=tribunal
nor ^cc++neg++=nor
scaffold ^nn+++??+=scaffold
could ^md+pos+++=could
destroy ^vb++++=destroy.
. ^zz++++=EXTRAWORD
Suffering ^vbg+++xvbg+=Suffering,
, ^zz++++=EXTRAWORD
borne ^xvbn+++xvbn+=borne
without ^in++++=without
falsehood ^nn+nom+++=falsehood
or ^cc++++=or
hatred ^nn++++=hatred,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
not ^xnot++not++=not
defeat ^nn++++=defeat
but ^cc++++=but
testimony ^nn++++=testimony;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
death ^nn++++=death,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
assassins ^nn++++=assassins
intended ^vwbn+vsua++xvbn+=intended
as ^ql++++=as
extinction ^nn+nom+++=extinction,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
the ^ati++++=the
faithful ^nn++++=faithful
from ^in++++=from
the ^ati++++=the
clamour ^nn++++=clamour
of ^in++++=of
Paris ^np++++=Paris
toward ^in++++=toward
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
light ^nn++++=light
affliction ^nn+nom+++=affliction
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour
to ^in++++=to
a ^at++++=a
far ^rb+pl+++=far
more ^ql++++=more
exceeding ^vbg+++xvbg+=exceeding
and ^cc++++=and
eternal ^jj+atrb+++=eternal
weight ^nn++++=weight
of ^in++++=of
glory ^nn++++=glory.
. ^zz++++=EXTRAWORD
