Ivan ^np++++=Ivan
Where ^wrb+who+whq++=Where
can ^md+pos+++=can
I ^pp1a+pp1+++=I
go ^vb++++=go
now ^rn+tm+++=now?
? ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
wife ^nn++++=wife
may ^md+pos+++=may
be ^vb+be+vrb++=be
dead ^jj+pred+++=dead.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
children ^nns++++=children
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
began ^vbd+++xvbn+=began
to ^to++++=to
weep ^vbi++++=weep.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
they ^pp3a+pp3+++=they
flogged ^vbd+++xvbnx+=flogged
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
suffer ^vb++++=suffer
as ^ql++++=as
I ^pp1a+pp1+++=I
suffer ^vb++++=suffer
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
saw ^vbd+vprv++xvbn+=saw
me ^pp1o+pp1+++=me
digging ^jj+++xvbg+=digging,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
could ^md+pos+++=could
have ^vb+hv+aux++=have
betrayed ^vprf+++xvbnx+=betrayed
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
mercy ^nn++++=mercy
on ^in++++=on
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
worse ^jjr+pred+++=worse
than ^in++++=than
a ^at++++=a
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
Forgive ^vb++++=Forgive
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Forgive ^vb++++=Forgive
a ^at++++=a
cursed ^jj+atrb++xvbn+=cursed
man ^nn++++=man."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
struck ^vbd+++xvbnx+=struck
his ^pp$+pp3+++=his
head ^nn++++=head
against ^in++++=against
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
sobbed ^vbd+++xvbn+=sobbed.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
remembered ^vwbn+vprv+tht0+xvbn+=remembered
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^$++++=EXTRAWORD
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bloody ^jj+atrb+++=bloody
knife ^nn++++=knife,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sentence ^nn+nom+++=sentence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
road ^nn++++=road
into ^in++++=into
exile ^nn++++=exile.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
every ^at++++=every
winter ^nn++++=winter
and ^cc++++=and
every ^at++++=every
night ^nn++++=night
behind ^in+pl+++=behind
the ^ati++++=the
prison ^nn++++=prison
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
cannot ^md+pos+not++=cannot
repay ^vb++++=repay
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
Makar ^np+++??+=Makar
weeping ^nn++++=weeping,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hatred ^nn++++=hatred
weakened ^vbd+++xvbn+=weakened.
. ^zz++++=EXTRAWORD
For ^in++++=For
many ^ap++++=many
years ^nns++++=years
Aksionov ^np+++??+=Aksionov
himself ^ppl+pp3+++=himself
had ^vbd+hvd+aux++=had
begged ^vprf+++xvbnx+=begged
God ^nn++++=God
for ^in++++=for
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
another ^dt++++=another
man ^nn++++=man
begged ^vbd+++xvbn+=begged
mercy ^nn++++=mercy
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Aksionov ^np+++??+=Aksionov
also ^rb++++=also
began ^vbd+++xvbn+=began
to ^to++++=to
weep ^vbi++++=weep.
. ^zz++++=EXTRAWORD
" ^zz++++="God
god ^np++++=EXTRAWORD
will ^md+prd+++=will
forgive ^vb++++=forgive
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
hundred ^cd++++=hundred
times ^nns++++=times
worse ^jjr++++=worse
than ^cs+sub+++=than
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke
these ^dt+dem+++=these
words ^nns++++=words,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
burden ^nn++++=burden
left ^vbd+++xvbn+=left
his ^pp$+pp3+++=his
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
The ^ati++++=The
longing ^jj+++xvbg+=longing
for ^in++++=for
home ^nr++++=home,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
secretly ^rb++++=secretly
within ^in++++=within
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
disappeared ^j+++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
no ^at++++=no
longer ^rbr++++=longer
wished ^vbd+vprv++xvbn+=wished
for ^in++++=for
revenge ^nn++++=revenge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
no ^at++++=no
longer ^rbr++++=longer
feared ^jj+atrb++xvbn+=feared
death ^nn++++=death.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
twenty ^cd++++=twenty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
years ^nns++++=years
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
free ^jj++++=free.
. ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
stop ^vb++++=stop
crying ^nvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
that ^dt+dem+++=that
night ^nn++++=night
Makar ^np+++??+=Makar
was ^vbd+bedz+aux++=was
changed ^vpsv++agls+xvbnx+=changed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
no ^at++++=no
longer ^rbr++++=longer
boasted ^vbd+vpub++xvbn+=boasted,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed
loudly ^rb+cnj+++=loudly,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
quarrelled ^vbd+++xvbn+=quarrelled.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Aksionov ^np+++??+=Aksionov,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
lowered ^vbd+++xvbnx+=lowered
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
spoke ^vbd+++xvbn+=spoke
kindly ^rb++++=kindly
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
ask ^vb++++=ask
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
would ^md+prd+++=would
confess ^nns+nom+++=confess.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
left ^vbd+++xvbnx+=left
the ^ati++++=the
matter ^nn++++=matter
to ^in++++=to
God ^np++++=God.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
days ^nns++++=days
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Makar ^np+++??+=Makar
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
governor ^nn++++=governor
and ^cc++++=and
admitted ^vwbn+vpub++xvbn+=admitted
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
how ^wrb+who+whcl++=how
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
murdered ^vprf+++xvbnx+=murdered
the ^ati++++=the
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
hidden ^j+++xvbn+=hidden
the ^ati++++=the
bloody ^jj+atrb+++=bloody
knife ^nn++++=knife
in ^in++++=in
Aksionov ^np++++=Aksionov's
's ^$++++=EXTRAWORD
luggage ^nn+nom+++=luggage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
escaped ^vpsv++agls+xvbn+=escaped
before ^in++++=before
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
that ^tht+vcmp+++=that
Ivan ^np++++=Ivan
Dmitrich ^np+++??+=Dmitrich
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
innocent ^jj++++=innocent.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officials ^nns+nom+++=officials
questioned ^vbd+vpub++xvbn+=questioned
him ^pp3o+pp3+++=him
many ^ap++++=many
times ^nns++++=times.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
examined ^vbd+++xvbnx+=examined
old ^jj+atrb+++=old
papers ^nns++++=papers
and ^cc++++=and
sent ^xvbn+++xvbn+=sent
reports ^nns++++=reports
from ^in++++=from
one ^cd1++++=one
office ^nn++++=office
to ^in++++=to
another ^dt++++=another.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
truth ^nn++++=truth
was ^vbd+bedz+aux++=was
accepted ^vpsv++agls+xvbnx+=accepted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
order ^nn++++=order
was ^vbd+bedz+aux++=was
prepared ^vpsv++agls+xvbnx+=prepared
for ^in++++=for
Aksionov ^np++++=Aksionov's
's ^$++++=EXTRAWORD
release ^nn++++=release.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
prisoners ^nns+nom+++=prisoners
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
rejoiced ^vbd+++xvbnx+=rejoiced.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
go ^vb++++=go
home ^nr++++=home,
, ^zz++++=EXTRAWORD
Gran ^np++++=Gran'dad,"
'dad," ^nn+++??+=EXTRAWORD
they ^pp3a+pp3+++=they
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
see ^vb+vprv+++=see
Vladimir ^np+++??+=Vladimir
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
walk ^vb++++=walk
without ^in++++=without
chains ^nns++++=chains."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
only ^rb+down+++=only
smiled ^vbd+++xvbn+=smiled.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
home ^nr++++=home
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
God ^np++++=God
wills ^np++++=wills,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
accuse ^vb++++=accuse
Makar ^np+++??+=Makar,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
ask ^vb++++=ask
what ^wdt+who+++=what
punishment ^nn+nom+++=punishment
would ^md+prd+++=would
be ^vb+be+aux++=be
given ^vpsv++agls+xvbnx+=given
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
count ^vbi++++=count
the ^ati++++=the
years ^nns++++=years
taken ^vwbn+++xvbn+=taken
from ^in++++=from
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
heart ^nn++++=heart
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
prison ^nn++++=prison
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
no ^at++++=no
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
bloody ^jj+atrb+++=bloody
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
order ^nn++++=order
for ^in++++=for
his ^pp$+pp3+++=his
release ^vb++++=release
travelled ^vbd+++xvbn+=travelled
slowly ^rb++++=slowly
across ^in+pl+++=across
Russia ^np++++=Russia.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
passed ^vbd+++xvbn+=passed
through ^in++++=through
offices ^nns++++=offices
and ^cc++++=and
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
over ^in++++=over
long ^rb++++=long
roads ^nns++++=roads.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
it ^pp3+it+++=it
reached ^vbd+++xvbn+=reached
the ^ati++++=the
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
fell ^vbd+++xvbn+=fell
ill ^jj++++=ill.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lay ^vbd+++xvbnx+=lay
quietly ^rb++++=quietly
on ^in++++=on
his ^pp$+pp3+++=his
bed ^nn++++=bed
while ^cs+sub+++=while
the ^ati++++=the
prisoners ^nns+nom+++=prisoners
gathered ^vbd+++xvbn+=gathered
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Makar ^np+++??+=Makar
stood ^vbd+++xvbn+=stood
at ^rb++++=at
his ^pp$+pp3+++=his
feet ^nns++++=feet
and ^cc++++=and
wept ^vbd+++xvbn+=wept.
. ^zz++++=EXTRAWORD
" ^zz++++="Forgive
forgive ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
Ivan ^np++++=Ivan
Dmitrich ^np+++??+=Dmitrich,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Aksionov ^np+++??+=Aksionov
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
forgiven ^vprf+++xvbnx+=forgiven
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="May
may ^md+pos+++=EXTRAWORD
God ^vb++++=God
forgive ^vb++++=forgive
us ^pp1o+pp1+++=us
both ^abx++++=both."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
the ^ati++++=the
governor ^npt++++=governor
received ^vbd+++xvbn+=received
the ^ati++++=the
order ^to++++=order
stating ^vbg+vpub++xvbg+=stating
that ^tht+vcmp+++=that
Ivan ^np++++=Ivan
Dmitrich ^np+++??+=Dmitrich
Aksionov ^np+++??+=Aksionov
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
wrongly ^rb++++=wrongly
condemned ^jj+++xvbn+=condemned
and ^cc++++=and
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
set ^vpsv++agls+xvbnx+=set
free ^jj++++=free.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
prison ^nn++++=prison
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
hold ^vb+vprv+++=hold
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
order ^to++++=order
of ^in++++=of
the ^ati++++=the
czar ^npt++++=Czar
was ^vbd+bedz+aux++=was
needed ^vbd+++xvbn+=needed
to ^to+vcmp+++=to
release ^vb++++=release
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
