**editor ^nn++++=**EDITOR'S
's ^$++++=EXTRAWORD
had ^vb+hv+vrb++=had
no ^at++++=no
gun ^nn++++=gun.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
hand ^nn++++=hand
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
thick ^jj+atrb+++=thick
stick ^nn++++=stick
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^hv+hvd+aux++=had
used ^vprf++pmd"+xvbnx+=used
to ^to++++=to
mark ^vb++++=mark
the ^ati++++=the
beaters ^nns+nom+++=beaters'
' ^zz++++=EXTRAWORD
line ^nn++++=line.
. ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
away ^rb+phrv+++=away!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you
doing ^vbg+++xvbg+=doing?
? ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
him ^pp3o+pp3+++=him
alone ^rb++++=alone!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shouted ^vbd+vpub++xvbnx+=shouted
at ^in++++=at
the ^ati++++=the
bear ^nn++++=bear
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
dog ^nn++++=dog
worrying ^vwbg+++xvbg+=worrying
a ^at++++=a
sheep ^nn++++=sheep.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
struck ^vbd+++xvbnx+=struck
the ^ati++++=the
stick ^nn++++=stick
against ^in++++=against
a ^at++++=a
tree ^nn++++=tree
and ^cc++++=and
advanced ^jj+++xvbn+=advanced.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
blood ^nn++++=blood
hanging ^vwbg+++xvbg+=hanging
from ^in++++=from
its ^pp$+it+++=its
broken ^jj+atrb++xvbn+=broken
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
stopped ^vbd+++xvbn+=stopped
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
steps ^nns++++=steps
away ^rp+pl+++=away
and ^cc++++=and
raised ^vbd+++xvbn+=raised
the ^ati++++=the
stick ^nn++++=stick.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
then ^rn+tm+++=then!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
to ^in++++=to
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
moment ^nn++++=moment
the ^ati++++=the
bear ^nn++++=bear
crouched ^vbd+++xvbn+=crouched.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
expected ^vbd+vprv+tht0+xvbnx+=expected
it ^pp3+it+++=it
to ^in++++=to
spring ^nn++++=spring
and ^cc++++=and
kill ^nn++++=kill
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
shouts ^nn++++=shouts
of ^in++++=of
the ^ati++++=the
beaters ^nns+nom+++=beaters
were ^vbd+bed+aux++=were
coming ^vbg+++xvbgx+=coming
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men
were ^vbd+bed+aux++=were
crashing ^vbg+++xvbgx+=crashing
through ^in++++=through
the ^ati++++=the
thicket ^nn++++=thicket.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear
looked ^vbd+++xvbn+=looked
toward ^in++++=toward
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
back ^jjb++++=back
at ^in++++=at
Damian ^np+++??+=Damian.
. ^zz++++=EXTRAWORD
Suddenly ^rb++++=Suddenly
it ^pp3+it+++=it
left ^vbd+++xvbn+=left
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
bounded ^xvbn+++xvbn+=bounded
across ^in+pl+++=across
the ^ati++++=the
hollow ^nn++++=hollow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
disappeared ^vpsv++agls+xvbn+=disappeared
among ^in++++=among
the ^ati++++=the
firs ^nns+++??+=firs.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
knelt ^vbd+++xvbn+=knelt
beside ^in+pl+++=beside
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Are
are ^vb+ber+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
alive ^jj++++=alive,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
word ^nn++++=word
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
badly ^rb++++=badly.
. ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
opened ^vbd+++xvbnx+=opened
my ^pp$+pp1+++=my
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
see ^vb+vprv+++=see."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
called ^vbd+++xvbnx+=called
the ^ati++++=the
others ^aps++++=others.
. ^zz++++=EXTRAWORD
Sergei ^np+++??+=Sergei
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
arrive ^vbi++++=arrive.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
pale ^nn++++=pale
and ^cc++++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
face ^nn++++=face
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
frightened ^jj+++xvbn+=frightened
me ^pp1o+pp1+++=me
more ^rbr++++=more
than ^in++++=than
the ^ati++++=the
attack ^vb++++=attack
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
" ^zz++++="Give
give ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
snow ^nn++++=snow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
packed ^vbd+++xvbn+=packed
clean ^jj+atrb+++=clean
snow ^nn++++=snow
against ^in++++=against
my ^pp$+pp1+++=my
forehead ^nn++++=forehead
and ^cc++++=and
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
melted ^vbd+++xvbn+=melted
at ^rb++++=at
once ^rb"+tm+++=once
and ^cc++++=and
ran ^vpsv++agls+xvbn+=ran
down ^rb+phrv+++=down
my ^pp$+pp1+++=my
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pain ^nn++++=pain
now ^rn+tm+++=now
came ^vbd+++xvbn+=came
strongly ^rb+amp+++=strongly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
burned ^vbd+++xvbn+=burned
and ^cc+phrs+++=and
throbbed ^vbd+++xvbn+=throbbed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
as ^cs+sub+++=as
though ^cs+sub+++=though
half ^nn++++=half
my ^pp$+pp1+++=my
face ^nn++++=face
were ^vbd+bed+aux++=were
hanging ^vbg+++xvbgx+=hanging
loose ^jj++++=loose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
made ^vbd+++xvbn+=made
a ^at++++=a
sledge ^nn+++??+=sledge
from ^in++++=from
two ^cd++++=two
poles ^nns++++=poles
and ^cc++++=and
their ^pp$+pp3+++=their
coats ^nns++++=coats,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
lie ^vbi++++=lie
on ^in++++=on
it ^pp3+it+++=it
the ^ati++++=the
blood ^nn++++=blood
ran ^vbd+++xvbn+=ran
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub+tht0+xvbnx+=said
I ^pp1a+pp1+++=I
could ^md+pos+++=could
walk ^vb++++=walk.
. ^zz++++=EXTRAWORD
With ^in++++=With
Damian ^np+++??+=Damian
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side
and ^cc++++=and
Sergei ^np+++??+=Sergei
on ^in++++=on
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
met ^vbd+++xvbn+=met
the ^ati++++=the
horses ^nns++++=horses
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
wrapped ^vbd+++xvbn+=wrapped
my ^pp$+pp1+++=my
head ^nn++++=head
in ^in++++=in
a ^at++++=a
scarf ^nn++++=scarf.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
in ^in++++=in
the ^ati++++=the
sledge ^nn+++??+=sledge
while ^cs+sub+++=while
the ^ati++++=the
driver ^nn++++=driver
urged ^vbd+vsua++xvbn+=urged
the ^ati++++=the
horse ^nn++++=horse
toward ^in++++=toward
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
town ^nn++++=town.
. ^zz++++=EXTRAWORD
The ^ati++++=The
road ^nn++++=road
was ^vbd+bedz+vrb++=was
rough ^jj+pred+++=rough.
. ^zz++++=EXTRAWORD
At ^rb++++=At
every ^at++++=every
hollow ^nn++++=hollow
the ^ati++++=the
sledge ^nn++++=sledge
struck ^vbd+++xvbn+=struck
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pain ^nn++++=pain
went ^vbd+++xvbn+=went
through ^in++++=through
my ^pp$+pp1+++=my
head ^nn++++=head.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
edges ^nns++++=edges
of ^in++++=of
my ^pp$+pp1+++=my
face ^nn++++=face
together ^nn+nom+++=together
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
faint ^jj++++=faint,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
often ^rb++++=often
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
reached ^vbd+++xvbn+=reached
the ^ati++++=the
doctor ^nn++++=doctor
in ^in++++=in
the ^ati++++=the
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
military ^jj+atrb+++=military
surgeon ^nn++++=surgeon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
removed ^vbd+++xvbnx+=removed
the ^ati++++=the
scarf ^nn++++=scarf,
, ^zz++++=EXTRAWORD
washed ^xvbn+++xvbn+=washed
away ^rp+pl+++=away
the ^ati++++=the
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
examined ^vbd+++xvbn+=examined
the ^ati++++=the
wounds ^nns++++=wounds
without ^in++++=without
speaking ^xvbg+++xvbg+=speaking.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
fortunate ^jj++++=fortunate."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
a ^at++++=a
joke ^nn++++=joke.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
face ^nn++++=face?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
forehead ^nn++++=forehead
is ^vbz+bez+aux++=is
torn ^vpsv++agls+xvbnx+=torn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cheek ^nn++++=cheek
is ^vbz+bez+aux++=is
cut ^vpsv++agls+xvbnx+=cut
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
wounds ^nns++++=wounds
below ^in+pl+++=below
the ^ati++++=the
eye ^nn++++=eye
and ^cc++++=and
near ^in+pl+++=near
the ^ati++++=the
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
eye ^nn++++=eye
is ^vbz+bez+vrb++=is
safe ^jj+pred+++=safe,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nose ^nn++++=nose
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
broken ^jj+++xvbn+=broken,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
main ^jjb+atrb+++=main
artery ^nn++++=artery
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
touched ^vpsv++agls+xvbnx+=touched."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
spirits ^nns++++=spirits
to ^to++++=to
drink ^vbi++++=drink
and ^cc+phrs+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
sew ^vbi+++??+=sew.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
proper ^jj+atrb+++=proper
means ^nn++++=means
of ^in++++=of
deadening ^xvbg+++xvbg+=deadening
the ^ati++++=the
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
men ^nns++++=men
held ^vbd+vprv++xvbn+=held
my ^pp$+pp1+++=my
shoulders ^nns+nom+++=shoulders
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
the ^ati++++=the
needle ^nn++++=needle
through ^in++++=through
the ^ati++++=the
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
counted ^vbd+++xvbnx+=counted
the ^ati++++=the
stitches ^nns++++=stitches
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
after ^cs+sub+++=after
twenty ^cd++++=twenty
I ^pp1a+pp1+++=I
lost ^vbd+++xvbnx+=lost
count ^npt++++=count.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
worked ^vbd+++xvbn+=worked
calmly ^rb+cnj+++=calmly,
, ^zz++++=EXTRAWORD
pulling ^vbg+nom++xvbg+=pulling
together ^nn+nom+++=together
one ^cd1++++=one
part ^nn++++=part,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
another ^dt++++=another.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
he ^pp3a+pp3+++=he
cut ^vbd+++xvbnx+=cut
away ^rp+pl+++=away
a ^at++++=a
small ^jj+atrb+++=small
piece ^nn++++=piece
that ^tht+rel+subj++=that
would ^md+prd+++=would
not ^xnot++not++=not
fit ^vb++++=fit.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
will ^md+prd+++=will
have ^vb+hv+vrb++=have
scars ^nns++++=scars,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
keep ^vb++++=keep
your ^pp$+pp2+++=your
face ^nn++++=face."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
head ^nn++++=head
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
in ^in++++=in
bandages ^nns+nom+++=bandages,
, ^zz++++=EXTRAWORD
with ^in++++=with
openings ^nns++++=openings
for ^in++++=for
one ^cd1++++=one
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
had ^vbd+hvd+aux++=had
waited ^vprf+++xvbnx+=waited
outside ^jjb++++=outside
the ^ati++++=the
whole ^jj+atrb+++=whole
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
in ^rb+phrv+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
saved ^vbd+++xvbn+=saved
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
embarrassed ^jj+++xvbn+=embarrassed.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
only ^rb+down+++=only
shouted ^vbd+vpub++xvbn+=shouted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ran ^vbd+++xvbn+=ran
at ^in++++=at
the ^ati++++=the
bear ^nn++++=bear
with ^in++++=with
a ^at++++=a
stick ^nn++++=stick."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
else ^rb+cnj+++=else
nearby ^jjb++++=nearby."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Were
were ^vbd+bed+vrb++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
afraid ^jj++++=afraid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
eating ^vbg+++xvbgx+=eating
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
this ^dt+dem+++=this
so ^rb++++=so
simply ^rb++++=simply
that ^dt+dem+++=that
no ^at++++=no
one ^cd1++++=one
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
days ^nns++++=days
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
face ^nn++++=face
swelled ^vbd+++xvbn+=swelled
until ^cs+sub+++=until
I ^pp1a+pp1+++=I
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
open ^vb++++=open
my ^pp$+pp1+++=my
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
changed ^vbd+++xvbn+=changed
the ^ati++++=the
dressings ^nns++++=dressings
and ^cc++++=and
watched ^vpsv++agls+xvbn+=watched
for ^in+ppvb+++=for
corruption ^nn+nom+++=corruption
in ^in++++=in
the ^ati++++=the
wounds ^nns++++=wounds.
. ^zz++++=EXTRAWORD
None ^pn++++=None
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
In ^in++++=In
two ^cd++++=two
weeks ^nns++++=weeks
he ^pp3a+pp3+++=he
removed ^vbd+++xvbnx+=removed
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
stitches ^nns++++=stitches.
. ^zz++++=EXTRAWORD
In ^in++++=In
another ^dt++++=another
week ^nn++++=week
I ^pp1a+pp1+++=I
could ^md+pos+++=could
eat ^vb++++=eat
without ^in++++=without
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
first ^od++++=first
looked ^vbd+++xvbn+=looked
properly ^rb++++=properly
in ^in++++=in
a ^at++++=a
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
red ^jj+atrb+++=red
line ^nn++++=line
from ^in++++=from
my ^pp$+pp1+++=my
forehead ^nn++++=forehead
to ^in++++=to
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
my ^pp$+pp1+++=my
left ^jj+atrb++xvbn+=left
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
two ^cd++++=two
marks ^nns++++=marks
across ^in+pl+++=across
the ^ati++++=the
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
smaller ^jjr+atrb+++=smaller
scars ^nns++++=scars
near ^in+pl+++=near
the ^ati++++=the
jaw ^nn++++=jaw.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
ugly ^jj+pred+++=ugly
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
doctor ^nn++++=doctor
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they
would ^md+prd+++=would
fade ^vb++++=fade.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bear ^nn++++=bear,
, ^zz++++=EXTRAWORD
meanwhile ^rb+cnj+++=meanwhile,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
followed ^vbd+vprv++xvbn+=followed
his ^pp$+pp3+++=his
bloody ^jj+atrb+++=bloody
track ^nn++++=track
after ^in++++=after
taking ^xvbg+++xvbg+=taking
me ^pp1o+pp1+++=me
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
darkness ^nns+nom+++=darkness
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
fell ^vbd+++xvbn+=fell
that ^dt+dem+++=that
night ^nn++++=night
and ^cc++++=and
covered ^vbd+++xvbn+=covered
the ^ati++++=the
signs ^nns++++=signs.
. ^zz++++=EXTRAWORD
About ^in++++=About
a ^at++++=a
month ^nn++++=month
later ^rbr+tm+++=later
word ^nn++++=word
reached ^vbd+++xvbn+=reached
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
the ^ati++++=the
same ^ap++++=same
bear ^vb+vprv+++=bear
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
seen ^vpsv++agls+xvbnx+=seen
near ^in+pl+++=near
a ^at++++=a
charcoal ^nn+nom+++=charcoal
burner ^nn++++=burner's
's ^$++++=EXTRAWORD
hut ^nn++++=hut.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
killed ^vprf+++xvbnx+=killed
a ^at++++=a
dog ^nn++++=dog
and ^cc++++=and
broken ^vbd+++xvbn+=broken
open ^jj++++=open
a ^at++++=a
storehouse ^nn++++=storehouse
where ^wrb+who+++=where
oats ^nns++++=oats
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept.
. ^zz++++=EXTRAWORD
Damian ^np+++??+=Damian
said ^vbd+vpub+tht0+xvbn+=said
there ^ex+pex+++=there
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
mistake ^nn++++=mistake
because ^cs+cos+++=because
the ^ati++++=the
lower ^jjr+atrb+++=lower
jaw ^nn++++=jaw
hung ^vbd+++xvbn+=hung
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
wounds ^nns++++=wounds
were ^vbd+bed+aux++=were
not ^xnot++not++=not
fully ^rb+amp+++=fully
healed ^vprf+++xvbn+=healed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
with ^in++++=with
the ^ati++++=the
hunters ^nns+nom+++=hunters.
. ^zz++++=EXTRAWORD
