# ^zz++++=#
Passing ^vwbg+++xvbg+=Passing
run ^vbd+++xvbn+=run
better ^jjr++++=better."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
boots ^nns++++=boots
and ^cc++++=and
chaparajos ^nns+++??+=chaparajos.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
them ^pp3o+pp3+++=them
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
smaller ^jjr++++=smaller
than ^in++++=than
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
a ^at++++=a
compact ^jj++++=compact
and ^cc++++=and
somewhat ^rb+down+++=somewhat
embarrassed ^jj+atrb++xvbn+=embarrassed
figure ^nn++++=figure
in ^in++++=in
long ^rb++++=long
underwear ^nn+++??+=underwear,
, ^zz++++=EXTRAWORD
torn ^jj+atrb++xvbn+=torn
trousers ^nns+nom+++=trousers
and ^cc++++=and
a ^at++++=a
shirt ^nn++++=shirt
dark ^nn++++=dark
with ^in++++=with
sweat ^nn++++=sweat.
. ^zz++++=EXTRAWORD
A ^at++++=A
cowboy ^nn++++=cowboy
on ^in++++=on
horseback ^nn++++=horseback
may ^md+pos+++=may
suggest ^vb+vpub+++=suggest
the ^ati++++=the
centaur ^nn++++=centaur
of ^in++++=of
classical ^jj+atrb+++=classical
mythology ^nn++++=mythology;
; ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
the ^ati++++=the
same ^ap++++=same
cowboy ^nn++++=cowboy
running ^vwbg+++xvbg+=running
barefoot ^jj++++=barefoot
through ^in++++=through
cactus ^nns+++??+=cactus
country ^nn++++=country
and ^cc++++=and
classical ^jj+atrb+++=classical
mythology ^nn++++=mythology
has ^vbz+hvz+vrb++=has
less ^ql++++=less
to ^to++++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
boosted ^vbd+++xvbn+=boosted
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
first ^od++++=first
ledge ^nn++++=ledge.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
climbed ^vbd+++xvbn+=climbed.
. ^zz++++=EXTRAWORD
Clay ^nn++++=Clay
crumbled ^jj++++=crumbled
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wedged ^vbd+++xvbnx+=wedged
a ^at++++=a
shoulder ^nn+nom+++=shoulder
into ^in++++=into
the ^ati++++=the
crack ^jjb++++=crack,
, ^zz++++=EXTRAWORD
reached ^j+++xvbn+=reached
for ^in++++=for
a ^at++++=a
knob ^nn++++=knob
and ^cc++++=and
pulled ^vbd+++xvbn+=pulled
himself ^ppl+pp3+++=himself
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
began ^vbd+++xvbn+=began
firing ^nvbg+++xvbg+=firing
down ^rp++++=down
the ^ati++++=the
ravine ^nn++++=ravine
slowly ^rb++++=slowly
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
rapidly ^rb+cnj+++=rapidly,
, ^zz++++=EXTRAWORD
shifting ^jj+atrb++xvbg+=shifting
position ^nn+nom+++=position
and ^cc++++=and
voice ^nn++++=voice
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
defenders ^nns+nom+++=defenders
might ^md+pos+++=might
seem ^vb+seem+++=seem
more ^rbr++++=more
numerous ^jj++++=numerous.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vb++++=EXTRAWORD
on ^in+strn+++=on!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
shouted ^vbd+vpub++xvbnx+=shouted.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
got ^vbd+++xvbn+=got
daylight ^nn++++=daylight
to ^to++++=to
burn ^vbi++++=burn!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
vaqueros ^nn++++=vaqueros
answered ^vbd+vpub++xvbn+=answered.
. ^zz++++=EXTRAWORD
Bullets ^nns+nom+++=Bullets
chopped ^vbd+++xvbn+=chopped
clay ^np++++=clay
from ^in++++=from
the ^ati++++=the
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
gained ^vbd+++xvbn+=gained
ten ^cd++++=ten
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
narrow ^jj+atrb+++=narrow
shoulder ^nn+nom+++=shoulder
he ^pp3a+pp3+++=he
stuck ^vbd+++xvbnx+=stuck.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
shirt ^nn++++=shirt
caught ^vbd+++xvbn+=caught.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tore ^vbd+++xvbnx+=tore
it ^pp3+it+++=it
free ^jj++++=free
and ^cc++++=and
left ^vbd+++xvbn+=left
a ^at++++=a
strip ^nn++++=strip
hanging ^vwbg+++xvbg+=hanging
like ^in++++=like
a ^at++++=a
flag ^nn++++=flag.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below
him ^pp3o+pp3+++=him
Tom ^np++++=Tom
fired ^vbd+++xvbn+=fired
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
A ^at++++=A
vaquero ^nn++++=vaquero
rushed ^vbd+++xvbn+=rushed
the ^ati++++=the
barricade ^nn+++??+=barricade.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
shot ^vbd+++xvbn+=shot
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
dragged ^jj+++xvbn+=dragged
the ^ati++++=the
body ^nn++++=body
aside ^rp++++=aside
and ^cc++++=and
fired ^vpsv++agls+xvbn+=fired
from ^in++++=from
one ^cd1++++=one
knee ^nn++++=knee.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
bullet ^nn++++=bullet
cut ^vbd+++xvbn+=cut
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
sleeve ^nn++++=sleeve.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
dropped ^vbd+++xvbn+=dropped
behind ^in+pl+++=behind
the ^ati++++=the
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
reloaded ^j+++xvbn+=reloaded,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose
and ^cc+phrs+++=and
drove ^j+++xvbn+=drove
the ^ati++++=the
attackers ^nns+nom+++=attackers
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
reached ^vbd+++xvbn+=reached
the ^ati++++=the
lip ^nn++++=lip.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
terrible ^jj+atrb+++=terrible
instant ^nn+nom+++=instant
he ^pp3a+pp3+++=he
hung ^vbd+++xvbnx+=hung
with ^in++++=with
his ^pp$+pp3+++=his
elbows ^nns++++=elbows
over ^in++++=over
empty ^jj+atrb+++=empty
space ^nn++++=space
and ^cc++++=and
his ^pp$+pp3+++=his
feet ^nns++++=feet
clawing ^jj+atrb+++=clawing
loose ^jj+atrb+++=loose
clay ^nn++++=clay.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
rolled ^vbd+++xvbnx+=rolled
onto ^in++++=onto
the ^ati++++=the
plateau ^nn++++=plateau.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
glanced ^vbd+++xvbn+=glanced
up ^rp++++=up
and ^cc++++=and
grinned ^vbd+++xvbn+=grinned.
. ^zz++++=EXTRAWORD
" ^zz++++="Mosey,"
mosey ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
moseyed ^vbd+++xvbn+=moseyed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
high ^jj+atrb+++=high
ground ^nn++++=ground
beneath ^in+pl+++=beneath
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
almost ^rb+hdg+++=almost
double ^jj++++=double
where ^wrb+who+++=where
the ^ati++++=the
ridges ^nns++++=ridges
exposed ^vbd+++xvbn+=exposed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
a ^at++++=a
bullet ^nn++++=bullet
from ^in++++=from
below ^in+pl+++=below
hummed ^vbd+++xvbn+=hummed
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
whether ^cs+who+++=whether
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fired ^vpsv++agls+xvbnx+=fired
at ^rb++++=at
him ^pp3o+pp3+++=him
or ^cc++++=or
Tom ^np++++=Tom
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
tell ^vb++++=tell.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
western ^jj+atrb+++=western
edge ^nn++++=edge
he ^pp3a+pp3+++=he
slid ^vbd+++xvbnx+=slid
through ^in++++=through
gravel ^nn++++=gravel
into ^in++++=into
a ^at++++=a
wash ^nn++++=wash
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
run ^vbi++++=run.
. ^zz++++=EXTRAWORD
Fifteen ^cd++++=Fifteen
miles ^nns++++=miles
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
far ^rb+pl+++=far
on ^in++++=on
a ^at++++=a
map ^nn++++=map.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
far ^rb+pl+++=far
in ^in++++=in
stocking ^nn++++=stocking
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
ran ^vbd+++xvbn+=ran
over ^rb+phrv+++=over
stone ^nn++++=stone
that ^tht+rel+subj++=that
cut ^vwbn+++xvbn+=cut
through ^in++++=through
his ^pp$+pp3+++=his
socks ^nns++++=socks,
, ^zz++++=EXTRAWORD
through ^in++++=through
sand ^nn++++=sand
that ^tht+rel+subj++=that
dragged ^vprf+++xvbn+=dragged
at ^rb++++=at
his ^pp$+pp3+++=his
ankles ^nns++++=ankles,
, ^zz++++=EXTRAWORD
through ^in++++=through
thorn ^nn++++=thorn
and ^cc++++=and
greasewood ^nn+++??+=greasewood
and ^cc++++=and
dry ^jj+atrb+++=dry
channels ^nns++++=channels
whose ^whp+rel+obj++=whose
banks ^nns++++=banks
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
climbed ^vprf+++xvbn+=climbed
on ^in++++=on
hands ^nns++++=hands
and ^cc++++=and
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
cartridge ^nn++++=cartridge
belt ^nn++++=belt
slapped ^vbd+++xvbn+=slapped
his ^pp$+pp3+++=his
hip ^nn++++=hip
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
it ^pp3+it+++=it
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rifle ^nn++++=rifle
became ^vbd+++xvbn+=became
too ^rb++++=too
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
impossibly ^rb++++=impossibly
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
it ^pp3+it+++=it
because ^cs+cos+++=because
arriving ^vbg+++xvbg+=arriving
unarmed ^jj++++=unarmed
at ^in++++=at
a ^at++++=a
ranch ^nn++++=ranch
in ^in++++=in
Arizona ^np++++=Arizona
was ^vbd+bedz+vrb++=was
liable ^jj+pred+++=liable
to ^to+jcmp+++=to
create ^vbi++++=create
delay ^nn++++=delay.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
him ^pp3o+pp3+++=him
the ^ati++++=the
bluff ^nn++++=bluff
flickered ^vbd+++xvbn+=flickered
with ^in++++=with
gunfire ^nn++++=gunfire.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
ravine ^nn++++=ravine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fired ^vbd+++xvbnx+=fired
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
charged ^vbd+vpub++xvbnx+=charged
and ^cc+phrs+++=and
waited ^vbd+++xvbn+=waited
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shifted ^vbd+++xvbnx+=shifted
cartridges ^nns+++??+=cartridges
from ^in++++=from
one ^cd1++++=one
pocket ^nn++++=pocket
to ^in++++=to
another ^dt++++=another.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
listened ^vbd+++xvbnx+=listened
to ^in++++=to
men ^nns++++=men
whispering ^vwbg+++xvbg+=whispering
beyond ^in++++=beyond
the ^ati++++=the
bend ^nn++++=bend
and ^cc++++=and
understood ^vbd+vprv++xvbn+=understood
enough ^qlp++++=enough
Spanish ^jj++++=Spanish
to ^to++++=to
know ^vbi+vprv+++=know
that ^tht+vcmp+++=that
Esteban ^np+++??+=Esteban
expected ^vwbn+vprv++xvbn+=expected
help ^vb++++=help
before ^in++++=before
dawn ^nn++++=dawn.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
attacks ^nns++++=attacks,
, ^zz++++=EXTRAWORD
Tom ^np++++=Tom
found ^vbd+vprv++xvbn+=found
Alfred ^np++++=Alfred's
's ^$++++=EXTRAWORD
nine ^cd++++=nine
of ^in++++=of
clubs ^nns++++=clubs
and ^cc++++=and
his ^pp$+pp3+++=his
own ^ap++++=own
jack ^np++++=jack
of ^in++++=of
diamonds ^nns++++=diamonds
upon ^in++++=upon
the ^ati++++=the
ground ^nn++++=ground.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
picked ^vbd+++xvbnx+=picked
up ^rp++++=up
the ^ati++++=the
jack ^np++++=jack,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it
and ^cc++++=and
laughed ^vbd+++xvbn+=laughed
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
waiting ^vbg+++xvbg+=waiting
is ^vbz+bez+vrb++=is
harder ^jjr+pred+++=harder
than ^in++++=than
shooting ^xvbg+++xvbg+=shooting,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
used ^vbd+++xvbnx+=used
his ^pp$+pp3+++=his
knife ^nn++++=knife
upon ^in++++=upon
a ^at++++=a
slab ^nn++++=slab
of ^in++++=of
clay ^nn++++=clay
broken ^vbd+++xvbn+=broken
from ^in++++=from
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
always ^rb++splt++=always
carved ^vprf+++xvbnx+=carved
when ^wrb+who+++=when
troubled ^jj+++xvbn+=troubled.
. ^zz++++=EXTRAWORD
Horses ^nns++++=Horses'
' ^zz++++=EXTRAWORD
heads ^nns++++=heads
on ^in++++=on
cottonwood ^nn+++??+=cottonwood,
, ^zz++++=EXTRAWORD
initials ^nns+nom+++=initials
on ^in++++=on
bunkhouse ^nn+++??+=bunkhouse
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
Kansas ^np++++=Kansas
girl ^nn++++=girl
upon ^in++++=upon
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
pine ^nn++++=pine
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
afterward ^rb++++=afterward
maintained ^vbd+vpub+tht0+xvbn+=maintained
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
meant ^vpsv++agls+xvbnx+=meant
for ^in++++=for
a ^at++++=a
coyote ^nn+++??+=coyote.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
old ^jj+atrb+++=old
preacher ^nn+nom+++=preacher's
's ^$++++=EXTRAWORD
words ^nns++++=words
came ^vbd+++xvbn+=came
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Passing ^vbg+++xvbg+=Passing
the ^ati++++=the
love ^nn++++=love
of ^in++++=of
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
years ^nns++++=years
arguing ^vwbg+vpub++xvbg+=arguing
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
love ^nn++++=love,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+aux++=be
exchanged ^vpsv++agls+xvbnx+=exchanged
for ^in++++=for
a ^at++++=a
hardware ^nn++++=hardware
store ^nn++++=store
and ^cc++++=and
nickel ^nn++++=nickel
taps ^vbz++++=taps.
. ^zz++++=EXTRAWORD
Friendship ^nn+nom+++=Friendship
asked ^vbd+vsua++xvbn+=asked
fewer ^ap++++=fewer
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
rode ^vbd+++xvbn+=rode
night ^nn++++=night-herd
- ^zz++++=EXTRAWORD
herd ^nn++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
were ^vbd+bed+vrb++=were
sick ^jj+pred+++=sick.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
gave ^vbd+++xvbn+=gave
you ^pp2+pp2+++=you
the ^ati++++=the
dry ^jj+atrb+++=dry
blanket ^nn++++=blanket.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
shot ^vbd+++xvbn+=shot
your ^pp$+pp2+++=your
ruined ^jj+atrb++xvbn+=ruined
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
called ^vbd+++xvbn+=called
you ^pp2+pp2+++=you
a ^at++++=a
fool ^jjb++++=fool
and ^cc+phrs+++=and
obeyed ^jj+++xvbn+=obeyed
a ^at++++=a
rigged ^jj+atrb++xvbn+=rigged
card ^nn++++=card
draw ^vb++++=draw
because ^cs+cos+++=because
rules ^nns++++=rules
were ^vbd+bed+vrb++=were
rules ^nns++++=rules.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
scratched ^vwbn+++xvbn+=scratched
until ^cs+sub+++=until
the ^ati++++=the
knife ^nn++++=knife
point ^nn++++=point
broke ^vbd+++xvbn+=broke.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lay ^vbd+++xvbnx+=lay
with ^in++++=with
his ^pp$+pp3+++=his
face ^nn++++=face
against ^in++++=against
cold ^jj+atrb+++=cold
sand ^nn++++=sand
and ^cc++++=and
heard ^vbd+vprv+tht0+xvbn+=heard
his ^pp$+pp3+++=his
heart ^nn++++=heart
striking ^vwbg+++xvbg+=striking
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
feet ^nns++++=feet
were ^vbd+bed+aux++=were
bleeding ^vbg+++xvbgx+=bleeding.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
knee ^nn++++=knee
would ^md+prd+++=would
no ^at++++=no
longer ^rbr++++=longer
straighten ^vb++++=straighten
properly ^rb++++=properly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Bar ^nn++++=Bar-M
- ^zz++++=EXTRAWORD
m ^zz++++=EXTRAWORD
windmill ^np++++=windmill
showed ^vbd+vprv++xvbn+=showed
against ^in++++=against
the ^ati++++=the
paling ^jj+atrb++xvbg+=paling
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
impossibly ^rb++++=impossibly
thin ^jj++++=thin
and ^cc+phrs+++=and
distant ^jj++++=distant.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rose ^vbd+++xvbnx+=rose
and ^cc+phrs+++=and
ran ^vbd+++xvbn+=ran
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
ranch ^nn++++=ranch
the ^ati++++=the
dogs ^nns++++=dogs
began ^vbd+++xvbn+=began
barking ^vbg+++xvbg+=barking
before ^cs+sub+++=before
any ^dti++++=any
man ^nn++++=man
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
A ^at++++=A
hand ^nn++++=hand
named ^vbd+++xvbn+=named
Lew ^np++++=Lew
Parsons ^np++++=Parsons
came ^vbd+++xvbn+=came
out ^rb+phrv+++=out
with ^in+ppvb+++=with
a ^at++++=a
shotgun ^nn++++=shotgun
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
a ^at++++=a
hatless ^jj++++=hatless
little ^ap++++=little
scarecrow ^nn+++??+=scarecrow
staggering ^jj++++=staggering
through ^in++++=through
the ^ati++++=the
gate ^nn++++=gate
in ^in++++=in
four ^cd++++=four
socks ^nns++++=socks,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
halfway ^rb++++=halfway
up ^rp++++=up
his ^pp$+pp3+++=his
calf ^nn++++=calf.
. ^zz++++=EXTRAWORD
" ^zz++++="Ravine,"
ravine ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Alfred ^nn++++=Alfred
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
fell ^vbd+++xvbnx+=fell
under ^in++++=under
the ^ati++++=the
water ^nn++++=water
trough ^nn++++=trough.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
poured ^vbd+++xvbnx+=poured
coffee ^nn++++=coffee
into ^in++++=into
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
saddled ^j+++xvbn+=saddled
eight ^cd++++=eight
men ^nns++++=men
and ^cc++++=and
wasted ^vbd+++xvbn+=wasted
twelve ^cd++++=twelve
minutes ^nns++++=minutes
finding ^vwbg+++xvbg+=finding
out ^rp+pl+++=out
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant.
. ^zz++++=EXTRAWORD
Alfred ^np++++=Alfred
cursed ^vbd+++xvbn+=cursed
them ^pp3o+pp3+++=them
for ^in++++=for
every ^at++++=every
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
demanded ^vbd+vsua++xvbnx+=demanded
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
lifted ^vbd+++xvbnx+=lifted
him ^pp3o+pp3+++=him
upright ^jj++++=upright
his ^pp$+pp3+++=his
legs ^nns++++=legs
folded ^vbd+++xvbn+=folded.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
put ^vbd+++xvbnx+=put
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
buckboard ^nn+++??+=buckboard
and ^cc++++=and
drove ^vpsv++agls+xvbn+=drove
behind ^in+pl+++=behind
the ^ati++++=the
riders ^nns++++=riders.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
rose ^vbd+++xvbn+=rose.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
bluff ^nn++++=bluff
three ^cd++++=three
hours ^nns++++=hours
later ^rbr+tm+++=later.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vaqueros ^nns+++??+=vaqueros
were ^vbd+bed+aux++=were
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
So ^ql++++=So
were ^vbd+bed+vrb++=were
Tom ^np++++=Tom's
's ^$++++=EXTRAWORD
revolver ^nn+nom+++=revolver,
, ^zz++++=EXTRAWORD
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
belt ^nn++++=belt
buckle ^nn++++=buckle
and ^cc++++=and
the ^ati++++=the
few ^ap++++=few
dollars ^nns++++=dollars
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dead ^jj+atrb+++=dead
horse ^nn++++=horse
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
hacked ^vpsv++agls+xvbnx+=hacked
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
Cartridge ^nn++++=Cartridge
shells ^nps++++=shells
littered ^vbd+++xvbn+=littered
the ^ati++++=the
ravine ^nn++++=ravine.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
marked ^vbd+++xvbn+=marked
the ^ati++++=the
clay ^nn++++=clay
at ^rb++++=at
three ^cd++++=three
separate ^nn+nom+++=separate
places ^nns++++=places,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tracks ^nns++++=tracks
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
the ^ati++++=the
final ^jj+atrb+++=final
rush ^nn++++=rush
had ^vb+hv+vrb++=had
cost ^nn++++=cost
Esteban ^np+++??+=Esteban
more ^ql++++=more
men ^nns++++=men.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
lay ^vbd+++xvbn+=lay
near ^in+pl+++=near
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
Alfred ^np++++=Alfred's
's ^$++++=EXTRAWORD
climb ^vb++++=climb.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
shot ^vpsv++agls+xvbnx+=shot
several ^ap++++=several
times ^nns++++=times.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
afterward ^rb++++=afterward
need ^vb++++=need
not ^xnot++not++=not
be ^vb+be+aux++=be
told ^vpsv++agls+xvbnx+=told.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
who ^wpr+who+whq++=who
