# ^zz++++=#
Silverhorns ^np+++??+=Silverhorns
He ^pp3a+pp3+++=He
shut ^vbd+++xvbnx+=shut
his ^pp$+pp3+++=his
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
swelled ^j+++xvbn+=swelled
in ^in++++=in
the ^ati++++=the
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fought ^vpsv++agls+xvbn+=fought
for ^in++++=for
self ^nn++++=self-control
- ^zz++++=EXTRAWORD
control ^nn++++=EXTRAWORD
with ^in++++=with
heroism ^nn+nom+++=heroism
worthy ^jj++++=worthy
of ^in++++=of
a ^at++++=a
better ^jjr+atrb+++=better
cause ^nn++++=cause.
. ^zz++++=EXTRAWORD
The ^ati++++=The
insect ^nn++++=insect
went ^vbd+++xvbn+=went
farther ^rbr++++=farther
down ^rp++++=down.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
filled ^vbd+++xvbn+=filled
with ^in++++=with
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
made ^vbd+++xvbnx+=made
a ^at++++=a
noise ^nn++++=noise
like ^in++++=like
a ^at++++=a
cork ^nn++++=cork
being ^xvbg+++xvbg+=being
pulled ^vbd+++xvbn+=pulled
from ^in++++=from
a ^at++++=a
bottle ^nn++++=bottle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
began ^vbd+++xvbn+=began
to ^to++++=to
laugh ^vbi++++=laugh.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
bull ^np++++=bull
stopped ^vbd+++xvbn+=stopped,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
continued ^vbd+++xvbn+=continued
severely ^rb++++=severely.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
sights ^nns++++=sights,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Billy ^np++++=Billy
bent ^vbd+++xvbn+=bent
double ^jj++++=double
and ^cc+phrs+++=and
exploded ^jj+++xvbn+=exploded.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
coughed ^vbd+++xvbnx+=coughed,
, ^zz++++=EXTRAWORD
sneezed ^xvbn+++xvbn+=sneezed,
, ^zz++++=EXTRAWORD
struck ^j+++xvbn+=struck
Tom ^np++++=Tom
with ^in++++=with
the ^ati++++=the
birch ^nn++++=birch-bark
- ^zz++++=EXTRAWORD
bark ^nn++++=EXTRAWORD
horn ^np++++=horn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
in ^in++++=in
a ^at++++=a
puddle ^nn+++??+=puddle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bull ^np++++=bull
wheeled ^vbd+++xvbn+=wheeled.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fired ^vbd+++xvbnx+=fired
and ^cc+phrs+++=and
missed ^vbd+++xvbn+=missed
cleanly ^rb++++=cleanly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
laughed ^vbd+++xvbn+=laughed
until ^cs+sub+++=until
the ^ati++++=the
cab ^nn++++=cab
shook ^vbd+++xvbn+=shook.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Baptiste ^np+++??+=Baptiste
grinned ^vbd+++xvbn+=grinned
into ^in++++=into
the ^ati++++=the
furnace ^nn++++=furnace.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
funny ^jj++++=funny,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Providence ^np+nom++??+=Providence
keeps ^vbz++++=keeps
accounts ^nns++++=accounts
over ^in++++=over
a ^at++++=a
long ^jj+atrb+++=long
period ^nn++++=period."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Billy
billy ^np++++=EXTRAWORD
produced ^vbd+++xvbn+=produced
the ^ati++++=the
moth ^nn++++=moth
afterward ^rb++++=afterward
and ^cc++++=and
offered ^vbd+++xvbn+=offered
to ^to++++=to
preserve ^vbi++++=preserve
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+aux++=have
mounted ^vprf+++xvbnx+=mounted
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
smallest ^jjt+atrb+++=smallest
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
Society ^nn++++=Society
for ^in++++=for
Prevention ^nn+nom+++=Prevention
of ^in++++=of
Murder ^nn++++=Murder."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
waited ^vbd+++xvbn+=waited
until ^cs+sub+++=until
the ^ati++++=the
engineer ^nn+nom+++=engineer
recovered ^vbd+++xvbn+=recovered.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
next ^ap++++=next
chance ^nn++++=chance
came ^vbd+++xvbn+=came
on ^in++++=on
the ^ati++++=the
ninth ^od++++=ninth
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
only ^rb+down+++=only
an ^at++++=an
inch ^nn++++=inch,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
enough ^qlp++++=enough
to ^to++++=to
show ^vbi+vprv+++=show
the ^ati++++=the
tracks ^nns++++=tracks
plainly ^rb++++=plainly.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
crossed ^vbd+++xvbn+=crossed
them ^pp3o+pp3+++=them
at ^in++++=at
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
three ^cd++++=three
o'clock ^rb++++=o'clock
Billy ^np++++=Billy
believed ^vbd+vprv+tht0+xvbn+=believed
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
circled ^vprf+++xvbnx+=circled
ahead ^rb+pl+++=ahead
of ^in++++=of
the ^ati++++=the
bull ^nn++++=bull.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
ravine ^nn++++=ravine
with ^in++++=with
a ^at++++=a
brook ^nn++++=brook
at ^rb++++=at
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
Silverhorns ^np+++??+=Silverhorns
was ^vbd+bedz+aux++=was
travelling ^nvbg+++xvbg+=travelling
along ^in++++=along
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
took ^vbd+++xvbn+=took
position ^nn+nom+++=position
above ^in+pl+++=above
a ^at++++=a
narrow ^nn++++=narrow
crossing ^vwbg+++xvbg+=crossing.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
perfect ^jj+pred+++=perfect.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
our ^pp$+pp1+++=our
faces ^nns++++=faces.
. ^zz++++=EXTRAWORD
The ^ati++++=The
snow ^nn++++=snow
muffled ^jj++++=muffled
every ^at++++=every
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
stayed ^vbd+++xvbn+=stayed
two ^cd++++=two
hundred ^cd++++=hundred
yards ^nns++++=yards
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
and ^cc++++=and
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
behind ^in+ppvb+++=behind
a ^at++++=a
cedar ^nn++++=cedar.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
only ^rb+down+++=only
to ^to++++=to
wait ^vbi++++=wait."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Those
those ^dt+dem+++=EXTRAWORD
words ^nns++++=words,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mcleod ^np+++??+=McLeod,
, ^zz++++=EXTRAWORD
wiping ^vbg+++xvbg+=wiping
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
" ^zz++++="generally
generally ^rb+down+++=EXTRAWORD
introduce ^vb++++=introduce
disaster ^nn+nom+++=disaster."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
waited ^vbd+++xvbn+=waited
two ^cd++++=two
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cold ^nn++++=cold
came ^vbd+++xvbn+=came
through ^in++++=through
our ^pp$+pp1+++=our
coats ^nns++++=coats
and ^cc++++=and
into ^in++++=into
our ^pp$+pp1+++=our
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
foot ^nn++++=foot
went ^vbd+++xvbn+=went
to ^to++++=to
sleep ^vbi++++=sleep,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
whispered ^vbd+vpub++xvbn+=whispered
that ^tht+vcmp+++=that
perhaps ^rb++++=perhaps
the ^ati++++=the
bull ^np++++=bull
had ^vbd+hvd+aux++=had
bedded ^vprf+++xvbnx+=bedded
down ^rp++++=down.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
whispered ^vbd+vpub++xvbnx+=whispered
that ^tht+vcmp+++=that
perhaps ^rb++++=perhaps
Billy ^np++++=Billy
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^to++++=to
whisper ^vbi+vpub+++=whisper.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
a ^at++++=a
raven ^jj+atrb++xvbn+=raven
flap ^nn++++=flap
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
ravine ^nn++++=ravine.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
minute ^nn++++=minute
later ^rbr+tm+++=later
a ^at++++=a
branch ^nn++++=branch
cracked ^vbd+++xvbn+=cracked
below ^rb++++=below.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bull ^np++++=bull
appeared ^vbd+seem++xvbn+=appeared
between ^in++++=between
the ^ati++++=the
cedars ^nns+++??+=cedars,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
directly ^rb++++=directly
toward ^in++++=toward
the ^ati++++=the
crossing ^nvbg+++xvbg+=crossing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
a ^at++++=a
clear ^jj+atrb+++=clear
view ^nn++++=view
of ^in++++=of
his ^pp$+pp3+++=his
neck ^nn++++=neck
and ^cc++++=and
chest ^nn++++=chest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped
at ^rb++++=at
the ^ati++++=the
brook ^nn++++=brook
and ^cc++++=and
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
head ^nn++++=head."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
then ^rn+tm+++=then?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing."
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing?"
nothing ^pn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
rifle ^nn++++=rifle
would ^md+prd+++=would
not ^xnot++not++=not
fire ^nn++++=fire."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
stared ^vbd+++xvbn+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
shocked ^jj+atrb++xvbn+=shocked
respect ^nn++++=respect
one ^cd1++++=one
mechanic ^nn++++=mechanic
gives ^vbz++++=gives
another ^dt++++=another
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
mechanical ^jj+atrb+++=mechanical
catastrophe ^nn++++=catastrophe.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
lever ^&fw++++=lever
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
fully ^rb+amp+++=fully
closed ^jj+++xvbn+=closed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
admitted ^vwbn+vpub++xvbn+=admitted.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
pine ^nn++++=pine
needle ^nn++++=needle
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
into ^in+ppvb+++=into
the ^ati++++=the
action ^nn++++=action
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
cleaned ^vbd+++xvbnx+=cleaned
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pressed ^vbd+++xvbnx+=pressed
the ^ati++++=the
trigger ^nn++++=trigger
click ^nn++++=click.
. ^zz++++=EXTRAWORD
Silverhorns ^np+++??+=Silverhorns
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
worked ^vbd+++xvbnx+=worked
the ^ati++++=the
lever ^nn++++=lever,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
frozen ^jj+atrb++xvbn+=frozen
sleeve ^nn++++=sleeve
caught ^vbd+++xvbn+=caught
on ^in++++=on
the ^ati++++=the
cedar ^nn++++=cedar.
. ^zz++++=EXTRAWORD
The ^ati++++=The
branch ^nn++++=branch
shook ^vbd+++xvbn+=shook.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
jumped ^vbd+++xvbnx+=jumped
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
saw ^j+++xvbn+=saw
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
up ^rp++++=up
the ^ati++++=the
ravine ^nn++++=ravine
with ^in++++=with
his ^pp$+pp3+++=his
antlers ^nns+nom+++=antlers
laid ^vbd+++xvbn+=laid
along ^in++++=along
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Man,"
man ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mcleod ^np+++??+=McLeod,
, ^zz++++=EXTRAWORD
" ^zz++++="ye
ye ^pp2+pp2+++=EXTRAWORD
were ^vbd+bed+aux++=were
protected ^vpsv++agls+xvbnx+=protected
against ^in++++=against
yourself ^ppl+pp2+++=yourself
by ^in++++=by
a ^at++++=a
pine ^nn++++=pine
needle ^nn++++=needle.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
Calvinist ^np+nom++??+=Calvinist
alive ^jj++++=alive
who ^whp+who+++=who
could ^md+pos+++=could
overlook ^vb+vprv+++=overlook
such ^abl++++=such
evidence ^nn+nom+++=evidence."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
sat ^vbd+++xvbnx+=sat
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow
for ^in++++=for
ten ^cd++++=ten
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
contemplating ^vbg+++xvbg+=contemplating
the ^ati++++=the
commandments ^nns+nom+++=commandments."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Particularly
particularly ^rb++++=EXTRAWORD
the ^ati++++=the
sixth ^od++++=sixth?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Particularly
particularly ^rb++++=EXTRAWORD
several ^ap++++=several
that ^dt+pdem+++=that
are ^vb+ber+aux++=are
not ^xnot++not++=not
written ^vbd+++xvbn+=written."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
did ^vbd+dod+aux++=did
Billy ^np++++=Billy
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing.
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
wise ^jj+atrb+++=wise
guide ^nn++++=guide
knows ^vbz+vprv+++=knows
when ^wrb+who+whcl++=when
silence ^nn+nom+++=silence
is ^vbz+bez+vrb++=is
part ^nn++++=part
of ^in++++=of
his ^pp$+pp3+++=his
wages ^nns++++=wages."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rain ^nn++++=rain
had ^vbd+hvd+aux++=had
diminished ^vprf+++xvbnx+=diminished
to ^in++++=to
a ^at++++=a
fine ^nn++++=fine
whisper ^vb+vpub+++=whisper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
somnolent ^jj+atrb+++=somnolent
local ^jj+atrb+++=local
train ^nn++++=train
stood ^vbd+++xvbn+=stood
under ^in++++=under
the ^ati++++=the
lamps ^nns++++=lamps,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
windows ^nns++++=windows
dim ^jj++++=dim
and ^cc+phrs+++=and
empty ^jj++++=empty.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
in ^in++++=in
the ^ati++++=the
fog ^nn++++=fog
a ^at++++=a
dog ^nn++++=dog
barked ^vbd+++xvbn+=barked
at ^in++++=at
regular ^jj+atrb+++=regular
intervals ^nns+nom+++=intervals,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
protesting ^vbg+++xvbg+=protesting
a ^at++++=a
private ^jj+atrb+++=private
injustice ^nn++++=injustice.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yesterday ^nr+tm+++=Yesterday
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np++++=Hemenway's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
comic ^jj+atrb+++=comic
vexation ^nn+nom+++=vexation
left ^vbd+++xvbn+=left
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
stared ^vbd+++xvbnx+=stared
beyond ^in++++=beyond
the ^ati++++=the
boiler ^nn++++=boiler
toward ^in++++=toward
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
camp ^np++++=camp.
. ^zz++++=EXTRAWORD
Tom ^np++++=Tom
took ^vbd+++xvbn+=took
the ^ati++++=the
first ^od++++=first
canoe ^vb+++??+=canoe
load ^nn++++=load
down ^in++++=down
to ^in++++=to
the ^ati++++=the
settlement ^nn+nom+++=settlement,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Billy ^np++++=Billy
and ^cc++++=and
I ^pp1a+pp1+++=I
remained ^vbd+++xvbnx+=remained
to ^in++++=to
pack ^nn++++=pack
the ^ati++++=the
tent ^nn++++=tent.
. ^zz++++=EXTRAWORD
About ^in++++=About
noon ^nn++++=noon
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
a ^at++++=a
bull ^nn++++=bull
grunting ^vwbg+++xvbg+=grunting
in ^in++++=in
the ^ati++++=the
timber ^nn++++=timber
behind ^rp+pl+++=behind
camp ^npl++++=camp."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Silverhorns
silverhorns ^nns+++??+=EXTRAWORD
again ^rb+tm+++=again?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Billy
billy ^np++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
so ^ql++++=so
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
notes ^nns++++=notes
in ^in++++=in
an ^at++++=an
animal ^nn++++=animal's
's ^$++++=EXTRAWORD
call ^nn++++=call,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
claims ^nns++++=claims,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^in++++=as
in ^in"++++=in
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
left ^vbd+++xvbn+=left
the ^ati++++=the
packs ^nns++++=packs
and ^cc++++=and
went ^vpsv++agls+xvbn+=went
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
country ^nn++++=country
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
terrible ^jj+pred+++=terrible
blown ^vbd+++xvbn+=blown
spruce ^jj++++=spruce,
, ^zz++++=EXTRAWORD
granite ^nn++++=granite
shelves ^nns++++=shelves,
, ^zz++++=EXTRAWORD
patches ^nns++++=patches
of ^in++++=of
bog ^nn++++=bog
that ^tht+rel+subj++=that
look ^vb++++=look
firm ^jj++++=firm
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
take ^vb++++=take
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
thigh ^nn++++=thigh.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
followed ^vbd+vprv++xvbn+=followed
for ^in++++=for
three ^cd++++=three
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered;
; ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
we ^pp1a+pp1+++=we
heard ^vbd+vprv++xvbn+=heard
him ^pp3o+pp3+++=him
moving ^jj+++xvbg+=moving.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
running ^nvbg+++xvbg+=running
from ^in++++=from
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
circling ^nvbg+++xvbg+=circling,
, ^zz++++=EXTRAWORD
curious ^jj++++=curious
and ^cc+phrs+++=and
suspicious ^jj++++=suspicious.
. ^zz++++=EXTRAWORD
" ^zz++++="At
at ^rb++++=EXTRAWORD
last ^rb"++++=last
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
an ^at++++=an
open ^jj+atrb+++=open
hardwood ^nn++++=hardwood
ridge ^nn++++=ridge.
. ^zz++++=EXTRAWORD
The ^ati++++=The
afternoon ^nn++++=afternoon
was ^vbd+bedz+vrb++=was
extraordinarily ^rb++++=extraordinarily
still ^rb++++=still.
. ^zz++++=EXTRAWORD
The ^ati++++=The
leaves ^nns++++=leaves
had ^vb+hv+aux++=had
all ^abn++++=all
fallen ^vprf+++xvbn+=fallen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
white ^jj+atrb+++=white
trunks ^nns++++=trunks
stood ^vbd+++xvbn+=stood
in ^in++++=in
ranks ^nns++++=ranks
down ^in++++=down
the ^ati++++=the
slope ^nn++++=slope.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
a ^at++++=a
long ^jj+atrb+++=long
way ^nn++++=way
between ^in++++=between
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Billy
billy ^np++++=EXTRAWORD
touched ^vbd+++xvbn+=touched
my ^pp$+pp1+++=my
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
Silverhorns ^np+++??+=Silverhorns
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
hollow ^nn++++=hollow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Even ^rb++++=Even
Mcleod ^np+++??+=McLeod
did ^vbd+dod+aux++=did
not ^xnot++not++=not
interrupt ^vb++++=interrupt.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
stood ^vbd+++xvbnx+=stood
broadside ^nn+++??+=broadside,
, ^zz++++=EXTRAWORD
entirely ^rb+amp+++=entirely
clear ^jj++++=clear,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
eighty ^cd++++=eighty
yards ^nns++++=yards
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
could ^md+pos+++=could
be ^vb+be+vrb++=be
no ^at++++=no
mistake ^nn++++=mistake,
, ^zz++++=EXTRAWORD
no ^at++++=no
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
no ^at++++=no
canoe ^nn+++??+=canoe,
, ^zz++++=EXTRAWORD
no ^at++++=no
moth ^nn++++=moth,
, ^zz++++=EXTRAWORD
no ^at++++=no
pine ^nn++++=pine
needle ^nn++++=needle.
. ^zz++++=EXTRAWORD
The ^ati++++=The
light ^nn++++=light
lay ^vbd+++xvbn+=lay
full ^jj++++=full
upon ^in++++=upon
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
enormous ^jj+pred+++=enormous,
, ^zz++++=EXTRAWORD
Angus ^np++++=Angus.
