Well ^rb+cnj+++=Well,
. ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
looked ^vbd+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it
and ^cc++++0=an'
went ^vbd+++xvbn+=went
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
" ^zz++++="Deuteronomy,"
deuteronomy ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
" ^zz++++="lockjaw."
lockjaw ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Now ^rn+tm+++=Now
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
borrowin ^nn+++??+=borrowin'
' ^zz++++=EXTRAWORD
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Trouble ^nn++++=Trouble
generally ^rb+down+++=generally
arrives ^vbz++++=arrives
without ^in++++=without
a ^at++++=a
loan ^nn++++=loan.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
heard ^vprf+++xvbnx+=heard
of ^in++++=of
a ^at++++=a
boy ^nn++++=boy
over ^in++++=over
in ^in++++=in
Clayton ^np+++??+=Clayton
County ^nn++++=County
that ^tht+rel+++=that
stepped ^jj+++xvbn+=stepped
on ^in++++=on
a ^at++++=a
rusty ^np++++=rusty
nail ^vb++++=nail,
, ^zz++++=EXTRAWORD
locked ^j+++xvbn+=locked
his ^pp$+pp3+++=his
jaws ^nns++++=jaws
by ^in++++=by
sunset ^nn++++=sunset
and ^cc++++0=an'
died ^vbd+++xvbn+=died
facin ^nn+++??+=facin'
' ^zz++++=EXTRAWORD
east ^np+pl+++=east.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
facin ^nn+++??+=facin'
' ^zz++++=EXTRAWORD
east ^np+pl+++=east
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
the ^ati++++=the
bed ^nn++++=bed
stood ^vbd+++xvbn+=stood
that ^dt+dem+++=that
way ^nn++++=way,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
detail ^nn++++=detail
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
open ^vbi++++=open
Sonny ^np++++=Sonny's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
you ^pp2+pp2+++=you
doin ^nn+++??+=doin',
', ^nn+++??+=EXTRAWORD
Pa ^npt++++=Pa?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Lookin'
lookin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
at ^in++++=at
your ^pp$+pp2+++=your
tongue ^nn++++=tongue."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
for ^in+strn+++=for?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="To
to ^to++++=EXTRAWORD
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
loose ^jj++++=loose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stuck ^vbd+++xvbnx+=stuck
it ^pp3+it+++=it
out ^rp+pl+++=out
and ^cc++++0=an'
wagged ^vbd+++xvbn+=wagged
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
reassured ^xvbn+++xvbn+=reassured
me ^pp1o+pp1+++=me
for ^in++++=for
maybe ^rb+hdg+++=maybe
a ^at++++=a
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Marthy ^np+++??+=Marthy
says ^vbz+vpub+tht0++=says
lockjaw ^nn+++??+=lockjaw
can ^md+pos+++=can
come ^vb++++=come
sudden ^jj++++=sudden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
what ^wdt+who+++=what
if ^cs+cnd+++=if
our ^pp$+pp1+++=our
child ^nn++++=child
should ^md+nec+++=should
pass ^vb++++=pass
away ^rp+pl+++=away
unchristened ^jj+++xvbn+=unchristened?
? ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv+tht0+xvbnx+=felt
my ^pp$+pp1+++=my
backbone ^nn++++=backbone
go ^vb++++=go
soft ^jj++++=soft
like ^in++++=like
a ^at++++=a
feather ^nn++++=feather
bolster ^nn+nom+++=bolster
in ^in++++=in
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
sent ^vbd+++xvbn+=sent
Amos ^np+++??+=Amos
for ^in++++=for
Doctor ^nn++++=Doctor
Peavy ^np+++??+=Peavy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
doctor ^nn++++=doctor
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty
miles ^nns++++=miles
off ^rp+pl+++=off
tendin ^nn+++??+=tendin'
' ^zz++++=EXTRAWORD
a ^at++++=a
threshin ^nn+++??+=threshin'-machine
'-machine ^nn+++??+=EXTRAWORD
accident ^nn++++=accident.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Marthy ^np+++??+=Marthy
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Fetch
fetch ^vb++++=EXTRAWORD
Reverend ^npt++++=Reverend
Vale ^nn++++=Vale."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saddled ^vbd+++xvbnx+=saddled
Solomon ^np++++=Solomon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
understand ^vbi+vprv+tht0++=understand
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
emergency ^nn++++=emergency,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
only ^ap+down+++=only
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
bite ^vbi++++=bite
me ^pp1o+pp1+++=me
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rode ^vbd+++xvbnx+=rode
the ^ati++++=the
four ^cd++++=four
miles ^nns++++=miles
to ^in++++=to
the ^ati++++=the
rectory ^nn++++=rectory
at ^rb++++=at
a ^at++++=a
pace ^nn++++=pace
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
encourage ^nn+nom+++=encourage
in ^in++++=in
ordinary ^jj+atrb+++=ordinary
travel ^nn++++=travel,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
Reverend ^npt++++=Reverend
Vale ^npl++++=Vale
trimmin ^nn+++??+=trimmin'
' ^zz++++=EXTRAWORD
a ^at++++=a
rosebush ^nn+++??+=rosebush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
Sonny ^nn++++=Sonny
was ^vbd+bedz+vrb++=was
dyin ^nn+++??+=dyin'
' ^zz++++=EXTRAWORD
of ^in++++=of
lockjaw ^nn+++??+=lockjaw,
, ^zz++++=EXTRAWORD
unbaptized ^j+++xvbn+=unbaptized,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
likely ^jj++++=likely
to ^to+jcmp+++=to
resist ^vbi++++=resist.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dropped ^vbd+++xvbnx+=dropped
his ^pp$+pp3+++=his
shears ^nns+++??+=shears.
. ^zz++++=EXTRAWORD
" ^zz++++="Has
has ^vbz+hvz+vrb++=EXTRAWORD
the ^ati++++=the
child ^nn++++=child
developed ^vbd+++xvbn+=developed
spasms ^nns++++=spasms?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
jaw ^nn++++=jaw
rigid ^jj++++=rigid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Marthy ^np+++??+=Marthy
says ^vbz+vpub+tht0++=says
it ^pp3+it+++=it
may ^md+pos+++=may
get ^vb++++=get
that ^dt+dem+++=that
way ^nn++++=way
any ^dti++++=any
minute ^nn++++=minute."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
the ^ati++++=the
physician ^nn++++=physician's
's ^$++++=EXTRAWORD
instructions ^nns+nom+++=instructions?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
physician ^nn++++=physician
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
symptoms ^nns++++=symptoms?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
sore ^jj+atrb+++=sore
foot ^nn++++=foot
and ^cc++++0=an'
a ^at++++=a
contrary ^jj+atrb+++=contrary
disposition ^nn+nom+++=disposition."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
latter ^ap++++=latter
appears ^vbz+seem+++=appears
chronic ^jj++++=chronic,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
come ^vb++++=come
back ^jjb++++=back
in ^in++++=in
his ^pp$+pp3+++=his
buggy ^nn+++??+=buggy.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
we ^pp1a+pp1+++=we
reached ^vbd+++xvbn+=reached
the ^ati++++=the
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
run ^vbd+++xvbn+=run
out ^rp+pl+++=out
wringin ^nn+++??+=wringin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Reverend ^npt++++=Reverend
Vale ^npl++++=Vale
turned ^vbd+++xvbn+=turned
white ^jj++++=white.
. ^zz++++=EXTRAWORD
" ^zz++++="Gone
gone ^vprf+++xvbn+=EXTRAWORD
where ^wrb+who+++=where?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Up
up ^rp++++=EXTRAWORD
the ^ati++++=the
bean ^nn++++=bean
arbor ^&fw++++=arbor!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sure ^jj++++=Sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
The ^ati++++=The
arbor ^&fw++++=arbor
stood ^vbd+++xvbn+=stood
beyond ^in++++=beyond
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
trained ^vprf+++xvbnx+=trained
butter ^nn++++=butter
beans ^nns++++=beans
over ^in++++=over
a ^at++++=a
framework ^nn++++=framework
of ^in++++=of
pine ^nn++++=pine
poles ^nn++++=poles
and ^cc++++0=an'
laths ^nns+++??+=laths.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
intended ^vpsv++agls+xvbnx+=intended
to ^to+vcmp+++=to
bear ^vbi+vprv+++=bear
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
Fact ^nn++++=Fact
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
hardly ^rb+down+++=hardly
equal ^jj+pred+++=equal
to ^in++++=to
the ^ati++++=the
beans ^nns++++=beans.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Sonny ^nn++++=Sonny
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
the ^ati++++=the
side ^nn++++=side,
, ^zz++++=EXTRAWORD
crawled ^vprf+++xvbn+=crawled
over ^in++++=over
the ^ati++++=the
vines ^nns++++=vines
and ^cc++++0=an'
settled ^vbd+++xvbn+=settled
hisself ^nn+++??+=hisself
on ^in++++=on
the ^ati++++=the
very ^ql+amp+++=very
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
two ^cd++++=two
crosspieces ^vbz+++??+=crosspieces
met ^vbd+++xvbn+=met.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
sore ^jj+atrb+++=sore
foot ^nn++++=foot
was ^vbd+bedz+aux++=was
wrapped ^vpsv++agls+xvbnx+=wrapped
in ^in++++=in
a ^at++++=a
red ^jj+atrb+++=red
flannel ^nn++++=flannel
rag ^nn++++=rag,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
watering ^jj+atrb++xvbg+=watering
gourd ^nn+++??+=gourd
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand
for ^in++++=for
defense ^nn+++??+=defense.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poles ^nns++++=poles
bowed ^vbd+++xvbn+=bowed
every ^at++++=every
time ^nn++++=time
he ^pp3a+pp3+++=he
breathed ^vbd+++xvbnx+=breathed.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
down ^rp++++=down,
, ^zz++++=EXTRAWORD
son ^nn++++=son,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
gentle ^jj++++=gentle.
. ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
preacher ^nn+nom+++=preacher
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
to ^to++++=to
see ^vbi+vprv+++=see
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can
see ^vb+vprv+++=see
me ^pp1o+pp1+++=me
from ^in++++=from
there ^rn+pl+++=there."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Reverend ^npt++++=Reverend
Vale ^npl++++=Vale
stepped ^vbd+++xvbn+=stepped
forward ^rb++++=forward.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^uh++++=dear
little ^ap++++=little
boy ^nn++++=boy
" ^zz++++="
" ^zz++++="Take
take ^vb++++=EXTRAWORD
that ^dt+dem+++=that
pen ^nn++++=pen
out ^rp+pl+++=out
of ^in++++0=o'
your ^pp$+pp2+++=your
pocket ^nn++++=pocket."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
rector ^nn++++=rector
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="Lay
lay ^jjb+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
porch ^nn++++=porch."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
obeyed ^vbd+++xvbnx+=obeyed.
. ^zz++++=EXTRAWORD
" ^zz++++="Show
show ^vb+vprv+++=EXTRAWORD
both ^abx++++=both
hands ^nns++++=hands."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
showed ^vbd+vprv++xvbnx+=showed
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
explainin ^nn+++??+=explainin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
necessity ^nn+nom+++=necessity
and ^cc++++0=an'
comfort ^nn++++=comfort
of ^in++++=of
baptism ^nn+nom+++=baptism
in ^in++++=in
cases ^nns++++=cases
of ^in++++=of
grave ^jj+atrb+++=grave
illness ^nns+nom+++=illness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
beautiful ^jj++++=beautiful,
, ^zz++++=EXTRAWORD
with ^in++++=with
words ^nns++++=words
about ^in++++=about
covenant ^nn+nom+++=covenant
mercies ^nns+++??+=mercies,
, ^zz++++=EXTRAWORD
Christian ^jj+atrb+++=Christian
assurance ^nn+nom+++=assurance
and ^cc++++0=an'
the ^ati++++=the
tender ^jj+atrb+++=tender
bosom ^nn++++=bosom
of ^in++++=of
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
listened ^vbd+++xvbn+=listened
till ^cs+sub+++=till
a ^at++++=a
bean ^nn++++=bean
beetle ^nn++++=beetle
crawled ^vprf+++xvbn+=crawled
across ^in+pl+++=across
his ^pp$+pp3+++=his
knee ^nn++++=knee;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
flicked ^vbd+++xvbnx+=flicked
it ^pp3+it+++=it
down ^rp++++=down
at ^rb++++=at
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
sick ^jj++++=sick,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
foot ^nn++++=foot
is ^vbz+bez+vrb++=is
inflamed ^jj+pred+++=inflamed,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
rector ^nn++++=rector.
. ^zz++++=EXTRAWORD
" ^zz++++="Feet
feet ^nns++++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
baptized ^vpsv++agls+xvbnx+=baptized."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
baptize ^vb++++=baptize
the ^ati++++=the
person ^nn++++=person."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
busy ^jj+pred+++=busy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
begun ^vbd+++xvbn+=begun
cryin ^nn+++??+=cryin'.
'. ^nn+++??+=EXTRAWORD
Sonny ^nn++++=Sonny
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
her ^pp$+pp3+++=her
cry ^nn++++=cry,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
generally ^rb+down+++=generally
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
cure ^vbi++++=cure
it ^pp3+it+++=it
by ^in++++=by
tellin ^nn+++??+=tellin'
' ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
not ^xnot++not++=not
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
which ^wdtr+who+whq++=which
has ^vbz+hvz+aux++=has
limited ^vprf+++xvbnx+=limited
effect ^nn++++=effect.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
cry ^vb++++=cry,
, ^zz++++=EXTRAWORD
Ma ^npt++++=Ma,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
christened ^vbd+++xvbn+=christened
when ^wrb+who+++=when
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
seven ^cd++++=seven."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
not ^xnot++not++=not
live ^vb++++=live
till ^cs+sub+++=till
seven ^cd++++=seven!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wailed ^vbd+++xvbnx+=wailed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
considered ^vbd+vprv+tht0+xvbnx+=considered
that ^tht+vcmp+++=that.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
need ^vb++++=need
it ^pp3+it+++=it
long ^jj++++=long."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Reverend ^npt++++=Reverend
Vale ^nn++++=Vale
coughed ^vbd+++xvbn+=coughed
into ^in++++=into
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
a ^at++++=a
laugh ^nn++++=laugh
by ^in++++=by
mistake ^nn++++=mistake,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
occasion ^nn++++=occasion
was ^vbd+bedz+vrb++=was
solemn ^jj+pred+++=solemn.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
fetched ^vbd+++xvbn+=fetched
the ^ati++++=the
ladder ^nn++++=ladder,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
arbor ^&fw++++=arbor
shook ^vbd+++xvbn+=shook
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
leaned ^vbd+++xvbnx+=leaned
it ^pp3+it+++=it
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
Sonny ^nn++++=Sonny
moved ^vbd+++xvbn+=moved
toward ^in++++=toward
the ^ati++++=the
weakest ^jjt++++=weakest
corner ^npl++++=corner.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
climb ^vb++++=climb,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
jump ^vb++++=jump."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
dare ^vb++++=dare!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Marthy ^np+++??+=Marthy.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
darin ^&fw++++=darin'.
'. ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
promisin ^nn+++??+=promisin'."
'." ^nn+++??+=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
took ^vbd+++xvbn+=took
the ^ati++++=the
ladder ^nn++++=ladder
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rector ^npt++++=rector
suggested ^vbd+vpub+tht0+xvbn+=suggested
we ^pp1a+pp1+++=we
distract ^vb++++=distract
him ^pp3o+pp3+++=him
while ^cs+sub+++=while
Amos ^np+++??+=Amos
crept ^vbd+++xvbn+=crept
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
far ^rb+pl+++=far
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
watched ^vbd+++xvbn+=watched
Amos ^np++++=Amos's
's ^$++++=EXTRAWORD
bare ^jj+atrb+++=bare
feet ^nns++++=feet
under ^in++++=under
the ^ati++++=the
vines ^nns++++=vines
and ^cc++++0=an'
poured ^vbd+++xvbn+=poured
the ^ati++++=the
watering ^jj+atrb++xvbg+=watering
gourd ^nn+++??+=gourd
on ^in++++=on
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Amos ^np+++??+=Amos
come ^vb++++=come
down ^rp++++=down
quicker ^jjr++++=quicker
than ^in++++=than
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
up ^rp++++=up.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Marthy ^np+++??+=Marthy
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Honey,
honey ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
