*[sam ^nn+++??+=*[Sam
. ^zz++++=EXTRAWORD
" ^zz++++="Mis'
mis ^npt++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
heard ^vbd+vprv++xvbn+=heard
about ^in++++=about
the ^ati++++=the
first ^od++++=first
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
the ^ati++++=the
second ^od++++=second.
. ^zz++++=EXTRAWORD
" ^zz++++="'I
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
feared ^vbd+vprv++xvbnx+=feared
as ^ql++++=as
much ^ap++++=much,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
' ^zz++++='Waste,
waste ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
no ^at++++=no
mature ^jj+atrb+++=mature
judgment ^nn+nom+++=judgment.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
month ^nn++++=month
or ^cc++++=or
so ^ql++++=so
after ^cs+sub+++=after
that ^dt+pdem+++=that
came ^vbd+++xvbn+=came
the ^ati++++=the
pig ^nn++++=pig
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj++++=old
well ^rb++++=well
near ^rb++++=near
the ^ati++++=the
kitchen ^nn++++=kitchen
ell ^nn+++??+=ell
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
stones ^nns++++=stones
round ^in++++=round
the ^ati++++=the
top ^jjb++++=top
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
cave ^vbi++++=cave.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
parson ^nn++++=parson
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
dangerous ^jj+pred+++=dangerous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
agreed ^vbd+vpub+tht0+xvbnx+=agreed
it ^pp3+it+++=it
should ^md+nec+++=should
be ^vb+be+aux++=be
secured ^vpsv++agls+xvbnx+=secured.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
hired ^vbd+++xvbnx+=hired
Jabez ^np+++??+=Jabez
Turner ^np++++=Turner
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
stout ^jj+atrb+++=stout
square ^nn++++=square
curb ^nn++++=curb
with ^in++++=with
a ^at++++=a
hinged ^jj+atrb+++=hinged
cover ^nn++++=cover,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
jist ^nn++++=jist
finished ^vbd+++xvbn+=finished
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
all ^abn++++=all
new ^jj+atrb+++=new
pine ^nn++++=pine
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
drover ^nn++++=drover
came ^vbd+++xvbn+=came
along ^in++++=along
with ^in"++++=with
a ^at++++=a
young ^jj+atrb+++=young
pig ^nn++++=pig
Huldy ^np+++??+=Huldy
had ^vbd+hvd+aux++=had
agreed ^vprf+++xvbnx+=agreed
to ^to++++=to
buy ^vbi++++=buy.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
advised ^vpsv++by+xvbnx+=advised
by ^in++++=by
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Pipperidge ^np+++??+=Pipperidge
that ^tht+rel+obj++=that
every ^at++++=every
proper ^jj+atrb+++=proper
country ^nn++++=country
household ^nn++++=household
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
fatten ^vb++++=fatten
pork ^nn++++=pork.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
his ^pp$+pp3+++=his
study ^nn++++=study
while ^cs+sub+++=while
Huldy ^np+++??+=Huldy
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
garret ^nn+++??+=garret
sortin ^nn+++??+=sortin'
' ^zz++++=EXTRAWORD
wool ^nn++++=wool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
stood ^vprf+++xvbn+=stood
the ^ati++++=the
pig ^nn++++=pig
tied ^vbd+++xvbn+=tied
to ^in++++=to
the ^ati++++=the
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
squealin ^nn+++??+=squealin'
' ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
voice ^nn++++=voice
that ^tht+rel+subj++=that
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
accuse ^vbi++++=accuse
the ^ati++++=the
whole ^jj+atrb+++=whole
human ^jj+atrb+++=human
race ^nn++++=race.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
new ^jj+atrb+++=new
square ^nn++++=square
structure ^nn++++=structure
by ^in++++=by
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
" ^zz++++="'Ah,'
' ^zz++++=EXTRAWORD
ah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='Huldah
huldah ^nn+++??+=EXTRAWORD
has ^vbz+hvz+aux++=has
provided ^vprf+++xvbnx+=provided
a ^at++++=a
pen ^nn++++=pen.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Jabez
jabez ^nn+++??+=EXTRAWORD
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
the ^ati++++=the
cover ^nn++++=cover
tilted ^vbd+++xvbn+=tilted
back ^jjb++++=back
to ^to++++=to
let ^vbi++++=let
the ^ati++++=the
new ^jj+atrb+++=new
boards ^nns++++=boards
dry ^jj++++=dry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
untied ^vbd+++xvbn+=untied
the ^ati++++=the
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
" ^zz++++="'Come,
' ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
creature ^nn++++=creature,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
' ^zz++++='Your
your ^pp$+pp2+++=EXTRAWORD
habitation ^nn+nom+++=habitation
is ^vbz+bez+aux++=is
prepared ^vpsv++agls+xvbnx+=prepared.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
pig ^nn++++=pig
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
it ^pp3+it+++=it
so ^rb++++=so.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
backed ^vbd+++xvbnx+=backed,
, ^zz++++=EXTRAWORD
twisted ^j+++xvbn+=twisted,
, ^zz++++=EXTRAWORD
wound ^j+++xvbn+=wound
the ^ati++++=the
rope ^nn++++=rope
round ^in++++=round
the ^ati++++=the
parson ^nn++++=parson's
's ^$++++=EXTRAWORD
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
started ^vpsv++agls+xvbn+=started
for ^in++++=for
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parson ^nn++++=parson
followed ^vbd+vprv++xvbn+=followed
in ^in++++=in
short ^jj+atrb+++=short
hops ^nns+++??+=hops,
, ^zz++++=EXTRAWORD
exhortin ^nn+++??+=exhortin'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him
to ^in++++=to
moderation ^nn+nom+++=moderation.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
through ^in++++=through
the ^ati++++=the
asparagus ^nn++++=asparagus
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
over ^in++++=over
a ^at++++=a
row ^nn++++=row
of ^in++++=of
young ^jj+atrb+++=young
cabbages ^nns+nom+++=cabbages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
round ^in++++=round
the ^ati++++=the
well ^rb++++=well
three ^cd++++=three
times ^nns++++=times.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
the ^ati++++=the
parson ^nn++++=parson
caught ^vbd+++xvbn+=caught
the ^ati++++=the
pig ^nn++++=pig
under ^in++++=under
the ^ati++++=the
forelegs ^nns+++??+=forelegs,
, ^zz++++=EXTRAWORD
lifted ^j+++xvbn+=lifted
him ^pp3o+pp3+++=him
squealin ^nn+++??+=squealin',
', ^nn+++??+=EXTRAWORD
kickin ^nn+++??+=kickin',
', ^nn+++??+=EXTRAWORD
and ^cc++++=and
wrigglin ^nn+++??+=wrigglin'
' ^zz++++=EXTRAWORD
and ^cc++++=and
dropped ^vbd+++xvbn+=dropped
him ^pp3o+pp3+++=him
over ^in++++=over
the ^ati++++=the
curb ^nn++++=curb.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
" ^zz++++="Then,
then ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
from ^in++++=from
considerable ^jj+atrb+++=considerable
depth ^nn++++=depth,
, ^zz++++=EXTRAWORD
came ^jj+atrb++xvbn+=came
one ^cd1++++=one
splash ^vb++++=splash
and ^cc++++=and
a ^at++++=a
long ^jj++++=long,
, ^zz++++=EXTRAWORD
surprised ^j+++xvbn+=surprised
squeal ^jj++++=squeal.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
leaned ^vbd+++xvbn+=leaned
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
" ^zz++++="'Dear
' ^zz++++=EXTRAWORD
dear ^jj++++=EXTRAWORD
me ^pp1o+pp1+++=me,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
well ^rb++++=well
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
dry ^jj++++=dry
after ^in++++=after
all ^abn++++=all.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
six ^cd++++=six
foot ^nn++++=foot
of ^in++++=of
muddy ^jj+atrb+++=muddy
water ^nn++++=water
in ^in++++=in
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
then ^rn+tm+++=then
Huldy ^np+++??+=Huldy
came ^vbd+++xvbn+=came
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="'Where's
' ^zz++++=EXTRAWORD
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
pig ^nn++++=pig?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
pointed ^vbd+++xvbn+=pointed
down ^rp++++=down.
. ^zz++++=EXTRAWORD
" ^zz++++="'Huldah,'
' ^zz++++=EXTRAWORD
huldah ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='there
there ^ex+pex+++=EXTRAWORD
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
misconception ^nn+nom+++=misconception
as ^in++++=as
to ^in++++=to
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
this ^dt+dem+++=this
enclosure ^nn++++=enclosure.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^jj+++??+=EXTRAWORD
looked ^jj+++xvbn+=looked
into ^in++++=into
the ^ati++++=the
well ^rb++++=well.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pig ^nn++++=pig
was ^vbd+bedz+vrb++=was
swimmin ^nn+++??+=swimmin'
' ^zz++++=EXTRAWORD
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
snout ^nn++++=snout
up ^rp++++=up,
, ^zz++++=EXTRAWORD
meditatin ^nn+++??+=meditatin'
' ^zz++++=EXTRAWORD
revenge ^nn++++=revenge.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
never ^rb++++=never
stopped ^vbd+++xvbn+=stopped
to ^in++++=to
scold ^nn+++??+=scold.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
ran ^vbd+++xvbnx+=ran
for ^in++++=for
a ^at++++=a
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
Enoch ^np++++=Enoch
and ^cc++++=and
Jabez ^np+++??+=Jabez,
, ^zz++++=EXTRAWORD
fetched ^j+++xvbn+=fetched
an ^at++++=an
old ^jj+atrb+++=old
grain ^nn++++=grain
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
a ^at++++=a
deal ^nn++++=deal
of ^in++++=of
contrivin ^nn+++??+=contrivin',
', ^nn+++??+=EXTRAWORD
they ^pp3a+pp3+++=they
lowered ^vbd+++xvbnx+=lowered
Jabez ^np+++??+=Jabez
halfway ^rb++++=halfway
down ^rp++++=down
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
the ^ati++++=the
pig ^nn++++=pig
into ^in++++=into
the ^ati++++=the
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
drew ^vbd+++xvbnx+=drew
it ^pp3+it+++=it
up ^rp++++=up,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
pig ^nn++++=pig
come ^vprf+++xvbn+=come
over ^in++++=over
the ^ati++++=the
edge ^nn++++=edge
like ^in++++=like
a ^at++++=a
cannonball ^nn+++??+=cannonball,
, ^zz++++=EXTRAWORD
shook ^jj+atrb++xvbn+=shook
muddy ^jj+atrb+++=muddy
water ^nn++++=water
over ^in++++=over
everybody ^pn++++=everybody,
, ^zz++++=EXTRAWORD
bit ^nn++++=bit
Enoch ^np++++=Enoch's
's ^$++++=EXTRAWORD
boot ^nn++++=boot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
headed ^vpsv++agls+xvbn+=headed
for ^in+ppvb+++=for
the ^ati++++=the
parlor ^nn++++=parlor.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^jj+++??+=EXTRAWORD
caught ^xvbn+++xvbn+=caught
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
tablecloth ^nn++++=tablecloth
jist ^nn++++=jist
as ^ql++++=as
it ^pp3+it+++=it
got ^vbd+++xvbn+=got
under ^in++++=under
the ^ati++++=the
sofa ^nn++++=sofa.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
a ^at++++=a
pig ^nn++++=pig
in ^in++++=in
a ^at++++=a
tablecloth ^nn++++=tablecloth
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
dignified ^jj+atrb+++=dignified
object ^nn++++=object,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
minister ^npt+nom+++=minister
standin ^nn+++??+=standin'
' ^zz++++=EXTRAWORD
by ^in++++=by
with ^in++++=with
green ^jj+atrb+++=green
slime ^nn++++=slime
on ^in++++=on
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
breeches ^nns++++=breeches
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
much ^ap++++=much
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Huldy ^np+++??+=Huldy
only ^rb+down+++=only
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
' ^zz++++='There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
poor ^jj++++=poor
little ^ap++++=little
cretur ^nn+++??+=cretur,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
pig ^nn++++=pig
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
victim ^nn++++=victim
of ^in++++=of
doctrinal ^jj+atrb+++=doctrinal
error ^nn++++=error
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
put ^vbd+++xvbnx+=put
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
wash ^vb++++=wash-tub
- ^zz++++=EXTRAWORD
tub ^nn++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
covered ^j+++xvbn+=covered
the ^ati++++=the
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
next ^ap++++=next
day ^nn++++=day
had ^vb+hv+aux++=had
Jabez ^np+++??+=Jabez
build ^vb++++=build
a ^at++++=a
real ^jj+atrb+++=real
pen ^nn++++=pen
behind ^in+pl+++=behind
the ^ati++++=the
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
drove ^vbd+++xvbnx+=drove
over ^in++++=over
to ^in++++=to
Seth ^np+++??+=Seth
Barlow ^np++++=Barlow's
's ^$++++=EXTRAWORD
and ^cc++++=and
bought ^vprf+++xvbn+=bought
another ^dt++++=another
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
' ^zz++++='One
one ^cd1++++=EXTRAWORD
pig ^nn++++=pig
alone ^rb++++=alone
gets ^vbz++++=gets
lonesome ^jj++++=lonesome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lonesome ^jj+atrb+++=lonesome
things ^nns++++=things
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
thrive ^jj++++=thrive.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
the ^ati++++=the
parson ^nn++++=parson
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
two ^cd++++=two
of ^in++++=of
them ^pp3o+pp3+++0='em
bedded ^vbd+++xvbn+=bedded
down ^rp++++=down
in ^in++++=in
clean ^jj+atrb+++=clean
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
lookin ^nn+++??+=lookin'.
'. ^nn+++??+=EXTRAWORD
" ^zz++++="'Huldah,'
' ^zz++++=EXTRAWORD
huldah ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
perceive ^vb+vprv+++=perceive
that ^tht+vcmp+++=that
special ^jj+atrb+++=special
aptitude ^nn++++=aptitude
is ^vbz+bez+vrb++=is
a ^at++++=a
significant ^jj+atrb+++=significant
element ^nn+nom+++=element
in ^in++++=in
the ^ati++++=the
ordering ^jj+++xvbg+=ordering
of ^in++++=of
Providence ^np+nom++??+=Providence.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Your
' ^zz++++=EXTRAWORD
your ^pp$+pp2+++=EXTRAWORD
aptitude ^nn++++=aptitude
for ^in++++=for
these ^dt+dem+++=these
concerns ^nns++++=concerns
is ^vbz+bez+vrb++=is
plainly ^rb++++=plainly
greater ^jjr+pred+++=greater
than ^in++++=than
mine ^nn++++=mine.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'I've
' ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
more ^rbr++++=more
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Henceforth,'
' ^zz++++=EXTRAWORD
henceforth ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
confide ^vb+vpub+++=confide
the ^ati++++=the
temporal ^jj+atrb+++=temporal
administration ^nn+nom+++=administration
to ^in++++=to
your ^pp$+pp2+++=your
discretion ^nn+nom+++=discretion.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="'Yes,
' ^zz++++=EXTRAWORD
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
from ^in++++=from
that ^dt+dem+++=that
hour ^nn++++=hour
he ^pp3a+pp3+++=he
never ^rb++++=never
interfered ^vbd+++xvbn+=interfered
with ^in++++=with
a ^at++++=a
turkey ^nn++++=turkey,
, ^zz++++=EXTRAWORD
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
pump ^nn++++=pump,
, ^zz++++=EXTRAWORD
pickle ^nn+++??+=pickle
jar ^nn++++=jar,
, ^zz++++=EXTRAWORD
hired ^jj+atrb++xvbn+=hired
man ^nn++++=man,
, ^zz++++=EXTRAWORD
seed ^nn++++=seed
catalogue ^nn++++=catalogue,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
soap ^nn++++=soap
kettle ^nn++++=kettle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^vbd+hvd+aux++=EXTRAWORD
found ^vprf+++xvbnx+=found
his ^pp$+pp3+++=his
limitations ^nns+nom+++=limitations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
more ^rbr++++=more'n
'n ^nn+++??+=EXTRAWORD
most ^ql+emph+++=most
folks ^nns++++=folks
do ^vb+do+vrb++=do
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
live ^vb++++=live
to ^to++++=to
be ^vbi++vrb++=be
ninety ^cd++++=ninety.
. ^zz++++=EXTRAWORD
" ^zz++++="Wal,
wal ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
that ^dt+dem+++=that
place ^nn++++=place
began ^vbd+++xvbn+=began
to ^to++++=to
flourish ^vbi++++=flourish.
. ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
had ^vb+hv+vrb++=had
a ^at++++=a
gift ^nn++++=gift
for ^in++++=for
makin ^nn+++??+=makin'
' ^zz++++=EXTRAWORD
things ^nns++++=things
grow ^vb++++=grow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
planted ^vbd+++xvbnx+=planted
pinks ^nns+++??+=pinks
and ^cc++++=and
hollyhocks ^nns+++??+=hollyhocks
along ^in++++=along
the ^ati++++=the
front ^jjb+atrb+++=front
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
trained ^jj+atrb++xvbn+=trained
morning ^nn++++=morning-glories
- ^zz++++=EXTRAWORD
glories ^nns++++=EXTRAWORD
round ^in++++=round
the ^ati++++=the
porch ^nn++++=porch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^vb+++xvbn+=set
a ^at++++=a
row ^nn++++=row
of ^in++++=of
sweet ^jj+atrb+++=sweet
peas ^nns++++=peas
under ^in++++=under
the ^ati++++=the
study ^nn++++=study
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bean ^nn++++=bean
vines ^nns++++=vines
climbed ^vbd+++xvbn+=climbed
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cucumbers ^nns+nom+++=cucumbers
bore ^vbd+++xvbn+=bore
thicker ^jjr++++=thicker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
the ^ati++++=the
old ^jj+atrb+++=old
pear ^nn++++=pear
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
done ^vbd+++xvbn+=done
anything ^rb++++=anything
but ^rb"++++=but
creak ^vb++++=creak
for ^in++++=for
six ^cd++++=six
years ^nns++++=years,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
out ^rp+pl+++=out
blossoms ^nns+++??+=blossoms
and ^cc++++=and
gave ^vbd+++xvbn+=gave
three ^cd++++=three
baskets ^nns++++=baskets
of ^in++++=of
pears ^nns+++??+=pears.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
